"ID";"Case Number";"How Received";"Date Opened";"Violations[Regulation]";"Resolution Action";;;;
1016822;"2021-384";"Complaints";"06/29/2021";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1016822;"2022-168";"Complaints";"03/17/2022";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1016662;"2020-47";"Complaints";"01/16/2020";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017129;"2021-153";"Self-Reported";"03/23/2021";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1011129;"2022-192";"Complaints";"03/25/2022";"06-Administration- Responsibility of overall management & operation - [19a-79-3a(b)] [Reference regulation link above.]";"Corrective Action Plan";;;;
2210139;"2022-16";"Self-Reported";"01/11/2022";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1015706;"2019-951";"Complaints";"09/27/2019";"22-Staffing- Ratios - [19a-79-4a(c)] 25-Staffing- Requirements of staff - [19a-79-4a(d)] 57-Under Three Endorsement- Infant/toddler (ratio, group size, barrier) - [19a-79-10(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1800771;"2020-333";"Complaints";"08/13/2020";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] 24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1800771;"2020-468";"Complaints";"11/09/2020";"20-Staffing- Staff records - [19a-79-4a(b)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1800771;"2020-77";"Complaints";"01/29/2020";"06-Administration- Responsibility of overall management & operation - [19a-79-3a(b)] 11b-Administration-Daily Attendance Records - [19a-79-3a(d)(1)] 19-Staffing- Staff file on premise - [19a-79-4a(a)] 24-Staffing- Supervision - [19a-79-4a(c)] 30-Record Keeping- Responsibility for maintain children's records - [19a-79-5a(a)] 37-Physical Plant- Basic requirements - [19a-79-7a(d)] 51-Administration of Medications-Order from an authorized prescriber/parent's permission - [19a-79-9a(b)] 53-Administration of Medications- Medications other than nonprescription topical -Storage & labeling - [19a-79-9a(b)] 57-Under Three Endorsement- Infant/toddler (ratio, group size, barrier) - [19a-79-10(c)] 61-Under Three Endorsement- Sleep arrangements - [19a-79-10(g)] 65-Under Three Endorsement- Foods & liquids - [19a-79-10(k)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1280225;"2021-58";"Complaints";"02/01/2021";"57-Under Three Endorsement- Infant/toddler (ratio, group size, barrier) - [19a-79-10(c)] 66-Under Three Endorsement- Outdoor play space - [19a-79-10(l)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1595690;"2019-897";"Self-Reported";"09/16/2019";"04-Administration- Failure to Report - [19a-79-3a(b)(8)(E)] 15-Administration- Access - [19a-79-3a(h)] 19-Staffing- Staff file on premise - [19a-79-4a(a)] 21-Staffing- Adequate staff - [19a-79-4a(c)] 28-Staffing- Professional development - [19a-79-4a(g)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1595690;"2020-116";"Self-Reported";"02/10/2020";"04-Administration- Failure to Report - [19a-79-3a(b)(8)(E)] 06-Administration- Responsibility of overall management & operation - [19a-79-3a(b)] 07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 28-Staffing- Professional development - [19a-79-4a(g)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017532;"2021-120";"Complaints";"03/08/2021";"30-Record Keeping- Responsibility for maintain children's records - [19a-79-5a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017532;"2021-261";"Complaints";"05/05/2021";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1010705;"2021-213";"Complaints";"04/15/2021";"029-Safe Exits - [19a-87b-9(d)(4)] 031-Stairways: Protected/Handrails - [19a-87b-9(d)(4)(D)] 053-Enrollment Form - [19a-87b-10(b)(1)] 057-Authorized Release - [19a-87b-10(b)(3)(A)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1016665;"2019-1107";"Complaints";"11/21/2019";"61-Under Three Endorsement- Sleep arrangements - [19a-79-10(g)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1016665;"2020-187";"Complaints";"03/10/2020";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1016665;"2022-258";"Self-Reported";"04/22/2022";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017476;"2020-224";"Self-Reported";"05/13/2020";"24-Staffing- Supervision - [19a-79-4a(c)] 30-Record Keeping- Responsibility for maintain children's records - [19a-79-5a(a)] 42-Physical Plant- Outdoor play space - [19a-79-7a(h)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017631;"2021-207";"Self-Reported";"04/15/2021";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017631;"2021-223";"Complaints";"04/19/2021";"37-Physical Plant- Basic requirements - [19a-79-7a(d)] 42-Physical Plant- Outdoor play space - [19a-79-7a(h)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017631;"2021-286";"Complaints";"05/11/2021";"10-Administration-Notification of changes - [19a-79-3a(c)] 38-Physical Plant- Environmental requirements - [19a-79-7a(e)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017631;"2021-873";"Self-Reported";"12/08/2021";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1497308;"2019-1101";"Complaints";"11/20/2019";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 30-Record Keeping- Responsibility for maintain children's records - [19a-79-5a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1203947;"2019-952";"Complaints";"09/27/2019";"24-Staffing- Supervision - [19a-79-4a(c)] 28-Staffing- Professional development - [19a-79-4a(g)] 30-Record Keeping- Responsibility for maintain children's records - [19a-79-5a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1015623;"2019-885";"Self-Reported";"09/10/2019";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1015623;"2019-903";"Self-Reported";"09/16/2019";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1015623;"2022-311";"Complaints";"05/09/2022";"48-Administration of Medications- Nonprescription topical medication - [19a-79-9a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1033685;"2019-1186";"Complaints";"12/30/2019";"13-Qualifications of the Provider- Personal qualities - [19a-87b-6(e)] 47-Responsibilities of Provider & Substitute- Appropriate discipline practices - [19a-87b-10(i)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1671427;"2020-509";"Complaints";"12/07/2020";"39-Responsibilities of Provider & Substitute- Maintaining records on children - [19a-87b-10(b)] 50-Responsibilities of Provider & Substitute- Immunization requirements - [19a-87b-10(k)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1344181;"2021-667";"Complaints";"09/23/2021";"054-Child Health Record - [19a-87b-10(b)(2)] 055-Immunizations - [19a-87b-10(b)(2)(A)(v) and/or 19a-87b-10(l)] 056-Emergency Permission Form - [19a-87b-10(b)(3)(B)] 057-Authorized Release - [19a-87b-10(b)(3)(A)] 092-Separate Bed/Location of Bed/Appropriate Sleepware - [19a-87b-12(a)] [Reference regulation link above.]";"No Action Taken";;;;
1225148;"2022-221";"Licensing";"04/07/2022";"093-Access - [19a-87b-13] [Reference regulation link above.]";"Referred to Legal Division";;;;
1017056;"2021-902";"Self-Reported";"12/20/2021";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017056;"2022-230";"Complaints";"04/11/2022";"06-Administration- Responsibility of overall management & operation - [19a-79-3a(b)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1016784;"2022-358";"Complaints";"05/25/2022";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1449186;"2021-368";"Complaints";"06/22/2021";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1016666;"2021-364";"Complaints";"06/18/2021";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1016876;"2021-820";"Complaints";"11/12/2021";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
2085485;"2022-41";"Complaints";"01/24/2022";"053-Enrollment Form - [19a-87b-10(b)(1)] 054-Child Health Record - [19a-87b-10(b)(2)] 058-Field Trip and Transportation Permission - [19a-87b-10(b)(3)(C) and/or 19a-87b-10(b)(3)(D)] 060-Incident Log - [19a-87b-10(b)(4)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017689;"2019-873";"Complaints";"09/05/2019";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1016677;"2021-879";"Complaints";"12/09/2021";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 22-Staffing- Ratios - [19a-79-4a(c)] 30-Record Keeping- Responsibility for maintain children's records - [19a-79-5a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1799906;"2021-824";"Self-Reported";"11/15/2021";"22-Staffing- Ratios - [19a-79-4a(c)] 57-Under Three Endorsement- Infant/toddler (ratio, group size, barrier) - [19a-79-10(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1799906;"2022-320";"Self-Reported";"05/12/2022";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017065;"2019-991";"Self-Reported";"10/11/2019";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017456;"2020-222";"Complaints";"05/12/2020";"01-Abuse- DCF: On Registry - [DCF Finding] 02-Neglect- DCF: On Registry - [DCF Finding] 08-Administration- Child protection - [19a-79-3a(b)(8)(C)] 21-Staffing- Adequate staff - [19a-79-4a(c)] [Reference regulation link above.]";"Referred to Legal Division";;;;
1017216;"2021-825";"Self-Reported";"11/15/2021";"21-Staffing- Adequate staff - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017614;"2019-1033";"Complaints";"10/24/2019";"04-Administration- Failure to Report - [19a-79-3a(b)(8)(E)] 06-Administration- Responsibility of overall management & operation - [19a-79-3a(b)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 15-Administration- Access - [19a-79-3a(h)] 30-Record Keeping- Responsibility for maintain children's records - [19a-79-5a(a)] 40-Physical Plant- Program space - [19a-79-7a(f)] 64-Under Three Endorsement- Bottle feeding - [19a-79-10(j)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017614;"2019-1098";"Self-Reported";"11/19/2019";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017614;"2020-69";"Complaints";"01/27/2020";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1448732;"2019-1008";"Self-Reported";"10/17/2019";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1448732;"2019-984";"Complaints";"10/09/2019";"36-Physical Plant- General requirements - [19a-79-7a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
2274908;"2022-135";"Complaints";"03/08/2022";"23-Staffing- Group size - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
2274908;"2022-341";"Complaints";"05/18/2022";"57-Under Three Endorsement- Infant/toddler (ratio, group size, barrier) - [19a-79-10(c)] 61-Under Three Endorsement- Sleep arrangements - [19a-79-10(g)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1202552;"2019-869";"Complaints";"09/04/2019";"39-Responsibilities of Provider & Substitute- Maintaining records on children - [19a-87b-10(b)] 47-Responsibilities of Provider & Substitute- Appropriate discipline practices - [19a-87b-10(i)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1026816;"2022-104";"Complaints";"02/23/2022";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 47-Administration of Medications- Policies & procedures - [19a-79-9a] [Reference regulation link above.]";"Corrective Action Plan";;;;
1302657;"2021-893";"Complaints";"12/16/2021";"016-Judgment - [19a-87b-6(e)] 057-Authorized Release - [19a-87b-10(b)(3)(A)] 079-Parent Information and Access - [19a-87b-10(h) and/or 19a-87b-10(h)(11)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017453;"2019-890";"Self-Reported";"09/11/2019";"03b-Licensure procedures - [19a-79-2a] 06-Administration- Responsibility of overall management & operation - [19a-79-3a(b)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 15-Administration- Access - [19a-79-3a(h)] 19-Staffing- Staff file on premise - [19a-79-4a(a)] 24-Staffing- Supervision - [19a-79-4a(c)] 30-Record Keeping- Responsibility for maintain children's records - [19a-79-5a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1011197;"2022-386";"Self-Reported";"06/07/2022";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1016828;"2019-1169";"Complaints";"12/17/2019";"20-Staffing- Staff records - [19a-79-4a(b)] 30-Record Keeping- Responsibility for maintain children's records - [19a-79-5a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1016828;"2019-606";"Self-Reported";"07/23/2019";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1016828;"2021-714";"Self-Reported";"10/04/2021";"21-Staffing- Adequate staff - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1602533;"2019-1039";"Self-Reported";"10/25/2019";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017544;"2019-956";"Complaints";"09/30/2019";"30-Record Keeping- Responsibility for maintain children's records - [19a-79-5a(a)] 50-Administration of Medications-Training approval documents/training outline - [19a-79-9a(b)] 51-Administration of Medications-Order from an authorized prescriber/parent's permission - [19a-79-9a(b)] [Reference regulation link above.]";"Corrective Action Plan";;;;
2168084;"2022-217";"Complaints";"04/05/2022";"004-Capacity - [19a-87b-10(a)] 016-Judgment - [19a-87b-6(e)] 053-Enrollment Form - [19a-87b-10(b)(1)] 054-Child Health Record - [19a-87b-10(b)(2)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1009238;"2020-477";"Complaints";"11/12/2020";"41-Responsibilities of Provider & Substitute- Meeting children's physical needs - [19a-87b-10(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1022790;"2022-96";"Complaints";"02/18/2022";"053-Enrollment Form - [19a-87b-10(b)(1)] 054-Child Health Record - [19a-87b-10(b)(2)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017651;"2020-166";"Complaints";"03/04/2020";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 41-Physical Plant- Equipment - [19a-79-7a(g)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017651;"2020-400";"Complaints";"09/22/2020";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1384620;"2020-129";"Complaints";"02/19/2020";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 57-Under Three Endorsement- Infant/toddler (ratio, group size, barrier) - [19a-79-10(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1384620;"2021-280";"Complaints";"05/10/2021";"04-Administration- Failure to Report - [19a-79-3a(b)(8)(E)] 05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] 08-Administration- Child protection - [19a-79-3a(b)(8)(C)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1384620;"2022-138";"Self-Reported";"03/09/2022";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1218499;"2019-1155";"Self-Reported";"12/11/2019";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1218499;"2020-428";"Complaints";"10/09/2020";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1218499;"2021-592";"Self-Reported";"09/10/2021";"08-Administration- Child protection - [19a-79-3a(b)(8)(C)] 24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1218499;"2021-811";"Self-Reported";"11/10/2021";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017208;"2021-259";"Self-Reported";"05/04/2021";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017042;"2020-113";"Complaints";"02/07/2020";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017684;"2020-312";"Complaints";"07/31/2020";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017684;"2021-896";"Complaints";"12/17/2021";"06-Administration- Responsibility of overall management & operation - [19a-79-3a(b)] 21-Staffing- Adequate staff - [19a-79-4a(c)] 57-Under Three Endorsement- Infant/toddler (ratio, group size, barrier) - [19a-79-10(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
2013483;"2021-558";"Complaints";"08/31/2021";"004-Capacity - [19a-87b-10(a)] 011-Notification of Change - 19a-87b-5(j) 053-Enrollment Form - [19a-87b-10(b)(1)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1505075;"2020-278";"Complaints";"07/15/2020";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] 08-Administration- Child protection - [19a-79-3a(b)(8)(C)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 24-Staffing- Supervision - [19a-79-4a(c)] 30-Record Keeping- Responsibility for maintain children's records - [19a-79-5a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1505075;"2020-341";"Self-Reported";"08/25/2020";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1505075;"2022-139";"Complaints";"03/09/2022";"65-Under Three Endorsement- Foods & liquids - [19a-79-10(k)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1650325;"2019-852";"Complaints";"08/28/2019";"10-Administration-Notification of changes - [19a-79-3a(c)] 11b-Administration-Daily Attendance Records - [19a-79-3a(d)(1)] 21-Staffing- Adequate staff - [19a-79-4a(c)] 38-Physical Plant- Environmental requirements - [19a-79-7a(e)] 42-Physical Plant- Outdoor play space - [19a-79-7a(h)] 58-Under Three Endorsement- Special equipment - [19a-79-10(d)] 61-Under Three Endorsement- Sleep arrangements - [19a-79-10(g)] 64-Under Three Endorsement- Bottle feeding - [19a-79-10(j)] [Reference regulation link above.]";"Referred to Legal Division";;;;
1650325;"2019-874";"Complaints";"09/05/2019";"10-Administration-Notification of changes - [19a-79-3a(c)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 20-Staffing- Staff records - [19a-79-4a(b)] 21-Staffing- Adequate staff - [19a-79-4a(c)] 22-Staffing- Ratios - [19a-79-4a(c)] 24-Staffing- Supervision - [19a-79-4a(c)] 39-Physical Plant- Plans for new construction, expansion, renovation or conversion - [19a-79-7a(b)] 42-Physical Plant- Outdoor play space - [19a-79-7a(h)] 57-Under Three Endorsement- Infant/toddler (ratio, group size, barrier) - [19a-79-10(c)] 58-Under Three Endorsement- Special equipment - [19a-79-10(d)] [Reference regulation link above.]";"Referred to Legal Division";;;;
1650325;"2019-914";"Complaints";"09/19/2019";"31-Health & Safety- Food service - [19a-79-6a(a)] [Reference regulation link above.]";"Referred to Legal Division";;;;
1650325;"2019-916";"Complaints";"09/19/2019";"03b-Licensure procedures - [19a-79-2a] 10-Administration-Notification of changes - [19a-79-3a(c)] 49-Administration of Medications-Training requirements - [19a-79-9a(b)] 51-Administration of Medications-Order from an authorized prescriber/parent's permission - [19a-79-9a(b)] 59-Under Three Endorsement- Diapering & toileting - [19a-79-10(e)] [Reference regulation link above.]";"Referred to Legal Division";;;;
1017589;"2020-72";"Self-Reported";"01/29/2020";"08-Administration- Child protection - [19a-79-3a(b)(8)(C)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 23-Staffing- Group size - [19a-79-4a(c)] 24-Staffing- Supervision - [19a-79-4a(c)] 30-Record Keeping- Responsibility for maintain children's records - [19a-79-5a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017427;"2019-1038";"Self-Reported";"10/25/2019";"30-Record Keeping- Responsibility for maintain children's records - [19a-79-5a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017348;"2022-375";"Complaints";"06/01/2022";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] 08-Administration- Child protection - [19a-79-3a(b)(8)(C)] 41-Physical Plant- Equipment - [19a-79-7a(g)] 48-Administration of Medications- Nonprescription topical medication - [19a-79-9a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1995956;"2021-142";"Complaints";"03/16/2021";"004-Capacity - [19a-87b-10(a)] 054-Child Health Record - [19a-87b-10(b)(2)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017808;"2019-934";"Self-Reported";"09/24/2019";"04-Administration- Failure to Report - [19a-79-3a(b)(8)(E)] 05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] 07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 25-Staffing- Requirements of staff - [19a-79-4a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1463503;"2021-308";"Complaints";"05/19/2021";"30-Record Keeping- Responsibility for maintain children's records - [19a-79-5a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1463503;"2021-361";"Complaints";"06/17/2021";"10-Administration-Notification of changes - [19a-79-3a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1463503;"2021-421";"Self-Reported";"07/09/2021";"57-Under Three Endorsement- Infant/toddler (ratio, group size, barrier) - [19a-79-10(c)] 61-Under Three Endorsement- Sleep arrangements - [19a-79-10(g)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1463503;"2022-50";"Complaints";"01/31/2022";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1015684;"2019-959";"Complaints";"10/01/2019";"21-Staffing- Adequate staff - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1015684;"2021-209";"Self-Reported";"04/15/2021";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1015684;"2022-147";"Complaints";"03/11/2022";"10-Administration-Notification of changes - [19a-79-3a(c)] 30-Record Keeping- Responsibility for maintain children's records - [19a-79-5a(a)] 33-Health & Safety- First aid kit - [19a-79-6a(c)] 39-Physical Plant- Plans for new construction, expansion, renovation or conversion - [19a-79-7a(b)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017060;"2019-1128";"Self-Reported";"11/27/2019";"30-Record Keeping- Responsibility for maintain children's records - [19a-79-5a(a)] 46-Educational Requirements- Program - [19a-79-8a(b)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017881;"2020-294";"Self-Reported";"07/23/2020";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] [Reference regulation link above.]";"No Action Taken";;;;
1017881;"2021-445";"Complaints";"07/20/2021";"22-Staffing- Ratios - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1016880;"2020-86";"Complaints";"01/31/2020";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 11b-Administration-Daily Attendance Records - [19a-79-3a(d)(1)] 22-Staffing- Ratios - [19a-79-4a(c)] 24-Staffing- Supervision - [19a-79-4a(c)] 36-Physical Plant- General requirements - [19a-79-7a(c)] 38-Physical Plant- Environmental requirements - [19a-79-7a(e)] 80-CO/NCAP Compliance Violation(s) - [-] [Reference regulation link above.]";"Corrective Action Plan";;;;
1016737;"2019-960";"Complaints";"10/01/2019";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] 21-Staffing- Adequate staff - [19a-79-4a(c)] 24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
2202734;"2021-377";"Complaints";"06/24/2021";"36-Physical Plant- General requirements - [19a-79-7a(c)] 69-School Age Endorsement- Ratio - [19a-79-11(d)] 70-School Age Endorsement- Group size - [19a-79-11(e)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017925;"2021-571";"Complaints";"09/02/2021";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 30-Record Keeping- Responsibility for maintain children's records - [19a-79-5a(a)] 49-Administration of Medications-Training requirements - [19a-79-9a(b)] 51-Administration of Medications-Order from an authorized prescriber/parent's permission - [19a-79-9a(b)] [Reference regulation link above.]";;;;;
1017925;"2021-771";"Complaints";"10/29/2021";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 21-Staffing- Adequate staff - [19a-79-4a(c)] [Reference regulation link above.]";;;;;
1017898;"2019-677";"Complaints";"07/30/2019";"48-Administration of Medications- Nonprescription topical medication - [19a-79-9a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017898;"2019-889";"Self-Reported";"09/11/2019";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017898;"2020-38";"Complaints";"01/13/2020";"04-Administration- Failure to Report - [19a-79-3a(b)(8)(E)] 06-Administration- Responsibility of overall management & operation - [19a-79-3a(b)] 07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] 08-Administration- Child protection - [19a-79-3a(b)(8)(C)] 30-Record Keeping- Responsibility for maintain children's records - [19a-79-5a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017898;"2021-159";"Complaints";"03/24/2021";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1525526;"2021-247";"Complaints";"04/29/2021";"57-Under Three Endorsement- Infant/toddler (ratio, group size, barrier) - [19a-79-10(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1525526;"2021-373";"Complaints";"06/23/2021";"08-Administration- Child protection - [19a-79-3a(b)(8)(C)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
