Id;Letter Grade;Name;School Type;Street;City;State;Zip;Phone;Email;Mon;Tue;Wed;Thu;Fri;Website;Twitter;Facebook;District Name;Principal;License Type;License Number;Transportation;Before Care;After Care;CCAP;Star Rating;Grades Available;Enrollment;Capacity;Academic Offerings;Music Art;Opportunities & Clubs;Sports
23027;C;Park Elementary School;Traditional public school;1609 West Admiral Doyle Drive;New Iberia;LA;70560;337-369-6189;;;;;;;http://park.iberiaschools.org;;;Iberia Parish;Verdna Rogers;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5, Grade 6;268;;Gifted programs;Band, Music;Clubs, Visual Arts, National or Statewide Leadership Associations, Career Focus;
28036;B;Westside Elementary School;Traditional public school;912 Delhomme Ave;Scott;LA;70583;337-521-7820;;;;;;;http://sites.google.com/a/lpssonline.com/westside/;;https://www.facebook.com/wseswildcats/;Lafayette Parish;Lisa Thomas;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4;427;;Gifted programs;Music, Art;Clubs, School Community Organizations, Other;
24025;B;East Iberville Elementary/High School;Traditional public school;3285 Hwy. 75;St Gabriel;LA;70776;225-642-5410;;;;;;;http://www.ipsb3.gabbarthost.com/;http://www.twitter.com/EastIberville;;Iberville Parish;Calvin Nicholas;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5, Grade 6, Grade 7, Grade 8, Grade 9, Grade 10, Grade 11, Grade 12;674;;Advanced Placement Details, Dual enrollment (college credit) Details, Foreign Language Details, Jump Start Pathways (career focused) Details;Band Details, Dance, Music, Theatre, Art;Athletics, Clubs, Music, Peer Tutoring or Mentoring, Adult Mentoring, Business Interest, National or Statewide Leadership Associations;Volleyball, Cross-Country, Swimming, Football, Indoor Track and Field, Basketball, Softball, Outdoor Track and Field, Baseball, Spirit
28053;A;Early College Academy;Magnet school;320 Devalcourt Drive;Lafayette;LA;70506;337-521-8956;;;;;;;http://sites.google.com/a/lpssonline.com/eca/;;;Lafayette Parish;Alexander Melton;;;;;;;;Grade 9, Grade 10, Grade 11, Grade 12;257;;Advanced Placement Details, Dual enrollment (college credit) Details, Foreign Language Details;Music, Theatre, Art;Clubs, Literature and the Humanities, Adult Mentoring, National or Statewide Leadership Associations, Honor Society, School Community Organizations, Speech and Debate, Career Focus, Games and Gaming, Other;
25005;C;Jonesboro-Hodge High School;Traditional public school;225 Pershing Highway;Jonesboro;LA;71251;318-259-4138;;;;;;;http://jhhs.jpsb.edlioschool.com;;;Jackson Parish;Chevonda Leonard;;;;;;;;Grade 9, Grade 10, Grade 11, Grade 12;276;;Foreign Language Details, Jump Start Pathways (career focused) Details;Music, Theatre, Art;Athletics, Clubs, Drama, Theater and Dance, Music, Literature and the Humanities, Business Interest, National or Statewide Leadership Associations, Honor Society, School Community Organizations, Career Focus;Football, Basketball, Softball, Outdoor Track and Field, Baseball, Spirit
26123;C;JCFA;Public charter school;475 Manhattan Boulevard;Harvey;LA;70058;504-410-3121;;;;;;;http://jcfa.co;;https://www.facebook.com/JCFA-135939969825395/;Jefferson Parish;Chaun Lewis Fleury;;;;;;;;Grade 8, Grade 9, Grade 10, Grade 11, Grade 12;141;;Foreign Language Details, Jump Start Pathways (career focused) Details;Art;Clubs, Drama, Theater and Dance, Adult Mentoring, School Community Organizations, Career Focus, Games and Gaming, Other;
25007;B;Quitman High School;Traditional public school;181 Wolverine Drive;Quitman;LA;71268;318-259-2698;;;;;;;http://qhs.jpsb.edlioschool.com;;;Jackson Parish;William Carter;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5, Grade 6, Grade 7, Grade 8, Grade 9, Grade 10, Grade 11, Grade 12;744;;Dual enrollment (college credit) Details, Foreign Language Details, Jump Start Pathways (career focused) Details;Art;Athletics, Clubs, Drama, Theater and Dance, Music, Literature and the Humanities, Affinity Associations, Business Interest, National or Statewide Leadership Associations, Honor Society, School Community Organizations, Career Focus;Cross-Country, Football, Basketball, Softball, Golf, Outdoor Track and Field, Baseball, Spirit, Tennis, Other Sports
26094;D;Joshua Butler Elementary School;Traditional public school;300 Fourth Street;Westwego;LA;70094;504-341-1351;;;;;;;http://butler.jpschools.org;;;Jefferson Parish;Catherine D Rehm;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;428;;;;;
23036;B;Belle Place Middle School;Traditional public school;4110 Loreauville Road;New Iberia;LA;70563;337-364-2141;;;;;;;http://bpms.iberiaschools.org;;;Iberia Parish;Lora Kennedy;;;;;;;;Grade 7, Grade 8;407;;World language immersion, Gifted programs;Band, Music, Art;Athletics, Clubs, Peer Tutoring or Mentoring, National or Statewide Leadership Associations, School Community Organizations;Volleyball, Cross-Country, Football, Soccer, Basketball, Softball, Outdoor Track and Field, Baseball
28040;D;Evangeline Elementary School;Traditional public school;610 East Butcher Switch Road;Lafayette;LA;70507;337-521-7670;;;;;;;;;;Lafayette Parish;Norretta F Williams;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;594;;World language immersion, Gifted programs;Music, Art;Clubs, National or Statewide Leadership Associations, School Community Organizations, Other;
25006;F;Jonesboro-Hodge Middle School;Traditional public school;440 Old Winnfield Highway;Jonesboro;LA;71251;318-259-6611;;;;;;;http://jhms.jpsb.edlioschool.com;;;Jackson Parish;Dr. Jacqueline Mason;;;;;;;;Grade 6, Grade 7, Grade 8;171;;;;Athletics, Clubs, STEM, Adult Mentoring, Affinity Associations, National or Statewide Leadership Associations, School Community Organizations, Games and Gaming;Cross-Country, Football, Basketball, Softball, Spirit
29006;C;East Thibodaux Middle School;Traditional public school;802 East Seventh Street;Thibodaux;LA;70301;985-446-5616;;;;;;;http://etms.mylpsd.com/;;http://www.facebook.com/Lafourche_Parish_School_District;Lafourche Parish;Sharone Smith-McPherson;;;;;;;;Grade 6, Grade 7, Grade 8;279;;Gifted programs;Music, Art;Athletics, Clubs, Peer Tutoring or Mentoring, Honor Society, School Community Organizations, Career Focus, Games and Gaming;Volleyball, Football, Basketball, Outdoor Track and Field
26005;C;John James Audubon School;Traditional public school;200 West Loyola Drive;Kenner;LA;70065;504-466-0525;;;;;;;http://audubon.jpschools.org;https://twitter.com/audubonelem;https://www.facebook.com/John-James-Audubon-Elementary-Kenner-1051271331647583/;Jefferson Parish;Dr. Emily Anderson;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;490;;;Music, Art;;
27;;Jefferson Davis Parish;;;;;;;;;;;;;;;;Jefferson Davis Parish;;;;;;;;;;;;;;;
26016;C;George Cox Elementary School;Traditional public school;2630 Belle Chasse Highway;Gretna;LA;70056;504-394-5890;;;;;;;http://georgecox.jpschools.org;;;Jefferson Parish;Shelita Jones;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;405;;;;Clubs, Drama, Theater and Dance, Visual Arts, Literature and the Humanities, Peer Tutoring or Mentoring, School Community Organizations, Other;
26121;A;Ray St. Pierre Academy for Advanced Studies;Magnet school;2820 Mount Kennedy Drive;Marrero;LA;70072;504-347-4739;;;;;;;http://marreroacademy.jpschools.org/;;;Jefferson Parish;Londa M Foster;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;373;;Gifted programs;;Athletics;Wrestling
23072;B;Caneview Elementary School;Traditional public school;5301 Hwy 90 Frontage Road;New Iberia;LA;70560;337-369-6517;;;;;;;http://cve.iberiaschools.org;;http://www.facebook.com/caneview;Iberia Parish;Kimberly Messman;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5, Grade 6;552;;Gifted programs;Band, Music;Clubs, Music, Adult Mentoring, Business Interest, National or Statewide Leadership Associations, Career Focus;
28051;C;J. Wallace James Elementary School;Traditional public school;1500 W. Willow St.;Scott;LA;70583;337-521-7700;;;;;;;http://www.lpssonline.com/jwjames;;https://www.facebook.com/jwjelementary/;Lafayette Parish;Jon Oliver Downs;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;911;;Gifted programs;Dance, Music, Theatre, Art;Athletics, Clubs, Drama, Theater and Dance, Music, Visual Arts, Literature and the Humanities, STEM, Peer Tutoring or Mentoring, Adult Mentoring, National or Statewide Leadership Associations, Honor Society, Politics and Government, School Community Organizations, Career Focus, Games and Gaming, Other;Outdoor Track and Field, Spirit
26017;C;Helen Cox High School;Traditional public school;2200 Lapalco Boulevard;Harvey;LA;70058;504-367-6388;;;;;;;http://helencox.jpschools.org;;;Jefferson Parish;Mark A Perry;;;;;;;;Grade 9, Grade 10, Grade 11, Grade 12;1075;;Foreign Language Details, Jump Start Pathways (career focused) Details;Band Details, Music, Theatre, Art;Athletics, Clubs, Drama, Theater and Dance, Music, Visual Arts, Honor Society, Games and Gaming;Volleyball, Cross-Country, Football, Wrestling, Soccer, Basketball, Softball, Outdoor Track and Field, Baseball, Spirit
29017;A;Lockport Lower Elementary School;Traditional public school;1421 Crescent Avenue;Lockport;LA;70374;985-532-2846;;;;;;;http://lkles.mylpsd.com/;;http://www.facebook.com/Lockport_Lower_Elementary;Lafourche Parish;Decina Rodriguez;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2;437;;;Music, Art;;
26009;C;Bissonet Plaza School;Traditional public school;6818 Kawanee Avenue;Metairie;LA;70003;504-887-0470;;;;;;;http://bissonet.jpschools.org;;;Jefferson Parish;Audrey A Easley;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;591;;;Music;Clubs, Drama, Theater and Dance, Literature and the Humanities, Peer Tutoring or Mentoring, School Community Organizations;
27002;B;Elton Elementary School;Traditional public school;614 Powell Road;Elton;LA;70532;337-584-2892;;;;;;;http://www.jeffersondavis.org;;;Jefferson Davis Parish;David Harper;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;255;;Gifted programs;Art;Clubs, School Community Organizations, Career Focus;
26024;C;Allen Ellender School;Traditional public school;4501 East Ames Boulevard;Marrero;LA;70072;504-341-9469;;;;;;;http://ellender.jpschools.org/;;;Jefferson Parish;Cherie A Soileau-Varisco;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5, Grade 6, Grade 7, Grade 8;603;;;;Athletics, Clubs, Drama, Theater and Dance, Music, Literature and the Humanities, Peer Tutoring or Mentoring, National or Statewide Leadership Associations, School Community Organizations;Volleyball, Football, Wrestling, Soccer, Basketball, Softball, Outdoor Track and Field, Baseball, Spirit
26130;;Young Audiences Charter High School;Traditional public school;418 4th Street;Gretna;LA;70053;504-304-6332;;;;;;;http://www.yacharterschool.org;;https://www.facebook.com/yacharterschool/;Jefferson Parish;Melissa Sallinger;;;;;;;;Grade 9, Grade 10, Grade 11, Grade 12;;;Foreign Language Details;Band Details, Dance, Music, Theatre, Art;Athletics, Clubs, Drama, Theater and Dance, Music, Visual Arts, Honor Society, Politics and Government, Speech and Debate, Other;Volleyball, Football, Soccer, Basketball, Spirit
24019;D;Dorseyville Elementary School;Traditional public school;31505 Hwy 1;White Castle;LA;70788;225-545-3805;;;;;;;http://ipsb2.gabbarthost.com;http://www.twitter.com/DES_ISTHEBEST;;Iberville Parish;Kelli Barbee;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5, Grade 6;508;;Gifted programs;Music, Art;Athletics, Clubs, National or Statewide Leadership Associations, Other;Basketball, Outdoor Track and Field, Other Sports
29005;B;Cut Off Elementary School;Traditional public school;177 West 55th Street;Cut Off;LA;70345;985-632-3116;;;;;;;http://coes.mylpsd.com/;;http://www.facebook.com/COE_PTC;Lafourche Parish;Kristine Collins;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;473;;Gifted programs;Music, Art;Clubs, Affinity Associations, National or Statewide Leadership Associations, Career Focus, Other;
26025;B;J.C. Ellis School;Traditional public school;801 Brockenbraugh Court;Metairie;LA;70005;504-833-7254;;;;;;;http://ellis.jpschools.org;;;Jefferson Parish;Lisa Kendrick;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5, Grade 6, Grade 7, Grade 8;631;;World language immersion;;Athletics;Soccer, Outdoor Track and Field, Spirit
29024;A;Sixth Ward Middle School;Traditional public school;1865 Choctaw Road;Thibodaux;LA;70301;985-633-2449;;;;;;;http://swms.mylpsd.com/;;http://www.facebook.com/Sixth_Ward_Middle;Lafourche Parish;Alyce Callahan;;;;;;;;Grade 6, Grade 7, Grade 8;277;;Gifted programs;Music;Athletics, Clubs, STEM, Affinity Associations, School Community Organizations, Career Focus, Other;Volleyball, Football, Basketball, Outdoor Track and Field, Spirit
26027;C;Estelle School;Traditional public school;2800 Barataria Boulevard;Marrero;LA;70072;504-347-3727;;;;;;;http://estelle.jpschools.org;;;Jefferson Parish;Alisha D Gilbert;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5, Grade 6, Grade 7, Grade 8;777;;;;Athletics, Clubs, Drama, Theater and Dance, Visual Arts, National or Statewide Leadership Associations, School Community Organizations;Wrestling
27013;B;Welsh Elementary School;Traditional public school;222 East Bourgeois Street;Welsh;LA;70591;337-734-2351;;;;;;;http://www.jeffersondavis.org;;;Jefferson Davis Parish;Amy Treme;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;497;;Gifted programs;Art;Clubs, Literature and the Humanities, Adult Mentoring, National or Statewide Leadership Associations, Career Focus;
26035;D;Gretna Middle School;Traditional public school;910 Gretna Boulevard;Gretna;LA;70053;504-366-0120;;;;;;;http://gretnamiddle.jpschools.org;;http://www.facebook.com/GretnaMiddle;Jefferson Parish;Duane Foret;;;;;;;;Grade 6, Grade 7, Grade 8;594;;;Music;Athletics, Clubs, Drama, Theater and Dance, Music, Literature and the Humanities, School Community Organizations, Career Focus;Volleyball, Football, Wrestling, Soccer, Basketball, Softball, Outdoor Track and Field, Baseball, Spirit
27011;C;Lake Arthur Elementary School;Traditional public school;500 Mill Avenue;Lake Arthur;LA;70549;337-774-3323;;;;;;;http://www.jeffersondavis.org;;;Jefferson Davis Parish;Donna Woods;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5, Grade 6;550;;Gifted programs;Music, Art;Clubs, Literature and the Humanities, National or Statewide Leadership Associations, School Community Organizations;
25008;F;Jonesboro-Hodge Elementary School;Traditional public school;2105 South Polk Street;Jonesboro;LA;71251;318-259-4489;;;;;;;http://jhes.jpsb.edlioschool.com;;;Jackson Parish;Jeananne Smith;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;376;;;;Athletics, Clubs, Business Interest, National or Statewide Leadership Associations, Career Focus;Cross-Country
29014;B;South Larose Elementary School;Traditional public school;154 West 25th Stree;Larose;LA;70373;985-693-7597;;;;;;;http://sles.mylpsd.com/;;http://www.facebook.com/South_Larose_Elementary;Lafourche Parish;Holly Bouzigard;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;392;;;Music, Art;Clubs, Peer Tutoring or Mentoring, School Community Organizations, Career Focus, Other;
26029;B;Fisher Middle/High School;Traditional public school;2529 Jean Lafitte Boulevard;Lafitte;LA;70067;504-689-3665;;;;;;;http://fisher.jpschools.org/;;;Jefferson Parish;Dawn Matherne;;;;;;;;Grade 6, Grade 7, Grade 8, Grade 9, Grade 10, Grade 11, Grade 12;498;;Advanced Placement Details, Dual enrollment (college credit) Details, Foreign Language Details, Jump Start Pathways (career focused) Details;Band Details, Music, Theatre, Art;Athletics, Clubs, Drama, Theater and Dance, Music, Visual Arts, Peer Tutoring or Mentoring, Honor Society, School Community Organizations, Other;Volleyball, Cross-Country, Football, Indoor Track and Field, Soccer, Basketball, Softball, Outdoor Track and Field, Baseball, Spirit
29039;A;Bayou Community Academy Charter School;Public charter school;800 East Seventh Street;Thibodaux;LA;70301;985-446-3011;;;;;;;http://www.bcacharter.org;;http://www.facebook.com/Bayou Community Academy;Lafourche Parish;Jessica Rosado;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5, Grade 6, Grade 7, Grade 8;486;;;Music, Art;Athletics, Clubs, Drama, Theater and Dance, Music, Visual Arts, Literature and the Humanities, STEM, Affinity Associations, Business Interest, National or Statewide Leadership Associations, School Community Organizations, Career Focus, Games and Gaming, Other;Cross-Country, Soccer, Other Sports
26036;C;Shirley Johnson/Gretna Park Elementary School;Traditional public school;1130 Gretna Boulevard;Gretna;LA;70053;504-366-1660;;;;;;;http://gretnapark.jpschools.org;;;Jefferson Parish;Michelle Montaagnino;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;645;;;;Clubs, Drama, Theater and Dance, Visual Arts, Literature and the Humanities, STEM, Adult Mentoring, Affinity Associations, National or Statewide Leadership Associations, Honor Society, School Community Organizations, Games and Gaming;
28004;D;Alice N. Boucher Elementary School;Traditional public school;400 Patterson Street;Lafayette;LA;70501;337-521-7610;;;;;;;http://lpssonline.com/aliceboucher;;;Lafayette Parish;Irma Trosclair;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;708;;World language immersion, Gifted programs;Music, Art;Clubs, Drama, Theater and Dance, Music, Visual Arts, Peer Tutoring or Mentoring, Career Focus, Other;
26039;D;T.H. Harris Middle School;Traditional public school;911 Elise Avenue;Metairie;LA;70003;504-733-0867;;;;;;;http://harris.jpschools.org;;;Jefferson Parish;Brenda Hubbard;;;;;;;;Grade 6, Grade 7, Grade 8;649;;;Music;Athletics, Clubs, Literature and the Humanities;Volleyball, Football, Wrestling, Soccer, Basketball, Softball, Outdoor Track and Field, Baseball, Spirit
28006;A;Broadmoor Elementary School;Traditional public school;609 Broadmoor Boulevard;Lafayette;LA;70503;337-521-7620;;;;;;;http://www.lpss.com/broadmoor;;;Lafayette Parish;David Zielinski;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4;640;;Gifted programs;Music, Art;Clubs, Career Focus, Other;
26008;C;Alice Birney Elementary School;Traditional public school;4829 Hastings Street;Metairie;LA;70006;504-885-1054;;;;;;;http://birney.jpschools.org;;;Jefferson Parish;Debbie Dantin;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;526;;;;;
29026;A;South Lafourche High School;Traditional public school;16911 East Main Street;Cutoff;LA;70345;985-632-5721;;;;;;;http://slhs.mylpsd.com/;;http://www.facebook.com/South_Lafourche_High_School_Tarpons;Lafourche Parish;Gaye Cheramie;;;;;;;;Grade 9, Grade 10, Grade 11, Grade 12;1047;;Foreign Language Details, Gifted programs, Jump Start Pathways (career focused) Details;Band Details, Music, Art;Athletics, Clubs, Drama, Theater and Dance, Literature and the Humanities, STEM, Peer Tutoring or Mentoring, Affinity Associations, Business Interest, National or Statewide Leadership Associations, Honor Society, School Community Organizations, Career Focus, Other;Volleyball, Cross-Country, Swimming, Football, Soccer, Basketball, Softball, Golf, Outdoor Track and Field, Baseball, Spirit, Bowling, Tennis
26038;B;Harahan Elementary School;Traditional public school;6723 Jefferson Highway;Harahan;LA;70123;504-737-3918;;;;;;;http://harahan.jpschools.org;;;Jefferson Parish;Stephanie T Scott;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;508;;;;Clubs, Drama, Theater and Dance, Music, Literature and the Humanities, STEM, National or Statewide Leadership Associations, Honor Society, School Community Organizations, Speech and Debate;
30003;B;Jena Elementary School;Traditional public school;758 E. Sharbono Street;Jena;LA;71342;318-992-2386;;;;;;;http://jes.lasallepsb.com/;;https://www.facebook.com/jenaelementaryschool/;LaSalle Parish;Deedra B Zeagler;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2;377;;;Art;;
26045;C;L.W. Higgins High School;Traditional public school;7201 Lapalco Boulevard;Marrero;LA;70072;504-341-2273;;;;;;;http://higgins.jpschools.org;;;Jefferson Parish;Faith M Joseph;;;;;;;;Grade 9, Grade 10, Grade 11, Grade 12;1196;;Dual enrollment (college credit) Details, Foreign Language Details, Jump Start Pathways (career focused) Details;Band Details, Music, Art;Athletics, Clubs, Music, Visual Arts, Literature and the Humanities, Adult Mentoring, Honor Society, School Community Organizations, Career Focus, Other;Volleyball, Cross-Country, Football, Wrestling, Indoor Track and Field, Soccer, Basketball, Softball, Outdoor Track and Field, Baseball, Spirit
28026;B;Myrtle Place Elementary School;Traditional public school;1100 Myrtle Place Boulevard;Lafayette;LA;70506;337-521-7760;;;;;;;http://sites.google.com/a/lpssonline.com/myrtle-place-elementary/;;;Lafayette Parish;Catherine Bricelj;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;350;;World language immersion, Gifted programs;Music, Art;Athletics, Clubs, Drama, Theater and Dance, Music, Literature and the Humanities, STEM, Peer Tutoring or Mentoring, Adult Mentoring, National or Statewide Leadership Associations, School Community Organizations, Career Focus, Other;Other Sports
26043;C;Hazel Park/Hilda Knoff School;Traditional public school;8809 Jefferson Highway;River Ridge;LA;70123;504-737-6163;;;;;;;http://hazelpark.jpschools.org;;;Jefferson Parish;Richelle Caiton;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;369;;;;Clubs, Literature and the Humanities;
28017;B;L. Leo Judice Elementary School;Traditional public school;5801 Cameron Street;Scott;LA;70583;337-521-7710;;;;;;;http://www.lpssonline.com/site3245.php;;https://www.facebook.com/groups/456502794488914/;Lafayette Parish;Mia M. Lemaire;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;375;;Gifted programs;Music, Art;Clubs, STEM, Adult Mentoring, Career Focus, Other;
26026;C;Bonella A. St. Ville Elementary School;Traditional public school;1121 Pailet Street;Harvey;LA;70058;504-366-1708;;;;;;;http://stvillelementary.jpschools.org;;;Jefferson Parish;Terrah A Harrison;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;416;;;;Clubs, Literature and the Humanities;
29040;C;Virtual Academy of Lafourche;Public charter school;639 Harrison Street;Thibodaux;LA;70301;985-446-2877;;;;;;;http://www.valcharter.org;;http://www.facebook.com/Virtual_Academy_of_Lafourche;Lafourche Parish;Julie Bourgeois;;;;;;;;Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5, Grade 6, Grade 7, Grade 8, Grade 9, Grade 10, Grade 11, Grade 12;488;;Jump Start Pathways (career focused) Details;;Clubs, Music, Visual Arts, STEM, National or Statewide Leadership Associations, Career Focus, Games and Gaming;
26042;A;Haynes Academy School for Advanced Studies;Magnet school;1416 Metairie Road;Metairie;LA;70005;504-837-8300;;;;;;;http://.//haynes.jpschools.org;;;Jefferson Parish;Karla H Russo;;;;;;;;Grade 6, Grade 7, Grade 8, Grade 9, Grade 10, Grade 11, Grade 12;854;;Advanced Placement Details, Dual enrollment (college credit) Details, Foreign Language Details, Gifted programs;Band Details, Music, Theatre, Art;Athletics, Clubs, Drama, Theater and Dance, Music, Visual Arts, Literature and the Humanities, STEM, Peer Tutoring or Mentoring, Adult Mentoring, Affinity Associations, Business Interest, National or Statewide Leadership Associations, Honor Society, Politics and Government, School Community Organizations, Speech and Debate, Career Focus, Games and Gaming, Other;Volleyball, Cross-Country, Swimming, Football, Wrestling, Soccer, Basketball, Softball, Gymnastics, Golf, Outdoor Track and Field, Baseball, Spirit
3005;A;East Ascension High School;Traditional public school;612 E Worthy Street;Gonzales;LA;70737;225-391-6100;;;;;;;http://www.apsb.org;http://www.twitter.com/APSB_official;;Ascension Parish;Traci Mccorkle;;;;;;;;Grade 9, Grade 10, Grade 11, Grade 12;1813;;Advanced Placement Details, Dual enrollment (college credit) Details, Foreign Language Details, Jump Start Pathways (career focused) Details;Band Details, Dance, Music, Theatre, Art;Athletics, Clubs, Drama, Theater and Dance, Visual Arts, Literature and the Humanities, STEM, Peer Tutoring or Mentoring, Affinity Associations, Business Interest, National or Statewide Leadership Associations, Honor Society, School Community Organizations, Speech and Debate, Career Focus;Volleyball, Cross-Country, Swimming, Football, Wrestling, Soccer, Basketball, Softball, Gymnastics, Golf, Outdoor Track and Field, Baseball, Spirit, Bowling, Tennis
26050;B;Harold Keller Elementary School;Traditional public school;5301 Irving Street;Metairie;LA;70003;504-887-3836;;;;;;;http://keller.jpschools.org/;;https://www.facebook.com/haroldkellerelementary/;Jefferson Parish;Jessica Smith;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;587;;;;Clubs, Literature and the Humanities;
28037;B;Woodvale Elementary School;Traditional public school;100 Leon Drive;Lafayette;LA;70503;337-521-7830;;;;;;;http://sites.google.com/a/lpssonline.com/woodvale-elementary/;;;Lafayette Parish;Monique Hebert Vidos;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4;667;;Gifted programs;Music, Art;Clubs, Peer Tutoring or Mentoring, Career Focus, Other;
26047;C;Jefferson Elementary School;Traditional public school;4440 Jefferson Highway;Jefferson;LA;70121;504-733-9461;;;;;;;http://jefferson.jpschools.org;;;Jefferson Parish;Donna Donahoe;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;310;;;;Clubs, Drama, Theater and Dance, Music, Literature and the Humanities, School Community Organizations;
29007;B;Galliano Elementary School;Traditional public school;148 W. 158TH Street;Galliano;LA;70354;985-632-7211;;;;;;;http://ges.mylpsd.com/;;http://www.facebook.com/Lafourche Parish School District;Lafourche Parish;Ragan Lorraine;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;415;;;Music, Art;Clubs, National or Statewide Leadership Associations, Honor Society, Career Focus, Other;
26040;D;William Hart Elementary School;Traditional public school;2001 Hancock Street;Gretna;LA;70053;504-366-4346;;;;;;;http://hart.jpschools.org;;;Jefferson Parish;Javonne Matthews;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;306;;;;Clubs, Literature and the Humanities, Adult Mentoring;
30;;LaSalle Parish;;;;;;;;;;;;;;;;LaSalle Parish;;;;;;;;;;;;;;;
26061;D;McDonogh 26/Homedale Elementary School;Traditional public school;1200 Jefferson Street;Gretna;LA;70053;504-362-9929;;;;;;;http://mcdonogh26.jpschools.org;;;Jefferson Parish;Myrtle Weber;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;262;;;;Clubs, Literature and the Humanities, STEM, Adult Mentoring, Affinity Associations, Business Interest, Career Focus;
