"License Number";"Provider Name";"County";"Address";"City";"State";"Zip";"Contact Name";"Telephone";"Program Type";"Class Code";"Night Time Care";"Transportation";"Monday";"Tuesday";"Wednsday";"Thirsday";"Friday";"Saturday";"Sunday";"Subprograms";"NAEYC Accreditation";"Star Rating";"ID";"DetailsURL"
14686;"Lil' Toddler Academy, Inc.";"Jefferson";"626 Avenue A";"Marrero";"LA";70072;"Hallette Goodson, DirectorRebecca Dufour-Dease, Director Designee";"504-347-5437";"Child Day Care";"Class A";"No";"Yes";"6:30a - 6:30p";"6:30a - 6:30p";"6:30a - 6:30p";"6:30a - 6:30p";"6:30a - 6:30p";"Closed";"Closed";"Child Care";"No";"4 Stars";14686;"http://carefacility.doe.louisiana.gov/view.aspx?id=14686"
13135;"Marrero Day Care Center";"Jefferson";"616 Avenue B";"Marrero";"LA";70072;"Gail Stapler, Director DesigneeJill Orozco, Director";"504-340-8382";"Child Day Care";"Class A";"No";"Yes";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";13135;"http://carefacility.doe.louisiana.gov/view.aspx?id=13135"
15896;"Precious Little Lambs";"Jefferson";"512 Westwood Drive";"Marrero";"LA";70072;"Autherine Johnson, Director";"504-302-1158";"Child Day Care";"Class A";"No";"Yes";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"1 Star";15896;"http://carefacility.doe.louisiana.gov/view.aspx?id=15896"
13730;"Rezzies Child Care";"Jefferson";"1527 Allo Avenue";"Marrero";"LA";70072;"Theresa Creppel, DirectorBarbara Hatch, Director Designee";"504-340-7496";"Child Day Care";"Class A";"No";"No";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";13730;"http://carefacility.doe.louisiana.gov/view.aspx?id=13730"
15304;"Toddler College Daycare & Pre-School";"Jefferson";"4760 Westbank Expressway";"Marrero";"LA";70072;"Deyonko Murdock, DirectorLinda Veal, Director Designee";"504-347-8880";"Child Day Care";"Class A";"No";"Yes";"6:00a - 6:30p";"6:00a - 6:30p";"6:00a - 6:30p";"6:00a - 6:30p";"6:00a - 6:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";15304;"http://carefacility.doe.louisiana.gov/view.aspx?id=15304"
9379;"Troylynn's Tiny Treasures Daycare and Preschool LLC";"Jefferson";"1552 Avenue A";"Marrero";"LA";70072;"Troylynn Brown, DirectorLynnette Knoten, Director Designee";"504-341-7111";"Child Day Care";"Class A";"No";"Field Trip Only";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"4 Stars";9379;"http://carefacility.doe.louisiana.gov/view.aspx?id=9379"
15302;"Westbank Cathedral DayCare";"Orleans";"7301 LaPalco Blvd";"Marrero";"LA";70072;"Patricia Segura, Director";"504-304-8373";"Child Day Care";"Class B";"No";"Field Trip Only";"6:30a - 5:45p";"6:30a - 5:45p";"6:30a - 5:45p";"6:30a - 5:45p";"6:30a - 5:45p";"Closed";"Closed";"Child Care";"No";"No Star Rating";15302;"http://carefacility.doe.louisiana.gov/view.aspx?id=15302"
15190;"Alverez Kiddie Academy";"St. Bernard";"2108 Walkers Lane";"Meraux";"LA";70075;"Charisse Alverez, Director";"504-309-2212";"Child Day Care";"Class A";"No";"No";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";15190;"http://carefacility.doe.louisiana.gov/view.aspx?id=15190"
14118;"St. Bernard Parish School Board - Joseph J. Davies Elementary";"St. Bernard";"4101 Mistrot Drive";"Meraux";"LA";70075;"Alisha Silva Atkinson, DirectorDeborah Seibert, Director";"504-267-3310";"Child Day Care";"Class A";"No";"Yes";"8:30a - 3:30p";"8:30a - 3:30p";"8:30a - 3:30p";"8:30a - 3:30p";"8:30a - 3:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";14118;"http://carefacility.doe.louisiana.gov/view.aspx?id=14118"
15422;"Sacred Heart of Jesus School - Early Learning Center";"St. Charles";"453 Spruce Street";"Norco";"LA";70079;"Cheryl Orillian, Director";"985-764-9958";"Child Day Care";"Class B";"No";"No";"8:25a - 3:25p";"8:25a - 3:25p";"8:25a - 3:25p";"8:25a - 3:25p";"8:25a - 3:25p";"Closed";"Closed";"Child Care";"No";"No Star Rating";15422;"http://carefacility.doe.louisiana.gov/view.aspx?id=15422"
11842;"Four Stars Childcare Facility, LLC";"St. Charles";"14985 Highway 90";"Paradis";"LA";70080;"Amie Knuppel, DirectorDenise Matherne, Director Designee";"985-758-2123";"Child Day Care";"Class A";"No";"Field Trip Only";"5:30a - 6:00p";"5:30a - 6:00p";"5:30a - 6:00p";"5:30a - 6:00p";"5:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"4 Stars";11842;"http://carefacility.doe.louisiana.gov/view.aspx?id=11842"
16220;"South Plaquemines Head Start";"Plaquemines";"218 School Road";"Port Sulphur";"LA";70083;"Juan Turner, Director DesigneeDesiree Cota, Director";"504-595-2014";"Child Day Care";"Class A";"No";"Yes";"8:00a - 3:00p";"8:00a - 3:00p";"8:00a - 3:00p";"8:00a - 3:00p";"8:00a - 3:00p";"Closed";"Closed";"Child Care";"No";"1 Star";16220;"http://carefacility.doe.louisiana.gov/view.aspx?id=16220"
6095;"Riverlands Christian Center Church DBA Little Leaders Learning Center";"St. John";"480 North West Third Street";"Reserve";"LA";70084;"Rita Perrilloux, DirectorSteve Perrilloux , DirectorRobin Mckinnis, Director DesigneeFarrow Freeman, Director Designee";"985-536-0338";"Child Day Care";"Class A";"No";"No";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"4 Stars";6095;"http://carefacility.doe.louisiana.gov/view.aspx?id=6095"
8207;"Riverside Academy";"St. John";"332 Railroad Avenue";"Reserve";"LA";70084;"Sydney Perret, Director";"985-536-4246";"Child Day Care";"Class B";"No";"Yes";"7:30a - 3:00p";"7:30a - 3:00p";"7:30a - 3:00p";"7:30a - 3:00p";"7:30a - 3:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";8207;"http://carefacility.doe.louisiana.gov/view.aspx?id=8207"
16281;"St. Peter Daycare";"St. John";"188 W. 7th Street";"Reserve";"LA";70084;"Marie Comeaux, Director";"985-536-7764";"Child Day Care";"Class A";"No";"No";"7:30a - 3:05p";"7:30a - 3:05p";"7:30a - 3:05p";"7:30a - 3:05p";"7:30a - 3:05p";"Closed";"Closed";"Child Care";"No";"No Star Rating";16281;"http://carefacility.doe.louisiana.gov/view.aspx?id=16281"
1170;"Terence Day Care Inc.";"St. John";"311 North West Second Street";"Reserve";"LA";70084;"Valencia Green, DirectorDeshonda Wallis, Director";"985-536-7774";"Child Day Care";"Class A";"No";"No";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";1170;"http://carefacility.doe.louisiana.gov/view.aspx?id=1170"
15374;"St Bernard Parish School Board-J. F. Gauthier Elementary School - Head Start";"St. Bernard";"1200 East LA Hwy 46";"St. Bernard";"LA";70085;"Deborah Seibert, DirectorMerrell Francis, Director Designee";"504-272-0700";"Child Day Care";"Class A";"No";"Yes";"8:30a - 3:30p";"8:30a - 3:30p";"8:30a - 3:30p";"8:30a - 3:30p";"8:30a - 3:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";15374;"http://carefacility.doe.louisiana.gov/view.aspx?id=15374"
1514;"Welcome Head Start Center";"St. James";"8186 Villavaso Street";"St. James";"LA";70086;"Anya Trench, DirectorValdez Jones, Director";"225-473-6705";"Child Day Care";"Class A";"No";"Yes";"7:00a - 3:00p";"7:00a - 3:00p";"7:00a - 3:00p";"7:00a - 3:00p";"7:00a - 3:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";1514;"http://carefacility.doe.louisiana.gov/view.aspx?id=1514"
927;"Children's Book of Knowledge";"St. Charles";"150 First Street";"St. Rose";"LA";70087;"Ethel Marbley, DirectorAngela Darensbourg, Director Designee";"504-467-9661";"Child Day Care";"Class A";"No";"No";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"Closed";"Closed";"Child Care";"No";"3 Stars";927;"http://carefacility.doe.louisiana.gov/view.aspx?id=927"
11268;"Kids World Childcare & Learning Academy";"St. James";"2880 Highway 20 West";"Vacherie";"LA";70090;"Laura Mayho, DirectorTameeka Ross, Director Designee";"225-265-4287";"Child Day Care";"Class A";"No";"Field Trip Only";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"Closed";"Closed";"Child Care";"No";"4 Stars";11268;"http://carefacility.doe.louisiana.gov/view.aspx?id=11268"
1846;"North Vacherie Head Start Center I";"St. James";"3251 Valcour Aime Street";"Vacherie";"LA";70090;"Lametra Charles, Director DesigneeClaudia Joseph, Director";"225-265-7161";"Child Day Care";"Class A";"No";"Yes";"7:00a - 3:00p";"7:00a - 3:00p";"7:00a - 3:00p";"7:00a - 3:00p";"7:00a - 3:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";1846;"http://carefacility.doe.louisiana.gov/view.aspx?id=1846"
16222;"Lady Campbell's Faith Academy LLC";"St. Bernard";"5005 East St. Bernard Highway";"Violet";"LA";70092;"Lillie Campbell, DirectorKiavonna Jefferson, Director Designee";"504-277-0294";"Child Day Care";"Class A";"No";"Field Trip Only";"6:00a - 5:00p";"6:00a - 5:00p";"6:00a - 5:00p";"6:00a - 5:00p";"6:00a - 5:00p";"Closed";"Closed";"Child Care";"No";"1 Star";16222;"http://carefacility.doe.louisiana.gov/view.aspx?id=16222"
8758;"St. Bernard Parish School Board - W. Smith Elementary";"St. Bernard";"6701 East St. Bernard Highway";"Violet";"LA";70092;"Deborah Seibert, DirectorJeannee' Lewis, Director Designee";"504-302-1000";"Child Day Care";"Class A";"No";"Yes";"7:30a - 2:30p";"7:30a - 2:30p";"7:30a - 2:30p";"7:30a - 2:30p";"7:30a - 2:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";8758;"http://carefacility.doe.louisiana.gov/view.aspx?id=8758"
8969;"Trinity Learning Center";"St. Bernard";"5524 East Judge Perez Drive";"Violet";"LA";70092;"Clarvette Johnson, Director";"504-682-4968";"Child Day Care";"Class A";"No";"No";"6:00a - 6:00a";"6:00a - 6:00a";"6:00a - 6:00a";"6:00a - 6:00a";"6:00a - 6:00a";"Closed";"Closed";"Child Care";"No";"No Star Rating";8969;"http://carefacility.doe.louisiana.gov/view.aspx?id=8969"
16231;"Beechgrove Head Start";"Jefferson";"721 Tricia Court";"Westwego";"LA";70094;"Veralyn Hayes, Director DesigneeGloria McKenzie, Director";"504-437-4852";"Child Day Care";"Class A";"No";"No";"8:15a - 2:30p";"8:15a - 2:30p";"8:15a - 2:30p";"8:15a - 2:30p";"8:15a - 2:30p";"Closed";"Closed";"Child Care";"No";"1 Star";16231;"http://carefacility.doe.louisiana.gov/view.aspx?id=16231"
15730;"Bridge City Academy";"Jefferson";"1614 Bridge City Avenue";"Bridge City";"LA";70094;"Mary Course, DirectorTreva Richmond, Director Designee";"504-436-8656";"Child Day Care";"Class A";"No";"Yes";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"2 Stars";15730;"http://carefacility.doe.louisiana.gov/view.aspx?id=15730"
50042;"Cornerstone Montessori";"Jefferson";"328 Avenue A";"Westwego";"LA";70094;"Dawn Bourgeois, Director";"504-267-0127";"Child Day Care";"Class A";"No";"No";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";50042;"http://carefacility.doe.louisiana.gov/view.aspx?id=50042"
9977;"Jones Kingdom Kids Daycare Learning Center";"Jefferson";"245 South Jamie Boulevard";"Avondale";"LA";70094;"Shirley Jones, Director";"504-342-7540";"Child Day Care";"Class A";"No";"Yes";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";9977;"http://carefacility.doe.louisiana.gov/view.aspx?id=9977"
50010;"Weatherford Academy Early Learning Center";"Jefferson";"613 Fourth Street";"Westwego";"LA";70094;"Martha Weatherford, Director";"504-267-3080";"Child Day Care";"Class A";"No";"Field Trip Only";"6:30a - 9:00p";"6:30a - 9:00p";"6:30a - 9:00p";"6:30a - 9:00p";"6:30a - 9:00p";"Closed";"Closed";"Child Care";"No";"1 Star";50010;"http://carefacility.doe.louisiana.gov/view.aspx?id=50010"
15744;"Westwego Early Childhood Academy";"Jefferson";"570 Avenue A";"Westwego";"LA";70094;"Trina Blount, Director Designee";"504-598-5314";"Child Day Care";"Class A";"No";"Field Trip Only";"6:00a - 6:30p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"2 Stars";15744;"http://carefacility.doe.louisiana.gov/view.aspx?id=15744"
11510;"Bright Minds Academy LLC";"Orleans";"6836 Bundy Road, Suite D";"New Orleans";"LA";70112;"Xiomara Smith, Director";"504-309-6056";"Child Day Care";"Class A";"No";"No";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";11510;"http://carefacility.doe.louisiana.gov/view.aspx?id=11510"
15659;"Kidopolis Child Development Center";"Orleans";"127 Elk Place";"New Orleans";"LA";70112;"Gladys Miranda, DirectorKaren Tweedy, Director Designee";"504-988-7479";"Child Day Care";"Class A";"No";"No";"7:30a - 5:30p";"7:30a - 5:30p";"7:30a - 5:30p";"7:30a - 5:30p";"7:30a - 5:30p";"Closed";"Closed";"Child Care";"No";"2 Stars";15659;"http://carefacility.doe.louisiana.gov/view.aspx?id=15659"
16092;"Total Community Action Early Head Start at Covenant House of New Orleans";"Orleans";"611 N. Rampart Street";"New Orleans";"LA";70112;"Shannon Lewis, Director";"504-522-5845";"Child Day Care";"Class A";"No";"Field Trip Only";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";16092;"http://carefacility.doe.louisiana.gov/view.aspx?id=16092"
50086;"The Nursery Learning & Development Center";"Orleans";"1700 Josephine Street";"New Orleans";"LA";70113;"Jamilah Pelrean, Director";"504-373-6741";"Child Day Care";"Class A";"No";"No";"7:30a - 5:30p";"7:30a - 5:30p";"7:30a - 5:30p";"7:30a - 5:30p";"7:30a - 5:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";50086;"http://carefacility.doe.louisiana.gov/view.aspx?id=50086"
154;"Berean Head Start Center";"Orleans";"1629 Simon Bolivar Avenue";"New Orleans";"LA";70113;"Emelda McGee, Director";"504-524-1281";"Child Day Care";"Class A";"No";"Field Trip Only";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"Closed";"Closed";"Child Care";"No";"4 Stars";154;"http://carefacility.doe.louisiana.gov/view.aspx?id=154"
264;"Central City Economic Opportunity Corporation Head Start";"Orleans";"2020 Jackson Avenue";"New Orleans";"LA";70113;"Latisha Newman, Director";"504-581-2136";"Child Day Care";"Class A";"No";"Field Trip Only";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"Closed";"Closed";"Child Care";"No";"1 Star";264;"http://carefacility.doe.louisiana.gov/view.aspx?id=264"
12978;"Dryades - YMCA Day Care Program";"Orleans";"1924 Philip Street";"New Orleans";"LA";70113;"Lori Brown, Director";"504-299-4310";"Child Day Care";"Class A";"No";"Yes";"7:30a - 5:00p";"7:30a - 5:00p";"7:30a - 5:00p";"7:30a - 5:00p";"7:30a - 5:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";12978;"http://carefacility.doe.louisiana.gov/view.aspx?id=12978"
16102;"Little Kippsters Early Learning Center";"Orleans";"2625 Thalia Street";"New Orleans";"LA";70113;"Chanda Bonds, Director";"504-609-3979";"Child Day Care";"Class A";"No";"No";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"1 Star";16102;"http://carefacility.doe.louisiana.gov/view.aspx?id=16102"
14552;"Little Professor Child Development Center";"Orleans";"2424 Clara St";"New Orleans";"LA";70113;"Althea English, Director";"504-895-6500";"Child Day Care";"Class A";"No";"Field Trip Only";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";14552;"http://carefacility.doe.louisiana.gov/view.aspx?id=14552"
304;"Martin Luther King Head Start Center";"Orleans";"1401 Simon Bolivar Avenue";"New Orleans";"LA";70113;"Diane Johnson, DirectorVelma Payne, Director";"504-524-0391";"Child Day Care";"Class A";"No";"Field Trip Only";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"Closed";"Closed";"Child Care";"No";"5 Stars";304;"http://carefacility.doe.louisiana.gov/view.aspx?id=304"
15764;"Priscilla R. Edwards Head Start (Formerly Central City EOC Head Start)";"Orleans";"1962 Jackson Avenue";"New Orleans";"LA";70113;"Vangie Moffett, Director";"504-210-1143";"Child Day Care";"Class A";"No";"Field Trip Only";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"Closed";"Closed";"Child Care";"No";"1 Star";15764;"http://carefacility.doe.louisiana.gov/view.aspx?id=15764"
115;"St. John the Baptist Head Start";"Orleans";"1920 Clio Street";"New Orleans";"LA";70113;"Gaynell Anderson, Director";"504-529-2557";"Child Day Care";"Class A";"No";"Field Trip Only";"7:00a - 4:00p";"7:00a - 4:00p";"7:00a - 4:00p";"7:00a - 4:00p";"7:00a - 4:00p";"Closed";"Closed";"Child Care";"No";"3 Stars";115;"http://carefacility.doe.louisiana.gov/view.aspx?id=115"
15083;"Total Community Action, Inc. Head Start at Mahalia Jackson";"Orleans";"2405 Jackson Avenue";"New Orleans";"LA";70113;"Alice Spencer, Director";"504-359-6891";"Child Day Care";"Class A";"No";"Field Trip Only";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"Closed";"Closed";"Child Care";"No";"5 Stars";15083;"http://carefacility.doe.louisiana.gov/view.aspx?id=15083"
14313;"Clara's Little Lamb Preschool Academy, Inc";"Orleans";"1904/1908 Casa Calvo Street";"New Orleans";"LA";70114;"Clara Washington, Director";"504-362-2550";"Child Day Care";"Class A";"No";"Yes";"8:00a - 3:30p";"8:00a - 3:30p";"8:00a - 3:30p";"8:00a - 3:30p";"8:00a - 3:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";14313;"http://carefacility.doe.louisiana.gov/view.aspx?id=14313"
8583;"Clara's Little Lambs Preschool Academy, Inc #4";"Orleans";"1871 Farragut Street";"New Orleans";"LA";70114;"Clara Washington, Director DesigneeSonjia Joseph, Director";"504-362-7710";"Child Day Care";"Class A";"No";"Yes";"6:00a - 5:30p";"6:00a - 5:30p";"6:00a - 5:30p";"6:00a - 5:30p";"6:00a - 5:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";8583;"http://carefacility.doe.louisiana.gov/view.aspx?id=8583"
16054;"Coloring House Christian Academy";"Orleans";"2975 Behrman Highway";"New Orleans";"LA";70114;"Gennesaret Simmons, Director DesigneeChristina Jones Benn, Director";"504-227-1115";"Child Day Care";"Class A";"No";"Yes";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"4 Stars";16054;"http://carefacility.doe.louisiana.gov/view.aspx?id=16054"
15490;"Cuddly Bear Child Development Center, LLC";"Orleans";"3600 General Meyer Avenue";"New Orleans";"LA";70114;"Miranda Scott, Director";"504-364-0423";"Child Day Care";"Class A";"No";"Field Trip Only";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"Closed";"Closed";"Child Care";"No";"4 Stars";15490;"http://carefacility.doe.louisiana.gov/view.aspx?id=15490"
3836;"Diana Head Start Center";"Orleans";"2144 Pace Boulevard";"New Orleans";"LA";70114;"Gloria Wallace, Director";"504-366-4626";"Child Day Care";"Class A";"No";"Field Trip Only";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"Closed";"Closed";"Child Care";"No";"4 Stars";3836;"http://carefacility.doe.louisiana.gov/view.aspx?id=3836"
16110;"Future Scholars Academy";"Orleans";"3050 General Collins Avenue";"New Orleans";"LA";70114;"Denise Williams, Director";"504-367-7970";"Child Day Care";"Class A";"No";"No";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";16110;"http://carefacility.doe.louisiana.gov/view.aspx?id=16110"
10308;"Grapaul's Care";"Orleans";"1900 Bodenger Boulevard";"New Orleans";"LA";70114;"Grace Sider, Director";"504-366-1255";"Child Day Care";"Class A";"No";"No";"7:00a - 5:45p";"7:00a - 5:45p";"7:00a - 5:45p";"7:00a - 5:45p";"7:00a - 5:45p";"Closed";"Closed";"Child Care";"No";"No Star Rating";10308;"http://carefacility.doe.louisiana.gov/view.aspx?id=10308"
11951;"Gwen's Preschool Academy Incorporated";"Orleans";"408 Diana Street";"New Orleans";"LA";70114;"Kazondra Thomas-Blair, Director";"504-363-3902";"Child Day Care";"Class A";"No";"No";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"Closed";"Closed";"Child Care";"No";"1 Star";11951;"http://carefacility.doe.louisiana.gov/view.aspx?id=11951"
16144;"Happy Heart Learning Academy, LLC";"Orleans";"700 Le Beouf Street";"New Orleans";"LA";70114;"Shendrika Russell, DirectorBrenda Gould, Director";"504-309-7520";"Child Day Care";"Class A";"Yes";"Field Trip Only";"6:00a - 6:00a";"6:00a - 6:00a";"6:00a - 6:00a";"6:00a - 6:00a";"6:00a - 6:00a";"6:00a - 6:00a";"6:00a - 6:00a";"Child Care";"No";"1 Star";16144;"http://carefacility.doe.louisiana.gov/view.aspx?id=16144"
50030;"It Takes A Village Academy, LLC";"Orleans";"3605 Garden Oaks Drive";"New Orleans";"LA";70114;"Stacey Byes, DirectorDwan Francis, Director Designee";"504-309-0316";"Child Day Care";"Class A";"No";"No";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"1 Star";50030;"http://carefacility.doe.louisiana.gov/view.aspx?id=50030"
16192;"Little Learners Federal City, LLC";"Orleans";"775 Hunley Lane";"New Orleans";"LA";70114;"Donna Graves, DirectorKandence Smith, Director Designee";"504-301-3476";"Child Day Care";"Class A";"No";"Field Trip Only";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"1 Star";16192;"http://carefacility.doe.louisiana.gov/view.aspx?id=16192"
14638;"Pearlie H. Elloie Head Start Center";"Orleans";"3029 Wall Boulevard";"New Orleans";"LA";70114;"Kathleen James, Director";"504-366-4171";"Child Day Care";"Class A";"No";"Field Trip Only";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"7:00a - 5:00p";"Closed";"Closed";"Child Care";"No";"3 Stars";14638;"http://carefacility.doe.louisiana.gov/view.aspx?id=14638"
9730;"Shelia's Kiddie Cottage";"Orleans";"4349 General Meyer Avenue";"New Orleans";"LA";70114;"Sheila Green, Director";"504-393-1940";"Child Day Care";"Class A";"No";"Field Trip Only";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"6:30a - 5:30p";"Closed";"Closed";"Child Care";"No";"5 Stars";9730;"http://carefacility.doe.louisiana.gov/view.aspx?id=9730"
14649;"Smart Start Child Care Center";"Orleans";"2933 Sandra Drive";"New Orleans";"LA";70114;"Jannie Veal, Director";"504-367-3033";"Child Day Care";"Class A";"No";"No";"6:30a - 5:00p";"6:30a - 5:00p";"6:30a - 5:00p";"6:30p - 5:00p";"6:30a - 5:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";14649;"http://carefacility.doe.louisiana.gov/view.aspx?id=14649"
15995;"The Little Schoolhouse Child Development Center";"Orleans";"3843 General Meyer";"New Orleans";"LA";70114;"Sara Waguespack, Director";"504-309-8998";"Child Day Care";"Class A";"No";"No";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"1 Star";15995;"http://carefacility.doe.louisiana.gov/view.aspx?id=15995"
15113;"Tracy's Tiny Treasures";"Orleans";"1023 Sumner Street";"New Orleans";"LA";70114;"Dawn Mosely, Director";"504-309-3447";"Child Day Care";"Class A";"No";"No";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"7:00a - 5:30p";"Closed";"Closed";"Child Care";"No";"3 Stars";15113;"http://carefacility.doe.louisiana.gov/view.aspx?id=15113"
13197;"Academy of Sacred Hearts: Little Hearts";"Orleans";"4301 St. Charles Avenue";"New Orleans";"LA";70115;"Kay Higginbotham, Director";"504-269-1230";"Child Day Care";"Class B";"No";"Field Trip Only";"7:45a - 3:30p";"7:45a - 3:30p";"7:45a - 3:30p";"7:45a - 3:30p";"7:45a - 3:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";13197;"http://carefacility.doe.louisiana.gov/view.aspx?id=13197"
16221;"Audubon Primary Chart House";"Orleans";"2300 General Taylor";"New Orleans";"LA";70115;"Jewel Stafford, DirectorAshmani Isaacs, Director Designee";"504-352-3764";"Child Day Care";"Class A";"No";"No";"6:30a - 6:30p";"6:30a - 6:30p";"6:30a - 6:30p";"6:30a - 6:30p";"6:30a - 6:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";16221;"http://carefacility.doe.louisiana.gov/view.aspx?id=16221"
7193;"Ecole Bilingue de la Nourelle-Orleans";"Orleans";"5818 Perrier Street";"New Orleans";"LA";70115;"Pauline Dides, DirectorAdeline Din, Director";"504-899-9796";"Child Day Care";"Class B";"No";"No";"7:30a - 5:30p";"7:30a - 5:30p";"7:30a - 5:30p";"7:30a - 5:30p";"7:30a - 5:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";7193;"http://carefacility.doe.louisiana.gov/view.aspx?id=7193"
