"ID";"Corrective Action Plan Start";"Corrective Action Plan End";"Non Compliance Code";"Outcome Code";"Issue Completed Date"
30000055;"1/5/2022";"1/19/2022";"19.4.a.  Center has written, daily roster that includes names of each child used during field trips";"Achieved";"1/19/2022"
30000055;"1/5/2022";"1/19/2022";"19.10.a.   Equipped with band aids, a non mercury thermometer, gauze, and pencil and paper";"Achieved";"1/19/2022"
30000055;"1/5/2022";"1/19/2022";"20.2.a.  Premises, furnishings, equipment and supplies are in good repair";"Achieved";"1/19/2022"
30001710;"5/18/2022";"10/6/2022";"7.4.c.  Names, physical addresses, and telephone numbers of emergency contact";"Achieved";"10/4/2022"
30001710;"5/18/2022";"10/6/2022";"7.4.e. Child's health insurance coverage and policy number";"Achieved";"10/4/2022"
30001710;"5/18/2022";"10/6/2022";"8.4.d. Completed, signed, and dated Authorization and Release for Protective Service Record Check on file";"Achieved";"10/4/2022"
30001710;"5/18/2022";"10/6/2022";"8.5.g.2. Health assessment includes physical exam, vision and hearing screening,";"Achieved";"10/4/2022"
30001710;"5/18/2022";"10/6/2022";"8.5.g.4. Health assessment includes TB risk assessment";"Achieved";"10/4/2022"
30001710;"5/18/2022";"10/6/2022";"8.6.f.1. CPR and First Aid.";"Achieved";"10/4/2022"
30001710;"5/18/2022";"10/6/2022";"8.7.b. Qualified staff apply for WV STARS Career Pathway";"Achieved";"10/6/2022"
30001710;"5/18/2022";"10/6/2022";"8.7.d. Non qualified staff have training within the first 6 months";"Achieved";"10/4/2022"
30001710;"5/18/2022";"10/6/2022";"10.5.b.1. Staff/child ratio and single age group size are maintained";"Achieved";"10/4/2022"
30001710;"5/18/2022";"10/6/2022";"15.2.a. A health assessment is on file within 30 days of admission";"Achieved";"10/4/2022"
30001710;"5/18/2022";"10/6/2022";"15.4.h.9. When a child no longer needs medication or its expiration date passes,";"Achieved";"10/4/2022"
30001710;"5/18/2022";"10/6/2022";"16.3.b.   Keep information accessible to cooks, confidential otherwise";"Achieved";"10/4/2022"
30001710;"5/18/2022";"10/6/2022";"17.2.c.   Floor area adjacent to diaper changing area has non-absorbent";"Achieved";"10/4/2022"
30001710;"5/18/2022";"10/6/2022";"19.7.b.  Center documents at least 2 fire drills a month";"Achieved";"10/4/2022"
30074819;"3/15/2022";"8/25/2022";"8.4.c.3. FBI check for any employee who live outside WV";"Achieved";"8/25/2022"
30074819;"3/15/2022";"8/25/2022";"8.4.d. Completed, signed, and dated Authorization and Release for Protective Service Record Check on file";"Achieved";"8/25/2022"
30074819;"3/15/2022";"8/25/2022";"8.6.e. Center documents orientation training";"Achieved";"8/25/2022"
30074819;"3/15/2022";"8/25/2022";"8.7.c. Qualified staff complete the approved training to keep the credential current";"Achieved";"8/25/2022"
30074819;"3/15/2022";"8/25/2022";"10.1.a. Children have adequate supervision";"Achieved";"8/25/2022"
30074819;"3/15/2022";"8/25/2022";"19.6.g.5.  Diagram of  routes to reach safe location";"Achieved";"8/25/2022"
30074819;"3/15/2022";"8/25/2022";"20.2.a.  Premises, furnishings, equipment and supplies are in good repair";"Achieved";"8/25/2022"
30269504;"6/28/2022";;"8.7.b. Qualified staff apply for WV STARS Career Pathway";"Pending";
30269504;"6/28/2022";;"8.7.c. Qualified staff complete the approved training to keep the credential current";"Pending";
30269504;"6/28/2022";;"10.2.c.  Separate indoor areas regularly occupied by older children";"Pending";
30217589;"4/6/2021";"12/21/2021";"8.7.c. Qualified staff complete the approved training to keep the credential current";"Not Achieved";"12/21/2021"
30217589;"4/6/2021";"12/21/2021";"19.7.a.1.  Procedures to be followed";"Not Achieved";"12/21/2021"
30217589;"4/6/2021";"12/21/2021";"20.4.a.1.B. Fences have no openings greater than (3 1/2) inches";"Not Achieved";"12/21/2021"
30217589;"4/6/2021";"12/21/2021";"20.4.c.2.  Outdoor environment is clear of hazards";"Achieved";"12/21/2021"
30217589;"4/6/2021";"12/21/2021";"8.5.g.4. Health assessment includes TB risk assessment";"Achieved";"12/21/2021"
30217589;"4/6/2021";"12/21/2021";"8.6.f.1. CPR and First Aid.";"Achieved";"12/21/2021"
30217589;"4/6/2021";"12/21/2021";"8.6.i.2. Existing program, staff member shall have a minimum of 40 hours of approved training.";"Achieved";"12/21/2021"
30217589;"4/6/2021";"12/21/2021";"10.1.a. Children have adequate supervision";"Achieved";"12/21/2021"
30217589;"4/6/2021";"12/21/2021";"20.2.a.  Premises, furnishings, equipment and supplies are in good repair";"Achieved";"12/21/2021"
30217589;"12/21/2021";"1/26/2022";"13.6.e.1. Outdoor equipment is installed";"Achieved";"1/26/2022"
30217589;"12/21/2021";"1/26/2022";"16.9.a.   Posted one week in advance";"Achieved";"1/5/2022"
30217589;"12/21/2021";"1/26/2022";"19.7.a.   Center has a plan for evacuating center in emergency posted";"Achieved";"1/26/2022"
30217589;"12/21/2021";"1/26/2022";"19.7.b.  Center documents at least 2 fire drills a month";"Achieved";
30217589;"12/21/2021";"1/26/2022";"20.2.a.  Premises, furnishings, equipment and supplies are in good repair";"Achieved";"1/26/2022"
30217589;"12/21/2021";"1/26/2022";"20.4.a.1.B. Fences have no openings greater than (3 1/2) inches";"Achieved";"1/26/2022"
30217589;"9/15/2022";"10/14/2022";"11.4.c. Restraining a child other than by a  firm grasp and only for child to regain control";"Achieved";"10/14/2022"
30217589;"9/15/2022";"10/14/2022";"11.5. If a child's behavior continues over time, director and staff implement a plan for managing difficult behavior";"Achieved";"10/14/2022"
30217589;"12/21/2021";"1/26/2022";"4.4.b.5. Positive Fire Safety Inspection by State Fire Marshal";"Achieved";"1/5/2022"
30217589;"12/21/2021";"1/26/2022";"8.6.d. Center provides orientation to the staff member";"Not Achieved";"1/26/2022"
30217589;"12/21/2021";"1/26/2022";"8.7.b. Qualified staff apply for WV STARS Career Pathway";"Not Achieved";"1/26/2022"
30006173;"11/9/2021";"3/15/2022";"7.4.c.  Names, physical addresses, and telephone numbers of emergency contact";"Achieved";
30006173;"11/9/2021";"3/15/2022";"7.4.f. Parent consent for emergency medical treatment and transportation";"Achieved";
30006173;"11/9/2021";"3/15/2022";"7.4.g.  Parent signed consent to release child to other than custodial parent";"Achieved";
30006173;"11/9/2021";"3/15/2022";"7.4.l.  Dates of enrollment and discharge";"Achieved";
30006173;"11/9/2021";"3/15/2022";"7.4.n. Name and telephone number of school-age child's school";"Achieved";
30006173;"11/9/2021";"3/15/2022";"8.3.a. Written notification to staff regarding position, qualifications, and duties";"Achieved";
30006173;"11/9/2021";"3/15/2022";"8.3.d.1. Current job description:";"Achieved";
30006173;"11/9/2021";"3/15/2022";"8.3.d.2. Two written references (3 for Director);";"Achieved";
30006173;"11/9/2021";"3/15/2022";"8.4.d. Completed, signed, and dated Authorization and Release for Protective Service Record Check on file";"Achieved";
30006173;"11/9/2021";"3/15/2022";"8.5.g.2. Health assessment includes physical exam, vision and hearing screening,";"Achieved";
30006173;"11/9/2021";"3/15/2022";"8.6.f.1. CPR and First Aid.";"Achieved";
30006173;"11/9/2021";"3/15/2022";"11.8.b.  Obtaining a signed and dated acknowledgement that the center has explained the policies and provided the parent with a copy";"Achieved";
30006173;"11/9/2021";"3/15/2022";"14.4. For children twenty-four months of age and under";"Achieved";
30006173;"11/9/2021";"3/15/2022";"17.2.c.   Floor area adjacent to diaper changing area has non-absorbent";"Achieved";
30006173;"11/9/2021";"3/15/2022";"19.7.a.3. A diagram of safe routes to exit each area of the center";"Achieved";
30006173;"12/12/2021";"3/15/2022";"19.12.  Reporting a Serious Occurrence.";"Achieved";
30227701;"8/10/2022";;"11.6.c. Statement posted that center reports suspected child abuse";"Pending";
30227701;"8/10/2022";;"19.10.a.   Equipped with band aids, a non mercury thermometer, gauze, and pencil and paper";"Pending";
30227701;"8/10/2022";;"20.2.a.  Premises, furnishings, equipment and supplies are in good repair";"Pending";
30227701;"8/10/2022";;"20.3.b.1. Products containing potentially hazardous chemicals";"Pending";
30227701;"11/23/2020";"6/7/2021";"8.5.h. Employee health assessment be updated every two years and put in file";"Achieved";"6/7/2021"
30005489;"1/11/2021";"3/5/2021";"15.4.g.3. The center completes a serious occurrence report as required by rule.";"Achieved";"3/5/2021"
30005489;"9/27/2022";;"10.1.a. Children have adequate supervision";"Pending";
30005489;"5/2/2022";"5/18/2022";"8.4.c. A criminal background investigation (CIB) check or FBI check on staff and volunteers";"Achieved";"6/9/2022"
30005489;"5/2/2022";"5/18/2022";"8.5.g. Employee and some volunteers have a recent health assessment on file within 30 days";"Achieved";"5/18/2022"
30005489;"5/2/2022";"5/18/2022";"8.5.g.4. Health assessment includes TB risk assessment";"Achieved";"5/18/2022"
30005489;"5/2/2022";"5/18/2022";"8.6.f.1. CPR and First Aid.";"Achieved";"5/18/2022"
30005489;"5/2/2022";"5/18/2022";"8.6.f.2. Abuse Recognition and Prevention";"Achieved";"5/18/2022"
30005489;"5/2/2022";"5/18/2022";"8.6.h. Prior to assuming management duties, staff";"Achieved";"5/18/2022"
30005489;"5/2/2022";"5/18/2022";"13.5.h.4. Plastic bags, latex gloves and Styrofoam objects are not accessible to the child under 4 years of age";"Achieved";"5/18/2022"
30005489;"5/2/2022";"5/18/2022";"15.4.h.6. A center shall ensure that prescription medication is only administered";"Achieved";"5/2/2022"
30005489;"5/2/2022";"5/18/2022";"19.10.   First Aid Kit.";"Achieved";"5/18/2022"
30005489;"5/2/2022";"5/18/2022";"8.6.e. Center documents orientation training";"Achieved";"5/18/2022"
30005489;"6/9/2022";"9/12/2022";"8.6.i.2. Existing program, staff member shall have a minimum of 40 hours of approved training.";"Achieved";"9/12/2022"
30005489;"6/9/2022";"9/12/2022";"8.6.i.2.A. A staff member with the approved training be present 7 hours daily";"Achieved";"9/12/2022"
30005489;"6/9/2022";"9/12/2022";"8.6.i.2.B.  Staff members have a written plan for completion of training";"Achieved";"9/12/2022"
30005489;"6/9/2022";"9/12/2022";"8.6.i.2.C. Center develops a mentoring plan";"Achieved";"9/12/2022"
30005489;"6/9/2022";"9/12/2022";"16.3.  Special Dietary Needs";"Achieved";"9/12/2022"
30005489;"6/9/2022";"9/12/2022";"19.12.b.  Reports occurrence within 24 hours or by next work day.";"Achieved";"9/12/2022"
30253503;"9/29/2021";"12/13/2021";"8.6.d. Center provides orientation to the staff member";"Achieved";"11/16/2021"
30253503;"9/29/2021";"12/13/2021";"8.6.f.1. CPR and First Aid.";"Achieved";"11/16/2021"
30253503;"9/29/2021";"12/13/2021";"8.7.b. Qualified staff apply for WV STARS Career Pathway";"Achieved";"11/16/2021"
30253503;"9/29/2021";"12/13/2021";"19.4.a.  Center has written, daily roster that includes names of each child used during field trips";"Achieved";"12/13/2021"
30253503;"9/29/2021";"12/13/2021";"19.10.a.   Equipped with band aids, a non mercury thermometer, gauze, and pencil and paper";"Achieved";"12/13/2021"
30253503;"12/13/2021";;"12.2.a. Minimum (35) square feet per child of usable indoor space";"Pending";
30253503;"12/13/2021";;"19.7.b.  Center documents at least 2 fire drills a month";"Achieved";"1/6/2022"
30253503;"12/13/2021";;"20.3.f.  Hot pipes and radiators are shielded.";"Achieved";"1/6/2022"
30253503;"12/13/2021";;"8.3.d.2. Two written references (3 for Director);";"Achieved";"1/11/2022"
30253503;"12/13/2021";;"8.7.b. Qualified staff apply for WV STARS Career Pathway";"Pending";
30253503;"9/29/2021";"12/13/2021";"8.3.a. Written notification to staff regarding position, qualifications, and duties";"Achieved";"11/16/2021"
30253503;"9/29/2021";"12/13/2021";"8.3.b.1.  Performance evaluations conducted annually";"Achieved";"11/16/2021"
30253503;"9/29/2021";"12/13/2021";"8.4.d. Completed, signed, and dated Authorization and Release for Protective Service Record Check on file";"Not Achieved";"11/16/2021"
30253503;"9/29/2021";"12/13/2021";"8.5.g. Employee and some volunteers have a recent health assessment on file within 30 days";"Achieved";"11/16/2021"
30253503;"9/29/2021";"12/13/2021";"8.5.g.4. Health assessment includes TB risk assessment";"Achieved";"11/16/2021"
30235504;"9/27/2021";"12/6/2021";"10.1.a. Children have adequate supervision";"Pending";
30235504;"9/21/2021";"12/6/2021";"8.3.a. Written notification to staff regarding position, qualifications, and duties";"Achieved";"10/31/2021"
30235504;"9/21/2021";"12/6/2021";"8.3.b.1.  Performance evaluations conducted annually";"Achieved";"10/31/2021"
30235504;"9/21/2021";"12/6/2021";"8.3.d. Center personnel files includes";"Achieved";"12/6/2021"
30235504;"9/21/2021";"12/6/2021";"8.5.g. Employee and some volunteers have a recent health assessment on file within 30 days";"Achieved";"10/31/2021"
30235504;"9/21/2021";"12/6/2021";"8.6.d. Center provides orientation to the staff member";"Not Achieved";"12/6/2021"
30235504;"9/21/2021";"12/6/2021";"8.6.f.2. Abuse Recognition and Prevention";"Not Achieved";"12/6/2021"
30235504;"9/21/2021";"12/6/2021";"8.7.c. Qualified staff complete the approved training to keep the credential current";"Not Achieved";"12/6/2021"
30235504;"9/21/2021";"12/6/2021";"13.6.e.1. Outdoor equipment is installed";"Achieved";"9/29/2021"
30235504;"9/21/2021";"12/6/2021";"19.10.a.   Equipped with band aids, a non mercury thermometer, gauze, and pencil and paper";"Achieved";"9/29/2021"
30235504;"9/21/2021";"12/6/2021";"20.2.d.  Sleeping equipment, are a minimum of 24 inches apart";"Achieved";"9/29/2021"
30235504;"12/6/2021";;"8.3.a. Written notification to staff regarding position, qualifications, and duties";"Achieved";"1/6/2022"
30235504;"12/6/2021";;"8.3.d. Center personnel files includes";"Achieved";"5/9/2022"
30235504;"12/6/2021";;"8.3.d.2. Two written references (3 for Director);";"Pending";
30235504;"12/6/2021";;"8.4.d. Completed, signed, and dated Authorization and Release for Protective Service Record Check on file";"Achieved";"5/9/2022"
30235504;"12/6/2021";;"8.5.g. Employee and some volunteers have a recent health assessment on file within 30 days";"Achieved";"5/9/2022"
30235504;"12/6/2021";;"8.5.g.4. Health assessment includes TB risk assessment";"Achieved";"5/9/2022"
30235504;"12/6/2021";;"8.6.d. Center provides orientation to the staff member";"Achieved";"5/9/2022"
30235504;"12/6/2021";;"8.7.b. Qualified staff apply for WV STARS Career Pathway";"Achieved";"5/9/2022"
30235504;"12/6/2021";;"19.4.a.  Center has written, daily roster that includes names of each child used during field trips";"Achieved";"1/4/2022"
30235504;"12/6/2021";;"19.7.b.  Center documents at least 2 fire drills a month";"Achieved";"1/4/2022"
30235504;"12/6/2021";;"20.3.j.3.  Preschoolers have no access to strings or cords six (6) inches or longer";"Achieved";"1/4/2022"
30212683;"3/22/2021";"2/16/2022";"11.1.b. Guidance, behavior management is constructive";"Achieved";
30212683;"3/22/2021";"2/16/2022";"11.2.d. Supervise with kindness, understanding and firmness";"Achieved";"2/16/2022"
30212683;"3/22/2021";"2/16/2022";"11.4.a. Subjecting  child to physical punishment of any kind";"Achieved";
30212683;"3/22/2021";"2/16/2022";"20.2.f.3.   Center has light for supervision when a child is sleeping";"Achieved";"2/16/2022"
30212683;"2/16/2022";;"13.5.h.2. Use zones extend and meet specifics described in rule";"Pending";
30212683;"2/16/2022";;"13.7.b. Container, shelves, or cupboards that are inaccessible to children";"Pending";
30212683;"2/16/2022";;"16.3.b.   Keep information accessible to cooks, confidential otherwise";"Pending";
30212683;"2/16/2022";;"16.11.e.2.   Have the parent clearly label each bottle with the child's name,";"Pending";
30212683;"2/16/2022";;"20.3.e.  Staff are trained in correct use and dangers of microwaves.";"Pending";
30068031;"1/6/2021";"6/9/2021";"14.1.d. Is posted in clear view.";"Achieved";"6/9/2021"
30068031;"1/6/2021";"6/9/2021";"15.5.c.1.  Has a personally labeled toothbrush with bristles in good condition,";"Achieved";"6/9/2021"
30068031;"1/6/2021";"6/9/2021";"16.3.b.   Keep information accessible to cooks, confidential otherwise";"Achieved";"6/9/2021"
30068031;"1/6/2021";"6/9/2021";"8.4.d. Completed, signed, and dated Authorization and Release for Protective Service Record Check on file";"Achieved";"6/9/2021"
30068031;"9/21/2022";;"8.4.d. Completed, signed, and dated Authorization and Release for Protective Service Record Check on file";"Pending";
30068031;"9/21/2022";;"20.2.a.  Premises, furnishings, equipment and supplies are in good repair";"Pending";
30068031;"9/21/2022";;"13.5.h.2. Use zones extend and meet specifics described in rule";"Pending";
30068031;"10/1/2022";;"11.4.c. Restraining a child other than by a  firm grasp and only for child to regain control";"Pending";
30068031;"10/1/2022";;"10.1.d. Children remain in approved areas  for daily activities";"Pending";
30068031;"10/1/2022";;"10.1.a. Children have adequate supervision";"Pending";
30068031;"10/1/2022";;"10.5.b.3.A. At least one qualified staff member is in each room";"Pending";
30068031;"10/1/2022";;"11.3. Behavior Management and Discipline.";"Pending";
30068031;"10/1/2022";;"10.3.e. There is a plan enabling staff member to call for assistance without leaving group";"Pending";
30068031;"10/1/2022";;"11.5. If a child's behavior continues over time, director and staff implement a plan for managing difficult behavior";"Pending";
30068031;"1/6/2021";"6/9/2021";"7.4.b. Name of parent, parent's home & work phone numbers";"Achieved";"1/29/2021"
30068031;"1/6/2021";"6/9/2021";"7.4.c.  Names, physical addresses, and telephone numbers of emergency contact";"Achieved";"1/29/2021"
30068031;"1/6/2021";"6/9/2021";"7.4.d. Names, addresses, & telephone numbers of medical/emergency care";"Achieved";"6/9/2021"
30068031;"1/6/2021";"6/9/2021";"7.4.m. Scheduled days and hours of attendance";"Achieved";"6/9/2021"
30068031;"1/6/2021";"6/9/2021";"8.5.g. Employee and some volunteers have a recent health assessment on file within 30 days";"Achieved";"6/9/2021"
30068031;"1/6/2021";"6/9/2021";"8.5.g.3. Health assessment includes significant health history, physical exam, vision and hearing screening, TB risk assessment";"Achieved";"6/9/2021"
30053527;"11/30/2020";"7/7/2021";"8.6.d. Center provides orientation to the staff member";"Achieved";"7/7/2021"
30053527;"11/30/2020";"7/7/2021";"8.6.f.2. Abuse Recognition and Prevention";"Not Achieved";"7/7/2021"
30053527;"11/30/2020";"7/7/2021";"8.7.b. Qualified staff apply for WV STARS Career Pathway";"Not Achieved";"7/7/2021"
30053527;"7/7/2021";"11/22/2021";"8.3.b.1.  Performance evaluations conducted annually";"Achieved";"11/22/2021"
30053527;"7/7/2021";"11/22/2021";"8.5.g.2. Health assessment includes physical exam, vision and hearing screening,";"Achieved";"11/22/2021"
30053527;"7/7/2021";"11/22/2021";"8.6.f.1. CPR and First Aid.";"Achieved";"11/22/2021"
30053527;"7/7/2021";"11/22/2021";"8.6.f.2. Abuse Recognition and Prevention";"Achieved";"11/22/2021"
30053527;"7/7/2021";"11/22/2021";"8.7.c. Qualified staff complete the approved training to keep the credential current";"Achieved";"11/22/2021"
30053527;"7/7/2021";"11/22/2021";"10.2.c.  Separate indoor areas regularly occupied by older children";"Achieved";"11/22/2021"
30053527;"7/7/2021";"11/22/2021";"20.2.a.  Premises, furnishings, equipment and supplies are in good repair";"Achieved";"11/22/2021"
30053527;"7/7/2021";"11/22/2021";"20.4.c.1. Play area is well drained and free of debris";"Achieved";"11/22/2021"
30053527;"11/30/2020";"7/7/2021";"8.3.b.1.  Performance evaluations conducted annually";"Not Achieved";"7/7/2021"
30053527;"11/30/2020";"7/7/2021";"8.5.g. Employee and some volunteers have a recent health assessment on file within 30 days";"Achieved";"7/7/2021"
30068023;"8/31/2022";;"12.1. Center does not exceed licensed capacity";"Pending";
30068023;"8/31/2022";;"13.5.h.2. Use zones extend and meet specifics described in rule";"Pending";
30068023;"8/31/2022";;"19.7.a.   Center has a plan for evacuating center in emergency posted";"Pending";
30068023;"6/2/2021";"12/16/2021";"13.5.h.2. Use zones extend and meet specifics described in rule";"Achieved";"12/16/2021"
30068023;"6/2/2021";"12/16/2021";"19.4.b.  Periodically, staff checks roster to ensure children are present";"Achieved";"12/16/2021"
30068023;"6/2/2021";"12/16/2021";"19.10.a.   Equipped with band aids, a non mercury thermometer, gauze, and pencil and paper";"Achieved";"12/16/2021"
30068023;"6/2/2021";"12/16/2021";"20.4.b.2.  Surface of play area in an equipment use zone is composed of:";"Achieved";"12/16/2021"
30210015;"12/15/2020";"4/15/2021";"12.2.a. Minimum (35) square feet per child of usable indoor space";"Achieved";"4/15/2021"
30210015;"4/15/2021";"8/11/2021";"4.4.b.6. Positive Dept. of Health Inspections for Child Care & Food Establishments";"Not Achieved";"8/11/2021"
30210015;"4/15/2021";"8/11/2021";"8.3.a. Written notification to staff regarding position, qualifications, and duties";"Achieved";"5/17/2021"
30210015;"4/15/2021";"8/11/2021";"8.3.d.1. Current job description:";"Achieved";"5/17/2021"
30210015;"4/15/2021";"8/11/2021";"8.3.d.2. Two written references (3 for Director);";"Achieved";"5/17/2021"
30210015;"4/15/2021";"8/11/2021";"8.4.c.1. Statement of Criminal record on file";"Achieved";"5/17/2021"
30210015;"4/15/2021";"8/11/2021";"8.4.c.3. FBI check for any employee who live outside WV";"Not Achieved";"8/11/2021"
30210015;"4/15/2021";"8/11/2021";"8.4.d. Completed, signed, and dated Authorization and Release for Protective Service Record Check on file";"Achieved";"8/11/2021"
30210015;"4/15/2021";"8/11/2021";"8.5.g.1. Health assessment includes significant health history";"Achieved";"5/17/2021"
30210015;"4/15/2021";"8/11/2021";"8.5.g.4. Health assessment includes TB risk assessment";"Achieved";"5/17/2021"
30210015;"4/15/2021";"8/11/2021";"8.6.d. Center provides orientation to the staff member";"Not Achieved";"8/11/2021"
30210015;"4/15/2021";"8/11/2021";"8.6.f.1. CPR and First Aid.";"Achieved";"8/11/2021"
30210015;"4/15/2021";"8/11/2021";"8.7.c. Qualified staff complete the approved training to keep the credential current";"Not Achieved";"8/11/2021"
30210015;"4/15/2021";"8/11/2021";"15.4.h.1. Written permission is provided by parent from a licensed health care provider";"Achieved";"5/17/2021"
30210015;"4/15/2021";"8/11/2021";"17.2.c.   Floor area adjacent to diaper changing area has non-absorbent";"Achieved";"5/17/2021"
30210015;"4/15/2021";"8/11/2021";"22.1.   Vehicles used are currently licensed, inspected, insured,";"Achieved";"8/11/2021"
30210015;"8/11/2021";;"4.2.a. Applicant shall submit a completed application";"Pending";
30210015;"8/11/2021";;"4.4.b.7. Menu review & certificate of approval";"Pending";
30210015;"8/11/2021";;"8.4.c. A criminal background investigation (CIB) check or FBI check on staff and volunteers";"Pending";
30210015;"8/11/2021";;"8.6.d. Center provides orientation to the staff member";"Pending";
30210015;"8/11/2021";;"8.7.c. Qualified staff complete the approved training to keep the credential current";"Pending";
30210015;"8/11/2021";;"11.8.b.  Obtaining a signed and dated acknowledgement that the center has explained the policies and provided the parent with a copy";"Pending";
30001324;"12/1/2021";"7/19/2022";"13.6.d. Strollers or carriages are available for outings.";"Achieved";
30001324;"12/1/2021";"7/19/2022";"14.4. For children twenty-four months of age and under";"Achieved";
30001324;"12/1/2021";"7/19/2022";"15.4.h.15.   A center shall post the ""Seven Rights of Medication Administration""";"Achieved";"12/1/2021"
30001324;"12/1/2021";"7/19/2022";"16.11.e.10.   Clean and sanitize bottles, bottle caps, and nipples by washing";"Achieved";
30001324;"12/1/2021";"7/19/2022";"19.10.   First Aid Kit.";"Achieved";
30001324;"12/1/2021";"7/19/2022";"20.3.b.2. Center has on file a material safety data sheet";"Achieved";
30001324;"12/1/2021";"7/19/2022";"23.5.c.8.  Visually post expectations so that children are encouraged";"Achieved";
30001324;"6/8/2021";"8/11/2021";"4.4.b.5. Positive Fire Safety Inspection by State Fire Marshal";"Achieved";"8/11/2021"
30217546;"1/13/2021";"6/17/2021";"4.4.b.5. Positive Fire Safety Inspection by State Fire Marshal";"Achieved";"2/19/2021"
30217546;"1/13/2021";"6/17/2021";"6.1.b.4. Appoints and supervises a full time director; Submits director's qualifications prior to employment";"Achieved";"4/8/2021"
30217546;"1/13/2021";"6/17/2021";"11.6.c. Statement posted that center reports suspected child abuse";"Achieved";"2/19/2021"
30217546;"1/13/2021";"6/17/2021";"19.10.   First Aid Kit.";"Achieved";"2/19/2021"
30217546;"1/13/2021";"6/17/2021";"19.10.a.   Equipped with band aids, a non mercury thermometer, gauze, and pencil and paper";"Achieved";"2/19/2021"
30217546;"1/13/2021";"6/17/2021";"20.2.c.3.  Staff has clear sight lines for supervision";"Achieved";"6/17/2021"
30059385;"2/16/2021";"3/16/2021";"4.2.a. Applicant shall submit a completed application";"Achieved";"3/16/2021"
30059385;"2/16/2021";"3/16/2021";"8.3.d.2. Two written references (3 for Director);";"Achieved";"3/16/2021"
30059385;"2/16/2021";"3/16/2021";"8.5.g. Employee and some volunteers have a recent health assessment on file within 30 days";"Achieved";"3/16/2021"
30059385;"2/16/2021";"3/16/2021";"8.5.g.4. Health assessment includes TB risk assessment";"Achieved";"3/16/2021"
30059385;"2/16/2021";"3/16/2021";"8.6.d.7. Daily schedule including group of children assigned";"Achieved";"3/16/2021"
30059385;"2/16/2021";"3/16/2021";"8.6.e. Center documents orientation training";"Achieved";"3/16/2021"
30059385;"2/16/2021";"3/16/2021";"15.4.h.15.   A center shall post the ""Seven Rights of Medication Administration""";"Achieved";"3/16/2021"
30059385;"2/16/2021";"3/16/2021";"19.10.a.   Equipped with band aids, a non mercury thermometer, gauze, and pencil and paper";"Achieved";"3/16/2021"
30059385;"2/16/2021";"3/16/2021";"20.3.e.  Staff are trained in correct use and dangers of microwaves.";"Achieved";"3/16/2021"
30209783;"9/16/2021";"1/26/2022";"8.4.c. A criminal background investigation (CIB) check or FBI check on staff and volunteers";"Achieved";"1/26/2022"
30209783;"2/28/2022";"3/2/2022";"8.3.d. Center personnel files includes";"Achieved";"3/2/2022"
30209783;"2/28/2022";"3/2/2022";"8.6.f.2. Abuse Recognition and Prevention";"Achieved";"3/2/2022"
30209783;"2/28/2022";"3/2/2022";"13.6.e.1. Outdoor equipment is installed";"Achieved";"3/2/2022"
30100157;"7/6/2022";"9/21/2022";"8.3.d. Center personnel files includes";"Achieved";"9/21/2022"
30100157;"7/6/2022";"9/21/2022";"8.3.d.2. Two written references (3 for Director);";"Achieved";"9/21/2022"
30100157;"7/6/2022";"9/21/2022";"8.6.d.5. Policies and procedures for safety, including prevention of injury and fire safety";"Achieved";"9/21/2022"
30100157;"7/6/2022";"9/21/2022";"13.4.i.8. A center shall change soiled bedding";"Achieved";"9/21/2022"
30100157;"7/6/2022";"9/21/2022";"13.5.h.4. Plastic bags, latex gloves and Styrofoam objects are not accessible to the child under 4 years of age";"Achieved";"9/21/2022"
30100157;"7/6/2022";"9/21/2022";"16.9.a.   Posted one week in advance";"Achieved";"9/21/2022"
30100157;"7/6/2022";"9/21/2022";"16.11.e.4.   Cap bottles of formula or breast milk during storage";"Achieved";"9/21/2022"
30100157;"7/6/2022";"9/21/2022";"19.4.a.  Center has written, daily roster that includes names of each child used during field trips";"Achieved";"9/21/2022"
30100157;"7/6/2022";"9/21/2022";"19.7.a.3. A diagram of safe routes to exit each area of the center";"Achieved";"9/21/2022"
30100157;"7/6/2022";"9/21/2022";"19.10.   First Aid Kit.";"Achieved";"9/21/2022"
30100157;"7/6/2022";"9/21/2022";"20.2.a.  Premises, furnishings, equipment and supplies are in good repair";"Achieved";"9/21/2022"
30100157;"11/16/2020";"10/25/2021";"19.10.a.   Equipped with band aids, a non mercury thermometer, gauze, and pencil and paper";"Achieved";"10/25/2021"
30100157;"11/16/2020";"10/25/2021";"19.10.b.    The First Aid Kit is readily available at all times";"Achieved";"10/25/2021"
30100157;"11/16/2020";"10/25/2021";"20.2.a.  Premises, furnishings, equipment and supplies are in good repair";"Achieved";"10/25/2021"
30100157;"11/16/2020";"10/25/2021";"20.2.f.3.   Center has light for supervision when a child is sleeping";"Achieved";"10/25/2021"
30100157;"11/16/2020";"10/25/2021";"20.3.b.1. Products containing potentially hazardous chemicals";"Achieved";"10/25/2021"
30199373;"8/18/2021";"10/25/2021";"4.4.b.5. Positive Fire Safety Inspection by State Fire Marshal";"Achieved";"10/7/2021"
30199373;"8/18/2021";"10/25/2021";"13.4.i.8. A center shall change soiled bedding";"Achieved";"10/25/2021"
