"Faciliy Num";"Visit Date";"Visit_Description"
22593;"02/06/2023";"No Violations Cited"
22593;"11/08/2022";"No Violations Cited"
22593;"11/08/2022";"No Violations Cited"
16760;"09/27/2023";"No Violations Cited"
16760;"03/03/2023";"No Violations Cited"
16760;"12/16/2022";"No Violations Cited"
22995;"02/24/2023";"No Violations Cited"
13675;"07/18/2023";"To prevent entrapment, there shall be no opening(s) between any interior opposing surfaces between three and one-half inches (3.5"") and nine inches (9). (Openings in equipment that might allow a child’s body to pass through, but not their head.) Ground bounded openings are exempt."
13675;"06/01/2023";"No Violations Cited"
13675;"04/05/2023";"No Violations Cited"
13675;"02/22/2023";"No Violations Cited"
13675;"12/19/2022";"No Violations Cited"
10834;"10/09/2023";"No Violations Cited"
10834;"06/13/2023";"No Violations Cited"
10834;"04/18/2023";"No Violations Cited"
10834;"11/08/2022";"No Violations Cited"
10473;"09/29/2023";"No Violations Cited"
10473;"04/10/2023";"No Violations Cited"
15857;"09/28/2023";"No Violations Cited"
15857;"02/15/2023";"No Violations Cited"
15857;"01/09/2023";"No Violations Cited"
30743;"06/12/2023";"No Violations Cited"
30743;"03/28/2023";"No Violations Cited"
30743;"11/17/2022";"No Violations Cited"
30743;"11/03/2022";"No Violations Cited"
30700;"09/08/2023";"No Violations Cited"
30700;"08/18/2023";"No Violations Cited"
30700;"06/23/2023";"No Violations Cited"
30700;"01/17/2023";"No Violations Cited"
30700;"11/29/2022";"No Violations Cited"
30186;"03/13/2023";"No Violations Cited"
30186;"12/16/2022";"No Violations Cited"
30385;"09/21/2023";"No Violations Cited"
30385;"06/01/2023";"No Violations Cited"
30385;"05/23/2023";"No Violations Cited"
30385;"03/30/2023";"No Violations Cited"
30385;"11/04/2022";"No Violations Cited"
30332;"07/18/2023";"No Violations Cited"
30332;"05/22/2023";"No Violations Cited"
30332;"03/31/2023";"No Violations Cited"
30332;"01/17/2023";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
30332;"12/30/2022";"No Violations Cited"
29968;"07/20/2023";"No Violations Cited"
29968;"07/20/2023";"No Violations Cited"
29968;"03/29/2023";"The following persons shall be required to have their background reviewed through an Arkansas Child Maltreatment Central Registry Check. Prospective employees who have not lived in the State of Arkansas during the preceding five (5) years will be subject to current federal guidelines regarding conducting a child maltreatment background check in any states where they resided during the past five (5) years.Staff members and applicants for employment in a Prior to employment and every two (2) years child care facility thereafter"
29968;"03/29/2023";"The following persons shall be required to have their background reviewed through an Arkansas Child Maltreatment Central Registry Check. Prospective employees who have not lived in the State of Arkansas during the preceding five (5) years will be subject to current federal guidelines regarding conducting a child maltreatment background check in any states where they resided during the past five (5) years.Each applicant to own or operate a child care facility At application and every two (2) years thereafter"
29968;"03/29/2023";"The following persons shall apply to the Identification Bureau of the Arkansas State Police for a nationwide criminal record check, to be conducted by the Federal Bureau of Investigation (FBI), which shall include a fingerprint check: (The individual is responsible for the cost of a nationwide check. Each request must be accompanied by a check or money order made out to the Arkansas State Police.) Fingerprints submitted will be used to check the criminal history records of the FBI. Individuals with results showing a prohibited offense shall be advised to contact the Licensing Unit for procedures to obtain the results and for procedures to update or make corrections to the record of their individual history.Direct care staff or staff with routine contact with children Prior to employment and every five (5) years thereafter"
29968;"03/29/2023";"All directors, site supervisors, and staff who provide direct care to children shall be registered with the Division of Child Care and Early Childhood Education (DCCECE) Professional Development Registry within thirty (30) days of hire and all training shall be registered with DCCECE Professional Development Registry or Department of Education or Department of Higher Education approved."
29968;"12/12/2022";"No Violations Cited"
30448;"04/04/2023";"No Violations Cited"
30448;"12/06/2022";"No Violations Cited"
29779;"09/19/2023";"No Violations Cited"
29779;"03/28/2023";"No Violations Cited"
29779;"03/09/2023";"No Violations Cited"
29779;"12/06/2022";"No Violations Cited"
28848;"07/20/2023";"No Violations Cited"
28848;"04/04/2023";"No Violations Cited"
28848;"11/30/2022";"No Violations Cited"
28848;"11/14/2022";"No Violations Cited"
30127;"09/20/2023";"Subparts 1 and 2(A) An EIDT must comply with all requirements of the applicable Minimum Licensing Standards for Child Care Centers. (B) A violation of the applicable Minimum Licensing Standards for Child Care Centers constitutes a violation of these standards."
30127;"09/20/2023";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
30127;"09/20/2023";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Restraints (Restraining a child briefly by holding the child is allowed when the child’s actions place the child or others at risk of injury);"
30127;"09/20/2023";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred (A copy of this shall be given to the parent on the day of occurrence);"
30127;"06/26/2023";"Subparts 1 and 2An EIDT must appropriately supervise all beneficiaries based on each beneficiary’s needs."
30127;"02/28/2023";"No Violations Cited"
30127;"02/14/2023";"No Violations Cited"
24749;"05/02/2023";"No Violations Cited"
24749;"12/09/2022";"No Violations Cited"
24749;"11/22/2022";"No Violations Cited"
24749;"10/14/2022";"No Violations Cited"
29018;"06/22/2023";"No Violations Cited"
29018;"06/07/2023";"No Violations Cited"
29018;"05/04/2023";"Subparts 1 and 2An EIDT must appropriately supervise all beneficiaries based on each beneficiary’s needs."
29018;"03/01/2023";"No Violations Cited"
29018;"02/14/2023";"No Violations Cited"
8004;"09/22/2023";"No Violations Cited"
8004;"03/10/2023";"No Violations Cited"
7174;"09/29/2023";"No Violations Cited"
7174;"04/10/2023";"No Violations Cited"
7172;"05/16/2023";"Use zone protective surfacing depths shall be as follows: Minimum compressed loose-fill protective surfacing depths Inches Loose-Fill Material Protects to Fall Height of:9 Wood chips 10 feet"
7172;"04/18/2023";"No Violations Cited"
7172;"10/25/2022";"No Violations Cited"
28539;"03/28/2023";"No Violations Cited"
28539;"11/18/2022";"No Violations Cited"
28322;"10/10/2023";"No Violations Cited"
28322;"03/24/2023";"No Violations Cited"
28322;"12/12/2022";"No Violations Cited"
28322;"12/06/2022";"No Violations Cited"
26182;"10/03/2023";"No Violations Cited"
26182;"09/29/2023";"No Violations Cited"
26182;"03/02/2023";"No Violations Cited"
26182;"12/01/2022";"No Violations Cited"
26137;"08/28/2023";"No Violations Cited"
26137;"08/01/2023";"Parents shall not be denied access to their child at any time during hours of operation. (Clarification: The intent of this rule is to ensure that the parent(s) or guardian(s) is able to have contact with his or her child during hours of care. It is not intended to be a determining factor in child custody or visitation matters, nor should it be used to circumvent court ordered custody, visitation rights, or schedules. Facilities should encourage parents to resolve custody or visitation issues outside of the care environment. Parents should be informed that continuing problems could result in the dismissal of their child)."
26137;"08/01/2023";"No Violations Cited"
26137;"02/22/2023";"No Violations Cited"
25281;"08/25/2023";"All participants shall be adequately supervised at all times. Though participants are generally required to be within the sight or hearing of staff, Out-of-School Time (OST) participants, second grade and above, may be provided opportunities to take part in short-term activities not within the sight and hearing of OST staff. Such short-term activities include but are not limited to going to a restroom, transitioning to other activities, returning to a classroom within a school building, etc. In order to minimize the risks associated with such short-term activities, the following provisions must be adhered to:Participants shall be accompanied at a minimum by another participant when engaging in short term activities (as defined above);"
25281;"08/25/2023";"All participants shall be adequately supervised at all times. Though participants are generally required to be within the sight or hearing of staff, Out-of-School Time (OST) participants, second grade and above, may be provided opportunities to take part in short-term activities not within the sight and hearing of OST staff. Such short-term activities include but are not limited to going to a restroom, transitioning to other activities, returning to a classroom within a school building, etc. In order to minimize the risks associated with such short-term activities, the following provisions must be adhered to:Systems of monitoring, (ex. use of two-way communication devices) shall be in place; and"
25281;"04/18/2023";"No Violations Cited"
25281;"10/21/2022";"No Violations Cited"
25966;"09/27/2023";"No Violations Cited"
25966;"03/31/2023";"No Violations Cited"
25966;"12/12/2022";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
24466;"09/27/2023";"No Violations Cited"
24466;"04/13/2023";"No Violations Cited"
23516;"10/09/2023";"No Violations Cited"
23516;"04/14/2023";"No Violations Cited"
23416;"03/17/2023";"No Violations Cited"
23416;"12/16/2022";"No Violations Cited"
45226;"09/21/2023";"No Violations Cited"
45226;"09/21/2023";"No Violations Cited"
45226;"05/23/2023";"All participants shall be adequately supervised at all times. Though participants are generally required to be within the sight or hearing of staff, Out-of-School Time (OST) participants, second grade and above, may be provided opportunities to take part in short-term activities not within the sight and hearing of OST staff. Such short-term activities include but are not limited to going to a restroom, transitioning to other activities, returning to a classroom within a school building, etc. In order to minimize the risks associated with such short-term activities, the following provisions must be adhered to:Participants shall be accompanied at a minimum by another participant when engaging in short term activities (as defined above);"
45226;"03/31/2023";"No Violations Cited"
45226;"11/18/2022";"No Violations Cited"
31051;"08/24/2023";"No Violations Cited"
31051;"03/24/2023";"No Violations Cited"
31051;"03/20/2023";"No Violations Cited"
31051;"11/10/2022";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of ChildrenAges of Children: Birth – 18 months Number of Staff: 1 Number of Children: 5"
31051;"11/10/2022";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
31051;"11/10/2022";"When windows and doors are used for ventilation, they shall be screened and shall not present a safety hazard."
31051;"11/10/2022";"No Violations Cited"
31328;"08/22/2023";"No Violations Cited"
31328;"06/23/2023";"No Violations Cited"
31328;"06/23/2023";"No Violations Cited"
31328;"06/23/2023";"No Violations Cited"
31328;"06/23/2023";"No Violations Cited"
31328;"06/23/2023";"No Violations Cited"
31328;"06/23/2023";"No Violations Cited"
31328;"06/20/2023";"No Violations Cited"
31328;"04/12/2023";"No Violations Cited"
31328;"11/14/2022";"No Violations Cited"
35444;"07/13/2023";"No Violations Cited"
35444;"03/30/2023";"No Violations Cited"
35444;"12/12/2022";"No Violations Cited"
35423;"08/15/2023";"No Violations Cited"
35423;"08/04/2023";"No Violations Cited"
35423;"06/08/2023";"No Violations Cited"
35423;"05/31/2023";"No Violations Cited"
35423;"05/16/2023";"No Violations Cited"
35423;"05/15/2023";"No Violations Cited"
35423;"04/25/2023";"No Violations Cited"
35423;"11/21/2022";"No Violations Cited"
30925;"09/11/2023";"No Violations Cited"
30925;"09/11/2023";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of ChildrenAges of Children: 18 months – 36 months Number of Staff: 1 Number of Children: 8"
30925;"09/11/2023";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
30925;"07/13/2023";"No Violations Cited"
30925;"07/13/2023";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
30925;"07/13/2023";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred (A copy of this shall be given to the parent on the day of occurrence);"
30925;"03/30/2023";"No Violations Cited"
30925;"12/12/2022";"No Violations Cited"
37726;"08/02/2023";"No Violations Cited"
37726;"08/02/2023";"No Violations Cited"
37726;"05/17/2023";"No Violations Cited"
37726;"04/26/2023";"Staff shall not engage in behavior that could be viewed as sexual, dangerous, exploitative, or physically harmful to children. A caregiver shall not use profanity or speak in an abusive manner when children are present."
37726;"04/11/2023";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
37726;"04/06/2023";"All new staff, including volunteers who are counted in the ratios, shall receive the following orientation within three (3) months of employment (and every three (3) years thereafter) and shall not be left alone with children until this is completed.All staff shall have fifteen (15) hours of job specific training each year, including child development training, for the ages of children they work with. This shall be training focused on their job responsibilities, such as “Hands on Routine Care” for infants, or “Basics of Assessment” for preschool staff. See Division website for a list of courses, that the Division maintains contracts for, which meet the above requirements."
37726;"04/06/2023";"Staff records may be maintained off site, unless otherwise noted, and shall contain the following:Education, training and experience, including a copy of the General Education Diploma (GED) or high school diploma (If these documents are no longer available, proof of reasonable effort to obtain the documentation is acceptable) Clarification: Training hours will be counted on a calendar year basis or by the facility’s operating schedule if they do not operate year- round;"
37726;"03/14/2023";"No Violations Cited"
37726;"12/12/2022";"No Violations Cited"
36618;"09/01/2023";"No Violations Cited"
36618;"08/14/2023";"The facility shall provide a written procedure for reporting suspected licensing violations. Serious licensing violations shall be reported to the Licensing Unit. These include, but are not limited to, violations relating to transportation, inappropriate behavior guidance, leaving children unattended, or unsupervised, staff to child ratio violations, or any other violations that could imminently affect the health and safety of children."
36618;"07/24/2023";"No Violations Cited"
36618;"06/21/2023";"No Violations Cited"
36618;"05/22/2023";"No Violations Cited"
36618;"04/27/2023";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
36618;"04/06/2023";"No Violations Cited"
36618;"01/04/2023";"No Violations Cited"
36618;"11/30/2022";"No Violations Cited"
36618;"11/09/2022";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
38217;"05/19/2023";"No Violations Cited"
38217;"05/19/2023";"No Violations Cited"
38217;"03/30/2023";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
38217;"01/11/2023";"No Violations Cited"
38217;"01/11/2023";"No Violations Cited"
38217;"11/21/2022";"No Violations Cited"
38217;"10/31/2022";"No Violations Cited"
36353;"10/05/2023";"No Violations Cited"
36353;"07/20/2023";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:Infant feeding documentation shall be maintained for at least one (1) year; and"
36353;"07/20/2023";"Feedings for all children up to twelve (12) months of age shall be documented by the caregiver and available for review by the parent. This documentation shall continue for all children older than twelve (12) months of age who are still being given bottles."
36353;"06/30/2023";"No Violations Cited"
36353;"03/07/2023";"No Violations Cited"
36287;"06/12/2023";"No Violations Cited"
36287;"05/22/2023";"No Violations Cited"
36287;"02/24/2023";"No Violations Cited"
36287;"11/17/2022";"No Violations Cited"
36221;"05/23/2023";"No Violations Cited"
36221;"05/23/2023";"No Violations Cited"
36221;"03/29/2023";"No Violations Cited"
36221;"12/12/2022";"No Violations Cited"
36156;"09/19/2023";"No Violations Cited"
36156;"01/17/2023";"No Violations Cited"
11947;"07/18/2023";"No Violations Cited"
11947;"05/10/2023";"No Violations Cited"
11947;"03/30/2023";"No Violations Cited"
11947;"03/29/2023";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Restraints (Restraining a child briefly by holding the child is allowed when the child’s actions place the child or others at risk of injury);"
11947;"01/26/2023";"No Violations Cited"
11947;"11/14/2022";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
11947;"11/14/2022";"No Violations Cited"
22521;"08/04/2023";"No Violations Cited"
22521;"03/30/2023";"No Violations Cited"
30699;"09/19/2023";"No Violations Cited"
30699;"03/07/2023";"No Violations Cited"
30699;"12/06/2022";"No Violations Cited"
30694;"07/19/2023";"No Violations Cited"
30694;"05/23/2023";"No Violations Cited"
30694;"04/04/2023";"No Violations Cited"
30694;"03/14/2023";"No Violations Cited"
30694;"12/27/2022";"No Violations Cited"
30694;"11/21/2022";"No Violations Cited"
30692;"08/31/2023";"No Violations Cited"
30692;"03/30/2023";"No Violations Cited"
30692;"03/15/2023";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
30692;"12/06/2022";"When windows and doors are used for ventilation, they shall be screened and shall not present a safety hazard."
30692;"12/06/2022";"Floors, ceilings, and walls shall be in good repair and kept clean. Paints used at the facility shall be lead free."
30638;"04/27/2023";"No Violations Cited"
30638;"12/13/2022";"No Violations Cited"
30638;"11/22/2022";"No Violations Cited"
30632;"03/29/2023";"No Violations Cited"
30120;"09/07/2023";"No Violations Cited"
30120;"08/28/2023";"No Violations Cited"
30120;"08/21/2023";"An individually labeled crib or safe playpen with a waterproof mattress shall be provided for each child less than twelve (12) months of age. A bassinet shall not be used. (Please note that the CPSC does not recommend the use of playpens in licensed child care.)"
30120;"08/21/2023";"Infants’ sleep space (e.g. crib) shall be free of loose bedding. If a light blanket is necessary, it should be kept at or below the mid-chest area of the child. Staff shall not cover the faces of infants."
30120;"08/21/2023";"Pillows (including nursing or “boppy” pillows), bumpers and bumper pads, and stuffed animals shall not be placed in cribs."
30120;"08/21/2023";"During naptime for children two and one-half (2 ½) years of age and above, a minimum of fifty percent (50%) of the staff shall remain with the children, with a total of seventy-five percent (75%) of the staff remaining in the building."
30120;"08/21/2023";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of ChildrenAges of Children: Birth – 18 months Number of Staff: 1 Number of Children: 5"
30120;"08/14/2023";"Any cribs or playpens that have been identified as unsafe or have been subject to recall as defined by the Consumer Products Safety Commission (CPSC) guidelines or law, shall be removed or repaired as indicated."
30120;"08/14/2023";"Infants and toddlers shall be placed in age appropriate cribs, cots, or mats meeting Consumer Product Safety Commission (CPSC) standards, for when they fall asleep. (Note: Also, any items used in the crib must be used according to manufacturer guidelines, regardless if the child is sleeping or not, in accordance with 1001.1.)"
30120;"12/06/2022";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of ChildrenAges of Children: Birth – 18 months Number of Staff: 1 Number of Children: 5"
30606;"05/22/2023";"No Violations Cited"
30606;"03/13/2023";"No Violations Cited"
30606;"12/30/2022";"No Violations Cited"
30097;"03/06/2023";"No Violations Cited"
30097;"11/03/2022";"No Violations Cited"
29975;"08/21/2023";"No Violations Cited"
29975;"03/08/2023";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of ChildrenAges of Children: 18 months – 36 months Number of Staff: 1 Number of Children: 8"
29975;"03/07/2023";"No Violations Cited"
29975;"12/20/2022";"Infants and toddlers shall not be mixed with preschool children, except as listed in the following requirement."
29975;"12/06/2022";"Staff records may be maintained off site, unless otherwise noted, and shall contain the following:Education, training and experience, including a copy of the General Education Diploma (GED) or high school diploma (If these documents are no longer available, proof of reasonable effort to obtain the documentation is acceptable) Clarification: Training hours will be counted on a calendar year basis or by the facility’s operating schedule if they do not operate year- round;"
29975;"12/06/2022";"All bags belonging to children shall be checked on arrival to eliminate possible hazards."
29952;"07/19/2023";"No Violations Cited"
29952;"05/23/2023";"No Violations Cited"
29952;"04/28/2023";"No Violations Cited"
29952;"03/10/2023";"No Violations Cited"
29952;"11/21/2022";"No Violations Cited"
29952;"11/10/2022";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
29952;"11/10/2022";"No Violations Cited"
29952;"11/10/2022";"No Violations Cited"
29952;"10/13/2022";"Staff shall not engage in behavior that could be viewed as sexual, dangerous, exploitative, or physically harmful to children. A caregiver shall not use profanity or speak in an abusive manner when children are present."
30488;"09/25/2023";"No Violations Cited"
30488;"09/22/2023";"No Violations Cited"
30488;"09/22/2023";"All participants shall be adequately supervised at all times. Though participants are generally required to be within the sight or hearing of staff, Out-of-School Time (OST) participants, second grade and above, may be provided opportunities to take part in short-term activities not within the sight and hearing of OST staff. Such short-term activities include but are not limited to going to a restroom, transitioning to other activities, returning to a classroom within a school building, etc. In order to minimize the risks associated with such short-term activities, the following provisions must be adhered to:The appropriateness of the degree of direct staff supervision required shall be based on an individual participant’s ability to handle such responsibility. Only participants able to handle such responsibility shall be provided it;"
30488;"04/17/2023";"Fire and tornado drills shall be practiced as follows:Monthly;"
30479;"06/15/2023";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
30479;"06/15/2023";"No Violations Cited"
30479;"04/12/2023";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
30479;"03/28/2023";"The following persons shall be required to have their background reviewed through an Arkansas Child Maltreatment Central Registry Check. Prospective employees who have not lived in the State of Arkansas during the preceding five (5) years will be subject to current federal guidelines regarding conducting a child maltreatment background check in any states where they resided during the past five (5) years.Staff members and applicants for employment in a Prior to employment and every two (2) years child care facility thereafter"
30479;"03/28/2023";"Arkansas State Police Criminal Background Check The following persons shall be required to have their background reviewed through a fingerprint criminal records check (which includes the Arkansas Sexual Offender Registry) conducted by the Arkansas State Police. A prospective staff member may not begin work until the Arkansas State Police criminal record check result has been returned as satisfactory. Following receipt of the satisfactory result, this individual must be supervised at all times, pending completion of all of the required background check components, by a staff member who has successfully completed all required background checks. A National Sexual Offender Registry check will also be conducted on prospective employees. Prospective employees who have not lived in the State of Arkansas during the preceding five (5) years will be subject to current federal guidelines regarding conducting a criminal background check and sexual offender registry check in any states where they resided during the past five (5) years.Staff and applicants for employment in a child care facility Prior to employment and every five (5) years thereafter"
30479;"10/13/2022";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
30479;"10/13/2022";"No Violations Cited"
29225;"08/10/2023";"No Violations Cited"
29225;"05/25/2023";"No Violations Cited"
29225;"03/02/2023";"No Violations Cited"
29225;"11/17/2022";"No Violations Cited"
29528;"06/16/2023";"No Violations Cited"
29528;"06/16/2023";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
29528;"06/05/2023";"No Violations Cited"
29528;"04/06/2023";"No Violations Cited"
29528;"11/17/2022";"No Violations Cited"
25537;"06/28/2023";"No Violations Cited"
7175;"09/29/2023";"No Violations Cited"
7175;"04/10/2023";"No Violations Cited"
6238;"09/29/2023";"No Violations Cited"
6238;"04/10/2023";"No Violations Cited"
7664;"08/23/2023";"No Violations Cited"
7664;"03/07/2023";"No Violations Cited"
7664;"12/14/2022";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
7664;"12/14/2022";"No Violations Cited"
7664;"12/02/2022";"No Violations Cited"
7664;"12/02/2022";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of ChildrenAges of Children: Birth – 18 months Number of Staff: 1 Number of Children: 5"
7664;"10/31/2022";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
7664;"10/31/2022";"No Violations Cited"
27501;"05/23/2023";"No Violations Cited"
27501;"04/07/2023";"No Violations Cited"
27501;"12/09/2022";"No Violations Cited"
28355;"04/14/2023";"Bottles and “sippy cups” shall be labeled with the child’s name and shall be refrigerated."
28355;"04/14/2023";"All refrigerators used for food storage shall be maintained at a temperature of forty-one (41) degrees or below, and all freezers used for food storage shall be maintained at a temperature of zero (0) degrees or below."
28355;"04/14/2023";"Written procedures and evacuation diagrams for emergency drills shall be posted in each classroom."
28355;"02/22/2023";"No Violations Cited"
28355;"01/06/2023";"No Violations Cited"
28355;"11/10/2022";"No Violations Cited"
28355;"10/19/2022";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of ChildrenAges of Children: 18 months – 36 months Number of Staff: 1 Number of Children: 8"
28355;"10/19/2022";"In a group containing children of different ages, the staff to child ratio shall meet the requirements for the youngest child in the group."
28355;"10/19/2022";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
27037;"07/14/2023";"No Violations Cited"
27037;"07/14/2023";"Fire and tornado drills shall be practiced as follows:Monthly;"
27037;"04/14/2023";"Fire and tornado drills shall be practiced as follows:Monthly;"
27037;"04/14/2023";"All medications and poisonous substances shall be kept in separately locked areas."
27037;"02/07/2023";"No Violations Cited"
27037;"10/24/2022";"Application - An application shall be obtained from the Child Care Licensing Unit. The completed application packet shall be submitted to the Child Care Licensing Unit for review and approval. A completed application packet shall consist of:Verification that criminal record checks and child maltreatment central registry checks have been initiated on all owners, operators, and staff members of the Child Care Center;"
28009;"09/06/2023";"No Violations Cited"
28009;"09/06/2023";"Facility Records shall be maintained on site and include:Record of emergency drills;"
28009;"09/06/2023";"Facility Records shall be maintained on site and include:Record of emergency drills;"
28009;"09/06/2023";"Fire and tornado drills shall be practiced as follows:Monthly;"
28009;"07/10/2023";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
28009;"07/10/2023";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred (A copy of this shall be given to the parent on the day of occurrence);"
28009;"04/20/2023";"No Violations Cited"
28009;"04/04/2023";"No Violations Cited"
28009;"03/03/2023";"No Violations Cited"
28009;"12/13/2022";"No Violations Cited"
27928;"09/29/2023";"No Violations Cited"
27928;"09/28/2023";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
27928;"08/23/2023";"No Violations Cited"
27928;"03/28/2023";"No Violations Cited"
27928;"12/06/2022";"No Violations Cited"
27928;"12/05/2022";"Staff records may be maintained off site, unless otherwise noted, and shall contain the following:Education, training and experience, including a copy of the General Education Diploma (GED) or high school diploma (If these documents are no longer available, proof of reasonable effort to obtain the documentation is acceptable) Clarification: Training hours will be counted on a calendar year basis or by the facility’s operating schedule if they do not operate year- round;"
27928;"12/05/2022";"The area shall be free of hazards or potentially hazardous objects."
25932;"09/25/2023";"No Violations Cited"
25932;"04/25/2023";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
25932;"04/25/2023";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of ChildrenAges of Children: 4 years Number of Staff: 1 Number of Children: 15"
25932;"04/25/2023";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of ChildrenAges of Children: Birth – 18 months Number of Staff: 1 Number of Children: 5"
25932;"04/05/2023";"No Violations Cited"
25932;"03/07/2023";"No Violations Cited"
25932;"02/16/2023";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
25932;"02/15/2023";"No Violations Cited"
25932;"11/21/2022";"No Violations Cited"
25932;"11/10/2022";"No Violations Cited"
24411;"06/28/2023";"No Violations Cited"
24411;"03/08/2023";"No Violations Cited"
24411;"11/29/2022";"No Violations Cited"
31370;"05/16/2023";"No Violations Cited"
31370;"03/16/2023";"No Violations Cited"
34147;"06/09/2023";"No Violations Cited"
34147;"03/08/2023";"No Violations Cited"
34147;"12/12/2022";"No Violations Cited"
36470;"09/21/2023";"No Violations Cited"
36470;"03/14/2023";"No Violations Cited"
