"Faciliy Num";"Complaint Date";"Regulation(s) No";"Regulation_Description"
1256;"06/28/2019";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
1256;"08/18/2018";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
27430;"05/16/2023";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
27430;"08/04/2021";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
27430;"11/16/2018";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc."
25978;"02/23/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
29760;"05/17/2019";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc."
8557;"11/15/2021";"300.303.6";"Staff shall not engage in behavior that could be viewed as sexual, dangerous, exploitative, or physically harmful to children. A caregiver shall not use profanity or speak in an abusive manner when children are present."
8557;"09/20/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
8557;"07/24/2020";"100.102.1";"Child Care Centers shall maintain compliance with the licensing requirements at all times. To be in substantial compliance, the Child Care Center shall meet all essential standards necessary to protect the health, safety and welfare of the children attending the Child Care Center. Essential standards include but are not limited to those relating to issues involving fire, health, safety, nutrition, discipline, staff/child ratio and space. Failure to comply with any of the licensing requirements for Child Care Centers may result in any of the following adverse actions:"
15399;"06/11/2018";"800.801.1";"The home’s building, grounds and equipment shall be clean, kept in good repair, and maintained as needed to protect the health and safety of the children. If the home has sustained structural damage the caregiver shall immediately notify the Child Care Licensing Specialist."
15399;"02/28/2017";"1100.1106.1";"Pets with which children have contact shall receive vaccinations as required by law. Verification of vaccinations administered by a licensed veterinarian shall be maintained. Any pet that constitutes a threat to the welfare and safety of the children shall be kept in a confined area which prevents any contact with the children."
15399;"02/28/2017";"1000.1001.6";"Each child twelve (12) months of age or older shall have a cot, bed, pallet, or mat which shall be placed at least one foot apart. Sheets and covers are required. Bedding shall be of washable material and shall be kept clean. If mats or pallets are used on floors, floors shall be clean, warm, dry and draft free. Any mat or pallet less than two (2) inches thick shall be placed on carpet."
15399;"11/01/2011";"800.801.1";"The home’s building, grounds and equipment shall be clean, kept in good repair, and maintained as needed to protect the health and safety of the children. If the home has sustained structural damage the caregiver shall immediately notify the Child Care Licensing Specialist."
27843;"04/19/2012";"1400.1401.1.e";"All child care facilities shall comply with all applicable provisions as specified in IDEA:The facility shall allow service providers who are representatives of DHS, DDS or ADE access to the facility to provide special services as prescribed on the plan to enable the plan to be implemented in the classroom (natural/ least restrictive environment)."
7006;"01/09/2017";"600.604.1.i";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred. A copy of this shall be given to the parent on the day of occurrence."
31335;"03/19/2021";"500.501.2";"Physical punishment shall not be administered to children."
31335;"03/19/2021";"600.603.2";"(b) A behavior management plan: (1) Must be approved by an ECDS; (2) Must involve the fewest and shortest interventions possible; and (3) Cannot punish or use interventions that are physically or emotionally painful, frighten, or put the beneficiary at medical risk."
27416;"02/27/2020";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
27416;"02/27/2020";"1300.1301.13";"To insure that children have safely arrived in the appropriate classroom, the transportation roster shall be reviewed by the Director or designee and compared with classroom attendance records. The Director or designee shall sign off on the transportation roster to verify that all children have safely transitioned from the vehicle to the classroom."
27416;"02/27/2020";"1300.1301.3.c";"Staff transporting children shall meet the following requirements:Successfully completed the training course in Driver Safety that is offered or approved by the Division prior to transporting children (Verification of the completed course in Driver Safety shall be maintained on site in the staff’s record.)"
26825;"05/12/2022";"700.701.8";"All food brought from outside sources shall come from Health Department approved kitchens and shall be transported as per Health Department requirements, or the food shall be in an individual, commercially pre-packaged container. (This does not include individual sack lunches brought from home.)"
26825;"12/11/2019";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
26825;"09/01/2017";"300.303.2.b";"Staff members in a child care center shall be 18 years of age or older. Exceptions may be allowed for individuals sixteen (16) or seventeen (17) years of age to work in a center if they meet all of the following criteria:The individual shall not be left alone with children at any time."
26825;"09/01/2017";"300.303.2";"Staff members in a child care center shall be 18 years of age or older. Exceptions may be allowed for individuals sixteen (16) or seventeen (17) years of age to work in a center if they meet all of the following criteria:"
26825;"09/01/2017";"300.303.2.c";"Staff members in a child care center shall be 18 years of age or older. Exceptions may be allowed for individuals sixteen (16) or seventeen (17) years of age to work in a center if they meet all of the following criteria:The individual shall be under the direct supervision of an adult staff member at all times."
26825;"09/01/2017";"300.303.2.a";"Staff members in a child care center shall be 18 years of age or older. Exceptions may be allowed for individuals sixteen (16) or seventeen (17) years of age to work in a center if they meet all of the following criteria:The individual shall not have disciplinary control over children."
6660;"10/22/2018";"500.501.2";"Physical punishment shall not be administered to children."
23078;"02/13/2017";"1000.1003.2";"Infants/toddlers shall be placed in age appropriate cribs, cots, or mats meeting CPSC standards, for when they fall asleep. (Note: Also, any items used in the crib must be used according to manufacturer guidelines, regardless if the child is sleeping or not, in accordance with 1001.1)."
582;"03/17/2023";"700.702.6";"Children under two (2) years of age shall not be fed foods that may cause choking, such as, but not limited to hard candy, raw carrots, hot dogs, nuts, seeds, or popcorn."
582;"03/16/2023";"700.702.6";"Children under two (2) years of age shall not be fed foods that may cause choking, such as, but not limited to hard candy, raw carrots, hot dogs, nuts, seeds, or popcorn."
143;"08/17/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
28561;"04/23/2021";"600.604.1.i";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred (A copy of this shall be given to the parent on the day of occurrence);"
28561;"04/23/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
28561;"12/17/2020";"1100.1101.4";"Any child who is injured shall have immediate attention. Parents shall be notified of all injuries. Injuries that require the attention of medical personnel shall be reported to the parent immediately and to the Licensing Unit within one business day."
28561;"12/17/2020";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
28561;"01/18/2017";"500.501.5.i";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Yelling (This does not include a raised voice level to gain a child’s attention to protect the child from risk of harm.)"
28561;"01/18/2017";"500.501.5.a";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Restraints (Restraining a child briefly by holding the child is allowed when the child’s actions place the child or others at risk of injury.)"
28952;"04/05/2021";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
28952;"04/05/2021";"500.501.2";"Physical punishment shall not be administered to children."
12004;"08/30/2022";"300.303.7";"No caregiver shall consume or be under the influence of illegal drugs. A drug test may be required if there is reasonable cause to suspect violation of this requirement and the issue cannot otherwise be resolved. No caregiver shall consume or be under the influence of alcohol while delivering care. No caregiver shall consume or be under the influence of medications (prescription or non-prescription) which impair their ability to provide care."
10351;"03/27/2017";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
10351;"03/27/2017";"1100.1101.4";"Any child who is injured shall have immediate attention. Parents shall be notified of all injuries. Injuries that require the attention of medical personnel shall be reported to the parent immediately and to the Licensing Unit within one business day."
16697;"01/13/2021";"600.601.1";"Subparts 1 to 3"
16697;"08/10/2020";"600.604.1.i";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred (A copy of this shall be given to the parent on the day of occurrence.)"
16697;"08/15/2017";"1300.1301.9";"Any child who is less than 6 years old or weighs less than 60 pounds shall be restrained in a child passenger safety seat. Any child who is at least 6 years or weighs at least 60 pounds must be restrained by a safety belt. (Act 470 of 2001). Conventional school busses are exempt from this requirement except for the transportation of infants/toddlers. (See#1302.2) Child passenger safety seats shall be used in accordance with manufacturer’s guidelines."
27209;"08/18/2017";"300.301.2";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of Children"
36553;"04/06/2023";"600.604.1.i";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred (A copy of this shall be given to the parent on the day of occurrence);"
24732;"07/24/2017";"600.604.1.i";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred. A copy of this shall be given to the parent on the day of occurrence."
35230;"04/28/2023";"1100.1101.4";"Any child who is injured shall have immediate attention. Parents shall be notified of all injuries. Injuries that require the attention of medical personnel shall be reported to the parent immediately and to the Licensing Unit within one (1) business day."
30260;"11/03/2021";"700.702.6";"Children under two (2) years of age shall not be fed foods that may cause choking, such as, but not limited to hard candy, raw carrots, hot dogs, nuts, seeds, or popcorn."
36504;"12/01/2021";"700.701.2";"Breakfast, lunch, snacks, and evening meals shall each meet current U.S. Department of Agriculture guidelines, including portion size. (See Appendix C) Menus for all food service shall be posted. (See Division website.) If sack lunches are utilized, the facility shall ensure that they also meet these requirements. Milk shall be served to each child during the day. Exceptions may be made for children who suffer allergies to milk."
10349;"04/29/2021";"700.701.2";"Breakfast, lunch, snacks, and evening meals shall each meet current U.S. Department of Agriculture guidelines, including portion size. (See Appendix C) Menus for all food service shall be posted. (See Division website.) If sack lunches are utilized, the facility shall ensure that they also meet these requirements. Milk shall be served to each child during the day. Exceptions may be made for children who suffer allergies to milk."
15526;"08/26/2022";"1100.1101.3.b";"The caregiver shall determine if the illness prevents the child from participating comfortably in activities, results in a greater need for care than the child care staff can provide without compromising the health and safety of the other children, or poses a risk of spread of harmful diseases to others. The caregiver shall temporarily exclude the child from child care if the child has:Fever over one hundred and one (101) degrees oral or one hundred (100) axillary (or equivalent method) in a child who also has pain, behavior changes, or other symptoms of illness; • An infant younger than two (2) months with any increased temperature shall get urgent medical attention, within an hour. • An infant younger than six (6) months with any increased temperature shall be medically evaluated."
30640;"08/27/2021";"100.110.2.b";"Arkansas State Police Criminal Background Check The following persons shall be required to have their background reviewed through a fingerprint criminal records check (which includes the Arkansas Sexual Offender Registry) conducted by the Arkansas State Police. A prospective staff member may not begin work until the Arkansas State Police criminal record check result has been returned as satisfactory. Following receipt of the satisfactory result, this individual must be supervised at all times, pending completion of all of the required background check components, by a staff member who has successfully completed all required background checks. A National Sexual Offender Registry check will also be conducted on prospective employees. Prospective employees who have not lived in the State of Arkansas during the preceding five (5) years will be subject to current federal guidelines regarding conducting a criminal background check and sexual offender registry check in any states where they resided during the past five (5) years.Staff and applicants for employment in a child care facility Prior to employment and every five (5) years thereafter"
30640;"08/27/2021";"100.109.1.b";"The following persons shall be required to have their background reviewed through an Arkansas Child Maltreatment Central Registry Check. Prospective employees who have not lived in the State of Arkansas during the preceding five (5) years will be subject to current federal guidelines regarding conducting a child maltreatment background check in any states where they resided during the past five (5) years.Staff members and applicants for employment in a Prior to employment and every two (2) years child care facility thereafter"
30640;"04/06/2021";"300.301.4";"Infants and toddlers shall not be mixed with preschool children, except as listed in the following requirement."
30640;"04/06/2021";"500.501.5.i";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Yelling (This does not include a raised voice level to gain a child’s attention to protect the child from risk of harm);"
30640;"02/03/2021";"800.801.4";"All space used by a center shall be kept clean and free of hazardous or potentially hazardous objects. (These objects include, but are not limited to, poisonous substances, firearms, explosives, broken toys or equipment, or other objects that could be harmful or dangerous, if they are determined to be accessible to children.)"
30640;"02/03/2021";"300.301.2.a";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of ChildrenAges of Children: Birth – 18 months Number of Staff: 1 Number of Children: 5"
30640;"02/03/2021";"300.301.2.c";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of ChildrenAges of Children: 2 ½ - 3 years Number of Staff: 1 Number of Children: 12"
30640;"02/03/2021";"300.301.2.b";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of ChildrenAges of Children: 18 months – 36 months Number of Staff: 1 Number of Children: 8"
30640;"02/03/2021";"1100.1101.1";"No child or staff shall be admitted who has a contagious or infectious disease."
30339;"08/22/2022";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
30339;"08/22/2022";"1100.1101.4";"Any child who is injured shall have immediate attention. Parents shall be notified of all injuries. Injuries that require the attention of medical personnel shall be reported to the parent immediately and to the Licensing Unit within one (1) business day."
30339;"12/08/2020";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
30339;"11/05/2020";"300.302.1.c";"There shall be a director or assistant director/site supervisor who shall be responsible for:Ensuring the health and safety of children"
30339;"11/05/2020";"300.302.1.b";"There shall be a director or assistant director/site supervisor who shall be responsible for:Ensuring that the facility meets licensing requirements"
30339;"11/05/2020";"300.306.4";"All new staff, including volunteers who are counted in the ratios, shall receive the following orientation within three (3) months of employment (and every three (3) years thereafter) and shall not be left alone with children until this is completed. Introduction (8 clock hours) a. Proper supervision of children b. Behavioral guidance practices c. Safe sleep practices for infants d. Shaken baby syndrome; which includes prevention (Carter’s Law, Act 1208) e. Appropriately responding to a crying/fussy infant/child f. Emergency procedures in the event of severe weather, or fire, including evacuation procedures and routes, and location and use of fire extinguishers. g. Mandated reporter training h. Administering medication i. Caring for children with special needs / care plans j. Transportation and car seat safety k. Policies regarding release of children to authorized individuals l. Prevention and control of infectious diseases m. Building and physical premises safety, including the identification of, and protection from, hazards, bodies of water, and vehicular traffic n. Nutrition and physical activities o. Prevention and response to food sensitivities and allergic reactions p. Basic child development q. The handling and storage of hazardous materials and the appropriate disposal of bio contaminants See Division website for a list of courses, that The Division maintains contracts for, which meet the above requirements."
30339;"11/05/2020";"300.302.1.d";"There shall be a director or assistant director/site supervisor who shall be responsible for:Providing prudent supervision of all staff and volunteers"
30339;"11/05/2020";"300.302.1.a";"There shall be a director or assistant director/site supervisor who shall be responsible for:Administering, planning, managing and controlling the daily activities of the center"
30339;"11/05/2020";"400.401.15";"There shall be a total of at least one (1) hour of outdoor play per day in suitable weather. When making a determination if children should play outside, staff shall consider the following environmental factors:"
30339;"11/05/2020";"500.501.5.i";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Yelling (This does not include a raised voice level to gain a child’s attention to protect the child from risk of harm.)"
30339;"11/05/2020";"1100.1101.2";"The parent or legal guardian shall be notified as soon as possible when a child has any symptom that requires exclusion from the facility. The child shall be separated from other children and closely monitored until the parent arrives to pick the child up."
30339;"11/05/2020";"100.102.1";"Child Care Centers shall maintain compliance with the licensing requirements at all times. To be in substantial compliance, the Child Care Center shall meet all essential standards necessary to protect the health, safety and welfare of the children attending the Child Care Center. Essential standards include but are not limited to those relating to issues involving fire, health, safety, nutrition, discipline, staff/child ratio and space. Failure to comply with any of the licensing requirements for Child Care Centers may result in any of the following adverse actions:"
30339;"11/05/2020";"1100.1101.1";"No child or staff shall be admitted who has a contagious or infectious disease."
11198;"10/19/2021";"700.702.1";"The routine use of food, bottles, and formula shall be agreed upon by the caregiver and parent. Instructions regarding special needs for food, bottles, and formula, such as food allergies, shall be obtained in writing from the parent and followed by the caregiver. (See Appendix D)."
11198;"10/19/2021";"700.702.1";"The routine use of food, bottles, and formula shall be agreed upon by the caregiver and parent. Instructions regarding special needs for food, bottles, and formula, such as food allergies, shall be obtained in writing from the parent and followed by the caregiver. (See Appendix D)."
11198;"10/19/2021";"200.201.4.2";"Subparts 1 and 2(A) An EIDT must comply with all requirements of the applicable Minimum Licensing Standards for Child Care Centers. (B) A violation of the applicable Minimum Licensing Standards for Child Care Centers constitutes a violation of these standards."
11198;"07/03/2017";"300.303.6";"Staff shall not engage in behavior that could be viewed as sexual, dangerous, exploitative or physically harmful to children. A caregiver shall not use profanity or speak in an abusive manner when children are present."
11198;"07/03/2017";"300.303.3";"All staff members who work directly with children shall have a high school diploma or GED."
24870;"07/20/2017";"600.604.1.i";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred. A copy of this shall be given to the parent on the day of occurrence."
7843;"08/26/2020";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc."
27767;"04/28/2023";"300.301.2.c";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of ChildrenAges of Children: 2 ½ - 3 years Number of Staff: 1 Number of Children: 12"
27767;"03/07/2023";"300.301.2.a";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of ChildrenAges of Children: Birth – 18 months Number of Staff: 1 Number of Children: 5"
27767;"12/08/2020";"700.702.1";"The routine use of food, bottles and formula shall be agreed upon by the caregiver and parent. Instructions regarding special needs for food, bottles and formula, such as food allergies, shall be obtained in writing from the parent and followed by the caregiver. (See Appendix D)."
28384;"11/21/2019";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
28384;"11/21/2019";"1100.1107.4";"Soiled or wet diapers shall be removed and replaced with clean, dry diapers. The caregiver shall ensure that children are properly cleaned and dried."
28384;"05/22/2019";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc."
28384;"05/22/2019";"300.303.6";"Staff shall not engage in behavior that could be viewed as sexual, dangerous, exploitative or physically harmful to children. A caregiver shall not use profanity or speak in an abusive manner when children are present."
28384;"03/03/2017";"1100.1107.4";"Soiled or wet diapers shall be removed and replaced with clean, dry diapers. The caregiver shall ensure that children are properly cleaned and dried."
28384;"03/03/2017";"400.401.13";"Staff shall not release a child to anyone who is not immediately recognized as the child’s parent or as someone on the authorized pick-up list unless:"
28384;"03/03/2017";"1100.1108.1";"The caregiver shall assist children in toilet routine and hygiene practices."
24967;"12/09/2021";"500.501.5.n";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Shaming, humiliating, frightening, labeling, physically, or mentally harming children; and"
23447;"10/26/2022";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
31288;"04/06/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
31288;"08/10/2020";"100.102.1";"Child Care Centers shall maintain compliance with the licensing requirements at all times. To be in substantial compliance, the Child Care Center shall meet all essential standards necessary to protect the health, safety and welfare of the children attending the Child Care Center. Essential standards include but are not limited to those relating to issues involving fire, health, safety, nutrition, discipline, staff/child ratio and space. Failure to comply with any of the licensing requirements for Child Care Centers may result in any of the following adverse actions:"
31288;"06/01/2020";"100.102.1";"Child Care Centers shall maintain compliance with the licensing requirements at all times. To be in substantial compliance, the Child Care Center shall meet all essential standards necessary to protect the health, safety and welfare of the children attending the Child Care Center. Essential standards include but are not limited to those relating to issues involving fire, health, safety, nutrition, discipline, staff/child ratio and space. Failure to comply with any of the licensing requirements for Child Care Centers may result in any of the following adverse actions:"
31288;"06/01/2020";"1300.1301.6.b";"Commercial insurance coverage shall be maintained for any vehicle used for transportation by the facility. Verification of commercial insurance coverage shall be provided to the Licensing Specialist prior to transportation of children. (Facilities licensed prior to the effective date of these regulations shall obtain required coverage within ninety (90) days.) Required coverage amounts to be maintained are: Exception: State institutions, political subdivisions or other entities entitled to immunity from liability under 21-9-301, are not required to meet this requirement to be licensed. (Act 23 of 2015)Minimum coverage of $100,000 for both Uninsured Motorist (UM) and Under Insured Motorist (UIM)"
31288;"06/01/2020";"1300.1301.13";"To insure that children have safely arrived in the appropriate classroom, the transportation roster shall be reviewed by the Director or designee and compared with classroom attendance records. The Director or designee shall sign off on the transportation roster to verify that all children have safely transitioned from the vehicle to the classroom."
31288;"06/01/2020";"1300.1301.6.a";"Commercial insurance coverage shall be maintained for any vehicle used for transportation by the facility. Verification of commercial insurance coverage shall be provided to the Licensing Specialist prior to transportation of children. (Facilities licensed prior to the effective date of these regulations shall obtain required coverage within ninety (90) days.) Required coverage amounts to be maintained are: Exception: State institutions, political subdivisions or other entities entitled to immunity from liability under 21-9-301, are not required to meet this requirement to be licensed. (Act 23 of 2015)Minimum coverage of $100,000 Combined Single Limit (CSL)"
31288;"06/01/2020";"1300.1301.12";"To insure that no children are left on the vehicle, the driver or a staff member must walk through the vehicle and physically inspect each seat before leaving the vehicle. The driver or the staff member, who conducted the walk through inspection, must sign the transportation roster to verify that all children have exited the vehicle."
31288;"06/01/2020";"1300.1301.6.c";"Commercial insurance coverage shall be maintained for any vehicle used for transportation by the facility. Verification of commercial insurance coverage shall be provided to the Licensing Specialist prior to transportation of children. (Facilities licensed prior to the effective date of these regulations shall obtain required coverage within ninety (90) days.) Required coverage amounts to be maintained are: Exception: State institutions, political subdivisions or other entities entitled to immunity from liability under 21-9-301, are not required to meet this requirement to be licensed. (Act 23 of 2015)Minimum coverage of $5,000 Personal Injury Protection (PIP) for each passenger (based on the number of passengers the vehicle is manufactured to transport)"
35947;"04/17/2023";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
35947;"04/17/2023";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
35947;"03/17/2023";"600.604.1.i";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred (A copy of this shall be given to the parent on the day of occurrence);"
36303;"03/24/2023";"400.401.12";"A verbal or written system of communication shall be used by caregivers to share with parents or guardians and day-to-day happenings, such as significant changes in a child’s physical or emotional state or information regarding any known cuts, bruises, or injuries that may require attention or evaluation by a physician."
30194;"12/29/2020";"100.102.1";"Child Care Centers shall maintain compliance with the licensing requirements at all times. To be in substantial compliance, the Child Care Center shall meet all essential standards necessary to protect the health, safety and welfare of the children attending the Child Care Center. Essential standards include but are not limited to those relating to issues involving fire, health, safety, nutrition, discipline, staff/child ratio and space. Failure to comply with any of the licensing requirements for Child Care Centers may result in any of the following adverse actions:"
30194;"05/03/2019";"500.501.5.n";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Shaming, humiliating, frightening, labeling, physically or mentally harming children"
30124;"07/02/2019";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
30124;"07/02/2019";"1200.1201.18";"Purses and bags belonging to staff shall be stored out of reach of children."
30124;"04/19/2019";"1200.1201.15";"All detergents and cleaning supplies shall be kept out of the reach of children. (This does not include hand soap in children’s or staff bathrooms.)"
30124;"04/19/2019";"1200.1201.13";"All medications and poisonous substances shall be kept in separately locked areas."
30124;"04/19/2019";"1100.1101.12";"Medicine shall be kept out of the reach of the children when dispensing and shall be stored in a locked area at all other times."
30124;"04/19/2019";"700.701.2";"Breakfast, lunch, snacks and evening meals shall each meet current U.S. Department of Agriculture guidelines, including portion size. (See Appendix C) Menus for all food service shall be posted. See Division web-site. If sack lunches are utilized, the facility shall ensure that they also meet these requirements. Milk shall be served to each child during the day. Exceptions may be made for children who suffer allergies to milk."
30124;"04/19/2019";"1100.1107.2";"There shall be a safe diaper changing table that meets the following requirements:"
30124;"04/19/2019";"1200.1201.19";"Electrical outlets shall be guarded."
30124;"11/05/2018";"200.201.2";"The facility shall provide a written procedure for reporting suspected of child maltreatment. This procedure shall be followed and a call made to the Hot Line whenever there is a suspicion of child maltreatment (1-800-482-5964). These reports of child maltreatment shall include all allegations made to the licensee by parents, staff members or the general public. The licensee should call Child Care Licensing for guidance if there is any question about whether or not the Hot Line should be called regarding any situation where potential child maltreatment is involved."
30124;"11/05/2018";"1100.1101.3.a";"The caregiver shall determine if the illness prevents the child from participating comfortably in activities, results in a greater need for care than the child care staff can provide without compromising the health and safety of the other children, or poses a risk of spread of harmful diseases to others. The caregiver shall temporarily exclude the child from child care if the child has:Sudden change in behavior, such as: • lethargy or lack of responsiveness • unexplained irritability or persistent crying • difficult breathing • a quickly-spreading rash"
30124;"11/05/2018";"200.201.3";"The facility shall provide a written procedure for reporting suspected licensing violations. Serious licensing violations shall be reported to the Licensing Unit. These include, but are not limited to, violations relating to transportation, inappropriate behavior guidance, leaving children unattended or unsupervised, staff/child ratio violations or any other violations that could imminently affect the health and safety of children."
29509;"08/24/2020";"100.109.1.b";"The following persons shall be required to have their background reviewed through an Arkansas Child Maltreatment Central Registry Check. Prospective employees who have not lived in the State of Arkansas during the preceding five (5) years will be subject to current federal guidelines regarding conducting a child maltreatment background check in any states where they resided during the past five (5) years.Staff members and applicants for employment in a child care facility Prior to employment and every two (2) years thereafter"
