"Faciliy #";"Facility Name";"Address";"City";"State";"Zip";"County";"Site Phone";"Facility_Type";"Website Address";"Contact Persons";"Voucher Participant";"ABC Program";"Head Start";"Better Beginnings";"DCCECE Assigned Staff";"DCCECE Office Address";"DCCECE Office City";"DCCECE Office Zip";"DCCECE Office Phone";"DCCECE Email Address";"Months of Operation";"Monday";"Tuesday";"Wednesday";"Thursday";"Friday";"Saturday";"Sunday";"Facility Rates for Ages Served";"Capacity Infant/Toddler";"Capacity Preschool";"Capacity School Age";"Capacity Sick Care";"DetailsRef"
22532;"Brookland Primary School";"220 NORTH OAK STREET";"BROOKLAND";"AR";72417;"Craighead";"(870) 938-0610";"Child Care Center";"-";"Jennifer Easley";"Yes";"Yes";"No";6;"Susan Simmons";"1200 AR-33";" Augusta";72006;"(870) 347-2537";"susan.simmons2@dhs.arkansas.gov";"January | February | March | April | May | August | September | October | November | December
June | July";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";;;"
Preschool 30 to 72 Months-$28.00 per Day (7 Hours or More)";;240;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NQPAA2&language=en_US"
30406;"NETTLETON PRE K UNIVERSITY HEIGHTS";"UNIVERSITY HEIGHTS ELEMENTARY";"JONESBORO";"AR";72401;"Craighead";"(870) 910-7823";"Child Care Center";"-";"Jennifer Gray";"No";"Yes";"No";5;"Brittany Hopper";"401 South College Blvd";" West Memphis";72301;"(870) 400-0829";"brittany.hopper@dhs.arkansas.gov";"January | February | March | April | May | August | September | October | November | December
June | July";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";;;"
Preschool 30 to 72 Months-$21.00 per Day (7 Hours or More)";;106;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NcfAAE&language=en_US"
22723;"JONESBORO PUBLIC SCHOOLS PRE-K PROGRAM";"1307 FLINT STREET";"JONESBORO";"AR";72401;"Craighead";"(870) 933-5876";"Child Care Center";"-";"Allison Clem";"Yes";"Yes";"No";4;"Afton Stanley";"1600 Brown's Lane Access";" Jonesboro";72403;"(870) 910-8519";"afton.stanley@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:00:00 AM-6:00:00 PM";"7:00:00 AM-6:00:00 PM";"7:00:00 AM-6:00:00 PM";"7:00:00 AM-6:00:00 PM";"7:00:00 AM-6:00:00 PM";;;"
Preschool 30 to 72 Months-$18.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$6.00 per Day (Less than 7 Hours)";;278;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NQwAAM&language=en_US"
15850;"WESTSIDE WARRIORS PRESCHOOL CENTER";"1834 HIGHWAY 91 WEST";"JONESBORO";"AR";72404;"Craighead";"(870) 268-9888";"Child Care Center";"-";"Breigh Earnhart";"Yes";"Yes";"No";4;"Brittany Hopper";"401 South College Blvd";" West Memphis";72301;"(870) 400-0829";"brittany.hopper@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:00:00 AM-5:30:00 PM";"7:00:00 AM-5:30:00 PM";"7:00:00 AM-5:30:00 PM";"7:00:00 AM-5:30:00 PM";"7:00:00 AM-5:30:00 PM";;;"
Preschool 30 to 72 Months-$7.00 per Day (Less than 7 Hours)
Preschool 30 to 72 Months-$21.00 per Day (7 Hours or More)
School Age 60 to 156 Months-$7.00 per Day (Less than 7 Hours)";;80;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NOXAA2&language=en_US"
30398;"NETTLETON PRE K FOX MEADOW";"2305 Fox Meadow Lane";"Jonesboro";"AR";72401;"Craighead";"(870) 910-7817";"Child Care Center";"-";"Josh Goodmon";"No";"Yes";"No";4;"Brittany Hopper";"401 South College Blvd";" West Memphis";72301;"(870) 400-0829";"brittany.hopper@dhs.arkansas.gov";"January | February | March | April | May | August | September | October | November | December
June | July";"7:30:00 AM-2:30:00 PM";"7:30:00 AM-2:30:00 PM";"7:30:00 AM-2:30:00 PM";"7:30:00 AM-2:30:00 PM";"7:30:00 AM-2:30:00 PM";;;"
Preschool 30 to 72 Months-$21.00 per Day (7 Hours or More)";;47;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NceAAE&language=en_US"
29890;"MCAEOC HEAD START V";"2220 GRANT AVENUE";"JONESBORO";"AR";72401;"Craighead";"(870) 520-6218";"Child Care Center";"-";"Unika Seals";"No";"Yes";"Yes";4;"Susan Simmons";"1200 AR-33";" Augusta";72006;"(870) 347-2537";"susan.simmons2@dhs.arkansas.gov";"January | February | March | April | May | June | August | September | October | November | December
July";"7:45:00 AM-2:45:00 PM";"7:45:00 AM-2:45:00 PM";"7:45:00 AM-2:45:00 PM";"7:45:00 AM-2:45:00 PM";"7:45:00 AM-2:45:00 PM";;;;41;20;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NbBAAU&language=en_US"
23608;"VALLEY VIEW ABC PRE SCHOOL";"5603 Kersey Ln";"Jonesboro";"AR";"72404-8804";"Craighead";"(870) 935-4602";"Child Care Center";"-";"Beth Carr";"Yes";"Yes";"No";4;"Susan Simmons";"1200 AR-33";" Augusta";72006;"(870) 347-2537";"susan.simmons2@dhs.arkansas.gov";"January | February | March | April | May | August | September | October | November | December
June | July";"7:30:00 AM-3:00:00 PM";"7:30:00 AM-3:00:00 PM";"7:30:00 AM-3:00:00 PM";"7:30:00 AM-3:00:00 PM";"7:30:00 AM-3:00:00 PM";;;"
Preschool 30 to 72 Months-$29.21 per Day (7 Hours or More)";;100;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NRuAAM&language=en_US"
31331;"NURTURESCHOOL/PARENT'S DAYOUT";"2110 Grant Ave";"Jonesboro";"AR";72401;"Craighead";"(870) 336-0300";"Child Care Center";"https://www.sharpchildcare.net";"Tiffany Sharp";"Yes";"No";"No";3;"Paula Swindle";"702 Main Street";" Little Rock";72201;"-";"paula.swindle@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:00:00 AM-5:30:00 PM";"7:00:00 AM-5:30:00 PM";"7:00:00 AM-5:30:00 PM";"7:00:00 AM-5:30:00 PM";"7:00:00 AM-5:30:00 PM";;;"
Infant 0 to 18 Months-$44.00 per Day (Less than 7 Hours)
Infant 0 to 18 Months-$44.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$44.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$44.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$44.00 per Day (Less than 7 Hours)";154;18;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NgBAAU&language=en_US"
36465;"Montessori School of Jonesboro";"300 E Nettleton Ave";"Jonesboro";"AR";"72401-4123";"Craighead";"(870) 972-1890";"Child Care Center";"montessorijonesboro.com";"Rhonda Turner";"Yes";"No";"No";3;"Susan Simmons";"1200 AR-33";" Augusta";72006;"(870) 347-2537";"susan.simmons2@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:30:00 AM-5:30:00 PM";"7:30:00 AM-5:30:00 PM";"7:30:00 AM-5:30:00 PM";"7:30:00 AM-5:30:00 PM";"7:30:00 AM-5:30:00 PM";;;"
Preschool 30 to 72 Months-$54.00 per Day (Less than 7 Hours)
Preschool 30 to 72 Months-$38.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$56.00 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$40.00 per Day (7 Hours or More)";23;72;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NinAAE&language=en_US"
22600;"CROWLEY'S RIDGE EDUCATIONAL COOPERATIVE-CARAWAY";"502 WEST STATE STREET";"CARAWAY";"AR";72419;"Craighead";"(870) 408-1260";"Child Care Center";"-";"Sharla Wilkinson";"Yes";"Yes";"No";3;"Paula Swindle";"702 Main Street";" Little Rock";72201;"-";"paula.swindle@dhs.arkansas.gov";"January | February | March | April | May | August | September | October | November | December
June | July";"7:15:00 AM-3:30:00 PM";"7:15:00 AM-3:30:00 PM";"7:15:00 AM-3:30:00 PM";"7:15:00 AM-3:30:00 PM";"7:15:00 AM-3:30:00 PM";;;;;38;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NQdAAM&language=en_US"
22599;"CROWLEY'S RIDGE EDUCATIONAL COOPERATIVE-LAKE CITY";"2001 HIGHWAY 18";"LAKE CITY";"AR";72437;"Craighead";"(870) 237-4326";"Child Care Center";"-";"Emily Gillis";"Yes";"Yes";"No";3;"Paula Swindle";"702 Main Street";" Little Rock";72201;"-";"paula.swindle@dhs.arkansas.gov";"January | February | March | April | May | August | September | October | November | December
June | July";"8:00:00 AM-3:30:00 PM";"8:00:00 AM-3:30:00 PM";"8:00:00 AM-3:30:00 PM";"8:00:00 AM-3:30:00 PM";"8:00:00 AM-3:30:00 PM";;;;;22;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NQcAAM&language=en_US"
22805;"ASU ABC PRESCHOOL BAY";"700 SCHOOL STREET";"BAY";"AR";72411;"Craighead";"(870) 781-3300";"Child Care Center";"-";"Brooke Thomas";"Yes";"Yes";"No";3;"Paula Swindle";"702 Main Street";" Little Rock";72201;"-";"paula.swindle@dhs.arkansas.gov";"January | February | March | April | May | August | September | October | November | December
June | July";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";;;"
Preschool 30 to 72 Months-$20.00 per Day (7 Hours or More)";;60;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NR2AAM&language=en_US"
30290;"AEL GERALDINE ANDERSON CENTER";"1810 LATOURETTE DRIVE";"JONESBORO";"AR";72401;"Craighead";"(870) 931-1172";"Child Care Center";"-";"Kristen Metheny";"No";"No";"Yes";3;"Brittany Hopper";"401 South College Blvd";" West Memphis";72301;"(870) 400-0829";"brittany.hopper@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:45:00 AM-2:45:00 PM";"7:45:00 AM-2:45:00 PM";"7:45:00 AM-2:45:00 PM";"7:45:00 AM-2:45:00 PM";"7:45:00 AM-2:45:00 PM";;;;50;100;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NcNAAU&language=en_US"
28690;"LOOK WHAT I CAN DO LEARNING CENTER";"8531 US 49 N";"Brookland";"AR";"72417-8517";"Craighead";"(870) 934-0322";"Child Care Center";"https://www.sharpchildcare.net";"Aubrey Carter";"Yes";"No";"No";3;"Susan Simmons";"1200 AR-33";" Augusta";72006;"(870) 347-2537";"susan.simmons2@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"6:30:00 AM-5:45:00 PM";"6:30:00 AM-5:45:00 PM";"6:30:00 AM-5:45:00 PM";"6:00:00 AM-5:45:00 PM";"6:30:00 AM-5:45:00 PM";;;"
Infant 0 to 18 Months-$44.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$44.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$44.00 per Day (7 Hours or More)";179;87;43;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NYJAA2&language=en_US"
29683;"LITTLE HEROES LEARNING ACADEMY";"1305 Falls St";"Jonesboro";"AR";"72401-5409";"Craighead";"(870) 919-3683";"Child Care Center";"-";"Breanna ""Anna"" Rice";"Yes";"No";"No";3;"Afton Stanley";"1600 Brown's Lane Access";" Jonesboro";72403;"(870) 910-8519";"afton.stanley@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:00:00 AM-5:15:00 PM";"7:00:00 AM-5:15:00 PM";"7:00:00 AM-5:15:00 PM";"7:00:00 AM-5:15:00 PM";"7:00:00 AM-5:15:00 PM";"9:00:00 AM-3:00:00 PM";;"
Infant 0 to 18 Months-$36.00 per Day (Less than 7 Hours)
Infant 0 to 18 Months-$55.00 per Day (7 Hours or More)
Infant 0 to 18 Months-$60.00 per Day (Weekend Care)
Preschool 30 to 72 Months-$30.00 per Day (Less than 7 Hours)
Preschool 30 to 72 Months-$40.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$45.00 per Day (Weekend Care)
School Age 60 to 156 Months-$25.00 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$40.00 per Day (Weekend Care)
School Age 60 to 156 Months-$40.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$50.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$32.50 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$55.00 per Day (Weekend Care)";64;45;50;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NaaAAE&language=en_US"
29677;"JONESBORO PUBLIC SCHOOLS PRE-K NORTH";"210 E Johnson Ave";"Jonesboro";"AR";"72401-2023";"Craighead";"(870) 253-1674";"Child Care Center";"-";"Brooke Guthrie";"Yes";"No";"No";3;"Susan Simmons";"1200 AR-33";" Augusta";72006;"(870) 347-2537";"susan.simmons2@dhs.arkansas.gov";"January | February | March | April | May | August | September | October | November | December
June | July";"7:45:00 AM-3:15:00 PM";"7:45:00 AM-3:15:00 PM";"7:45:00 AM-3:15:00 PM";"7:45:00 AM-3:15:00 PM";"7:45:00 AM-3:15:00 PM";;;;;109;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NaZAAU&language=en_US"
28912;"JESSUP Head Start Center";"205 JESSUP DRIVE";"JONESBORO";"AR";72401;"Craighead";"(870) 931-1172";"Child Care Center";"www.arearlylearning.org";"Pamela Morgan";"No";"No";"Yes";3;"Susan Simmons";"1200 AR-33";" Augusta";72006;"(870) 347-2537";"susan.simmons2@dhs.arkansas.gov";"January | February | March | April | May | August | September | October | November | December
June | July";"7:45:00 AM-2:45:00 PM";"7:45:00 AM-2:45:00 PM";"7:45:00 AM-2:45:00 PM";"7:45:00 AM-2:45:00 PM";"7:45:00 AM-2:45:00 PM";;;"
Infant 0 to 18 Months-$0.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$0.00 per Day (7 Hours or More)";0;42;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NYsAAM&language=en_US"
29062;"KIDSPOT LEARNING CENTER (1823 GRANT)";"1823 GRANT AVENUE SUITE D & E";"JONESBORO";"AR";72401;"Craighead";"(870) 974-9114";"Early Intervention Day Treatment (EIDT)";"-";"Shelay Johnson";"Yes";"Yes";"No";3;"Miranda Bogard";"PO Box";" Little Rock";72201;"(501) 396-6177";"miranda.bogard@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:30:00 AM-5:30:00 PM";"7:30:00 AM-5:30:00 PM";"7:30:00 AM-5:30:00 PM";"7:30:00 AM-5:30:00 PM";"7:30:00 AM-5:30:00 PM";;;"
Preschool 30 to 72 Months-$22.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$9.00 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$10.00 per Day (7 Hours or More)";;89;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009OauAAE&language=en_US"
27274;"KIDSPOT LEARNING CENTER";"1801 Grant Ave";"Jonesboro";"AR";"72401-6155";"Craighead";"(870) 974-9114";"Early Intervention Day Treatment (EIDT)";"-";"Amy Rottinghaus";"Yes";"Yes";"No";3;"Miranda Bogard";"PO Box";" Little Rock";72201;"(501) 396-6177";"miranda.bogard@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:30:00 AM-5:30:00 PM";"7:30:00 AM-5:30:00 PM";"7:30:00 AM-5:30:00 PM";"7:30:00 AM-5:30:00 PM";"7:30:00 AM-5:30:00 PM";;;"
Infant 0 to 18 Months-$25.00 per Day (7 Hours or More)
Infant 0 to 18 Months-$25.00 per Day (Less than 7 Hours)
Preschool 30 to 72 Months-$25.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$25.00 per Day (Less than 7 Hours)
Preschool 30 to 72 Months-$25.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$25.00 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$22.00 per Day (7 Hours or More)
School Age 60 to 156 Months-$9.00 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$25.00 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$25.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$25.00 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$25.00 per Day (7 Hours or More)";60;181;22;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009OacAAE&language=en_US"
25774;"READY SET AND LEARN";"617 BRADLEY STREET";"JONESBORO";"AR";72401;"Craighead";"(870) 203-9509";"Licensed Child Care Family Home";"-";"Kayla Adaway";"Yes";"No";"Yes";3;"Afton Stanley";"1600 Brown's Lane Access";" Jonesboro";72403;"(870) 910-8519";"afton.stanley@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:45:00 AM-5:00:00 PM";"7:45:00 AM-5:00:00 PM";"7:45:00 AM-5:00:00 PM";"7:45:00 AM-5:00:00 PM";"7:45:00 AM-5:00:00 PM";"5:45:00 AM-1:00:00 PM";"5:45:00 AM-1:00:00 PM";"
Infant 0 to 18 Months-$37.00 per Day (Less than 7 Hours)
Infant 0 to 18 Months-$60.00 per Day (Night Care)
Infant 0 to 18 Months-$56.00 per Day (7 Hours or More)
Infant 0 to 18 Months-$60.00 per Day (Weekend Care)
Preschool 30 to 72 Months-$46.00 per Day (Night Care)
Preschool 30 to 72 Months-$40.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$28.00 per Day (Less than 7 Hours)
Preschool 30 to 72 Months-$46.00 per Day (Weekend Care)
School Age 60 to 156 Months-$38.00 per Day (7 Hours or More)
School Age 60 to 156 Months-$25.00 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$45.00 per Day (Weekend Care)
School Age 60 to 156 Months-$44.00 per Day (Night Care)
Toddler 18 to 36 Months-$55.00 per Day (Night Care)
Toddler 18 to 36 Months-$55.00 per Day (Weekend Care)
Toddler 18 to 36 Months-$50.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$33.00 per Day (Less than 7 Hours)";;;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NU3AAM&language=en_US"
25268;"ASU CHILD DEVELOPMENT CENTER";"504 ROBINSON";"JONESBORO";"AR";72401;"Craighead";"(870) 972-3900";"Child Care Center";"-";"Jennifer Keys";"Yes";"Yes";"No";3;"Paula Swindle";"702 Main Street";" Little Rock";72201;"-";"paula.swindle@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:45:00 AM-5:30:00 PM";"7:45:00 AM-5:30:00 PM";"7:45:00 AM-5:30:00 PM";"7:45:00 AM-5:30:00 PM";"7:45:00 AM-5:30:00 PM";;;"
Infant 0 to 18 Months-$6.00 per Day (Less than 7 Hours)
Infant 0 to 18 Months-$20.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$6.00 per Day (Less than 7 Hours)
Preschool 30 to 72 Months-$20.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$6.00 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$20.00 per Day (7 Hours or More)";76;164;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NTUAA2&language=en_US"
45859;"Kays Little Learners LLC";"4615 E Nettleton Ave";"Jonesboro";"AR";"72401-6547";"Craighead";"(662) 519-3472";"Child Care Center";"www.kayslittlelearnersllc.com";"Katrice Strickland";"Yes";"No";"No";2;"Paula Swindle";"702 Main Street";" Little Rock";72201;"-";"paula.swindle@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"6:00:00 AM-6:00:00 PM";"6:00:00 AM-6:00:00 PM";"6:00:00 AM-6:00:00 PM";"6:00:00 AM-6:00:00 PM";"6:00:00 AM-6:00:00 PM";;;"
Infant 0 to 18 Months-$55.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$46.00 per Day (7 Hours or More)
School Age 60 to 156 Months-$20.50 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$38.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$50.00 per Day (7 Hours or More)";65;30;58;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z000000EZxmAAG&language=en_US"
45409;"Stepping Stones Of Jonesboro";"5429 East Nettleton";"Jonesboro";"AR";72401;"Craighead";"(870) 253-3504";"Child Care Center";"-";"Shelay Johnson";"Yes";"No";"No";2;"Susan Simmons";"1200 AR-33";" Augusta";72006;"(870) 347-2537";"susan.simmons2@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:00:00 AM-11:45:00 PM";"7:00:00 AM-11:45:00 PM";"7:00:00 AM-11:45:00 PM";"7:00:00 AM-11:45:00 PM";"7:00:00 AM-11:45:00 PM";;;"
Infant 0 to 18 Months-$40.00 per Day (Less than 7 Hours)
Infant 0 to 18 Months-$60.00 per Day (Night Care)
Infant 0 to 18 Months-$55.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$40.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$50.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$45.00 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$55.00 per Day (Night Care)";10;15;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z000000CmlnAAC&language=en_US"
31291;"MOMMY'S DAYCARE IN-HOME";"325 NORTH FISHER";"JONESBORO";"AR";72401;"Craighead";"(870) 444-6097";"Licensed Child Care Family Home";"-";"Melinda Young";"Yes";"No";"No";2;"Afton Stanley";"1600 Brown's Lane Access";" Jonesboro";72403;"(870) 910-8519";"afton.stanley@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"12:00:00 AM-11:59:00 PM";"12:00:00 AM-11:59:00 PM";"12:00:00 AM-11:59:00 PM";"12:00:00 AM-11:59:00 PM";"12:00:00 AM-11:59:00 PM";"12:00:00 AM-11:59:00 PM";"12:00:00 AM-11:59:00 PM";"
Infant 0 to 18 Months-$20.00 per Day (7 Hours or More)
Infant 0 to 18 Months-$100.00 per Day (Weekend Care)
Infant 0 to 18 Months-$60.00 per Day (Night Care)
Infant 0 to 18 Months-$20.00 per Day (Less than 7 Hours)
Preschool 30 to 72 Months-$20.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$40.00 per Day (Weekend Care)
Preschool 30 to 72 Months-$40.00 per Day (Night Care)
Preschool 30 to 72 Months-$9.00 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$50.00 per Day (Night Care)
School Age 60 to 156 Months-$14.00 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$45.00 per Day (Weekend Care)
School Age 60 to 156 Months-$19.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$18.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$120.00 per Day (Weekend Care)
Toddler 18 to 36 Months-$65.00 per Day (Night Care)
Toddler 18 to 36 Months-$17.00 per Day (Less than 7 Hours)";;;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NfxAAE&language=en_US"
30937;"HOME SWEET HOME LEARNING ACADEMY";"4608 GERALDINE COVE";"JONESBORO";"AR";72404;"Craighead";"(870) 219-7604";"Licensed Child Care Family Home";"-";"TERICKA KING";"Yes";"No";"No";2;"Afton Stanley";"1600 Brown's Lane Access";" Jonesboro";72403;"(870) 910-8519";"afton.stanley@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"6:30:00 AM-4:00:00 PM";"6:30:00 AM-4:00:00 PM";"6:30:00 AM-4:00:00 PM";"6:30:00 AM-4:00:00 PM";"6:30:00 AM-4:00:00 PM";;;"
Infant 0 to 18 Months-$30.00 per Day (Night Care)
Infant 0 to 18 Months-$30.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$30.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$30.00 per Day (Night Care)
School Age 60 to 156 Months-$30.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$30.00 per Day (Night Care)
Toddler 18 to 36 Months-$30.00 per Day (7 Hours or More)";;;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NeTAAU&language=en_US"
30932;"NEXT GENERATION BILINGUAL LEARNING CENTER";"2220 GRANT AVENUE";"JONESBORO";"AR";72401;"Craighead";"(870) 802-2048";"Child Care Center";"-";"Rosa Roj'as";"Yes";"No";"No";2;"Afton Stanley";"1600 Brown's Lane Access";" Jonesboro";72403;"(870) 910-8519";"afton.stanley@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:00:00 AM-5:00:00 PM";"7:00:00 AM-5:00:00 PM";"7:00:00 AM-5:00:00 PM";"7:00:00 AM-5:00:00 PM";"7:00:00 AM-5:00:00 PM";;;"
Infant 0 to 18 Months-$29.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$27.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$28.00 per Day (7 Hours or More)";35;38;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NeRAAU&language=en_US"
