id;name;facility_type;address;email;state;zip;phone;capacity;accepts_vouchers;food_program;serves_infant;serves_toddler;serves_preschool;serves_school_age;capital_quality_designation;accreditation_type;accreditation_expires;service_schedule;schedule_monday;schedule_tuesday;schedule_wednesday;schedule_thursday;schedule_friday;schedule_saturday;schedule_sunday;ages_served;license_type;license_type_definition;current_license_begin_date;current_license_expiration_date;facility_type_short;contact;languages_spoken;accreditation;mission_statement;original_license_issuance_date;url;lat;lng;region;capital_quality_participant;nontraditional;montessori;PreK_enhancement;early_childhood_education;home_provider;expanded_home_provider;faith_based;charter_school;before_and_after_program;employer_supported;quality_improved_network;early_head_start;head_start;federal_government_facility;dc_government_facility;private_school;private_elementary_and_middle_school;dcps;homeless;play_based_nursery_school
2649;Early Learners Academy;Child Development Center;474 Ridge ST;earlylearnersacademyela@gmail.com;DC;20001;(703) 589-0990;28;1;1;No;Yes;Yes;No;Preliminary;;;All Year;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;Closed;Closed;1 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;June 25, 2018;June 30, 2021;CDC;Chakeri Dixie;English;None;This facility has no mission statement at this time.;June 25, 2018;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2649;38.906288;-77.0186473;NW;1;;;;1;;;;;;;;;;;;;;;;
2574;Early Steps Bilingual Preschool of Georgetown;Child Development Center;3222 O ST;esbpgeorgetown@gmail.com;DC;20007;(202) 944-4424;36;;;Yes;Yes;Yes;No;Not Participating;;;All Year;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;Closed;Closed;0 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;March 01, 2018;December 31, 2020;CDC;Yomar Obando;English;None;This facility does not currently participate in the Capital Quality program. Learn more about Capital Quality here.;November 28, 2016;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2574;38.9075978;-77.064392;NW;;;;;;;;;;;;;;;;;;;;;
1729;Easter Seals Serving DC/MD/VA Inc;Child Development Center;2800 13th ST;larry.johnson@eseal.org;DC;20009;(202) 387-4434 x104;96;1;1;Yes;Yes;Yes;No;Quality;NAEYC;September 01, 2021;All Year;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;Closed;Closed;0 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;July 15, 2017;November 28, 2020;CDC;Larry Donnell Johnson Jr.;English;;Easterseals makes profound, positive differences in the daily lives of people of all ages with disabilities, special needs, military backgrounds and their families.;January 04, 1995;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=1729;38.9260513;-77.0300399;NW;1;;;1;;;;;;;;;;;;;;;;;
2763;Edna De Leon Lopez / Peaceful Play Bilingual CDX;Child Development Home Expanded;823 Ingraham ST;lizlopez-10@hotmail.com;DC;20011;(202) 769-7622;9;;;Yes;Yes;Yes;No;Not Participating;;;;07:00 AM-06:00 AM;07:00 AM-06:00 AM;07:00 AM-06:00 AM;07:00 AM-06:00 AM;07:00 AM-06:00 AM;Closed;Closed;0 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;February 04, 2020;February 28, 2023;CDX;Edna De Leon Lopez;Spanish;None;This facility does not currently participate in the Capital Quality program. Learn more about Capital Quality here.;February 04, 2020;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2763;38.9543498;-77.024904;NW;;;;;;;1;;;;;;;;;;;;;;
2117;Educare of Washington DC;Child Development Center;640 Anacostia AVE;mtruesdale@educaredc.org;DC;20019;(202) 727-5604;175;1;1;Yes;Yes;Yes;No;High-Quality;NAEYC;June 01, 2021;All Year;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;Closed;Closed;0 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;February 21, 2018;January 31, 2021;CDC;Michael Truesdale;English;;Provide a forum in which Educare leadership staff can come together to share, problem-solve, and receive implementation assistance, training and support regarding program and policy development, implementation and continuous quality improvement of the Educare model. The Educare Learning Network also provides an opportunity to reflect on and discuss the successes and challenges of the work.;June 29, 2012;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2117;38.9005738;-76.9529742;NE;1;;;1;1;;;;;;;;1;;;;;;;;
2216;Edward C. Mazique @ Developing Families Center;Child Development Center;801 17th ST;akeys@ecmpcc.org;DC;20002;(202) 730-0004;48;1;1;Yes;Yes;No;No;Quality;NAEYC;September 01, 2018;All Year;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;Closed;Closed;0 - 3 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;November 27, 2017;November 30, 2020;CDC;Abosede Oyebo;English;;Mazique's mission is to achieve the highest quality outcomes for children through partnerships with family beginning in the earliest years. Mazique is committed to providing needed supports, working with community collaborative partners helping our children and families reach their full potential.;October 14, 2014;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2216;38.9007634;-76.9781295;NE;1;;;;;;;;;;;;1;;;;;;;;
2575;Edward C. Mazique @ Tyler House;Child Development Center;1200 North Capitol ST;akeys@ecmpcc.org;DC;20009;(202) 462-3375;24;1;;Yes;Yes;No;No;Quality;;;All Year;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;Closed;Closed;0 - 3 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;January 05, 2018;January 31, 2021;CDC;Almeta Keys;English;None;Our mission is to team up with families, community leaders and collaborative partners to ensure our children and families reach their full potential. Together we will close the Achievement Gap, work toward ending economic disparities between the poor and middle income families, and provide the highest quality of comprehensive child and family services to the children we serve.;December 30, 2016;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2575;38.9063956;-77.0094337;NW;1;;;;1;;;;;;;;;;;;;;;;
1902;Edward C. Mazique Parent Child Center;Child Development Center;2000 14th ST;akeys@ecmpcc.org;DC;20009;(202) 552-2601;24;1;1;Yes;Yes;Yes;No;Quality;NAEYC;January 01, 0001;All Year;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;Closed;Closed;0 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;January 22, 2018;January 31, 2021;CDC;Almeda Keys;English;;Our mission is to team up with families, community leaders and collaborative partners to ensure our children and families reach their full potential. Together we will close the Achievement Gap, work toward ending economic disparities between the poor and middle income families, and provide the highest quality of comprehensive child and family services to the children we serve.;April 12, 2004;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=1902;38.9175693;-77.0325149;NW;1;;;;;;;;;;;;1;;;1;;;;;
1795;Edward C. Mazique Parent Child Center, Inc @ the Ruth E. Rucker Bld.;Child Development Center;1719 13th ST;akeys@ecmpcc.org;DC;20009;(202) 462-3375;176;1;1;Yes;Yes;Yes;No;Quality;NAEYC;January 01, 0001;All Year;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;Closed;Closed;0 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;June 14, 2019;December 31, 2020;CDC;Almeta Keys;English;;Mazique's mission statement is to achieve the highest quality outcomes for children through partnerships with families beginning in the earliest years. Mazique's is committed to providing needed supports, working with community collaborative partners, helping our children and families reach their full potential.;September 11, 1992;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=1795;38.9132723;-77.0292793;NW;1;;;1;;;;;;;;;;1;;;;;;;
2584;Elisabeth Ngatchou/The Renaissance Center;Child Development Home Expanded;240 Quackenbos ST;elisabeth.hando@renaissance-center.org;DC;20011;(202) 269-1351;9;1;1;Yes;Yes;Yes;Yes;Progressing;;;All Year;06:00 AM-11:00 PM;06:00 AM-11:00 PM;06:00 AM-11:00 PM;06:00 AM-11:00 PM;06:00 AM-11:00 PM;Closed;Closed;0 - 5+ years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;September 28, 2020;September 30, 2023;CDX;Elisabeth Ngatchou;French;None;Our mission at the “Renaissance la petite Academy” is to prepare young children to become the citizen of the world by creating a joyful, playful, and nurturing environment that immerses students in a second language. Our program strives to instill the disposition, knowledge, and skills required to succeed in a highly interconnected. We offer full French immersion childcare and preschool with dedicated and professional native and near-native French speaking staff. Organic meals and snacks included in tuition. Large outdoor play space. Working toward Amazing community of families, both. French-speaking and not! .;March 03, 2017;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2584;38.9639388;-77.0029808;NE;1;1;;;;;;;;;;1;;;;;;;;;
2517;Elizabeth Palomino;Child Development Home;5728 Oregon AVE;apolonia.palomino@gmail.com;DC;20015;(202) 460-7014;6;;;Yes;Yes;Yes;No;Not Participating;;;All Year;08:00 AM-05:30 PM;08:00 AM-05:30 PM;08:00 AM-05:30 PM;08:00 AM-05:30 PM;08:00 AM-05:30 PM;Closed;Closed;0 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;May 17, 2018;May 31, 2021;CDH;Elizabeth Palomino;English;None;This facility does not currently participate in the Capital Quality program. Learn more about Capital Quality here.;December 03, 2015;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2517;38.9664174;-77.0546154;NW;;;;;;;;;;;;;;;;;;;;;
2583;Elonda's Day Care;Child Development Home Expanded;816 6th ST;elondasdaycare@yahoo.com;DC;20002;(301) 281-7932;12;;;Yes;Yes;Yes;Yes;Not Participating;;;All Year;07:00 AM-11:00 PM;07:00 AM-11:00 PM;07:00 AM-11:00 PM;07:00 AM-11:00 PM;07:00 AM-11:00 PM;Closed;Closed;0 - 5+ years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;December 19, 2017;December 31, 2020;CDX;Elonda Edwards;English;None;This facility does not currently participate in the Capital Quality program. Learn more about Capital Quality here.;December 13, 2016;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2583;38.9006972;-76.9986906;NE;;1;;;;;;;;;;;;;;;;;;;
2668;Elsa Gaiem;Child Development Home Expanded;3547 Hertford PL;elsa.gaiem@gmail.com;DC;20010;(202) 986-8948;9;1;1;Yes;Yes;Yes;No;Quality;NAFCC;March 21, 2021;All Year;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;Closed;Closed;0 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;June 19, 2018;June 30, 2021;CDX;Elsa Gaiem;English;;The mission is to give each child under our care, the highest level of care via interactive nurturing and safe environment for appropriate and relevant child development responsive to the needs of each child under our care;June 19, 2018;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2668;38.9357256;-77.0354133;NW;1;;;;1;;;;;;;;;;;;;;;;
2592;Embassy Row Child Development Center;Child Development Center;3855 Massachusetts AVE;Karen@embassyrowchildren.com;DC;20016;(202) 733-4152;82;;;Yes;Yes;Yes;No;Not Participating;;;All Year;06:30 AM-06:30 PM;06:30 AM-06:30 PM;06:30 AM-06:30 PM;06:30 AM-06:30 PM;06:30 AM-06:30 PM;Closed;Closed;0 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;July 31, 2018;May 31, 2021;CDC;Karen Manuel;English;None;This facility does not currently participate in the Capital Quality program. Learn more about Capital Quality here.;April 14, 2017;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2592;38.9313813;-77.0760258;NW;;;;;;;;;;;;;;;;;;;;;
2040;Emergent Preparatory Academy;Child Development Center;2801 Stanton RD;deloresmcgee.emergent@gmail.com;DC;20020;(202) 610-3111;93;1;1;No;Yes;Yes;Yes;High-Quality;NAEYC;September 01, 2019;All Year;07:00 AM-06:30 PM;07:00 AM-06:30 PM;07:00 AM-06:30 PM;07:00 AM-06:30 PM;07:00 AM-06:30 PM;Closed;Closed;1 - 5+ years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;January 09, 2018;January 31, 2021;CDC;Delores Mcgee;English;;We at Emergent Preparatory Academy believe in fostering early childhood experiences through developmentally appropriate intentional practices, ensuring school readiness for each child. We focus on enhancing the social, cognitive, physical, emotional development and growth of our children. We believe in providing opportunities to learn and grow in a child-centered environment. We believe in preparing our children through the use of our curriculum (Creative Curriculum) aligned with DC Early Learning Standards and enhanced by the Core Knowledge Language Arts Curriculum. We believe in our commitment to family’s engagement and empowerment. We believe in cultural diversity and building a strong foundation in sensitivity through inclusionary practices.;January 10, 2011;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2040;38.8569299;-76.9873468;SE;1;;;;1;;;;;;;;;;;;;;;;
2734;Erin Roxborough/Ms. Rox's Child Care, LLC;Child Development Home;4506 Lee ST;msrox0574@gmail.com;DC;20019;(202) 841-2830;6;;;Yes;Yes;Yes;No;Not Participating;;;All Year;06:30 AM-06:00 PM;06:30 AM-06:00 PM;06:30 AM-06:00 PM;06:30 AM-06:00 PM;06:30 AM-06:00 PM;Closed;Closed;0 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;August 14, 2019;October 31, 2021;CDH;Erin Roxborough;English;None;This facility does not currently participate in the Capital Quality program. Learn more about Capital Quality here.;August 14, 2019;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2734;38.9050044;-76.9368338;NE;;;;;;;;;;;;;;;;;;;;;
2175;Estrellitas Montessori School;Child Development Center;5331 Colorado AVE;info@estrellitasdc.com;DC;20011;(202) 248-7827;107;1;;Yes;Yes;Yes;Yes;Not Participating;AMS;June 30, 2018;All Year;06:00 AM-06:30 PM;06:00 AM-06:30 PM;06:00 AM-06:30 PM;06:00 AM-06:30 PM;06:00 AM-06:30 PM;Closed;Closed;0 - 5+ years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;August 28, 2019;November 30, 2020;CDC;Marilyn Medrano;Spanish;;This facility does not currently participate in the Capital Quality program. Learn more about Capital Quality here.;October 07, 2013;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2175;38.9550367;-77.0337517;NW;;;;;1;;;;;;;;;;;;;;;;
2075;Euphemia L. Haynes Public Charter School;Child Development Center;4501 Kansas AVE;sjackson@elhaynes.org;DC;20011;(202) 667-4446;239;1;;No;No;Yes;Yes;Quality;Middle Statges Association of Colleges and Schools;December 01, 2024;All Year;07:30 AM-06:00 PM;07:30 AM-06:00 PM;07:30 AM-06:00 PM;07:30 AM-06:00 PM;07:30 AM-06:00 PM;Closed;Closed;3 - 5+ years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;February 14, 2018;February 28, 2021;CDC;Samone Jackson;English;;This facility has no mission statement at this time.;November 14, 2011;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2075;38.9456018;-77.0224163;NW;1;;;;1;;;;;;;;;;;;;;;;
2784;FAA/DOT Child Development Center;Child Development Center;800 Independence AVE;kmahmud@reggiostreehouse.com;DC;20951;(703) 344-2551;46;;;Yes;Yes;Yes;Yes;Not Participating;;;All Year;07:15 AM-05:45 PM;07:15 AM-05:45 PM;07:15 AM-05:45 PM;07:15 AM-05:45 PM;07:15 AM-05:45 PM;Closed;Closed;0 - 5+ years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;September 04, 2020;September 30, 2023;CDC;Kashef Mahmud;English;None;This facility does not currently participate in the Capital Quality program. Learn more about Capital Quality here.;September 04, 2020;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2784;38.8868649;-77.0229493;SW;;;;;;;;;;;;;;;;;;;;;
2249;Fabulous Kids Early Learning Child Care Center;Child Development Center;1505 1st ST;Fabulouskidsdc@gmail.com;DC;20024;(202) 569-3701;16;1;;Yes;Yes;Yes;No;Progressing;;;All Year;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;Closed;Closed;0 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;January 26, 2018;January 31, 2021;CDC;Veronica Hegens;English;None;Our full-time childcare center offers the finest facilities available for children ages 6 weeks to 5 years. From the time your child arrives, they will enjoy a home-like environment and loving staff. Our classrooms are clean and airy, with carefully selected materials for children to use to stimulate their curiosity and development. Very young children learn best with manipulative materials and opportunities for movement. They learn through their hands. Your child will learn to love school.;November 20, 2015;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2249;38.8718091;-77.0123946;SW;1;;;;;;;;;;;;;;;;;;;;
2448;Fathema Johra;Child Development Home;602 Tuckerman ST;fathemajohra@yahoo.com;DC;20011;(202) 483-8843;6;;;Yes;Yes;Yes;No;Preliminary;;;All Year;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;Closed;0 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;February 09, 2018;October 31, 2020;CDH;Fathema Johra;English;None;This facility has no mission statement at this time.;July 13, 2012;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2448;38.967113;-77.0213591;NW;1;;;;;1;;;;;;;;;;;;;;;
2690;Federal Home Loan Bank Board Small Savers CDC;Child Development Center;1700 G ST;vallerie.tribble@smallsavers.org;DC;20405;(202) 414-3090;74;;;Yes;Yes;Yes;No;Not Participating;;;All Year;07:30 AM-06:15 PM;07:30 AM-06:15 PM;07:30 AM-06:15 PM;07:30 AM-06:15 PM;07:30 AM-06:15 PM;Closed;Closed;0 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;November 01, 2019;September 30, 2021;CDC;Valerie Tribble;English;None;This facility does not currently participate in the Capital Quality program. Learn more about Capital Quality here.;September 26, 2018;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2690;38.8981495;-77.0398242;NW;;;;;;;;;;;;;;;1;;;;;;
1768;Federal Trade Commission CDC;Child Development Center;600 Pennsylvania AVE;ftcccc@brighthorizons.com;DC;20580;(202) 326-2088;39;;;Yes;Yes;Yes;No;Not Participating;Naeyc;April 01, 2024;All Year;07:30 AM-06:30 PM;07:30 AM-06:30 PM;07:30 AM-06:30 PM;07:30 AM-06:30 PM;07:30 AM-06:30 PM;Closed;Closed;0 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;March 22, 2018;March 31, 2021;CDC;Cortney Woods Davenport;English;;This facility does not currently participate in the Capital Quality program. Learn more about Capital Quality here.;February 28, 1989;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=1768;38.8927383;-77.0211646;NW;;;;;;;;;;;;;;;1;;;;;;
1773;FERC Child Development Center;Child Development Center;888 First Street;sherah.williams@brighthorizons.com;DC;20426;(202) 502-8610;76;;;Yes;Yes;Yes;No;Not Participating;NAEYC;November 01, 2020;All Year;07:15 AM-06:15 PM;07:15 AM-06:15 PM;07:15 AM-06:15 PM;07:15 AM-06:15 PM;07:15 AM-06:15 PM;Closed;Closed;0 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;November 01, 2017;November 30, 2020;CDC;Sherah Juliet Williams;English;;This facility does not currently participate in the Capital Quality program. Learn more about Capital Quality here.;August 24, 1995;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=1773;38.9015521;-77.00718;NE;;;;;;;;;;;;;;;1;;;;;;
2126;Fingerprints Child Development Center;Child Development Center;1849 C ST;fngr@brighthorizons.com;DC;20240;(202) 219-1127;81;;;Yes;Yes;Yes;No;Not Participating;NAEYC;June 01, 2020;All Year;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;Closed;Closed;0 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;March 29, 2018;March 31, 2021;CDC;Stephanie Taylor or Sarah Serenius;English;;This facility does not currently participate in the Capital Quality program. Learn more about Capital Quality here.;November 06, 2012;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2126;38.8944453;-77.0426002;NW;;;;;;;;;;;;;;;1;;;;;;
2767;First Choice Day Care;Child Development Home Expanded;511 Florida AVE;hewan@firstchoicedaycaredc.com;DC;20002;(202) 733-2954;9;;;Yes;Yes;Yes;No;Not Participating;;;;06:30 AM-06:30 PM;06:30 AM-06:30 PM;06:30 AM-06:30 PM;06:30 AM-06:30 PM;06:30 AM-06:30 PM;Closed;Closed;0 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;March 13, 2020;March 31, 2023;CDX;Hewan Amare Mengistu;English;None;This facility does not currently participate in the Capital Quality program. Learn more about Capital Quality here.;March 13, 2020;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2767;38.9063131;-76.9990587;NE;;;;;;;;;;;;;;;;;;;;;
1927;First Rock Baptist Child Development Center;Child Development Center;4638 H ST;FRBCCDC@YAHOO.COM;DC;20019;(202) 575-5859;118;1;1;Yes;Yes;Yes;No;Progressing;NAEYC;December 01, 2022;All Year;06:30 AM-06:00 PM;06:30 AM-06:00 PM;06:30 AM-06:00 PM;06:30 AM-06:00 PM;06:30 AM-06:00 PM;Closed;Closed;0 - 5 years;Expired;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;May 17, 2017;September 28, 2020;CDC;Patricia Bodrick;English;;The mission of First Rock Baptist Church Child Development Center is to provide a clean, safe, and nurturing environment in which children are able to explore, create, and develop the skills necessary to be school ready and productive citizens. It is our responsibility as an educational entity to cultivate an atmosphere that celebrates the independence, spirit, and individuality of children.;March 17, 2006;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=1927;38.8789572;-76.9327481;SE;1;;;;1;;;;;;;;1;;;;;;;;
2740;Floricelda M. Avila De Alvarez;Child Development Home Expanded;1847 Mintwood PL;keytotheworld2015@gmail.com;DC;20009;(202) 734-2149;9;;;Yes;Yes;Yes;No;Not Participating;;;All Year;08:00 AM-06:00 PM;08:00 AM-06:00 PM;08:00 AM-06:00 PM;08:00 AM-06:00 PM;08:00 AM-06:00 PM;Closed;Closed;0 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;October 15, 2019;October 31, 2022;CDX;Floricelda M. Avila De Alavarez;Spanish;None;This facility does not currently participate in the Capital Quality program. Learn more about Capital Quality here.;October 15, 2019;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2740;38.9215942;-77.0447877;NW;;;;;;;;;;;;;;;;;;;;;
2047;Franklin Commons Intergenerational;Child Development Center;119 Franklin ST;fcicdc119@gmail.com;DC;20001;(202) 518-5683;46;1;1;Yes;Yes;Yes;Yes;Progressing;;;All Year;07:00 AM-07:00 PM;07:00 AM-07:00 PM;07:00 AM-07:00 PM;07:00 AM-07:00 PM;07:00 AM-07:00 PM;Closed;Closed;0 - 5+ years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;October 17, 2017;October 28, 2020;CDC;Cassandra Bradsher;English;None;We are here to provide high quality, developmentally appropriate child care for our students with focus on the individual child's age and ability to stimulate social, cognitive, physical and emotional growth. To provide a safe, nurturing and recreational environment for school age children. Our Curriculum is planned to enhance and challenge particular, distant individual needs, interests, and abilities;December 15, 2011;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2047;38.925007;-77.0041415;NE;1;;;;1;;;;;;;;;;;;;;;;
1772;Friendship Children's Center # 1;Child Development Center;5310 43RD ST;leah@friendshipchildren.org;DC;20015;(202) 244-1402;31;;;Yes;Yes;No;No;Not Participating;;;All Year;07:30 AM-06:00 PM;07:30 AM-06:00 PM;07:30 AM-06:00 PM;07:30 AM-06:00 PM;07:30 AM-06:00 PM;Closed;Closed;0 - 3 years;Expired;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;May 18, 2017;September 28, 2020;CDC;Leah Potts;English;None;This facility does not currently participate in the Capital Quality program. Learn more about Capital Quality here.;October 10, 1989;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=1772;38.9594299;-77.0839302;NW;;;;;;;;;;;;;;;;;;;;;
1956;Friendship Children's Center # 2;Child Development Center;5411 Western AVE;leah@friendshipchildren.org;DC;20015;(202) 244-5115;44;;1;No;Yes;Yes;Yes;High-Quality;;;All Year;07:30 AM-06:00 PM;07:30 AM-06:00 PM;07:30 AM-06:00 PM;07:30 AM-06:00 PM;07:30 AM-06:00 PM;Closed;Closed;1 - 5+ years;Restricted;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;July 30, 2020;October 29, 2020;CDC;Leah Potts;English;None;"PHILOSOPHY Each child is an individual who should grow and develop at his or her own pace. Our curriculum is designed to encourage curiosity, to provide opportunities to think creatively, to allow your child to make choices and decisions for himself, and to be able to act freely upon those decisions within appropriate limits. Above all, your child will be in an environment where he or she is respected, encouraged to grow and learn, and most importantly, loved. MISSION STATEMENT To provide developmentally appropriate programs and experiences that enhance each child’s social, emotional, physical and cognitive growth; and to create an atmosphere of warmth and understanding where children can develop as individuals and as part of a group. To this end, teachers are encouraged to design experiences to broaden and deepen children’s use of the ideas they are developing naturally and are expected to be positive role models within this philosophy and to provide experiences that will initiate the child’s thinking and aid each child in developing respect for others, a sense of responsibility, self-discipline, and independent learning.";September 17, 2007;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=1956;38.9618679;-77.0839234;NW;1;;;;;;;;;;;;;;;;;;;;
2244;Friendship Public Charter School @ Armstrong Campus;Child Development Center;1400 First ST;RMilledge@friendshipschools.org;DC;20001;(202) 281-1712;175;1;;No;No;Yes;Yes;Quality;;;All Year;06:30 AM-07:00 PM;06:30 AM-07:00 PM;06:30 AM-07:00 PM;06:30 AM-07:00 PM;06:30 AM-07:00 PM;Closed;Closed;3 - 5+ years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;December 05, 2017;January 28, 2021;CDC;Ronica Milledge;;None;This facility has no mission statement at this time.;September 16, 2016;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2244;38.9090802;-77.0132191;NW;1;;;;1;;;;;;;;;;;;;;;;
