"provider_id";"date";"deficiency_code";"deficiency_description";"resolution_date";"allegation_type"
2189;"10-11-2019";127.4;"Failure of a Licensee to maintain policies and procedures consistent with applicable Federal and local laws and regulations and include, but not limited to, the following: (a) A description of services to be provided, specifying the ages of children to be served, days and times of operation, and days and times that the Facility is closed; (b) A description of enrollment and admission requirements specifying the parent(s)’ or guardian(s)’ responsibilities for supplying needed information to the Facility and escorting the child to and from the Facility; (c) A fee and payment schedule specifying the standard fees, fees related to absences and vacations and other charges and fees such as transportation and late fees; (d) A description of transportation and field trip services; (e) A description of procedures for administering medication, both prescription and non-prescription, and notifying parent(s) and guardian(s) of noticeable adverse reactions to medications; (f) A description of the procedure for notifying parent(s) and guardian(s) when their child is ill or injured, and the policy regarding the exclusion of sick children; (g) A description of the procedure for notifying parent(s) and guardian(s) when a child, employee, or volunteer at the Facility has a communicable disease; (h) A description of the Facility’s procedure for handling medical emergencies; (i) A description of meals and snacks served, and guidelines or requirements for food brought by a child to the Facility; (j) A statement that parent(s) and guardian(s) have access to all Facility areas used by their child (and a description of any conditions placed on that access); (k) Child abuse reporting law requirements; (l) The procedures for identifying and preventing shaken baby syndrome and abusive head trauma in infants, if applicable; (m) A description of behavior management practices used at the Facility; (n) Nondiscrimination statement; (o) If licensed for the care of an infant or toddler, the Facility’s: (1) Diapering procedures; (2) Toilet training procedures; and (3) Feeding procedures; (p) A description of the safe sleep practices followed by the Center that includes the following information: (1) When setting an infant down to sleep, the infant will be placed on his or her back; (2) No covers or other soft items are allowed in cribs; (3) A description of what constitutes appropriate sleep clothing for infants to be provided by parent or guardian; (4) A statement that individual crib, cot or mat and bedding is provided, and the changing and cleaning practices for these items; (5) A statement that infants who fall asleep in other equipment, on the floor or elsewhere will be moved to a crib to sleep; and (6) A statement that no swaddling or positioning devices will be used at the Facility.";"10-17-2019";"General Health and Safety"
2189;"11-01-2017";147.1;"Failure of a Licensee to ensure that, including any staff, substitutes, volunteers, individual residing on the premises of the Facility, or any other individual connected with the Facility shall not subject a child to abuse, neglect, mental injury, or injurious treatment.";"01-16-2018";"Child Abuse and Neglect"
2574;"03-01-2018";121.2;"Failure to ensure minimum adult-to-child ratios shall be met at all times, including non-peak hours, during nap or rest periods, and in vehicles during transport";"03-01-2018";"General Health and Safety"
1729;"05-30-2019";127.1;"Failure of a Licensee to establish and maintain respectful and professional communication with the parent(s) or guardian(s) of children enrolled.";"05-31-2019";"Administrative"
1729;"07-19-2018";141.4;"Failure of a Licensee to ensure that positive behavior support or discipline shall not include any of the following methods of discipline and the use of any of them by the Licensee, and the staff members, is prohibited: (a) Physical harm, including but not limited to, punching, pinching, shaking, shoving, pushing, spanking, striking, kicking, biting, yanking, strangling, kneeing, poking, or plucking; (b) Fear, shaming, intimidation, or humiliation; (c) Derogatory remarks or profane language; (d) Confinement in a locked room or an enclosed area where a child cannot be seen or supervised by Facility staff; (e) Force feeding against a child’s will; (f) Withholding of food, water, rest, toilet use, outdoor activities, or outdoor play; or (g) Physical or chemical restraints.";"09-13-2018";"General Health and Safety"
1729;"02-01-2018";120.1;"Failure to supervise children while at the Facility by responsible staff and volunteers who can see and hear the children supervised at all times including but not limited to when they are napping or sleeping, on the playground, on field trips, on vehicular and non-vehicular excursions, and during all water activities and water play activities";"02-02-2018";"General Health and Safety"
1729;"02-01-2018";"121.3(a)";"Failure of a licensed Child Development Facility (“Licensee”) to maintain the adult-to-child ratios and group sizes as specified herein: (a) For Child Development Centers serving infants, toddlers, and/or preschoolers:";"02-02-2018";"General Health and Safety"
1729;"01-31-2018";121.2;"Failure to ensure minimum adult-to-child ratios shall be met at all times, including non-peak hours, during nap or rest periods, and in vehicles during transport";"02-02-2018";"General Health and Safety"
2117;"04-30-2019";145.5;"Failure of staff members of a licensed Facility to ensure that each child’s diaper or training pant is checked for wetness and feces at least hourly and whenever the child indicates discomfort or exhibits behavior which suggests a wet or soiled diaper. A Licensee shall ensure that upon learning that diapers and training pants are wet or soiled, that they are changed.";"04-30-2019";"General Health and Safety"
2117;"11-08-2018";141.4;"Failure of a Licensee to ensure that positive behavior support or discipline shall not include any of the following methods of discipline and the use of any of them by the Licensee, and the staff members, is prohibited: (a) Physical harm, including but not limited to, punching, pinching, shaking, shoving, pushing, spanking, striking, kicking, biting, yanking, strangling, kneeing, poking, or plucking; (b) Fear, shaming, intimidation, or humiliation; (c) Derogatory remarks or profane language; (d) Confinement in a locked room or an enclosed area where a child cannot be seen or supervised by Facility staff; (e) Force feeding against a child’s will; (f) Withholding of food, water, rest, toilet use, outdoor activities, or outdoor play; or (g) Physical or chemical restraints.";"11-12-2018";"General Health and Safety"
2117;"05-08-2018";141.4;"Failure of a Licensee to ensure that positive behavior support or discipline shall not include any of the following methods of discipline and the use of any of them by the Licensee, and the staff members, is prohibited: (a) Physical harm, including but not limited to, punching, pinching, shaking, shoving, pushing, spanking, striking, kicking, biting, yanking, strangling, kneeing, poking, or plucking; (b) Fear, shaming, intimidation, or humiliation; (c) Derogatory remarks or profane language; (d) Confinement in a locked room or an enclosed area where a child cannot be seen or supervised by Facility staff; (e) Force feeding against a child’s will; (f) Withholding of food, water, rest, toilet use, outdoor activities, or outdoor play; or (g) Physical or chemical restraints.";"05-11-2018";"General Health and Safety"
2216;"07-25-2019";120.1;"Failure to supervise children while at the Facility by responsible staff and volunteers who can see and hear the children supervised at all times including but not limited to when they are napping or sleeping, on the playground, on field trips, on vehicular and non-vehicular excursions, and during all water activities and water play activities";"08-29-2019";"General Health and Safety"
1795;"07-23-2018";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"07-25-2018";"Administrative"
1795;"06-07-2018";122.13;"Failure of a Licensee to ensure that the Facility is free of moisture, mold, and mildew, including but not limited to, moisture resulting from water leakage or seepage";"06-08-2018";"General Health and Safety"
1795;"02-27-2018";121.2;"Failure to ensure minimum adult-to-child ratios shall be met at all times, including non-peak hours, during nap or rest periods, and in vehicles during transport";"02-27-2018";"General Health and Safety"
1795;"02-20-2018";122.3;"Failure of a Licensee to ensure that exits are: (a) Clearly identified; (b) Free of all obstructions; and (c) Arranged or marked so the path to exit the building is visible and clear.";"02-21-2018";"General Health and Safety"
2584;"07-25-2019";118.1;"Failure to operate a licensed Child Development Facility in accordance with the license capacity, age range limitations, hours of operation and other specific service requirements or restrictions designated on its license";"07-29-2019";"Administrative"
2040;"11-21-2019";122.12;"Failure of a Licensee to ensure that: (a) All access points to stairs are restricted by gates; (b) All doors or windows are protected with guards that prevent exit by a child; and (c) All blinds have child protective coverings ensuring cords are not accessible to children.";"11-25-2019";"General Health and Safety"
2249;"09-17-2018";121.2;"Failure to ensure minimum adult-to-child ratios shall be met at all times, including non-peak hours, during nap or rest periods, and in vehicles during transport";"09-21-2018";"General Health and Safety"
2249;"05-23-2018";155.9;"Failure of a Licensee to ensure that all staff responsible for food preparation and distribution are immediately informed, orally and in writing, of any dietary restrictions, food allergies, or other special dietary requirements of enrolled children at the Facility.";"05-25-2018";"General Health and Safety"
2448;"12-11-2018";120.6;"Failure to ensure that individuals who do not serve a purpose related to the care of children shall not be present at the Facility for longer than a brief period of time while children are being cared for. Individuals who hinder supervision of children shall not be present at the Facility at any time when children are being cared for.";"01-08-2019";"General Health and Safety"
2448;"12-11-2018";133.2;"Failure of a Licensee to maintain criminal background checks for an individual residing in a Child Development Home or Expanded Home who is eighteen (18) years of age or older who is considered to be a staff member.";"01-08-2019";"General Health and Safety"
2448;"12-11-2018";133.3;"Failure of a Licensee to submit a request for criminal background checks of current and prospective staff members to OSSE: (a) Prior to the date an individual becomes a staff member of the provider; and (b) Not less than once during each three (3) year period for any currently employed staff member.";"01-08-2019";"General Health and Safety"
2448;"12-11-2018";168.2;"The duties of a Child Development Home Caregiver shall include, but shall not be limited to, the following: (a) Orienting each member of the Caregiver’s household to the laws, regulations, and standards governing Child Development Homes; (b) Operating the Child Development Home in compliance with all applicable laws and regulations, including compliance with background check requirements for Caregivers and any adult living in the household; (c) Ensuring that enrolled children are supervised and within sight and sound at all times; (d) Ensure that any other duties or activities performed on behalf of the household do not interfere with the supervision and care given to the enrolled children; (e) Ensuring that each person residing at the home has a physical examination by a licensed health care practitioner at least annually and that each is certified by the examining practitioner to be free of tuberculosis and other diseases in communicable form; (f) Supervising and accompanying all visitors who are present at the Home or on the grounds during the Child Development Home’s hours of operation; (g) Reporting to OSSE and to the parent(s) or guardian(s) of each affected child any unusual incident or accident that occurs in the Child Development Home, in accordance with this chapter; (h) Ensuring that an adequate number of qualified registered back-up personnel, are engaged by the Child Development Home and are available to be present at the Child Development Home when needed, at all times during the Child Development Home’s hours of operation, in accordance with this chapter; and that all the qualifications and training of back-up personnel be documented, and that this documentation, along with records related to back-up personnel, be kept current and maintained consistent with the standards set forth in this section, as required for all Child Development Home Caregivers; (i) Developing and implementing written contingency plans, including written instructions for all Child Development Home personnel and for all responsible household members, for use in case of medical and non- medical emergencies; (j) Being responsible for the overall supervision and administration of the program of care provided to the enrolled children; and (k) Ensuring that staff members have access to ongoing professional development through registration in the District of Columbia’s Early Learning Professional Development Information System.";"01-08-2019";"General Health and Safety"
2448;"12-11-2018";168.6;"Failure of Child Development Home Caregivers to ensure that the written contingency plan is applicable for all hours of the day, days of the week, and weeks of the year for which the Child Development Home is normally operating. If the written contingency plan utilizes a location that is not available for all days or hours for which the Child Development Home is normally operating, the written contingency plan shall identify a secondary emergency location that is available.";"01-08-2019";"General Health and Safety"
1927;"10-30-2018";121.2;"Failure to ensure minimum adult-to-child ratios shall be met at all times, including non-peak hours, during nap or rest periods, and in vehicles during transport";"11-05-2018";"General Health and Safety"
1927;"08-16-2018";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"08-20-2018";"Administrative"
1927;"06-04-2018";127.1;"Failure of a Licensee to establish and maintain respectful and professional communication with the parent(s) or guardian(s) of children enrolled.";"06-05-2018";"Administrative"
1927;"06-04-2018";149.1;"Failure of a Licensee to ensure that all cleaning and sanitizing supplies, toxic substances, paint, poisons, aerosol containers, and other items bearing warning labels are safely stored and are kept in a secure area, inaccessible to the children at all times.";"06-05-2018";"General Health and Safety"
1927;"03-27-2018";147.1;"Failure of a Licensee to ensure that, including any staff, substitutes, volunteers, individual residing on the premises of the Facility, or any other individual connected with the Facility shall not subject a child to abuse, neglect, mental injury, or injurious treatment.";"04-09-2018";"General Health and Safety"
1927;"02-07-2018";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"02-09-2018";"Administrative"
1927;"02-07-2018";120.1;"Failure to supervise children while at the Facility by responsible staff and volunteers who can see and hear the children supervised at all times including but not limited to when they are napping or sleeping, on the playground, on field trips, on vehicular and non-vehicular excursions, and during all water activities and water play activities";"02-09-2018";"General Health and Safety"
1956;"12-21-2018";122.13;"Failure of a Licensee to ensure that the Facility is free of moisture, mold, and mildew, including but not limited to, moisture resulting from water leakage or seepage";"01-28-2019";"General Health and Safety"
1934;"07-03-2018";121.2;"Failure to ensure minimum adult-to-child ratios shall be met at all times, including non-peak hours, during nap or rest periods, and in vehicles during transport";"07-03-2018";"General Health and Safety"
1934;"07-03-2018";124.1;"Failure of a Licensee to ensure that electrical outlets that are not in use and are accessible to children are fitted with appropriate child-proof protective outlet covers that meet the Underwriters Laboratories, Inc. standard for Safety of Receptacle Closures (UL 2255).";"07-03-2018";"General Health and Safety"
1934;"07-03-2018";126.9;"Failure of a Licensee to remove and repair, or discard all furniture, equipment, and materials that are not usable because they are broken or hazardous";"07-03-2018";"General Health and Safety"
1743;"06-12-2019";147.1;"Failure of a Licensee to ensure that, including any staff, substitutes, volunteers, individual residing on the premises of the Facility, or any other individual connected with the Facility shall not subject a child to abuse, neglect, mental injury, or injurious treatment.";"09-11-2019";"Child Abuse and Neglect"
1743;"06-12-2019";120.1;"Failure to supervise children while at the Facility by responsible staff and volunteers who can see and hear the children supervised at all times including but not limited to when they are napping or sleeping, on the playground, on field trips, on vehicular and non-vehicular excursions, and during all water activities and water play activities";"09-11-2019";"General Health and Safety"
2160;"07-23-2018";164.1;"Failure of a Licensee to ensure that a Director of a Child Development Center shall either: (a) Have earned, a bachelor’s or more advanced degree from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, with at least fifteen (15) semester credit hours, or its recognized equivalent, in early childhood development, early childhood education, elementary education, or early special education and at least one (1) year supervised experience working with children in a licensed District of Columbia Child Development Center or its equivalent in another jurisdiction; (b) Have earned an associate’s degree from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, with a major in early childhood education or early childhood development, and has at least three (3) years supervised occupational experience working with children in a licensed District of Columbia Child Development Center or its equivalent in another jurisdiction; and provided that he or she earns a bachelor’s or more advanced degree as described in Subsection 164.1(a) within six (6) years of the effective date of this chapter; or (c) Have earned at least forty-eight (48) credit hours from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, with at least fifteen (15) semester credit hours, or its recognized equivalent, in early childhood education or early childhood development, and have at least four (4) years of supervised occupational experience working with children in a licensed District of Columbia Child Development Center or its equivalent in another jurisdiction; and be employed as a qualified Center Director in a licensed Child Development Center in the District of Columbia on the effective date of these regulations, provided that the Center Director achieves compliance with (a) or (b) within no more than six (6) years following the effective date of these regulations; or (d) For a Montessori School Director, earned a Montessori certificate issued by a program accredited by the Montessori Accreditation Commission for Teacher Education, National Center for Montessori Education, American Montessori Society, or the Association Montessori International, and have at least three (3) years of supervised occupational experience working with children in a licensed District of Columbia Child Development Center or its equivalent in another jurisdiction.";"07-27-2018";"Administrative"
2160;"07-23-2018";165.1;"Failure of a Licensee to ensure that a Teacher in a Child Development Center is at least eighteen (18) years of age and shall either: (a) Have earned, an associate’s or more advanced degree from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, with a major in early childhood education, early childhood development, child and family studies, or a closely related field; (b) Have earned an associate’s or more advanced degree from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, with a major in a field other than early childhood education, early childhood development, or child and family studies, earned at least twenty-four (24) semester credit hours, or its recognized equivalent, from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation in early childhood education, early childhood development, child and family studies, or a closely related field, and have at least one (1) year of supervised occupational experience working with children in a licensed District of Columbia Child Development Center or its equivalent in another jurisdiction; (c) Have earned at least forty-eight (48) semester credit hours, or its recognized equivalent, from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, of which fifteen (15) semester hours, or its recognized equivalent, shall be in early childhood education, early childhood development, or child and family studies, and has at least at least two (2) years of supervised occupational experience working with children in a licensed District of Columbia Child Development Center or its equivalent in another jurisdiction; provided that he or she earns an associate’s degree as described in (a) or (b) within four (4) years of the effective date of these regulations; (d) Have earned a high school diploma or its equivalent and a current Child Development Associate (CDA) credential, which specifies that the individual is qualified for the assigned age classification; provided that he or she earns an associate’s degree in compliance with (a) or (b) within four (4) years of the effective date of these regulations; or (e) For a Montessori school teacher, have earned an associate’s degree from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, and a Montessori certificate issued by the National Center for Montessori Education, American Montessori Society, or the Association Montessori International, or a program accredited by the Montessori Accreditation Commission for Teacher Education.";"07-27-2018";"Administrative"
2160;"07-23-2018";164.1;"Failure of a Licensee to ensure that a Center Director shall be physically present at the Facility at all times during the Center’s peak hours of operation when the majority of children are present, and maintain on the premises a record of days and actual hours of work at the Facility, except that a Center Director may be absent from the Facility if he or she has designated an authorized representative of the Child Development Facility, who shall be physically present at the Facility when the Center Director is absent. This authorized representative must meet all the qualification requirements of a Center Director and who assumes full responsibility for the Facility’s management and operations in the absence of the Center Director.";"07-27-2018";"General Health and Safety"
2239;"12-19-2019";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"12-26-2019";"Administrative"
1882;"09-17-2019";127.1;"Failure of a Licensee to establish and maintain respectful and professional communication with the parent(s) or guardian(s) of children enrolled.";"10-02-2019";"Administrative"
1854;"09-04-2018";136.1;"Failure of a Licensee to ensure that a staff member shall only consume prescription medication while providing direct care to children in the Facility according to the directions provided and in the manner prescribed by the licensed health care practitioner. However, a staff member shall not consume prescription medication while providing direct care to children in the Facility, if the prescription medication may impair the staff member’s ability to perform his or her duties or impact the health and safety of the children in the staff member’s care.";"09-07-2018";"General Health and Safety"
1854;"09-04-2018";136.17;"A reasonable suspicion referral may be based on direct observation of drug use or possession, physical symptoms of being under the influence of drugs, symptoms suggesting alcohol intoxication, a pattern of erratic behavior, or any other reliable indicators. There may be reasonable suspicion under the following conditions: (a) The employee is witnessed using a drug or alcohol while on duty; (b) The employee displays physical symptoms consistent with drug or alcohol usage; (c) The employee engages in erratic or atypical behavior of a type that is consistent with drug or alcohol usage; or (d) There are other articulable circumstances which would lead a reasonable person to believe that the employee is under the influence of a drug or alcohol.";"09-07-2018";"General Health and Safety"
1854;"05-25-2018";120.1;"Failure to supervise children while at the Facility by responsible staff and volunteers who can see and hear the children supervised at all times including but not limited to when they are napping or sleeping, on the playground, on field trips, on vehicular and non-vehicular excursions, and during all water activities and water play activities";"06-01-2018";"General Health and Safety"
1854;"04-27-2018";120.1;"Failure to supervise children while at the Facility by responsible staff and volunteers who can see and hear the children supervised at all times including but not limited to when they are napping or sleeping, on the playground, on field trips, on vehicular and non-vehicular excursions, and during all water activities and water play activities";"04-30-2018";"General Health and Safety"
2093;"08-14-2018";124.2;"Failure of a Licensee to ensure that the temperature within each room of program space shall be maintained at between sixty-eight degrees Fahrenheit (68°F) and seventy-five degrees Fahrenheit (75°F) from October through March, and between sixty-eight degrees Fahrenheit (68°F) and eighty-two degrees Fahrenheit (82°F) from April through September.";"08-24-2018";"General Health and Safety"
2093;"10-24-2017";122.19;"Failure of a Licensee to ensure that the Facility’s premises remain clear of insects, rodents, and other pests and excrement of insects, rodents, and other pests";"11-21-2017";"General Health and Safety"
2111;"04-04-2018";164.1;"Failure of a Licensee to ensure that a Center Director shall be physically present at the Facility at all times during the Center’s peak hours of operation when the majority of children are present, and maintain on the premises a record of days and actual hours of work at the Facility, except that a Center Director may be absent from the Facility if he or she has designated an authorized representative of the Child Development Facility, who shall be physically present at the Facility when the Center Director is absent. This authorized representative must meet all the qualification requirements of a Center Director and who assumes full responsibility for the Facility’s management and operations in the absence of the Center Director.";"04-13-2018";"Administrative"
2094;"06-14-2018";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"06-21-2018";"Administrative"
2606;"08-07-2019";163.3;"Failure of a Licensee to ensure that Children under the age of two (2) years, or non-ambulatory children, only occupy Center space that: (a) Is on street level; (b) Has two (2) means of egress; and (c) If the means of egress involve steps, has ramps in place to enable staff to put children in evacuation cribs or flat strollers to roll them out in the event of an emergency, unless the lack of a ramp at any means of egress has been approved by FEMS.";"08-09-2019";"General Health and Safety"
2606;"08-30-2018";102.11;"Failure to display the original license at all times in a conspicuous place readily visible and accessible to the public at the premise(s) named on the license";"09-17-2018";"General Health and Safety"
2606;"08-30-2018";122.19;"Failure of a Licensee to ensure that the Facility’s premises remain clear of insects, rodents, and other pests and excrement of insects, rodents, and other pests";"09-17-2018";"General Health and Safety"
1884;"08-01-2018";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"08-01-2018";"Administrative"
1884;"07-17-2018";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"07-17-2018";"Administrative"
1884;"07-17-2018";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"07-17-2018";"Administrative"
1884;"04-09-2018";128.2;"Failure of a Licensee to provide a copy of the completed Unusual Incident Report form provided to OSSE to the parent(s) or guardian(s) of each child affected by the unusual incident.";"04-10-2018";"Administrative"
1884;"11-29-2017";128.2;"Failure of a Licensee to provide a copy of the completed Unusual Incident Report form provided to OSSE to the parent(s) or guardian(s) of each child affected by the unusual incident.";"12-22-2017";"Administrative"
2674;"10-09-2019";132.2;"Failure of a Licensee to maintain the suitability of a current or prospective staff member being assessed through completion of: (a) Criminal background check that includes: (1) A Federal Bureau of Investigation fingerprint check using Next Generation Identification; (2) A search of the National Crime Information Center&#39;s National Sex Offender Registry; and (3) A search of the following registries, repositories, or databases in the State (which, for the purpose of this section, includes the District of Columbia) where the child care staff member resides and each State where such staff member resided during the preceding five years: (A) State criminal registry or repository, with the use of fingerprints being required in the State where the staff member resides, and optional in other States; (B) State sex offender registry or repository; and (C) State-based child abuse and neglect registry and database; (b) A drug and alcohol testing program consistent with this chapter and Section 2032(a) of CYSHA (D.C. Law 15-353; D.C. Official Code § 1-620.32(a)); and (c) Traffic records check through the District of Columbia Department of Motor Vehicles, if a current or prospective staff member will also be required to drive a motor vehicle to transport children in the course of performing his or her duties.";"11-15-2019";"Administrative"
2674;"10-09-2019";121.2;"Failure to ensure minimum adult-to-child ratios shall be met at all times, including non-peak hours, during nap or rest periods, and in vehicles during transport";"11-15-2019";"General Health and Safety"
2674;"10-09-2019";158.6;"Failure of a Licensee that rents, owns, operates, or maintains one or more motor vehicles used for transporting children to label the exterior of each such vehicle, with the Facility’s licensed name and phone number.";"11-15-2019";"General Health and Safety"
2674;"10-04-2019";132.2;"Failure of a Licensee to maintain the suitability of a current or prospective staff member being assessed through completion of: (a) Criminal background check that includes: (1) A Federal Bureau of Investigation fingerprint check using Next Generation Identification; (2) A search of the National Crime Information Center&#39;s National Sex Offender Registry; and (3) A search of the following registries, repositories, or databases in the State (which, for the purpose of this section, includes the District of Columbia) where the child care staff member resides and each State where such staff member resided during the preceding five years: (A) State criminal registry or repository, with the use of fingerprints being required in the State where the staff member resides, and optional in other States; (B) State sex offender registry or repository; and (C) State-based child abuse and neglect registry and database; (b) A drug and alcohol testing program consistent with this chapter and Section 2032(a) of CYSHA (D.C. Law 15-353; D.C. Official Code § 1-620.32(a)); and (c) Traffic records check through the District of Columbia Department of Motor Vehicles, if a current or prospective staff member will also be required to drive a motor vehicle to transport children in the course of performing his or her duties.";"10-07-2019";"Administrative"
2674;"10-04-2019";158.6;"Failure of a Licensee that rents, owns, operates, or maintains one or more motor vehicles used for transporting children to label the exterior of each such vehicle, with the Facility’s licensed name and phone number.";"10-07-2019";"General Health and Safety"
1812;"07-16-2018";157.3;"Failure of a Licensee to ensure the inaccessibility of pools, including swimming pools, fixed-in-place wading pools, hot tubs, spas, fish ponds, or similar bodies of water by using a pool cover or by surrounding the pool with a fence. If a Facility premises contains a swimming pool or other body of water without a cover, the Licensee must enclose the pool or body of water behind a secure fence that is at least four feet (4 ft.) in height. A Licensee shall ensure that the pool or body of water is inaccessible to children at all times, unless qualified adults are present and supervising the children.";"07-16-2018";"General Health and Safety"
1832;"07-22-2019";126.14;"Failure of a Licensee to provide each enrolled child in a full-day program with an individual crib, cot, or bed, as developmentally appropriate, and ensure that: (a) Children do not share bedding, such as sheets and blankets; (b) No child sleeps on a bare, uncovered surface; (c) Cribs, cots, beds, and appropriate beddings, such as sheets or blankets, are kept clean and sanitary at all times; (d) Crib and cot areas are sufficiently separate from play space to prevent access to sleeping areas by children at play; and (e) Each child is allowed to safely and comfortably crawl, toddle, sit, or walk and to play according to his or her stage of development, in a designated play space apart from sleeping quarters, during each day.";"07-29-2019";"General Health and Safety"
1832;"07-05-2019";122.19;"Failure of a Licensee to ensure that the Facility’s premises remain clear of insects, rodents, and other pests and excrement of insects, rodents, and other pests";"07-08-2019";"General Health and Safety"
1832;"05-21-2018";122.18;"Failure of a Licensee to maintain hot and cold running water under pressure. Hot running water shall be maintained at one hundred degrees Fahrenheit (100°F).";"05-21-2018";"General Health and Safety"
1832;"02-13-2018";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"02-28-2018";"Administrative"
1832;"01-25-2018";120.1;"Failure to supervise children while at the Facility by responsible staff and volunteers who can see and hear the children supervised at all times including but not limited to when they are napping or sleeping, on the playground, on field trips, on vehicular and non-vehicular excursions, and during all water activities and water play activities";"01-25-2018";"General Health and Safety"
1832;"01-25-2018";"121.3(a)";"Failure of a licensed Child Development Facility (“Licensee”) to maintain the adult-to-child ratios and group sizes as specified herein: (a) For Child Development Centers serving infants, toddlers, and/or preschoolers:";"01-25-2018";"General Health and Safety"
1832;"01-23-2018";121.2;"Failure to ensure minimum adult-to-child ratios shall be met at all times, including non-peak hours, during nap or rest periods, and in vehicles during transport";"01-25-2018";"General Health and Safety"
1832;"11-07-2017";123.2;"Failure of a Center to provide bathroom facilities for use by adults separate from those used by children";"11-14-2017";"Environmental"
2590;"04-05-2019";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"04-17-2019";"Administrative"
2590;"10-19-2018";122.19;"Failure of a Licensee to ensure that the Facility’s premises remain clear of insects, rodents, and other pests and excrement of insects, rodents, and other pests";"10-25-2018";"General Health and Safety"
2590;"06-11-2018";120.4;"Children shall not be left alone in any room, outdoors, or in vehicles, even momentarily, without staff present";"06-13-2018";"Child Abuse and Neglect"
2590;"05-15-2018";124.4;"Failure of a Licensee to ensure that the carpeting in the facility is nonflammable, nontoxic, and maintained by the Licensee in clean condition and good repair.";"06-22-2018";"Environmental"
2590;"05-15-2018";122.19;"Failure of a Licensee to ensure that the Facility’s premises remain clear of insects, rodents, and other pests and excrement of insects, rodents, and other pests";"06-22-2018";"General Health and Safety"
2590;"03-08-2018";121.2;"Failure to ensure minimum adult-to-child ratios shall be met at all times, including non-peak hours, during nap or rest periods, and in vehicles during transport";"03-14-2018";"General Health and Safety"
2590;"11-20-2017";148.1;"Failure of a Licensee to maintain a three (3) day supply of water, staple food, and supplies for each enrolled child and staff member.";"12-12-2017";"General Health and Safety"
2590;"11-20-2017";155.3;"Failure of a Licensee to plan and publicly post menus for all foods served, including snacks, and shall modify the menus as necessary to reflect foods actually served. A Licensee shall maintain the menus at the Facility’s premises for at least three (3) years.";"12-12-2017";"General Health and Safety"
2590;"11-17-2017";120.3;"Failure to have a written staffing policy to ensure proper supervision of all enrolled children at all times, which shall include a mobile device use policy";"12-13-2017";"General Health and Safety"
2590;"11-17-2017";"121.3(a)";"Failure of a licensed Child Development Facility (“Licensee”) to maintain the adult-to-child ratios and group sizes as specified herein: (a) For Child Development Centers serving infants, toddlers, and/or preschoolers:";"12-13-2017";"General Health and Safety"
