"ServiceType";"ProviderName";"Building";"Street1";"Street2";"City";"State";"ZipCode";"Building(Mailing)";"Street1(Mailing)";"Street2(Mailing)";"City(Mailing)";"State(Mailing)";"ZipCode(Mailing)";"ContactPerson";"Phone";"LicenseNo";"LicenseName";"Capacity";"MinimumAge";"MaximumAge";"ExpirationDate";"Island";"Area"
"FCC";"VIERRA, LORNA L";;;;;;;;;;;;;;"808-520-8422";"17499";"LORNA & HERBERT VIERRA";6;"2 months";"13 years";"20201016";"Oahu";"Punchbowl"
"FCC";"SCHUTTE, KIMBERLY K";;;;;;;;"PO BOX 1685";;"KAMUELA";"HI";"96743";;"808-345-7590";"17597";"KIMBERLY AND BARNEY SCHUTTE";6;"2 months";"15 years";"20210727";"Hawaii";"Kamuela"
"FCC";"RITTECORPUZ, LIANA L";;;;;;;;"PO BOX 376";;"HOOLEHUA";"HI";"96729";;"808-385-3371";"17425";"LI-ANA RITTE-CORPUZ AND FROILAN CORPUZ";6;"2 months";"13 years";"20210228";"Molokai";"Hoolehua"
"FCC";"RHODEN, JULLIET S";;;;;;;;;;;;;;"808-285-7308";"17498";"JULLIET RHODEN";6;"3 months";"12 years";"20201231";;
"FCC";"BLACKBURN, MICHELLE L";;;;;;;;;;;;;;"808-870-9011";"17494";"MICHELLE & JOSEPH BLACKBURN";6;"2 years";"6 years";"20220531";"Maui";"Waiehu"
"FCC";"KUAHUIA, CHEYENNE M";;;;;;;;;;;;;;"808-640-5817";"17540";"CHEYENNE KUAHUIA & JAMES KANE";6;"2 months";"13 years";"20201207";"Oahu";"Makakilo"
"FCC";"CURNOW, THERESA L";;;;;;;;;;;;;;"808-450-9182";"17435";"THERESA CURNOW";6;"2 weeks";"13 years";"20210301";"Oahu";"Waipahu"
"FCC";"PECK, MARSHEAL B";;;;;;;;;;;;;;"808-443-9961";"17436";"MARSHEAL AND BRIAN PECK";6;"6 weeks";"12 years";"20220215";"Hawaii";"Kailua-Kona"
"FCC";"KREC, EVONNA I";;;;;;;;;;;;;;"808-856-1685";"17521";"EVONNA AND LECH KREC";6;"2 years 6 months";"7 years";"20201031";"Maui";"Kahului"
"FCC";"KAPANUI, JOHANNA M";;;;;;;;;;;;;;"808-636-0466";"17556";"JOHANNA & KEANUENUE KAPANUI";6;"4 weeks";"10 years";"20210227";"Oahu";"Nanakuli"
"FCC";"DEPONTE, NANETTE U";;;;;;;;"PO BOX 135";;"KEAAU";"HI";"96749";;"808-982-3868";"17557";"NANETTE AND STANLEY DEPONTE";6;"1 year 8 months";"6 years";"20210727";"Hawaii";"Keaau"
"FCC";"SARSONA, RAMONA H";;;;;;;;;;;;;;"808-635-6536";"17594";"PETER AND RAMONA SARSONA";6;"8 months";"13 years";"20201229";"Kauai";"Kapa'a"
"FCC";"SILVA, RASIKA N";;;;;;;;;;;;;;"808-521-4454";"15346";"RASIKA AND WASANTHA SILVA";3;"1 month";"12 years";"20210331";"Oahu";"Makiki"
"FCC";"RICKARD, TESSIE R";;;;;;;;;;;;;;"808-721-0103";"15766";"TESSIE & WALTER RICKARD JR";6;"6 weeks";"5 years";"20201121";"Oahu";"Kailua Town"
"FCC";"RUST, TANYA K";;;;;;;;;;;;;;"808-244-1574";"17484";"TANYA RUST";6;"1 day";"13 years";"20220831";"Maui";"Wailuku"
"FCC";"KALILIKANE, SHANEL K";;;;;;;;"PO BOX 370";;"PAAUILO";"HI";"96776";;"808-960-3015";"17561";"SHANEL KALILIKANE";6;"2 months";"10 years";"20210411";"Hawaii";"Paauilo"
"FCC";"ALMAREZ, CHERYL ANN H";;;;;;;;;;;;;;"808-256-8617";"16063";"CHERYL-ANN AND JAMES ALMAREZ";6;"4 months";"4 years";"20220109";"Oahu";"Waipahu"
"FCC";"PIPER, JOHNNETTA J";;;;;;;;;;;;;;"808-265-7160";"17585";"JOHNNETTA & PATRICK PIPER";6;"3 weeks";"13 years";"20201018";"Oahu";"Mililani Town"
"FCC";"WOODWARD, LARALEI K";;;;;;;;;;;;;;"808-346-8273";"15897";"LLEWELLYN & LARALEI WOODWARD";6;"1 day";"12 years";"20220520";"Kauai";"Kapa'a"
"FCC";"INES, RAYDYN K";;;;;;;;;;;;;;"808-960-8044";"17447";"RAYDYN AND SEVERO INES JR";6;"6 weeks";"13 years";"20220419";"Hawaii";"Kamuela"
"FCC";"DUCOSIN, RACHELLE L";;;;;;;;"PO BOX 2211";;"KAMUELA";"HI";"96743";;"808-769-1055";"17567";"RACHELLE DUCOSIN AND GARRICK YAMAMOTO, COUNTRY KEIKI DAYCARE";6;"6 weeks";"13 years";"20201112";"Hawaii";"Kamuela"
"FCC";"KAMI, TERRI L";;;;;;;;;;;;;;"808-216-8253";"17519";"TERRI AND ROBIN KAMI";6;"6 weeks";"5 years";"20210315";"Oahu";"Pacific Palisades"
"FCC";"BELL, REBECCA J";;;;;;;;;;;;;;"808-268-5334";"17570";"REBECCA BELL";6;"1 year";"13 years";"20210630";"Maui";"Haiku"
"FCC";"MAGLINTI, AMY J";;;;;;;;;;;;;;"808-635-7750";"16780";"CARLAN & AMY MAGLINTI";6;"1 day";"10 years";"20201107";"Kauai";"Wailua"
"FCC";"YOU, DYNASTEE L";;;;;;;;;;;;;;"808-554-5735";"17402";"DYNASTEE & SAM YOU";6;"2 months";"6 years";"20210228";"Oahu";"Kapolei"
"FCC";"DOMENDEN, ROSELINE K";;;;;;;;"PO BOX 1062";;"LIHUE";"HI";"96766";;"808-645-0258";"17469";"ALEJANDRO AND ROSELINE DOMENDEN";6;"1 year";"12 years";"20210906";"Kauai";"Lihu'e"
"FCC";"HILLEN, LINDSEY K";;;;;;;;;;;;;;"808-306-7814";"17242";"LINDSEY AND NATHAN HILLEN";6;"6 weeks";"6 years";"20220630";"Maui";"Kahului"
"FCC";"YAMANE, LACEY K";;;;;;;;;;;;;;"808-364-4477";"17243";"LACEY AND DANIEL YAMANE";5;"6 weeks";"12 years";"20201030";"Oahu";"Mililani Town"
"FCC";"CHANG, SHAWNA M";;;;;;;;;;;;;;"808-667-7655";"17328";"SHAWNA CHANG";6;"1 year";"5 years";"20210228";"Maui";"Lahaina"
"FCC";"MCCOMBER, HELEN K";;;;;;;;;;;;;;"808-379-9107";"17330";"HELEN AND MONTE MCCOMBER";6;"2 years 9 months";"6 years";"20210203";"Oahu";"Kapolei"
"FCC";"KAKSHAPATI, SALINA";;;;;;;;;;;;;;"808-429-1546";"17183";"SALINA & BIKRAM KAKSHAPATI";4;"4 weeks";"10 years";"20210913";"Oahu";"Kapolei"
"FCC";"TOKUHISA, ROBIN E";;;;;;;;;;;;;;"808-721-5209";"17254";"ROBIN AND KEVIN TOKUHISA";6;"1 month";"6 years";"20210513";"Oahu";"Ewa"
"FCC";"PEILER, MICHELLE K";;;;;;;;;;;;;;"808-625-2577";"17255";"MICHELLE AND RON PEILER";6;"6 weeks";"12 years";"20201221";"Oahu";"Mililani Town"
"FCC";"LOPEZ, WENDY F";;;;;;;;;;;;;;"808-959-5171";"17331";"WENDY AND ALBERT LOPEZ";6;"2 months";"6 years";"20210414";"Hawaii";"Hilo"
"FCC";"AINA-PAAOAO, CHANELLE L";;;;;;;;;;;;;;"808-430-9770";"17149";"CHANELLE AINA-PA'AOAO AND HIENJI PA'AOAO";6;"2 months";"10 years";"20201030";"Hawaii";"Hilo"
"FCC";"ZANE, JEREMY D";;;;;;;;;;;;;;"808-877-3220";"17200";"JEREMY AND DARRYL ZANE";6;"3 months";"11 years";"20220331";"Maui";"Kahului"
"FCC";"AKANA, DORISANN M";;;;;;;;;;;;;;"808-268-9337";"17202";"DORIS ANN & JOHN AKANA";6;"1 day";"9 years";"20210430";"Maui";"Makawao"
"FCC";"VIA, DANIELLE R";;;;;;;;;;;;;;"808-269-6349";"17278";"DANIELLE AND TERRY VIA";6;"2 years";"11 years";"20220930";"Maui";"Kihei"
"FCC";"ECHAVARIA, PEGEEN C";;;;;;;;;;;;;;"808-381-5372";"17361";"PEGEEN AND TERRENCE ECHAVARIA";6;"1 year 6 months";"6 years";"20201222";"Oahu";"Mililani Town"
"FCC";"RIECK, MARIE G";;;;;;;;"HC 3 BOX 11021";;"KEAAU";"HI";"96749";;"808-966-4436";"17289";"MARIE'S MONTESSORI HALE";6;"2 years 6 months";"6 years";"20201019";"Hawaii";"Keaau"
"FCC";"ALIPIO, GINETTE M";;;;;;;;;;;;;;"808-699-6294";"17159";"GINETTE ALIPIO";6;"1 year";"5 years";"20210101";"Oahu";"Manoa"
"FCC";"GAUI, JENNIE P";;;;;;;;;;;;;;"808-852-1270";"17220";"JENNIE GAUI";6;"1 day";"13 years";"20201231";"Oahu";"Ewa Beach"
"FCC";"FIGUEROA, MARYANN T";;;;;;;;;;;;;;"808-368-3081";"17387";"MARYANN & JAMES FIGUEROA, JR.";6;"2 months";"10 years";"20220827";"Oahu";"Kapolei"
"FCC";"WRIGHT, RACHEL-LEIGH K";;;;;;;;;;;;;;"808-778-0563";"17126";"RACHEL-LEIGH WRIGHT";6;"3 months";"12 years";"20201209";"Oahu";"Kapolei"
"FCC";"JACOBS, DALE";;;;;;;;;;;;;;"808-828-1294";"15010";"DALE JACOBS";6;"1 year";"12 years";"20211124";"Kauai";"Kilauea"
"FCC";"DELAESPRIELLA, DESIREE C";;;;;;;;"P O BOX 12838";;"LAHAINA";"HI";"96761";;"954-397-9355";"17630";"DESIREE AND OSCAR DE LA ESPRIELLA";6;"1 day";"7 years";"20201130";"Maui";"Lahaina"
"FCC";"SHRESTHA, GANGA";;;;;;;;;;;;;;"808-224-8746Amrit Cell";"17651";"AMRIT & GANGA SHRESTHA";6;"6 weeks";"10 years";"20201014";"Oahu";"Punchbowl"
"FCC";"SAIKI-SAWAMURA, AMY S";;;;;;;;;;;;;;"808-488-7933";"14128";"AMY SAIKI-SAWAMURA & EDWARD SAWAMURA";4;"2 months";"5 years";"20191231";"Oahu";"Newtown"
"FCC";"GONSALVES, LINDA M";;;;;;;;;;;;;;"808-312-2248";"17280";"LINDA AND WILLIAM GONSALVES";4;"6 weeks";"14 years";"20220914";"Oahu";"Ewa Beach"
"FCC";"MIYAZONO, TIFFANY M";;;;;;;;;;;;;;"808-205-1071";"17639";"TIFFANY AND ROYCE MIYAZONO";6;"1 day";"13 years";"20210228";"Maui";"Kahului"
"FCC";"ERMITANO, SUSANA M";;;;;;;;"P. O. BOX 662";;"MOUNTAINVIEW";"HI";"96771";;"808-968-6979";"17641";"SUSANA ERMITANO";6;"9 months";"13 years";"20210607";"Hawaii";"Mountain View"
"FCC";"CORATIBO, LIZETH I";;;;;;;;;;;;;;"808-264-9377";"17668";"LIZETH CORATIBO";6;"6 months";"14 years";"20210630";"Maui";"Wailuku"
"FCC";"POLENDEY, KIMBERLY J";;;;;;;;;;;;;;"808-579-9378";"17633";"KIMBERLY POLENDEY";6;"1 year 6 months";"7 years";"20210930";"Maui";"Paia"
"FCC";"TAKAYESU AHNEE, MONIQUE M";;;;;;;;;;;;;;"702-343-0994";"17669";"MONIQUE AND TYSEN TAKAYESU AH NEE";5;"1 month";"13 years";"20210301";"Oahu";"Ewa Beach"
"FCC";"KEKIPI, UATUAHINE K";;;;;;;;"P.O. BOX 385348";;"WAIKOLOA";"HI";"96738";;"808-785-4334";"17667";"UA TUAHINE KEKIPI AND TYLER SANDEEN";6;"3 months";"18 years";"20201030";"Hawaii";"Waikoloa"
"FCC";"DEPERALTA, EILEEN P";;;;;;;;"PO BOX 1351";;"HILO";"HI";"96721";;"808-494-8005";"17786";"EILEEN DEPERALTA AND CHAD HASEGAWA";6;"4 weeks";"13 years";"20210405";"Hawaii";"Keaau"
"FCC";"MOLETA, DARLENE L";;;;;;;;;;;;;;"808-772-4364";"17863";"DARLENE AND CHET MOLETA";0;;;"0";"Oahu";"Ewa"
"FCC";"MARTINEZ, SHERI A";;;;;;;;;;;;;;"808-942-5051";"13337";"SHERI A MARTINEZ";6;"1 day";"13 years";"20210117";"Oahu";"Moiliili"
"FCC";"JOSEPH, YVONISE F";;;;;;;;"PO BOX 861332";;"WAHIAWA";"HI";"96786";;"754-422-1993";"17754";"YVONISE AND REMY JOSEPH";3;"1 year 6 months";"10 years";"20210317";"Oahu";"Wahiawa Town"
"FCC";"SIVANATHAN, BHAGAVATI";;;;;;;;;;;;;;"808-634-7999";"17764";"BHAGAVATI SIVANATHAN";5;"1 month";"12 years";"20210123";"Kauai";"Kapa'a"
"FCC";"FLEMING, WENDI W";;;;;;;;;;;;;;"707-599-1068";"17765";"WENDI FLEMING";6;"3 months";"3 years 2 months";"20210604";"Hawaii";"Waikoloa"
"FCC";"LEE, TYRA K";;;;;;;;;;;;;;"808-959-7674";"17767";"TYRA AND TYSON LEE";2;"1 day";"2 years";"20210401";"Hawaii";"Hilo"
"FCC";"YOSHIMURA, PATRICIA L";;;;;;;;;;;;;;"808-428-8455";"17771";"PATRICIA & KALANI YOSHIMURA";5;"6 weeks";"13 years";"20201030";"Oahu";"Ewa"
"FCC";"PROTHE, KIKUYO G";;;;;;;;;;;;;;"808-348-0566";"15432";"KIKUYO AND DONALD PROTHE";6;"4 weeks";"12 years";"20210713";"Oahu";"Pearl City"
"FCC";"SANTOSBRAS, CECILIA I";;;;;;;;;;;;;;"808-357-7948";"17610";"CECILIA SANTOS BRAS";6;"1 day";"13 years";"20220731";"Maui";"Pukalani"
"FCC";"OTAKE, RUBYLYN P";;;;;;;;;;;;;;"808-269-5490";"17618";"RUBYLYN AND CHAD OTAKE";6;"1 day";"6 years";"20210930";"Maui";"Kahului"
"FCC";"TACTAY, CATHERINE T";;;;;;;;;;;;;;"808-342-7228";"17495";"CATHERINE TACTAY";6;"1 year 2 months";"13 years";"20211120";"Oahu";"Newtown"
"FCC";"MEDINA, CLARA M";;;;;;;;"HCR 1 BOX 5483";;"KEAAU";"HI";"96749";;"808-756-7176";"16253";"JOSEPH AND CLARA MEDINA";6;"11 months";"5 years";"20220903";"Hawaii";"Keaau"
"FCC";"IHA, SUSAN";;;;;;;;;;;;;;"808-382-0843";"17619";"SUSAN IHA";6;"6 weeks";"13 years";"20210114";"Oahu";"Kailua Town"
"FCC";"DOUCETTE, JUDY A";;;;;;;;;;;;;;"808-280-1833";"17753";"JUDY DOUCETTE";6;"1 year";"4 years";"20210531";"Maui";"Haiku"
"FCC";"SAKAMOTO, LICIA M";;;;;;;;;;;;;;;"17799";"LICIA & KEITH SAKAMOTO";6;"6 weeks";"6 years";"20210228";"Maui";"Kula"
"FCC";"DACQUEL, KEAHI W";;;;;;;;;;;;;;;"17801";"KEAHI AND DAVID DACQUEL";6;"6 weeks";"6 years";"20201031";"Hawaii";"Kailua-Kona"
"FCC";"LABAJO, TASHA P";;;;;;;;;;;;;;"808-281-1558";"17755";"TASHA AND DARTANIAN LABAJO";6;"1 year";"13 years";"20201231";"Maui";"Kahului"
"FCC";"MARTIN, BRENDA";;;;;;;;;;;;;;"808-652-2872";"17741";"JOHN AND BRENDA MARTIN";6;"1 year 1 month";"6 years";"20210314";"Kauai";"Wailua"
"FCC";"KAHOOKAULANA-SULPRIZIO, EMILY P";;;;;;;;"P.O. BOX 1579";;"PAHOA";"HI";"96778";;"808-987-9404";"17749";"EMILY KAHOOKAULANA-SULPRIZIO";6;"6 months";"12 years";"20210820";"Hawaii";"Pahoa"
"FCC";"SANTOS, MAELISA";;;;;;;;;;;;;;"808-793-3682";"17725";"MAELISA & CLIFFORD SANTOS";6;"1 day";"13 years";"20201130";"Maui";"Makawao"
"FCC";"COUPER, LAYNE T";;;;;;;;;;;;;;"808-276-5142";"17761";"LAYNE COUPER & RONALD HUFFMAN";6;"1 year";"6 years";"20201130";"Maui";"Kihei"
"FCC";"THAPA, BHIMA D";;;;;;;;;;;;;;"808-528-3686";"13612";"BHIMA DEVI THAPA & MANDHOJ RAI";6;"2 months";"8 years";"20201206";"Oahu";"Nuuanu"
"FCC";"HULLINGER, MARYJANE E";;;;;;;;;;;;;;"808-421-8875";"17411";"MARY JANE HULLINGER";6;"2 months";"4 years";"20201108";"Oahu";"Kaneohe"
"FCC";"SUEOKA, ANGELA ANN K";;;;;;;;;;;;;;"808-595-7356";"17092";"ANGELA & KEITH SUEOKA";6;"6 weeks";"11 years";"20211031";"Oahu";"Nuuanu"
"FCC";"KAUHAIHAO, SHEENA K";;;;;;;;;;;;;;"808-238-8926";"17800";"SHEENA KAUHAIHAO AND ALSTON KALEOHANO JR";6;"3 months";"13 years";"20201111";"Hawaii";"Kailua-Kona"
"FCC";"LITI, MANATU K";;;;;;;;;;;;;;"808-856-6849";"17797";"MANATU & JOHN LITI";6;"1 day";"13 years";"20201130";"Maui";"Makawao"
"FCC";"KUINKEL, SHANTA P";;;;;;;;;;;;;;"510-734-5335";"17150";"SHANTA KUINKEL & NAVA RAJ KUINKEL";6;"2 months";"10 years";"20210630";"Oahu";"Moiliili"
"FCC";"COBBADAMS, MONICA A";;;;;;;;;;;;;;"808-263-3746";"13056";"COBBADAMS, MONICA & JACOB";6;"1 year";"13 years";"20220228";"Oahu";"Kailua Town"
"FCC";"MATSUYAMA, LAURA A";;;;;;;;;;;;;;"808-346-8960";"17100";"ROY & LAURA MATSUYAMA";6;"1 week";"10 years";"20220320";"Kauai";"Puhi"
"FCC";"CABANTING, NICOLE E";;;;;;;;"PO BOX 1607";;"KAPAAU";"HI";"96755";;"808-430-7311";"17803";"NICOLE AND JUSTIN CABANTING";6;"1 week";"12 years";"20210107";"Hawaii";"Kapaau"
"FCC";"MALABANAN, CELIA";;;;;;;;;;;;;;"808-688-2552";"16830";"CELIA AND RICHARD MALABANAN";6;"3 months";"6 years";"20210113";"Oahu";"Waipahu"
"FCC";"GARVIN, YUANA";;;;;;;;;;;;;;"808-633-4189";"15878";"YUANA GARVIN";6;"1 year";"6 years";"20220331";"Maui";"Makawao"
"FCC";"MARTIN, CHEYNE M";;;;;;;;;;;;;;"808-959-8419";"16700";"CHEYNE AND MICHAEL MARTIN";3;"1 year";"6 years";"20220915";"Hawaii";"Hilo"
"FCC";"SILVA, LASHUNDA L";;;;;;;;;;;;;;"808-398-5500";"17759";"LASHUNDA SILVA";6;"6 weeks";"13 years";"20201231";"Oahu";"Palolo"
"FCC";"MARTINS, ANNA C";;;;;;;;;;;;;;"808-935-7170";"17381";"ANNA AND CHARLES MARTINS";6;"1 year 6 months";"6 years";"20210819";"Hawaii";"Hilo"
"FCC";"GIJAL, JAYLYN K";;;;;;;;;;;;;;"808-633-1803";"17762";"JAYLYN & PRIDELL GIJAL";6;"2 months";"6 years";"20210630";"Maui";"Wailuku"
"FCC";"HOOPII, IPOLANI T";;;;;;;;"PO BOX 45";;"KEALAKEKUA";"HI";"96750";;"808-315-8813";"17766";"IPOLANI AND SMOKEY HOOPII";6;"1 month";"12 years";"20210912";"Hawaii";"Captain Cook"
"FCC";"YAMASHITA, LINDA C";;;;;;;;;;;;;;"808-333-6310";"17677";"LINDA AND  ROSS YAMASHITA";6;"1 year";"13 years";"20210911";"Hawaii";"Kailua-Kona"
"FCC";"PINT, MEILANI";;;;;;;;;;;;;;"808-384-8657";"17298";"MEILANI & MARK PINT";6;"6 months";"12 years";"20210225";"Oahu";"Kapolei"
"FCC";"ANDAYA, NATASHA L";;;;;;;;"PO BOX 880559";;"PUKALANI";"HI";"96788";;"808-573-6909";"17625";"NATASHA & KAILANA ANDAYA";6;"1 year";"13 years";"20201130";"Maui";"Makawao"
"FCC";"BALINBIN, ELIZABETH E";;;;;;;;;;;;;;"651-245-8086";"17823";"ELIZABETH AND ERIC BALINBIN";6;"6 weeks";"6 years";"20201231";"Maui";"Kahului"
"FCC";"NEWHOUSE, NICOLE A";;;;;;;;;;;;;;"808-635-0232";"17529";"NICOLE NEWHOUSE";6;"1 year";"12 years";"20201228";"Kauai";"Lihu'e"
"FCC";"LINDSEY-ASING, IPOLEI K";;;;;;;;;;;;;;"808-283-2597";"17818";"IPOLEI AND KAMAKOA LINDSEY-ASING";6;"4 months";"5 years";"20210726";"Hawaii";"Keaau"
"FCC";"SANTIAGO, ERIKA-ANGELA K";;;;;;;;"PO BOX 1146";;"KURTISTOWN";"HI";"96760";;"808-217-2921";"17715";"ERIKA-ANGELA AND DUSTIN SANTIAGO";6;"1 week";"18 years";"20210228";"Hawaii";"Mountain View"
"FCC";"GOINGS, LAUREEN P";;;;;;;;;;;;"96744";;"808-389-1296";"17787";"LAUREEN & RICHARD GOINGS";6;"2 months";"6 years";"20201229";"Oahu";"Kaneohe"
"FCC";"ADAMSBENCE, DONNAMARIE";;;;;;;;;;;;"96790";;"808-269-4429";"17790";"DONNA ADAMS BENCE";6;"2 years";"6 years";"20210831";"Maui";"Kula"
"FCC";"SHERIFF, GNEI";;;;;;;;;;;;"96815";;"808-260-9109";"16742";"GNEI & TUAN SHERIFF";6;"3 months";"12 years";"20220331";"Oahu";"Waikiki"
"FCC";"MCBEE, AMY M";;;;;;;;;;;;"0";;"916-813-8833";"17821";"AMY AND ZACHARY MCBEE";4;"6 weeks";"12 years";"20210213";"Oahu";"Kapolei"
"FCC";"FLORES, CHANTAL A";;;;;;;;;;;;"96761";;"520-869-8125";"17727";"CHANTAL FLORES AND OREN REICH";6;"1 day";"4 years";"20201231";"Maui";"Lahaina"
"FCC";"DAVIS, KRISCHA-AMBER K";;;;;;;;;;;;"96706";;"808-286-9956";"17780";"KRISCHA-AMBER & MARC DAVIS, JR";4;"1 year";"13 years";"20210315";"Oahu";"Ewa"
"FCC";"PARILLA, CHRISTINA L";;;;;;;;;;;;"96793";;"808-205-5068";"17793";"CHRISTINA AND DWIGHT PARILLA";6;"1 day";"5 years";"20210131";"Maui";"Kahului"
"FCC";"KOGAMI, JUDITH F";;;;;;;;;;;;"96782";;"808-454-5899";"15092";"JUDITH AND NORMAN KOGAMI";6;"2 weeks";"13 years";"20211215";"Oahu";"Pearl City"
"FCC";"MALLOY, TONASIA";;;;;;;;;;;;"96817";;;"17814";"TONASIA MALLOY";0;;;"0";"Oahu";"ChinaTown"
"FCC";"GROW, JACQUELINE A";;;;;;;;;;;;"96740";;"808-430-0624";"17666";"JACQUELINE GROW AND SCOTT CHRISMAN";6;"2 months";"12 years";"20201114";"Hawaii";"Kailua-Kona"
"FCC";"SAUPAN, LORNA A";;;;;;;;;;;;"96707";;"808-745-7354";"17728";"LORNA & GARNET SAUPAN";6;"5 months";"6 years";"20210309";"Oahu";"Makakilo"
"FCC";"MOORE, AILENE B";;;;;;;;;;;;"96707";;"808-492-9494";"17731";"AILENE & CORY MOORE";4;"1 month";"12 years";"20210212";"Oahu";"Kapolei"
"FCC";"TECSON, MIKIALAPUA M";;;;;;;;"PO BOX 1462";;"LIHUE";"HI";"96766";;"808-651-9977";"17735";"MIKIALAPUA TECSON";5;"3 months";"13 years";"20201227";"Kauai";"Hanama'ulu"
"FCC";"RONDEAU, FARAH";;;;;;;;"PO BOX 2368";;"WAILUKU";"HI";"96793";;"808-866-7062";"17816";"FARAH RONDEAU";6;"2 weeks";"13 years";"20210228";"Maui";"Wailuku"
"FCC";"GERSABA, FILEXTINE P";;;;;;;;;;;;;;"808-840-0696";"15650";"FILEXTINE AND RYAN GERSABA";6;"3 months";"6 years";"20201218";"Oahu";"Ewa"
"FCC";"RAZO, KAREN M";;;;;;;;;;;;;;"808-250-9577";"17736";"KAREN AND CONRAD RAZO";6;"3 months";"11 years";"20201231";"Maui";"Kahului"
"FCC";"GASPAR, MELANIE M";;;;;;;;;;;;;;"808-250-0753";"16885";"MELANIE AND STEVEN GASPAR";6;"1 day";"11 years";"20220630";"Maui";"Kihei"
"FCC";"SANTOS, AUGUSTUS A";;;;;;;;;;;;;;;"17792";"AUGUSTUS SANTOS";6;"10 months";"12 years";"20210131";"Oahu";"Palolo"
"FCC";"BELLAMY, LAUREN S";;;;;;;;;;;;;;;"17809";"LAUREN BELLAMY & YANIV HERGASS";6;"2 years";"6 years";"20201231";"Maui";"Haiku"
"FCC";"ELLIS, SHAUNA";;;;;;;;;;;;;;"808-497-6461";"17811";"SHAUNA ELLIS";5;"1 year";"5 years";"20210223";"Oahu";"Waianae"
"FCC";"HOPSON, KESHIA L";;;;;;;;;;;;;;"808-769-2441";"17826";"KESHIA AND JOSHUA HOPSON";6;"6 weeks";"11 years";"20210510";"Hawaii";"Kamuela"
"FCC";"SASAKI, GRACEJOY B";;;;;;;;;;;;;;"808-428-6610";"17745";"GRACE JOY & MICHAEL SASAKI";5;"1 year";"7 years";"20210324";"Oahu";"Waipahu"
"FCC";"SARSONA, JOY L";;;;;;;;;;;;;;"808-631-0979";"17750";"ISAIAH AND JOY SARSONA SR";6;"1 month";"10 years";"20210531";"Kauai";"Kapa'a"
"FCC";"REIS, YVETTE L";;;;;;;;"HCR 2 BOX 6058";;"KEAAU";"HI";"96749";;"808-365-6889";"17782";"YVETTE AND RONALD REIS, JR.";6;"6 weeks";"6 years";"20210407";"Hawaii";"Keaau"
"FCC";"ZANE, JIE B";;;;;;;;;;;;;;"808-664-9982FCC Home";"16300";"JIE & GORDON ZANE";6;"2 months";"12 years";"20201231";"Oahu";"Kaimuki"
"FCC";"KEUSEN DAYAO, EVA C";;;;;;;;;;;;;;"808-388-4787";"17210";"EVA KEUSEN DAYAO & MARK DAYAO";6;"1 year";"13 years";"20210131";"Oahu";"Kapahulu"
"FCC";"DECORMIER, JOY L";;;;;;;;;;;;;;"808-651-7020";"17806";"JOY DECORMIER";6;"3 years";"13 years";"20201104";"Kauai";"Puhi"
"FCC";"DAVIS, MAILE M";;;;;;;;;;;;;;"808-572-4734";"17808";"MAILE AND JONATHAN DAVIS";6;"2 months";"5 years";"20201231";"Maui";"Haiku"
"FCC";"ADAMS, DANIELLE M";;;;;;;;;;;;;;"808-250-5579";"17757";"DANIELLE ADAMS";6;"1 year 6 months";"4 years";"20210331";"Maui";"Kula"
"FCC";"AQUINO, MICHELLE J";;;;;;;;;;;;;;"808-352-5760";"17541";"MICHELLE & DARRELL AQUINO";6;"2 months";"12 years";"20201231";"Oahu";"Kailua Town"
"GCC";"DOMINICAN SISTERS OF THE MOST HOLY";;"94-1249 LUMIKULA ST";;"WAIPAHU";"HI";"96797";;"94-1249 LUMIKULA ST";;"WAIPAHU";"HI";"96797";"SISTER CECILIA FABULAR";"808-676-1452";"14124";"ROSARY PRESCHOOL";58;"3 years";"6 years";"20201115";"Oahu";"Waipio"
"GCC";"DORIS TODD CHRISTIAN ACADEMY";;"519 BALDWIN AVENUE";;"PAIA";"HI";"96779";;"519 BALDWIN AVENUE";;"PAIA";"HI";"96779";"ALEA TUPUA";"808-579-8334";"14679";"DORIS TODD CHRISTIAN ACADEMY";35;"3 years";"6 years";"20210531";"Maui";"Paia"
"GCC";"E MALAMA I NA KEIKI O LANAI";;"751 FRASER AVE";;"LANAI CITY";"HI";"96763";;"PO BOX 630327";;"LANAI CITY";"HI";"96763";;;"14386";"E MALAMA I NA KEIKI O LANAI PRESCHOOL";24;"2 years";"6 years";"20210331";"Lanai";"Lanai City"
"GCC";"ABUNDANT LIFE UNITED PENTECOSTAL CHURCH";;"650 KILANI AVE";;"WAHIAWA";"HI";"96786";;"650 KILANI AVE";;"WAHIAWA";"HI";"96786";"JUDITH WASSON";"808-621-5433";"13680";"ABUNDANT LIFE CHILD CARE CENTER";45;"2 years";"8 years";"20201130";"Oahu";"Wahiawa Town"
"GCC";"AE KAMALII PRESCHOOL";;"2943 KRESS ST";;"LIHUE";"HI";"96766";;"2943 KRESS ST";"SUITE B";"LIHUE";"HI";"96766";"PENNI TAKETA/ PAM VIVEIROS";"808-245-6622";"14250";"AE KAMALII PRESCHOOL";40;"3 years";"8 years";"20210501";"Kauai";"Lihu'e"
