ServiceType;ProviderName;Building;Street1;Street2;City;State;ZipCode;Building(Mailing);Street1(Mailing);Street2(Mailing);City(Mailing);State(Mailing);ZipCode(Mailing);ContactPerson;Phone;LicenseNo;LicenseName;Capacity;MinimumAge;MaximumAge;LicensePeriodStart;LicensePeriodEnd
BAS;MARIA LANAKILA CHURCH;;712 WAINEE STREET;;LAHAINA;HI;96761;;239 DICKENSON STREET;;LAHAINA;HI;96761;DR. MIGUEL SOLIS;808-661-4720;17637;SACRED HEARTS SCHOOL AFTERCARE ;49;5 years;14 years;02/01/2018;10/31/2018
BAS;LIHUE HONGWANJI PRESCHOOL;;33560B KUHIO HWY;;LIHUE;HI;96766;;33560B KUHIO HWY;;LIHUE;HI;96766;SANDRA FJUJIMOTO;808-245-7857;15577;LIHUE HONGWANJI AFTERSCHOOL ;40;5 years;13 years;06/16/2017;06/15/2019
BAS;TRINITY CHRISTIAN CHURCH;;875 AULOA RD;;KAILUA;HI;96734;;875 AULOA RD;;KAILUA;HI;96734;LINDA KAWAKAMI;808-262-8501;13637;TRINITY CHRISTIAN SCHOOL BEFORE & ;84;4 years 8 months;16 years;12/01/2017;11/30/2019
BAS;HAWAII CONFERENCE OF SEVENTH DAY ADVENTISTS;;261 SOUTH PUUNENE AVENUE;;KAHULUI;HI;96732;;261 SOUTH PUUNENE AVENUE;;KAHULUI;HI;96732;JENNIFER TOMITA;808-793-2645;17665;MAUI ADVENTIST PRE ELEMENTARY ;24;5 years;13 years;06/08/2018;05/31/2019
BAS;MANOA JAPANESE LANGUAGE SCHOOL;;2804 EAST MANOA RD;;HONOLULU;HI;96822;;2804 EAST MANOA RD;;HONOLULU;HI;96822;GAYE OSHIRO;808-988-2602;13328;MANOA JAPANESE LANGUAGE SCHOOL ;92;5 years;12 years;02/01/2018;01/31/2020
BAS;FRIENDS OF THE FUTURE;KEALAKEHE HIGH SCHOOL;745000 PUOHULIHULI STREET;;KAILUA-KONA;HI;96740;C/O LILINOE GRACE;PO BOX 394;;HOLUALOA;HI;96725;;;17652;ALOHA MAP SUMMER PROGRAM;235;4 years 8 months;18 years;06/01/2018;05/31/2019
BAS;WINDWARD ADVENTIST SCHOOL;;160 MOOKUA ST;;KAILUA;HI;96734;;160 MOOKUA ST;;KAILUA;HI;96734;FERNANDO LISTA;808-261-0565;13665;HAWAIIAN MISSION ACADEMY ;20;4 years 8 months;15 years;10/01/2016;09/30/2018
BAS;MALAMALAMA WALDORF SCHOOL;;15-1834 MAKUU DRIVE;;KEAAU;HI;96749;;HC 3 BOX 13068;;KEAAU;HI;96749;ALLYSON ANTHONY;808-982-7701;14749;MALAMALAMA WALDORF AFTER SCHOOL ;40;5 years;13 years;03/01/2017;02/28/2019
FCC;CRIVELLO, TARITA S;;;;KAILUA;HI;96734;;;;KAILUA;HI;96734;;808-262-6133;13065;TARITA AND ROWELL CRIVELLO;6;6 weeks;13 years;06/01/2017;05/31/2019
FCC;DAVIS, LOVENA U;;;;KANEOHE;HI;96744;;;;KANEOHE;HI;96744;;808-247-3401;13763;LOVENA AND CHARLES DAVIS;6;1 day;6 years;10/01/2017;09/30/2019
FCC;LEECOSTA, WENDY;;;;PUKALANI;HI;96768;;;;PUKALANI;HI;96768;;808-572-1033;14380;WENDY & DAN COSTA;6;3 years;6 years 6 months;08/01/2016;07/31/2018
FCC;GIBO, LEATRICE K;;;;HONOLULU;HI;96816;;;;HONOLULU;HI;96816;;808-734-2624;13111;LEATRICE GIBO;6;1 year;12 years;06/01/2017;05/31/2019
FCC;GOMES, PAMELA M;;;;KAILUA;HI;96734;;;;KAILUA;HI;96734;;808-262-2157;13114;PAMELA AND KEVIN GOMES;6;1 day;14 years;08/01/2017;07/31/2019
FCC;CAMPBELL, SHAROLYN N;;;;KANEOHE;HI;96744;;;;KANEOHE;HI;96744;;808-247-3794;13813;SHAROLYN & ADAM CAMPBELL;6;1 day;12 years;07/01/2017;06/30/2019
FCC;KAAHUI, CHRISTINE M;;;;KIHEI;HI;96753;;;;KIHEI;HI;96753;;808-990-7531;14395;CHRISTINE KAAHUI;6;2 months;13 years;07/01/2017;06/30/2019
FCC;PAA, KELLY J;;;;HAIKU;HI;96708;;;;HAIKU;HI;96708;;808-573-5923;14795;KELLY & EDWARD PAA;6;1 year;6 years;12/01/2016;11/30/2018
FCC;MCPHERSON, KIMBERLIE R;;;;KIHEI;HI;96753;;PO BOX 2;;KIHEI;HI;96753;;808-874-5367;14438;KIMBERLIE & MICHAEL MCPHERSON;6;2 years 6 months;14 years;07/01/2017;06/30/2019
FCC;MORITA, CHERYL R;;;;HONOLULU;HI;96818;;;;HONOLULU;HI;96818;;808-423-8881;13379;CHERYL & MIKE MORITA;6;1 day;5 years;07/05/2018;07/04/2020
FCC;KATAHIRA, JANE M;;;;HONOLULU;HI;96817;;;;HONOLULU;HI;96817;;808-294-3212;13244;JANE & ROY KATAHIRA;6;1 month;12 years;05/01/2017;04/30/2019
FCC;LAGAMO, ARLETIE A;;;;KAPOLEI;HI;96707;;;;KAPOLEI;HI;96707;;808-672-4328;13912;ARLETIE & ROMEO LAGAMO;6;2 months;6 years;08/01/2017;07/31/2019
FCC;LEASAU, CLARA M;;;;KOLOA;HI;96756;;PO BOX 1173;;KOLOA;HI;96756;;808-742-7480;14265;MELEKE & CLARA LEASAU;6;1 day;12 years;10/15/2016;10/14/2018
FCC;LEE, JOYCE S;;;;EWA BEACH;HI;96706;;;;EWA BEACH;HI;96706;;808-685-1416;13918;JOYCE & GARY LEE;5;6 weeks;5 years;05/24/2018;05/23/2020
FCC;LINDSAY, JEANETTE J;;;;KAILUA;HI;96734;;;;KAILUA;HI;96734;;808-262-7988;13308;JEANETTE  LINDSAY;6;1 day;13 years;01/01/2018;12/31/2019
FCC;SUWAL MAHARJAN, SURYA L;;;;HONOLULU;HI;96814;;;;HONOLULU;HI;96814;;808-536-7197;13605;SURYA SUWAL MAHARJAN & RAJU ;6;2 months;12 years;06/19/2017;06/18/2019
FCC;THAPA, BHIMA D;;;;HONOLULU;HI;96817;;;;HONOLULU;HI;96817;;808-528-3686;13612;BHIMA DEVI THAPA & MANDHOJ RAI;6;2 months;8 years;12/07/2016;12/06/2018
FCC;THAPA, SAROJ;;;;HONOLULU;HI;96826;;;;HONOLULU;HI;96826;;808-944-9871;13613;SAROJ AND YADAB THAPA;6;1 year;12 years;11/01/2017;10/31/2019
FCC;PIROS, TRICIA K;;;;HONOLULU;HI;96815;;;;HONOLULU;HI;96815;;808-732-9795;13500;TRICIA & CAESAR PIROS;5;1 month;5 years;04/01/2017;03/31/2019
FCC;QUITEVIS, REMY N;;;;MILILANI TOWN;HI;96789;;;;MILILANI TOWN;HI;96789;;808-625-2210;14100;REMY & KENNETH QUITEVIS;6;3 months;8 years;03/03/2018;03/02/2020
FCC;RAMEL, CLAIRE A;;;;HONOLULU;HI;96826;;;;HONOLULU;HI;96826;;808-292-3067;13518;CLAIRE RAMEL;6;6 months;13 years;05/01/2018;04/30/2020
FCC;RAMOS, ANN M;;;;KAILUA;HI;96734;;;;KAILUA;HI;96734;;808-262-3253;13519;ANN RAMOS;6;2 years 6 months;7 years;07/01/2018;06/30/2020
FCC;REDDY, LATHA;;;;HONOLULU;HI;96825;;;;HONOLULU;HI;96825;;808-395-0096;13522;LATHA & MANOHAR REDDY;6;5 months;6 years;09/01/2017;08/31/2019
FCC;CHUN, MARGO A;;;;KAILUA;HI;96734;;;;KAILUA;HI;96734;;808-262-6832;13051;MARGO AND GERALD CHUN;6;1 year 1 month;12 years;04/01/2017;03/31/2019
FCC;DEREGO-IGNACIO, KATHY A;;;;HILO;HI;96720;;;;HILO;HI;96720;;808-969-9427;11328;KATHY AND DAVID IGNACIO;6;6 weeks;11 years;02/04/2018;02/03/2020
FCC;KOGAMI, JUDITH F;;;;PEARL CITY;HI;96782;;;;PEARL CITY;HI;96782;;808-454-5899;15092;JUDITH AND NORMAN KOGAMI;6;6 weeks;13 years;12/16/2017;12/15/2019
FCC;KUHNS, DEBRA A;;;;KAPOLEI;HI;96707;;;;KAPOLEI;HI;96707;;808-672-0306;11637;DEBRA & CAMPBELL KUHNS;6;6 weeks;12 years;05/20/2017;05/19/2019
FCC;LUM, SUSAN G;;;;KAILUA;HI;96734;;;;KAILUA;HI;96734;;808-261-5417;15090;SUSAN LUM;6;2 months;10 years;07/01/2017;06/30/2019
FCC;MONIZ, YONNE ANN L;;;;KEAAU;HI;96749;;PO BOX 1292;;KEAAU;HI;96749;;808-966-9213;11945;YONNE AND RANDY MONIZ;6;1 month;7 years;03/01/2017;02/28/2019
FCC;PAIO, NATASHA L;;;;KAILUA KONA;HI;96740;;;;KAILUA KONA;HI;96740;;808-355-8077;14985;NATASHA & MATTHEW PAIO, DBA ;6;3 weeks;13 years;06/25/2017;06/24/2019
FCC;KINEL, MERCEDITA B;;;;HONOLULU;HI;96822;;;;HONOLULU;HI;96822;;808-941-8334;15343;MERCEDITA & RICHARD KINEL;6;1 day;4 years;07/01/2017;06/30/2019
FCC;RAZO, KAREN M;;;;KAHULUI;HI;96732;;;;KAHULUI;HI;96732;;808-872-5671;14471;KAREN & CONRAD RAZO;6;3 months;11 years;01/01/2017;12/31/2018
FCC;FONTANILLA, JASMINE R;;;;HONOLULU;HI;96819;;;;HONOLULU;HI;96819;;808-845-0377;15331;JASMINE FONTANILLA;6;1 year;12 years;07/11/2017;07/10/2019
FCC;SHIM, SUSAN E;;;;HONOLULU;HI;96821;;;;HONOLULU;HI;96821;;808-396-0549;13562;SUSAN SHIM;6;1 day;5 years;04/01/2017;03/31/2019
FCC;VILLON, STACEY L;;;;KAHULUI;HI;96732;;;;KAHULUI;HI;96732;;808-871-9776;16286;STACEY AND SHERWIN VILLON;6;3 months;6 years;09/01/2016;08/31/2018
FCC;LUM, JOANNA K;;;;KAPAA;HI;96746;;;;KAPAA;HI;96746;;808-821-1862;14942;CORNEL SR & JOANNA LUM;6;1 year 3 months;12 years;05/14/2017;05/13/2019
FCC;PERREIRA, EVELYN M;;;;HAIKU;HI;96708;;;;HAIKU;HI;96708;;808-269-3002;15041;EVELYN & HOWARD PERREIRA;6;1 day;5 years;01/01/2017;12/31/2018
FCC;MARTINEZ, SHERI A;;;;HONOLULU;HI;96826;;;;HONOLULU;HI;96826;;808-942-5051;13337;SHERI A MARTINEZ;6;1 day;13 years;01/18/2017;01/17/2019
FCC;MURAOKA, LANI M;;;;MILILANI TOWN;HI;96789;;;;MILILANI TOWN;HI;96789;;808-626-8715;15860;LANI AND STEVEN MURAOKA;6;2 months;6 years;03/29/2017;03/28/2019
FCC;QUEVEDO, ROWENA G;;;;MILILANI TOWN;HI;96789;;;;MILILANI TOWN;HI;96789;;808-258-7048;15052;ROWENA AND DANNY QUEVEDO;6;7 months;13 years;11/06/2017;11/05/2019
FCC;RIVERA, JOAN N;;;;WAHIAWA;HI;96786;;;;WAHIAWA;HI;96786;;808-621-1047;15058;JOAN & BUDDY RIVERA;6;1 day;5 years;11/06/2017;11/05/2019
FCC;HUNTER, MARNI R;;;;CAPTAIN COOK;HI;96704;;PO BOX 2042;;KEALAKEKUA;HI;96750;;808-323-2362;15302;MARNI HUNTER AND EMAILE QUINTAL ;6;1 year;13 years;11/29/2016;11/28/2018
FCC;PARKER, LISA GAYE L;;;;KAILUA;HI;96734;;;;KAILUA;HI;96734;;808-261-4420;15247;LISAGAYE & DAVID PARKER;6;1 year;13 years;11/01/2017;10/31/2019
FCC;STREADBECK, TARA-LYN K;;;;EWA BEACH;HI;96706;;PO BOX 60478;;EWA BEACH;HI;96706;;808-681-0212;15098;TARA-LYN AND LINCOLN STREADBECK;6;6 weeks;13 years;01/23/2018;01/22/2020
FCC;SILVA, INDRIKA P;;;;HONOLULU;HI;96826;;;;HONOLULU;HI;96826;;808-947-9373;15163;INDRIKA AND ASOKA SILVA;6;4 weeks;16 years;09/07/2016;09/06/2018
FCC;MADAMBA, LORELYN C;;;;HILO;HI;96720;;;;HILO;HI;96720;;808-935-1301;15266;LORELYN MADAMBA;6;1 year;5 years;09/04/2017;09/03/2019
FCC;MARTIN-KING, SARAH R;;;;HILO;HI;96720;;;;HILO;HI;96720;;808-937-0265;15189;SARAH AND JONATHAN KING;6;6 weeks;6 years;01/11/2018;01/10/2020
FCC;MARTIN, SARAHANNE M;;;;KAHULUI;HI;96732;;;;KAHULUI;HI;96732;;808-269-5290;15704;SARAH & BEN MARTIN;6;6 weeks;13 years;07/01/2017;06/30/2019
FCC;BANAS, LESLIE D;;;;PEARL CITY;HI;96782;;;;PEARL CITY;HI;96782;;808-729-4239;15925;LESLIE AND WILFREDO BANAS;6;2 months;7 years;05/16/2018;05/15/2020
FCC;VISITACION, MILDRED P;;;;HILO;HI;96720;;;;HILO;HI;96720;;808-315-8396;15823;MILDRED AND JOHN VISITACION;6;1 year;5 years;05/07/2017;05/06/2019
FCC;KALUAHINE, DESIREE L;;;;LIHUE;HI;96766;;;;LIHUE;HI;96766;;808-651-4129;15814;CLYDE AND DESIREE KALUAHINE;6;2 weeks;12 years;11/08/2016;11/07/2018
FCC;AKO MCCABE, BLANCHE;;;;KANEOHE;HI;96744;;;;KANEOHE;HI;96744;;808-239-2300;15737;BLANCHE AKO-MCCABE & STANLEY ;6;1 year 6 months;6 years;11/01/2017;10/31/2019
FCC;KANAKANUIASPILI, ANDRINA K;;;;MILILANI TOWN;HI;96789;;;;MILILANI TOWN;HI;96789;;808-306-6022;15726;ANDRINA KANAKANUI-ASPILI AND ;6;1 month;11 years;08/03/2016;08/02/2018
FCC;SMITH, TRACIE I;;;;HONOLULU;HI;96821;;;;HONOLULU;HI;96821;;808-368-8124;15811;TRACIE & MATTHEW SMITH;6;6 weeks;6 years;05/01/2018;04/30/2020
FCC;VIERRA, ALANNA M;;;;KEAAU;HI;96749;;HC 2 BOX 6889;;KEAAU;HI;96749;;808-966-5920;15970;ALANNA AND DANIEL VIERRA;6;6 months;12 years;10/05/2017;10/04/2019
FCC;ISHIKAWA, CORINA K;;;;EWA BEACH;HI;96706;;;;EWA BEACH;HI;96706;;808-685-0483;16033;CORINA AND GREGG ISHIKAWA;6;6 weeks;13 years;11/21/2016;11/20/2018
FCC;CAMBRA, BRENDA J;;;;WAIANAE;HI;96792;;;;WAIANAE;HI;96792;;808-696-2790;15786;BRENDA AND WILLIAM CAMBRA, JR;4;2 years;4 years;11/06/2017;11/05/2019
FCC;YOSHIZAWA, MONICA F;;;;HILO;HI;96720;;;;HILO;HI;96720;;808-959-2440;15783;GLENN AND MONICA YOSHIZAWA;6;6 weeks;6 years;11/13/2017;11/12/2019
FCC;AHPUCK, CAROL;;;;LAHAINA;HI;96761;;;;LAHAINA;HI;96761;;808-661-7018;14326;CAROL & EDMUND AH PUCK;6;1 day;6 years;10/01/2016;09/30/2018
FCC;PYLE, KUNIKO N;;;;WAILUKU;HI;96793;;;;WAILUKU;HI;96793;;808-249-2788;15903;KUNIKO AND DAVID PYLE;6;1 day;6 years;04/01/2017;03/31/2019
FCC;ESTEP, LESLIE M;;;;KEAAU;HI;96749;;HCR 3, BOX 11018;;KEAAU;HI;96749;;808-966-4350;15684;LESLIE ESTEP;6;1 year;12 years;06/28/2018;06/27/2019
FCC;RESPICIO, SHANESSA K;;;;HILO;HI;96720;;;;HILO;HI;96720;;808-959-0040;15794;REX AND SHANESSA RESPICIO DBA NA ;6;1 day;12 years;01/17/2018;01/16/2020
FCC;SOARES, MISTY L;;;;KALAHEO;HI;96741;;PO BOX 824;;KALAHEO;HI;96741;;808-635-8459;15538;DAVID & MISTY SOARES;5;1 year;12 years;02/02/2018;02/01/2020
FCC;PROTHE, KIKUYO G;;;;PEARL CITY;HI;96782;;;;PEARL CITY;HI;96782;;808-348-0566;15432;KIKUYO AND DONALD PROTHE;6;4 weeks;12 years;07/14/2017;07/13/2019
FCC;PERKINS, BRENDA L;;;;KAILUA;HI;96734;;PO BOX 342110;;KAILUA;HI;96734;;808-888-8580;15599;BRENDA & WILLIAM PERKINS JR;6;3 months;5 years;12/01/2017;11/30/2019
FCC;CHAMBRELLA, LEANDA M;;;;EWA BEACH;HI;96706;;PO BOX 2344;;EWA BEACH;HI;96706;;808-497-8973;15437;LEANDA CHAMBRELLA;3;1 month;13 years;05/20/2018;05/19/2019
FCC;LONG, SAMMY L;;;;HONOLULU;HI;96817;;;;HONOLULU;HI;96817;;808-224-2997;15429;SAMMY F LONG;6;6 weeks;5 years;04/01/2018;03/31/2020
FCC;BARCAI, VERNA M;;;;WAILUKU;HI;96793;;;;WAILUKU;HI;96793;;808-243-9458;14356;VERNA BARCAI;6;6 weeks;6 years;04/01/2017;03/31/2019
FCC;TANGONAN, DEANNE L;;;;WAHIAWA;HI;96786;;;;WAHIAWA;HI;96786;;808-864-5351;15340;DEANNE AND STANLEY TANGONAN;6;1 month;6 years;03/08/2017;03/07/2019
FCC;CAMACHO, MARYJANE;;;;PAAUILO;HI;96776;;PO BOX 243;;PAAUILO;HI;96776;;808-776-1245;10707;MARY JANE CAMACHO;6;4 weeks;6 years;04/01/2018;03/31/2020
FCC;FIGEROA, JOYCELYN F;;;;WAILUKU;HI;96793;;;;WAILUKU;HI;96793;;808-242-5096;15146;JOYCELYN & ANDREW FIGEROA;6;1 day;13 years;06/01/2018;05/31/2020
FCC;POTTER, DWYNA A;;;;HILO;HI;96720;;;;HILO;HI;96720;;808-959-0289;12279;DWYNA POTTER DBA KEIKI HUT;6;1 year;13 years;09/06/2017;09/05/2019
FCC;TANICALA, LORI A;;;;MAKAWAO;HI;96768;;;;MAKAWAO;HI;96768;;808-572-3843;14494;LORI & CRAWFORD TANICALA;6;1 year;7 years;10/01/2017;09/30/2019
FCC;TURNER, JACQUELINE L;;;;WAILUKU;HI;96793;;;;WAILUKU;HI;96793;;808-242-8101;14496;JACQUELINE & PATRICK TURNER;6;6 weeks;5 years;02/01/2018;01/31/2020
FCC;CARTER, COLLEEN L;;;;MILILANI TOWN;HI;96789;;;;MILILANI TOWN;HI;96789;;808-397-1820;14608;COLLEEN & DALLAS CARTER;6;6 months;13 years;04/30/2018;04/29/2020
FCC;LAU, GIGI S;;;;HONOLULU;HI;96816;;;;HONOLULU;HI;96816;;808-732-6130;15126;GIGI AND FRANKLYN LAU;6;4 weeks;12 years;07/07/2018;07/06/2020
FCC;MILAR-OKINAKA, DESIREE P;;;;HILO;HI;96720;;;;HILO;HI;96720;;808-959-7759;15244;IVAN AND DESIREE MILAR-OKINAKA DBA ;6;2 months;6 years;09/10/2016;09/09/2018
FCC;AMASOL, SOPHIA M;;;;KAPOLEI;HI;96707;;;;KAPOLEI;HI;96707;;808-674-8804;15015;SOPHIA & RUDOLPH AMASOL;6;2 months;6 years;08/06/2017;08/05/2019
FCC;CAMBRA, WINIFRED;;;;MAKAWAO;HI;96768;;;;MAKAWAO;HI;96768;;808-572-8954;14366;WINIFRED & LOUIS CAMBRA;6;1 year;6 years;10/01/2016;09/30/2018
FCC;GAUTAM, KHIMA K;;;;HONOLULU;HI;96816;;;;HONOLULU;HI;96816;;808-737-8332;13107;KHIMA KUMARI GAUTAM;6;1 year;14 years;09/01/2017;10/31/2019
FCC;GURULUWANA, RAMYALATHA G;;;;HONOLULU;HI;96816;;;;HONOLULU;HI;96816;;808-734-0458;13123;RAMYALATHA AND JOSEPH ;6;1 month;13 years;10/23/2017;10/31/2019
FCC;MEDEIROS, MAUDLYN K;;;;HILO;HI;96720;;;;HILO;HI;96720;;808-981-2483;15615;ROBERT AND MAUDLYN MEDEIROS ;6;5 months;5 years;08/24/2017;08/23/2019
FCC;LEE, MARCIA S;;;;HONOLULU;HI;96818;;;;HONOLULU;HI;96818;;808-836-4593;13922;MARCIA AND DARLENE LEE;2;1 year;6 years;07/25/2017;07/24/2019
FCC;MAYEDA, HAROLDYNE P;;;;HONOLULU;HI;96816;;;;HONOLULU;HI;96816;;808-732-1547;13345;HAROLDYNE & MAX MAYEDA;6;6 weeks;12 years;11/29/2016;11/28/2018
FCC;NUNES, GLORIA A;;;;MILILANI TOWN;HI;96789;;;;MILILANI TOWN;HI;96789;;808-623-0563;13993;GLORIA & ALFREDO NUNES;6;6 weeks;13 years;08/16/2017;08/15/2019
FCC;PAJIMOLA, DEBRA A;;;;HONOLULU;HI;96818;;;;HONOLULU;HI;96818;;808-486-6489;14069;DEBRA & RYAN PAJIMOLA;6;6 weeks;13 years;05/11/2017;05/10/2019
FCC;PURCELL, MEAFOU L;;;;EWA BEACH;HI;96706;;;;EWA BEACH;HI;96706;;808-685-5310;14098;MEAFOU & ELLIOTT PURCELL;6;2 years;11 years;03/07/2017;03/06/2019
FCC;SILVER, ANNA L;;;;EWA BEACH;HI;96706;;;;EWA BEACH;HI;96706;;808-683-3987;14143;ANNA AND JACK SILVER;6;1 day;13 years;01/06/2017;01/05/2019
FCC;HORNOS, CHARLENE A;;;;EWA BEACH;HI;96706;;;;EWA BEACH;HI;96706;;808-381-4071;15100;CHARLENE AND MAURICE HORNOS JR;6;6 weeks;8 years;11/25/2017;11/24/2019
FCC;FARLEY, TIMENA M;;;;KAHUKU;HI;96731;;;;KAHUKU;HI;96731;;808-230-1222;14860;TIMENA AND KAEO FARLEY;5;6 weeks;13 years;06/30/2018;06/29/2020
FCC;CHUN, LORIE L;;;;MILILANI TOWN;HI;96789;;;;MILILANI TOWN;HI;96789;;808-753-1622;14994;LORIE & MARSHALL CHUN;6;3 months;7 years;11/24/2017;11/23/2019
FCC;LOGAN, YVETTE Y;;;;MILILANI TOWN;HI;96789;;;;MILILANI TOWN;HI;96789;;808-625-4688;15207;YVETTE AND GARY LOGAN;6;1 year 6 months;13 years;08/20/2016;08/19/2018
FCC;TABISULA, MICHELLE L;;;;KAHULUI;HI;96732;;;;KAHULUI;HI;96732;;808-871-8625;15264;MICHELLE & DURWIN TABISULA;6;1 year 1 month;14 years;11/01/2017;10/31/2019
FCC;VALLEJO, BARBARA E;;;;KAPOLEI;HI;96707;;;;KAPOLEI;HI;96707;;808-672-6860;15209;BARBARA AND JOHN VALLEJO AND ;6;2 months;13 years;12/15/2017;12/14/2019
FCC;SHERIFF, GNEI;;;;HONOLULU;HI;96815;;;;HONOLULU;HI;96815;;808-260-9109;16742;GNEI & TUAN SHERIFF;6;3 months;12 years;04/01/2018;03/31/2020
FCC;REMIGIO, BELINDA M;;;;HONOLULU;HI;96819;;;;HONOLULU;HI;96819;;808-383-6644;15420;BELINDA AND STEVEN REMIGIO;6;4 weeks;10 years;08/01/2017;07/31/2019
FCC;FREITAS, MELISSA M;;;;KALAHEO;HI;96741;;PO BOX 56;;KALAHEO;HI;96741;;808-639-3340;15008;BYRON AND MELISSA FREITAS;6;1 month;12 years;08/27/2017;08/26/2018
FCC;LOUGHLIN, SHARENE K;;;;MILILANI TOWN;HI;96789;;;;MILILANI TOWN;HI;96789;;808-228-6045;16639;SHARENE AND JASON LOUGHLIN;6;2 months;12 years;01/12/2018;01/11/2020
FCC;FREITAS, LIANA A;;;;MAKAWAO;HI;96768;;;;MAKAWAO;HI;96768;;808-357-1110;16535;LIANA & KAMAKA FREITAS;6;1 day;6 years;08/01/2016;07/31/2018
FCC;GLAVOR, VENUS A;;;;KIHEI;HI;96753;;;;KIHEI;HI;96753;;808-879-9251;14334;VENUS & THOMAS GLAVOR;6;6 weeks;11 years;04/01/2017;03/31/2019
FCC;KAPELIELA, CHRISTINE A;;;;EWA BEACH;HI;96706;;;;EWA BEACH;HI;96706;;808-277-9111;16240;CHRISTINE AND SHAWN KAPELIELA;6;2 months;13 years;07/14/2017;07/13/2018
FCC;BALTERO, JACQUELINE H;;;;KAPOLEI;HI;96707;;;;KAPOLEI;HI;96707;;808-375-6559;16454;JACQUELINE AND GABBY BALTERO;6;1 month;12 years;07/01/2017;06/30/2019
FCC;JUARIO, KATIE K;;;;KAUNAKAKAI;HI;96748;;PO BOX 1219;;KAUNAKAKAI;HI;96748;;808-336-0037;16415;KATIE JUARIO & GUILLERMO DELA CRUZ;6;1 day;6 years;09/01/2016;08/31/2018
FCC;MAFUA, LEAHMARIE M;;;;EWA BEACH;HI;96706;;;;EWA BEACH;HI;96706;;808-722-5860;16223;LEAHMARIE AND FILOSOFIA MAFUA;6;6 weeks;10 years;08/18/2017;08/17/2019
FCC;NUNES, BOBBIE H;;;;KAPOLEI;HI;96707;;;;KAPOLEI;HI;96707;;808-620-6952;16681;BOBBIE AND ZACHERY NUNES;6;6 weeks;11 years;03/23/2018;03/22/2019
FCC;DAVIES, JENNIFER L;;;;KEAAU;HI;96749;;HCR 2, BOX 6221;;KEAAU;HI;96749;;808-982-6383;10849;JENNIFER AND CLARENCE DAVIES DBA ;6;1 day;12 years;08/01/2016;07/31/2018
FCC;ROMERO, ZOILA;;;;MILILANI TOWN;HI;96789;;;;MILILANI TOWN;HI;96789;;808-623-6734;16489;ZOILA AND HIRAM ROMERO;6;6 weeks;13 years;06/17/2017;06/16/2019
FCC;ABE, VICTORIA P;;;;AIEA;HI;96701;;;;AIEA;HI;96701;;808-372-7528;16546;VICTORIA ABE;6;6 weeks;13 years;10/11/2016;10/10/2018
FCC;CUMMINGS, ALANA M;;;;EWA BEACH;HI;96706;;;;EWA BEACH;HI;96706;;808-384-0988;16438;ALANA AND ARMOND CUMMINGS;6;1 month;12 years;03/25/2017;03/24/2019
FCC;MIIKE, CHOON O;;;;MILILANI TOWN;HI;96789;;;;MILILANI TOWN;HI;96789;;808-358-7342;16638;CHOON AND LANCE MIIKE;6;6 weeks;8 years;01/04/2018;01/03/2020
FCC;TEXEIRA, TAMMI N;;;;WAIMANALO;HI;96795;;;;WAIMANALO;HI;96795;;808-259-7824;16628;TAMMI & ABEL TEXEIRA III;6;1 year;6 years;06/01/2018;05/31/2020
FCC;LINDSEY, MELISSA K;;;;WAIKOLOA;HI;96738;;;;WAIKOLOA;HI;96738;;808-769-4804;16532;MELISSA AND JOSEPH LINDSEY;6;1 week;11 years;05/05/2017;05/04/2019
FCC;ALO, ROCHELLE C;;;;HAIKU;HI;96708;;;;HAIKU;HI;96708;;808-572-0262;16583;ROCHELLE AND MARK ALO;6;1 year;13 years;11/01/2017;10/31/2019
FCC;NEUPANE, MITRA;;;;HONOLULU;HI;96816;;;;HONOLULU;HI;96816;;808-735-1212;13394;MITRA & KABI RAJ NEUPANE;6;6 weeks;12 years;01/22/2018;01/21/2020
FCC;YOSHIKAWA, SUSAN M;;;;HONOLULU;HI;96814;;;;HONOLULU;HI;96814;;808-585-6295;13675;SUSAN & DAVID YOSHIKAWA;6;1 day;13 years;10/01/2017;09/30/2019
FCC;YOUNT, DAWN L;;;;HONOLULU;HI;96825;;;;HONOLULU;HI;96825;;808-396-8922;15403;DAWN AND JOHN YOUNT;6;2 months;9 years;03/01/2018;02/28/2020
FCC;PRIETO, DANIELLE L;;;;KAHULUI;HI;96732;;;;KAHULUI;HI;96732;;808-214-3121;16436;DANIELLE AND ROLAND PRIETO;6;1 day;9 years;05/01/2017;04/30/2019
FCC;CASCO, JOLYNN M;;;;LAHAINA;HI;96761;;PO BOX 10952;;LAHAINA;HI;96761;;808-669-3778;16559;JOLYNN AND CLIFFANE CASCO;6;1 day;7 years;08/01/2016;07/31/2018
FCC;GRACE, LORELEI N;;;;KAILUA-KONA;HI;96740;;;;KAILUA-KONA;HI;96740;;808-325-2379;14661;LORELEI AND RYAN GRACE, DBA ABC'S & ;6;6 weeks;13 years;05/22/2017;05/21/2019
FCC;AMARAL, MELBA S;;;;HONOLULU;HI;96819;;;;HONOLULU;HI;96819;;808-888-7690;15616;MELBA AND EDMUND AMARAL JR;6;1 day;13 years;05/01/2017;04/30/2019
