"Facility";"Telephone";"ID";"Status";"Official";"Daytime Hours";"Nighttime Hours";"Daytime Ages";"Nighttime Ages";"Mailing Address";"Address";"City";"State";"Zip";"Licensee";"Mailing Address State";"Mailing Address City";"Mailing Address Zip";"DetailsURL";"Type of Care";"Star Rating";"Rating Expiration";"Accr Code";"Accreditations";"Accr Exp Date";"County"
"CANDYLAND HOME DAYCARE";"(256)727-2067";191;"Licensed";"CANDACE ROWAN - Director";"07:00 AM - 05:30 PM";"N/A - N/A";"6 WKS Through 5 YRS";"N/A";"530 COUNTY ROAD 602";"530 CTY RD 602";"HANCEVILLE";"AL";35077;"CANDACE ROWAN";"AL";"HANCEVILLE";35077;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=191";"Group Child Care Homes";1;"Daytime Hours: 07:00 AM - 05:30 PM";;;;"Cullman"
"SMARTY BRITCHES HOME DAYCARE";"(256)640-1016";266;"Licensed";"AMY LOYD - Director";"06:30 AM - 04:30 PM";"N/A - N/A";"0 WKS Through 7 YRS";"N/A";"2391 CO RD 1492";"2391 CO RD 1492";"CULLMAN";"AL";35058;"AMY LOYD";"AL";"CULLMAN";35058;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=266";"Group Child Care Homes";1;"Daytime Hours: 06:30 AM - 04:30 PM";;;;"Cullman"
"ANOTHER MOTHER'S LOVE LEARNING CENTER";"(334)709-4141";1710;"Licensed";"VALERIE TERRY - Director";"07:00 AM - 07:00 PM";"07:00 PM - 06:59 AM";"04 WKS Through 12 YRS";"04 WKS Through 12 YRS";"118 HILLSIDE DRIVE";"118 HILLSIDE DRIVE";"DALEVILLE";"AL";36322;"VALERIE MONTISE TERRY";"AL";"DALEVILLE";36322;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1710";"Day Care Centers";1;"Daytime Hours: 07:00 AM - 07:00 PM";;;;"Dale"
"BRIGHT FUTURES CHILDREN'S CENTER, LLC";"(334)774-3003";1667;"Licensed";"TOMEKIA CREWS - Director";"06:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"1815 N US HWY 231";"1815 N US HWY 231";"OZARK";"AL";36360;"TOMEKIA BURKS CREWS";"AL";"OZARK";36360;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1667";"Day Care Centers";1;"03-01-2024";;;;"Dale"
"BRIGHT FUTURES CHILDREN'S CENTER, TOO";"(334)443-0497";1781;"Licensed";"TOMEKIA CREWS - Director";"06:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"1962 SKIPPERVILLE ROAD";"1962 SKIPPERVILLE ROAD";"OZARK";"AL";36360;"TOMEKIA CREWS";"AL";"OZARK";36360;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1781";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 06:00 PM";;;;"Dale"
"EVERY MOMS CHOICE DAY CARE & LRNG CENTER";"(334)299-3804";1255;"Licensed";"WILMA BODIFORD - Director";"06:00 AM - 06:00 PM";"N/A - N/A";"04 WKS Through 12 YRS";"N/A";"592 COLLEGE STREET";"592 COLLEGE STREET";"NEWTON";"AL";36352;"EMC DAY CARE INC";"AL";"NEWTON";36352;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1255";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 06:00 PM";;;;"Dale"
"FIRST UNITED METHODIST CHURCH - OZARK";"(334)445-1329";1943;"Exempt";"BRITNEY JOHNSON - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"167 EAST BROAD STREET";"167 EAST BROAD STREET";"OZARK";"AL";36360;"FIRST UNITED METHODIST CHURCH - OZARK";"AL";"OZARK";36360;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1943";"Day Care Centers";;;;;;"Dale"
"HAPPY HEARTS CHRISTIAN ACADEMY, LLC";"(334)598-4030";890;"Licensed";"BRITNEY COKER - Director";"06:00 AM - 05:30 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"81 OLD HWY 134 WEST";"81 OLD HWY 134 WEST";"DALEVILLE";"AL";36322;"HAPPY HEARTS CHRISTIAN ACADEMY, LLC";"AL";"DALEVILLE";36322;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=890";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 05:30 PM";;;;"Dale"
"IMMANUEL CHILD DEVELOPMENT CENTER";"(334)445-1887";1561;"Licensed";"ANNIE WOMACK - Director";"05:30 AM - 07:00 PM";"07:00 PM - 12:00 AM";"0 MOS Through 13 YRS";"18 MOS Through 13 YRS";"1587 DEESE ROAD";"628 SOUTH UNION AVENUE";"OZARK";"AL";36360;"IMMANUEL ENTERPRISES LLC";"AL";"OZARK";36360;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1561";"Day Care Centers";1;"Daytime Hours: 05:30 AM - 07:00 PM";;;;"Dale"
"IMMANUEL CHILD DEVELOPMENT CENTER #2";"(334)443-0320";1562;"Licensed";"ANNIE WOMACK - Director";"05:30 AM - 06:00 PM";"N/A - N/A";"0 MOS Through 12 YRS";"N/A";"1587 DEESE ROAD";"5013 ANDREWS AVENUE";"OZARK";"AL";36360;"IMMANUEL CHILD DEVELOPMENT CTR";"AL";"OZARK";36360;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1562";"Day Care Centers";1;"Daytime Hours: 05:30 AM - 06:00 PM";;;;"Dale"
"MIDLAND CITY CHILDCARE & ACADEMY, LLC";"(334)873-4285";928;"Licensed";"AMY PRITCHETT - Director";"06:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"214 PHILLIP J HAMM DRIVE";"214 PHILLIP J HAMM DRIVE";"MIDLAND CITY";"AL";36350;"AMY PRITCHETT";"AL";"MIDLAND CITY";36350;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=928";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 06:00 PM";;;;"Dale"
"OZARK BAPTIST CHURCH";"(334)350-5037";1944;"Exempt";"FAYE BROWN - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"282 SOUTH UNION AVENUE";"282 SOUTH UNION AVENUE";"OZARK";"AL";36360;"OZARK BAPTIST CHURCH";"AL";"OZARK";36360;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1944";"Day Care Centers";;;;;;"Dale"
"OZARK HEAD START CENTER";"(334)774-3667";1942;"Licensed";"TRACEY UPSHAW - Director";"08:00 AM - 04:00 PM";"N/A - N/A";"3 YRS Through 5 YRS";"N/A";"507 N THREE NOTCH ST.";"405 MARVIN PARKER ROAD";"OZARK";"AL";36360;"ORGANIZED COMMUNITY ACTION PROGRAM, INC";"AL";"TROY";36081;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1942";"Day Care Centers";;;;;;"Dale"
"RIGHT TRACK PRESCHOOL";"(334)443-0155";1468;"Licensed";"SHELLY KILEY - Director";"06:30 AM - 02:30 PM";"N/A - N/A";"4 YRS Through 5 YRS";"N/A";"P O BOX 566";"161 FLOYD AVE";"OZARK";"AL";36360;"OZARK HOUSING COMMUNITY";"AL";"OZARK";36361;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1468";"Day Care Centers";;;;;;"Dale"
"SHARON L. WATSON";"(334)774-6729";358;"Licensed";"SHARON WATSON - Director";"06:30 AM - 07:00 PM";"N/A - N/A";"0 WKS Through 12 YRS";"N/A";"682 N. COUNTY RD. 21";"682 N. COUNTY RD. 21";"OZARK";"AL";36360;"SHARON L. WATSON";"AL";"OZARK";36360;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=358";"Family Child Care Homes";;;;;;"Dale"
"SMART START DAYCARE";"(334)790-8460";644;"Licensed";"JOYCE JONES - Director";"07:30 AM - 05:30 PM";"N/A - N/A";"0 WKS Through 6 YRS";"N/A";"1164 COUNTY RD 238";"1164 COUNTY RD 238";"OZARK";"AL";36360;"JOYCE JONES";"AL";"OZARK";36360;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=644";"Family Child Care Homes";;;;;;"Dale"
"WILL-N-HANDS";"(334)726-4672";496;"Licensed";"CONNIE WILLINGHAM - Director";"07:00 AM - 05:30 PM";"N/A - N/A";"0 WKS Through 12 YRS";"N/A";"120 PORTER ANDREWS ROAD";"120 PORTER ANDREWS ROAD";"OZARK";"AL";36360;"CONNIE E. WILLINGHAM";"AL";"OZARK";36360;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=496";"Family Child Care Homes";;;;;;"Dale"
"MS. SUE'S DC";"(334)774-9676";609;"Licensed";"MARTHA SUE MAUND - Director";"05:30 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"211 PERIWINKLE LANE";"211 PERIWINKLE";"OZARK";"AL";36360;"MARTHA SUE MAUND";"AL";"OZARK";36360;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=609";"Group Child Care Homes";;;;;;"Dale"
"WINFRED ANN TURNER";"(334)445-1455";902;"Licensed";"WINFRED TURNER - Director";"07:00 AM - 07:00 PM";"07:00 PM - 11:30 PM";"1 YRS Through 15 YRS";"1 YRS Through 15 YRS";"304 JOHANNA DR";"304 JOHANNA DR";"OZARK";"AL";36360;"WINFRED TURNER";"AL";"OZARK";36360;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=902";"Group Child Care Homes";1;"Daytime Hours: 07:00 AM - 07:00 PM";;;;"Dale"
"ALL ABOUT OUR KIDS, LLC";"(334)877-4828";272;"Licensed";"SHERYL D MORGAN - Director";"05:30 AM - 06:00 PM";"N/A - N/A";"0 WKS Through 18 YRS";"N/A";"3041 WATER AVENUE";"3041 WATER AVENUE";"SELMA";"AL";36701;"ALL ABOUT OUR KIDS, LLC";"AL";"SELMA";36701;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=272";"Day Care Centers";;;;;;"Dallas"
"CHURCH STREET UNITED METHODIST CHURCH- I";"(334)872-1401";1947;"Exempt";"DANEEN TURNER - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"214 CHURCH STREET RM-1";"214 CHURCH STREET RM-1";"SELMA";"AL";36701;"CHURCH STREET UNITED METHODIST CHURCH- I";"AL";"SELMA";36701;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1947";"Day Care Centers";;;;;;"Dallas"
"CHURCH STREET UNITED METHODIST CHURCH-2";"(334)872-1401";1946;"Exempt";"FRANCES TURNER - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"214 CHURCH STREET RM-2";"214 CHURCH STREET RM-2";"SELMA";"AL";36701;"CHURCH STREET UNITED METHODIST CHURCH-2";"AL";"SELMA";36701;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1946";"Day Care Centers";;;;;;"Dallas"
"CROSSPOINT CHRISTIAN CHURCH";"(334)872-0086";1949;"Exempt";"DAVID NICHOLS - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"1710 WEST DALLAS AVE";"1710 WEST DALLAS AVE";"SELMA";"AL";36701;"CROSSPOINT CHRISTIAN CHURCH";"AL";"SELMA";36701;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1949";"Day Care Centers";;;;;;"Dallas"
"EASTER SEALS C.D.C.";"(334)874-1126";1446;"Licensed";"THERESA KIMBROUGH - Director";"07:00 AM - 05:00 PM";"N/A - N/A";"3 YRS Through 5 YRS";"N/A";"PO BOX 2020";"2906 CITIZENS PKWY";"SELMA";"AL";36701;"BLACK BELT COMMUNITY FOUNDATION HEAD STA";"AL";"SELMA";36702;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1446";"Day Care Centers";;;;;;"Dallas"
"EASTER SEALS EARLY HEAD START";"(205)652-4477";1027;"Licensed";"MARQUITA SIMPSON - Director";"08:00 AM - 03:00 PM";"N/A - N/A";"0 WKS Through 3 YRS";"N/A";"PO DRAWER 928";"2906 CITIZENS PARKWAY";"SELMA";"AL";36701;"SUMTER COUNTY OPPORTUNITY, INC";"AL";"LIVINGSTON";35464;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1027";"Day Care Centers";;;;;;"Dallas"
"FIRST CLASS SELMA PRE-K (YMCA)";"(334)874-9622";71;"Licensed";"TAWANNDA BROWN - Director";"07:30 AM - 03:30 PM";"N/A - N/A";"4 YRS Through 5 YRS";"N/A";"1 YMCA DRIVE";"1 YMCA DRIVE";"SELMA";"AL";36701;"DALLAS COUNTY CHILDREN'S POLICY COUNCIL";"AL";"SELMA";36701;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=71";"Day Care Centers";;;;;;"Dallas"
"HOUSE OF PRAISE/DIVINE CHILDCARE";"(334)872-7290";288;"Licensed";"DELOISE WILLOUGHBY - Director";"05:00 AM - 07:00 PM";"N/A - N/A";"0 YRS Through 12 YRS";"N/A";"P.O. BOX 636";"1601 BROAD ST.";"SELMA";"AL";36701;"DELOISE WILLOUGHBY";"AL";"SELMA";36701;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=288";"Day Care Centers";1;"Daytime Hours: 05:00 AM - 07:00 PM";;;;"Dallas"
"KEITH CHILD DEVELOPMENT CENTER";"(334)874-1126";1445;"Licensed";"FELECIA LUCKY - Director";"08:00 AM - 03:00 PM";"N/A - N/A";"3 YRS Through 5 YRS";"N/A";"PO BOX 2020";"1166 COUNTY RD 115";"ORVILLE";"AL";36707;"BLACK BELT COMMUNITY FOUNDATION";"AL";"SELMA";36702;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1445";"Day Care Centers";;;;;;"Dallas"
"KIDZ KLUBHOUSE OF SELMA";"(334)526-4246";1625;"Licensed";"DE'SHANDA HATCHER - Director";"06:00 AM - 06:00 PM";"N/A - N/A";"4 WKS Through 14 YRS";"N/A";"1115 OLD ORRVILLE ROAD";"1115 OLD ORRVILLE ROAD";"SELMA";"AL";36701;"KIDZ KLUBHOUSE OF SELMA";"AL";"SELMA";36701;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1625";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 06:00 PM";;;;"Dallas"
"KIDZ KLUBHOUSE OF SELMA PRE K";"(334)267-6212";1626;"Licensed";"DE'SHANDA HATCHER - Director";"07:00 AM - 06:00 PM";"N/A - N/A";"3 YRS Through 14 YRS";"N/A";"1115 OLD ORRVILLE ROAD";"1101 OLD ORRVILLE ROAD";"SELMA";"AL";36701;"DE'SHANDA HATCHER";"AL";"SELMA";36701;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1626";"Day Care Centers";;;;;;"Dallas"
"LITTLE PEOPLE SCHOOL";"(334)872-5611";756;"Licensed";"SUSAN HORNSBY - Director";"06:30 AM - 05:30 PM";"N/A - N/A";"4 WKS Through 12 YRS";"N/A";"1302 OLD ORRVILLE ROAD";"1302 OLD ORRVILLE ROAD";"SELMA";"AL";36701;"LINDA HAGOOD";"AL";"SELMA";36701;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=756";"Day Care Centers";1;"Daytime Hours: 06:30 AM - 05:30 PM";;;;"Dallas"
"MCRAE LEARNING CENTER";"(334)872-8078";1305;"Licensed";"SADIE MOSS - Director";"06:30 AM - 05:30 PM";"N/A - N/A";"12 MOS Through 14 YRS";"N/A";"PO BOX 1266";"2601 MARIE FOSTER STREET";"SELMA";"AL";36701;"MCRAE LEARNING CENTER, INC.";"AL";"SELMA";36702;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1305";"Day Care Centers";1;"Daytime Hours: 06:30 AM - 05:30 PM";;;;"Dallas"
"MEADOWVIEW CHRISTIAN SCHOOL";"(334)872-8448";1948;"Exempt";"ASHLEY HORN - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"1512 OLD ORRVILLE ROAD";"1512 OLD ORRVILLE ROAD";"SELMA";"AL";36701;"MEADOWVIEW CHRISTIAN SCHOOL";"AL";"SELMA";36701;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1948";"Day Care Centers";;;;;;"Dallas"
"NEW HORIZONS EDUCATIONAL CENTER LLC";"(334)526-2295";865;"Licensed";"JACINTA BRIGHT - Director";"06:00 AM - 06:00 PM";"N/A - N/A";"0 YRS Through 13 YRS";"N/A";"4290 AL HIGHWAY 22";"4290 AL HIGHWAY 22";"VALLEY GRANDE";"AL";36701;"NEW HORIZONS EDUCATIONAL CENTER LLC";"AL";"VALLEY GRANDE";36701;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=865";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 06:00 PM";;;;"Dallas"
"POTTER'S ENRICHMENT ACADEMY";"(334)877-0505";939;"Licensed";"DESTINI BONNER - Director";"06:00 AM - 06:00 PM";"N/A - N/A";"0 WKS Through 12 YRS";"N/A";"3000 OLD MONTGOMERY";"3000 OLD MONTGOMERY";"SELMA";"AL";36701;"CHARITY FELLOWSHIP OUTREACH";"AL";"SELMA";36701;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=939";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 06:00 PM";;;;"Dallas"
"SOUTHSIDE CHILD DEVELOPMENT CENTER";"(334)874-1126";1444;"Licensed";"SHYNECSA BLEVINS - Director";"08:00 AM - 03:00 PM";"N/A - N/A";"3 YRS Through 5 YRS";"N/A";"PO BOX 2020";"3104 OLD MONTGOMERY HWY";"SELMA";"AL";36701;"BLACK BELT COMMUNITY FOUNDATION";"AL";"SELMA";36702;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1444";"Day Care Centers";;;;;;"Dallas"
"ABC LEARNING CENTER";"(256)659-3336";331;"Licensed";"TENA ENGLAND - Director";"07:15 AM - 06:00 PM";"N/A - N/A";"2 1/2 YRS Through 12 YRS";"N/A";"1395 COUNTY ROAD 34";"1395 COUNTY ROAD 34";"CROSSVILLE";"AL";35962;"TENA ENGLAND";"AL";"CROSSVILLE";35962;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=331";"Day Care Centers";1;"Daytime Hours: 07:15 AM - 06:00 PM";;;;"DeKalb"
"CORNERSTONE CHRISTIAN ACADEMY";"(256)638-9311";1950;"Exempt";"SHERRY CORNELISON - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"P.O. BOX 1488";"1600-MCCURDY AVEN. NORTH";"RAINSVILLE";"AL";35986;"CORNERSTONE CHRISTIAN ACADEMY";"AL";"RAINSVILLE";35986;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1950";"Day Care Centers";;;;;;"DeKalb"
"CROSSVILLE HEAD START";"(256)355-7843";1055;"Licensed";"THERESA DALTON - Director";"07:30 AM - 03:30 PM";"N/A - N/A";"3 YRS Through 5 YRS";"N/A";"1909 CENTRAL PARKWAY";"80 GAINES STREET";"CROSSVILLE";"AL";35962;"COMMUNITY ACTION PARTNERSHIP OF N AL INC";"AL";"DECATUR";35601;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1055";"Day Care Centers";;;;;;"DeKalb"
"FIRST UNITED METHODIST CHURCH";"(256)845-6221";1951;"Exempt";"KRISTIE RIDDLE - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"206 GRAND AVENUE N";"211 38TH STREET NE";"FORT PAYNE";"AL";35967;"FIRST UNITED METHODIST CHURCH";"AL";"FORT PAYNE";35967;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1951";"Day Care Centers";;;;;;"DeKalb"
"FORT PAYNE HEAD START";"(256)845-5951";1038;"Licensed";"THERESA DALTON - Director";"07:00 AM - 03:00 PM";"N/A - N/A";"3 WKS Through 5 YRS";"N/A";"1909 CENTRAL PARKWAY";"701 1ST STREET EAST";"FORT PAYNE";"AL";35967;"CAPNA, INC.";"AL";"DECATUR";35601;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1038";"Day Care Centers";;;;;;"DeKalb"
"FT PAYNE DEKALB COUNTY CDC";"(256)845-0731";1189;"Licensed";"ROBBIE TARVIN - Director";"05:30 AM - 05:15 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"P. O. BOX 680874";"651 WALLACE AVENUE, NE";"FT PAYNE";"AL";35967;"CHILDCARE RESOURCE NETWORK, INC.";"AL";"FT PAYNE";35968;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1189";"Day Care Centers";1;"Daytime Hours: 05:30 AM - 05:15 PM";;;;"DeKalb"
"FYFFE HEAD START";"(256)623-2620";1034;"Licensed";"THERESA DALTON - Director";"07:00 AM - 03:00 PM";"N/A - N/A";"3 YRS Through 5 YRS";"N/A";"1909 CENTRAL PARKWAY";"733 MAIN STREET";"FYFFE";"AL";35971;"COMM. ACTION PARTNERSHIP OF NO ALA, INC.";"AL";"DECATUR";35601;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1034";"Day Care Centers";;;;;;"DeKalb"
"KANDIELAND DAY CARE";"(256)638-4848";1389;"Licensed";"KANDIE MCELYEA - Director";"05:30 AM - 06:00 PM";"N/A - N/A";"3 WKS Through 12 YRS";"N/A";"P. O. BOX 935";"333 DILBECK ROAD, NE";"RAINSVILLE";"AL";35986;"MCELYEA ENTERPRISES, INC.";"AL";"RAINSVILLE";35986;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1389";"Day Care Centers";1;"Daytime Hours: 05:30 AM - 06:00 PM";;;;"DeKalb"
"SYLVANIA HEAD START";"(256)638-7803";1031;"Licensed";"THERESA DALTON - Director";"07:30 AM - 03:00 PM";"N/A - N/A";"3 YRS Through 5 YRS";"N/A";"1909 CENTRAL PARKWAY SW";"63 WEST STREET";"SYLVANIA";"AL";35988;"COMMUNITY ACTION PART OF NORTH AL, INC.";"AL";"DECATUR";35601;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1031";"Day Care Centers";;;;;;"DeKalb"
"THE CUB HOUSE DAYCARE";"(256)528-2827";1656;"Licensed";"RHONDA TUCKER - Director";"05:30 AM - 06:00 PM";"N/A - N/A";"1 DYS Through 12 YRS";"N/A";"17 GRAVES STREET";"17 GRAVES STREET";"CROSSVILLE";"AL";35962;"THE CUB HOUSE DAYCARE, LLC";"AL";"CROSSVILLE";35962;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1656";"Day Care Centers";1;"Daytime Hours: 05:30 AM - 06:00 PM";;;;"DeKalb"
"THE ROC LEARNING CENTER LLC 2";"(256)845-4996";189;"Licensed";"STEVE CORNELIUS - Director";"05:30 AM - 05:30 PM";"N/A - N/A";"3 WKS Through 14 YRS";"N/A";"4050 WILLIAMS AVENUE NE";"4050 WILLIAMS AVENUE NE";"FT PAYNE";"AL";35967;"THE ROC LEARNING CENTER LLC 2";"AL";"FT PAYNE";35967;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=189";"Day Care Centers";1;"Daytime Hours: 05:30 AM - 05:30 PM";;;;"DeKalb"
"UNION GROVE BAPTIST CHURCH";"(256)528-7395";1952;"Exempt";"SARA ROBERTSON - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"76 UNION GROVE ROAD NORTH";"76 UNION GROVE ROAD NORTH";"CROSSVILLE";"AL";35962;"UNION GROVE BAPTIST CHURCH";"AL";"CROSSVILLE";35962;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1952";"Day Care Centers";;;;;;"DeKalb"
"DEBORAH BLEVINS";"(256)638-6873";12;"Licensed";"DEBORAH BLEVINS - Director";"06:00 AM - 05:00 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"146 VAUGHN DR.";"146 VAUGHN DR.";"RAINSVILLE";"AL";35986;"DEBORAH BLEVINS";"AL";"RAINSVILLE";35986;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=12";"Family Child Care Homes";;;;;;"DeKalb"
"IMOGENE WILLIAMS";"(256)659-4054";430;"Licensed";"IMOGENE WILLIAMS - Director";"05:30 AM - 05:30 PM";"N/A - N/A";"6 WKS Through 13 YRS";"N/A";"1869 COUNTY ROAD 400";"1869 COUNTY ROAD 400";"FYFFE";"AL";35971;"IMOGENE WILLIAMS";"AL";"FYFFE";35971;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=430";"Family Child Care Homes";1;"Daytime Hours: 05:30 AM - 05:30 PM";;;;"DeKalb"
"RONDA HARPER";"(256)996-4144";594;"Licensed";"RONDA HARPER - Director";"05:00 AM - 04:30 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"811 DOGTOWN RD SE";"811 DOGTOWN RD SE";"FORT PAYNE";"AL";35967;"RONDA KAY HARPER";"AL";"FORT PAYNE";35967;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=594";"Family Child Care Homes";;;;;;"DeKalb"
"TERRI'S DAY CARE";"(256)638-8697";463;"Licensed";"TERRI WILBORN - Director";"07:00 AM - 04:00 PM";"N/A - N/A";"5 WKS Through 10 YRS";"N/A";"96 HORIZON STREET";"96 HORIZON STREET";"SYLVANIA";"AL";35988;"TERRI WILBORN";"AL";"SYLVANIA";35988;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=463";"Family Child Care Homes";;;;;;"DeKalb"
"TONY CHAPMAN";"(256)605-7306";124;"Licensed";"TONY CHAPMAN - Director";"05:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 6 YRS";"N/A";"881 BARRON DRIVE";"881 BARRON DRIVE";"FYFFE";"AL";35971;"TONY CHAPMAN";"AL";"FYFFE";35971;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=124";"Family Child Care Homes";;;;;;"DeKalb"
"JEANESE ROGERS";"(256)638-6561";486;"Licensed";"JEANESE ROGERS - Director";"05:30 AM - 07:00 PM";"N/A - N/A";"6 WKS Through 13 YRS";"N/A";"413 COUNTY ROAD 210";"413 COUNTY ROAD 210";"SYLVANIA";"AL";35988;"JEANESE ROGERS";"AL";"SYLVANIA";35988;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=486";"Group Child Care Homes";1;"Daytime Hours: 05:30 AM - 07:00 PM";;;;"DeKalb"
"ADVENTURE KIDS PRESCHOOL & NURSERY";"(334)290-8100";1706;"Licensed";"JESSE THOMAS - Director";"06:00 AM - 07:00 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"5850 MAIN STREET";"5850 MAIN STREET";"MILLBROOK";"AL";36054;"JESSE THOMAS & SHENEQUA THOMAS";"AL";"MILLBROOK";36054;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1706";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 07:00 PM";;;;"Elmore"
"CALVARY BAPTIST CHURCH";"(334)567-4729";1957;"Exempt";"LEE ANN SCHULTE - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"504 W. OSCEOLA STREET";"504 W. OSCEOLA STREET";"WETUMPKA";"AL";36092;"CALVARY BAPTIST CHURCH";"AL";"WETUMPKA";36092;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1957";"Day Care Centers";;;;;;"Elmore"
"COBBLESTONE LEARNING CENTER";"(334)285-8517";54;"Licensed";"SHARON CLARK - Director";"06:30 AM - 05:45 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"66 PENSER BLVD";"66 PENSER BLVD";"MILLBROOK";"AL";36054;"COBBLESTONE LEARNING CENTER, L.L.C.";"AL";"MILLBROOK";36054;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=54";"Day Care Centers";1;"Daytime Hours: 06:30 AM - 05:45 PM";;;;"Elmore"
