"id";"name";"address";"city";"state";"zip";"county";"phone";"location website";"email";"details";"main url";"facebook page";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url";"monday hour";"tuesday hour";"wednesday hour";"thursday hour";"friday hours";"saturday hour";"sunday hour"
1173001;"MONTESSORI CHILDS WORLD owned by MY MONTESSORI SCHOOL LLC";"7001 OAK ST";"Omaha";"NE";68106;"DOUGLAS";"(402) 391-6969";;;;;;;;;;;;;;;;;;;;;;
1173002;"MONTESSORI INFANT HOUSE owned by MY MONTESSORI SCHOOL LLC";"12620 PACIFIC ST";"Omaha";"NE";68154;"DOUGLAS";"(402) 330-9694";;;;;;;;;;;;;;;;;;;;;;
1173003;"MONTESSORI TODDLER VILLAGE owned by MY MONTESSORI SCHOOL LLC";"913 LEAWOOD DR";"Omaha";"NE";68154;"DOUGLAS";"(402) 333-5291";;;;;;;;;;;;;;;;;;;;;;
1173004;"MONTESSORI WEST MAPLE owned by MY MONTESSORI SCHOOL LLC";"18544 W MAPLE RD";"Elkhorn";"NE";68022;"DOUGLAS";"(402) 289-3287";;;;;;;;;;;;;;;;;;;;;;
1173005;"OSF - STANDING BEAR PRE K owned by OMAHA SCHOOLS FOUNDATION";"15860 TAYLOR ST";"Omaha";"NE";68116;"DOUGLAS";"(402) 827-4362";;;;;;;;;;;;;;;;;;;;;;
1173006;"PRIMROSE SCHOOL AT FALLING WATERS OWNED BY KATHRYN DESCIOSE";"6625 SOUTH 193rd AVE";"Omaha";"NE";68135;"DOUGLAS";"(402) 991-6161";;;;;;;;;;;;;;;;;;;;;;
1173007;"SM WEST CENTER INC";"2505 SOUTH 192nd AVE";"Omaha";"NE";68130;"DOUGLAS";"(402) 679-5389";;;;;;;;;;;;;;;;;;;;;;
1173008;"THROUGH THE YEARS CHILDCARE owned by JLTC ENTERPRISES LLC";"9855 1/2 W CENTER RD";"Omaha";"NE";68124;"DOUGLAS";"(402) 393-1812";;;;;;;;;;;;;;;;;;;;;;
1173040;"FOUR SEASONS NATURE PRESCHOOL owned by FOUR SEASONS NATURE PRESCHOOL";"3033 HUMMEL PARK RD";"Omaha";"NE";68112;"DOUGLAS";"(402) 670-6726";;;;;;;;;;;;;;;;;;;;;;
1173041;"KINDERGARTEN KOACH owned by KINDERGARTEN KOACH LLC";"14895 EAGLE ST";"Bennington";"NE";68007;"DOUGLAS";"(402) 625-0010";;;;;;;;;;;;;;;;;;;;;;
1173042;"BENNINGTON FOUNDATION MIDDLE SCHOOL PROGRAM owned by BENNINGTON PUBLIC";"11620 NORTH 156th ST";"Bennington";"NE";68007;"DOUGLAS";"(402) 238-3044";;;;;;;;;;;;;;;;;;;;;;
1173043;"EKC ARBORVIEW owned by ELKHORN KIDS CAMPUS";"5155 NORTH 208th ST";"Elkhorn";"NE";68022;"DOUGLAS";"(402) 709-3326";;;;;;;;;;;;;;;;;;;;;;
1173044;"KIDS CAN COMMUNITY CENTER - MILLER PARK owned by KIDS CAN COMMUNITY";"5625 NORTH 28th AVE";"Omaha";"NE";68111;"DOUGLAS";"(402) 457-5620";;;;;;;;;;;;;;;;;;;;;;
1173045;"KIDS CAN COMMUNITY CENTER - WAKONDA";"4845 CURTIS AVE";"Omaha";"NE";68104;"DOUGLAS";"(402) 457-6737";;;;;;;;;;;;;;;;;;;;;;
1173046;"OSF - JACKSON ELEMENTARY owned by OMAHA SCHOOLS FOUNDATION";"620 SOUTH 31st ST";"Omaha";"NE";68105;"DOUGLAS";"(402) 344-7484";;;;;;;;;;;;;;;;;;;;;;
1173047;"OSF - WESTERN BELLE owned by OMAHA SCHOOLS FOUNDATION";"5616 L ST";"Omaha";"NE";68117;"DOUGLAS";"(402) 554-1510";;;;;;;;;;;;;;;;;;;;;;
1173048;"CHRIST THE KING CATHOLIC SCHOOL CHILD CARE CENTER owned by CHRIST THE";"831 SOUTH 88th ST";"OMAHA";"NE";68114;"DOUGLAS";"(402) 391-0977";;;;;;;;;;;;;;;;;;;;;;
1173050;"SOWING SEEDS ACADEMY";"942 H STREET";"Geneva";"NE";68361;"FILLMORE";"(402) 759-3731";;;;;;;;;;;;;;;;;;;;;;
1173063;"KDL CHILD CARE";"3704 WEST 13TH STREET";"Grand Island";"NE";68803;"HALL";"(308) 381-5732";;;;;;;;;;;;;;;;;;;;;;
1173078;"KID ACADEMY-A FUN PLACE TO PLAY, LEARN, AND GROW TOGETHER";"920 JACKSON STREET, SUITE #1";"Saint Paul";"NE";68873;"HOWARD";"(308) 750-4588";;;;;;;;;;;;;;;;;;;;;;
1173080;"ST PATRICK'S BEFORE AND AFTER SCHOOL CARE PROGRAM";"4142 N 61ST STREET";"Lincoln";"NE";68507;"LANCASTER";"(402) 466-3710";;;;;;;;;;;;;;;;;;;;;;
1173081;"ADVENTURE ACADEMY SITE 4";"3258 SOUTH 13TH STREET";"Lincoln";"NE";68502;"LANCASTER";"(531) 289-1650";;;;;;;;;;;;;;;;;;;;;;
1173083;"COMMUNITY ACTION HEAD START CENTER - SITE #2";"2301 O STREET";"Lincoln";"NE";68510;"LANCASTER";"(402) 730-8054";;;;;;;;;;;;;;;;;;;;;;
1173084;"LINCOLN CHILDREN'S ACADEMY, INC.";"9300 HERITAGE LAKES DRIVE";"Lincoln";"NE";68526;"LANCASTER";"(402) 483-5511";;;;;;;;;;;;;;;;;;;;;;
1173085;"LITTLE SQUIRTS CHILDCARE CENTER, LLC";"17525 SW 25TH STREET";"Martell";"NE";68404;"LANCASTER";"(402) 794-4055";;;;;;;;;;;;;;;;;;;;;;
1173086;"MANDA'S PANDAS ART ACADEMY";"630 N COTNER, STE 200";"Lincoln";"NE";68505;"LANCASTER";"(402) 470-7329";;;;;;;;;;;;;;;;;;;;;;
1173107;"FALLBROOK YMCA SCHOOL-AGE-ONLY CENTER";"700 PENROSE DRIVE";"Lincoln";"NE";68521;"LANCASTER";"(402) 323-6433";;;;;;;;;;;;;;;;;;;;;;
1173108;"YMCA SCHOOL AGE ONLY @ WYSONG";"7901 BLANCHARD";"Lincoln";"NE";68516;"LANCASTER";"(402) 323-6408";;;;;;;;;;;;;;;;;;;;;;
1173109;"INFINITY CHILDCARE";"1923 WEST A STREET";"North Platte";"NE";69101;"LINCOLN";"(308) 539-0850";;;;;;;;;;;;;;;;;;;;;;
1173111;"AMEN 4 KIDS";"201 EAST PROSPECT";"Norfolk";"NE";68701;"MADISON";"(402) 379-6777";;;;;;;;;;;;;;;;;;;;;;
1173130;"SACRED HEART DAYCARE AND LEARNING CENTER";"701 EAST 18TH STREET";"Falls City";"NE";68355;"RICHARDSON";"(402) 245-3385";;;;;;;;;;;;;;;;;;;;;;
1173133;"BRIGHT FUTURES CHILD CARE";"1125 EAST HIGHWAY 33";"Crete";"NE";68333;"SALINE";"(402) 381-8225";;;;;;;;;;;;;;;;;;;;;;
1173134;"LITTLE PEANUTS, LLC";"1115 BOSWELL AVENUE";"Crete";"NE";68333;"SALINE";"(402) 826-3335";;;;;;;;;;;;;;;;;;;;;;
1173136;"CORNERSTONE CHRISTIAN SCHOOL COUGAR CARE owned by CORNERSTONE";"1001 FORT CROOK RD N, STE 200";"Bellevue";"NE";68005;"SARPY";"(402) 292-1030";;;;;;;;;;;;;;;;;;;;;;
1173139;"PRE-K & PLAY ACADEMY owned by EARLY LEARNING BRIGHT BEGINNINGS LLC";"206 E LINCOLN ST";"Papillion";"NE";68046;"SARPY";"(402) 452-3890";;;;;;;;;;;;;;;;;;;;;;
1173140;"SAFARI CHILDCARE owned by PETTUS INCORPORATION";"12717 SOUTH 28th AVE, STE D";"Bellevue";"NE";68123;"SARPY";"(402) 905-6296";;;;;;;;;;;;;;;;;;;;;;
1173141;"SHADOW LAKE CHILD CARE owned by SHAPIRO HOLDINGS INC";"1103 APPLEWOOD DR";"Papillion";"NE";68046;"SARPY";"(402) 592-8071";;;;;;;;;;;;;;;;;;;;;;
1173155;"SPF KIDSCARE owned by SPRINGFIELD PLATTEVIEW FOUNDATION";"765 MAIN ST";"Springfield";"NE";68059;"SARPY";"(402) 657-8125";;;;;;;;;;;;;;;;;;;;;;
1173158;"BLESSED BEGINNINGS EARLY CHILDHOOD PROGRAM";"101 EAST 20TH STREET";"Scottsbluff";"NE";69361;"SCOTTS BLUFF";"(308) 633-2340";;;;;;;;;;;;;;;;;;;;;;
1173165;"THE COLT'S CORRRAL, LLC";"1301 CENTENNIAL AVENUE";"Utica";"NE";68456;"SEWARD";"(402) 405-2000";;;;;;;;;;;;;;;;;;;;;;
1173166;"EDUCATION EXPLORERS LEARNING CENTER INC";"355 NORTH 4th ST";"Arlington";"NE";68002;"WASHINGTON";"(402) 995-1752";;;;;;;;;;;;;;;;;;;;;;
1173167;"YMCA FRIENDS CLUB AT ARLINGTON owned by YOUNG MENS CHRISTIAN";"705 NORTH 9TH STREET";"Arlington";"NE";68002;"WASHINGTON";"(402) 721-6952";;;;;;;;;;;;;;;;;;;;;;
1173205;"EARLY LEARNING FOR EVERYONE";"2836 KIMBERLIE COURT";"ANCHORAGE";"AK";99508;"ANCHORAGE";"(907) 349-4222";;;;;;;;;;;;;;;;;;;;;;
1173203;"CREATIVE MINDS PRESCHOOL";"10901 MAUSEL STREET STE 105";"EAGLE RIVER";"AK";99577;"ANCHORAGE";"(907) 441-0875";;;;;;;;;;;;;;;;;;;;;;
1173206;"FAITH DAYCARE AND LEARNING CENTER";"4240 WISCONSIN STREET";"ANCHORAGE";"AK";99517;"ANCHORAGE";"(907) 248-6355";;;;;;;;;;;;;;;;;;;;;;
1173209;"FIRE LAKE PRESCHOOL, INC.";"10301 E. EAGLE RIVER LOOP RD";"EAGLE RIVER";"AK";99577;"ANCHORAGE";"(907) 694-8911";;;;;;;;;;;;;;;;;;;;;;
1173212;"GEHRING NURSERY SCHOOL";"4341 WINDFALL AVENUE";"JUNEAU";"AK";99801;"JUNEAU";"(907) 523-0866";;;;;;;;;;;;;;;;;;;;;;
1173224;"KIDS' CORPS, INC. - RIDGELINE TERRACE";"185 RIDGELINE LOOP";"ANCHORAGE";"AK";99501;"ANCHORAGE";"(907) 272-0133";;;;;;;;;;;;;;;;;;;;;;
1173226;"LITTLE FEET CHILD CARE FACILITY 2";"9105 MENDENHALL ROAD #328-330";"JUNEAU";"AK";99803;"JUNEAU";"(907) 586-3007";;;;;;;;;;;;;;;;;;;;;;
1173223;"JUNEAU COMMUNITY PRESCHOOL";"400 WEST 11TH STREET,RM 6, 2";"JUNEAU";"AK";99801;"JUNEAU";"(907) 586-2656";;;;;;;;;;;;;;;;;;;;;;
1173235;"NOME PRESCHOOL ASSOCIATION, INC";"911 E. 5TH";"NOME";"AK";99762;;"(907) 443-2943";;;;;;;;;;;;;;;;;;;;;;
1173234;"NIKKI'S LITTLE ANGELS CDC NORTH POLE";"297 W 5TH AVE";"NORTH POLE";"AK";99705;"FAIRBANKS NORTH STAR";"(907) 750-1250";;;;;;;;;;;;;;;;;;;;;;
1173232;"NIKAITCHUAT ILISAGVIAT";"600 5TH AVENUE";"KOTZEBUE";"AK";99752;;"(907) 442-4160";;;;;;;;;;;;;;;;;;;;;;
1173245;"STEPPING STONES CHILDCARE AND LEARNING C";"310 EGAN DRIVE UNIT 101 & 102";"VALDEZ";"AK";99686;"VALDEZ CORDOVA";"(907) 835-5160";;"mbaker.steppingstones@gmail.com";;;;;;;;;;;;;;;;;;;;
1173242;"SKAGWAY RECREATION CENTER SUMMER DAY CAM";"455 13TH AVENUE";"SKAGWAY";"AK";99840;;"(907) 983-2679";;;;;;;;;;;;;;;;;;;;;;
1173240;"RAW JOY SCHOOL AGE PROGRAM";"1890 MARIKA ROAD";"FAIRBANKS";"AK";99709;"FAIRBANKS NORTH STAR";"(907) 452-2621";;;;;;;;;;;;;;;;;;;;;;
1173251;"THE STUDY";"220 MARCUS STREET";"SOLDOTNA";"AK";99669;"KENAI PENINSULA";"(907) 262-6227";;;;;;;;;;;;;;;;;;;;;;
1173254;"UIVIILAT PLAY AND LEARN CENTER";"606 E. I ST.";"NOME";"AK";99762;;"(907) 443-9072";;;;;;;;;;;;;;;;;;;;;;
1173329;"LITTLE PRINCE & PRINCESS LEARNING & DAYCARE CTR";"26640 VANDYKE";"CENTERLINE";"MI";48015;"MACOMB";"(313)215-7812";;;;;;;;;;;;;;;;;;;;;;
1173328;"KINDERCARE EDUCATION-CHAMPIONS, LLC";"680 HARMON STREET";"BIRMINGHAM";"MI";48009;"OAKLAND";"(248)885-3981";;;;;;;;;;;;;;;;;;;;;;
1173335;"GREEN GARDEN CHILD DEVELOPMENT CENTER";"21135 JOHN R RD";"HAZEL PARK";"MI";48030;"OAKLAND";"(248)544-7336";;;;;;;;;;;;;;;;;;;;;;
1173342;"JELLY MOON LEARNING CENTER INFANTS & TODDLERS";"35660 HARPER AVENUE";"CLINTON";"MI";48035;"LENAWEE";"(586)231-0457";;;;;;;;;;;;;;;;;;;;;;
1173341;"HURON ACADEMY UPPER ELEMENTARY & MIDDLE SCHOOL";"36301 UTICA ROAD";"CLINTON TOWNSHIP";"MI";48035;"MACOMB";"(586)446-9171";;;;;;;;;;;;;;;;;;;;;;
1173337;"BUSSEY CENTER FOR EARLY CHILDHOOD EDUCATION";"24501 FREDRICK";"SOUTHFIELD";"MI";48033;"OAKLAND";"(248)746-8590";;;;;;;;;;;;;;;;;;;;;;
1173346;"MPS BEGINDERGARTEN- WASHINGTON";"905 16TH STREET";"MARYSVILLE";"MI";48040;"SAINT CLAIR";"(810)364-7101";;;;;;;;;;;;;;;;;;;;;;
1173345;"MPS BEGINDERGARTEN - GARDENS";"1076 6TH STREET";"MARYSVILLE";"MI";48040;"SAINT CLAIR";"(810)364-7141";;;;;;;;;;;;;;;;;;;;;;
1173344;"TWAIDE'S CHILDCARE & LEARNING CENTER";"23925 DENTON";"CLINTON TWP";"MI";48036;"MACOMB";"(586)213-5656";;;;;;;;;;;;;;;;;;;;;;
1173348;"THOMAS EDISON ELEMENTARY";"3559 POLLINA AVENUE";"FORT GRATIOT";"MI";48059;"SAINT CLAIR";"(810)984-3101";;;;;;;;;;;;;;;;;;;;;;
1173347;"PRECIOUS ANGELS AT PREVAIL";"353 CASS AVENUE";"MT. CLEMENS";"MI";48051;"MACOMB";"(586)489-9162";;;;;;;;;;;;;;;;;;;;;;
1173352;"AMANDA MOORE SACC";"209 DICKERSON";"ROMEO";"MI";48065;"MACOMB";"(586)281-1738";;;;;;;;;;;;;;;;;;;;;;
1173349;"ST. MARY/MCCORMICK ACADEMY 1";"1429 BALLENTINE STREET";"PORT HURON";"MI";48060;"SAINT CLAIR";"(810)982-7906";;;;;;;;;;;;;;;;;;;;;;
1173360;"BRIGHT STARS EDUCATIONAL CENTER";"17517 WEST 10 MILE ROAD";"SOUTHFIELD";"MI";48075;"OAKLAND";"(248)469-5028";;;;;;;;;;;;;;;;;;;;;;
1173359;"KIMBALL PRESCHOOL";"4800 LAPEER ROAD";"KIMBALL";"MI";48074;"Saint Clair";"(810)987-7210";;;;;;;;;;;;;;;;;;;;;;
1173358;"TEACHABLE MOMENTS ELC";"3933 12 MILE ROAD";"BERKLEY";"MI";48072;"OAKLAND";"(313)319-3202";;;;;;;;;;;;;;;;;;;;;;
1173356;"MADISON EARLY CHILDHOOD CENTER";"25601 COUZENS";"MADISON HEIGHTS";"MI";48071;"OAKLAND";"(248)399-7800";;;;;;;;;;;;;;;;;;;;;;
1173366;"THE DOROTHY MONTESSORI ACADEMY";"27467 GREENFIELD ROAD";"SOUTHFIELD";"MI";48076;"OAKLAND";"(248)291-4413";;;;;;;;;;;;;;;;;;;;;;
1173367;"KIDS IN MOTION LEARNING CENTER";"21505 HARPER AVENUE";"ST. CLAIR SHORES";"MI";48080;"MACOMB";"(586)217-5855";;;;;;;;;;;;;;;;;;;;;;
1173374;"LITTLE JUNGLE LEARNING CENTER";"17455 RUSSELL AVENUE";"ALLEN PARK";"MI";48101;"WAYNE";"(313)561-3220";;;;;;;;;;;;;;;;;;;;;;
1173376;"UNO DOS TRES SPANISH IMMERSION PRESCHOOL";"1500 SCIO CHURCH ROAD";"ANN ARBOR";"MI";48103;"WASHTENAW";"(734)972-4560";;;;;;;;;;;;;;;;;;;;;;
1173384;"BRIGHTON MONTESSORI";"5291 ETHEL";"BRIGHTON";"MI";48116;"LIVINGSTON";"(810)522-5222";;;;;;;;;;;;;;;;;;;;;;
1173385;"CHILDRENS PARADISE LEARNING CENTER";"3381 GREENFIELD RD";"DEARBORN";"MI";48120;"WAYNE";"(810)459-4886";;;;;;;;;;;;;;;;;;;;;;
1173387;"THORNE ELEMENTARY";"25251 ANNAPOLIS";"DEARBORN HEIGHTS";"MI";48125;"WAYNE";"(313)292-1600";;;;;;;;;;;;;;;;;;;;;;
1173388;"DEARBORN SCHOOLS OAKMAN SCHOOL GSRP";"7545 CHASE";"DEARBORN";"MI";48126;"WAYNE";"(313)827-6500";;;;;;;;;;;;;;;;;;;;;;
1173389;"WILLIAM FORD ELEMENTARY GSRP";"14749 ALBER";"DEARBORN";"MI";48126;"WAYNE";"(313)827-6152";;;;;;;;;;;;;;;;;;;;;;
1173390;"CHERRY HILL BAPTIST CHURCH";"1045 N GULLEY ROAD";"DEARBORN HEIGHTS";"MI";48127;"WAYNE";"(313)278-8427";;;;;;;;;;;;;;;;;;;;;;
1173393;"DUNDEE CHILD CARE CENTER AND PRESCHOOL";"645 FRANKLIN ST.";"DUNDEE";"MI";48131;"MONROE";"(734)529-5068";;;;;;;;;;;;;;;;;;;;;;
1173394;"KIDZ CAFE CHILDCARE";"24641 GIBRALTAR ROAD";"FLAT ROCK";"MI";48134;"WAYNE";"(734)984-6110";;;;;;;;;;;;;;;;;;;;;;
1173395;"DALY ELEMENTARY SCHOOL";"25824 MICHIGAN AVE";"INKSTER";"MI";48141;"WAYNE";"(313)565-0468";;;;;;;;;;;;;;;;;;;;;;
1173396;"TWINKLE TOES CHILDCARE CENTER";"29305 CHERRY HILL RD.";"INKSTER";"MI";48141;"WAYNE";"(734)728-5720";;;;;;;;;;;;;;;;;;;;;;
1173397;"FOREVER YOUNG CHILDCARE ACADEMY";"9001 MIDDLEBELT RD.";"LIVONIA";"MI";48150;"WAYNE";"(734)425-3446";;;;;;;;;;;;;;;;;;;;;;
1173399;"THE BASILICA OF SAINT MARY MONTESSORI ACADEMY";"18100 MERRIMAN ROAD";"LIVONIA";"MI";48152;"WAYNE";"(734)743-5601";;;;;;;;;;;;;;;;;;;;;;
1173401;"YMCA @ BRANCH LINE SCHOOL";"16360 HUBBARD STREET";"LIVONIA";"MI";48154;"WAYNE";"()-";;;;;;;;;;;;;;;;;;;;;;
1173402;"MCCC HEAD START";"1555 S. RAISINVILLE RD";"MONROE";"MI";48161;"MONROE";"(734)384-4208";;;;;;;;;;;;;;;;;;;;;;
1173403;"ARBORWOOD EARLY LEARNING CENTER";"1135 RIVERVIEW AVE";"MONROE";"MI";48162;"MONROE";"(734)265-4500";;;;;;;;;;;;;;;;;;;;;;
1173405;"ST. MARY SCHOOL";"151 N. MONROE ST.";"MONROE";"MI";48162;"MONROE";"(734)241-3377";;;;;;;;;;;;;;;;;;;;;;
1173407;"LITTLE TREE HUGGERS CHILD CARE";"38620 9 MILE";"FARMINGTON HILLS";"MI";48167;"Oakland";"(734)658-9788";;;;;;;;;;;;;;;;;;;;;;
1173409;"PLYMOUTH CANTON HEAD START";"11100 N HAGGERTY ROAD";"PLYMOUTH";"MI";48170;"WAYNE";"(734)354-5196";;;;;;;;;;;;;;;;;;;;;;
1173416;"WALKER WINTER ELEMENTARY";"39932 MICHIGAN AVENUE";"CANTON";"MI";48188;"WAYNE";"(734)419-2780";;;;;;;;;;;;;;;;;;;;;;
1173418;"ST. CYPRIAN PARISH";"13249 PENNSYLVANIA RD.";"RIVERVIEW";"MI";48193;"Wayne";"(734)675-8280";;;;;;;;;;;;;;;;;;;;;;
1173422;"LITTLE ANGELS PRESCHOOL & DAYCARE";"SUITE 250 850 S. HEWITT";"YPSILANTI";"MI";48197;"WASHTENAW";"(734)998-0233";;;;;;;;;;;;;;;;;;;;;;
1173423;"WEST MIDDLE SCHOOL";"105 N. MANSFIELD ST";"YPSILANTI";"MI";48197;"WASHTENAW";"(734)487-0372";;;;;;;;;;;;;;;;;;;;;;
1173424;"YPSILANTI INTERNATIONAL ELEMENTARY SCHOOL";"503 OAK STREET";"YPSILANTI";"MI";48197;"WASHTENAW";"(734)661-8058";;;;;;;;;;;;;;;;;;;;;;
1173425;"A CHILD'S WORLD LEARNING CENTER";"SUITE 1 1828 E MICHIGAN AVE";"YPSILANTI";"MI";48198;"WASHTENAW";"(734)340-2248";;;;;;;;;;;;;;;;;;;;;;
1173427;"EDEN BILINGUAL CHILDCARE";"5569 CARPENTER ROAD";"YPSILANTI";"MI";48198;"WASHTENAW";"(734)299-1635";;;;;;;;;;;;;;;;;;;;;;
1173430;"YPSILANTI INTERNATIONAL PRESCHOOL";"503 OAK STREET";"YPSILANTI";"MI";48198;"WASHTENAW";"(734)221-2400";;;;;;;;;;;;;;;;;;;;;;
1173431;"RENAISSANCE HEAD START/ST CECILIA";"6840 BURLINGAME";"DETROIT";"MI";48204;"WAYNE";"()-";;;;;;;;;;;;;;;;;;;;;;
1173433;"SALVATION ARMY";"3737 HUMBOLDT";"DETROIT";"MI";48208;"WAYNE";"(313)596-4766";;;;;;;;;;;;;;;;;;;;;;
1173434;"KINGDOM KARE LEARNING CENTER EAST";"5715 HOLCOMB";"DETROIT";"MI";48213;"WAYNE";"(313)423-6087";;;;;;;;;;;;;;;;;;;;;;
1173435;"MATRIX HEAD START TIMBUKTU";"10800 E CANFIELD";"DETROIT";"MI";48214;"WAYNE";"(313)962-5255";;;;;;;;;;;;;;;;;;;;;;
1173436;"MATRIX HEAD START-EAST LAKE";"1021 CLAIRPOINTE";"DETROIT";"MI";48215;"WAYNE";"(313)962-5255";;;;;;;;;;;;;;;;;;;;;;
1173437;"ST. ANNE'S";"1000 ST. ANNE'S";"DETROIT";"MI";48216;"WAYNE";"(313)515-8550";;;;;;;;;;;;;;;;;;;;;;
1173439;"LITTLE SCHOLARS CHRIST THE KING";"16800 TRINITY";"DETROIT";"MI";48219;"WAYNE";"(313)272-2514";;;;;;;;;;;;;;;;;;;;;;
1173440;"FIRST STEP CHILDREN AND FAMILY CENTER";"8238 W MCNICHOLS";"DETROIT";"MI";48221;"WAYNE";"(313)915-3335";;;;;;;;;;;;;;;;;;;;;;
1173443;"DEVINE CHILD CHRISTIAN LEARNING CENTER";"19260 GRANDRIVER AVE.";"DETROIT";"MI";48223;"WAYNE";"(313)675-5854";;;;;;;;;;;;;;;;;;;;;;
1173444;"RONALD BROWN ACADEMY";"11530 E. OUTER DRIVE";"DETROIT";"MI";48224;"WAYNE";"(313)886-2611";;;;;;;;;;;;;;;;;;;;;;
1173445;"CHANDLER PARK ACADEMY ELEMENTARY SCHOOL";"20200 KELLY ROAD";"HARPER WOODS";"MI";48225;"WAYNE";"(313)884-8830";;;;;;;;;;;;;;;;;;;;;;
1173446;"NDIVIDUAL ME EARLY LEARNING ACADEMY";"20261 KELLY RD";"DETROIT";"MI";48225;"WAYNE";"(586)335-1697";;;;;;;;;;;;;;;;;;;;;;
1173448;"VICTORIOUS KIDS II LATCHKEY";"7781 ASBURY PARK";"DETROIT";"MI";48228;"WAYNE";"(810)937-6001";;;;;;;;;;;;;;;;;;;;;;
1173453;"CREATIVE ACADEMICS LEARNING CENTER";"13144 W SEVEN MILE ROAD";"DETROIT";"MI";48235;"WAYNE";"(313)855-6262";;"creativeacademicslc@gmail.com";;;;;;;;;;;;;;;;;;;;
1173455;"EINSTEIN ELEMENTARY SCHOOL";"14001 NORTHEND";"OAK PARK";"MI";48237;"OAKLAND";"(248)336-7640";;;;;;;;;;;;;;;;;;;;;;
1173457;"JOY PREPARATORY ACADEMY-DEXTER";"15055 DEXTER AVENUE";"DETROIT";"MI";48238;"WAYNE";"(313)340-0023";;;;;;;;;;;;;;;;;;;;;;
1173458;"MY CHILD LEARNING CENTER";"14490 LIVERNOIS";"DETROIT";"MI";48238;"WAYNE";"(313)989-6663";;;;;;;;;;;;;;;;;;;;;;
1173459;"CARING HANDS CHILDCARE AND PRESCHOOL";"23726 JOY RD";"REDFORD";"MI";48239;"WAYNE";"(248)662-7371";;;;;;;;;;;;;;;;;;;;;;
1173462;"KIDZ PALACE LEARNING CENTER II";"26550 GRAND RIVER";"REDFORD";"MI";48240;"WAYNE";"(248)252-3780";;;;;;;;;;;;;;;;;;;;;;
1173464;"CHIQUITOS BILINGUAL MONTESSORI";"45900 NORTHPOINTE BLVD.";"UTICA";"MI";48315;"MACOMB";"(586)997-3008";;;;;;;;;;;;;;;;;;;;;;
1173469;"NOTRE DAME MARIST ACADEMY - LOWER DIVISION";"1425 GIDDINGS ROAD";"PONTIAC";"MI";48340;"OAKLAND";"(248)373-2573";;;;;;;;;;;;;;;;;;;;;;
1173472;"WALT WHITMAN ELEMENTARY SCHOOL";"125 WEST MONTCALM STREET";"PONTIAC";"MI";48342;"OAKLAND";"(248)451-6835";;;;;;;;;;;;;;;;;;;;;;
1173475;"ST. JOSEPH CATHOLIC SCHOOL-CHRIST THE REDEEMER";"2700 WALDON ROAD";"LAKE ORION";"MI";48360;"OAKLAND";"(248)391-1621";;;;;;;;;;;;;;;;;;;;;;
1173476;"EARLY CHILDHOOD EDUCATIONAL CENTER";"25745 TAFT ROAD";"NOVI";"MI";48374;"OAKLAND";"(248)675-3431";;;;;;;;;;;;;;;;;;;;;;
1173479;"MILFORD MONTESSORI SCHOOL";"2700 E. COMMERCE RD.";"MILFORD TWP";"MI";48381;"OAKLAND";"(248)685-7600";;;;;;;;;;;;;;;;;;;;;;
1173481;"PREMIERE PRESCHOOL - WELCH";"1445 WELCH ROAD";"COMMERCE TWP";"MI";48390;"OAKLAND";"(248)669-0230";;;;;;;;;;;;;;;;;;;;;;
1173488;"NORTH HURON EARLY CHILDHOOD CENTER-GSRP";"21 MAIN STREET";"KINDE";"MI";48445;"HURON";"(989)874-4101";;;;;;;;;;;;;;;;;;;;;;
1173495;"NORTH BRANCH ECC";"4055 ELM CREEK ROAD";"NORTH BRANCH";"MI";48461;"LAPEER";"(810)688-4202";;;;;;;;;;;;;;;;;;;;;;
1173497;"SANDUSKY ECC";"138 MAPLE VALLEY STREET";"SANDUSKY";"MI";48471;"SANILAC";"(810)648-2775";;;;;;;;;;;;;;;;;;;;;;
1173498;"SWARTZ CREEK HEAD START- DEICK ELEMENTARY";"2239 VAN VLEET ROAD";"SWARTZ CREEK";"MI";48473;"GENESEE";"(810)591-5297";;;;;;;;;;;;;;;;;;;;;;
1173500;"DOYLE RYDER HEAD START";"1040 N SAGINAW STREET";"FLINT";"MI";48503;"GENESEE";"(810)760-5266";;;;;;;;;;;;;;;;;;;;;;
1173502;"PIERCE ELEM HEAD START";"1101 W VERNON AVE";"FLINT";"MI";48503;"GENESEE";"(810)760-1386";;;;;;;;;;;;;;;;;;;;;;
1173504;"EAGLE'S NEST LEARNING CENTER";"6103 EAGLE RIDGE LANE";"FLINT";"MI";48505;"GENESEE";"(810)787-3900";;;;;;;;;;;;;;;;;;;;;;
1173507;"CARMAN PARK SCHOOL";"3375 VAN CAMPEN DRIVE";"FLINT";"MI";48507;"GENESEE";"()-";;;;;;;;;;;;;;;;;;;;;;
1173508;"SUNNY PATCH LEARNING CENTER-BRISTOL";"1306 W BRISTOL ROAD";"FLINT";"MI";48507;"GENESEE";"(810)347-1331";;;;;;;;;;;;;;;;;;;;;;
