"Provider Name";"Address";"City";"State";"Zip";"Telephone";"License Type";"License Number";"E-Mail";"Web Site";"Progamm Type";"Enrolled in Subsidized Child Care Program";"County";"ID";"DetailsURL"
"MISS DEE'S DAY CARE HOME";"1375 REYNOLDS FOREST DRIVE";"WINSTON-SALEM";"NC";27107;"(336) 999-8028";"Five Star Family CC Home License";34000495;"deborahwashington3@yahoo.com";"Not Available";"Family Child Care Home";"Yes";"Forsyth";34000495;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34000495"
"OAK FOREST AFTER SCHOOL PROGRAM";"11461 OLD US HIGHWAY 52";"WINSTON-SALEM";"NC";27107;"(336) 764-2991";"GS 110-106";29000642;"ben.roop@oakforestumcnc.org";"www.oakforestumcnc.org";"Child Care Center";"Yes";"Forsyth";29000642;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=29000642"
"PAT'S LITTLE ANGELS HOME CARE";"1203 REYNOLDS FOREST DR";"WINSTON-SALEM";"NC";27107;"(336) 784-8831";"Three Star Family CC Home License";34000792;"patriciajessup30@gmail.com";"Not Available";"Family Child Care Home";"Yes";"Forsyth";34000792;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34000792"
"PEQUENAS AVENTURAS";"815 UTAH DRIVE";"WINSTON-SALEM";"NC";27107;"(336) 442-5200";"Four Star Family CC Home License";34000690;"contrerasleonor2011@hotmail.com";"paolamoreno3@hotmail.com";"Family Child Care Home";"Yes";"Forsyth";34000690;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34000690"
"PRECIOUS LUV ONE'S CHILD CARE HOME";"117 SCOTLAND RIDGE DR";"WINSTON-SALEM";"NC";27107;"(336) 782-3439";"Three Star Family CC Home License";34001242;"preciousluv80@gmail.com";"Not Available";"Family Child Care Home";"Yes";"Forsyth";34001242;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34001242"
"QUIVER FULL CHILD CARE HOME";"1117 WAUGHTOWN ST";"WINSTON-SALEM";"NC";27107;"(336) 893-9081";"Four Star Family CC Home License";34001230;"quiverf@gmail.com";"Not Available";"Family Child Care Home";"Yes";"Forsyth";34001230;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34001230"
"SMITH FARM ELEMENTARY SCHOOL PRE-KINDERGARTEN";"4250 JOHNNY KNOLL LANE";"WINSTON-SALEM";"NC";27107;"(336) 703-4188";"Five Star Center License";34001252;"tcfuller@wsfcs.k12.nc.us";"Not Available";"Child Care Center";"No";"Forsyth";34001252;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34001252"
"SON SHINE DAY CARE, INC.";"307 E ELLER DR";"WINSTON-SALEM";"NC";27107;"(336) 764-8534";"Four Star Center License";29000135;"mayorofmidway@aol.com";"Not Available";"Child Care Center";"Yes";"Forsyth";29000135;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=29000135"
"SWEET DREAMS DAY CARE";"2500 REYNOLDS PARK ROAD";"WINSTON-SALEM";"NC";27107;"(336) 995-7499";"Three Star Family CC Home License";34000676;"imarijoy2008@yahoo.com";"Not Available";"Family Child Care Home";"Yes";"Forsyth";34000676;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34000676"
"TINY FEET CHRISTIAN DAY CARE";"125 TALL PINES COURT";"WINSTON-SALEM";"NC";27107;"(336) 575-0277";"Three Star Family CC Home License";34000579;"gaylyoung@aol.com";"Not Available";"Family Child Care Home";"Yes";"Forsyth";34000579;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34000579"
"VERNON FOREST BAPTIST CHURCH TRAINING CENTER";"294 MT VERNON CHURCH ROAD";"WINSTON-SALEM";"NC";27107;"(336) 769-2076";"GS 110-106";2959001;"vftrainingcenter@gmail.com";"Not Available";"Child Care Center";"No";"Forsyth";2959001;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=2959001"
"WALLBURG ACADEMY";"5444 GUMTREE RD";"WINSTON-SALEM";"NC";27107;"(336) 293-6961";"Five Star Center License";29000718;"chelseycosper@wallburgacademy,com";"Not Available";"Child Care Center";"Yes";"Forsyth";29000718;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=29000718"
"WAUGHTOWN KIDS R US CHILD CARE CENTER";"1330 WAUGHTOWN STREET";"WINSTON-SALEM";"NC";27107;"(336) 785-1020";"Five Star Center License";34000239;"adwherry@aol.com";"Not Available";"Child Care Center";"Yes";"Forsyth";34000239;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34000239"
"ACWLC III, INC";"1290 HARTMAN PLAZA DRIVE";"WINSTON-SALEM";"NC";27127;"(336) 764-0670";"Five Star Center License";34000868;"brandi@achildsworldnc.com";"Not Available";"Child Care Center";"Yes";"Forsyth";34000868;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34000868"
"CHILDTIME CHILDREN'S CENTER";"1021 WEST CLEMMONSVILLE ROAD";"WINSTON-SALEM";"NC";27127;"(336) 784-8697";"Five Star Center License";34000455;"2005@childtime.com";"Not Available";"Child Care Center";"Yes";"Forsyth";34000455;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34000455"
"CUDDLING CUTIES";"429 EAST DEVONSHIRE STREET";"WINSTON-SALEM";"NC";27127;"(336) 721-3074";"Five Star Family CC Home License";34001024;"cuddlingcuties@gmail.com";"Not Available";"Family Child Care Home";"Yes";"Forsyth";34001024;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34001024"
"FIRST STEP PRESCHOOL";"1305 PLEASANT FORK CHURCH ROAD";"WINSTON-SALEM";"NC";27127;"(336) 788-4567";"Five Star Center License";34000920;"MAHOME3@AOL.com";"Not Available";"Child Care Center";"Yes";"Forsyth";34000920;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34000920"
"FRIEDBERG ELEMENTARY PRESCHOOL";"1131 FRIEDBERG CHURCH ROAD";"WINSTON-SALEM";"NC";27127;"(336) 764-2059";"Five Star Center License";29000736;"mmiles@davidson.k12.nc.us";"Not Available";"Child Care Center";"No";"Forsyth";29000736;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=29000736"
"GULLICK'S LEARNING ROOM";"2332 WAVERLY DELL DR";"WINSTON-SALEM";"NC";27127;"(336) 391-1495";"Five Star Family CC Home License";34001316;"msgullick08@yahoo.com";"Not Available";"Family Child Care Home";"No";"Forsyth";34001316;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34001316"
"JAMES A COLEMAN LEARNING DAY CARE";"1654 BRIDGTON ROAD";"WINSTON-SALEM";"NC";27127;"(336) 602-2749";"Four Star Family CC Home License";34001250;"jamesacolemanlearningcenter@yahoo.com";"Not Available";"Family Child Care Home";"Yes";"Forsyth";34001250;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34001250"
"KELLY'S DAY CARE";"1800 BREWER ROAD";"WINSTON-SALEM";"NC";27127;"(336) 408-1905";"Five Star Family CC Home License";34000263;"kelly.widener@yahoo.com";"Not Available";"Family Child Care Home";"Yes";"Forsyth";34000263;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34000263"
"KID'S KNOWLEDGE CLUB";"1901 DENISE LANE";"WINSTON-SALEM";"NC";27127;"(919) 971-3523";"Four Star Family CC Home License";34001275;"kidsknowledgeclub@gmail.com";"Not Available";"Family Child Care Home";"Yes";"Forsyth";34001275;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34001275"
"KIMMEL FARM ELEMENTARY SCHOOL PRE-KINDERGARTEN";"4672 EBERT STREET";"WINSTON-SALEM";"NC";27127;"(336) 703-6760";"Five Star Center License";34001241;"lfolinger@wsfcs.k12.nc.us";"Not Available";"Child Care Center";"No";"Forsyth";34001241;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34001241"
"LITTLE GIFTS LEARNING ACADEMY";"1064 TREBLE COURT";"WINSTON-SALEM";"NC";27127;"(336) 784-8020";"Four Star Family CC Home License";34001039;"phoineceg@hotmail.com";"Not Available";"Family Child Care Home";"Yes";"Forsyth";34001039;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34001039"
"M & M'S SAFE HAVEN";"624 PITTS STREET";"WINSTON-SALEM";"NC";27127;"(336) 986-2596";"Four Star Family CC Home License";34001335;"moniquafb@gmail.com";"Not Available";"Family Child Care Home";"No";"Forsyth";34001335;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34001335"
"MARVIN M. WARD ELEMENTARY PRE K PROGRAM";"3775 FRATERNITY CHURCH ROAD";"WINSTON-SALEM";"NC";27127;"(338) 703-4235";"Five Star Center License";34000875;"lmmclain@wsfcs.k12.nc.us";"Not Available";"Child Care Center";"No";"Forsyth";34000875;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34000875"
"MOTHERLY LOVE DAY CARE AND LEARNING CENTER";"308 BARBER STREET";"WINSTON-SALEM";"NC";27127;"(336) 283-1776";"Five Star Family CC Home License";34001147;"gwendolyn2534@bellsouth.net";"Not Available";"Family Child Care Home";"Yes";"Forsyth";34001147;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34001147"
"PLAYLAND DAY CARE CENTER";"420 DAVID SMITH ROAD";"WINSTON-SALEM";"NC";27127;"(336) 764-1462";"Three Star Center License";2955053;"tstsmith@aol.com";"Not Available";"Child Care Center";"Yes";"Forsyth";2955053;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=2955053"
"R-U HAPPY CHILD CARE";"608 LIBERIA STREET";"WINSTON-SALEM";"NC";27127;"(336) 722-1129";"Four Star Family CC Home License";34000863;"ejones8198@triad.rr.com";"Not Available";"Family Child Care Home";"Yes";"Forsyth";34000863;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34000863"
"SANDRA'S FAMILY CHILD CARE";"1603 PARAGON DR";"WINSTON-SALEM";"NC";27127;"(508) 863-1095";"Three Star Family CC Home License";34001319;"spellot25@gmail.com";"Not Available";"Family Child Care Home";"No";"Forsyth";34001319;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34001319"
"TLC THE LEARNING ACADEMY, INC.";"2832 SOUTH MAIN ST";"WINSTON-SALEM";"NC";27127;"(336) 650-9652";"Five Star Center License";34000362;"tlcacademy1@bellsouth.net";"Not Available";"Child Care Center";"Yes";"Forsyth";34000362;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34000362"
"BEACON CHILD DEVELOPMENT CENTER";"616 ALBERMARLE ROAD";"ASHEBORO";"NC";27203;"(336) 628-0640";"Temporary License";76000507;"hsojazs@gmail.com";"Not Available";"Child Care Center";"Yes";"Randolph";76000507;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=76000507"
"BUILDING BLOCKS CHRISTIAN ACADEMY";"1410-M NORTH FAYETTEVILLE ST";"ASHEBORO";"NC";27203;"(336) 683-5206";"Four Star Center License";76000416;"buildingblocks4tinytots@yahoo.com";"Not Available";"Child Care Center";"Yes";"Randolph";76000416;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=76000416"
"CONNIE H. REDDING HEAD START";"118 VIRGINIA AVE";"ASHEBORO";"NC";27203;"(336) 672-5570";"Five Star Center License";76000141;"Dtimmons@regionalcs.org";"Not Available";"Child Care Center";"Yes";"Randolph";76000141;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=76000141"
"CREATIVE KIDS PRESCHOOL AND CHILDCARE CENTER";"1016 S COX ST";"ASHEBORO";"NC";27203;"(336) 736-4861";"Three Star Center License";76000481;"hgrant2005@yahoo.com";"Not Available";"Child Care Center";"No";"Randolph";76000481;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=76000481"
"EARLY CHILDHOOD DEVELOPMENT CENTER";"1738 N FAYETTEVILLE STREET";"ASHEBORO";"NC";27203;"(336) 672-6636";"Five Star Center License";76000222;"hwhite@asheboro.k12.nc.us";"Not Available";"Child Care Center";"No";"Randolph";76000222;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=76000222"
"EARLY CHILDHOOD DEVELOPMENT CENTER #2";"1738 N FAYETTEVILLE ST";"ASHEBORO";"NC";27203;"(336) 672-6636";"Five Star Center License";76000235;"hwhite@asheboro.k12.nc.us";"Not Available";"Child Care Center";"Yes";"Randolph";76000235;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=76000235"
"FAYETTEVILLE STREET BAPTIST CHURCH DAY CARE";"901 NORTH FAYETTEVILLE STREET";"ASHEBORO";"NC";27203;"(336) 625-6409";"GS 110-106";7659004;"smaness@fscspatriots.org";"Not Available";"Child Care Center";"No";"Randolph";7659004;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=7659004"
"HARMONY PLACE";"312 WEST WARD STREET";"ASHEBORO";"NC";27203;"(336) 633-1888";"Probationary License";76000496;"harmonyplacechildren@gmail.com";"Not Available";"Child Care Center";"Yes";"Randolph";76000496;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=76000496"
"NEIGHBORS GROVE CHILD DEVELOPMENT CENTER";"1928 N FAYETTEVILLE STREET";"ASHEBORO";"NC";27203;"(336) 672-3232";"GS 110-106";76000010;"tamicdc@centurylink.net";"Not Available";"Child Care Center";"Yes";"Randolph";76000010;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=76000010"
"NORTH ASHEBORO HEAD START";"1822 N FAYETTEVILLE STREET UNIT D";"ASHEBORO";"NC";27203;"(336) 736-8895";"Five Star Center License";76000501;"dtimmons@regionalcs.org";"Not Available";"Child Care Center";"No";"Randolph";76000501;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=76000501"
"PRECIOUS MEMORIES PRESCHOOL";"309 E SALISBURY STREET";"ASHEBORO";"NC";27203;"(336) 629-5449";"Five Star Center License";76000002;"dawngreene0724@gmail.com";"Not Available";"Child Care Center";"Yes";"Randolph";76000002;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=76000002"
"SHEKINAH GLORY CHILDCARE CENTER";"632 ALLRED STREET";"ASHEBORO";"NC";27203;"(336) 629-3304";"Four Star Family CC Home License";76000299;"fonvillesk@yahoo.com";"Not Available";"Family Child Care Home";"Yes";"Randolph";76000299;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=76000299"
"TEDDY BEAR CHILD CARE CENTER";"1552 NORTH FAYETTEVILLE STREET";"ASHEBORO";"NC";27203;"(336) 672-6777";"Five Star Center License";76000136;"tbccc1@hotmail.com";"Not Available";"Child Care Center";"Yes";"Randolph";76000136;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=76000136"
"THE CHILDREN'S CENTER OF ASHEBORO #1";"1267 EAST SALISBURY STREET";"ASHEBORO";"NC";27203;"(336) 626-2901";"Five Star Center License";7655094;"thechildrenscenter@yahoo.com";"Not Available";"Child Care Center";"Yes";"Randolph";7655094;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=7655094"
"THE CHILDREN'S CENTER OF ASHEBORO, LLC #2";"1267 E SALISBURY STREET";"ASHEBORO";"NC";27203;"(336) 626-2901";"Five Star Center License";7655095;"thechildrenscenter@yahoo.com";"Not Available";"Child Care Center";"Yes";"Randolph";7655095;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=7655095"
"THE GROWING PLACE";"133 N CHURCH STREET";"ASHEBORO";"NC";27203;"(336) 626-5888";"Five Star Center License";7659008;"kdavis@fbcasheboro.com";"www.fcasheboro.com/tgp";"Child Care Center";"Yes";"Randolph";7659008;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=7659008"
"THE KIDS OF HOPE LLC";"203 ENGLISH ST";"ASHEBORO";"NC";27203;"(336) 963-9440";"Five Star Center License";76000469;"thekidsofhope@hotmail.com";"Not Available";"Child Care Center";"Yes";"Randolph";76000469;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=76000469"
"TOTALLY AWESOME KIDS PRESCHOOL LLC";"314 NORTH COX STREET";"ASHEBORO";"NC";27203;"(336) 953-8325";"One Star Center License";76000500;"fscslawson@yahoo.com";"Not Available";"Child Care Center";"No";"Randolph";76000500;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=76000500"
"A CHILD'S JOURNEY";"1801 SOUTH FAYETTEVILL STREET";"ASHEBORO";"NC";27205;"(336) 736-8720";"GS 110-106";76000505;"kathryn@journeyasheboro.com";"Not Available";"Child Care Center";"No";"Randolph";76000505;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=76000505"
"FIRST STEPS EARLY LEARNING CENTER";"2511 SOUTH FAYETTEVILLE STREET";"ASHEBORO";"NC";27205;"(336) 629-7837";"Five Star Center License";76000268;"firststepselc@embarqmail.com";"www.firststepselc.com";"Child Care Center";"Yes";"Randolph";76000268;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=76000268"
"FLOWER'S DAYCARE";"3087 INDIAN SPRINGS ROAD";"ASHEBORO";"NC";27205;"(336) 953-6864";"Four Star Family CC Home License";76000483;"talondaflowersdaycare@gmail.com";"Not Available";"Family Child Care Home";"Yes";"Randolph";76000483;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=76000483"
"GILES DAY CARE";"710 GRACELAND DRIVE";"ASHEBORO";"NC";27205;"(336) 963-1266";"Three Star Family CC Home License";76000430;"agiles404@gmail.com";"Not Available";"Family Child Care Home";"Yes";"Randolph";76000430;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=76000430"
"NOAH'S ARK PLAYSCHOOL";"2012 OLD FARMER RD";"ASHEBORO";"NC";27205;;"Three Star Center License";76000467;"noahsarkplayschool@outlook.com";"Not Available";"Child Care Center";"Yes";"Randolph";76000467;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=76000467"
"SHEPHERD'S WAY DAY SCHOOL";"1346 OLD COX ROAD";"ASHEBORO";"NC";27205;"(336) 626-0888";"Five Star Center License";76000278;"amandalynnswds@outlook.com";"Not Available";"Child Care Center";"Yes";"Randolph";76000278;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=76000278"
"SOUTHMONT SMART START";"2497 SOUTHMONT DRIVE";"ASHEBORO";"NC";27205;"(336) 625-1558";"Five Star Center License";76000288;"c1howard@randolph.k12.nc.us";"Not Available";"Child Care Center";"No";"Randolph";76000288;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=76000288"
"TABERNACLE ELEMENTARY SCHOOL PRE-K";"4901 TABERNACLE SCHOOL RD";"ASHEBORO";"NC";27205;"(336) 629-3533";"Five Star Center License";76000393;"lconnor@randolph.k12.nc.us";"Not Available";"Child Care Center";"No";"Randolph";76000393;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=76000393"
"TROGDON'S DAY CARE";"329 NEWBERN AVENUE";"ASHEBORO";"NC";27205;"(336) 629-3578";"Three Star Center License";76000350;"trogdondaycare@triad.rr.com";"Not Available";"Child Care Center";"Yes";"Randolph";76000350;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=76000350"
"CREATIVE CARE CHILD CARE";"8831 US HWY 421";"BEAR CREEK";"NC";27207;"(919) 548-5919";"One Star Family CC Home License";19000231;"felisasipe101@gmail.com";"Not Available";"Family Child Care Home";"No";"Chatham";19000231;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=19000231"
"LISA'S MUNCHKINLAND";"127 JOHN ROUTH DRIVE";"BEAR CREEK";"NC";27207;"(919) 548-6233";"One Star Family CC Home License";19000243;"ljaacox@yahoo.com";"Not Available";"Family Child Care Home";"No";"Chatham";19000243;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=19000243"
"BENNETT PRESCHOOL";"61 RANDOLPH ST";"BENNETT";"NC";27208;"(336) 581-3586";"Five Star Center License";19000192;"ceking@chatham.k12.nc.us";"Not Available";"Child Care Center";"Yes";"Chatham";19000192;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=19000192"
"DIANNE R PARKER";"945 HYW 22 24";"BENNETT";"NC";27208;"(336) 581-3230";"One Star Family CC Home License";19000258;"kpdp243@gmail.com";"Not Available";"Family Child Care Home";"No";"Chatham";19000258;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=19000258"
"FAITH CHRISTIAN PRESCHOOL-BENNETT";"8454 HOWARD MILL RD";"RAMSEUR";"NC";27208;"(336) 824-4156";"GS 110-106";76000502;"meganc@faithramseur.org";"Not Available";"Child Care Center";"No";"Chatham";76000502;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=76000502"
"GREEN RIDGE ELEMENTARY PRE-K";"129 MCCASKILL ROAD";"BISCOE";"NC";27209;"(910) 428-4196";"Five Star Center License";62000069;"carla.miller@montgomery.K12.nc.us";"Not Available";"Child Care Center";"No";"Montgomery";62000069;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=62000069"
"KOUNTRY KIDS LEARNING CENTER";"304 BROOKS STREET";"BISCOE";"NC";27209;"(910) 975-2910";"Three Star Center License";62000061;"sassyleigh75@gmail.com";"Not Available";"Child Care Center";"Yes";"Montgomery";62000061;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=62000061"
"HUGS AND KISSES";"5730 HIDDEN LAKE DRIVE";"BROWNS SUMMIT";"NC";27214;"(336) 988-8450";"Three Star Family CC Home License";41001859;"cassandrarankin60@yahoo.com";"Not Available";"Family Child Care Home";"Yes";"Guilford";41001859;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=41001859"
"MCNAIR ELEMENTARY ACES PROGRAM";"4603 YANCEYVILLE ROAD";"BROWNS SUMMIT";"NC";27214;"(336) 691-5451";"Three Star Center License";41002062;"uhlenbj@gcsnc.com";"Not Available";"Child Care Center";"Yes";"Guilford";41002062;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=41002062"
"MCNAIR ELEMENTARY SCHOOL";"4603 YANCEYVILLE ROAD";"BROWNS SUMMIT";"NC";27214;"(336) 691-5460";"Five Star Center License";41002326;"johnsota@gcsnc.com";"Not Available";"Child Care Center";"No";"Guilford";41002326;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=41002326"
"MONTICELLO- BROWN SUMMIT ACES PROGRAM";"5006 NC 150 WEST";"BROWNS SUMMIT";"NC";27214;"(336) 656-7647";"Four Star Center License";41001139;"richark@gcsnc.com";"5006 NC 150 West";"Child Care Center";"Yes";"Guilford";41001139;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=41001139"
"MONTICELLO-BROWN SUMMIT ELEMENTARY NC PRE-K PROGRA";"5006 NC 150 W";"BROWNS SUMMIT";"NC";27214;"(336) 656-4010";"Five Star Center License";41002132;"willias11@gcsnc.com";"Not Available";"Child Care Center";"No";"Guilford";41002132;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=41002132"
"PETTRESS TINY FEET CHILD CARE";"7313 A FRIENDSHIP CHURCH ROAD";"BROWNS SUMMIT";"NC";27214;"(336) 362-4174";"Three Star Family CC Home License";41001871;"stacypettress@yahoo.com";"Not Available";"Family Child Care Home";"Yes";"Guilford";41001871;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=41001871"
"ARMC FAMILY ENRICHMENT CENTER";"981 KIRKPATRICK RD";"BURLINGTON";"NC";27215;"(336) 586-9767";"Five Star Center License";1000324;"armc@brighthorizons.com";"Not Available";"Child Care Center";"Yes";"Alamance";1000324;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=01000324"
"BEVERLY'S HOME DAY CARE";"1336 ST MARKS CHURCH RD";"BURLINGTON";"NC";27215;"(336) 260-6666";"Four Star Family CC Home License";1000570;"beverlyrwhite36@gmail.com";"Not Available";"Family Child Care Home";"Yes";"Alamance";1000570;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=01000570"
"BRIDGING OCEANS INTERNATIONAL DAYCARE";"302 TRAIL FOUR";"BURLINGTON";"NC";27215;"(336) 229-0704";"Three Star Center License";1000629;"bridgingoceans@outlook.com";"Not Available";"Child Care Center";"Yes";"Alamance";1000629;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=01000629"
"CHILD DEVELOPMENT CENTER FIRST PRESBYTERIAN CHURCH";"508 W DAVIS STREET";"BURLINGTON";"NC";27215;"(336) 226-7055";"Five Star Center License";153874;"fprescdc@fpcburlington.org";"Not Available";"Child Care Center";"Yes";"Alamance";153874;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=0153874"
"CHILDREN'S HOUSE MONTESSORI";"3750 ALAMANCE ROAD";"BURLINGTON";"NC";27215;"(336) 228-0908";"Three Star Center License";1000044;"info@chmsburlington.org";"www.chmsburlington.org";"Child Care Center";"Yes";"Alamance";1000044;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=01000044"
"CRUMP VILLAGE EDUCATION AND RESOURCE CENTER";"1211 CHANDLER COURT";"BURLINGTON";"NC";27215;"(336) 437-1660";"One Star Center License";1000640;"ablue@burlingtonha.org";"Not Available";"Child Care Center";"No";"Alamance";1000640;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=01000640"
"FIRST BAPTIST CHILD DEVELOPMENT CENTER";"400 SOUTH BROAD ST";"BURLINGTON";"NC";27215;"(336) 228-6692";"Four Star Center License";155041;"tinylittleones@yahoo.com";"Not Available";"Child Care Center";"Yes";"Alamance";155041;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=0155041"
"GROVE PARK ELEMENTARY PRE-K";"141 TRAIL ONE";"BURLINGTON";"NC";27215;"(336) 570-6115";"Five Star Center License";1000433;"julia_jakielski@abss.k12.nc.us";"Not Available";"Child Care Center";"No";"Alamance";1000433;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=01000433"
"HARVEY NEWLIN ELEMENTARY PRE-K";"316 CARDEN STREET";"BURLINGTON";"NC";27215;"(336) 570-6125";"Five Star Center License";1000432;"lawrence_conte@abss.k12.nc.us";"Not Available";"Child Care Center";"No";"Alamance";1000432;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=01000432"
"HEAD START JUNCTION";"421 ALAMANCE RD";"BURLINGTON";"NC";27215;"(336) 436-0202";"Five Star Center License";1000362;"phoran@regionalcs.org";"Not Available";"Child Care Center";"Yes";"Alamance";1000362;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=01000362"
