ID;Title;Notice;Type;License_ID;Contact_Name;Street_Address;City;State;Zip;Lat;Lon;Phone;Url;Ages_Served;Monday_Hours;Tuesday_Hours;Wednesday_Hours;Thursday_Hours;Friday_Hours;Saturday_Hours;Sunday_Hours;Regulation;Total_Capacity;Licensed_Capacity;In_Operation;Total_Openings;Openings_As_Of;Staff_Languages_Offered;Environment;Meals;Program_Elements/Offerings;Provider_Primary_Language;Policies;Schedule;Year_Schedule;Extended_Hour_Care;Behavior_Related;Special_Needs;Special_Skills;Transportation;DHS_Subsidy;Spark_Rating
1527618;Matthew's Munchkins;Accepting Children During COV19 Reopen;Licensed Home;RF013741;Teri;;Grants Pass;OR;97526;;;(541) 479-8789;;0 Years 1 Months - 9 Years 12 Months;6:00am - 6:00pm;6:00am - 6:00pm;6:00am - 6:00pm;6:00am - 6:00pm;6:00am - 6:00pm;;;Registered Family Child Care;10;10;22 Years and 4 Months;0;4/2/2020;;Covered Outdoor Play, Outdoor Play Structure, Completely Fenced Yard, Outdoor Play Area;USDA Food Program, Special Meal Requests Accommodated, Provides Breakfast, Snacks Provided, Breastfeeding Supported, Provides Lunch;Scheduled Activities, Organized Outdoor Activities, Preschool Curriculum, Homework Assistance;;Have Backup (substitute), Charges a Late Fee, Have References, Written Contract, Liability Insurance, Pay When Child Is In Care Or Not, Needs Payment In Advance, Written Policies;Full-time, Part-time, Before School, Open Holidays, After School;Full Year;;Autism, ADD/ADHD, Challenging Behavior Supervision/Supports;Diapering/Toileting Assistance, Vision Impaired, Diabetes, Communication Supports, Asthma, Hearing Impaired, Socialization Supports, Medication Monitoring;Inclusion training, Behavioral issues training, Medical support training;Near school bus;NOT willing to accept DHS;
1530385;Mini miracles Childcare LLC;Accepting Children During COV19 Reopen;Licensed Home;RF535408;Janelle;;Grants Pass;OR;97526;;;(541) 787-0273;;0 Years 2 Months - 12 Years 0 Months;7:00am - 5:30pm;7:00am - 5:30pm;7:00am - 5:30pm;7:00am - 5:30pm;7:00am - 5:30pm;;;Registered Family Child Care;10;10;1 Years and 0 Months;2;5/18/2020;;;USDA Food Program, Provides Breakfast, Snacks Provided, Provides Lunch;;;Charges a Late Fee, Have References, Written Contract, Pay When Child Is In Care Or Not, Needs Payment In Advance, Written Policies;Full-time, Temp/Emergency, Drop-in, Before School, After School;Full Year;;No Experience/Willing To Learn;Diapering/Toileting Assistance, Communication Supports;Medical support training;Walking distance to school, Near school bus;Willing to accept DHS, DHS listed;
1529341;Miss Cassidey's Daycare;Accepting Children During COV19 Reopen;Licensed Home;CF503389;Cassidey;;Grants Pass;OR;97526;;;(541) 659-5052;;0 Years 1 Months - 5 Years 12 Months;7:30am - 5:30pm;7:30am - 5:30pm;7:30am - 5:30pm;7:30am - 5:30pm;7:30am - 5:30pm;;;Certified Family Child Care;12;12;2 Years and 5 Months;2;5/6/2020;;Outdoor Play Structure, No Cats, Completely Fenced Yard, Outdoor Play Area;Breastfeeding Supported, Parent Must Bring Meal;Additional Lessons, Field Trips, Scheduled Activities, Organized Outdoor Activities, Homework Assistance;;Charges a Late Fee, Have References, Written Contract, Liability Insurance, Pay When Child Is In Care Or Not, Needs Payment In Advance, Written Policies;Full-time, Temp/Emergency, Part-time, Drop-in, Before School, Rotating, Open Holidays, After School;Full Year;Flexible am, Flexible pm;Autism, ADD/ADHD;Diapering/Toileting Assistance, Nursing Care, Wheelchair Access, Vision Impaired, Diabetes, Mobility Assistance, Physical Therapy, Accessible Bathroom, Asthma, Socialization Supports, Medication Monitoring, Specialized Equipment;Domestic violence/abuse training, Medical support training;Near school bus;Willing to accept DHS, DHS listed;
1527047;Miss Heather's Preschool, Daycare & After Sc;Accepting Children During COV19 Reopen;License Center;CC502106;;1720 Redwood Avenue;Grants Pass;OR;97526;42.4228292;-123.3621581;(541) 479-0240;;0 Years 1 Months - 11 Years 12 Months;7:00am - 6:00pm;7:00am - 6:00pm;7:00am - 6:00pm;7:00am - 6:00pm;7:00am - 6:00pm;;;Licensed Child Care Center;38;38;13 Years and 10 Months;2;5/6/2020;;Outdoor Play Structure, No Cats, Completely Fenced Yard, Outdoor Play Area;Parent Must Bring Meal;Field Trips, Scheduled Activities, Homework Assistance;;Have Backup (substitute), Charges a Late Fee, Written Contract, Liability Insurance, Pay When Child Is In Care Or Not, Written Policies;Full-time, Temp/Emergency, Part-time, Before School, Open Holidays, After School;Full Year;;Autism, ADD/ADHD, No Experience/Willing To Learn, Challenging Behavior Supervision/Supports;Diapering/Toileting Assistance, Wheelchair Access, Vision Impaired, Diabetes, Communication Supports, Mobility Assistance, Accessible Bathroom, Asthma, Hearing Impaired, Socialization Supports, Medication Monitoring;Behavioral issues training;Near public transportation;Willing to accept DHS, DHS listed;
1527186;Ms. Shelley's Preschool and Early Learning C;Accepting Children During COV19 Reopen;License Center;CC501763;;791 NW Windsor Drive;Grants Pass;OR;97526;42.4643274;-123.3329283;(541) 474-9652;;0 Years 2 Months - 10 Years 6 Months;7:30am - 5:30pm;7:30am - 5:30pm;7:30am - 5:30pm;7:30am - 5:30pm;7:30am - 5:30pm;;;Licensed Child Care Center;63;63;13 Years and 10 Months;0;9/30/2020;;No Dogs, No Pets At All, No Cats, Completely Fenced Yard, Outdoor Play Area;Breastfeeding Supported, Parent Must Bring Meal;Scheduled Activities, Organized Outdoor Activities;;Charges a Late Fee, Have References, Written Contract, Liability Insurance, Pay When Child Is In Care Or Not, Needs Payment In Advance, Written Policies;Full-time, Temp/Emergency, Before School, After School;Full Year;;No Experience/Willing To Learn;Wheelchair Access;Inclusion training, Domestic violence/abuse training, Behavioral issues training, Medical support training, Diversity training;Near public transportation, Walking distance to school, Near school bus;Willing to accept DHS, DHS listed;
1525467;Southern Oregon Head Start - Redwood Center;Accepting Children During COV19 Reopen;License Center;CC052522;;3345 1/2 Redwood Highway;Grants Pass;OR;97527;42.4102598;-123.3928625;(541) 734-5150;http://www.socfc.org;3 Years 0 Months - 4 Years 12 Months;8:00am - 4:30pm;8:00am - 4:30pm;8:00am - 4:30pm;8:00am - 4:30pm;;;;Licensed Child Care Center;57;57;18 Years and 3 Months;15;11/12/2020;;No Dogs, No Pets At All, Outdoor Play Structure, No Cats, Completely Fenced Yard, Outdoor Play Area;USDA Food Program, Special Meal Requests Accommodated, Provides Breakfast, Snacks Provided, Provides Lunch;Scheduled Activities, Preschool Curriculum;;Have Backup (substitute), Liability Insurance, Written Policies;Temp/Emergency, Part-time;School Year Only;;Autism, ADD/ADHD, No Experience/Willing To Learn, Challenging Behavior Supervision/Supports;Diapering/Toileting Assistance, Wheelchair Access, Vision Impaired, Diabetes, Communication Supports, Mobility Assistance, Asthma, Hearing Impaired, Socialization Supports, Specialized Equipment;Inclusion training, Domestic violence/abuse training, Behavioral issues training, Diversity training;;;5 Star Program
1526268;Southern Oregon Head Start - Rogue River Center;Accepting Children During COV19 Reopen;License Center;CC502788;;8298 Rogue River Highway;Grants Pass;OR;97527;42.4273371;-123.1850294;(541) 734-5150;http://www.socfc.org;3 Years 0 Months - 4 Years 12 Months;8:00am - 2:00pm;8:00am - 2:00pm;8:00am - 2:00pm;8:00am - 2:00pm;;;;Licensed Child Care Center;20;20;18 Years and 3 Months;1;10/21/2020;;No Dogs, No Pets At All, Outdoor Play Structure, No Cats, Completely Fenced Yard, Outdoor Play Area;USDA Food Program, Special Meal Requests Accommodated, Provides Breakfast, Snacks Provided, Provides Lunch;Field Trips, Scheduled Activities, Preschool Curriculum;;Have Backup (substitute), Liability Insurance, Written Policies;Temp/Emergency, Part-time;School Year Only;;Autism, ADD/ADHD, No Experience/Willing To Learn, Challenging Behavior Supervision/Supports;Diapering/Toileting Assistance, Wheelchair Access, Vision Impaired, Diabetes, Communication Supports, Mobility Assistance, Asthma, Hearing Impaired, Socialization Supports, Specialized Equipment;Domestic violence/abuse training;;;5 Star Program
1525579;Little Friends Christian Preschool;Accepting Children During COV19 Reopen;Licensed Home;RF520848;Jill;;Grants Pass;OR;97527;;;(541) 862-7143;;3 Years 0 Months - 5 Years 12 Months;8:30am - 2:00pm;8:30am - 2:00pm;8:30am - 2:00pm;8:30am - 2:00pm;;;;Registered Family Child Care;10;10;11 Years and 4 Months;0;9/30/2020;;Pets Separate From Children, Outdoor Play Structure, Outdoor Play Area;Snacks Provided, Parent Must Bring Meal;Field Trips, Scheduled Activities, Organized Outdoor Activities, Preschool Curriculum;;Have Backup (substitute), Have References, Written Contract, Must Be Potty Trained, Liability Insurance, Pay When Child Is In Care Or Not, Needs Payment In Advance, Written Policies;Temp/Emergency, Part-time;School Year Only;Flexible am, Flexible pm;Autism, ADD/ADHD, Challenging Behavior Supervision/Supports;Communication Supports, Asthma, Socialization Supports;Inclusion training, Domestic violence/abuse training, Behavioral issues training, Medical support training, Diversity training;Near school bus;NOT willing to accept DHS;4 Star Program
1528455;Oralia Elias;Accepting Children During COV19 Reopen;Licensed Home;RF533573;Oralia Elias;;Grants Pass;OR;97527;;;(541) 292-3289;;0 Years 1 Months - 11 Years 12 Months;7:00am - 4:00pm;7:00am - 4:00pm;7:00am - 4:00pm;7:00am - 4:00pm;7:00am - 4:00pm;;;Registered Family Child Care;10;10;4 Years and 10 Months;3;9/16/2020;Spanish;Pets Separate From Children, Outdoor Play Structure, No Cats, Completely Fenced Yard, Outdoor Play Area;Provides Dinner, Snacks Provided, Breastfeeding Supported;Scheduled Activities, Organized Outdoor Activities, Homework Assistance;Spanish;Written Contract, Written Policies;Full-time, Temp/Emergency, Drop-in, Before School, After School;Full Year;Occasional early morning, Occasional evening, Flexible am, Flexible pm;No Experience/Willing To Learn;;;Near school bus;Willing to accept DHS, DHS listed;3 Star Program
1525078;Seeds of Greatness;Accepting Children During COV19 Reopen;Licensed Home;CF501456;Mary;;Grants Pass;OR;97527;;;(541) 441-1586;http://www.seedsofgreatnessdc.com;1 Years 0 Months - 4 Years 12 Months;7:00am - 5:30pm;7:00am - 5:30pm;7:00am - 5:30pm;7:00am - 5:30pm;7:00am - 5:30pm;;;Certified Family Child Care;16;16;10 Years and 4 Months;0;9/30/2020;;Pets Separate From Children, Outdoor Play Structure, No Cats, Completely Fenced Yard, Outdoor Play Area;USDA Food Program, Provides Breakfast, Snacks Provided, Breastfeeding Supported, Provides Lunch;Scheduled Activities, Organized Outdoor Activities, Preschool Curriculum;;Charges a Late Fee, Written Contract, Pay When Child Is In Care Or Not, Needs Payment In Advance, Written Policies;Full-time, Temp/Emergency, Part-time, Drop-in, Before School, After School;Full Year;;Autism, Challenging Behavior Supervision/Supports;Diapering/Toileting Assistance, Asthma;Inclusion training, Domestic violence/abuse training, Behavioral issues training, Medical support training, Diversity training;Near school bus;Willing to accept DHS, DHS listed;3 Star Program
1526658;Cherished Footsteps Preschool & Daycare;Accepting Children During COV19 Reopen;License Center;CC501599;;1832 Dowell Road;Grants Pass;OR;97527;42.4172766;-123.3685223;(541) 479-0468;http://www.cherishedfootsteps.com;2 Years 0 Months - 7 Years 12 Months;7:45am - 5:30pm;7:45am - 5:30pm;7:45am - 5:30pm;7:45am - 5:30pm;7:45am - 5:30pm;;;Licensed Child Care Center;36;36;13 Years and 1 Months;0;5/26/2020;;No Dogs, Covered Outdoor Play, No Pets At All, Outdoor Play Structure, No Cats, Completely Fenced Yard, Outdoor Play Area;Parent Must Bring Meal;Additional Lessons, Scheduled Activities, Organized Outdoor Activities, Preschool Curriculum, Homework Assistance;;Have Backup (substitute), Charges a Late Fee, Have References, Written Contract, Must Be Potty Trained, Pay When Child Is In Care Or Not, Needs Payment In Advance, Written Policies;Full-time, Temp/Emergency, Part-time, Before School, Open Holidays, After School;Full Year;;No Experience/Willing To Learn;Diapering/Toileting Assistance;Inclusion training, Behavioral issues training;;Willing to accept DHS, DHS listed;C2Q
1527261;Jenn's Childcare;Accepting Children During COV19 Reopen;Licensed Home;RF523965;Jennifer;;Grants Pass;OR;97527;;;(541) 291-3888;;1 Years 0 Months - 7 Years 12 Months;5:30am - 6:30pm;5:30am - 6:30pm;5:30am - 6:30pm;5:30am - 6:30pm;5:30am - 6:30pm;;;Registered Family Child Care;10;10;7 Years and 3 Months;0;9/30/2020;;Covered Outdoor Play, Outdoor Play Structure, No Cats, Completely Fenced Yard, Outdoor Play Area;USDA Food Program, Provides Dinner, Special Meal Requests Accommodated, Provides Breakfast, Snacks Provided, Breastfeeding Supported, Provides Lunch;Field Trips, Scheduled Activities, Organized Outdoor Activities, Preschool Curriculum, Homework Assistance;;Charges a Late Fee, Have References, Written Contract, Must Be Potty Trained, Liability Insurance, Pay When Child Is In Care Or Not, Written Policies;Full-time, Temp/Emergency, Part-time, Drop-in, Before School, After School;Full Year;Occasional overnight, Occasional early morning, Occasional evening, Flexible am, Flexible pm;Autism, ADD/ADHD, Challenging Behavior Supervision/Supports;Diapering/Toileting Assistance, Nursing Care, Communication Supports, Asthma, Socialization Supports, Medication Monitoring, Specialized Equipment;Inclusion training, Domestic violence/abuse training, Behavioral issues training, Medical support training, Diversity training;Walking distance to school, Near school bus;Willing to accept DHS, DHS listed;C2Q
1525341;Shelly's Daycare;Accepting Children During COV19 Reopen;Licensed Home;RF033845;Shelly;;Grants Pass;OR;97527;;;(541) 761-9584;;1 Years 0 Months - 5 Years 12 Months;7:00am - 5:30pm;7:00am - 5:30pm;7:00am - 5:30pm;7:00am - 5:30pm;7:00am - 5:30pm;;;Registered Family Child Care;10;10;23 Years and 3 Months;0;9/15/2020;;Pets Separate From Children, Outdoor Play Structure, No Cats, Completely Fenced Yard, Outdoor Play Area;USDA Food Program, Special Meal Requests Accommodated, Provides Breakfast, Snacks Provided, Provides Lunch;Field Trips, Scheduled Activities, Organized Outdoor Activities, Preschool Curriculum;;Have Backup (substitute), Charges a Late Fee, Have References, Written Contract, Liability Insurance, Pay When Child Is In Care Or Not, Written Policies;Full-time, Temp/Emergency;Full Year;;Autism, ADD/ADHD, No Experience/Willing To Learn, Challenging Behavior Supervision/Supports;Vision Impaired, Diabetes, Communication Supports, Mobility Assistance, Accessible Bathroom, Asthma, Hearing Impaired, Socialization Supports, Medication Monitoring;Inclusion training, Domestic violence/abuse training, Behavioral issues training;Near school bus;Willing to accept DHS;C2Q
1527578;A Place For Children;Accepting Children During COV19 Reopen;License Center;CC501456;;1701 Nebraska Avenue;Grants Pass;OR;97527;42.4208233;-123.3460242;(541) 476-2224;;0 Years 1 Months - 10 Years 12 Months;6:30am - 6:00pm;6:30am - 6:00pm;6:30am - 6:00pm;6:30am - 6:00pm;6:30am - 6:00pm;;;Licensed Child Care Center;138;138;13 Years and 8 Months;46;5/6/2020;;No Dogs, Covered Outdoor Play, No Pets At All, Outdoor Play Structure, No Cats, Completely Fenced Yard, Outdoor Play Area;Breastfeeding Supported, Parent Must Bring Meal;Scheduled Activities, Organized Outdoor Activities, Preschool Curriculum, Homework Assistance;;Have Backup (substitute), Have References, Written Contract, Liability Insurance, Written Policies;Full-time, Temp/Emergency, Part-time, Before School, Rotating, Open Holidays, After School;Full Year;Flexible am;No Experience/Willing To Learn;Asthma;Inclusion training, Domestic violence/abuse training, Behavioral issues training, Medical support training, Diversity training;Near public transportation;NOT willing to accept DHS;
1529050;Bohemian Schoolhouse;Accepting Children During COV19 Reopen;Licensed Home;CF503144;Candice;;Grants Pass;OR;97527;;;(541) 951-5760;http://Candicehaberman11@yahoo.com;0 Years 1 Months - 12 Years 7 Months;7:30am - 5:30pm;7:30am - 5:30pm;7:30am - 5:30pm;7:30am - 5:30pm;7:30am - 5:30pm;;;Certified Family Child Care;16;16;3 Years and 3 Months;5;7/2/2020;;Outdoor Play Area;USDA Food Program, Provides Breakfast, Snacks Provided, Breastfeeding Supported, Provides Lunch;Scheduled Activities, Organized Outdoor Activities, Preschool Curriculum;;Have Backup (substitute), Charges a Late Fee, Have References, Written Contract, Pay When Child Is In Care Or Not, Needs Payment In Advance, Written Policies;Full-time, Temp/Emergency, Part-time, Before School, After School;Full Year;;No Experience/Willing To Learn;;Inclusion training, Domestic violence/abuse training, Behavioral issues training, Medical support training, Diversity training;;NOT willing to accept DHS;
1525771;Gardner's Little Blessings;Accepting Children During COV19 Reopen;Licensed Home;RF517228;Lori;;Grants Pass;OR;97527;;;(541) 474-6349;;0 Years 1 Months - 12 Years 12 Months;7:00am - 5:30pm;7:00am - 5:30pm;7:00am - 5:30pm;7:00am - 5:30pm;7:00am - 5:30pm;;;Registered Family Child Care;10;10;13 Years and 8 Months;0;9/16/2020;;Pets Separate From Children, Outdoor Play Structure, Outdoor Play Area;USDA Food Program, Provides Dinner, Provides Breakfast, Snacks Provided, Provides Lunch;Scheduled Activities, Organized Outdoor Activities, Preschool Curriculum;;Charges a Late Fee, Written Contract, Written Policies;Full-time, Temp/Emergency, Part-time, Before School, Open Holidays, After School;Full Year;Flexible am, Flexible pm;ADD/ADHD, No Experience/Willing To Learn, Challenging Behavior Supervision/Supports;;;Near school bus;Willing to accept DHS, DHS listed;
1531604;Grants Pass Family YMCA (Fairground Road);Accepting Children During COV19 Reopen;License Exempt Center;RA3192;;1451 Fairground Rd.;Grants Pass;OR;97527;42.4237029;-123.3433615;(541) 218-8044;;5 Years 0 Months - 11 Years 12 Months;7:30am - 6:00pm;7:30am - 6:00pm;7:30am - 6:00pm;7:30am - 6:00pm;7:30am - 6:00pm;;;Recorded Preschool Program;120;120;7 Months;13;9/16/2020;;Outdoor Play Structure, Completely Fenced Yard, Outdoor Play Area;USDA Food Program;Scheduled Activities, Organized Outdoor Activities;;Written Contract, Liability Insurance, Written Policies;Full-time, Temp/Emergency;Full Year;;No Experience/Willing To Learn, Challenging Behavior Supervision/Supports;;Inclusion training, Behavioral issues training, Diversity training;;Willing to accept DHS, DHS listed;
1529172;Imagine That Creative Children's Center - Hidden V;Accepting Children During COV19 Reopen;License Center;CC503307;;651 Murphy Creek Road;Grants Pass;OR;97527;42.3258465;-123.3372958;(541) 862-2124;;0 Years 1 Months - 3 Years 12 Months;7:30am - 3:30pm;7:30am - 3:30pm;7:30am - 3:30pm;7:30am - 3:30pm;7:30am - 3:30pm;;;Licensed Child Care Center;12;12;3 Years and 0 Months;0;9/30/2020;;No Dogs, Covered Outdoor Play, No Pets At All, Outdoor Play Structure, No Cats, Completely Fenced Yard, Outdoor Play Area;USDA Food Program, Special Meal Requests Accommodated, Provides Breakfast, Snacks Provided, Breastfeeding Supported, Provides Lunch;Scheduled Activities, Organized Outdoor Activities;;Have Backup (substitute), Charges a Late Fee, Have References, Written Contract, Liability Insurance, Pay When Child Is In Care Or Not, Needs Payment In Advance, Written Policies;Full-time, Temp/Emergency, Part-time;Full Year;;Autism, ADD/ADHD, Challenging Behavior Supervision/Supports;Diapering/Toileting Assistance, Wheelchair Access, Vision Impaired, Diabetes, Communication Supports, Mobility Assistance, Accessible Bathroom, Asthma, Hearing Impaired, Socialization Supports, Medication Monitoring;Inclusion training, Domestic violence/abuse training, Behavioral issues training, Diversity training;;Willing to accept DHS, DHS listed;
1526767;Kangaroo Court;Accepting Children During COV19 Reopen;Licensed Home;RF521383;Kathi;;Grants Pass;OR;97527;;;(541) 218-1221;;0 Years 6 Months - 5 Years 12 Months;7:30am - 5:00pm;7:30am - 5:00pm;7:30am - 5:00pm;7:30am - 5:00pm;7:30am - 5:00pm;;;Registered Family Child Care;10;10;10 Years and 6 Months;0;5/1/2020;;No Dogs, Covered Outdoor Play, No Pets At All, Outdoor Play Structure, No Cats, Completely Fenced Yard, Outdoor Play Area;Special Meal Requests Accommodated, Snacks Provided, Breastfeeding Supported, Provides Lunch;Scheduled Activities, Organized Outdoor Activities;;Have References, Written Contract, Pay When Child Is In Care Or Not, Needs Payment In Advance, Written Policies;Full-time, Temp/Emergency, Part-time, Rotating;Full Year;Occasional early morning, Occasional evening;ADD/ADHD, Challenging Behavior Supervision/Supports;Diapering/Toileting Assistance, Asthma, Socialization Supports;;Walking distance to school;NOT willing to accept DHS;
1529051;Lil Treasures Learning Center LLC;Accepting Children During COV19 Reopen;Licensed Home;RF524112;Krystal;;Grants Pass;OR;97527;;;(541) 441-7745;;2 Years 0 Months - 11 Years 0 Months;6:30am - 5:30pm;6:30am - 5:30pm;6:30am - 5:30pm;6:30am - 5:30pm;6:30am - 5:30pm;;;Registered Family Child Care;10;10;3 Years and 3 Months;3;9/16/2020;;Covered Outdoor Play, No Pets At All, Outdoor Play Structure, Completely Fenced Yard, Outdoor Play Area;USDA Food Program, Provides Breakfast, Snacks Provided, Breastfeeding Supported, Provides Lunch;Homework Assistance;;Charges a Late Fee, Written Contract, Liability Insurance, Pay When Child Is In Care Or Not, Written Policies;Full-time, Temp/Emergency, Part-time, Open Holidays;Full Year;Occasional early morning;Autism, ADD/ADHD, Challenging Behavior Supervision/Supports;Diapering/Toileting Assistance, Communication Supports, Accessible Bathroom, Socialization Supports, Medication Monitoring;;Near school bus;Willing to accept DHS, DHS listed;
1526056;Little People's Preschool & Daycare;Accepting Children During COV19 Reopen;License Center;CC002065;;433 E Park Street;Grants Pass;OR;97527;42.4274843;-123.3256304;(541) 479-7222;;2 Years 6 Months - 11 Years 12 Months;6:30am - 6:00pm;6:30am - 6:00pm;6:30am - 6:00pm;6:30am - 6:00pm;6:30am - 6:00pm;;;Licensed Child Care Center;37;37;28 Years and 3 Months;0;9/16/2020;;No Dogs, No Pets At All, Outdoor Play Structure, No Cats, Completely Fenced Yard, Outdoor Play Area;Snacks Provided, Parent Must Bring Meal;Field Trips, Scheduled Activities, Organized Outdoor Activities, Preschool Curriculum;;Have Backup (substitute), Charges a Late Fee, Have References, Written Contract, Must Be Potty Trained, Liability Insurance, Needs Payment In Advance, Written Policies;Full-time, Temp/Emergency, Part-time, Before School, Rotating, After School;Full Year;;;Diabetes, Communication Supports, Asthma, Socialization Supports, Medication Monitoring;Inclusion training, Domestic violence/abuse training, Behavioral issues training, Diversity training;Near public transportation, Near school bus;Willing to accept DHS, DHS listed;
1528479;Tammy Canas;Accepting Children During COV19 Reopen;Licensed Home;CF503437;Tammy Canas;;Grants Pass;OR;97527;;;(541) 761-4793;;1 Years 0 Months - 10 Years 12 Months;7:30am - 6:00pm;7:30am - 6:00pm;7:30am - 6:00pm;7:30am - 6:00pm;7:30am - 6:00pm;7:30am - 6:00pm;;Certified Family Child Care;10;10;4 Years and 9 Months;4;5/1/2020;;Completely Fenced Yard, Outdoor Play Area;Provides Dinner, Provides Breakfast, Snacks Provided, Provides Lunch;;;Written Contract, Written Policies;Full-time, Temp/Emergency, Part-time, Before School, After School;Full Year;Occasional overnight, Evening (after 6:30 pm), Occasional early morning, Overnight (Between 10pm and 3am), Occasional evening, Occasional weekend, Flexible am, Flexible pm;No Experience/Willing To Learn;;Inclusion training, Diversity training;Near school bus;Willing to accept DHS, DHS listed;
1528880;Tiny Footsteps Care & Learning Center;Accepting Children During COV19 Reopen;Licensed Home;CF503044;Rayna;;Grants Pass;OR;97527;;;(541) 441-2735;;0 Years 2 Months - 6 Years 12 Months;7:30am - 5:30pm;7:30am - 5:30pm;7:30am - 5:30pm;7:30am - 5:30pm;7:30am - 5:30pm;;;Certified Family Child Care;14;14;3 Years and 3 Months;10;4/28/2020;;Covered Outdoor Play, No Cats, Completely Fenced Yard, Outdoor Play Area;USDA Food Program, Special Meal Requests Accommodated, Provides Breakfast, Snacks Provided, Breastfeeding Supported, Provides Lunch;Field Trips, Scheduled Activities, Organized Outdoor Activities, Preschool Curriculum;;Have Backup (substitute), Charges a Late Fee, Have References, Written Contract, Liability Insurance, Pay When Child Is In Care Or Not, Needs Payment In Advance, Written Policies;Full-time, Temp/Emergency;Full Year;;No Experience/Willing To Learn, Challenging Behavior Supervision/Supports;Diapering/Toileting Assistance, Nursing Care, Communication Supports, Accessible Bathroom, Socialization Supports, Medication Monitoring;Diversity training;Near public transportation, Walking distance to school;Willing to accept DHS, DHS listed;
1525456;Wee Care Family Day Care;Accepting Children During COV19 Reopen;Licensed Home;CF000182;Norma;;Grants Pass;OR;97527;;;(541) 474-3565;http://www.weecarefamilydaycare.com;0 Years 1 Months - 12 Years 12 Months;5:00am - 5:30pm;5:00am - 5:30pm;5:00am - 5:30pm;5:00am - 5:30pm;5:00am - 5:30pm;;;Certified Family Child Care;14;14;28 Years and 7 Months;0;9/30/2020;;No Dogs, Covered Outdoor Play, No Pets At All, No Cats, Completely Fenced Yard, Outdoor Play Area;USDA Food Program, Provides Dinner, Special Meal Requests Accommodated, Provides Breakfast, Snacks Provided, Breastfeeding Supported, Provides Lunch;Scheduled Activities, Organized Outdoor Activities, Preschool Curriculum, Homework Assistance;;Have References, Written Contract, Liability Insurance, Pay When Child Is In Care Or Not, Written Policies;Full-time, Temp/Emergency, Part-time, Before School, Rotating, 24-Hour, Open Holidays, After School;Full Year;Occasional overnight, Early Morning (Between 3am and 5:59am), Occasional early morning, Occasional evening, Occasional weekend, Flexible am, Flexible pm;Autism, ADD/ADHD, Challenging Behavior Supervision/Supports;Diapering/Toileting Assistance, Communication Supports, Asthma, Socialization Supports;Domestic violence/abuse training, Behavioral issues training, Diversity training;Transports to/from Sports/Activities, Walking distance to school;Willing to accept DHS, DHS listed;
1525590;Klamath Falls YMCA - Fairview Site;Accepting Children During COV19 Reopen;License Center;CC000013;;1017 Donald Street;Klamath Falls;OR;97601;42.2333329;-121.7858402;(541) 887-2512;http://www.kfallsymca.org;0 Years 1 Months - 12 Years 12 Months;6:30am - 6:00pm;6:30am - 6:00pm;6:30am - 6:00pm;6:30am - 6:00pm;6:30am - 6:00pm;;;Licensed Child Care Center;175;175;28 Years and 0 Months;18;12/1/2020;Spanish;No Dogs, Covered Outdoor Play, No Pets At All, Outdoor Play Structure, No Cats, Completely Fenced Yard, Outdoor Play Area;USDA Food Program, Provides Breakfast, Snacks Provided, Provides Lunch;Additional Lessons, Scheduled Activities, Support Distance Learning, Preschool Curriculum, Homework Assistance;;Charges a Late Fee, Written Contract, Must Be Potty Trained, Liability Insurance, Pay When Child Is In Care Or Not, Written Policies;Full-time, Temp/Emergency, Part-time, Before School, After School;Full Year;;ADD/ADHD, No Experience/Willing To Learn;Asthma, Hearing Impaired;Inclusion training, Behavioral issues training;Near public transportation, Near school bus;Willing to accept DHS, DHS listed;5 Star Program
1525346;Klamath Family Head Start;Accepting Children During COV19 Reopen;License Center;CC502415;;1940 S 6th Street;Klamath Falls;OR;97601;42.215199;-121.7673721;(541) 882-5988;http://www.kfheadstart.org;0 Years 1 Months - 4 Years 12 Months;7:30am - 3:00pm;7:30am - 3:00pm;7:30am - 3:00pm;7:30am - 3:00pm;7:30am - 3:00pm;;;Licensed Child Care Center;213;213;28 Years and 0 Months;0;11/17/2020;Spanish;No Dogs, Covered Outdoor Play, No Pets At All, Outdoor Play Structure, No Cats, Completely Fenced Yard, Outdoor Play Area;USDA Food Program, Provides Breakfast, Snacks Provided, Provides Lunch;Field Trips, Scheduled Activities, Preschool Curriculum, Center With Separate Preschool Enrollment;;Have Backup (substitute), Liability Insurance, Written Policies;Temp/Emergency, Part-time;Full Year;;Autism, ADD/ADHD, Challenging Behavior Supervision/Supports;Diapering/Toileting Assistance, Nursing Care, Wheelchair Access, Vision Impaired, Diabetes, Communication Supports, Mobility Assistance, Physical Therapy, Accessible Bathroom, Asthma, Hearing Impaired, Socialization Supports, Medication Monitoring, Specialized Equipment;Inclusion training;Near public transportation, Transportation to/from school, Transports to/from child's home;;3 Star Program
