"License Number";"License Type";"Name of Program";"AddressLine1";"AddressLine2";"AddressLine3";"City";"State";"Zip";"County";"Phone";"License Status";"License Holder";"Capacity";"Type Of License";"Restrictions";"Services";"Licensing Authority";"Initial Effective Date";"Current Effective Date";"Expiration Date";"License Holder Lives Onsite"
800403;"Child Care Center";"Children's Farm School";"13241 30th St N";;;"Stillwater";"MN";55082;"Washington";"(651) 439-7745";"Active";"Childrens Farm Inc D/B/A Childrens Farm School (The)";20;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/01/1976";"01/01/2020";"12/31/2020";"   "
809321;"Child Care Center";"Children's House";"150 Wiecking Center";"MN State University, Mankato";;"Mankato";"MN";"56001-6061";"Blue Earth";"(507) 389-1645";"Active";"Minnesota State University";90;"Infants     Toddlers     Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"06/21/1995";"01/01/2020";"12/31/2020";"   "
800419;"Child Care Center";"Children's Kingdom Preschool";"911 S Prairie Ave";;;"Fairmont";"MN";56031;"Martin";"(507) 235-2650";"Active";"St. John Vianney School";20;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"08/17/1990";"01/01/2020";"12/31/2020";"   "
1095453;"Child Care Center";"Children's School (The) ";"3121 GROVELAND SCHOOL RD";;;"Wayzata";"MN";"55391-2817";"Hennepin";"(952) 381-7658";"Active";"The Children's School LLC";27;"Toddlers     Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/04/2018";"09/28/2020";"12/31/2020";"   "
1005240;"Child Care Center";"Children's Way Preschool";"3382 North Lexington Ave";" ";" ";"Shoreview";"MN";55126;"Ramsey";"(651) 484-5719";"Active";"Presbyterian Church of the Way";20;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"08/25/2000";"01/01/2020";"12/31/2020";"   "
810864;"Child Care Center";"Children's Workshop";"3021 Harbor Ln N Ste 110";;;"Plymouth";"MN";"55447-5109";"Hennepin";"(763) 577-4244";"Active";"Children's Workshop";121;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"10/01/1996";"01/01/2020";"12/31/2020";"   "
1057341;"Child Care Center";"Childrens Corner";"322 6th Ave SW";;;"Perham";"MN";56573;"Otter Tail";"(218) 346-5440";"Active";"Fergus Falls Community Child Care Center";42;"Infants     Toddlers     Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"06/14/2010";"01/01/2020";"12/31/2020";"   "
1078473;"Child Care Center";"Childrens Corner Pelican Rapids";"119 N Broadway";;;"Pelican Rapids";"MN";56572;"Otter Tail";"(218) 863-6940";"Closed";"Fergus Falls Community Child Care Center";36;;"None";"Child Care Center";"Minnesota Department of Human Services";"01/04/2016";"01/01/2020";"12/31/2020";"   "
802485;"Child Care Center";"Childrens Place (The)";"3703 Fairway Place NW";;;"Rochester";"MN";55901;"Olmsted";"(507) 289-0811";"Active";"Children's Place (The)";74;"Toddlers     Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"10/05/1972";"01/01/2020";"12/31/2020";"   "
800425;"Child Care Center";"Childrens Village Montessori Day Care Center Inc";"2515 E. 26th St";;;"Minneapolis";"MN";55406;"Hennepin";"(612) 378-7730";"Active";"Children's Village Montessori Day Care Center Inc.";126;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"02/02/1976";"01/01/2020";"12/31/2020";"   "
804270;"Child Care Center";"Chisholm Head Start";"Vaughan Steffensrud School";"1000 1st Ave NE";;"Chisholm";"MN";55719;"St. Louis";"(218) 254-2275";"Active";"Arrowhead Economic Opportunity Agency, Inc.";20;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"11/01/1976";"09/21/2020";"12/31/2020";"   "
1058198;"Child Care Center";"Choo Choo Montessori LLC";"2617 Duluth St";;;"Maplewood ";"MN";55109;"Ramsey";"(651) 490-7734";"Active";"Choo Choo Montessori LLC";61;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/07/2010";"01/01/2020";"12/31/2020";"   "
806293;"Child Care Center";"Christ Church Preschool";"15849 NE 90th St";;;"Otsego";"MN";55330;"Wright";"(763) 441-5097";"Active";"Christ Church";20;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/13/1993";"01/01/2020";"12/31/2020";"   "
802378;"Child Care Center";"Christ Community Lutheran Preschool";"512 County Rd 10";" ";" ";"Watertown";"MN";55388;"Carver";"(952) 955-1419";"Active";"Christ Community Lutheran School";20;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"03/27/1990";"01/01/2020";"12/31/2020";"   "
1065076;"Child Care Center";"Christ Lutheran Church";"500 VILLAGE DR";;;"Marshall";"MN";"56258-1538";"Lyon";"(507) 532-2162";"Active";"Christ Lutheran Church";22;"Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"08/19/2013";"01/01/2020";"12/31/2020";"   "
1092943;"Child Care Center";"Christ Lutheran Little Lambs Preschool";"13815 Cherrywood Drive,";;;"Baxter";"MN";56425;"Crow Wing";"(218) 829-4105";"Active";"Christ Evangelical Lutheran Church";20;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"06/18/2018";"01/01/2020";"12/31/2020";"   "
809564;"Child Care Center";"Christ Lutheran Preschool";"1930 Diffley Rd";" ";;"Eagan";"MN";55122;"Dakota";"(651) 454-4091";"Active";"Christ Lutheran Church of Eagan";20;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/12/1995";"09/01/2020";"12/31/2020";"   "
1005121;"Child Care Center";"Christ Lutheran Preschool Early Learning Center";"641 - 89th Ave NE";;;"Blaine";"MN";55434;"Anoka";"(763) 717-2240";"Active";"Christ Lutheran Church of Blaine";116;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"08/17/2000";"01/01/2020";"12/31/2020";"   "
802475;"Child Care Center";"Christ Memorial Tender Learning Center";"13501 Sunset Trl";" ";;"Plymouth";"MN";55441;"Hennepin";"(763) 544-3303";"Active";"Christ Memorial Lutheran Church";99;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"11/06/1986";"01/01/2020";"12/31/2020";"   "
1021919;"Child Care Center";"Christ Victorious Preschool";"9860 Shady Oak Drive";;;"Chaska";"MN";55318;"Carver";"(952) 443-2993";"Active";"Christ Victorious Lutheran Church";40;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"08/26/2003";"01/01/2020";"12/31/2020";"   "
1001317;"Child Care Center";"Christian Day Child Academy";"16075 Hawthorn Path";"Attn:  Debra Karban";;"Lakeville";"MN";55044;"Dakota";"(952) 431-2025";"Active";"Minnesota Valley Free Lutheran Church";29;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"08/16/1999";"09/01/2020";"12/31/2020";"   "
1059534;"Child Care Center";"Christinas Child Care Center Inc";"5510 W Broadway Ave";;;"Crystal";"MN";55428;"Hennepin";"(763) 390-5870";"Active";"Christinas Child Care Center Inc";91;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"05/16/2011";"01/01/2020";"12/31/2020";"   "
1060807;"Child Care Center";"Circulo de Amigos";"2830 Cedar Ave S";;;"Minneapolis";"MN";55407;"Hennepin";"(612) 722-4737";"Active";"Circulo de Amigos Child Care Center LLC";79;"Infants     Toddlers     Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"07/06/2015";"01/01/2020";"12/31/2020";"   "
1078835;"Child Care Center";"City Child Care Center LLC";"2628 Nicollet Ave S";;;"Minneapolis";"MN";55408;"Hennepin";"(612) 545-5154";"Active";"City Child Care Center LLC";95;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"10/16/2015";"01/01/2020";"12/31/2020";"   "
1061168;"Child Care Center";"City of Lakes Waldorf School";"2344 NICOLLET AVE";;;"Minneapolis";"MN";"55404-3372";"Hennepin";"(612) 767-1550";"Active";"City of Lakes Waldorf School";28;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"11/20/2014";"01/01/2020";"12/31/2020";"   "
1092201;"Child Care Center";"City of Lakes Waldorf School Loring Early Childhood Program";"519 Oak Grove St";;;"Minneapolis";"MN";55403;"Hennepin";"(612) 767-1550";"Active";"City of Lakes Waldorf School";48;"Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"04/13/2018";"01/01/2020";"12/31/2020";"   "
800494;"Child Care Center";"Civic League Day Nursery";"427 6th Ave SW";" ";;"Rochester";"MN";55902;"Olmsted";"(507) 282-5368";"Active";"Civic League Day Nursery";84;"Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"03/01/1930";"01/01/2020";"12/31/2020";"   "
800495;"Child Care Center";"Claire Ann Shover Nursery School";"522 W Spruce St";;;"Fergus Falls";"MN";56537;"Otter Tail";"(218) 736-3487";"Active";"Claire Ann Shover Nursery School";15;"Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"12/01/1944";"01/01/2020";"12/31/2020";"   "
1053470;"Child Care Center";"Close to My Heart";"1740 Van Dyke St";"Attn Anne Hennessey";;"Maplewood ";"MN";55109;"Ramsey";"(651) 307-1492";"Active";"Close to My Heart ";130;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"03/16/2009";"01/01/2020";"12/31/2020";"   "
1093743;"Child Care Center";"Clover Kids Child Care";"190 McGrann St";;;"Green Isle";"MN";55338;"Sibley";"(507) 326-7144";"Conditional";"Green Isle Community School";38;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/04/2018";"01/01/2020";"12/31/2020";"   "
1048783;"Child Care Center";"Club House Child Care & Preschool (The)";"2975 145th St W";;;"Rosemount";"MN";55068;"Dakota";"(651) 423-0363";"Active";"Wuch-Mac Distributing, Inc.";133;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"11/12/2007";"01/01/2020";"12/31/2020";"   "
1065948;"Child Care Center";"Club House Childcare & Preschool (The)";"19645 Pilot Knob Rd Ste 105";;;"Farmington";"MN";55024;"Dakota";"(651) 460-1260";"Active";"Wuch-Mac Distributing, Inc.";73;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"07/16/2013";"01/01/2020";"12/31/2020";"   "
1057828;"Child Care Center";"Club House Childcare and Preschool (The)";"16105 Cedar Ave S";;;"Lakeville";"MN";55044;"Dakota";"(952) 469-4102";"Closed";"Wuch-Mac Distributing, Inc.";84;;"None";"Child Care Center";"Minnesota Department of Human Services";"09/07/2010";"01/01/2020";"12/31/2020";"   "
1082604;"Child Care Center";"Clubhouse Childcare & Preschool (The)";"1041 Helmo Ave N";;;"Oakdale";"MN";55128;"Washington";"(651) 330-2852";"Active";"Wuch-Mac Distributing, Inc.";125;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"08/29/2016";"01/01/2020";"12/31/2020";"   "
1092918;"Child Care Center";"Clubhouse Childcare Center LLC (The) ";"205 4TH ST NE";;;"McIntosh";"MN";"56556-5749";"Polk";"(218) 280-3484";"Active";"The Clubhouse Childcare Center LLC";66;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"06/12/2018";"06/24/2020";"12/31/2020";"   "
804115;"Child Care Center";"Cobber Kids";"1306 3rd St South";;;"Moorhead";"MN";56560;"Clay";"(218) 299-4204";"Active";"Concordia College";64;"Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"08/16/1991";"01/01/2020";"12/31/2020";"   "
804938;"Child Care Center";"Colvill Head Start Center";"269 E 5th St";" ";;"Red Wing";"MN";55066;"Goodhue";"(651) 385-8000";"Active";"Three Rivers Community Action, Inc.";20;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"01/01/1999";"01/01/2020";"12/31/2020";"   "
1034020;"Child Care Center";"Community Alliance Preschool";"408 W Elm St";;;"Detroit Lakes";"MN";56501;"Becker";"(218) 847-2266";"Active";"Community Alliance Church of Detroit Lakes";36;"Toddlers     Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/06/2005";"01/01/2020";"12/31/2020";"   "
800523;"Child Care Center";"Community Child Care Center";"1250 Fifield AVE";" ";" ";"Saint Paul";"MN";55108;"Ramsey";"(651) 645-8958";"Active";"Community Child Care Center, Inc.";48;"Toddlers     Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"03/19/1975";"01/01/2020";"12/31/2020";"   "
1004505;"Child Care Center";"Community Church Child Care Center";"17042 - 160th AVE NE";" ";" ";"Thief River Falls";"MN";"56701-8528";"Pennington";"(218) 681-5327";"Active";"Community Church Child Care Center";53;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"04/17/2000";"01/01/2020";"12/31/2020";"   "
1063678;"Child Care Center";"Community of Saints Regional Catholic Preschool Program";"335 HURLEY ST E";;;"West St Paul";"MN";"55118-1605";"Dakota";"(651) 457-2510";"Active";"Community of Saints Regional Catholic School";40;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"05/31/2013";"01/01/2020";"12/31/2020";"   "
800540;"Child Care Center";"Community Preschool of First Lutheran Church";"1655 18TH AVE E";;;"Alexandria";"MN";"56308-0045";"Douglas";"(320) 762-2196";"Active";"First Lutheran Church";40;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/01/1979";"10/08/2020";"12/31/2020";"   "
800543;"Child Care Center";"Como Early Learning Center";"1024 27th Ave SE";;;"Minneapolis";"MN";55414;"Hennepin";"(612) 331-8340";"Active";"Como Early Learning Center";50;"Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/22/1975";"03/26/2020";"12/31/2020";"   "
1060875;"Child Care Center";"Como Park Language & Arts Preschool & Childcare Center";"1503 Hamline Ave N";;;"Saint Paul";"MN";55108;"Ramsey";"(651) 646-0310";"Active";"Como Park Language and Arts Preschool and Childcare Center";40;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"08/30/2011";"01/01/2020";"12/31/2020";"   "
1087459;"Child Care Center";"Compass Child Care";"2853 NORTHDALE BLVD NW";;;"Coon Rapids";"MN";"55433-2821";"Anoka";"(763) 208-3576";"Active";"Compass Child Care LLC";116;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"10/02/2017";"05/12/2020";"12/31/2020";"   "
1103751;"Child Care Center";"Compass Child Care";"1438 215TH AVE NE";;;"East Bethel";"MN";"55011-4703";"Anoka";"(763) 381-1616";"Active";"Compass Child Care LLC";95;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"07/13/2020";"07/13/2020";"12/31/2020";"   "
1099968;"Child Care Center";"Compass Child Care - University";"10041 UNIVERSITY AVE NE";;;"Blaine";"MN";"55434-0000";"Anoka";"(763) 273-4452";"Active";"Compass Child Care LLC";135;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/03/2019";"08/20/2020";"12/31/2020";"   "
1102085;"Child Care Center";"Compass Child Care LLC";"302 CREDIT UNION DR";;;"Isanti";"MN";"55040-0000";"Isanti";"(763) 444-3774";"Active";"Compass Child Care LLC";92;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"01/14/2020";"01/14/2020";"12/31/2020";"   "
810856;"Child Care Center";"Congdon Creek Preschool";"2310 E 4th St";" ";;"Duluth";"MN";55812;"St. Louis";"(218) 724-5257";"Active";"Congdon Creek Preschool";35;"Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"10/01/1996";"01/01/2020";"12/31/2020";"   "
800547;"Child Care Center";"Congregational Preschool";"1910 3rd Ave NW";;;"Austin";"MN";55912;"Mower";"(507) 433-2301";"Active";"Congregational Church";40;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"10/11/1975";"01/01/2020";"12/31/2020";"   "
1099795;"Child Care Center";"Connections LLC";"4576 232ND ST N";;;"Forest Lake";"MN";"55025-0000";"Washington";"(651) 982-2773";"Active";"Connections LLC";20;"School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/16/2019";"01/01/2020";"12/31/2020";"   "
1009811;"Child Care Center";"Convent of the Visitation School-Montessori";"2455 Visitation Dr";;;"Mendota Heights";"MN";55120;"Dakota";"(651) 683-1700";"Active";"Convent of the Visitation School-Montessori";40;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"07/17/2000";"01/01/2020";"12/31/2020";"   "
1088047;"Child Care Center";"Cook County Child Care Center";"105 W 5th St";;;"Grand Marais";"MN";55604;"Cook";"(218) 387-3386";"Active";"Duluth Area Family YMCA";42;"Infants     Toddlers     Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"03/05/2018";"01/01/2020";"12/31/2020";"   "
800552;"Child Care Center";"Coon Rapids Day Care Center";"10506 Hanson Blvd NW";" ";;"Coon Rapids";"MN";55433;"Anoka";"(763) 755-2412";"Active";"Coon Rapids United Methodist Church";84;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"04/01/1969";"06/01/2020";"12/31/2020";"   "
1081780;"Child Care Center";"Cori's Kidz Childcare Inc";"2280 Stillwater Ave E";;;"Maplewood ";"MN";55119;"Ramsey";"(651) 739-6106";"Active";"Cori's Kidz Childcare Inc";64;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/05/2016";"01/01/2020";"12/31/2020";"   "
1012286;"Child Care Center";"Cornerstone Christian Preschool";"13045 Fremont Ave";" ";" ";"Zimmerman";"MN";55398;"Sherburne";"(763) 856-4561";"Active";"St. John Lutheran Church";30;"Preschool       ";"9/14/2009: occupancy of lower level classroom for 10 children only per State Fire Marshal";"Child Care Center";"Minnesota Department of Human Services";"09/04/2001";"01/01/2020";"12/31/2020";"   "
1069402;"Child Care Center";"Cornerstone Early Learning Center";"4790 Rosemary Way N";;;"Hugo";"MN";55038;"Washington";"(651) 444-1144";"Active";"Christ Evangelical Lutheran Church";74;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/02/2014";"01/01/2020";"12/31/2020";"   "
1051310;"Child Care Center";"Cornerstone Montessori School";"1611 Ames Ave";;;"Saint Paul";"MN";55106;"Ramsey";"(651) 774-5000";"Active";"Montessori Training Center of Minnesota, Inc. ";72;"Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"08/25/2008";"01/01/2020";"12/31/2020";"   "
1094332;"Child Care Center";"Cornerstone Preschool and Childcare";"305 ELM ST";;;"Farmington";"MN";"55024-1028";"Dakota";"(651) 344-7123";"Active";"Cornerstone Preschool and childcare";80;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"11/05/2018";"01/01/2020";"12/31/2020";"   "
1052277;"Child Care Center";"Cornerstone Preschool Childcare Center LLC";"1111 N 11th Ave E";;;"Duluth";"MN";55805;"St. Louis";"(218) 728-3150";"Active";"Sally Hunter Corp Pink Tiger Stew Hunter LLC";50;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"03/30/2009";"01/01/2020";"12/31/2020";"   "
1063762;"Child Care Center";"Cosmos Head Start ";"101 Vesta St S";;;"Cosmos";"MN";56228;"Meeker";"(320) 235-0850";"Active";"United Community Action Partnership Inc";20;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/17/2012";"01/01/2020";"12/31/2020";"   "
1029614;"Child Care Center";"Country School House Daycare Center, Inc.";"21919 TYPO CREEK DR NE";;;"Wyoming";"MN";"55092-9451";"Anoka";"(651) 462-2566";"Active";"Country School House Daycare Center, Inc.";49;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"11/30/2004";"01/01/2020";"12/31/2020";"   "
800577;"Child Care Center";"Cradle Club";"4530 W 77th St";;;"Edina";"MN";55435;"Hennepin";"(952) 831-4828";"Active";"Cradle Club, Inc. (The)";243;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/14/1989";"01/01/2020";"12/31/2020";"   "
1078360;"Child Care Center";"Cradle Club (The)";"13986 Maple Knoll Way";;;"Maple Grove";"MN";55369;"Hennepin";"(763) 444-1531";"Active";"Cradle Club, Inc. (The)";187;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"08/24/2015";"01/01/2020";"12/31/2020";"   "
800578;"Child Care Center";"Cradle Club (The)";"100 N 6th St";"Suite 152 C";" ";"Minneapolis";"MN";55403;"Hennepin";"(612) 338-4434";"Active";"Cradle Club, Inc. (The)";118;"Infants     Toddlers     Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"02/20/1989";"01/01/2020";"12/31/2020";"   "
1029469;"Child Care Center";"Crayon Box Child Care (The)";"7751 E RIVER RD";;;"Fridley";"MN";"55432-2400";"Anoka";"(763) 574-0258";"Active";"Crayon Box Child Care (The)";81;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"05/10/2004";"08/10/2020";"12/31/2020";"   "
1007350;"Child Care Center";"Crayon Box Child Care Center (The)";"9554 Foley Blvd";;;"Coon Rapids";"MN";55433;"Anoka";"(763) 784-4386";"Active";"Crayon Box Child Care (The)";62;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"03/23/2001";"01/01/2020";"12/31/2020";"   "
831127;"Child Care Center";"Creation Kids Preschool";"301 8th Ave NW";" ";;"Kasson";"MN";55944;"Dodge";"(507) 634-7110";"Active";"St. John's Lutheran Church";40;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"06/22/1999";"01/01/2020";"12/31/2020";"   "
810489;"Child Care Center";"Creation Station";"2101 Trinity Rd";" ";;"Duluth";"MN";55811;"St. Louis";"(218) 733-7647";"Active";"Creation Station of Duluth, Inc.";24;"Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"07/23/1996";"01/01/2020";"12/31/2020";"   "
800522;"Child Care Center";"Creative Early Learning Center";"8 W 60TH ST";;;"Minneapolis";"MN";"55419-2553";"Hennepin";"(612) 861-4303";"Active";"Creative Early Learning Center";124;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"03/19/1975";"04/01/2020";"12/31/2020";"   "
1083770;"Child Care Center";"Creative Kids Academy";"19277 Vernon St NW";;;"Elk River";"MN";55330;"Sherburne";"(763) 441-5550";"Active";"Creative Kids Academy Inc";99;"Infants     Toddlers     Preschool     School-Age       ";"RESTRICTION: Per zoning, max capacity of facility is 99.";"Child Care Center";"Minnesota Department of Human Services";"01/01/2017";"01/01/2020";"12/31/2020";"   "
1100126;"Child Care Center";"Creative Kids Academy";"11078 170TH AVE NW";;;"Elk River";"MN";"55330-6322";"Sherburne";"(763) 777-9100";"Active";"Creative Kids Academy Inc";76;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"07/09/2019";"10/01/2020";"12/31/2020";"   "
1062681;"Child Care Center";"Creative Kids Academy Inc";"2180 North Shore Dr";;;"Orono";"MN";55391;"Hennepin";"(952) 473-1225";"Active";"Creative Kids Academy Inc";101;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"06/01/2012";"01/01/2020";"12/31/2020";"   "
1056456;"Child Care Center";"Creative Kids Academy Inc";"15200 Wayzata Blvd";;;"Minnetonka";"MN";55391;"Hennepin";"(952) 473-2557";"Active";"Creative Kids Academy Inc";96;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"03/09/2010";"01/01/2020";"12/31/2020";"   "
1055189;"Child Care Center";"Creative Kids Academy Inc";"12455 62nd Place N";;;"Maple Grove";"MN";55369;"Hennepin";"(763) 559-3700";"Active";"Creative Kids Academy Inc";109;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"08/31/2009";"01/01/2020";"12/31/2020";"   "
1053441;"Child Care Center";"Creative Kids Academy Inc";"1135 W Hwy 10";;;"Anoka";"MN";55303;"Anoka";"(763) 323-4067";"Active";"Creative Kids Academy Inc";105;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"03/27/2009";"01/01/2020";"12/31/2020";"   "
1053442;"Child Care Center";"Creative Kids Academy Inc";"9100 Lake Dr";;;"Lexington";"MN";55014;"Anoka";"(763) 780-4087";"Active";"Creative Kids Academy Inc";99;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"03/27/2009";"01/02/2020";"12/31/2020";"   "
1053443;"Child Care Center";"Creative Kids Academy Inc";"5394 Edgewood Dr";;;"Mounds View";"MN";55112;"Ramsey";"(763) 792-4077";"Active";"Creative Kids Academy Inc";126;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"03/27/2009";"01/01/2020";"12/31/2020";"   "
1053444;"Child Care Center";"Creative Kids Academy Inc";"1980 Center St";;;"Centerville";"MN";55038;"Anoka";"(651) 429-4097";"Active";"Creative Kids Academy Inc";88;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"03/27/2009";"03/18/2020";"12/31/2020";"   "
1077315;"Child Care Center";"Creative Kids Academy Inc";"14185 Essex Ave";;;"Apple Valley";"MN";55124;"Dakota";"(952) 423-5566";"Active";"Creative Kids Academy Inc";80;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"06/08/2015";"01/01/2020";"12/31/2020";"   "
1092663;"Child Care Center";"Creative Minds Daycare LLC";"3801 PORTLAND AVE";;;"Minneapolis";"MN";"55407-2520";"Hennepin";"(612) 315-4448";"Active";"Creative Minds Daycare, LLC";78;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"05/22/2018";"01/01/2020";"12/31/2020";"   "
1081752;"Child Care Center";"Creative Minds Early Learning Center LLC";"1641 Commerce Dr";;;"North Mankato";"MN";56003;"Nicollet";"(507) 779-6383";"Active";"Creative Minds Early Learning Center LLC";63;"Infants     Toddlers     Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"08/29/2016";"01/03/2020";"12/31/2020";"   "
1098633;"Child Care Center";"Creative Stars Academy";"1835 19TH AVE NW";;;"Rochester";"MN";"55901-0786";"Olmsted";"(507) 258-2068";"Active";"Creative Stars Academy LLC";69;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"05/13/2019";"01/01/2020";"12/31/2020";"   "
1084850;"Child Care Center";"Creative Wonders Childcare";"1960 Cliff Lake Rd Ste 104B";;;"Eagan";"MN";55122;"Dakota";"(651) 454-1264";"Active";"Creative Wonders Childcare Co";46;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"05/08/2017";"01/01/2020";"12/31/2020";"   "
