"full_name";"owner_name";"license_no";"license_status";"license_type";"mailing_address_line_1";"mailing_address_city";"mailing_address_state";"mailing_address_zipcode";"mailing_address_county";"mailing_address_phone";"physical_address_line_1";"physical_address_city";"physical_address_state";"physical_address_zipcode";"physical_address_county";"physical_address_phone";"director_first_name";"director_last_name";"capacity";"age_wks_lo";"age_mos_lo";"age_yrs_lo";"age_yrs_hi"
"Seedlings Early Learning Center";"Seedlings Early Learning Center, LLC";"CCCB-06554";"Active";"Center Based Program License";"160 Main Street";"Epping";"NH";03042;"Rockingham";(603) 679-3381;"160 Main Street";"Epping";"NH";03042;"Rockingham";(603) 679-3381;"Rabekah";"Kistler";151;6;;;12
"Circle Child Care";"Circle Child Care, LLC";"CCCB-06211";"Active";"Center Based Program License";"41 Goboro Road";"Epsom";"NH";03234;"Merrimack";(603) 736-3393;"41 Goboro Road";"Epsom";"NH";03234;"Merrimack";(603) 736-3393;"Marley    ";"Taylor";40;6;;;12
"Epsom Better Buddies";"Epsom Better Buddies, Inc";"CCCB-04281";"Active";"Center Based Program License";"PO Box 190";"Epsom";"NH";03234;"Merrimack";(603) 736-9266;"Epsom Better Buddies";"Epsom";"NH";03234;"Merrimack";(603) 736-9266;"Agnes";"Jones";80;;11;4;13
"The Montessori Children's School In Hanover";"The Montessori School in Norwich, Inc.";"CCCB-05259";"Active";"Center Based Program License";"PO Box 5606";"Hanover";"NH";03755-5606;"Grafton";(603) 643-2828;"67 Trescott Road";"Etna";"NH";03750;"Grafton";(603) 643-2828;"Karen     ";"Poage";49;;33;;7
"The Montessori School of Exeter";"Montessori School for the Arts & Sciences, LLC";"CCCB-00919";"Active";"Center Based Program License";"PO Box 240";"Newfields";"NH";03856-0240;"Rockingham";(603) 772-5558;"307 Epping Road";"Exeter";"NH";03833;"Rockingham";(603) 772-5558;"Meredith  ";"Goodrich";57;;18;;6
"Exeter Day School";"Exeter Day School, Inc.";"CCCB-00747";"Active";"Center Based Program License";"11 Marlboro Street";"Exeter";"NH";03833;"Rockingham";(603) 772-3342;"11 Marlboro Street";"Exeter";"NH";03833;"Rockingham";(603) 772-3342;"Joan      ";"Lacroix";82;;24;;6
"Appleseeds Day School";"Appleseeds Day School, Inc.";"CCCB-05606";"Active";"Center Based Program License";"15 Hampton Road";"Exeter";"NH";03833;"Rockingham";(603) 772-9995;"15 Hampton Road";"Exeter";"NH";03833;"Rockingham";(603) 772-9995;"Daniele   ";"Dirsa-Sharpe";120;6;;;12
"Harris Family Children's Center - Phillips Exeter Academy";"Phillips Exeter Academy";"CCCB-02298";"Active";"Center Based Program License";"20 Main Street";"Exeter";"NH";03833;"Rockingham";(603) 777-3160;"261 Water Street";"Exeter";"NH";03833;"Rockingham";(603) 777-3160;"April     ";"Alford";68;6;;;12
"Great Bay Kids' Company";"Great Bay Kids' Company, Inc.";"CCCB-00746";"Active";"Center Based Program License";"64 Epping Road";"Exeter";"NH";03833;"Rockingham";(603) 772-4132;"64 Epping Road";"Exeter";"NH";03833;"Rockingham";(603) 772-4132;"Annette   ";"Hope-Ross";143;6;;;12
"Great Bay Kids' Company - Lincoln Street School Age Program";"Great Bay Kids Company, Inc.";"CCCB-04782";"Active";"Center Based Program License";"64 Epping Road";"Exeter";"NH";03833;"Rockingham";(603) 772-4132;"25 Lincoln Street";"Exeter";"NH";03833;"Rockingham";(603) 772-4132;"Abram";"Keller";70;;8;4;13
"Great Bay Kids' Company - Main Street School Age Program";"Great Bay Kids' Company, Inc.";"CCCB-05158";"Active";"Center Based Program License";"64 Epping Road";"Exeter";"NH";03833;"Rockingham";(603) 770-5057;"40 Main Street, Elementary School";"Exeter";"NH";03833;"Rockingham";(603) 770-5057;"Alisha";"Wood";65;;9;4;13
"Building Block School";"Building Block Commons, LLC";"CCCB-06726";"Active";"Center Based Program License";"125 Kingston Road";"Exeter";"NH";03833;"Rockingham";(603) 397-7096;"125 Kingston Road";"Exeter";"NH";03833;"Rockingham";(603) 397-7096;"Wren";"Hayes";35;;33;;6
"Maple Tree Learning Center";"Learning to Grow Day School, LLC";"CCCB-06525";"Active";"Center Based Program License";"27 Hampton Road";"Exeter";"NH";03833;"Rockingham";(603) 380-2973;"134 Portsmouth Avenue";"Exeter";"NH";03833;"Rockingham";(603) 658-4769;"Alycia";"Young";22;6;;;12
"Southern District YMCA School's Out - ECCA";"Southern Distric YMCA/Camp Lincoln, Inc.";"CCCB-06508";"Active";"Center Based Program License";"PO Box 729";"Kingston";"NH";03848;"Rockingham";(603) 642-3361;"30 Linden Street";"Exeter";"NH";03833;"Rockingham";(603) 642-3361;"Ashley";"Porter";50;;8;4;15
"The 3R's Child Care";"Anna Wheeler";"CCFB-05394";"Active";"Family Based Program License";"PO Box 241";"Farmington";"NH";03835;"Strafford";(603) 755-3398;"40 Branson Road";"Farmington";"NH";03835;"Strafford";(603) 755-3398;"Anna      ";"Wheeler";9;6;;;12
"Farmington Children's Center and Strafford County Head Start";"Strafford County Community Action Committee, Inc.";"CCCB-04798";"Active";"Center Based Program License";"PO Box 160";"Dover";"NH";03820;"Strafford";(603) 755-2883;"120 Main Street";"Farmington";"NH";03835;"Strafford";(603) 755-2883;"Amanda";"Toupin";107;6;;;12
"4 Kids Child Care";"Terri Whittemore";"CCFB-06717";"Active";"Family Based Program License";"1145 Meaderboro Road";"Farmington";"NH";03835;"Strafford";(603) 859-0609;"1145 Meaderboro Road";"Farmington";"NH";03835;"Strafford";(603) 859-0609;"Terri";"Whittemore";12;;2;;10
"Miss Kathie's Childcare";"Miss Kathie's Childcare, LLC";"CCFB-06637";"Active";"Family Based Program License";"12 Pearson Street";"Farmington";"NH";03835;"Strafford";(603) 755-3914;"12 Pearson Street";"Farmington";"NH";03835;"Strafford";(603) 755-3914;"Kathleen";"Merrill";14;;;4;12
"Little Learners Daycare";"Catie Caisse";"CCCB-06680";"Active";"Center Based Program License";"PO Box 62";"Fitzwilliam";"NH";03447;"Cheshire";585-3001;"27 Route 12 South";"Fitzwilliam";"NH";03447;"Cheshire";(978) 855-8089;"Catie";"Caisse";25;;2;;6
"Monadnock Regional School District ACES #93 @ Emerson";"Monadnock Regional School District ACES #93";"CCCB-06723";"Active";"Center Based Program License";"600 Old Homestead Highway";"Swanzey";"NH";03446;"Cheshire";(603) 903-6976;"27 Rhododendron Road";"Fitzwilliam";"NH";03447;"Cheshire";(603) 903-6976;"Allyce";"Romaneck";100;;;3;13
"Three Little Birds Child Care";"Sarah Valentin";"CCFB-06657";"Active";"Family Based Program License";"379 New Boston Road";"Francestown";"NH";03043;"Hillsborough";(603) 831-5033;"379 New Boston Road";"Francestown";"NH";03043;"Hillsborough";(603) 831-5033;"Sarah";"Valentin";12;6;;;12
"Franconia Children's Center";"Franconia Children's Center, Inc.";"CCCB-00754";"Active";"Center Based Program License";"PO Box 9";"Franconia";"NH";03580;"Grafton";(603) 823-5643;"73 Main Street";"Franconia";"NH";03580;"Grafton";(603) 823-5643;"Amy       ";"Finnerty";76;6;;;12
"Red Oak Montessori School";"Red Oak Montessori School, Inc.";"CCCB-05193";"Active";"Center Based Program License";"241 Sanborn Street";"Franklin";"NH";03235;"Merrimack";(603) 934-1002;"241 Sanborn Street";"Franklin";"NH";03235;"Merrimack";(603) 934-1002;"Heather   ";"Parkinson";25;;;2;6
"Franklin Head Start";"Community Action Program Belknap - Merrimack Counties, Inc.";"CCCB-01824";"Active";"Center Based Program License";"PO Box 1016";"Concord";"NH";03302-1016;"Merrimack";(603) 934-2161;"12 Rowell Drive";"Franklin";"NH";03235;"Merrimack";(603) 934-2161;"Constance ";"Stanley";40;;;3;6
"Tiny Twisters Child Care Center";"Tiny Twisters Child Care Center, Inc.";"CCCB-06050";"Active";"Center Based Program License";"12 Rowell Drive";"Franklin";"NH";03235;"Merrimack";(603) 671-1109;"12 Rowell Street";"Franklin";"NH";03235;"Merrimack";(603) 671-1109;"Ashley";"Hebert";45;6;;;6
"Stevie's Jungle Day Care";"Lucy Angotta";"CCFB-05870";"Active";"Family Based Program License";"8 Laxon Avenue";"Franklin";"NH";03235;"Merrimack";(603) 934-8166;"8 Laxon Avenue";"Franklin";"NH";03235;"Merrimack";(603) 934-8166;"Lucy      ";"Angotta";9;;3;;9
"Silly Goose Day Care";"Michelle Dunham";"CCFB-05669";"Active";"Family Based Program License";"81 Evergreen Avenue";"Franklin";"NH";03235;"Merrimack";(603) 934-7182;"81 Evergreen Avenue";"Franklin";"NH";03235;"Merrimack";(603) 934-7182;"Michelle  ";"Dunham";17;6;;;12
"Donna L. Mahoney Day Care";"Donna L. Mahoney";"CCFB-01232";"Active";"Family Based Program License";"119 Sanborn Street";"Franklin";"NH";03235;"Merrimack";(603) 934-4041;"119 Sanborn Street";"Franklin";"NH";03235;"Merrimack";(603) 934-4041;"Donna";"Mahoney";9;6;;;13
"Boys & Girls Club of Greater Concord - Franklin Paul Smith School";"Boys & Girls Club of Greater Concord ";"CCCB-06683";"Active";"Center Based Program License";"55 Bradley Street";"Concord";"NH";03301;"Merrimack";(603) 224-1061;"41 Daniel Webster Drive";"Franklin";"NH";03235;"Merrimack";(603) 224-1061;"Shauntaye";"Pumphret";60;;;5;12
"City of Franklin-Parks & Recreation";"City of Franklin";"CCCB-06655";"Active";"Center Based Program License";"12 Rowell Drive";"Franklin";"NH";03235;"Merrimack";(603) 934-2118;"12 Rowell Drive";"Franklin";"NH";03235;"Merrimack";(603) 934-2118;"Jennifer";"Creasey";148;;;5;13
"Boys & Girls Clubs of Greater Concord - Franklin Unit";"Boys & Girls Clubs of Greater Concord ";"CCCB-06623";"Active";"Center Based Program License";"55 Bradley Street";"Concord";"NH";03301;"Merrimack";(603) 998-9984;"15 Elkins Street";"Franklin";"NH";03235;"Merrimack";(603) 998-9984;"Thomas";"Charbono";85;;;5;18
"Jen's Family Day Care";"Jennifer Perkins";"CCFB-05496";"Active";"Family Based Program License";"351 North Road";"Fremont";"NH";03044;"Rockingham";(603) 679-8303;"351 North Road";"Fremont";"NH";03044;"Rockingham";(603) 679-8303;"Jennifer";"Perkins";9;;2;;12
"Barnyard Buddies";"Lorraine Porter";"CCCB-05551";"Active";"Center Based Program License";"77 Chester Road";"Fremont";"NH";03044;"Rockingham";(603) 895-5455;"77 Chester Road";"Fremont";"NH";03044;"Rockingham";(603) 895-5455;"Lorraine";"Porter";40;6;;;12
"Southern District YMCA School's Out - Fremont";"Southern District YMCA/Camp Lincoln, Inc.";"CCCB-05429";"Active";"Center Based Program License";"PO Box 729  ";"Kingston";"NH";03848;"Rockingham";(603) 642-3361;"432 Main Street";"Fremont";"NH";03044;"Rockingham";(603) 642-3361;"Audrena";"Furman";40;;;5;15
"Country Club for Kids II";"Olga Lazarenko";"CCCB-06592";"Active";"Center Based Program License";"23 Prescott Road";"Raymond";"NH";03077;"Rockingham";(603) 895-2234;"48-50 Main Street";"Fremont";"NH";03044;"Rockingham";(603) 895-2234;"Heather";"Robie";61;6;;;10
"Village Nursery School";"Gilford Community Church";"CCCB-00949";"Active";"Center Based Program License";"19 Potter Hill Road";"Gilford";"NH";03249;"Belknap";(603) 524-7444;"19 Potter Hill Road";"Gilford";"NH";03249;"Belknap";(603) 524-7444;"Cindy     ";"Jenkins";40;;11;2;6
"Children's Garden Daycare";"Linda Grant";"CCFB-00770";"Active";"Family Based Program License";"546 Morrill Street";"Gilford";"NH";03249;"Belknap";(603) 528-1857;"546 Morrill Street";"Gilford";"NH";03249;"Belknap";(603) 528-1857;"Linda     ";"Grant";17;6;;;12
"Miss Joanna's";"Joanna E. Veazey";"CCFB-05958";"Active";"Family Based Program License";"72 Pinecrest Drive";"Gilford";"NH";03249;"Belknap";(603) 524-2550;"72 Pinecrest Drive";"Gilford";"NH";03249;"Belknap";(603) 524-2550;"Joanna    ";"Veazey";17;8;;;12
"Mary's Child Care";"Mary Curtis";"CCFB-06178";"Active";"Family Based Program License";"21 Belknap Mountain Road";"Gilford";"NH";03249;"Belknap";(603) 520-8910;"21 Belknap Mountain Road";"Gilford";"NH";03249;"Belknap";(603) 524-3979;"Mary      ";"Curtis";9;;6;2;12
"Under His Wings Preschool";"Under His Wings Preschool, LLC";"CCCB-06728";"Active";"Center Based Program License";"PO Box 153";"New Hampton";"NH";03256;"Belknap";(603) 717-6321;"401 Gilford Avenue, Unit 2";"Gilford";"NH";03249;"Belknap";(603) 717-6321;"Rebekah";"Mogee";20;;;2;5
"Little Hands Nursery Family Child Care";"Patricia Griffin";"CCFB-06538";"Active";"Family Based Program License";"23 Liscomb Circle Unit #21";"Gilford";"NH";03249;"Belknap";(603) 315-1438;"23 Liscomb Circle Unit #21";"Gilford";"NH";03249;"Belknap";(603) 315-1438;"Patricia ";"Griffin";9;6;;;9
"BASE";"Kristen Menard";"CCCB-06660";"Active";"Center Based Program License";"71 Crystal Lake Road";"Gilmanton Iron Works";"NH";03837;"Belknap";(603) 364-0814;"1386 & 1803 NH Route 140";"Gilmanton ";"NH";03837;"Belknap";(603) 364-0814;"Kristen";"Menard";45;;8;4;12
"Calendula Garden Children's Center";"Calendula Garden Children's Center, LLC";"CCCB-06590";"Active";"Center Based Program License";"PO Box 293";"Gilsum";"NH";03448;"Cheshire";(603) 352-1340;"625 Route 10";"Gilsum";"NH";03448;"Cheshire";(603) 352-1340;"Sarah";"Galligan";12;;6;;5
"Namaste' Children's House";"Namaste' Children's House, LLC";"CCCB-05769";"Active";"Center Based Program License";"535 Mast Road";"Goffstown";"NH";03045;"Hillsborough";(603) 627-3503;"535 Mast Road";"Goffstown";"NH";03045;"Hillsborough";(603) 627-3503;"Susan     ";"DeMont";12;;29;;6
"Merri-Loo Community Preschool, INC";"Merri-Loo Community Preschool";"CCCB-00909";"Active";"Center Based Program License";"PO Box 194 ";"Goffstown";"NH";03045;"Hillsborough";(603) 497-3350;"86 Center Street";"Goffstown";"NH";03045;"Hillsborough";(603) 497-3350;"Dolores   ";"Siik";25;;;3;6
"Montessori Children's Garden";"Montessori Children's Center, LLC";"CCCB-06181";"Active";"Center Based Program License";"36 North Mast Street";"Goffstown";"NH";03045;"Hillsborough";(603) 384-3404;"36 North Mast Street";"Goffstown";"NH";03045;"Hillsborough";(603) 384-3404;"Bonnie    ";"Lamothe";38;;9;2;8
"In His Steps Learning Center";"Goffstown Christian Fellowship";"CCCB-05362";"Active";"Center Based Program License";"67 Henry Bridge Road";"Goffstown";"NH";03045;"Hillsborough";(603) 497-4432;"67 Henry Bridge Road";"Goffstown";"NH";03045;"Hillsborough";(603) 497-4508;"Heather   ";"Kingston";22;;;3;10
"YMCA Allard Center Child Development Center";"The Granite YMCA";"CCCB-04869";"Active";"Center Based Program License";"116 Goffstown Back Road";"Goffstown";"NH";03045;"Hillsborough";(603) 232-8677;"116 Goffstown Back Road";"Goffstown";"NH";03045;"Hillsborough";(603) 232-8663;"Amanda    ";"St Pierre";99;;;5;12
"Eager Beaver Child Care Center";"Eager Beaver Day Care Center, Inc.";"CCCB-04801";"Active";"Center Based Program License";"722 Mast Road";"Manchester";"NH";03102;"Hillsborough";(603) 669-6277;"722 Mast Road";"Goffstown";"NH";03045;"Hillsborough";(603) 669-6277;"Gail      ";"Charpentier";24;;18;;12
"Betsy's Child Care";"Betsy Dixon";"CCFB-04387";"Active";"Family Based Program License";"16 Rosemont St";"Manchester";"NH";03102;"Hillsborough";(603) 644-5172;"16 Rosemont St";"Goffstown";"NH";03045;"Hillsborough";(603) 644-5172;"Betsy     ";"Dixon";9;6;;;12
"Educare Daycare And Learning Center";"Educare Daycare And Learning Center LLC";"CCCB-01641";"Active";"Center Based Program License";"379 Goffstown Back Rd";"Goffstown";"NH";03045;"Hillsborough";(603) 627-3392;"379 Goffstown Back Rd";"Goffstown";"NH";03045;"Hillsborough";(603) 627-3392;"Donnamarie";"Segedy";118;6;;;12
"Labrecque Family Child Care";"Gail Labrecque";"CCFB-05062";"Active";"Family Based Program License";"25 Crestwood Lane";"Goffstown";"NH";03045;"Hillsborough";(603) 361-8738;"25 Crestwood Lane";"Goffstown";"NH";03045;"Hillsborough";(603) 361-8738;"Gail      ";"Labrecque";9;6;;;12
"Learn As We Play Child Care Center";"Learn As We Play Child Care Center, LLC";"CCCB-06184";"Active";"Center Based Program License";"276 Goffstown Back Road";"Goffstown";"NH";03045;"Hillsborough";(603) 668-3674;"276 Goffstown Back Road";"Goffstown";"NH";03045;"Hillsborough";(603) 668-3674;"Melissa   ";"Scott";94;6;;;12
"Little Leapers & Knowledge Keepers";"LLKK Childcare, LLC";"CCCB-06164";"Active";"Center Based Program License";"15 Katherine Street";"Goffstown";"NH";03045;"Hillsborough";(603) 647-2273;"526 B Mast Road";"Goffstown";"NH";03045;"Hillsborough";(603) 647-2273;"Jennifer  ";"Lever";25;6;;;12
"Loving Lambs & Kinder Kids";"LLKK Childcare, LLC";"CCFB-04050";"Active";"Family Based Program License";"15 Katherine Street";"Goffstown";"NH";03045;"Hillsborough";(603) 491-1780;"15 Katherine Street";"Goffstown";"NH";03045;"Hillsborough";(603) 491-1780;"Jennifer  ";"Lever";17;6;;;12
"Main Street Kid's Connection";"727, LLC";"CCCB-05582";"Active";"Center Based Program License";"PO Box 245";"Goffstown";"NH";03045;"Hillsborough";(603) 497-4014;"10 Main Street";"Goffstown";"NH";03045;"Hillsborough";(603) 497-4014;"Janet     ";"Luddy";36;6;;;12
"Children's Country Cottage";"Brenda White";"CCFB-05905";"Active";"Family Based Program License";"28 First Avenue";"Goffstown";"NH";03045;"Hillsborough";(603) 860-8177;"28 First Avenue";"Goffstown";"NH";03045;"Hillsborough";(603) 860-8177;"Brenda    ";"White";9;8;;;12
"YMCA Allard Center School's Out Program @ Maple Ave";"The Granite YMCA";"CCCB-06607";"Active";"Center Based Program License";"116 Goffstown Back Road";"Goffstown";"NH";03045;"Hillsborough";(603) 232-8677;"16 Maple Avenue";"Goffstown";"NH";03045;"Hillsborough";(603) 232-8677;"Amy";"Farrar";45;;;6;11
"Goffstown Creative Kids Academy";"Goffstown Creative Kids Academy, LLC";"CCCB-06739";"Active";"Center Based Program License";"231 Mast Road";"Goffstown";"NH";03045;"Hillsborough";(603) 497-5000;"231 Mast Road";"Goffstown";"NH";03045;"Hillsborough";(603) 497-5000;"Sandra";"Melanson";43;6;;;12
"YMCA Allard Center School's Out Program @ Bartlett";"The Granite YMCA";"CCCB-06608";"Active";"Center Based Program License";"116 Goffstown Back Road";"Goffstown";"NH";03045;"Hillsborough";(603) 232-8677;"689 Mast Road";"Goffstown";"NH";03045;"Hillsborough";(603) 232-8677;"Christine";"Allard";60;;;6;12
"St. Leo Catholic Children's Center";"St. Leo Catholic Church";"CCCB-03040";"Active";"Center Based Program License";"59  Main Street";"Gonic";"NH";03839;"Strafford";(603) 332-9840;"59 Main Street";"Gonic";"NH";03839;"Strafford";(603) 332-9840;"Liane     ";"Smith";40;;9;2;12
"Storybook Hollow Early Learning Program";"Storybook Hollow Early Learning Program, LLC";"CCCB-06107";"Active";"Center Based Program License";"75 Main Street";"Gonic";"NH";03839;"Strafford";(603) 332-1035;"75 Main Street";"Gonic";"NH";03839-5213;"Strafford";(603) 332-1035;"Amber     ";"Baud";34;6;;;13
"Gorham Community Learning Center";"Gorham Community Learning Center, Inc.";"CCCB-00767";"Active";"Center Based Program License";"123 Main Street";"Gorham";"NH";03581;"Coos";(603) 466-5766;"123 Main Street";"Gorham";"NH";03581;"Coos";(603) 466-5766;"Debra     ";"Baker";35;;18;;12
"Mother Goose Child Care Center";"Jeanne P. Carrigan";"CCCB-04997";"Active";"Center Based Program License";"1 Wentworth Avenue";"Gorham";"NH";03581;"Coos";(603) 752-5403;"1 Wentworth Avenue";"Gorham";"NH";03581;"Coos";(603) 752-5403;"Jeanne    ";"Carrigan";72;6;;;12
"Project Youth - Gorham Middle School Program";"Family Resource Center - Project Youth";"CCCB-05781";"Active";"Center Based Program License";"120 &123 Main Street";"Gorham";"NH";03581;"Coos";(603) 466-5190;"120 & 123 Main Street";"Gorham";"NH";03581;"Coos";(603) 466-5190;"Jacob";"Buteau";123;;;10;15
"Project Youth - Edward Fenn After School Program";"The Family Resource Center at Gorham";"CCCB-06666";"Active";"Center Based Program License";"123 Main Street";"Gorham";"NH";03581;"Coos";"6034665190x.506";"169 Main Street";"Gorham";"NH";03581;"Coos";(603) 466-5190;"Jamie";"Knight";100;;8;4;12
"Tuck-A-Way Farm Day Care";"Stacey Gallien";"CCFB-05221";"Active";"Family Based Program License";"PO Box 722";"Grantham";"NH";03753;"Sullivan";(603) 863-9805;"784 Route #10";"Grantham";"NH";03753;"Sullivan";(603) 863-9805;"Stacey";"Gallien";17;8;;;13
"Pearl's Little Angels";"Teresa Campbell";"CCCB-06694";"Active";"Center Based Program License";"151 Rt. 10 North";"Grantham";"NH";03753;"Sullivan";(603) 863-8935;"151 Rt 10 North";"Grantham";"NH";03753;"Sullivan";(603) 863-8935;"Erin";"Slater";40;6;;;12
"Wonderworks Learning Center";"Crotched Mountain Foundation";"CCCB-04566";"Active";"Center Based Program License";"1 Verney Drive";"Greenfield";"NH";03047;"Hillsborough";"6035473311 ext. 1350";"1 Verney Drive";"Greenfield";"NH";03047;"Hillsborough";(603) 547-3311;"Cynthia";"Higham";80;6;;;12
"Seacoast Community School-Community School of SAU 50 and Greenland PEAK";"Community Day Care Center, Inc.";"CCCB-05850";"Active";"Center Based Program License";"70 Post Road";"Greenland";"NH";03840;"Rockingham";(603) 817-0404;"70 Post Road";"Greenland";"NH";03840;"Rockingham";(603) 817-0404;"Alicia    ";"Tonelli";38;;;3;12
"Kaleidoscope Childcare and Preschool";"Kaleidoscope Childcare and Preschool, LLC";"CCCB-06013";"Active";"Center Based Program License";"468 Portsmouth Avenue";"Greenland";"NH";03840;"Rockingham";(603) 431-1611;"468 Portsmouth Avenue";"Greenland";"NH";03840;"Rockingham";(603) 431-1611;"Alison";"O'Malley";17;6;;;12
"Southern New Hampshire Services Greenville Headstart";"Southern New Hampshire Services, Inc";"CCCB-00994";"Active";"Center Based Program License";"PO Box 5040";"Manchester";"NH";03108;"Hillsborough";(603) 878-4028;"16 Adams Street";"Greenville";"NH";03048;"Hillsborough";(603) 878-4028;"Donald    ";"Hutchinson";18;;;3;6
"Groveton Headstart";"Tri-County Head Start";"CCCB-00779";"Active";"Center Based Program License";"PO Box 113";"Groveton";"NH";03582;"Coos";(603) 636-2625;"7 Preble Street";"Groveton";"NH";03582;"Coos";(603) 636-2625;"Amelia";"Alton";40;;;3;6
"Stepping Stones School";"Hampstead Congregational Church";"CCCB-00854";"Active";"Center Based Program License";"61 Main Street";"Hampstead";"NH";03841;"Rockingham";(603) 329-8215;"61 Main Street ";"Hampstead";"NH";03841;"Rockingham";(603) 329-8215;"Donna ";"Murrell";54;;;3;6
"Ages and Stages";"Ages and Stages, LLC";"CCCB-06047";"Active";"Center Based Program License";"499 Main Street";"Hampstead";"NH";03841;"Rockingham";(603) 329-6122;"499 Main Street";"Hampstead";"NH";03841;"Rockingham";(603) 329-6122;"Ann       ";"Rosenblum";99;6;;;12
"YMCA School's Out - Hampstead";"Southern District YMCA/Camp Lincoln, Inc.";"CCCB-02128";"Active";"Center Based Program License";"PO Box 729";"Kingston";"NH";03848;"Rockingham";(603) 642-3361;"21 Emerson Avenue";"Hampstead";"NH";03841;"Rockingham";(603) 642-3361;"Adam";"Mullen";50;;;5;15
"Hampstead Academy";"Hampstead Academy - ALC, Inc.";"CCCB-00642";"Active";"Center Based Program License";"320 East Road";"Hampstead";"NH";03841;"Rockingham";(603) 329-4406;"320 East Road";"Hampstead";"NH";03841;"Rockingham";(603) 329-4406;"Frances";"Stewart";34;;33;;7
"Fundamentals Preschool";"Fundamentals Preschool, Inc.";"CCCB-06537";"Active";"Center Based Program License";"142 State Route 111";"Hampstead";"NH";03841;"Rockingham";(603) 845-6602;"142 State Route 111";"Hampstead";"NH";03841;"Rockingham";(603) 845-6602;"Martha";"Giancola";8;;;3;5
"Hazel Drive Early Childhood Center";"Hazel Drive Early Childhood Center, LLC";"CCCB-06433";"Active";"Center Based Program License";"35 Hazel Drive";"Hampstead";"NH";03841;"Rockingham";(603) 329-9600;"35 Hazel Drive";"Hampstead";"NH";03841;"Rockingham";(603) 329-9600;"Laura";"Picciano";59;;22;;12
"Sandbox Preschool";"Coastal Kids Preschool, LLC";"CCCB-06098";"Active";"Center Based Program License";"868R Lafayette Road";"Hampton";"NH";03842;"Rockingham";(603) 926-0823;"868R Lafayette Road";"Hampton";"NH";03842;"Rockingham";(603) 926-0823;"Kristine";"Demotses";17;;33;;6
"Hampton Head Start";"Southern New Hampshire Services, Inc.";"CCCB-04569";"Active";"Center Based Program License";"53 Winnacunnet Road";"Hampton";"NH";03842;"Rockingham";(603) 601-2196;"53 Winnacunnet Road";"Hampton";"NH";03842;"Rockingham";(603) 601-2196;"Jane      ";"Ward Guaraldi";20;;;3;6
"My First School";"My First School at Friendship House, Inc.";"CCCB-01933";"Active";"Center Based Program License";"137 Winnacunnet Road";"Hampton";"NH";03842-2125;"Rockingham";(603) 926-9614;"137 Winnacunnet Road";"Hampton";"NH";03842;"Rockingham";(603) 926-9614;"Barbara   ";"Kenny";45;;27;;7
"Hampton Child & Family Program - Village Preschool";"Hampton Child & Family Program, Inc.";"CCCB-04539";"Active";"Center Based Program License";"200 High Street";"Hampton";"NH";03842;"Rockingham";(603) 929-7349;"200 High Street";"Hampton";"NH";03842;"Rockingham";(603) 929-7349;"Pamela    ";"Majors";25;;;3;8
"Southern District YMCA School's Out - Marston School";"Southern District YMCA/Camp Lincoln, Inc.";"CCCB-03048";"Active";"Center Based Program License";"PO Box 925";"Exeter";"NH";03833;"Rockingham";(603) 642-3361;"3 Marston Way";"Hampton";"NH";03842;"Rockingham";(603) 642-3361;"Brenda    ";"Givens";60;;;5;13
"Fun After School Program";"Fun After School Program, Inc.";"CCCB-04229";"Active";"Center Based Program License";"40 Stickney Terrace";"Hampton";"NH";03842;"Rockingham";(603) 929-4466;"40 Stickney Terrace";"Hampton";"NH";03842;"Rockingham";(603) 929-4466;"Jennifer  ";"Fortier";99;;;4;17
"Jump N' Jax";"Jump N' Jax LLC";"CCCB-06745";"Permit Issued";"Center Based Program License";"311 Winnacunnet Road";"Hampton";"NH";03842;"Rockingham";(603) 601-7585;"311 Winnacunnet Road";"Hampton";"NH";03842;"Rockingham";(603) 601-7585;"Tabatha";"Leroux-Welsh";14;;;3;5
"Laugh and Learn Exploratorium";"Katherine Soule";"CCCB-06736";"Active";"Center Based Program License";"1 Merrill Industrial Drive";"Hampton";"NH";03842;"Rockingham";(207) 216-0896;"1 Merrill Industrial Drive";"Hampton";"NH";03842;"Rockingham";(207) 216-0896;"Katherine";"Soule";68;6;;;6
"Hampton Falls Child Care Center";"Hampton Falls Child Care Center, Inc.";"CCCB-00537";"Active";"Center Based Program License";"98 Lafayette Road";"Hampton Falls";"NH";03844;"Rockingham";(603) 926-9551;"98 Lafayette Road";"Hampton Falls";"NH";03844;"Rockingham";(603) 926-9551;"Lawrence";"Ford";37;;24;;10
"Robin's Childs Place";"Robin's Childs Place Inc.";"CCCB-03062";"Active";"Center Based Program License";"105 Lafayette Road";"Hampton Falls";"NH";03844;"Rockingham";(603) 929-1976;"105 Lafayette Road";"Hampton Falls";"NH";03844;"Rockingham";(603) 929-1976;"Denise    ";"Libby";166;6;;;14
"Southern District YMCA School's Out - Hampton Falls";"Southern District YMCA/Camp Lincoln, Inc.";"CCCB-06497";"Active";"Center Based Program License";"PO Box 925";"Exeter";"NH";03833;"Rockingham";(603) 642-3361;"8 Exeter Road";"Hampton Falls";"NH";03844;"Rockingham";(603) 642-3361;"Annette ";"Flanders";45;;;5;15
