Name;Credential Type;Credential Number;Status;Expiration Date;Disciplinary Action;Address;State;City;Zip;Phone#;First Issue Date;Primary Contact Name;Primary Contact Role;County
DJS SLOAN;CENTER;2698-22;Active;07/31/2023;N;675 E. DALE AVE.;NV;HENDERSON;89044;702-771-2509;08/16/2019;KELLY NOLASCO;Owner;CLARK
DLE HOME CHILD CARE & PRESCHOOL;GROUP CARE;1486-22;Active;04/30/2023;N;4666 CONRAD PLACE;NV;FALLON;89406;775-867-2013;05/11/2015;DUSTY EDGMON;Person in Charge;CHURCHILL
DON'S KID KASTLE;ACCOMMODATION (PROVISIONAL);1505-22;Active;11/30/2022;N;1650 CASINO DR;NV;LAUGHLIN;89029;702-298-2535;08/01/2016;CINDY CAMPBELL;Person in Charge;CLARK
DOUGLAS COUNTY;PERMITS;002-17;Active;03/31/2021;N;1323 WATERLOO LANE;NV;GARDNERVILLE;89410;;10/01/2014;AMANDA REID;Other;DOUGLAS
DUCK DUCK GOOSE DAYCARE;CENTER (PROVISIONAL);1160-22;Active;11/30/2022;N;3427 S. EASTERN AVE;NV;LAS VEGAS;89169;702-737-3000;09/01/2015;ARLINA QUINONEZ;Director;CLARK
E L CORD CHILD CARE CENTER;CENTER;308-22;Active;06/30/2023;N;7000 DANDINI BLVD;NV;RENO;89512;775-674-7515;07/01/2015;KERI MERANDA;Director;WASHOE
EARLY HEAD START-NEIS;CENTER (PROVISIONAL);1102-22;Active;11/30/2022;N;2667 ENTERPRISE RD;NV;RENO;89512;775-348-9585;10/01/2014;CALENA LONG;Director;WASHOE
EDUCARE DEI MONTESSORI;CENTER (PROVISIONAL);1337-22;Active;11/30/2022;N;2109 ROOP STREET;NV;CARSON CITY;89701;775-882-3011;08/01/2015;JOAN LEPAS;Director;CARSON CITY
EOS FITNESS - CENTENNIAL;ACCOMMODATION;1477-22;Active;02/28/2023;N;6564 LOSEE RD NORTH;NV;LAS VEGAS;89086;702-657-0171;09/01/2016;ARGIE & LE'LANI REYES & AVILEZ;Person in Charge;CLARK
EOS FITNESS - EASTERN;ACCOMMODATION;1475-22;Active;02/28/2023;N;9310 S. EASTERN AVE.  STE 110;NV;HENDERSON;89123;702-914-5885;03/01/2016;ARGIE, CYDNI REYES, JAMES;Person in Charge;CLARK
EOS FITNESS - LAKE MEAD;ACCOMMODATION;1476-22;Active;02/28/2023;N;7501 W. LAKE MEAD BLVD;NV;LAS VEGAS;89128;702-360-8205;07/01/2016;ARGIE & RANI REYES & GRAY;Person in Charge;CLARK
EOS FITNESS - SAHARA;ACCOMMODATION (PROVISIONAL);1988-22;Active;11/30/2022;N;8125 W. SAHARA;NV;LAS VEGAS;89117;702-308-3384;10/13/2016;ARGIE REYES;Person in Charge;CLARK
EOS FITNESS - STEPHANIE;ACCOMMODATION;1474-22;Active;02/28/2023;N;35 S. STEPHANIE ST;NV;HENDERSON;89012;702-269-0828;03/01/2016;ARGIE, BETHANY REYES, WILSON;Person in Charge;CLARK
EOS FITNESS -RUSSELL;ACCOMMODATION;2290-21;Active;11/30/2022;N;3325 E. RUSSELL RD.;NV;LAS VEGAS;89120;702-308-3384;11/30/2017;ARGIE REYES;Person in Charge;CLARK
EOS FITNESS CAMINO;ACCOMMODATION (PROVISIONAL);3162-22;Active;11/30/2022;N;4520 N SCOTT ROBINSON BLVD. NORTH;NV;LAS VEGAS;89031;702-374-1129;09/15/2021;JAZLYNN & ARGIE RAMOS & REYES;Person in Charge;CLARK
EOS FITNESS NORTH DURANGO;ACCOMMODATION;2963-22;Active;05/31/2023;N;8615 WEST ROME BOULEVARD;NV;LAS VEGAS;89149;702-374-1129;06/09/2021;ARGIE REYES;Person in Charge;CLARK
EOS FITNESS ST. ROSE;ACCOMMODATION;3349-22;Active;12/31/2022;N;3511 ST. ROSE PARKWAY;NV;HENDERSON;89052;702-374-1129;01/27/2022;KEIRSTIN   & ARGIE BENNET & REYES;Person in Charge;CLARK
EOS FITNESS- BLUE DIAMOND;ACCOMMODATION (PROVISIONAL);2724-22;Active;11/30/2022;N;4935 BLUE DIAMOND RD;NV;LAS VEGAS;89139;702-308-3384;10/28/2020;JASMINE &  ARGIE, TILLMAN & REYES;Person in Charge;CLARK
EVA'S CHILD CARE;FAMILY CARE;1245-22;Active;05/31/2023;N;534 FOGG ST;NV;LAS VEGAS;89110;702-438-9792;06/01/2016;EVA MORRISSEY;Director;CLARK
EXPERTISE KIDS CAMPUS;CENTER (PROVISIONAL);2503-22;Active;11/30/2022;N;535 E LAKE MEAD NORTH;NV;LAS VEGAS;89030;702-636-8686;05/23/2019;SHANEASE BAUMAN;Director;CLARK
FIRST MEMORIES IN HOME DAY CARE;FAMILY CARE;1092-22;Active;06/30/2023;N;6220 DESERT HAVEN RD;NV;LAS VEGAS;89130;702-636-8311;07/01/2015;MICHELLE TINNIRELLO;Owner;CLARK
FIRST STEP KID'S CARE;CENTER (PROVISIONAL);979-22;Active;11/30/2022;N;4701 E. OWENS AVE;NV;LAS VEGAS;89110;702-453-3736;10/01/2014;SONIA WILHELM;Director;CLARK
FITNESS ALLIANCE LLC DBA EOS FITNESS;ACCOMMODATION;1950-22;Active;02/28/2023;N;7070 S. DURANGO DRIVE;NV;LAS VEGAS;89113;702-413-7711;06/21/2016;ARGIE, ARIELLA REYES, WHITTAKER;Person in Charge;CLARK
FITNESS FOR 10;ACCOMMODATION;2921-22;Active;10/31/2023;N;829 FAIRVIEW DRIVE;NV;CARSON CITY;89701;775-885-1871;11/02/2022;MICHELLE LEE;Person in Charge;CARSON CITY
FIVE STAR SITTERS;EXTENDED ACCOMMODATION;2415-21;Active;09/30/2022;N;1980 FESTIVAL PLAZA DRIVE;NV;LAS VEGAS;89135;;10/12/2018;DANICA SPEER;Director;CLARK
FOOTHILLS MONTESSORI SCHOOL;CENTER (PROVISIONAL);1416-22;Active;11/30/2022;N;1401 AMADOR LANE;NV;HENDERSON;89012;702-567-5080;10/01/2015;MELISSA & KRISTA ECKES & SALVATI;Director;CLARK
FROM CRADLES TO CRAYONS;CENTER;1401-22;Active;06/30/2023;N;801 OVERLAND LOOP #108;NV;DAYTON;89403;775-241-2449;09/01/2015;SUNEITA WOOD;Director;LYON
FUN CHILD CARE;GROUP CARE;3055-22;Active;03/31/2023;N;9140 BAYSINGER DR;NV;LAS VEGAS;89129-7003;702-769-6573;04/01/2021;NORMA ALANIS CANAS;Person in Charge;CLARK
GALINA'S CHILD CARE;FAMILY CARE;1382-22;Active;11/30/2022;N;9692 SWAYING TREES DR;NV;LAS VEGAS;89147;702-253-5202;11/01/2014;GALINA GEREVENKO;Owner;CLARK
GIGGLE NEST LLC;CENTER;3145-22;Active;11/30/2022;N;360 E. HORIZON DRIVE;NV;HENDERSON;89015;(725) 205-2080;06/23/2021;BRIANNA TORRES;Director;CLARK
GLORIA LOPEZ CHILD CARE HOME;FAMILY CARE;1009-22;Active;11/30/2022;N;4025 LIGHTHOUSE AVE;NV;LAS VEGAS;89110;702-438-8616;12/01/2012;GLORIA LOPEZ;Owner;CLARK
GOLD STANDARD CHILD CARE AND PRESCHOOL,LLC;CENTER;1430-22;Active;02/28/2023;N;5120 S. EASTERN AVE;NV;LAS VEGAS;89119;702-541-7963;04/01/2016;JENNIE GUY;Director;CLARK
GOLDFISH;FAMILY CARE (PROVISIONAL);1445-22;Active;11/30/2022;N;8512 COPPER FALLS AVE;NV;LAS VEGAS;89129;702-951-9264;09/01/2016;ANTONINA SABLINA;Director;CLARK
GOOD SAMARITAN CHRISTIAN ACADEMY;CENTER;1130-22;Active;12/31/2022;N;8425 W. WINDMILL LN;NV;LAS VEGAS;89113;702-407-6749;08/12/2014;MIRIAM DAKE;Director;CLARK
GRACE AND WONDER CHILD DEVELOPMENT CENTER;CENTER;3494-22;Active;10/31/2023;N;1620 SNYDER AVE.;NV;CARSON CITY;89701;(916) 214-7628;11/03/2022;PATRICK ULRICH;Director;CARSON CITY
GRACE CHRISTIAN ACADEMY;CENTER;1998-22;Active;11/30/2022;N;512 CALIFORNIA AVE.;NV;BOULDER CITY;89005;702-293-3536;01/27/2017;SANDRA PICHE;Director;CLARK
GRANNY T'S;GROUP CARE;2353-22;Active;01/31/2023;N;9637 JERAN MILES CT;NV;LAS VEGAS;89147;702-202-2508;02/07/2018;DANIEL HEADWORTH;Person in Charge;CLARK
GRATEFUL HEARTS PRESCHOOL;CENTER;3197-22;Active;05/31/2023;N;5580 S PECOS RD;NV;LAS VEGAS;89120;(702) 451-5437;06/02/2021;JESSICA KENNEDY;Director;CLARK
GREAT BASIN COLLEGE;CENTER (PROVISIONAL);39-22;Active;11/30/2022;N;1500 COLLEGE PARKWAY;NV;ELKO;89801;775-327-2387;03/01/2015;LYNETTE MACFARLAN;Person in Charge;ELKO
GREATER LAS VEGAS ACADEMY;CENTER (PROVISIONAL);3115-22;Active;11/30/2022;N;2170 MAULE AVE;NV;LAS VEGAS;89119;702-405-7323;01/22/2021;LENA-JO MARIN;Director;CLARK
GREEN VALLEY CHRISTIAN PRESCHOOL;CENTER;156-22;Active;01/31/2023;N;711 VALLE VERDE CT;NV;HENDERSON;89014;702-454-4056;02/01/2016;IXCHELL GONZALES;Director;CLARK
GREEN VALLEY CHRISTIAN PRESCHOOL ANNEX;CENTER;683-22;Active;07/31/2023;N;705 VALLE VERDE CT;NV;HENDERSON;89014;702-434-0474;08/01/2015;IXCHELL GONZALES;Director;CLARK
GREEN VALLEY LUTHERAN PRESCHOOL;CENTER;410-22;Active;08/31/2023;N;1799 WIGWAM PKWY;NV;HENDERSON;89074;702-454-0004;09/01/2017;JENNIFER REVIS;Director;CLARK
GREEN VALLEY UNITED METHODIST CHURCH CHRISTIAN PRESCHOOL;CENTER;814-22;Active;11/30/2022;N;2200 ROBINDALE RD;NV;HENDERSON;89074;702-454-7989;09/01/2014;TRACY VANAKEN;Director;CLARK
GUNGUIS CHILD CARE;FAMILY CARE (PROVISIONAL);1139-22;Active;11/30/2022;N;7027 WESTPARK CT;NV;LAS VEGAS;89147;702-579-4730;11/01/2013;DORIS BATRES;Owner;CLARK
HAND IN HAND PRESCHOOL & EARLY DEVELOPMENT CENTER - BUFFALO;CENTER;1335-22;Active;07/31/2023;N;10760 S. BUFFALO DR;NV;LAS VEGAS;89179;702-733-1103;08/01/2015;CHRISTINA PYATT;Director;CLARK
HAND IN HAND PRESCHOOL & EARLY DEVELOPMENT CENTER - SERENE;CENTER;1207-22;Active;07/31/2023;N;1550 E. SERENE AVE;NV;LAS VEGAS;89123;702-407-2956;08/01/2015;CHRISTINA PYATT;Director;CLARK
HAPPY DAYS MONTESSORI ACADEMY;CENTER;2854-22;Active;11/30/2022;N;2301 LAS VERDES STREET;NV;LAS VEGAS;89102;702-871-0600;06/01/2020;KATHY SITT;Director;CLARK
HEAD START OF NORTHEASTERN NV-ELKO CENTER;CENTER;35-21;Active;10/31/2022;N;1280 GOLF COURSE ROAD;NV;ELKO;89801;775-738-5953;11/01/2015;YOSABA ARELLANO;Director;ELKO
HEAD START OF NORTHEASTERN NV-ELKO EARLY HEAD START;CENTER;568-21;Active;10/31/2022;N;1280 GOLF COURSE ROAD;NV;ELKO;89801;775-777-1459;11/01/2015;YOSABA ARELLANO;Director;ELKO
HEAD START OF NORTHEASTERN NV-SILVER STREET (BUILDING A & B);CENTER;1375-21;Active;08/31/2022;N;1326 SILVER STREET;NV;ELKO;89801;775-738-2030;09/01/2015;CHERI MORING;Director;ELKO
HEINRICH YMCA;CENTER;2550-22;Active;08/31/2023;N;4141 MEADOWS LANE;NV;LAS VEGAS;89107;702-877-9622;09/01/2018;DANIELLE DONOHO;Person in Charge;CLARK
HELEN MEYER COMMUNITY CENTER;CENTER;1167-22;Active;01/31/2023;N;4525 NEW FOREST DR;NV;LAS VEGAS;89147;702-455-7723;02/01/2014;SHANNON SCOTT;Director;CLARK
HENDERSON CHRISTIAN ACADEMY;CENTER (PROVISIONAL);965-22;Active;11/30/2022;N;2750 ROBINDALE RD;NV;HENDERSON;89074;702-270-2595;02/01/2016;JAIME BUCHOLZ;Director;CLARK
HENDERSON INTERNATIONAL SCHOOL;CENTER (PROVISIONAL);1107-22;Active;11/30/2022;N;1165 SANDY RIDGE AVE;NV;HENDERSON;89052;702-597-2778;09/01/2015;LIZETTE AUGUSTINE;Director;CLARK
HILL & DALE CHILD DEVELOPMENT CENTER;CENTER;1247-22;Active;02/28/2023;N;3720 E. TROPICANA AVE;NV;LAS VEGAS;89121;702-458-2243;03/01/2015;TAMY GATES;Director;CLARK
HIS HAND EXTENDED;GROUP CARE;3398-22;Active;06/30/2023;N;907 CENTER STREET;NV;HENDERSON;89015;725-206-5932;07/11/2022;TRACY MAY;Owner;CLARK
HOLLYWOOD PARK AND RECREATION;CENTER;1267-22;Active;01/31/2023;N;1650 S. HOLLYWOOD BLVD;NV;LAS VEGAS;89142;702-455-0566;08/01/2015;BRIDGET GANIGAN-NAVA;Director;CLARK
HOPE CHRISTIAN PRESCHOOL;CENTER;1419-22;Active;11/30/2022;N;870 E. CACTUS AVE;NV;LAS VEGAS;89183;702-896-5924;01/01/2015;CRYSTAL MCCORMICK;Director;CLARK
HUGS & LOVE FAMILY DAYCARE;GROUP CARE;2927-22;Active;03/31/2023;N;6801 JEANETTE ST;NV;LAS VEGAS;89131;702-480-6018;04/09/2020;NICOLE GARDNER;Owner;CLARK
IMAGINATION STATION EARLY LEARNING CENTER;CENTER;1501-22;Active;07/31/2023;N;4185 VEGAS VALLEY DR;NV;LAS VEGAS;89121;702-457-8889;09/01/2016;ELIZABETH FOSTER;Director;CLARK
IMAGINATION STATION EARLY LEARNING CENTER @ MGM;CENTER (PROVISIONAL);3064-22;Active;11/30/2022;N;3799 LAS VEGAS BLVD;NV;LAS VEGAS;89109;702-457-8878;03/09/2021;ELIZABETH FOSTER;Other;CLARK
IMAGINATION STATION EARLY LEARNING CENTER PALACE LLC.;CENTER (PROVISIONAL);2459-22;Active;11/30/2022;N;2750 S RANCHO DRIVE;NV;LAS VEGAS;89102;702-686-0600;08/07/2018;MEAGAN & LATTORIA ANDRADE & BYRD;Director;CLARK
IMAGINATION STATION EARLY LEARNING CENTER RUSSELL;CENTER (PROVISIONAL);2877-22;Active;11/30/2022;N;2488 EAST RUSSELL RD;NV;LAS VEGAS;89120;702-457-8884;01/10/2020;ELIZABETH FOSTER;Person in Charge;CLARK
IMAGINATION STATION SUNSET;CENTER (PROVISIONAL);2272-22;Active;11/30/2022;N;1310 W WARM SPRINGS RD;NV;HENDERSON;89014;702-878-8887;07/01/2017;ELIZABETH FOSTER;Other;CLARK
IMMACULATE GLIPONEO FAMILY CARE HOME;FAMILY CARE;1124-22;Active;02/28/2023;N;6329 BRAVE VOYAGER CT;NV;LAS VEGAS;89139;702-616-1695;03/01/2016;IMMACULATE GLIPONEO;Owner;CLARK
IN THE BEGINNING DBA FAITH LUTHERAN PRESCHOOL;CENTER (PROVISIONAL);1506-22;Active;11/30/2022;N;10405 GRIFFITH PEAK DR;NV;LAS VEGAS;89135;702-921-2727;09/14/2015;TONIA TATE;Director;CLARK
INFINITY LEARNING CENTER;CENTER (PROVISIONAL);2725-22;Active;11/30/2022;N;8985 W FLAMINGO RD;NV;LAS VEGAS;89147;(702) 485-1100;06/03/2020;VICTORIA HALEY;Director;CLARK
INTERNATIONAL CHRISTIAN ACADEMY PRESCHOOL;CENTER;1465-22;Active;12/31/2022;N;8100 WESTCLIFF DR;NV;LAS VEGAS;89145;702-242-1069;07/01/2018;KRISTEN KENNEDY;Director;CLARK
IVY LAND;CENTER;2480-22;Active;07/31/2023;N;160 INDUSTRIAL WAY;NV;FALLON;89406;775-423-3939;08/31/2018;IVY WARD;Owner;CHURCHILL
JAMIE'S CHILD CARE;FAMILY CARE;383-22;Active;02/28/2023;N;6324 BIG CEDAR CT NORTH;NV;LAS VEGAS;89031;702-506-5958;03/01/2016;JAMIE DIEDRICH;Person in Charge;CLARK
JOAN E. SQUIRE;FAMILY CARE;1114-22;Active;12/31/2022;N;11723 MAGLIANA ST;NV;LAS VEGAS;89183;702-896-1796;01/01/2016;JOAN SQUIRE;Person in Charge;CLARK
JULIE CAMPBELL IN-HOME DAYCARE;FAMILY CARE;1360-22;Active;02/28/2023;N;2721 MESSINA CT;NV;LAS VEGAS;89117;702-505-6162;04/01/2017;JULIE CAMPBELL;Owner;CLARK
JUNIOR JUNCTION PRESCHOOL;CENTER;133-22;Active;11/30/2022;N;101 W. CHAPARRAL DR;NV;HENDERSON;89015;702-564-5422;11/01/2013;JOLYNNE BARNUM;Director;CLARK
JUST FOR KIDS;CENTER;315-21;Active;10/31/2022;N;1611 FLAGVIEW DRIVE;NV;ELKO;89801;775-777-1882;11/01/2015;JENNIFER HENDRIX;Director;ELKO
KEYS KIDS;FAMILY CARE;1005-21;Active;11/30/2022;N;1924 H ST;NV;LAS VEGAS;89106;702-639-6832;12/01/2016;KISHA GRAY;Owner;CLARK
KID'S CO-OP;CENTER;639-22;Active;12/31/2022;N;4316 N. DECATUR BLVD;NV;LAS VEGAS;89130;702-656-6600;01/01/2014;BONNIE TOTH;Director;CLARK
KID'S HAPPY DAYS CHILD CARE;FAMILY CARE (PROVISIONAL);970-22;Active;11/30/2022;N;6201 W. OAKEY BLVD;NV;LAS VEGAS;89146;702-871-4576;09/01/2008;SUDARSHINI WIJEKULARANTE;Owner;CLARK
KIDDIE ACADEMY OF CENTENNIAL HILLS;CENTER;2733-22;Active;05/31/2023;N;6180 N. DURANGO DRIVE;NV;LAS VEGAS;89149;702-840-1041;06/19/2020;MICHELLE WENNERBERG;Director;CLARK
KIDDIE ACADEMY OF HENDERSON;CENTER (PROVISIONAL);1507-22;Active;11/30/2022;N;870 CORONADO CENTER DR;NV;HENDERSON;89052;702-333-1177;09/01/2015;BRITTANY VILLARREAL;Director;CLARK
KIDDYCARE DAYCARE LLC;GROUP CARE (PROVISIONAL);3006-22;Active;11/30/2022;N;3632 TERNEZA AVE NORTH;NV;LAS VEGAS;89081;702-861-4636;07/01/2020;BRANDY MCQUEEN;Owner;CLARK
KIDS ARE US ACADEMY;CENTER;1231-22;Active;08/31/2023;N;2760 S. JONES BLVD;NV;LAS VEGAS;89146;702-220-4384;11/01/2013;KIMBERLI HELAIRE-SMITH;Director;CLARK
KIDS FIRST;CENTER;1141-22;Active;12/31/2022;N;5245 E. BONANZA RD;NV;LAS VEGAS;89110;702-531-1977;08/01/2015;TIFFANY FLETCHER;Director;CLARK
KIDS KIND OF PLACE;CENTER;1450-22;Active;08/31/2023;N;2679 VICKY LANE;NV;MINDEN;89423;775-267-2290;09/01/2015;JANINE PUCHALSKI;Director;DOUGLAS
KIDS KONNECTION;GROUP CARE;960-22;Active;11/30/2022;N;3280 E. CACTUS ST;NV;PAHRUMP;89048;775-751-3456;09/01/2016;DENISE KOCH;Owner;NYE
KIDS LEARNING PATH;CENTER;2292-22;Active;11/30/2022;N;4640 E DESERT INN ROAD;NV;LAS VEGAS;89121;702-456-4986;11/15/2017;SHASHANI PAHALAGAMA;Director;CLARK
KIDS QUEST - BOULDER;EXTENDED ACCOMMODATION;1218-22;Active;12/31/2022;N;4111 BOULDER HWY;NV;LAS VEGAS;89121;702-432-7569;08/24/2015;WENDY ROWE;Other;CLARK
KIDS QUEST - GREEN VALLEY;EXTENDED ACCOMMODATION;1495-22;Active;11/30/2022;N;2300 PASEO VERDE PKWY;NV;HENDERSON;89052;702-617-7700;08/01/2017;KIMBERLY ACKLIN;Other;CLARK
KIDS QUEST - RED ROCK;EXTENDED ACCOMMODATION;1197-22;Active;03/31/2023;N;11011 W. CHARLESTON BLVD;NV;LAS VEGAS;89135;702-797-7646;08/24/2015;ABIGAIL KAHUE;Director;CLARK
KIDS QUEST - SANTA FE;EXTENDED ACCOMMODATION;893-22;Active;06/30/2023;N;4949 N. RANCHO DR;NV;LAS VEGAS;89130;702-658-4966;08/24/2015;DONNA & WENDY WHITE & ROWE;Person in Charge;CLARK
KIDS QUEST - SUNSET STATION;EXTENDED ACCOMMODATION;395-22;Active;11/30/2022;N;1301 W. SUNSET RD;NV;HENDERSON;89014;702-547-7773;10/01/2017;MISTY ORISON;Person in Charge;CLARK
KIDS QUEST BOULDER STATION;ACCOMMODATION;3264-22;Active;10/31/2023;N;4111 BOULDER HWY;NV;LAS VEGAS;89121;;11/02/2022;TAYLOR SMITH;Person in Charge;CLARK
KIDS R KIDS - CIMARRON;CENTER (PROVISIONAL);1214-22;Active;11/30/2022;N;2830 S. CIMARRON RD;NV;LAS VEGAS;89117;702-798-3000;11/01/2015;ROBIN & SHEILA LANE & WALKER;Director;CLARK
KIDS R KIDS - JONES;CENTER;1198-22;Active;03/31/2023;N;5000 S. JONES BLVD;NV;LAS VEGAS;89118;702-871-7600;04/01/2016;ENAS, JENNIFER CROFT, MAZIER;Director;CLARK
KIDSVILLE LEARN AND PLAY CENTER;CENTER;1555-22;Active;03/31/2023;N;4339 E. BONANZA RD;NV;LAS VEGAS;89110;702-459-5222;04/28/2016;GUISSEPPE CARLO EVANGELISTA;Owner;CLARK
KIDTOWN LAS VEGAS;CENTER (PROVISIONAL);1410-22;Active;11/30/2022;N;5270 S. PECOS RD;NV;LAS VEGAS;89120;702-385-5222;10/01/2015;MARY BORCUK;Director;CLARK
KIDZ KIDZ KIDZ - DECATUR;CENTER (PROVISIONAL);1434-22;Active;11/30/2022;N;10430 S. DECATUR BLVD. STE 109;NV;LAS VEGAS;89141;702-914-5439;09/01/2016;CLARA DUNN;Director;CLARK
KIDZ KIDZ KIDZ - NELLIS;CENTER;1483-22;Active;03/31/2023;N;1567 N. NELLIS BLVD;NV;LAS VEGAS;89110;702-453-1540;06/01/2016;SABRINA MORENO;Director;CLARK
KIDZ KIDZ KIDZ PRESCHOOL - ANN;CENTER (PROVISIONAL);1484-22;Active;04/30/2023;N;4645 W. ANN RD. STE. 106 NORTH;NV;LAS VEGAS;89031;702-839-9828;02/08/2016;TIFFANY HARRIS;Director;CLARK
KIDZ KIDZ KIDZ PRESCHOOL - BLUE DIAMOND;CENTER (PROVISIONAL);1482-22;Active;11/30/2022;N;8060 BLUE DIAMOND RD SUITE #140;NV;LAS VEGAS;89113;702-897-8350;09/01/2015;BARBARA ROHNER;Director;CLARK
KIDZ KIDZ KIDZ PRESCHOOL - HORIZON RIDGE;CENTER (PROVISIONAL);1356-22;Active;11/30/2022;N;1483 HORIZON RIDGE PKWY. STE 100;NV;HENDERSON;89014;702-588-5439;02/01/2015;TAYLOR DAMELIO;Person in Charge;CLARK
KIDZ KIDZ KIDZ PRESCHOOL - RAINBOW;CENTER (PROVISIONAL);1250-22;Active;11/30/2022;N;7625 S. RAINBOW BLVD. STE 104-106;NV;LAS VEGAS;89139;702-214-5439;07/01/2016;SABRINA MORENO;Other;CLARK
KIDZ KIDZ KIDZ SOUTHERN HIGHLANDS;CENTER;2167-22;Active;11/30/2022;N;11350 SOUTHERN HIGHLANDS PKWY;NV;LAS VEGAS;89141;702-269-6132;04/07/2017;TAYLOR DAMELIO;Director;CLARK
KIDZHOUS CORP.DBA THE CHILDREN'S GARDEN;CENTER (PROVISIONAL);474-22;Active;11/30/2022;N;594 BLACKRIDGE RD;NV;HENDERSON;89015;702-564-2201;07/01/2016;LANA & JOANNE ARCHULETA & SANTOS;Director;CLARK
KINDERCARE - ALEXANDER MLK;CENTER;3122-22;Active;02/28/2023;N;3901 N. MARTIN LUTHER KING BLVD NORTH;NV;LAS VEGAS;89032;248-895-4189;03/22/2021;DYANDRA AVILA ROA;Director;CLARK
KINDERCARE - RHODES RANCH;CENTER (PROVISIONAL);2551-22;Active;11/30/2022;N;7380 S BUFFALO DR;NV;LAS VEGAS;89113;702-382-0071;01/01/2019;ALICIA SOTO;Director;CLARK
KINDERCARE CENTENNIAL;CENTER (PROVISIONAL);3189-22;Active;11/30/2022;N;651 E. CENTENNIAL PARKWAY NORTH;NV;LAS VEGAS;89081;702-445-7636;09/01/2021;DANIELLE & KATIE BLUM & MEEKER;Director;CLARK
KINDERCARE LEARNING CENTER SIMMONS;CENTER (PROVISIONAL);3120-22;Active;11/30/2022;N;5730 SIMMONS ST NORTH;NV;LAS VEGAS;89031;702-644-2267;03/22/2021;CHERISH & KATIE MORGAN & MEEKER;Director;CLARK
KINDERCARE LEARNING CENTER TROPICANA;CENTER;3121-22;Active;02/28/2023;N;9572 W. TROPICANA AVE;NV;LAS VEGAS;89147;702-368-2267;03/22/2021;ANNE & KATIE MAZIAR & MEEKER;Director;CLARK
KINDERCARE LEARNING CENTERS - BUFFALO;CENTER (PROVISIONAL);1142-22;Active;11/30/2022;N;3570 N. BUFFALO DR;NV;LAS VEGAS;89129;702-655-6565;05/01/2017;DIAMOND & KATIE RANKIN & MEEKER;Director;CLARK
KINDERCARE LEARNING CENTERS - DESERT MARIGOLD;CENTER;1253-22;Active;02/28/2023;N;3085 DESERT MARIGOLD DR;NV;LAS VEGAS;89135;702-243-0033;04/01/2017;KASHMIR SHAFFER;Director;CLARK
KINDERCARE LEARNING CENTERS - OFFICE PARK;CENTER (PROVISIONAL);556-22;Active;11/30/2022;N;51 OFFICE PARK;NV;HENDERSON;89074;702-990-8502;11/01/2015;SYLVIA LEONARD;Director;CLARK
KINDERCARE LEARNING CENTERS - TORREY PINES;CENTER (PROVISIONAL);1251-22;Active;11/30/2022;N;4050 S. TORREY PINES DR;NV;LAS VEGAS;89103;702-367-0822;08/01/2015;DINA & KATIE PARRA & MEEKER;Director;CLARK
KINDERCARE SILVERADO RANCH;CENTER (PROVISIONAL);3247-22;Active;11/30/2022;N;3528 ST. ROSE PKWY;NV;HENDERSON;89052;702-274-0987;09/07/2021;NICOLE & KATIE BELL & MEEKER;Person in Charge;CLARK
KINDERLAND COTTAGE CHILDCARE LLC;CENTER;3221-22;Active;07/31/2023;N;1002 N. CURRY ST.;NV;CARSON CITY;89703;775-445-9669;08/13/2021;CAITLIN CASTANEDA;Owner;CARSON CITY
KOUNTRY KIDS KORNER;GROUP CARE;2139-21;Active;10/31/2022;N;43 ASH DRIVE;NV;YERINGTON;89447;775-221-4087;01/26/2017;LISA TIBBALS;Person in Charge;LYON
KRN4KDS;GROUP CARE;2819-22;Active;01/31/2023;N;6125 RIO. VISTA;NV;LAS VEGAS;89130;;02/21/2020;KAREN DAVIS;Owner;CLARK
LA PETITE ACADEMY;CENTER;3553-22;Active;10/31/2023;N;1640 PATRICK LANE;NV;HENDERSON;89014;702-547-3555;11/03/2022;KELLY GARRISON;Other;CLARK
LA PETITE ACADEMY - BOSECK;CENTER;986-21;Active;10/31/2022;N;8451 BOSECK DR;NV;LAS VEGAS;89145;702-255-9252;11/01/2013;CRYSTAL FROST;Director;CLARK
LA PETITE ACADEMY - CENTENNIAL;CENTER;819-22;Active;11/30/2022;N;2645 W. CENTENNIAL PKWY NORTH;NV;LAS VEGAS;89084;702-395-0969;11/01/2016;KIMBERLY RAAB;Director;CLARK
LA PETITE ACADEMY - E. WARM SPRINGS;CENTER (PROVISIONAL);1137-22;Active;11/30/2022;N;680 E. WARM SPRINGS RD;NV;LAS VEGAS;89119;702-616-9550;11/01/2013;JULEE HENDRICKS;Director;CLARK
LA PETITE ACADEMY - HARBOR ISLAND;CENTER (PROVISIONAL);991-22;Active;11/30/2022;N;2121 HARBOR ISLAND DR;NV;LAS VEGAS;89128;702-255-5657;11/01/2013;KRISTINE SPIVEY;Director;CLARK
LA PETITE ACADEMY - PECOS;CENTER;246-22;Active;06/30/2023;N;76 N. PECOS RD;NV;HENDERSON;89074;702-897-0171;07/01/2014;DARA STUBBS;Director;CLARK
LA PETITE ACADEMY - SIMMONS;CENTER (PROVISIONAL);536-22;Active;09/30/2022;N;4425 SIMMONS ST NORTH;NV;LAS VEGAS;89031;702-638-7862;05/01/2017;SHANNA SILVA;Director;CLARK
