"rundate";"subtype";"ZIP";"LEGALNAME";"ADDRESS";"LICENSE";"LICENSE_EFFECTIVE";"LICENSE_EXPIRATION";"CITY";"COUNTY";"TELEPHONE";"FAXPHONE";"CAPACITY";"FACID";"N_LON";"N_LAT";"N_MCODE";"N_LCODE";"N_BLOCK";"FACTYPE";"state";"INFANT";"ONES";"TWOS";"THREE_TO_FIVE";"SCHOOL_AGE";"EMAIL"
12/1/2020;"CHILD CARE CENTER";"85283";"LA PETITE ACADEMY, INC.";"1645 EAST GUADALUPE ROAD";"CDC-12769";6/1/2018;5/31/2021;"TEMPE";"MARICOPA";"(480)345-9111";"(   )   -";116;"CDC12769";-111.912995;33.363626;;;;"C11";"AZ";"N/A";"11";"LICENSED";"LICENSED";"LICENSED";"lpaazt@lpacorp.com"
12/1/2020;"CHILD CARE CENTER";"85301";"LADY BUG CHILD CARE L L C";"5814 WEST CAMELBACK";"CDC-16851";8/1/2020;7/31/2023;"GLENDALE";"MARICOPA";"(623)302-7150";"(623)321-6029";86;"CDC16851";;;;;;"C11";"AZ";"17";"26";"LICENSED";"LICENSED";"LICENSED";"ladybugchildcare@cox.net"
12/1/2020;"CHILD CARE CENTER";"85705";"LAGUNA HEAD START";"5001 NORTH SHANNON ROAD";"CDC-4757";1/1/2021;12/30/2023;"TUCSON";"PIMA";"(520)887-5698";"(520)622-1927";57;"CDC4757";-111.029259;32.298004;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"laguna@childparentcenters.org"
12/1/2020;"CHILD CARE CENTER";"86314";"LALA'S LAND OF LEARNING LLC";"8416 EAST SPOUSE DRIVE";"CDC-18721";10/18/2019;9/30/2022;"PRESCOTT VALLEY";"YAVAPAI";"(928)237-4438";"(   )   -";39;"CDC18721";;;;;;"C11";"AZ";"9";"13";"LICENSED";"LICENSED";"LICENSED";"angel88ean@msn.com"
12/1/2020;"CHILD CARE CENTER";"85295";"LALLIPOP DAYCARE";"1451 EAST WILLIAMS FIELD ROAD";"CDC-18399";2/10/2020;4/30/2022;"GILBERT";"MARICOPA";"(480)786-6767";"(   )   -";98;"CDC18399";;;;;;"C11";"AZ";"26";"14";"LICENSED";"LICENSED";"LICENSED";"info@lallipopdaycare.com"
12/1/2020;"CHILD CARE CENTER";"85301";"LAMAR HEAD START";"6331 WEST LAMAR ROAD";"CDC-3159";10/1/2020;9/30/2023;"GLENDALE";"MARICOPA";"(623)930-5106";"(623)486-9988";52;"CDC3159";-112.195795;33.536496;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"LZelaya@cc-az.org"
12/1/2020;"CHILD CARE CENTER";"85718";"LAMB'S GATE PRESCHOOL & KINDERGARTEN";"4700 NORTH SWAN ROAD";"CDC-0875";3/1/2019;2/28/2022;"TUCSON";"PIMA";"(520)299-2151";"(520)299-0469";171;"CDC0875";-110.892502;32.293629;;;;"C11";"AZ";"N/A";"26";"LICENSED";"LICENSED";"N/A";"KelleyC@lambsgate.org"
12/1/2020;"CHILD CARE CENTER";"85323";"LATTIE COOR HEAD START";"220 WEST LA CANADA BOULEVARD";"CDC-12996";10/1/2018;9/30/2021;"AVONDALE";"MARICOPA";"(602)287-6199";"(623)486-9988";108;"CDC12996";-112.351814;33.44633;;;;"C11";"AZ";"N/A";"8";"LICENSED";"LICENSED";"N/A";"rsandoval@cc-az.org"
12/1/2020;"CHILD CARE CENTER";"85306";"LEA'S CAROUSEL LEARNING CENTER #2";"14011 NORTH 51ST AVENUE";"CDC-5214";8/1/2018;7/31/2021;"GLENDALE";"MARICOPA";"(602)368-4442";"(602)368-4704";59;"CDC5214";-112.168282;33.612689;;;;"C11";"AZ";"6";"16";"LICENSED";"LICENSED";"LICENSED";"jmchouchane.carousel@yahoo.com"
12/1/2020;"CHILD CARE CENTER";"85712";"LEARN -N- GROW CHILD CARE CENTER";"5235 EAST PIMA ST";"CDC-13511";7/1/2019;6/30/2022;"TUCSON";"PIMA";"(520)326-5589";"(520)327-2119";40;"CDC13511";-110.881144;32.243575;;;;"C11";"AZ";"7";"13";"LICENSED";"LICENSED";"LICENSED";"learnngrow@yahoo.com"
12/1/2020;"CHILD CARE CENTER";"85048";"LEARN N' PLAY, INC.";"15626 SOUTH 42ND STREET";"CDC-18079";11/22/2020;10/31/2023;"PHOENIX";"MARICOPA";"(480)704-1440";"(623)218-5802";161;"CDC18079";;;;;;"C11";"AZ";"13";"25";"LICENSED";"LICENSED";"LICENSED";"jenny@teachnfun.com"
12/1/2020;"CHILD CARE CENTER";"85711";"LEARNING BEE PRESCHOOL & DAY CARE CENTER";"3975 E 22ND";"CDC-9675";9/1/2019;8/31/2022;"TUCSON";"PIMA";"(520)319-2273";"(520)319-2273";51;"CDC9675";-110.908006;32.207238;;;;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"LICENSED";"evelynfelix1981@yahoo.com"
12/1/2020;"CHILD CARE CENTER";"86314";"LEARNING CASTLE CHILDRENS CENTER L.L.C.";"4701 NORTH ROBERT ROAD";"CDC-15199";4/1/2019;3/31/2022;"PRESCOTT VALLEY";"YAVAPAI";"(928)775-9677";"(928)775-9670";53;"CDC15199";-112.32054;34.610646;;;;"C11";"AZ";"N/A";"13";"LICENSED";"LICENSED";"LICENSED";"info@learningcastlechildrenscenter.com"
12/1/2020;"CHILD CARE CENTER";"85203";"LEARNING FOUNDATION PRESCHOOL";"851 NORTH STAPLEY DRIVE #6";"CDC-11664";3/1/2020;2/28/2023;"MESA";"MARICOPA";"(480)834-6202";"(480)834-3991";59;"CDC11664";-111.805114;33.430832;;;;"C11";"AZ";"N/A";"N/A";"N/A";"N/A";"LICENSED";"maitken@lfapa.org"
12/1/2020;"CHILD CARE CENTER";"85203";"LEARNING FOUNDATION PRESCHOOL";"807 NORTH STAPLEY DRIVE";"CDC-17779";1/1/2020;12/31/2022;"MESA";"MARICOPA";"(480)635-1900";"(480)635-1906";48;"CDC17779";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"maitken@lfapa.org"
12/1/2020;"CHILD CARE CENTER";"85296";"LEARNING FOUNDATION PRESCHOOL";"3939 EAST WARNER ROAD";"CDC-18010";7/1/2020;6/30/2023;"GILBERT";"MARICOPA";"(480)248-8025";"(480)248-9429";47;"CDC18010";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"learningfoundation@msn.com"
12/1/2020;"CHILD CARE CENTER";"85296";"LEARNING GARDEN PRESCHOOL & DAYCARE";"888 SOUTH GREENFIELD ROAD #108";"CDC-17152";12/1/2020;11/30/2023;"GILBERT";"MARICOPA";"(480)507-6800";"(480)507-3490";59;"CDC17152";;;;;;"C11";"AZ";"5";"12";"LICENSED";"LICENSED";"N/A";"lgpreschools@yahoo.com"
12/1/2020;"CHILD CARE CENTER";"85711";"LEARNING TO GROW CHILDCARE, L.L.C.";"655 NORTH CRAYCROFT ROAD";"CDC-18523";3/11/2019;2/28/2022;"TUCSON";"PIMA";"(520)232-4426";"(   )   -";59;"CDC18523";;;;;;"C11";"AZ";"N/A";"17";"LICENSED";"LICENSED";"LICENSED";"learningtogrow@outlook.com"
12/1/2020;"CHILD CARE CENTER";"85345";"LEARNING WORKS PRESCHOOL";"10726 NORTH 96TH AVENUE";"CDC-1025";12/1/2019;11/30/2022;"PEORIA";"MARICOPA";"(623)979-4129";"(844)214-2911";59;"CDC1025";-112.265936;33.582567;;;;"C11";"AZ";"N/A";"11";"LICENSED";"LICENSED";"LICENSED";"learningworkspreschool@gmail.com"
12/1/2020;"CHILD CARE CENTER";"85225";"LEGACY TRADITIONAL  PRESCHOOL - NORTH CHANDLER";"1900 NORTH MCQUEEN ROAD";"CDC-18181";1/9/2020;2/28/2021;"CHANDLER";"MARICOPA";"(480)757-5400";"(   )   -";124;"CDC18181";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"nch-preschool@legacytraditional.org"
12/1/2020;"CHILD CARE CENTER";"85286";"LEGACY TRADITIONAL PRESCHOOL - CHANDLER";"3201 SOUTH GILBERT ROAD";"CDC-18180";8/5/2020;2/28/2021;"CHANDLER";"MARICOPA";"(480)980-2649";"(480)237-5780";120;"CDC18180";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"ch-preschool@legacytraditional.org"
12/1/2020;"CHILD CARE CENTER";"85212";"LEGACY TRADITIONAL PRESCHOOL - EAST MESA";"10707 EAST GUADALUPE ROAD";"CDC-18267";8/1/2018;7/31/2021;"MESA";"MARICOPA";"(480)935-5320";"(   )   -";93;"CDC18267";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"em-preschool@legacytraditional.org"
12/1/2020;"CHILD CARE CENTER";"85203";"LEHI MONTESSORI SCHOOL";"2415 NORTH TERRACE CIRCLE";"CDC-9075";3/1/2019;2/28/2022;"MESA";"MARICOPA";"(480)464-2800";"(480)464-2836";38;"CDC9075";-111.801836;33.459235;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"help@montessori-house.com"
12/1/2020;"CHILD CARE CENTER";"85742";"LEMAN ACADEMY OF EXCELLENCE";"7720 N. SILVERBELL RD.";"CDC-17321";11/1/2018;10/31/2021;"TUCSON";"PIMA";"(520)520-6398";"(   )   -";276;"CDC17321";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"deanna.evans@lemanacademy.org"
12/1/2020;"CHILD CARE CENTER";"85755";"LEMAN ACADEMY OF EXCELLENCE";"12255 NORTH LA CANADA DRIVE";"CDC-17937";10/1/2020;9/30/2023;"ORO VALLEY";"PIMA";"(520)912-4007";"(   )   -";168;"CDC17937";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"shelby.romero@lemanacademy.org"
12/1/2020;"CHILD CARE CENTER";"85712";"LEMAN ACADEMY OF EXCELLENCE CENTRAL";"6188 EAST PIMA STREET";"CDC-18931";9/2/2020;8/31/2023;"TUCSON";"PIMA";"(520)274-0029";"(   )   -";209;"CDC18931";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"npennington@lemanacademy.org"
12/1/2020;"CHILD CARE CENTER";"85730";"LEMAN ACADEMY OF EXCELLENCE EAST TUCSON";"10100 EAST GOLF LINKS ROAD";"CDC-18281";11/22/2018;10/31/2021;"TUCSON";"PIMA";"(520)639-8080";"(   )   -";429;"CDC18281";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"nathan.edwards@lemanacademy.org"
12/1/2020;"CHILD CARE CENTER";"85212";"LIBERTY ARTS ACADEMY";"3015 SOUTH POWER ROAD";"CDC-14364";8/1/2020;7/31/2023;"MESA";"MARICOPA";"(480)830-3444";"(480)830-4335";48;"CDC14364";-111.687306;33.357512;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"brady.wald@leonagroup.com"
12/1/2020;"CHILD CARE CENTER";"85706";"LIBERTY HEAD START";"5495 SOUTH LIBERTY";"CDC-4755";8/1/2019;7/31/2022;"TUCSON";"PIMA";"(520)573-5824";"(520)622-1927";59;"CDC4755";-110.97308;32.152569;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"liberty@childparentcenters.org"
12/1/2020;"CHILD CARE CENTER";"85286";"LIFE CHRISTIAN PRESCHOOL AND CHILDCARE";"11530 EAST QUEEN CREEK ROAD";"CDC-14909";10/1/2018;9/30/2021;"CHANDLER";"MARICOPA";"(480)539-8933";"(480)633-5950";226;"CDC14909";-111.793007;33.262909;;;;"C11";"AZ";"12";"40";"LICENSED";"LICENSED";"LICENSED";"lccdirector@faithfc.org"
12/1/2020;"CHILD CARE CENTER";"85296";"LIFE TIME - GILBERT";"381 EAST WARNER ROAD";"CDC-16185";5/1/2018;4/30/2021;"GILBERT";"MARICOPA";"(480)558-5451";"(480)892-5021";108;"CDC16185";-111.781444;33.335344;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"sshultz@lt.life"
12/1/2020;"CHILD CARE CENTER";"85395";"LIFE TIME - GOODYEAR";"14540 WEST MCDOWELL ROAD";"CDC-16186";5/1/2018;4/30/2021;"GOODYEAR";"MARICOPA";"(623)536-9595";"(623)536-9966";136;"CDC16186";-112.371939;33.464659;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"fhernandez@lt.life"
12/1/2020;"CHILD CARE CENTER";"85054";"LIFE TIME - SCOTTSDALE";"6850 EAST CHAUNCEY LANE";"CDC-16184";5/1/2018;4/30/2021;"PHOENIX";"MARICOPA";"(480)538-9009";"(480)538-0660";136;"CDC16184";-111.933305;33.651694;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"fhernandez@lt.life"
12/1/2020;"CHILD CARE CENTER";"85284";"LIFE TIME - TEMPE";"1616 WEST RUBY DRIVE";"CDC-16183";5/1/2018;4/30/2021;"TEMPE";"MARICOPA";"(480)705-8855";"(480)705-8866";104;"CDC16183";-111.963944;33.340305;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"sbodnar@lt.life"
12/1/2020;"CHILD CARE CENTER";"85302";"LIFEPRINTS CHILDCARE";"5680 WEST PEORIA AVENUE";"CDC-17692";7/1/2019;6/30/2022;"GLENDALE";"MARICOPA";"(602)979-5489";"(602)993-1145";59;"CDC17692";;;;;;"C11";"AZ";"5";"12";"LICENSED";"LICENSED";"LICENSED";"lifeprints5680@gmail.com"
12/1/2020;"CHILD CARE CENTER";"85022";"LIFEPRINTS CHILDCARE & LEARNING CENTER";"15630 NORTH 7TH STREET";"CDC-17281";6/1/2018;5/31/2021;"PHOENIX";"MARICOPA";"(602)993-5447";"(602)993-1145";172;"CDC17281";;;;;;"C11";"AZ";"15";"30";"LICENSED";"LICENSED";"LICENSED";"werner327@live.com"
12/1/2020;"CHILD CARE CENTER";"85298";"LIGHT OF CHRIST CHRISTIAN PRESCHOOL";"6289 SOUTH GREENFIELD ROAD";"CDC-17526";5/1/2019;4/30/2022;"GILBERT";"MARICOPA";"(480)899-1400";"(   )   -";59;"CDC17526";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"lightofchristpreschool@gmail.com"
12/1/2020;"CHILD CARE CENTER";"85743";"LIGHT THE WAY PRESCHOOL";"8611 NORTH SILVERBELL RD";"CDC-16003";4/1/2018;3/31/2021;"TUCSON";"PIMA";"(520)243-3838";"(   )   -";74;"CDC16003";-111.120945;32.363123;;;;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"LICENSED";"preschoolltw@gmail.com"
12/1/2020;"CHILD CARE CENTER";"85142";"LIL' EINSTEINS ACADEMY";"3071 WEST HUNT HIGHWAY SUITE 104";"CDC-17520";3/1/2019;2/28/2022;"QUEEN CREEK";"MARICOPA";"(480)664-8979";"(480)457-8848";151;"CDC17520";;;;;;"C11";"AZ";"N/A";"18";"LICENSED";"LICENSED";"LICENSED";"thelileinsteinsacademy@gmail.com"
12/1/2020;"CHILD CARE CENTER";"85297";"LIL' EINSTEINS PRESCHOOL";"3369 EAST QUEEN CREEK ROAD STE 104";"CDC-13494";9/1/2019;8/31/2022;"GILBERT";"MARICOPA";"(480)558-4551";"(480)457-8848";59;"CDC13494";-111.71698;33.263033;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"kendrahall@cox.net"
12/1/2020;"CHILD CARE CENTER";"85128";"LIL' KIDDIELAND CHILDCARE";"460 SOUTH 7TH STREET";"CDC-17834";2/1/2020;1/31/2023;"COOLIDGE";"PINAL";"(520)723-2825";"(   )   -";59;"CDC17834";;;;;;"C11";"AZ";"11";"25";"LICENSED";"LICENSED";"LICENSED";"dcsample@msn.com"
12/1/2020;"CHILD CARE CENTER";"85027";"LIL' PAWS LEARNING CENTER";"19601 NORTH 27TH AVENUE BLDG 2";"CDC-14420";12/1/2020;11/30/2023;"PHOENIX";"MARICOPA";"(623)388-8130";"(623)580-6568";102;"CDC14420";-112.117025;33.662773;;;;"C11";"AZ";"20";"38";"LICENSED";"LICENSED";"LICENSED";"heather.adkins@brighthorizons.com"
12/1/2020;"CHILD CARE CENTER";"85003";"LINCOLN FAMILY Y.M.C.A.";"350 NORTH 1ST AVENUE";"CDC-18662";11/1/2019;10/31/2022;"PHOENIX";"MARICOPA";"(623)486-3134";"(   )   -";105;"CDC18662";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"N/A";"LICENSED";"lncorral@vosymca.org"
12/1/2020;"CHILD CARE CENTER";"85020";"LINCOLN LEARNING CENTER";"303 EAST EVA STREET";"CDC-1869";8/1/2018;7/31/2021;"PHOENIX";"MARICOPA";"(602)943-3731";"(602)331-5730";214;"CDC1869";-112.069321;33.568989;;;;"C11";"AZ";"13";"22";"LICENSED";"LICENSED";"LICENSED";"Speder1chonorhealth.com"
12/1/2020;"CHILD CARE CENTER";"85295";"LINE UPON LINE MONTESSORI INC.";"690 EAST WARNER ROAD #130";"CDC-17283";7/1/2018;6/30/2021;"GILBERT";"MARICOPA";"(480)331-3637";"(   )   -";22;"CDC17283";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"lineuponlinemontessori@gmail.com"
12/1/2020;"CHILD CARE CENTER";"85340";"LITCHFIELD PARK RECREATION CENTER";"100 SOUTH OLD LITCHFIELD  ROAD";"CDC-9021";9/1/2020;8/31/2023;"LITCHFIELD PARK";"MARICOPA";"(623)935-9040";"(623)935-7188";19;"CDC9021";-112.358322;33.493191;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"cweaver@litchfieldpark.org"
12/1/2020;"CHILD CARE CENTER";"85014";"LITTLE ANGELS";"1544 EAST MITCHELL DRIVE";"CDC-9322";5/1/2019;4/30/2022;"PHOENIX";"MARICOPA";"(602)230-2689";"(602)230-0790";59;"CDC9322";-112.048138;33.488913;;;;"C11";"AZ";"N/A";"22";"LICENSED";"LICENSED";"LICENSED";"8littleangels@gmail.com"
12/1/2020;"CHILD CARE CENTER";"85027";"LITTLE ANGELS MONTESSORI SCHOOL";"1908 WEST PARKSIDE LANE";"CDC-18592";6/1/2019;5/31/2022;"PHOENIX";"MARICOPA";"(623)594-0888";"(   )   -";100;"CDC18592";;;;;;"C11";"AZ";"N/A";"24";"N/A";"LICENSED";"N/A";"director@lamsaz.com"
12/1/2020;"CHILD CARE CENTER";"85013";"LITTLE BIG MINDS";"1420 WEST OSBORN ROAD";"CDC-17133";1/1/2018;12/31/2020;"PHOENIX";"MARICOPA";"(602)910-4417";"(   )   -";92;"CDC17133";;;;;;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"N/A";"ejennings@lbmpreschool.com"
12/1/2020;"CHILD CARE CENTER";"85018";"LITTLE BIG MINDS CENTER FOR EARLY CHILDHOOD BILINGUALISM";"4601 NORTH 34TH STREET";"CDC-15377";8/1/2019;7/31/2022;"PHOENIX";"MARICOPA";"(602)910-4417";"(   )   -";105;"CDC15377";-112.008928;33.503514;;;;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"N/A";"pkelley@lbmpreschool.com"
12/1/2020;"CHILD CARE CENTER";"85016";"LITTLE BIG MINDS PRESCHOOL - UPTOWN";"1973 EAST MARYLAND AVENUE";"CDC-18093";1/1/2021;12/31/2023;"PHOENIX";"MARICOPA";"(602)910-4417";"(   )   -";145;"CDC18093";;;;;;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"N/A";"phunkins@lbmpreschool.com"
12/1/2020;"CHILD CARE CENTER";"85254";"LITTLE BIG MINDS PRESCHOOL-SCOTTSDALE";"6315 EAST THUNDERBIRD ROAD";"CDC-17318";8/1/2018;7/31/2021;"SCOTTSDALE";"MARICOPA";"(602)910-4417";"(   )   -";85;"CDC17318";;;;;;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"N/A";"Info@lbmpreschool.com"
12/1/2020;"CHILD CARE CENTER";"86401";"LITTLE BRICK SCHOOL HOUSE";"2302 LILLIE AVENUE";"CDC-16897";7/1/2020;6/30/2023;"KINGMAN";"MOHAVE";"(928)753-5439";"(   )   -";59;"CDC16897";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"joy@littlebrickschoolhouse.org"
12/1/2020;"CHILD CARE CENTER";"85706";"LITTLE CASTLE CHILDCARE & PRESCHOOL";"6042 SOUTH EUCLID AVE";"CDC-14072";8/1/2020;7/31/2023;"TUCSON";"PIMA";"(520)294-1648";"(   )   -";81;"CDC14072";-110.958919;32.142451;;;;"C11";"AZ";"5";"11";"LICENSED";"LICENSED";"LICENSED";"littlecastle@live.com"
12/1/2020;"CHILD CARE CENTER";"85706";"LITTLE CASTLE CHILDCARE & PRESCHOOL";"6425 S PACHECO AVE";"CDC-16859";5/1/2020;4/30/2023;"TUCSON";"PIMA";"(520)294-1642";"(   )   -";103;"CDC16859";;;;;;"C11";"AZ";"N/A";"10";"LICENSED";"LICENSED";"LICENSED";"angelapico85@gmail.com"
12/1/2020;"CHILD CARE CENTER";"85714";"LITTLE CASTLE CHILDCARE & PRESCHOOL";"1802 EAST IRVINGTON ROAD";"CDC-17836";2/1/2020;1/31/2023;"TUCSON";"PIMA";"(520)294-1604";"(   )   -";122;"CDC17836";;;;;;"C11";"AZ";"N/A";"6";"LICENSED";"LICENSED";"LICENSED";"vivispico@gmail.com"
12/1/2020;"CHILD CARE CENTER";"86314";"LITTLE DREAMERS PRESCHOOL ACADEMY";"7175 EAST 2ND STREET";"CDC-18621";8/26/2019;7/31/2022;"PRESCOTT VALLEY";"YAVAPAI";"(928)499-8077";"(   )   -";65;"CDC18621";;;;;;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"LICENSED";"CRAIG@AZLITTLEDREAMERS.COM"
12/1/2020;"CHILD CARE CENTER";"86401";"LITTLE EAGLE PRESCHOOL & CHLDCARE";"1475 GORDON DRIVE";"CDC-14021";4/1/2020;3/31/2023;"KINGMAN";"MOHAVE";"(928)757-7888";"(928)757-1760";145;"CDC14021";-114.033812;35.239524;;;;"C11";"AZ";"11";"13";"LICENSED";"LICENSED";"LICENSED";"littleeaglepreschool@gmail.com"
12/1/2020;"CHILD CARE CENTER";"85204";"LITTLE EINSTEIN PRESCHOOL";"2105 EAST SOUTHERN AVENUE";"CDC-16839";1/1/2020;12/31/2022;"MESA";"MARICOPA";"(480)652-8820";"(480)304-3193";212;"CDC16839";-111.785821;33.393449;"S80";"AS0";"040134225032007";"C11";"AZ";"23";"17";"LICENSED";"LICENSED";"LICENSED";"msawyer@littleeinsteinpreschool.com"
12/1/2020;"CHILD CARE CENTER";"86314";"LITTLE EXPLORERS LEARNING ACADEMY";"3128 NORTH TANI ROAD";"CDC-17987";7/1/2020;6/30/2023;"PRESCOTT VALLEY";"YAVAPAI";"(928)379-5068";"(   )   -";39;"CDC17987";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"Lelapv@cableone.net"
12/1/2020;"CHILD CARE CENTER";"85016";"LITTLE EXPLORERS LEARNING CENTER 2 L.L.C.";"2946 EAST CHEERY LYNN ROAD";"CDC-17893";9/1/2020;8/31/2023;"PHOENIX";"MARICOPA";"(602)583-7855";"(602)583-7856";49;"CDC17893";;;;;;"C11";"AZ";"N/A";"11";"LICENSED";"LICENSED";"LICENSED";"little_explorers@icloud.com"
12/1/2020;"CHILD CARE CENTER";"85257";"LITTLE EXPLORERS PRESCHOOL & CHILD CARE";"7116 EAST OAK STREET";"CDC-8985";9/1/2018;8/31/2021;"SCOTTSDALE";"MARICOPA";"(480)947-4607";"(480)947-4924";47;"CDC8985";-111.927688;33.47318;;;;"C11";"AZ";"9";"9";"LICENSED";"LICENSED";"N/A";"chitamedina@icloud.com"
12/1/2020;"CHILD CARE CENTER";"85282";"LITTLE FOOT LEARNING CENTER";"820 WEST BROADWAY ROAD";"CDC-17538";4/1/2019;3/31/2022;"TEMPE";"MARICOPA";"(480)966-1521";"(   )   -";99;"CDC17538";;;;;;"C11";"AZ";"11";"16";"LICENSED";"LICENSED";"LICENSED";"cadame70@yahoo.com"
12/1/2020;"CHILD CARE CENTER";"85746";"LITTLE FRIENDS LEARNING CENTER";"2846 WEST DREXEL ROAD, SUITE 100";"CDC-17216";3/1/2018;2/28/2021;"TUCSON";"PIMA";"(520)471-4411";"(   )   -";182;"CDC17216";;;;;;"C11";"AZ";"15";"42";"LICENSED";"LICENSED";"LICENSED";"littlefriendslearningcenter15@gmail.com"
12/1/2020;"CHILD CARE CENTER";"85205";"LITTLE GENIUSES CHILDCARE CENTER";"6515 EAST MAIN STREET - SUITE 101";"CDC-17750";10/1/2019;9/30/2022;"MESA";"MARICOPA";"(480)247-6079";"(480)247-6349";59;"CDC17750";;;;;;"C11";"AZ";"5";"13";"LICENSED";"LICENSED";"LICENSED";"littlegeniuesesmananger@gmail.com"
12/1/2020;"CHILD CARE CENTER";"85713";"LITTLE GIANTS DAYCARE & PRESCHOOL, L L C";"1818 SOUTH COUNTRY CLUB ROAD";"CDC-18272";6/1/2018;5/31/2021;"TUCSON";"PIMA";"(520)784-9530";"(520)300-5014";43;"CDC18272";;;;;;"C11";"AZ";"N/A";"5";"LICENSED";"LICENSED";"LICENSED";"littlegiantsdcp@gmail.com"
12/1/2020;"CHILD CARE CENTER";"85122";"LITTLE INNOVATORS PRESCHOOL";"950 NORTH PEART ROAD";"CDC-17832";7/1/2020;6/30/2023;"CASA GRANDE";"PINAL";"(520)381-2360";"(520)876-0492";45;"CDC17832";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"pmesser@giaowlsmail.com"
12/1/2020;"CHILD CARE CENTER";"85013";"LITTLE KIDS N COMPANY";"626 WEST CAMPBELL AVENUE";"CDC-6101";5/1/2020;4/30/2023;"PHOENIX";"MARICOPA";"(602)279-7891";"(602)364-4807";86;"CDC6101";-112.081801;33.502234;;;;"C11";"AZ";"11";"13";"LICENSED";"LICENSED";"LICENSED";"azearlyeducation@gmail.com"
12/1/2020;"CHILD CARE CENTER";"85251";"LITTLE KINGS AND QUEENS";"4136 NORTH 82ND STREET";"CDC-11288";3/1/2019;2/28/2022;"SCOTTSDALE";"MARICOPA";"(480)946-8624";"(480)946-8624";128;"CDC11288";-111.904729;33.495904;;;;"C11";"AZ";"14";"13";"LICENSED";"LICENSED";"LICENSED";"leilataheri@gmail.com"
12/1/2020;"CHILD CARE CENTER";"86409";"LITTLE KNIGHTS AND LADIES C.D.C.";"1911 KINO AVENUE";"CDC-18301";9/19/2018;8/31/2021;"KINGMAN";"MOHAVE";"(928)529-5287";"(   )   -";59;"CDC18301";;;;;;"C11";"AZ";"N/A";"13";"LICENSED";"LICENSED";"LICENSED";"littleknightsandladies@suddenlink.net"
12/1/2020;"CHILD CARE CENTER";"86301";"LITTLE LIFE LEARNING CENTER";"2200 NORTH HWY 89";"CDC-17768";4/1/2020;3/31/2023;"PRESCOTT";"YAVAPAI";"(928)863-6562";"(928)541-9652";57;"CDC17768";;;;;;"C11";"AZ";"N/A";"12";"LICENSED";"LICENSED";"LICENSED";"littlelifeprescott@gmail.com"
12/1/2020;"CHILD CARE CENTER";"85742";"LITTLE LIONS PRESCHOOL";"3901 WEST LINDA VISTA";"CDC-15277";1/1/2019;12/31/2021;"TUCSON";"PIMA";"(520)352-5833";"(520)352-5842";24;"CDC15277";-111.04889;32.380642;;;;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"N/A";"lmoraga@pimajted.org"
