"rundate";"subtype";"ZIP";"LEGALNAME";"ADDRESS";"LICENSE";"LICENSE_EFFECTIVE";"LICENSE_EXPIRATION";"CITY";"COUNTY";"TELEPHONE";"FAXPHONE";"CAPACITY";"FACID";"N_LON";"N_LAT";"N_BLOCK";"FACTYPE";"state";"INFANT";"ONES";"TWOS";"THREE_TO_FIVE";"SCHOOL_AGE";"EMAIL"
3/1/2022;"CHILD CARE CENTER";"85607";"C.P.C. INC - BONITA HEAD START";"1201 EAST 16TH STREET";"CDC-5245";1/1/2022;12/31/2024;"DOUGLAS";"COCHISE";"(520)364-4347";"(520)622-1927";82;"CDC5245";-109.543655;31.350464;40030009022018;"C11";"AZ";"N/A";"8";"LICENSED";"LICENSED";"N/A";"bonita@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85635";"C.P.C. INC - CARMICHAEL HEAD START";"701 CARMICHAEL AVENUE";"CDC-3752";11/1/2021;10/31/2024;"SIERRA VISTA";"COCHISE";"(520)458-4366";"(520)622-1927";59;"CDC3752";-110.29983814;31.56261147;40030015022002;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"carmichael@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85713";"C.P.C. INC - CAVETT HEAD START";"2125 EAST POQUITA VISTA";"CDC-10823";10/1/2021;9/30/2024;"TUCSON";"PIMA";"(520)382-1501";"(520)622-1927";59;"CDC10823";-110.939846;32.186906;40190021005005;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"cavett@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85621";"C.P.C. INC - CHALLENGER HEAD START";"901 EAST CALLE MEYER";"CDC-3861";2/1/2022;1/31/2025;"NOGALES";"SANTA CRUZ";"(520)761-4331";"(520)622-1927";59;"CDC3861";-110.915583;31.372588;40239663011009;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"challenger@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85603";"C.P.C. INC - COBRE DEL SOL HEAD START";"951 HEAD START WAY";"CDC-8138";3/1/2020;2/28/2023;"BISBEE";"COCHISE";"(520)432-2664";"(520)622-1927";57;"CDC8138";-109.918956;31.40303;40030012001073;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"cds@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85739";"C.P.C. INC - CORONADO HEAD START";"3401 EAST WILD ROAD";"CDC-9714";4/1/2020;3/31/2023;"TUCSON";"PIMA";"(520)825-1669";"(520)622-1927";59;"CDC9714";-110.920599;32.47471;40190047161020;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"Coronado@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85743";"C.P.C. INC - DESERT WINDS HEAD START";"12655 WEST RUDASILL";"CDC-7465";1/1/2022;12/31/2024;"TUCSON";"PIMA";"(520)616-7050";"(520)622-1927";59;"CDC7465";-111.23759;32.313389;40190044252047;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"desertwinds@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85534";"C.P.C. INC - DUNCAN HEAD START";"1 MCGRATH AVENUE";"CDC-5072";10/1/2021;9/30/2024;"DUNCAN";"GREENLEE";"(928)359-2872";"(520)622-1927";59;"CDC5072";-109.094578;32.748105;40119603002055;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"duncan@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85756";"C.P.C. INC - ELVIRA HEAD START";"205 WEST ARAGON ROAD";"CDC-11133";1/1/2022;12/31/2024;"TUCSON";"PIMA";"(520)382-1503";"(520)622-1927";59;"CDC11133";-110.971757;32.128436;40190037053018;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"elvira@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85730";"C.P.C. INC - ERICKSON HEAD START";"3333 SOUTH MANN AVENUE";"CDC-5587";10/1/2019;9/30/2022;"TUCSON";"PIMA";"(520)745-1388";"(520)622-1927";59;"CDC5587";-110.849278;32.183195;40190040342003;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"erickson@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85705";"C.P.C. INC - HOMER DAVIS HEAD START";"4258 NORTH ROMERO ROAD";"CDC-5896";3/1/2020;2/28/2023;"TUCSON";"PIMA";"(520)696-0303";"(520)622-1927";57;"CDC5896";-111.003279;32.284756;40190045131000;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"homerdavis@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85705";"C.P.C. INC - JACINTO PARK HEAD START";"701 WEST TIPTON";"CDC-4222";11/1/2019;10/31/2022;"TUCSON";"PIMA";"(520)624-7843";"(520)622-1927";40;"CDC4222";-110.982494;32.254691;40190013031009;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"jacintopark@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85705";"C.P.C. INC - KEELING HEAD START";"435 EAST GLENN STREET";"CDC-6850";4/1/2021;3/31/2024;"TUCSON";"PIMA";"(520)696-6947";"(520)622-1927";25;"CDC6850";-110.964573;32.257797;40190013042007;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"keeling@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85607";"C.P.C. INC - LA ESCUELITA HEAD START";"460 1/2 F AVENUE";"CDC-0424";2/1/2020;1/31/2023;"DOUGLAS";"COCHISE";"(520)364-8298";"(520)622-1927";59;"CDC0424";-109.553101;31.338837;40030009013002;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"laescuelita@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85705";"C.P.C. INC - LAGUNA HEAD START";"5001 NORTH SHANNON ROAD";"CDC-4757";1/1/2021;12/31/2023;"TUCSON";"PIMA";"(520)887-5698";"(520)622-1927";57;"CDC4757";-111.029257;32.297909;40190045062021;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"laguna@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85706";"C.P.C. INC - LIBERTY HEAD START";"5495 SOUTH LIBERTY";"CDC-4755";8/1/2019;7/31/2022;"TUCSON";"PIMA";"(520)573-5824";"(520)622-1927";59;"CDC4755";-110.97308;32.152638;40190038022002;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"liberty@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85706";"C.P.C. INC - LOS NINOS SUNNYSIDE HEAD START";"5445 SOUTH ALVERNON WAY";"CDC-3655";9/1/2021;8/31/2024;"TUCSON";"PIMA";"(520)574-9515";"(520)622-1927";57;"CDC3655";-110.909066;32.153452;40190041122003;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"lns@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85653";"C.P.C. INC - MARANA HEAD START";"13660 NORTH MCDUFF ROAD";"CDC-5547";9/1/2019;8/31/2022;"MARANA";"PIMA";"(520)682-4415";"(520)622-1927";59;"CDC5547";-111.209317;32.45473;40190044302028;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"marana@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85706";"C.P.C. INC - MISSION MANOR HEAD START";"6009 SOUTH SANTA CLARA";"CDC-3639";11/1/2019;10/31/2022;"TUCSON";"PIMA";"(520)573-3745";"(520)622-1927";99;"CDC3639";-110.981711;32.142364;40190039022008;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"missionmanor@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85713";"C.P.C. INC - MORNING STAR HEAD START";"1201 EAST 25TH STREET";"CDC-5902";1/1/2020;12/31/2022;"TUCSON";"PIMA";"(520)623-4840";"(520)622-1927";59;"CDC5902";-110.952906;32.203392;40190022021006;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"morningstar@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85621";"C.P.C. INC - NOGALES HEAD START";"125 EAST MADISON";"CDC-0598";2/1/2021;1/31/2024;"NOGALES";"SANTA CRUZ";"(520)287-2060";"(520)622-1927";99;"CDC0598";-110.929918;31.342989;40239663022010;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"nogales@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85705";"C.P.C. INC - NORTHWEST HEAD START CENTER";"2160 NORTH 6TH AVENUE";"CDC-1080";2/1/2022;1/31/2025;"TUCSON";"PIMA";"(520)884-8180";"(520)622-1927";25;"CDC1080";-110.968655;32.247476;40190014004001;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"northwest@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85543";"C.P.C. INC - PIMA HEAD START";"310 SOUTH 200 EAST STREET";"CDC-7274";12/1/2021;11/30/2024;"PIMA";"GRAHAM";"(928)485-3024";"(520)622-1927";57;"CDC7274";-109.82;32.89;40099611003169;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"pima@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85705";"C.P.C. INC - PRINCE HEAD START";"90 EAST KING ROAD";"CDC-7462";3/1/2022;2/28/2025;"TUCSON";"PIMA";"(520)408-9129";"(520)622-1927";59;"CDC7462";-110.970849;32.273696;40190026041000;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"prince@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85635";"C.P.C. INC - PUEBLO DEL SOL HEAD START";"5142 PASEO LAS PALMAS";"CDC-3052";4/1/2020;3/31/2023;"SIERRA VISTA";"COCHISE";"(520)458-9749";"(520)622-1927";57;"CDC3052";-110.244667;31.544998;40030017013011;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"pds@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85648";"C.P.C. INC - RIO RICO HEAD START";"1412 WEST FRONTAGE ROAD";"CDC-7275";11/1/2021;10/31/2024;"RIO RICO";"SANTA CRUZ";"(520)761-8063";"(520)622-1927";59;"CDC7275";-111.014565;31.508669;40239661052002;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"riorico@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85711";"C.P.C. INC - ROBERTS HEAD START";"1945 SOUTH COLUMBUS BLVD";"CDC-12138";9/1/2020;8/31/2023;"TUCSON";"PIMA";"(520)382-1505";"(520)622-1927";59;"CDC12138";-110.900716;32.199354;40190035014002;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"roberts@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85706";"C.P.C. INC - SANTA CLARA HEAD START";"6970 SOUTH SANTA CLARA";"CDC-5897";3/1/2020;2/28/2023;"TUCSON";"PIMA";"(520)889-7478";"(520)622-1927";40;"CDC5897";-110.982035;32.124935;40190039031000;"C11";"AZ";"N/A";"N/A";"N/A";"N/A";"N/A";"santaclara@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85701";"C.P.C. INC - SANTA ROSA CHILD DEVELOPMENT CENTER";"1065 SOUTH 10TH AVENUE";"CDC-9212";1/1/2020;12/31/2022;"TUCSON";"PIMA";"(520)382-1500";"(520)622-1927";99;"CDC9212";-110.974449;32.208958;40190009002016;"C11";"AZ";"N/A";"24";"LICENSED";"LICENSED";"N/A";"santarosa@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85548";"C.P.C. INC - SIERRA BONITA HEAD START";"1415 CENTRAL AVENUE";"CDC-6702";12/1/2020;11/30/2023;"SAFFORD";"GRAHAM";"(928)428-0455";"(520)622-1927";40;"CDC6702";-109.710911;32.823243;40099614002001;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"sierrabonita@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85713";"C.P.C. INC - SOUTHSIDE HEAD START";"317 WEST 23RD STREET";"CDC-0279";4/1/2022;3/31/2025;"TUCSON";"PIMA";"(520)622-4552";"(520)622-1927";59;"CDC0279";-110.974306;32.205413;40190010002018;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"southside@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85706";"C.P.C. INC - SUMMIT VIEW HEAD START";"10170 SOUTH EPPERSON LANE";"CDC-9329";9/1/2019;8/31/2022;"TUCSON";"PIMA";"(520)573-7780";"(520)622-1927";59;"CDC9329";-110.942747;32.066106;40190041141020;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"summitview@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85706";"C.P.C. INC - SUNNYSIDE HEAD START";"1105 EAST DREXEL ROAD";"CDC-1569";3/1/2022;2/28/2025;"TUCSON";"PIMA";"(520)382-1555";"(520)622-1927";94;"CDC1569";-110.953678;32.148794;40190037072014;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"sunnyside@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85705";"C.P.C. INC - WALTER DOUGLAS HEAD START";"3232 NORTH FLOWING WELLS";"CDC-4162";11/1/2019;10/31/2022;"TUCSON";"PIMA";"(520)292-6319";"(520)622-1927";59;"CDC4162";-110.994881;32.265759;40190045053021;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"walterdouglas@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85621";"C.P.C. INC - WESTERN HEAD START";"686 NORTH WESTERN AVENUE";"CDC-5541";8/1/2019;7/31/2022;"NOGALES";"SANTA CRUZ";"(520)287-3662";"(520)622-1927";59;"CDC5541";-110.945385;31.345856;40239664022001;"C11";"AZ";"N/A";"N/A";"N/A";"N/A";"N/A";"western@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85643";"C.P.C. INC - WILLCOX HEAD START";"501 WEST STEWART STREET";"CDC-6218";9/1/2020;8/31/2023;"WILLCOX";"COCHISE";"(520)384-0016";"(520)622-1927";59;"CDC6218";-109.835985;32.255287;40030002021034;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"willcox@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85712";"C.P.C. INC - WRIGHT HEAD START";"2080 NORTH COLUMBUS BLVD";"CDC-5586";8/1/2019;7/31/2022;"TUCSON";"PIMA";"(520)326-9047";"(520)622-1927";97;"CDC5586";-110.901042;32.246938;40190029012005;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"wright@childparentcenters.org"
3/1/2022;"CHILD CARE CENTER";"85349";"C.P.L.C./ ARIZONA MIGRANT & SEASONAL HEAD START";"649 NORTH 9TH AVENUE";"CDC-9811";10/1/2020;9/30/2023;"SAN LUIS";"YUMA";"(928)627-5701";"(928)627-0310";105;"CDC9811";-114.756495;32.482799;40270114063023;"C11";"AZ";"N/A";"12";"LICENSED";"LICENSED";"N/A";"Estela.amaya@cplc.org"
3/1/2022;"CHILD CARE CENTER";"85364";"C.P.L.C./ E.C.D.";"1875 SOUTH 45TH AVENUE";"CDC-12247";12/1/2020;11/30/2023;"YUMA";"YUMA";"(928)783-2363";"(   )   -";136;"CDC12247";-114.675723;32.693766;40270009054010;"C11";"AZ";"N/A";"8";"N/A";"LICENSED";"N/A";
3/1/2022;"CHILD CARE CENTER";"85349";"C.P.L.C./ E.H.S. BIENSTAR FIRST STEP";"690 NORTH 10TH AVENUE";"CDC-15353";6/1/2019;5/31/2022;"SAN LUIS";"YUMA";"(928)722-7242";"(928)627-0069";20;"CDC15353";-114.752565;32.490165;40270114061026;"C11";"AZ";"4";"16";"LICENSED";"LICENSED";"N/A";"mariaelena.perez@cplc.org"
3/1/2022;"CHILD CARE CENTER";"85349";"C.P.L.C./ E.H.S. LA CASITAS";"541 6TH AVENUE";"CDC-15352";6/1/2019;5/31/2022;"SAN LUIS";"YUMA";"(928)627-4970";"(928)627-8711";16;"CDC15352";-114.769451;32.487726;40270114052002;"C11";"AZ";"N/A";"16";"LICENSED";"LICENSED";"N/A";"sarai.vigil@cplc.org"
3/1/2022;"CHILD CARE CENTER";"85131";"C.P.L.C./ ELOY MIGRANT & SEASONAL HEAD START";"201 NORTH SUNSHINE BOULEVARD";"CDC-15709";3/1/2020;2/28/2023;"ELOY";"PINAL";"(520)466-3438";"(520)466-2551";40;"CDC15709";-111.55029;32.751108;40210020032034;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"twila.ibarra@cplc.org"
3/1/2022;"CHILD CARE CENTER";"85364";"C.P.L.C./ RANCHO VIEJO-M.E.H.S./ RANCHO VIEJO C.C.P.";"930 S AVENUE C";"CDC-15351";8/1/2019;7/31/2022;"YUMA";"YUMA";"(928)627-4970";"(928)627-7168";42;"CDC15351";-114.667592;32.71095;40270004022017;"C11";"AZ";"16";"26";"N/A";"N/A";"N/A";"heidy.lira@cplc.org"
3/1/2022;"CHILD CARE CENTER";"85349";"C.P.L.C./ SAN LUIS MIGRANT";"1770 ""D"" STREET";"CDC-8283";8/1/2020;7/31/2023;"SAN LUIS";"YUMA";"(928)627-7254";"(602)307-9752";100;"CDC8283";-114.759525;32.492155;40270114063002;"C11";"AZ";"N/A";"16";"LICENSED";"LICENSED";"N/A";"claudia.ozuna@cplc.org"
3/1/2022;"CHILD CARE CENTER";"85349";"C.P.L.C./ SAN LUIS MIGRANT HEAD START";"1522 EAST C STREET";"CDC-6742";12/1/2020;11/30/2023;"SAN LUIS";"YUMA";"(928)627-2037";"(928)627-1234";36;"CDC6742";-114.764599;32.490651;40270114051018;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"ANGELICA.TEJEDA@CPLC.ORG"
3/1/2022;"CHILD CARE CENTER";"85350";"C.P.L.C./ SOMERTON MIGRANT & SEASONAL HEAD START";"435 WEST JACOBS";"CDC-6741";12/1/2020;11/30/2023;"SOMERTON";"YUMA";"(928)627-2002";"(602)307-9752";87;"CDC6741";-114.713432;32.600451;40270115032034;"C11";"AZ";"4";"16";"LICENSED";"LICENSED";"N/A";"elsa.zamudio@cplc.org"
3/1/2022;"CHILD CARE CENTER";"85643";"C.P.L.C./ WILLCOX MIGRANT & SEASONAL HEAD START";"611 NORTH BISBEE AVENUE";"CDC-8720";3/1/2022;2/28/2025;"WILLCOX";"COCHISE";"(520)384-3140";"(   )   -";135;"CDC8720";-109.84123;32.261832;40030002021000;"C11";"AZ";"4";"16";"LICENSED";"LICENSED";"N/A";"brenda.rivera@cplc.org"
3/1/2022;"CHILD CARE CENTER";"85033";"CACTUS KIDS PRESCHOOL";"7418 WEST INDIAN SCHOOL ROAD";"CDC-16807";12/1/2019;11/30/2022;"PHOENIX";"MARICOPA";"(623)846-6900";"(623)670-5928";204;"CDC16807";-112.21952;33.494798;40131096023015;"C11";"AZ";"8";"71";"LICENSED";"LICENSED";"LICENSED";"sunrissa@gmail.com"
3/1/2022;"CHILD CARE CENTER";"85635";"CACTUS WREN COOPERATIVE PRESCHOOL";"800 TAYLOR DR";"CDC-15907";8/1/2020;7/31/2023;"SIERRA VISTA";"COCHISE";"(520)459-3535";"(   )   -";30;"CDC15907";-110.302224;31.562445;40030015023019;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"LICENSED";"directorcactuswrenpreschool@gmail.com"
3/1/2022;"CHILD CARE CENTER";"85737";"CADENCE ACADEMY PRESCHOOL";"10361 NORTH ORACLE ROAD";"CDC-12100";7/1/2020;6/30/2023;"TUCSON";"PIMA";"(520)797-7527";"(520)797-9837";187;"CDC12100";-110.96154;32.394448;40190046191004;"C11";"AZ";"12";"25";"N/A";"N/A";"N/A";"angel.hasseltine@cadence-education.com"
3/1/2022;"CHILD CARE CENTER";"85711";"CADENCE ACADEMY PRESCHOOL";"1702 SOUTH CRAYCROFT";"CDC-5679";6/1/2019;5/31/2022;"TUCSON";"PIMA";"(520)790-2511";"(520)790-5233";101;"CDC5679";-110.875262;32.201476;40190035021009;"C11";"AZ";"10";"10";"LICENSED";"LICENSED";"LICENSED";"Angel.Hesseltine@phoenixchildrensacademy.com"
3/1/2022;"CHILD CARE CENTER";"85379";"CALIBRE ACADEMY SURPRISE";"15688 WEST ACOMA DRIVE";"CDC-12270";10/1/2020;9/30/2023;"SURPRISE";"MARICOPA";"(623)556-2179";"(623)556-2806";246;"CDC12270";-112.397399;33.617005;40130610323008;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"sharon.kaplan@calibreacademy.com"
3/1/2022;"CHILD CARE CENTER";"85051";"CALVARY CENTRAL DAY CARE, INC.";"2831 WEST GLENDALE AVENUE";"CDC-13632";9/1/2019;8/31/2022;"PHOENIX";"MARICOPA";"(602)242-1945";"(602)336-0751";59;"CDC13632";-112.120591;33.538422;40131069001000;"C11";"AZ";"11";"11";"LICENSED";"LICENSED";"LICENSED";"aarenesh@calvarycentral.org"
3/1/2022;"CHILD CARE CENTER";"86406";"CALVARY CHRISTIAN ACADEMY";"1605 SOUTH MCCULLOCH BLVD";"CDC-10906";10/1/2021;9/30/2024;"LAKE HAVASU CITY";"MOHAVE";"(928)854-5465";"(928)864-4007";105;"CDC10906";-114.258857;34.459155;40159534021035;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"LICENSED";"office@ccahavasu.com"
3/1/2022;"CHILD CARE CENTER";"85282";"CALVARY CHRISTIAN PRESCHOOL & DAYCARE";"2334 EAST SOUTHERN AVENUE";"CDC-17022";8/1/2020;7/31/2023;"TEMPE";"MARICOPA";"(480)491-1872";"(480)345-0647";96;"CDC17022";-111.888912;33.393145;40133194041016;"C11";"AZ";"10";"25";"LICENSED";"LICENSED";"LICENSED";"emily-higgins@hotmail.com"
3/1/2022;"CHILD CARE CENTER";"85142";"CALVARY CHRISTIAN SCHOOL";"19248 EAST SAN TAN BOULEVARD";"CDC-11662";9/1/2019;8/31/2022;"QUEEN CREEK";"MARICOPA";"(480)988-4241";"(480)988-5560";36;"CDC11662";-111.668013;33.212239;40138172001017;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"mary.chapman@ccsqcaz.org"
3/1/2022;"CHILD CARE CENTER";"85032";"CALVARY NORTH PRESCHOOL";"14201 NORTH 32ND STREET";"CDC-15937";12/1/2020;11/30/2023;"PHOENIX";"MARICOPA";"(602)992-6922";"(602)992-9527";96;"CDC15937";-112.013128;33.615374;40131033023012;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"LICENSED";"cindy@calvarynorth.com"
3/1/2022;"CHILD CARE CENTER";"85142";"CAMBRIDGE CUBS";"20365 EAST OCOTILLO ROAD";"CDC-18095";9/1/2020;8/31/2023;"QUEEN CREEK";"MARICOPA";"(480)987-3577";"(   )   -";59;"CDC18095";-111.643232;33.248531;40138170002002;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"cwilson@cambridgeacademyaz.com"
3/1/2022;"CHILD CARE CENTER";"85260";"CAMELBACK DESERT SCHOOL";"9606 EAST KALIL DRIVE";"CDC-14099";5/1/2020;4/30/2023;"SCOTTSDALE";"MARICOPA";"(480)451-3130";"(480)451-8197";307;"CDC14099";-111.873668;33.590835;40132168361014;"C11";"AZ";"N/A";"22";"LICENSED";"LICENSED";"LICENSED";"victoria.sully@nlcinc.com"
3/1/2022;"CHILD CARE CENTER";"85018";"CAMELBACK HOLISTIC PRESCHOOL";"3530 NORTH 32ND STREET";"CDC-17828";4/20/2020;3/31/2023;"PHOENIX";"MARICOPA";"(602)540-6323";"(   )   -";59;"CDC17828";-112.013123;33.489944;40131108013007;"C11";"AZ";"N/A";"18";"LICENSED";"LICENSED";"LICENSED";"tfominaya@outlook.com"
3/1/2022;"CHILD CARE CENTER";"85716";"CAPSTONE QUEST ACADEMY";"1150 NORTH COUNTRY CLUB RD";"CDC-17293";7/1/2021;6/30/2024;"TUCSON";"PIMA";"(520)620-1100";"(520)624-4376";59;"CDC17293";-110.926606;32.237472;40190018021004;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"cbravo@amerischools.org"
3/1/2022;"CHILD CARE CENTER";"85364";"CAPSTONE QUEST ACADEMY";"1220 SOUTH 4TH AVENUE";"CDC-17301";7/1/2021;6/30/2024;"YUMA";"YUMA";"(928)919-7203";"(928)919-7205";59;"CDC17301";-114.624814;32.705483;40270006002000;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"adaugherty@amerischools.org"
3/1/2022;"CHILD CARE CENTER";"85364";"CAPSTONE QUEST ACADEMY";"2098 SOUTH 3RD AVENUE";"CDC-17302";7/1/2021;6/30/2024;"YUMA";"YUMA";"(928)329-1100";"(928)329-9177";59;"CDC17302";-114.623389;32.69033;40270007003003;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"dsalinas@amerischools.org"
3/1/2022;"CHILD CARE CENTER";"85712";"CARDEN CHRISTIAN ACADEMY CENTRAL";"2727 NORTH SWAN ROAD";"CDC-8409";8/1/2020;7/31/2023;"TUCSON";"PIMA";"(520)327-8991";"(520)318-0071";45;"CDC8409";-110.892715;32.257118;40190029011000;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"LICENSED";"ccac@northswanbaptist.com"
3/1/2022;"CHILD CARE CENTER";"85248";"CAREBEAR PRESCHOOL";"244 WEST CHANDLER HEIGHTS ROAD";"CDC-14055";8/1/2021;7/31/2023;"CHANDLER";"MARICOPA";"(480)802-0058";"(480)895-0494";175;"CDC14055";-111.8472;33.233177;40138130002011;"C11";"AZ";"N/A";"10";"LICENSED";"LICENSED";"LICENSED";"missbecky@carebearpreschool.com"
3/1/2022;"CHILD CARE CENTER";"85016";"CAREER SUCCESS SAGE";"3141 EAST CHEERY LYNN ROAD";"CDC-15245";12/1/2021;11/30/2024;"PHOENIX";"MARICOPA";"(602)955-0355";"(602)955-4805";24;"CDC15245";-112.014259;33.484936;40131108021008;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"rgutierrez@csschools.com"
3/1/2022;"CHILD CARE CENTER";"85705";"CASA DE LOS NINOS KELLY EARLY EDUCATION CENTER";"328 EAST HELEN STREET";"CDC-18560";5/1/2019;4/30/2022;"TUCSON";"PIMA";"(520)344-6678";"(   )   -";126;"CDC18560";-110.966272;32.237091;40190004002013;"C11";"AZ";"10";"36";"LICENSED";"LICENSED";"N/A";"kellyearlyeducationcenter@casadelosninos.org"
3/1/2022;"CHILD CARE CENTER";"85225";"CASA DE MONTESSORI, LLC";"955 WEST ELLIOT ROAD";"CDC-18849";10/12/2020;9/30/2023;"CHANDLER";"MARICOPA";"(480)525-1572";"(   )   -";39;"CDC18849";-111.857915;33.349516;40134222091000;"C11";"AZ";"N/A";"10";"LICENSED";"LICENSED";"LICENSED";"mary.casademontessori@gmail.com"
3/1/2022;"CHILD CARE CENTER";"85364";"CASA DE NINOS";"585 EAST 16TH STREET";"CDC-11289";3/1/2022;2/28/2025;"YUMA";"YUMA";"(928)782-7770";"(   )   -";99;"CDC11289";-114.61371;32.698317;40270007002002;"C11";"AZ";"N/A";"11";"LICENSED";"LICENSED";"LICENSED";"casadeninos2@gmail.com"
