"OBJECTID";"Provider OBJECTID";"Type";"Date";"Result";"Conclusion"
257;330;"Complaint";"08-29-2018";"Unsubstantiated with Concern";"A complaint was received on May 23, 2018, regarding an infant being fed a bottle with alcohol in it. An investigation was completed by Institutional Abuse Unit Investigator Michael Zuka and the findings were no evidence or concern.  Concerning OCCL’s investigation, this complaint is unsubstantiated with concerns. The concerns are children’s files were incomplete and the provider failed to document infant feedings, sleep checks, and diaper changes."
486;567;"Complaint";"08-15-2017";"Substantiated";"On August 4, 2017, a complaint was called into the report line and not accepted for investigation by the Institutional Abuse Unit. OCCL received the complaint on August 4, 2017, regarding the center staff failing to administer sunblock to a child, which resulted in the child getting a sunburn on her back.   This complaint is substantiated because the staff provided sunblock lotion to Child #1 without parent permission. Additionally, Staff # 2 assisted with providing sunblock lotion to children and was not certified to administer medication. After Child #1 told Staff #2 that her back was sunburned, Staff #2 did not document the injury or administer first aid."
947;849;"Complaint";"01-11-2018";"Substantiated";"A complaint was received on December 22, 2017, regarding a child receiving first and second degree burns at the center. An investigation was completed by the Institutional Abuse Unit Investigator, Michelle Rogers, and the findings were unsubstantiated with concern. OCCL investigated this complaint on January 3, 2018. This complaint is substantiated for lack of supervision, using water that was above 120 degrees F to warm a bottle, and for placing a bowl of 160-degree F water within a child's reach.  Staff #1 admitted placing a bowl of hot water to warm an infant bottle at the edge of the sink where it was accessible to Child #1.  As a result, Child #1 received first and second degree burns.  A  video of the incident shows both staff present around the sink area and Child #1 can be seen walking in that area.  Staff admitted Child #1 is very explorative; therefore, Staff should be aware of all children's whereabouts at all times and not place bowls of hot water within a child's reach."
949;849;"Complaint";"09-27-2016";"Unsubstantiated with Concern";"On August 18, 2016, the Office of Child Care Licensing received a complaint regarding an allegation of improper discipline and improper staff-to-child ratio.   An investigation was conducted on August 23, 2016.  The complaint is unsubstantiated with concern. At the time of the visit, the allegation of improper discipline could not be substantiated and the correct number of staff were present.  However, the one-year-old classroom exceeded the maximum number of children allowed to be in one room."
946;849;"Complaint";"07-09-2019";"Substantiated";"A complaint was received on June 13, 2019, regarding the center having mice and the center staff failing to clean up the droppings. The specialist conducted an investigation on June 17, 2019.  This complaint is substantiated because Ms. Hudson said the center has a mice problem, they have hired an exterminator, and she is requiring the staff to conduct a more detailed cleaning throughout the day."
945;849;"Complaint";"10-24-2019";"Substantiated";"A complaint was received on September 9, 2019, regarding improper staff-to-child ratios. The specialist conducted an investigation on September 20, 2019.  This complaint is substantiated for improper staff-to-child ratios because the attendance records from September 3, 2019, to September 13, 2019, reflected that seven unqualified staff on multiple days and in different classrooms were alone with children. Improper staff-to-child ratio and exceeding maximum group was found in the school-age classroom because attendance records showed a qualified staff member was alone with over 15 school-age children on multiple days. Attendance records showed multiple staff members were signed into two classrooms at the same time. The final concern is that one staff was employed for over 30 days without being fingerprinted for the center and she was left alone with children without being determined eligible by the criminal history unit."
942;849;"Complaint";"06-24-2020";"No Evidence to Substantiate with Concern";"On May 15, 2020, a complaint was received regarding an unqualified staff member working in the role of administrator. An email and telephone investigation was conducted on May 20, 2020, and concluded on June 8, 2020. There is no evidence to substantiate this complaint because the owner provided records showing when Staff #1 was present a qualified administrator was present. The owner, Staff #1, and Staff #2 denied that Staff #1 was the administrator. A concern noted during this complaint was that Staff #1’s current job description does not accurately depict the duties she performs at the center."
944;849;"Complaint";"11-04-2019";"Substantiated";"A complaint was received on October 7, 2019, regarding Staff #1 not following diaper-changing procedures. The specialist conducted an investigation on October 11, 2019 and October 21, 2019.  This complaint is substantiated because Staff #3 said she has seen Staff #1 sit on the toilet seat in the bathroom to change children’s diapers."
948;849;"Complaint";"04-19-2017";"Unsubstantiated with Concern";"On March 30, 2017, OCCL received a complaint regarding an allegation of inappropriate care of infants. An investigation was conducted on April 4, 2017.  The complaint is unsubstantiated with concern. At the time of the visit, the allegation of inappropriate care of infants could not be substantiated. However, the attendance sheet did not document the specific date of attendance."
950;849;"Complaint";"06-29-2016";"Substantiated";"On May 12, 2016, the Office of Child Care Licensing received a complaint regarding an allegation of a child receiving multiple bite marks and an injury to the head without the parent being given an accident report or reasonable explanation. The complaint also alleged children were not being properly supervised. An investigation was conducted on May 17, May 25, June 6, June 20, and June 27, 2016. The complaint is substantiated because the center failed to call the Complainant about the child's injury immediately after it happened.  In addition, two staff members were alone with children and are not qualified to be.  In addition, on May 11, 2016, during shift change no one told Staff #1 of the child's injury."
943;849;"Complaint";"02-28-2020";"Unsubstantiated with Concern";"A complaint was received on February 3, 2020, regarding Child #1 falling and hitting her mouth on a toy that was not age appropriate, failure to provide a copy of accident/injury reports, and that Ms. Schreiber was not available to speak with the parent regarding her concerns. The specialist conducted an investigation on February 10, 2020, and February 21, 2020.  This complaint is unsubstantiated with concern.  The allegations that the parent did not receive accident/injury reports, that the parent was unable to discuss the concerns with staff, and that the play equipment was not age appropriate are unsubstantiated based on documentation reviewed by Specialist Donovan as well as observations of the play equipment. The concern is that the parent was not notified immediately regarding a serious injury that involved impact to the child’s head. Text messages showed the parent was notified more than two hours after the child hit her mouth on the merry-go-cycle."
951;849;"Complaint";"06-23-2016";"Unsubstantiated with Concern";"On May 25, 2016, the Office of Child Care Licensing received a complaint regarding a child having an unexplained bruise and a child receiving the wrong bottle of formula. An investigation was conducted on June 6, 2016. The complaint is unsubstantiated with concern. The staff member does not recall the child having an injury while in care and the bruise may have occurred when the child was out of the center's care. The concern is that the staff admitted to not completing daily health checks for each child in care."
1108;935;"Complaint";"03-20-2020";"Substantiated";"A complaint was received on February 28, 2020, regarding the sanitation of the large family home. An investigation was conducted on March 5, 2020. This complaint is substantiated because the specialists observed mouse droppings in the child care area, a child-size table had stacks of paper on it, and a plugged in vacuum cleaner. Additionally, Mrs. Green- Hayman did not deny the allegations in the complaint. An additional concern noted during this investigation was lack of supervision because the specialists observed Mrs. Green- Hayman sitting in an SUV while two children were playing alone in the outdoor play area."
1107;935;"Complaint";"10-23-2020";"Substantiated";"On October 5, 2020, OCCL received a complaint regarding children being spanked on their hands by provider Lashanda Hayman, in the bathroom. An investigation was conducted on October 9, 2020. The complaint was substantiated for failure to use approved methods of positive behavior management because the provider stated she observed Staff #1 hit a child, and a child in care stated the provider has hit children inside and outside of the child care facility."
1109;935;"Complaint";"05-08-2019";"Substantiated";"A complaint was received on April 8, 2019, regarding the large family home being overcapacity. An investigation was conducted on April 15, 2019. This complaint is substantiated because the specialist observed 12 children in care when the maximum capacity is ten children. During the investigation, the specialist observed children sleeping without appropriate nap equipment and without top and bottom covers. Additionally, nap mat were not placed 18 inches apart. Lastly, the attendance records for children were not accurate because many children were signed in when they arrived, however they were not signed out when they left for the day."
717;736;"Complaint";"01-11-2018";"Substantiated";"On December 12, 2017, a complaint regarding a child being left in soiled clothing at Beginner's Choice Day Care Center was called into the report line and not accepted for investigation by the Institutional Abuse Unit. It was sent to the Office of Child Care Licensing for investigation on December 17, 2017. An investigation occurred on December 19, 2017. This complaint is substantiated because the center failed to provide clean clothing for a child who had a toileting accident. Although, Parent #1 did not provide a change of clothing for Child #1, the center is required to have extra clothing available.  Staff #1 contacted Parent #1 twice via Facebook messenger due to this being their method of communication.  An additional concern was cited because the center failed to have evidence of security procedures. Specialist Trim entered the center and there was no staff at the front office and this specialist was able to gain access to children without staff intervention."
14;17;"Complaint";"07-09-2020";"No Evidence to Substantiate with Concern";"On June 24, 2020, a complaint was received regarding staff members being rough with and possibly hitting a child in care in addition to withholding food and water. An investigation was conducted on June 25, 2020. There was no evidence to substantiate this complaint for improper discipline because all staff members denied Child #1 was ever hit or treated roughly by a staff member and they denied not giving Child #1 food and water. In addition, Adult #1 confirmed that Child #1 never told her a staff member hit him.  A concern noted was a staff member was not wearing a mask properly while caring for children when they were unable to social distance."
158;191;"Complaint";"03-24-2020";"Substantiated";"On March 10, 2020, a complaint was received regarding a lack of supervision, providing direct care for a person recovering from a long-term illness, allowing an unapproved person to provide children care, failing to quickly intervene and use positive behavior management strategies, failure to communicate with parent’s, and failing to provide nutritious snacks.  An investigation was conducted on March 13, 2020.  This complaint is substantiated for a lack of supervision, an unapproved person providing child care, and failure to use approved methods of positive behavior management.  The licensee stated she allowed three school-age children to play outside alone.  A person who was not approved by OCCL and has not been determined eligible, by completing a comprehensive background check for the family child care home, was alone with children.  The licensee did not intervene quickly and use approved methods of positive behavior management when there was a behavior concern, because the childre [DataMsg: This field has been shortened.  Contact OCCL at 302-892-5800 (New Castle County) or 302-739-5487 (Kent and Sussex) for more information.]"
362;423;"Complaint";"10-31-2019";"No Evidence to Substantiate with Concern";"A complaint was received on October 21, 2019, regarding the administrator/curriculum coordinator not being present the required amount of time; staff who are not qualified at a minimum as an early childhood teacher being designated as responsible for the center in the administrator's absence; staff using materials, such as rap music and TV, that are not age and developmentally appropriate; and staff not limiting the time toddlers spend, while awake, in confining equipment. An investigation was conducted on October 29, 2019. The complaint is unsubstantiated with concern. The administrator provided documentation showing that she was present the required amount of time and a staff who is qualified at a minimum as an early childhood teacher was designated as responsible for the center in the administrator's absence. In addition, the allegations regarding staff using materials, such as rap music, that are not age and developmentally appropriate and staff not limiting the time toddlers spend [DataMsg: This field has been shortened.  Contact OCCL at 302-892-5800 (New Castle County) or 302-739-5487 (Kent and Sussex) for more information.]"
364;423;"Complaint";"09-04-2018";"Substantiated";"On July 23, 2018, the Office of Child Care Licensing received a complaint regarding security procedures, personal cell phone use in the classroom, and staff eating meals in the classroom while caring for infants.  An investigation was conducted on August 1, 2018.  The complaint is substantiated for improper security procedures.  A staff member admitted to allowing children to open the front door of the center.  The same staff member and the owner/administrator denied that cell phones are used for personal use in the classroom.  While the owner/administrator stated the staff member is allowed to eat snacks throughout the day due to being pregnant, the staff member denied eating in the classroom."
363;423;"Complaint";"04-03-2019";"Substantiated";"A complaint was received on March 18, 2019, regarding many children being alone with one staff member and insufficient meals being served to children. An investigation was conducted on March 26, 2019 with a follow-up visit on March 29, 2019. This complaint is substantiated because there were 31 children in a classroom with a staff member who is not qualified to be alone with children.  At the follow-up visit on March 29, 2019, the same staff member who is not qualified to be alone with children was in a classroom with 15 preschoolers.  In addition, the classroom exceeded maximum group size because the group size is determined by the youngest child present in the room. Lastly, the meals served did not match the planned meals and did not contain a grain component as required. Other non-compliances cited were the following: an unqualified staff member was assigned to be in charge of the day-to- day operations of the center in the absence of the administrator, infants’ feeding statements w [DataMsg: This field has been shortened.  Contact OCCL at 302-892-5800 (New Castle County) or 302-739-5487 (Kent and Sussex) for more information.]"
482;559;"Complaint";"05-04-2018";"Substantiated";"A complaint was received on April 3, 2018, regarding the center staff failing to call an ambulance when a child turned blue.  An investigation was conducted on April 6, 2018. This complaint is substantiated because the staff contacted the child’s parent rather than emergency services after a child turned blue, vomited, and was shivering. Additional concerns are that staff admitted to accepting Child #1 into care after Parent #1 informed staff that Child #1 was sick had a fever that morning and was given medication."
483;559;"Complaint";"10-23-2017";"Unsubstantiated with Concern";"A complaint was received on October 13, 2017, regarding lack of supervision.  An investigation was conducted on October 16, 2017.  This complaint is unsubstantiated with concerns.  There is no evidence to support the claim that Child#1 was not supervised. The concerns are that Child #1 sprained his elbow and staff members were not aware it happened and the administrator failed to notify OCCL using direct voice contact within one day of learning that the child was seen medically."
632;689;"Complaint";"05-25-2018";"Unsubstantiated with Concern";"A complaint was called into the child abuse and neglect report line on May 8, 2018, and not accepted for investigation by the Institutional Abuse Unit. The Office of Child Care Licensing received the complaint on May 10, 2018, regarding an alleged burn on the thumb of a child in care without an accident report being given to the parents regarding the injury. An investigation was conducted on May 15, 2018. This complaint is unsubstantiated with concern. There is no evidence to support the claim that the child was injured at the center based on the doctor’s diagnoses. The concern is that a staff noticed the child’s skin was peeling when the child arrived for care but failed to document it as a part of the daily health observation."
631;689;"Complaint";"12-31-2019";"Substantiated";"On November 5, 2019, the Child Abuse and Neglect Report Line received a complaint regarding a child having multiple bruises on his body. This complaint was accepted by the Institutional Abuse Unit and the Office of Child Care Licensing (OCCL) for investigation. An investigation was conducted on November 7, 2019. On December 9, 2019, Institutional Abuse investigators reported their findings to be unsubstantiated with concern because they could not prove a staff member caused the unexplained marks on Child # 1. OCCL was cleared to complete the investigation. This complaint was substantiated for improper discipline based on statements by three staff members. One staff member said Staff #1 gets right in the children’s faces, raises her voice, sometimes yells at them, and sometimes makes them cry.  Two staff members, including Staff #1, reported that a child was denied food for not following directions."
634;689;"Complaint";"03-28-2016";"Substantiated";"A complaint was received on March 16, 2016, regarding a child left unsupervised on the bus for about an hour and a half.  An investigation was done on March 18, 2016, This complaint is substantiated for lack of supervision, Administrator Martella Stanley confirmed the child was left unsupervisied on the bus for about an hour."
630;689;"Complaint";"03-03-2020";"Substantiated";"On January 15, 2020, a complaint was received regarding a staff member cursing at the children, hitting one child on the bottom, and the center’s administration not making the parents aware of situations concerning improper discipline. An investigation was conducted on January 22, 2020. This complaint is substantiated for improper discipline because Staff #1 was observed hitting a child on the buttocks, and Staff #1 admitted to cursing in front of the children.  There is no evidence to support the claim that parents were not informed of this situation."
633;689;"Complaint";"07-06-2017";"Substantiated";"A complaint was received June 19, 2017, regarding inadequate reporting procedures.  An investigation was conducted on June 29, 2017.  This complaint is substantiated for inadequate reporting procedures because the administrator did not contact OCCL after receiving notification that Child #1 required medical treatment and the center failed to contact a child's parent after the child fell and reported continual pain after the child fell."
629;689;"Complaint";"04-30-2020";"Substantiated";"On March 11, 2020, the Office of Child Care Licensing received a complaint regarding a child not being fed for over six hours and not notifying the Complainant via the app the center uses of an incident regarding the child having an injury (red mark on his forehead). An investigation was conducted by telephone on April 2, 2020 and April 13, 2020. This complaint is substantiated based on documentation and statements from staff verifying that the child was not fed according to his feeding schedule."
843;801;"Complaint";"07-09-2019";"Substantiated";"On June 4, 2019, OCCL received a complaint regarding unsafe transportation practices. On June 7, 2019 and June 10, 2019, Licensing Specialist Candace Donovan investigated this complaint. This complaint is substantiated because licensing specialists observed two children, ages six and seven, being picked up from school without the caravan being equipped with booster seats as required. DE law requires all children to be properly restrained in a federally approved child safety seat appropriate for the child's age, weight and height up to 8 years of age or 65 lbs whichever comes first.  During the investigation numerous serious non-compliance was observed because one classroom had improper staff-to-child ratio and exceeded maximum group size by having two staff with 23 children the youngest child was age three; school-age children were combined in a classroom with younger children, although this was not the first or last 90 minutes of the center’s operation; two safe sleep violations were  [DataMsg: This field has been shortened.  Contact OCCL at 302-892-5800 (New Castle County) or 302-739-5487 (Kent and Sussex) for more information.]"
987;859;"Complaint";"09-19-2019";"Substantiated";"On July 17, 2019, OCCL received a complaint regarding unsafe outdoor practices. On July 24 and August 7 2019, Licensing Specialist Candace Donovan investigated this complaint. This complaint is substantiated because a heat advisory was in effect for the Kent County area in which the center is located and children were taken on a 1.1 mile walk to a park during this time. The following other concerns were noted: field trip permission was not observed for one child; two infants were observed sleeping on the floor on boppy pillows; mouthed toys were observed on the floor; staff did not have feeding schedules for two infants; and there was a 13-year-old child, volunteering in the one and two-year-old classroom."
994;859;"Complaint";"06-14-2017";"Substantiated";"A complaint was received on May 30, 2017, regarding one staff member caring for 12 children including infants. An investigation was conducted on June 2, 2017. This complaint is substantiated for incorrect child/staff ratio because this LS observed two staff with 11 children ages infant to two years old. Other concerns observed include lack of supervision because two children were left unattended in separate classrooms."
993;859;"Complaint";"08-09-2017";"Unsubstantiated with Concern";"A complaint was received on July 27, 2017, regarding lack of supervision. An investigation was conducted on August 3, 2017.  This complaint is unsubstantiated with concern. Staff members were appropriately supervising the children based on attendance records and staff interviews. The concern is Mrs. Davis did not contact OCCL once it was known that Child #1 went to the emergency room."
990;859;"Complaint";"07-05-2019";"Substantiated";"On June 4, 2019, OCCL received a complaint regarding unsafe transportation practices. On June 7, 2019, and June 10, 2019, Licensing Specialist Candace Donovan investigated this complaint. This complaint is substantiated for unsafe transportation practices because Child #1 was observed in the passenger front seat of the caravan and Child #2, Child #4, and Child #5 were not wearing seatbelts. Additionally, due to Child #4’s and Child #5’s age, booster seats were needed during transportation. Another serious concern was that Staff #1 was not fingerprinted or determined eligible to work with children before he transported children in care. Additional concerns noted during the investigation were that Child #1 did not have parent permission for transportation, four children did not have a health appraisal in their file, and Staff #1 did not have a personnel file on site that contained the required documentation."
986;859;"Complaint";"12-09-2019";"Substantiated";"On November 12, 2019, OCCL received a complaint regarding inappropriate care of children and improper staff-to-child ratio. On November 20, 2019, Licensing Specialists Candace Donovan and Sherry Rasin-Benn investigated this complaint. This complaint is substantiated for improper staff-to-child ratio because during the investigation two unqualified staff were observed in the one to two year-old classroom with six children. There is no evidence to substantiate inappropriate care of children based on staff statements regarding diapering procedures and the availability of clothing. An addition concern was Ms. Brown was unable to provide the attendance record for October 13, 2019, as requested by the specialists."
988;859;"Complaint";"09-19-2019";"Substantiated";"On August 2, 2019, OCCL received a complaint regarding children watching an inappropriate movie.  An investigation was conducted on August 8, 2019. This complaint is substantiated because Staff #1 said that they were looking at the movie “The Lottery Ticket” but when it became inappropriate she turned the movie off."
989;859;"Complaint";"07-19-2019";"Substantiated";"On June 12, 2019, OCCL received a complaint regarding lack of supervision, improper staff-to-child ratio, a safe sleep violation, and the center failing to have enough cribs for the number of infants enrolled. On June 20, 2019, and June 27, 2019, Licensing Specialist Candace Donovan investigated this complaint. This complaint is substantiated for lack of supervision because Specialist Donovan observed the infant teacher sleeping when she was supposed to be caring for three infants. It is substantiated for improper staff-to-child ratios because the attendance sheet for June 10, 2019, showed that no staff member was present for 20 minutes while four children were in the classroom. This complaint is substantiated for a safe sleep violation because the Complainant made the allegation and the staff members reported placing infants in swings after they are fed and if the staff leaves the classroom as indicated by the staff attendance sheet or falls asleep as witnessed by Specialist Donovan,  [DataMsg: This field has been shortened.  Contact OCCL at 302-892-5800 (New Castle County) or 302-739-5487 (Kent and Sussex) for more information.]"
995;859;"Complaint";"09-16-2016";"Unsubstantiated with Concern";"A complaint was received on August 22, 2016 regarding incorrect staff-to-child ratio. An investigation was conducted on August 30, 2016.  This complaint is unsubstantiated with concern.  The concern is two children ages one year old and four infants were left alone unsupervised."
992;859;"Complaint";"10-17-2018";"Substantiated";"On July 24, 2018, OCCL received a complaint regarding improper staff-to-child ratios, improper care of infants and unqualified people alone with children. On August 8, 2018, August 20, 2018 and August 24, 2018, Licensing Specialist Candace Donovan made unannounced visits to investigate this complaint. This complaint is substantiated because on August 8, 2018, the two-three year old classroom and the summer camp classroom had unqualified staff alone with children. In addition, there was improper staff-to child ratio in the one-two year old classroom because seven one-year-old children were present with one staff, and the two-three year old classroom and school-age classroom because staff did not have qualifications to be left alone with children and cannot count in ratio when alone. On August 20, 2018, a staff person was left alone with children without being determined eligible by the criminal history unit. The complaint is substantiated for improper care of infants because safe sleep  [DataMsg: This field has been shortened.  Contact OCCL at 302-892-5800 (New Castle County) or 302-739-5487 (Kent and Sussex) for more information.]"
991;859;"Complaint";"05-31-2019";"Substantiated";"On April 9, 2019 and April 10, 2019, OCCL received a complaint regarding lack of supervision because two toddlers in care were reported to be alone on the highway. On April 10, 2019, and May 7, 2019, Licensing Specialist Candace Donovan and Licensing Supervisor Kimberly Garvey made an unannounced visit to investigate this complaint. This complaint is substantiated because Child #1 and Child #3 were able to exit the outdoor playground unnoticed by staff and were found on Route 13 next to the center.  One toddler was in the street and the other toddler was on the sidewalk. Additional concerns noted during the investigation were improper staff-to-child ratio because staff reported she was caring for 10 children ages one - two. In addition, an early childhood intern staff member reported she was alone with nine school-age children, although she was not qualified to be alone with children. The playground ratio was further diminished when a staff member left the playground to treat one child [DataMsg: This field has been shortened.  Contact OCCL at 302-892-5800 (New Castle County) or 302-739-5487 (Kent and Sussex) for more information.]"
270;344;"Complaint";"09-25-2017";"Unsubstantiated with Concern";"A complaint was received on September 11, 2017, regarding concerns of possible lack of supervision that resulted in an injury to a child in care. The Reporter also noted concerns of too many children being supervised by one adult. At the conclusion of an investigation conducted on September 18, 2017, this complaint is unsubstantiated with concern, with the concern being delayed notification to the Office of Child Care Licensing. Otherwise, the child care space allows for supervision, and Ms. Coleman was able to describe how the incident occurred. Ms. Coleman stated the fall initially seemed like a normal fall, but as soon as she noticed the area was painful to the touch, she stated she called Parent #1 immediately and applied ice. According to the attendance records and the children observed during the investigation, Ms. Coleman is operating within her allowed capacity."
368;425;"Complaint";"11-27-2019";"Substantiated";"A complaint was received on April 2, 2018, regarding an unsafe physical environment.  A new in-ground pool was allegedly surrounded by a fence that was inadequate to prevent access to children.  An investigation was conducted, beginning on April 5, 2018, and ending on April 16, 2018.  The complaint was substantiated for a hazard in the physical environment, as the investigation revealed the plastic fence was not sufficient to prevent children from falling into the pool. Children in care may not play in the yard of the family child care home until permanent fencing is completed."
367;425;"Complaint";"12-04-2019";"Unsubstantiated with Concern";"On November 15, 2019, a complaint was called into the report line and was not accepted for investigation by the Institutional Abuse Unit. The Office of Child Care Licensing accepted the complaint on November 15, 2019, regarding an allegation of improper discipline. An investigation was conducted on November 20, 2019. This complaint is unsubstantiated for improper discipline, but there is a concern because a family dispute took place inside the child care space when children were present. Ensure family matters are resolved inside the home away from the children who are enrolled in the family child care home."
402;456;"Complaint";"01-20-2016";"Substantiated";"A complaint was received on December 9, 2015, regarding incorrect child/staff ratio. A monthly meal count record was submitted to the food program indicating that on November 3, 10, 17 and 30, 2015, there were more than 15 children being provided PM snack. An investigation was conducted on December 17, 2015. This complaint is substantiated for incorrect child/staff ratio and safe sleep practices as 30 minute sleep checks had not been documented for the infant in care. Others concerns noted were lack of supervision,  and false documentation of staff attendance."
622;683;"Complaint";"12-20-2017";"Substantiated";"On December 14, 2017, the OCCL received a complaint regarding a child being left unsupervised on the playground at Beach Babies Child Care. An investigation visit was conducted on December 18, 2017. Ms. Allen was interviewed and several documents were provided. This complaint is substantiated because Ms. Allen acknowledged a child was left on the playground. Ms. Allen shared how procedures have been modified."
620;683;"Complaint";"07-21-2020";"Substantiated";"The Office of Child Care Licensing received a complaint on July 8, 2020, regarding staff members not social distancing and a staff member not wearing a mask properly.  An investigation was conducted on July 9, 2020.  This complaint is substantiated based on the pictures observed of a staff member not wearing a mask properly.  This complaint is unsubstantiated for staff members not social distancing because it can be misunderstood if wearing a mask means you are exempt from social distancing.  LS Edwards explained that staff members must social distance even when wearing face masks."
623;683;"Complaint";"01-18-2017";"Unsubstantiated with Concern";"A complaint was received on December 20, 2016, regarding the allegation of improper discipline. An investigation was conducted on January 9, 2017. There is no evidence to substantiate the allegation of improper discipline because the documentation provided by the center supports that the staff has been trained and follows proper discipline in the classrooms. The concern is the center did not follow their own policy regarding parents reviewing the video footage."
624;683;"Complaint";"09-21-2016";"Substantiated";"On August 17, 2016, the Office of Child Care Licensing received a complaint via web site/email alleging improper administrative/management procedures. On August 18, 2016, the complaint was investigated and substantiated as the Reporter was left alone in two classrooms to cover at nap time and had not gotten fingerprinted for the facility."
621;683;"Complaint";"05-28-2019";"Substantiated";"The Office of Child Care Licensing received a complaint on May 1, 2019, regarding lack of supervision. An investigation was conducted on May 9, 2019. This complaint was substantiated based on staff interviews because two children were alone in the bathroom and engaged in inappropriate behavior."
829;794;"Complaint";"01-09-2020";"Substantiated";"The Office of Child Care Licensing received a complaint on December 12, 2019, regarding a qualified administrator or site coordinator not being present, unqualified staff working at the center, improper staff-to-child ratios, exceeding maximum group size, incomplete staff files, and inaccurate staff attendance records. An investigation was conducted on December 19, 2019. The allegations regarding a qualified administrator or site coordinator not being present at the center is substantiated because the center did not have written or electronic documentation of the times the administrator and the site coordinator were present at the center. The allegations regarding incomplete staff files and inaccurate staff attendance records are substantiated because both the staff files and staff attendance records were not available at the center for review. Based on a staff interview, documentation reviewed and LS Edwards’ observation, there is no evidence to substantiate the allegations regarding  [DataMsg: This field has been shortened.  Contact OCCL at 302-892-5800 (New Castle County) or 302-739-5487 (Kent and Sussex) for more information.]"
4;2;"Complaint";"09-29-2017";"Substantiated";"On September 25, 2017, the Office of Child Care Licensing received a complaint regarding the YMCA Central Branch's Children's Corner.  The complaint alleged Child #1 had been hit on several occasions and injury reports were not completed, Child #1's wet clothing was placed in a cubby without being put in a plastic bag and the center had bedbugs.   These complaints were investigated on September 26, 2017. The complaints of not placing Child #1's wet clothing in a sealed plastic bag, and not documenting incidents or reported injuries are substantiated. The administrator acknowledged a staff member did not place a wet onesie in a plastic bag. According to the administrator and one other staff member, Child #1 reported being hit by another child, but the center did not document Child #1 reporting the incident because it occurred while Child #1's parent was present.    The complaint of bedbug infestation is not substantiated because the center found one bedbug and immediately took actions t [DataMsg: This field has been shortened.  Contact OCCL at 302-892-5800 (New Castle County) or 302-739-5487 (Kent and Sussex) for more information.]"
3;2;"Complaint";"01-31-2018";"Substantiated";"On November 14, 2017, the Office of Child Care Licensing (OCCL) received a complaint alleging improper discipline at the center.  On November 20, 21, and 22, 2017, OCCL investigated a complaint that Child #1 received marks on both upper arms on November 13, 2017.  This complaint was also investigated by Institutional Abuse for physical abuse. OCCL found this complaint to be substantiated for failure of the staff in Child #1's classroom to follow positive behavior management techniques when relating to children.    The YMCA of Delaware / Central Branch YMCA Children's Corner 1, is to be commended for self-reporting this concern as soon as Child #1's parent informed the center of the marks and for diligently viewing hours of classroom video footage to discover how the marks may have occurred. Additionally, the staff involved were immediately suspended and then terminated from employment."
2;2;"Complaint";"07-25-2019";"Substantiated";"On July 11, 2019, the Office of Child Care Licensing received a complaint regarding staff participating in personal activities while providing care to children. An unannounced complaint visit was conducted on July 15, 2019. This complaint is substantiated because Ms. Anderson stated she had recently disciplined two staff members for using their cell phones in the classroom."
1;2;"Complaint";"12-17-2019";"Substantiated";"On November 26, 2019, the Office of Child Care Licensing received a complaint regarding staff participating in personal activities while providing care to children. This complaint is substantiated because LS Flowers observed Staff #1 reading a book while holding an infant."
7;7;"Complaint";"05-03-2019";"Substantiated";"On April 4, 2019, the Office of Child Care Licensing received a complaint regarding improper discipline. The complaint was investigated on April 9, 2019, and April 25, 2019. This complaint is substantiated because all the children who were interviewed stated the staff yell at the children and make them sit inside the cubbies for punishment."
13;16;"Complaint";"05-27-2020";"Substantiated";"A complaint was received on May 18, 2020, regarding children being shown inappropriate movies while in care, parents walking directly into the emergency care site instead of dropping children off at the entrance, and staff not following the required guidelines of the Governor’s Executive Order for emergency care centers during the current Covid-19 pandemic. An investigation was conducted on May 20, 2020. This complaint is substantiated for failing to follow the Governor’s Executive Order because staff members were not wearing masks, were not washing their hands upon entering and leaving the classroom, and were not taking children’s temperatures at the center’s entrance or checking for the correct temperature.  In addition, the staff members were not asking parents the required health questions per the Governor’s Executive Order for emergency care sites. Staff #2 stated Mr. Crawford arrives at the center at approximately 3pm, from Monday through Friday. When asked, Mr. Crawford stated h [DataMsg: This field has been shortened.  Contact OCCL at 302-892-5800 (New Castle County) or 302-739-5487 (Kent and Sussex) for more information.]"
19;19;"Complaint";"08-03-2018";"Substantiated";"A complaint was received on July 20, 2018, regarding improper discipline.  An investigation was conducted on July 27, 2018.  This complaint is substantiated because Administrator Kathy Strab and the staff member involved stated two children had been yelled at, in response to challenging behavior."
28;21;"Complaint";"12-02-2016";"Substantiated";"On November 14, 2016, the Office of Child Care Licensing received a complaint alleging an unqualified staff member was still being left alone with children. An investigation was conducted on November 22, 2016. This complaint is substantiated for Staff #1 still being left alone with children despite not being qualified to do so and the facility being cited for this violation in October 2016."
25;21;"Complaint";"06-15-2018";"Substantiated";"A complaint was received on June 8, 2018, regarding improper discipline. An investigation was conducted on June 13, 2018. This complaint is substantiated for improper discipline because a staff member has been observed or heard speaking to children in an inappropriate manner by at least two individuals. An additional concern is the staff and child attendance records for June 6, 2018, did not correspond regarding the number of staff present in the room with more than four infants.  Findings:   Based on the results of the investigation the complaint was: Substantiated"
