"License No";"Name";"Address";"County";"City";"Zip";"Phone Number";"Type";"Capacity";"Status";"Services";"Age Group Served";"Months Of Operation";"Days & Hours Of Operation";"MDHS Subsidy";"Note"
"24CCRF-7455";"ST. JAMES CATHOLIC SCHOOL";"603 WEST AVE";"HARRISON";"GULFPORT";39507;"228-896-6631";"Center based Child Care Facility";45;"ACTIVE (07/01/2023 - 06/30/2024)";"Full Day";"2 yr old";"Jan, Feb, Mar, Apr, May, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:04 AM To 05:30 PM";"No";
"24CBPF-6633";"ST. VINCENT DEPAUL CATHOLIC SCHOOL";"4321 ESPY AVE LONG";"HARRISON";"BEACH";39560;"228-222-6000";"Center based Child Care Facility";29;"ACTIVE (02/01/2023 - 01/31/2024)";"Full Day";"2 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:00 AM To 05:30 PM";"No";
"24CDPFW-4223";"THE MUSTARD SEED";"4247 POPPS FERRY RD";"HARRISON";"DIBERVILLE";39540;"228-392-7405";"Center based Child Care Facility";57;"ACTIVE (12/01/2022 - 11/30/2023)";"Full Day, Special Needs,Accepts MDHS Subsidy Children";"1 yr old, 2 yr old, 3 yr old, 4 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:30 AM To 05:30 PM";"Yes";
"24CDPFA-7365";"THE PARENT'S CHOICE LEARNING CENTER";"2633 EXECUTIVE PL";"HARRISON";"BILOXI";39531;"228-388-6891";"Center based Child Care Facility";97;"ACTIVE (09/01/2023 - 08/31/2024)";"School Age After School, Full Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:00 AM To 06:00 PM";"Yes";
"24CEGS-2027";"THREE RIVERS SUMMER DAY CAMP";"13500 THREE RIVERS RD";"HARRISON";"GULFPORT";39503;"228-831-5359";"Center based Child Care Facility";150;"ACTIVE (09/01/2023 - 08/31/2024)";"Summer Day";"5-9 yr old, 1 -12 yr old";"Jun, Jul";"Monday-Friday 07:00 AM To 06:00 PM";"No";
"24CFPFOA-6616";"TINY STEPS ACADEMY";"520 E PASS RD";"HARRISON";"GULFPORT";39507;"228-896-6466";"Center based Child Care Facility";175;"ACTIVE (02/08/2023 - 01/31/2024)";"School Age After School, Full Day, Half Day Morning & Afternoon,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 05:00 AM To 07:00 PM, Saturday 06:00 AM To 03:00 PM";"Yes";
"24CDPM-1755";"TRINITY PRESCHOOL WEEKDAY MINISTRIES";"5007 LAWSON AVE";"HARRISON";"GULFPORT";39507;"228-863-2717";"Center based Child Care Facility";87;"ACTIVE (01/01/2023 - 12/31/2023)";"Half Day Morning";"1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch";"Jan, Feb, Mar, Apr, May, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 08:30 AM To 02:30 PM";"No";
"24CDPF-0370";"TWIN OAKS CHILD DEVELOPMENT CENTER";"1077 PINE ST";"HARRISON";"GULFPORT";39507;"228-896-4100";"Center based Child Care Facility";94;"ACTIVE (05/01/2023 - 04/30/2024)";"Full Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:30 AM To 06:00 PM";"Yes";
"24CDPFA-3376";"WEE ONES CHILD CARE";"11376 THREE RIVERS RD";"HARRISON";"GULFPORT";39503;"228-832-7272";"Center based Child Care Facility";99;"PENDING-INSPECTION (11/01/2023 - 10/31/2024)";"School Age After School, Full Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:30 AM To 06:00 PM";"Yes";
"License Exempt";"WEST ELEM AFTER SCHOOL DC";"4051 15TH ST";"HARRISON";"GULFPORT";39501;"228-870-1025";"Center based Child Care Facility";15;"ACTIVE";"Accepts MDHS Subsidy Children";;"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 02:30 PM To 06:00 PM";"Yes";
"24CDRM-1731";"WOOLMARKET BAPTIST CHURCH PRESCHOOL";"12816 LORRAINE RD";"HARRISON";"BILOXI";39532;"228-392-5622";"Center based Child Care Facility";54;"ACTIVE (04/01/2023 - 03/31/2024)";"Half Day Morning";"3 yr old, 4 yr old";"Jan, Feb, Mar, Apr, May, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 08:30 AM To 11:30 AM";"No";
"24CEGS-7443";"WOOLMARKET ELEMENTARY SUMMER CAMP";"12513 JOHN LEE RD";"HARRISON";"BILOXI";39532;"228-388-7170";"Center based Child Care Facility";120;"ACTIVE (08/01/2023 - 07/31/2024)";"Summer Day";"5-9 yr old, 1 -12 yr old";"Jun, Jul";"Monday-Friday 07:00 AM To 06:00 PM";"No";
"25CCPFWA-7507";"A PLACE TO GROW";"2607 MEDGAR EVERS BLVD";"HINDS";"JACKSON";39213;"601-981-3133";"Center based Child Care Facility";44;"ACTIVE (12/01/2022 - 11/30/2023)";"School Age After School, Full Day, Special Needs,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:30 AM To 11:00 PM";"Yes";
"25CBPFA-6921";"A TIME 4 LEARNING CHILD CARE";"514 W FORTIFICATION ST";"HINDS";"JACKSON";39203;"601-944-1507";"Center based Child Care Facility";30;"ACTIVE (09/01/2023 - 08/31/2024)";"School Age After School, Full Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:00 AM To 06:00 PM";"Yes";
"25REPFA-7862";"AFTERSCHOOL AT THE POTTERS HOUSE";"111 WOODCHASE PARK DR";"HINDS";"CLINTON";39056;"601-988-5071";"Center based Child Care Facility";110;"TEMPORARY (04/12/2023 - 09/30/2023)";"School Age After School, Full Day";"5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:00 AM To 05:30 PM";"No";
"25CDPFWA-6704";"AGAPE' CHRISTIAN ACADEMY WORLD";"2024 BOLING ST";"HINDS";"JACKSON";39213;"769-572-5900";"Center based Child Care Facility";75;"ACTIVE (07/03/2023 - 06/30/2024)";"School Age After School, Full Day, Special Needs,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:00 AM To 05:00 PM";"Yes";
"25CDPSA-7476";"ALPHA KONNECTION ACADEMY II";"4800 WATKINS DR";"HINDS";"JACKSON";39206;"769-218-7642";"Center based Child Care Facility";62;"PENDING-INSPECTION (08/01/2023 - 07/31/2024)";"School Age After School, Summer Day,Accepts MDHS Subsidy Children";"5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 01:00 PM To 06:00 PM";"Yes";
"25CBPF-5568";"ALPHA KONNECTIONS ACADEMY";"1469 W NORTHSIDE DR";"HINDS";"JACKSON";39213;"769-218-8464";"Center based Child Care Facility";30;"ACTIVE (02/01/2023 - 01/31/2024)";"Full Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:30 AM To 06:00 PM";"Yes";
"25CDPFSMXWNOA-7739";"AMBITIOUS ACADEMY";"4560 HIGHWAY 80 W";"HINDS";"JACKSON";39209;"601-345-6006";"Center based Child Care Facility";85;"ACTIVE (03/02/2023 - 01/31/2024)";"School Age After School, Full Day, Half Day Morning, Half Day Afternoon, Half Day Morning & Afternoon, Summer Day, Special Needs, Other -Ex. teen care parenting,Accepts MDHS Subsidy Children";;"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:30 AM To 06:00 PM";"Yes";
"25CDPFSW-7867";"B'Z BIZZY BEEZ DAYCARE";"2570 N SIWELL RD STE B";"HINDS";"JACKSON";39212;"769-257-5156";"Center based Child Care Facility";75;"TEMPORARY (04/29/2023 - 09/30/2023)";"Full Day, Summer Day, Special Needs,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:30 AM To 06:00 PM";"Yes";
"25CFIF-6783";"BAPTIST CHILD DEV. CENTER MANAGED BY BRIGHT HORIZONS";"1313 N PRESIDENT ST";"HINDS";"JACKSON";39202;"601-352-1126";"Center based Child Care Facility";160;"ACTIVE (09/01/2023 - 08/31/2024)";"Full Day";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:00 AM To 07:30 PM";"No";
"25CDGS-3571";"BATTLEFIELD COMMUNITY CENTER";"953 W PORTER ST";"HINDS";"JACKSON";39204;"601-960-1901";"Center based Child Care Facility";114;"ACTIVE (07/01/2023 - 06/30/2024)";"Summer Day";;"Jun, Jul";"Monday-Friday 07:30 AM To 05:30 PM";"No";
"25CBPWA-7850";"BEE 2 SMART AFTERSCHOOL PROGRAM";"6779 S SIWELL RD STE B";"HINDS";"BYRAM";39272;"601-862-8662";"Center based Child Care Facility";21;"ACTIVE (03/09/2023 - 02/29/2024)";"School Age After School, Special Needs,Accepts MDHS Subsidy Children";"5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 02:00 PM To 06:00 PM";"Yes";
"25CBPA-7544";"BEE SMART AFTER SCHOOL PROGRAM";"2570 N SIWELL RD";"HINDS";"JACKSON";39212;"601-862-8662";"Center based Child Care Facility";30;"ACTIVE (08/01/2023 - 07/31/2024)";"School Age After School,Accepts MDHS Subsidy Children";"5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 02:00 PM To 06:00 PM";"Yes";
"25CERFA-1341";"BETHLEHEM CENTER DAY CARE";"920 N BLAIR ST";"HINDS";"JACKSON";39202;"601-355-0224";"Center based Child Care Facility";105;"ACTIVE (11/01/2023 - 10/31/2024)";"School Age After School, Full Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:45 AM To 05:30 PM";"Yes";
"UnLicensed";"BETTY J BOOTH";"1421 W MCDOWELL RD";"HINDS";"JACKSON";39204;"601-497-3204";"Home based Child Care Facility";5;"ACTIVE";"Accepts MDHS Subsidy Children";;"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:03 AM To 05:03 PM";"Yes";"Unlicensed providers are monitored annually by the Mississippi State Department of Health but are not licensed by the Mississippi State Department of Health."
"25CDPFA-7732";"BIG MINDS LITTLE HEARTS ACADEMY";"1980 HIGHWAY 80 W";"HINDS";"JACKSON";39204;"601-954-5886";"Center based Child Care Facility";60;"ACTIVE (01/01/2023 - 12/31/2023)";"School Age After School, Full Day,Accepts MDHS Subsidy Children";;"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:30 AM To 08:00 PM";"Yes";
"25CDRFA-5720";"BLESSED BEGINNINGS @ LAKESHORE";"6880 S SIWELL RD";"HINDS";"BYRAM";39272;"601-376-4140";"Center based Child Care Facility";100;"ACTIVE (02/01/2023 - 01/31/2024)";"School Age After School, Full Day";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:00 AM To 06:00 PM";"No";
"25CDPFA-7550";"BLESSED BEGINNINGS 2 INC";"2457 TERRY RD";"HINDS";"JACKSON";39204;"601-906-0931";"Center based Child Care Facility";56;"ACTIVE (09/01/2023 - 08/31/2024)";"School Age After School, Full Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:30 AM To 05:30 PM";"Yes";
"25CFIFSA-1316";"BOYS & GIRLS CLUB - WALKER UNIT";"4350 RAYMOND RD";"HINDS";"JACKSON";39212;"601-372-9090";"Center based Child Care Facility";210;"ACTIVE (09/01/2023 - 08/31/2024)";"School Age After School, Full Day, Summer Day,Accepts MDHS Subsidy Children";"5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:00 AM To 06:00 PM";"Yes";
"25CDRFA-2690";"BREATH OF LIFE CHRISTIAN CHURCH";"2405 J R LYNCH ST";"HINDS";"JACKSON";39209;"601-316-8368";"Center based Child Care Facility";75;"ACTIVE (10/01/2023 - 09/30/2024)";"School Age After School, Full Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:00 AM To 06:00 PM";"Yes";
"25CFPFSA-7698";"BRIGHT FUTURE LEARNING ACADEMY";"21 NORTHTOWN DR";"HINDS";"JACKSON";39211;"662-820-7768";"Center based Child Care Facility";195;"PENDING-INSPECTION (09/01/2023 - 08/31/2024)";"School Age After School, Full Day, Summer Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:03 AM To 06:30 PM";"Yes";
"25CDPFSA-7701";"BRIGHT START LEARNING CENTER";"281 O’FERRELL AVE";"HINDS";"JACKSON";39209;"601-714-9774";"Center based Child Care Facility";55;"PENDING-INSPECTION (10/01/2023 - 09/30/2024)";"School Age After School, Full Day, Summer Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:00 AM To 11:00 PM";"Yes";
"25CDPFA-1829";"BYRAM LEARNING CENTER, INC.";"6753 S SIWELL RD";"HINDS";"JACKSON";39272;"601-502-0012";"Center based Child Care Facility";93;"ACTIVE (02/01/2023 - 01/31/2024)";"School Age After School, Full Day";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:45 AM To 06:00 PM";"No";
"25CDPFSWA-7583";"CAIDEN'S CHRISTIAN ACADEMY";"4872 N STATE ST";"HINDS";"JACKSON";39206;"769-572-5405";"Center based Child Care Facility";60;"ACTIVE (12/01/2022 - 11/30/2023)";"School Age After School, Full Day, Summer Day, Special Needs,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:30 AM To 08:00 PM";"Yes";
"UnLicensed";"CANDACE HARVEY";"1693 DUNN PEASE RD";"HINDS";"RAYMOND";39154;"601-910-1329";"Home based Child Care Facility";5;"ACTIVE";"Accepts MDHS Subsidy Children";;"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:00 AM To 06:00 PM";"Yes";"Unlicensed providers are monitored annually by the Mississippi State Department of Health but are not licensed by the Mississippi State Department of Health."
"25CBPSA-5979";"CC'S AFTERSCHOOL/TUTORIAL PROGRAM";"5210 MANHATTAN RD";"HINDS";"JACKSON";39206;"601-953-1907";"Center based Child Care Facility";29;"PENDING-INSPECTION (09/01/2023 - 08/31/2024)";"School Age After School, Summer Day,Accepts MDHS Subsidy Children";"5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 02:30 PM To 05:30 PM";"Yes";
"25CDRF-0676";"CENTER FOR FAMILY LIFE, INC.-DEV. LEARNING CTR.";"1000 W RIDGEWAY ST";"HINDS";"JACKSON";39213;"601-368-9878";"Center based Child Care Facility";60;"PENDING-INSPECTION (11/01/2023 - 10/31/2024)";"Full Day,Accepts MDHS Subsidy Children";"1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:30 AM To 05:30 PM";"Yes";
"UnLicensed";"CHASADY SINGLETON";"1309 ROSEMONT DR";"HINDS";"CLINTON";39056;"601-321-4295";"Home based Child Care Facility";5;"ACTIVE";"Accepts MDHS Subsidy Children";;"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:00 AM To 06:00 PM";"Yes";"Unlicensed providers are monitored annually by the Mississippi State Department of Health but are not licensed by the Mississippi State Department of Health."
"25CFPSA-5180";"CHILD DEVELOPMENT CENTER ""THE ZONE""";"3345 DAVIS RD";"HINDS";"BYRAM";39170;"601-373-9150";"Center based Child Care Facility";280;"ACTIVE (09/01/2023 - 08/31/2024)";"School Age After School, Summer Day,Accepts MDHS Subsidy Children";"5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 05:30 AM To 06:30 PM";"Yes";
"25CDIF-7557";"CHILDREN FIRST CHRISTIAN LEARNING CENTER";"4801 N STATE ST";"HINDS";"JACKSON";39206;"769-216-2764";"Center based Child Care Facility";86;"ACTIVE (09/01/2023 - 08/31/2024)";"Full Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:00 AM To 06:00 PM";"Yes";
"25CFPFWA-7606";"CHILDREN'S EDUCARE DAYCARE";"5555 ROBINSON ROAD EXT";"HINDS";"JACKSON";39204;"601-922-8060";"Center based Child Care Facility";165;"ACTIVE (02/01/2023 - 01/31/2024)";"School Age After School, Full Day, Special Needs,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:30 AM To 09:00 PM";"Yes";
"25CEISNA-1594";"CLINTON BRANCH - JACKSON METRO YMCA";"400 LINDALE ST";"HINDS";"CLINTON";39056;"601-926-9243";"Center based Child Care Facility";127;"PENDING-INSPECTION (10/01/2023 - 09/30/2024)";"School Age After School, Half Day Afternoon, Summer Day,Accepts MDHS Subsidy Children";"5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 02:00 PM To 06:00 PM";"Yes";
"25CCPFA-6535";"CONNECTING BRIDGES CHRISTIAN LEARNING CENTER";"1284 FOREST AVE";"HINDS";"JACKSON";39206;"601-713-4021";"Center based Child Care Facility";75;"ACTIVE (02/01/2023 - 01/31/2024)";"School Age After School, Full Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:30 AM To 05:30 PM";"Yes";
"25CDRM-4494";"COVENANT PRESBYTERIAN PRESCHOOL";"4000 RIDGEWOOD RD";"HINDS";"JACKSON";39211;"601-362-7228";"Center based Child Care Facility";150;"ACTIVE (05/01/2023 - 04/30/2024)";"Half Day Morning";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old";"Jan, Feb, Mar, Apr, May, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 08:00 AM To 12:00 PM";"No";
"25CDPF-7669";"CREATIVE IMAGINATION";"115 MADDOX RD";"HINDS";"JACKSON";39212;"601-487-8980";"Center based Child Care Facility";90;"ACTIVE (08/01/2023 - 07/31/2024)";"Full Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:30 AM To 05:30 PM";"Yes";
"25CDPFSA-7306";"CREATIVE KIDS ACADEMY";"5120 GALAXIE DR";"HINDS";"JACKSON";39206;"769-572-5931";"Center based Child Care Facility";88;"ACTIVE (04/01/2023 - 03/31/2024)";"School Age After School, Full Day, Summer Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:30 AM To 11:30 PM";"Yes";
"25CEPFA-7874";"CREATIVE KIDS ACADEMY TOO";"120 COLONIAL DR";"HINDS";"JACKSON";39204;"769-572-7783";"Center based Child Care Facility";102;"TEMPORARY (05/30/2023 - 10/31/2023)";"School Age After School, Full Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:30 AM To 05:30 PM";"Yes";
"25CCPFA-6075";"CREATIVE LEARNING CHILDCARE CENTER";"3902 W CAPITOL ST";"HINDS";"JACKSON";39209;"601-665-4807";"Center based Child Care Facility";41;"ACTIVE (06/01/2023 - 05/31/2024)";"School Age After School, Full Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5-9 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:30 AM To 05:30 PM";"Yes";
"25CDPFA-3746";"CREATIVE MINDS LEARNING CENTER # 1";"2526 RAYMOND RD";"HINDS";"JACKSON";39212;"601-373-9349";"Center based Child Care Facility";61;"ACTIVE (02/01/2023 - 01/31/2024)";"School Age After School, Full Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:30 AM To 05:30 PM";"Yes";
"UnLicensed";"DALERIKYA FREEMAN";"23 OAK CREEK PL";"HINDS";"JACKSON";39211;"601-754-7221";"Home based Child Care Facility";5;"ACTIVE";"Accepts MDHS Subsidy Children";;"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:00 AM To 06:00 PM";"Yes";"Unlicensed providers are monitored annually by the Mississippi State Department of Health but are not licensed by the Mississippi State Department of Health."
"25CFPF-7041";"DOMINICARE LEARNING CENTER";"3780 I 55 N";"HINDS";"JACKSON";39211;"601-200-4100";"Center based Child Care Facility";250;"ACTIVE (05/01/2023 - 04/30/2024)";"Full Day";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:00 AM To 06:00 PM";"No";
"25CDRFA-7307";"E. E. ROGERS SEVEN DAY ADVENTIST";"5125 ROBINSON RD";"HINDS";"JACKSON";39204;"769-257-7041";"Center based Child Care Facility";75;"ACTIVE (03/01/2023 - 02/28/2024)";"School Age After School, Full Day,Accepts MDHS Subsidy Children";"3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:30 AM To 06:00 PM";"Yes";
"25CCPFSA-7778";"EARLY YEARS ACADEMYII";"5007 CLINTON BLVD";"HINDS";"JACKSON";39209;"601-454-5079";"Center based Child Care Facility";38;"ACTIVE (07/01/2023 - 06/30/2024)";"School Age After School, Full Day, Summer Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:30 AM To 06:00 PM";"Yes";
"25CDPFSA-7327";"EDUCATION LEARNING STATION";"332 NEW MARKET DR";"HINDS";"JACKSON";39209;"601-896-4888";"Center based Child Care Facility";53;"ACTIVE (06/06/2023 - 04/30/2024)";"School Age After School, Full Day, Summer Day,Accepts MDHS Subsidy Children";;"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 02:00 PM To 08:30 PM";"Yes";
