"Name";"Last Name";"First Name";"Type Of Care";"Street Address";"City";"ID";"Zip";"Area Code";"Phone";"Age Range";"Accepts ICCP";"Financial Assistance";"Quality Rating";"Health & Safety Check";"Type of Registration";"Website";"Full/Part Time Care";"Environment";"Accreditation";"Meals";"Elementary Schools";"Special Needs";"Languages";"Education";"Age Groups & Rates"
"MOTHERS CHOICE LLC";"AUTIN";"VITALIY";"Child Care Center";"1604 PENNINGER DR";"BOISE";662944;83709;208;"375-4640";"3 months to 6 years";"ICCP";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/12053";"ICCP";"http://www.motherschoice.us";"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Breakfast, Morning Snack, Lunch, Afternoon Snack";"MAPLE GROVE";;"English, Spanish, Other";"Bachelor's Degree, Child Related";"<br/>0 - 12 Months : 165.00 Weekly FT, 715.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 155.00 Weekly FT, 672.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 145.00 Weekly FT, 628.00 Monthly FT<br/>5 - 6 Years : 105.00 Weekly FT, 455.00 Monthly FT<br/>6 - 12 Years : 15.00 Weekly FT, 455.00 Monthly FT"
"JUST FOR KIDS - GARFIELD";"GIACHETTI";"ALISON";"Child Care Center";"1914 BROADWAY AVE";"BOISE";231237;83706;208;"854-4952";"4 years to 12 years";"ICCP";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/4026";"ICCP";"http://www.boiseschools.org/jfk";"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use, Special needs accessible";;"Morning Snack, Afternoon Snack, USDA Food Program, Parent to Provide Meals";"GARFIELD";"Developmental Disability, Motor Physically Impaired, Hearing Impaired, ADHD/ADD";"English";"Master's Degree, other";"<br/>31-60 Months (2.5-5 years) : 128.00 Weekly FT, 502.00 Monthly FT<br/>5 - 6 Years : 118.00 Weekly FT, 463.00 Monthly FT<br/>6 - 12 Years : 84.00 Weekly FT, 326.00 Monthly FT"
"LEARNING TREE INC";"HARVEY";"KATHLEEN";"Child Care Center";"2908 N 28TH ST";"BOISE";447181;83703;208;"342-7821";"3 years to 12 years";"City Licensed-data collection";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/2075";"City Licensed-data collection";;"Both";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use, Special needs accessible";;"Breakfast, Lunch, Afternoon Snack";"COLLISTER, CYNTHIA MANN, HIGHLAND, LOWELL ELEMENTARY, PIERCE PARK, SHADOW HILLS, WASHINGTON";"Developmental Disability, Emotional/Behavioral Disability, Motor Physically Impaired, Hearing Impaired, Visually Impaired, ADHD/ADD";"English, Spanish, Basque";"Bachelor's Degree, other";"<br/>31-60 Months (2.5-5 years) : 650.00 Weekly FT, 700.00 Monthly PT, 750.00 Monthly FT<br/>5 - 6 Years : 650.00 Weekly FT, 700.00 Monthly PT, 750.00 Monthly FT<br/>6 - 12 Years : 165.00 Monthly PT, 325.00 Monthly FT"
"JUST FOR KIDS - SHADOW HILLS";"GIACHETTI";"ALISON";"Child Care Center";"8301 W SLOAN ST";"BOISE";367274;83714;208;"854-6720";"4 years to 12 years";"ICCP";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/4021";"ICCP";"http://www.boiseschools.org/jfk";"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use, Special needs accessible";;"Morning Snack, Afternoon Snack, Parent to Provide Meals";"SHADOW HILLS";"Developmental Disability, Motor Physically Impaired, Hearing Impaired, ADHD/ADD";"English";"Master's Degree, child related";"<br/>31-60 Months (2.5-5 years) : 128.00 Weekly FT, 502.00 Monthly FT<br/>5 - 6 Years : 118.00 Weekly FT, 463.00 Monthly FT<br/>6 - 12 Years : 84.00 Weekly FT, 326.00 Monthly FT"
"YMCA - 9TH ST/PRESBYTERIAN CHURCH";"JESS";"KATIE";"Child Care Center";"950 W STATE ST";"BOISE";443621;83702;208;"344-5501";"6 years to 14 years";"ICCP";"Continuing Scholarship Program";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/2262";"ICCP";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Smoking Outside Only, Special needs accessible";;"Breakfast, Afternoon Snack, Parent to Provide Meals";"ADAMS, HIGHLAND, LONGFELLOW, LOWELL ELEMENTARY, ROOSEVELT, WASHINGTON, WHITTIER";"Developmental Disability, Emotional/Behavioral Disability, ADHD/ADD";"English";"CDA";"<br/>6 - 12 Years : 68.00 Weekly PT, 106.00 Weekly FT"
"LITTLE SCHOLARS ACADEMY LLC";"HUGHES";"NICCOLE";"Child Care Center";"350 E PENNSYLVANIA ST";"BOISE";449364;83706;208;"344-7050";"2 months to 4 years";"ICCP";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/3091";"ICCP";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Special needs accessible";;"Parent to Provide Meals";;"Developmental Disability, Emotional/Behavioral Disability, Motor Physically Impaired, Hearing Impaired, Significant Chronic Illness";"English, Sign Language";"Bachelor's Degree, other";"<br/>0 - 12 Months : 590.00 Monthly PT, 790.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 525.00 Monthly PT, 740.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 480.00 Monthly PT, 665.00 Monthly FT<br/>5 - 6 Years : 405.00 Monthly PT, 565.00 Monthly FT"
"CITY HOPE PRESCHOOL";"BUCK";"LINDA";"Child Care Center";"8650 W FAIRVIEW AVE";"BOISE";222088;83704;208;"376-7272";"3 years to 6 years";"ICCP";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/2384";"ICCP";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Morning Snack, Afternoon Snack, Parent to Provide Meals";;;"English";"Bachelor's Degree, Child Related";"<br/>31-60 Months (2.5-5 years) : 480.00 Monthly FT<br/>5 - 6 Years : 250.00 Monthly FT"
"ALL GODS CHILDREN CHILDCARE";"ULRICH";"VERLA";"Child Care Center";"3838 S COLE RD";"BOISE";315918;83709;208;"362-0865";"1 year to 12 years";"ICCP, State Licensed";"Multi-child discount, Other";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/10710";"ICCP, State Licensed";"http://www.allgodschildrenchildcare.org";"Both";"Smoke Free Facility, No Pets, T.V. used less than 1 hr/day, Fenced Yard";;"Breakfast, Lunch, Afternoon Snack";"AMITY, CHRISTINE DONNELL SCH OF ARTS, DESERT SAGE ELEMENTARY, HILLCREST, LAKE HAZEL, SILVER SAGE";"Emotional/Behavioral Disability, ADHD/ADD";"English";"CDA";"<br/>0 - 12 Months : 513.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 752.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 600.00 Monthly FT<br/>5 - 6 Years : 506.00 Monthly FT<br/>6 - 12 Years : 390.00 Monthly FT"
"LAKEWOOD MONTESSORI INC";"DUGMORE";"KAREN";"Child Care Center";"133 E LINDEN ST";"BOISE";464779;83706;208;"331-3888";"1 year 3 months to 6 years";"City Licensed-data collection";"Multi-child discount, Other";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/4943";"City Licensed-data collection";"http://www.lakewoodmontessori.net";"Both";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use, Special needs accessible";"Other";"Morning Snack, Afternoon Snack, Parent to Provide Meals";;;"English";"Bachelor's Degree, Child Related";"<br/>13-30 Months (1-2.5 years) : 851.00 Monthly PT, 1022.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 765.00 Monthly PT, 931.00 Monthly FT<br/>5 - 6 Years : 765.00 Monthly PT, 931.00 Monthly FT"
"JUST FOR KIDS - GRACE JORDAN";"GIACHETTI";"ALISON";"Child Care Center";"6411 W FAIRFIELD AVE";"BOISE";429446;83709;208;"854-6720";"4 years to 12 years";"ICCP";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/10427";"ICCP";"http://www.boiseschools.org/jfk";"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use, Special needs accessible";;"Breakfast, Morning Snack, Afternoon Snack, Parent to Provide Meals";"Grace Jordan";"Emotional/Behavioral Disability, Motor Physically Impaired, Hearing Impaired, Significant Chronic Illness";"English";"Master's Degree, child related, Bachelor's Degree, Child Related";"<br/>31-60 Months (2.5-5 years) : 128.00 Weekly FT, 502.00 Monthly FT<br/>5 - 6 Years : 118.00 Weekly FT, 463.00 Monthly FT<br/>6 - 12 Years : 84.00 Weekly FT, 326.00 Monthly FT"
"WANDA SIMMONS CHILD CARE";"SIMMONS";"WANDA";"(FCC)Group Child Care";;"BOISE";285020;83713;208;"375-4625";"2 months to 7 years";"ICCP";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/944";"ICCP";;"Both";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Special needs accessible";;"Afternoon Snack, Parent to Provide Meals";"FRONTIER, PIONEER";;"English";"Associate's Degree, Child Related";"<br/>0 - 12 Months : 25.00 Daily FT, 110.00 Weekly FT, 440.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 22.00 Daily FT, 110.00 Weekly FT, 440.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 22.00 Daily FT, 110.00 Weekly FT, 440.00 Monthly FT<br/>5 - 6 Years : 22.00 Daily FT, 110.00 Weekly FT, 440.00 Monthly FT<br/>6 - 12 Years : 20.00 Daily FT, 110.00 Weekly FT, 100.00 Other FT"
"NORTHVIEW MONTESSORI PRESCHOOL AND KINDERGARTEN";"KENNEDY";"KELLI";"Child Care Center";"7670 W NORTHVIEW ST";"BOISE";1008222;83704;208;"322-0152";"2 years 5 months to 7 years";"City Licensed-data collection";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/13773";"City Licensed-data collection";"http://www.northviewmontessori.com";"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard";;"Morning Snack, Afternoon Snack, Parent to Provide Meals";;"Other";"English";"Master's Degree, other";"<br/>31-60 Months (2.5-5 years) : 650.00 Monthly FT<br/>5 - 6 Years : 660.00 Monthly FT<br/>6 - 12 Years : 660.00 Monthly FT"
"TAWAKAL DAYCARE";"DALIB";"ZAINAB";"(FCC)Group Child Care";;"BOISE";801177;83709;208;"353-7057";"1 week to 12 years 11 months";"ICCP, State Licensed";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/13312";"ICCP, State Licensed";;"Both";"Smoke Free Facility, Computer for children's use";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, Dinner";"Whitney";;"English, Swahili, Somali";"Ask Provider";"<br/>0 - 12 Months : 618.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 588.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 555.00 Monthly FT<br/>5 - 6 Years : 506.00 Monthly FT<br/>6 - 12 Years : 488.00 Monthly FT"
"CLEMENTINES FAMILY CARE";"KARANGWA";"CLEMENTINE";"(FCC)Group Child Care";;"BOISE";802238;83704;208;"750-8424";"1 month 2 weeks to 12 years";"ICCP";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/13335";"ICCP";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, Dinner, Infant Formula Provided, Parent to Provide Meals";"MOUNTAINVIEW, SUMMERWIND, VALLEY VIEW";;"English, Swahili, Kinyarwanda, Kirundi";;"<br/>0 - 12 Months : 618.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 588.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 555.00 Monthly FT<br/>5 - 6 Years : 506.00 Monthly FT<br/>6 - 12 Years : 408.00 Monthly FT"
"SHEPHERD OF THE VALLEY LUTHERAN PRESCHOOL";"GROSS";"ANDREA";"Child Care Center";"3100 S FIVE MILE RD";"BOISE";650689;83709;208;"362-5919";"3 years to 5 years";"State Licensed";"Continuing Scholarship Program, Multi-child discount, Other";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/11915";"State Licensed";"http://www.sov-id.org-education link";"Part-Time";"Smoke Free Facility, No Pets, Outdoor Play Equipment, Special needs accessible";;"Morning Snack, Afternoon Snack";;;"English";"Bachelor's Degree, other";"<br/>31-60 Months (2.5-5 years) : 115.00 Other PT, 195.00 Other FT"
"COZY COTTAGE LEARNING CENTER";"ARAMBURU";"RACHELLE";"Child Care Center";"507 W WILLIAMS ST";"BOISE";699677;83706;208;"608-6882";"2 years to 5 years";"Community Only";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/12646";"Community Only";"http://cozycottageboise.com";"Both";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Morning Snack, Afternoon Snack";;;"English";"Bachelor's Degree, other, Some College, child related";"<br/>13-30 Months (1-2.5 years) : 805.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 758.00 Monthly FT, 719.00 Other FT"
"CAMPFIRE KIDS CHILDCARE AND PRESCHOOL";"HARDING-GREENFIELD";"LISA";"Child Care Center";"1720 S CURTIS RD";"BOISE";319187;83705;208;"377-4649";"1 month 2 weeks to 12 years 11 months";"ICCP";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/3023";"ICCP";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Special needs accessible";;"Breakfast, Morning Snack, Lunch, Afternoon Snack";"HILLCREST";"Developmental Disability, Emotional/Behavioral Disability, ADHD/ADD";"English";"High School Diploma/GED";"<br/>0 - 12 Months : 34.00 Daily FT, 600.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 32.00 Daily FT, 580.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 30.00 Daily FT, 540.00 Monthly FT<br/>5 - 6 Years : 28.00 Daily FT, 500.00 Monthly FT<br/>6 - 12 Years : 26.00 Daily FT, 480.00 Monthly FT"
"ROSEMARYS DAYCARE";"ENCINAS";"AURORA";"(FCC)Group Child Care";;"BOISE";380088;83704;208;"573-0305";"2 weeks to 12 years";"ICCP";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/4754";"ICCP";;"Both";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, Dinner, USDA Food Program";"Morley Nelson Elementary";;"English, Spanish";"High School Diploma/GED";"<br/>0 - 12 Months : 25.00 Daily FT<br/>13-30 Months (1-2.5 years) : 25.00 Daily FT<br/>31-60 Months (2.5-5 years) : 25.00 Daily FT<br/>5 - 6 Years : 25.00 Daily FT<br/>6 - 12 Years : 25.00 Daily FT, 20.00 Other PT"
"ALPHA AND OMEGA DAY CARE";"OSTER";"PATRICIA";"(FCC)Group Child Care";;"BOISE";502374;83704;208;"870-9435";"2 weeks to 5 years";"ICCP";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/1375";"ICCP";;"Both";"Smoke Free Facility, No Pets, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, Dinner, USDA Food Program, Special Meal Request, Infant Formula Provided";"Morley Nelson Elementary";;"English";"High School Diploma/GED";"<br/>0 - 12 Months : 600.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 400.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 400.00 Monthly FT<br/>5 - 6 Years : 400.00 Monthly FT<br/>6 - 12 Years : 400.00 Monthly FT"
"BEATRICES CHILD CARE";"BEATRICE";"CHIZA";"Family Child Care";;"BOISE";999720;83714;208;"917-0318";"1 month to 12 years";"ICCP";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/13676";"ICCP";;"Both";"Smoke Free Facility, No Pets, T.V. used less than 1 hr/day, Fenced Yard, Special needs accessible";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, Parent to Provide Meals";;;"English, Swahili, Kirundi";"Ask Provider";"<br/>0 - 12 Months : 658.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 658.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 546.00 Monthly FT<br/>5 - 6 Years : 488.00 Monthly FT<br/>6 - 12 Years : 488.00 Monthly FT"
"GREAT BEGINNINGS CHILD CARE AND LEARNING CENTER INC";"SLADE";"BRANDEE";"Child Care Center";"715 S LATAH ST";"BOISE";396090;83705;208;"342-6400";"1 month 2 weeks to 12 years";"ICCP";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/2054";"ICCP";"http://www.greatbeginningschildcare.com";"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Breakfast, Lunch, Afternoon Snack, USDA Food Program";"HAWTHORNE, HILLCREST, Jefferson-Boise, MONROE, OWYHEE-Boise, Whitney";"Developmental Disability, Emotional/Behavioral Disability, Motor Physically Impaired, Hearing Impaired, ADHD/ADD";"English";"Some College, other";"<br/>0 - 12 Months : 204.00 Weekly FT<br/>13-30 Months (1-2.5 years) : 179.00 Weekly FT, 169.00 Other FT<br/>31-60 Months (2.5-5 years) : 155.00 Weekly FT<br/>5 - 6 Years : 145.00 Weekly FT<br/>6 - 12 Years : 89.00 Weekly FT"
"SOUTH BOISE CHILD CARE";"VAN CLEAVE";"BOBBIE";"Child Care Center";"805 1/2 W RICHMOND ST";"BOISE";389863;83706;208;"333-0550";"1 year 4 months to 5 years";"ICCP";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/7307";"ICCP";"http://www.southboisechildcare.com";"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Special needs accessible";;"Breakfast, Morning Snack, Lunch, Afternoon Snack";;"Motor Physically Impaired, Hearing Impaired, Visually Impaired, ADHD/ADD";"English, Sign Language";"High School Diploma/GED";"<br/>13-30 Months (1-2.5 years) : 700.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 660.00 Monthly FT<br/>5 - 6 Years : 580.00 Monthly FT"
"MAMA G & ME";"GROSS";"AMY";"(FCC)Group Child Care";;"BOISE";697413;83705;208;"989-8520";"3 years to 5 years";"ICCP";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/12606";"ICCP";"http://mamagandme.weebley.com";"Both";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard";;"Breakfast, Morning Snack, Lunch, USDA Food Program";"Whitney";;"English";"Bachelor's Degree, Child Related";"<br/>13-30 Months (1-2.5 years) : 30.00 Daily FT<br/>31-60 Months (2.5-5 years) : 30.00 Daily FT"
"CLOVERDALE CHRISTIAN DAY SCHOOL";"BRANDT";"KIM";"Child Care Center";"3755 S CLOVERDALE RD";"BOISE";208794;83709;208;"362-1702";"3 years to 7 years";"State Licensed";"Multi-child discount, Other";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/2086";"State Licensed";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";"Other";"Morning Snack, Afternoon Snack, Parent to Provide Meals";;"ADHD/ADD";"English";"Bachelor's Degree, Child Related";"<br/>31-60 Months (2.5-5 years) : 30.00 Daily FT, 395.00 Other FT<br/>5 - 6 Years : 30.00 Daily FT, 395.00 Other FT<br/>6 - 12 Years : 30.00 Daily FT"
"SMART START PRESCHOOL INC";"TIPPETTS";"ERIN";"Child Care Center";"13399 N 1ST AVE";"BOISE";674601;83714;208;"229-1234";"3 years to 9 years";"State Licensed";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/12222";"State Licensed";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard";;"Morning Snack";"Hidden Springs Charter School";"Developmental Disability, Emotional/Behavioral Disability, Motor Physically Impaired, Visually Impaired, ADHD/ADD";"English";"Bachelor's Degree, Child Related, Ask Provider";"<br/>31-60 Months (2.5-5 years) : 250.00 Monthly PT, 500.00 Monthly FT<br/>5 - 6 Years : 340.00 Monthly FT<br/>6 - 12 Years : 340.00 Monthly FT"
"HILLVIEW PRESCHOOL";"REGENIA FARSON";"CHRISTY BURGOYN";"Child Care Center";"8525 W USTICK RD";"BOISE";800458;83704;208;"377-9280";"2 years to 5 years";"City Licensed-data collection";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/13285";"City Licensed-data collection";;"Part-TimePart-Time";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Special needs accessible";;"Parent to Provide Meals";;;"English";"Ask Provider";
"AUNT SYBILS DAYCARE";"MARTINEZ";"SYBIL";"(FCC)Group Child Care";;"BOISE";550225;83705;208;"389-8718";"1 week to 12 years";"ICCP";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/10704";"ICCP";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, Fenced Yard";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, Dinner, USDA Food Program";"HILLCREST, MONROE";;"English";"High School Diploma/GED";"<br/>0 - 12 Months : 5.00 Hourly PT, 600.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 5.00 Hourly PT, 350.00 Monthly PT, 500.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 5.00 Hourly PT, 350.00 Monthly PT, 500.00 Monthly FT<br/>5 - 6 Years : 5.00 Hourly PT, 350.00 Monthly PT, 500.00 Monthly FT<br/>6 - 12 Years : 5.00 Hourly PT, 350.00 Monthly PT, 500.00 Monthly FT"
"BOISE BEARS CHILD CARE CENTER INC";"BROWN";"BARBARA";"Child Care Center";"1803 N 9TH ST";"BOISE";310221;83702;208;"440-6899";"1 month 2 weeks to 4 years";"ICCP";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/1877";"ICCP";"http://www.boisebears.com";"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard";;"Morning Snack, Afternoon Snack, Parent to Provide Meals";;"Hearing Impaired, ADHD/ADD";"English, Sign Language";;"<br/>0 - 12 Months : 750.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 620.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 575.00 Monthly FT"
"TRINITY LEARNING CENTER";"DELONEY";"LISA";"Child Care Center";"6854 S EISENMAN RD";"BOISE";461978;83716;208;"343-3486";"1 month 2 weeks to 12 years";"City Licensed-data collection, Referral Only";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/1978";"City Licensed-data collection, Referral Only";"http://www.trinitytreasuresboise.org";"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use, Special needs accessible";;"Breakfast, Lunch, Afternoon Snack, Infant Formula Provided";"LIBERTY, Riverside, TRAIL WIND, WHITE PINE";;"English, Spanish, Sign Language";"Bachelor's Degree, other";"<br/>0 - 12 Months : 965.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 880.00 Monthly FT, 850.00 Other FT<br/>31-60 Months (2.5-5 years) : 800.00 Monthly FT<br/>5 - 6 Years : 600.00 Monthly FT<br/>6 - 12 Years : 400.00 Monthly FT"
"XYZ LLC - GEM STATE LEARNING CENTER";"LINKEY";"BECKY";"Child Care Center";"5420 W STATE ST";"BOISE";554258;83703;208;"853-3220";"3 years to 12 years";"ICCP";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/1847";"ICCP";"http://www.gemstate Gymnastics.com";"Both";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day";;"Parent to Provide Meals";"ANSER CHARTER SCHOOL, CECIL D ANDRUS, Cole Valley Christian School, COLLISTER, CYNTHIA MANN, Hidden Springs Charter School, PIERCE PARK, SEVEN OAKS, SHADOW HILLS, St. Maries, WHITTIER, WILLIAM HOWARD TAFT";"Developmental Disability, Emotional/Behavioral Disability, Infant Monitoring Device, Hearing Impaired, Visually Impaired, ADHD/ADD";"English";"Bachelor's Degree, other";"<br/>13-30 Months (1-2.5 years) : 560.00 Monthly FT, 190.00 Other PT<br/>31-60 Months (2.5-5 years) : 560.00 Monthly FT, 230.00 Other PT<br/>5 - 6 Years : 435.00 Monthly FT<br/>6 - 12 Years : 360.00 Monthly FT"
"SALINAS SUNSHINE DAYCARE";"ROSAS";"SALINA";"Family Child Care";;"BOISE";249038;83704;208;"794-4832";"1 month 2 weeks to 12 years";"ICCP";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/1374";"ICCP";;"Both";"Smoke Free Facility, Outdoor Play Equipment, Fenced Yard";;"Breakfast, Lunch, Afternoon Snack, Dinner, USDA Food Program";"KOELSCH";;"English";"High School Diploma/GED";"<br/>0 - 12 Months : 7.00 Hourly PT, 115.00 Weekly FT, 30.00 Other FT<br/>13-30 Months (1-2.5 years) : 7.00 Hourly PT, 115.00 Weekly FT, 30.00 Other FT<br/>31-60 Months (2.5-5 years) : 7.00 Hourly PT, 115.00 Weekly FT, 30.00 Other FT<br/>5 - 6 Years : 7.00 Hourly PT, 115.00 Weekly FT, 30.00 Other FT<br/>6 - 12 Years : 7.00 Hourly PT, 115.00 Weekly FT, 30.00 Other FT"
"BEKAHS CHILDCARE";"ROYTER";"REBEKAH";"(FCC)Group Child Care";;"BOISE";363358;83704;208;"672-0538";"3 weeks to 12 years";"ICCP";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/2553";"ICCP";;"Both";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, USDA Food Program, Special Meal Request, Infant Formula Provided";"VALLEY VIEW";"Developmental Disability, Motor Physically Impaired, Significant Chronic Illness, ADHD/ADD";"English";"Some College, other";"<br/>0 - 12 Months : 32.00 Daily FT<br/>13-30 Months (1-2.5 years) : 30.00 Daily FT<br/>31-60 Months (2.5-5 years) : 26.00 Daily FT<br/>5 - 6 Years : 26.00 Daily FT<br/>6 - 12 Years : 24.00 Daily FT"
"THE COOPERATIVE PRESCHOOL";"CIRILLO";"ANNE";"Child Care Center";"11 N LATAH ST";"BOISE";800809;83706;208;"342-7479";"1 year to 5 years";"City Licensed-data collection";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/13298";"City Licensed-data collection";"http://www.cooperativepreschool.org";"Part-Time";"Smoke Free Facility, T.V. used less than 1 hr/day, Special needs accessible";"NAEYC";"Parent to Provide Meals";;;"English, Spanish";"Master's Degree, child related";"<br/>13-30 Months (1-2.5 years) : 58.00 Other FT<br/>31-60 Months (2.5-5 years) : 150.00 Other FT"
