"ID";"Inspection Date";"Primary Type";"Complaint";"Rule Description";"Finding Category";"Non Compliance Level";"Correction Date";"Correction Verification";"Finding Description"
76283;"2020-06-30";"Non On-Site Inspection";;;;;;;
76283;"2020-06-18";"Pre-Inspection";;;;;;;
15614;"2020-10-13";"Non On-Site Inspection";;;;;;;
15614;"2020-10-05";"Announced, Annual Inspection";;;;;;;
15614;"2020-07-29";"Follow-Up Inspection";;;;;;;
15614;"2020-07-27";"Non On-Site Inspection";;;;;;;
15614;"2020-07-08";"Unannounced, Annual Inspection";;;;;;;
15614;"2019-11-12";"Follow-Up Inspection";;;;;;;
15614;"2019-11-04";"Announced, Annual Inspection";;;;;;;
15614;"2019-02-25";"Unannounced, Annual Inspection";;;;;;;
15614;"2018-09-13";"Non On-Site Inspection";;;;;;;
15614;"2018-09-10";"Announced, Annual Inspection";;;;;;;
15614;"2018-04-17";"Follow-Up Inspection";;;;;;;
15614;"2018-03-28";"Unannounced, Annual Inspection";;;;;;;
56917;"2020-07-15";"Unannounced, Annual Inspection";;;;;;;
56917;"2020-02-10";"Announced, Annual Inspection";;;;;;;
56917;"2019-10-23";"Unannounced, Annual Inspection";;;;;;;
56917;"2019-03-21";"Follow-Up Inspection";;;;;;;
56917;"2019-03-05";"Announced, Annual Inspection";;;;;;;
56917;"2018-11-20";"Follow-Up Inspection";;;;;;;
56917;"2018-11-08";"Unannounced, Annual Inspection";;;;;;;
48118;"2021-03-02";"Announced, Annual Inspection";;;;;;;
48118;"2020-06-16";"Non On-Site Inspection";;;;;;;
48118;"2020-06-10";"Announced, Annual Inspection";;;;;;;
48118;"2019-09-13";"Follow-Up Inspection";;;;;;;
48118;"2019-08-21";"Unannounced, Annual Inspection";;"90-19(12)(a)-(c); trampoline with safety net";"Citation";"High";"2019-09-13";"Correction Verified";"The provider did not comply with the Play Equipment rule by having an accessible trampoline with a safety net enclosure that was placed within 3 feet of any structure or object onto which a child could fall. In the outdoor play area, the trampoline was placed within 3 feet of the sand box, large outdoor toys, and a tree."
48118;"2019-03-04";"Announced, Annual Inspection";;;;;;;
48118;"2018-09-10";"Unannounced, Annual Inspection";;;;;;;
48118;"2018-03-28";"Follow-Up Inspection";;;;;;;
34194;"2021-03-01";"Announced, Annual Inspection";;;;;;;
34194;"2020-09-25";"Non On-Site Inspection";;;;;;;
34194;"2020-09-09";"Pre-Inspection";;;;;;;
48054;"2019-11-08";"Non On-Site Inspection";;;;;;;
48054;"2018-10-09";"Non On-Site Inspection";;;;;;;
48054;"2018-09-26";"Unannounced, Annual Inspection";;"8 - 5) 3) a) - d); Covered Individual without a background check";"Citation";"High";"2018-11-14";"Correction Verified";"The provider did not comply with the Background Checks requirements. In the facility, a new caregiver was allowed to work before CCL notification that the covered individual passed a background check."
4116;"2020-09-18";"Announced, Annual Inspection";;;;;;;
4116;"2020-06-26";"Unannounced, Annual Inspection";;;;;;;
4116;"2019-09-13";"Announced, Annual Inspection";;;;;;;
4116;"2019-04-01";"Follow-Up Inspection";;;;;;;
4116;"2019-03-15";"Unannounced, Annual Inspection";;;;;;;
4116;"2018-08-22";"Announced, Annual Inspection";;;;;;;
27594;"2021-02-08";"Unannounced, Annual Inspection";;;;;;;
27594;"2020-07-03";"Follow-Up Inspection";;;;;;;
27594;"2020-06-30";"Announced, Annual Inspection";;;;;;;
27594;"2019-12-10";"Unannounced, Annual Inspection";;;;;;;
27594;"2019-06-25";"Follow-Up Inspection";;;;;;;
27594;"2019-06-03";"Announced, Annual Inspection";;"90-19(4); crush, shearing, sharp edge hazards";"Citation";"High";"2019-06-03";"Correction Verified";"The provider did not comply with the Play Equipment rule by having a crush hazard accessible to children in care. In the outdoor play area, there was a swing seat attached to a tree branch that created a crush point between the swing seat and the tree trunk."
27594;"2019-01-23";"Unannounced, Annual Inspection";;;;;;;
27594;"2018-08-16";"Follow-Up Inspection";;;;;;;
27594;"2018-07-23";"Announced, Annual Inspection";;;;;;;
30216;"2020-12-28";"Announced, Annual Inspection";;;;;;;
30216;"2020-07-28";"Non On-Site Inspection";;;;;;;
30216;"2020-07-14";"Unannounced, Annual Inspection";;;;;;;
30216;"2020-01-29";"Follow-Up Inspection";;;;;;;
30216;"2020-01-14";"Announced, Annual Inspection";;;;;;;
30216;"2019-11-05";"Follow-Up Inspection";;;;;;;
30216;"2019-09-12";"Unannounced, Annual Inspection";;"90-13(13); weapons";"Citation";"High";"2019-09-12";"Correction Verified";"The provider did not comply with the Child Safety and Injury Prevention rule by having weapons accessible to children in care.  In the garage, there was a pellet gun."
30216;"2019-01-31";"Pre-Inspection";;;;;;;
30216;"2018-11-09";"Follow-Up Inspection";;;;;;;
30216;"2018-10-29";"Unannounced, Annual Inspection";;;;;;;
30216;"2018-03-28";"Follow-Up, Additional Follow-Up Inspection";;;;;;;
30216;"2018-03-23";"Follow-Up Inspection";;"90-13(2)(c); choking hazards";"Citation";"Moderate";"2018-03-28";"Correction Verified";"The provider did not ensure that choking hazards were inaccessible to children in care. In the playroom, there were small toys accessible to children in care.  This was a repeat noncompliant finding."
30216;"2018-03-23";"Follow-Up Inspection";;"90-11(1)(d); caregivers' attention is on the children";"Citation";"High";"2018-03-23";"Correction Verified";"The provider did not ensure that caregivers provided and maintained active supervision of each child. At the time of the inspection, two children were not actively being supervised."
34834;"2020-09-16";"Unannounced, Annual Inspection";;;;;;;
34834;"2020-05-11";"Non On-Site Inspection";;;;;;;
34834;"2020-03-12";"Announced, Annual Inspection";;;;;;;
34834;"2019-08-14";"Unannounced, Annual Inspection";;;;;;;
34834;"2019-04-11";"Follow-Up Inspection";;;;;;;
34834;"2019-03-27";"Announced, Annual Inspection";;"90-13(8); standing water";"Citation";"High";"2019-03-27";"Correction Verified";"The provider did not comply with the Child Safety and Injury Prevention rule by having standing water accessible to children. In the outdoor play area, there were 2 buckets that had water in them."
34834;"2018-10-18";"Unannounced, Annual Inspection";;;;;;;
34834;"2018-04-12";"Follow-Up Inspection";;;;;;;
34834;"2018-03-28";"Announced, Annual Inspection";;;;;;;
10069;"2021-02-10";"Announced, Annual Inspection";;;;;;;
10069;"2020-09-29";"Follow-Up Inspection";;;;;;;
10069;"2020-09-14";"Unannounced, Annual Inspection";;;;;;;
10069;"2020-03-05";"Announced, Annual Inspection";;;;;;;
10069;"2019-08-01";"Unannounced, Annual Inspection";;;;;;;
10069;"2019-04-03";"Pre-Inspection";;;;;;;
10069;"2018-11-08";"Unannounced, Annual Inspection";;;;;;;
10069;"2018-08-28";"Follow-Up Inspection";;;;;;;
10069;"2018-08-14";"Pre-Inspection";;;;;;;
31514;"2021-01-07";"Announced, Annual Inspection";;;;;;;
31514;"2020-07-07";"Follow-Up Inspection";;;;;;;
31514;"2020-06-22";"Unannounced, Annual Inspection";;;;;;;
31514;"2020-01-22";"Announced, Annual Inspection";;;;;;;
31514;"2019-08-27";"Follow-Up Inspection";;;;;;;
31514;"2019-07-01";"Unannounced, Annual Inspection";;;;;;;
31514;"2019-01-16";"Announced, Annual Inspection";;;;;;;
31514;"2018-10-15";"Follow-Up Inspection";;;;;;;
31514;"2018-09-04";"Unannounced, Annual Inspection";;"90-13(12)(a)-(b); firearms";"Citation";"High";"2018-09-04";"Correction Verified";"The provider did not ensure that firearms were stored in a locked cabinet or area.  In the boy's bedroom, there were several rifles in a gun rack on the wall."
10976;"2020-09-24";"Announced, Annual Inspection";;;;;;;
10976;"2020-05-15";"Unannounced, Annual Inspection";;;;;;;
10976;"2019-09-26";"Announced, Annual Inspection";;;;;;;
10976;"2019-09-24";"Announced, Annual Inspection";;;;;;;
10976;"2019-05-23";"Follow-Up Inspection";;;;;;;
10976;"2019-04-25";"Unannounced, Annual Inspection";;"90-24(15); infants sleep in equipment designed for sleet";"Citation";"High";"2019-05-23";"Correction Verified";"The provider did not comply with the Infant and Toddler Care rule by having an infant sleeping on equipment not allowed for a sleeping infant.  At the time of the inspection, the provider stated that an infant in care sleeps on a mat on the floor."
10976;"2018-10-12";"Pre-Inspection";;;;;;;
10976;"2018-09-27";"Follow-Up Inspection";;;;;;;
10976;"2018-08-30";"Announced, Annual Inspection";;;;;;;
10976;"2018-03-28";"Unannounced, Annual Inspection";;;;;;;
33374;"2020-09-04";"Follow-Up Inspection";;;;;;;
33374;"2020-08-31";"Pre-Inspection";;;;;;;
43814;"2021-01-27";"Unannounced, Annual Inspection";;;;;;;
43814;"2020-05-21";"Non On-Site Inspection";;;;;;;
43814;"2020-05-12";"Announced, Annual Inspection";;;;;;;
43814;"2019-11-05";"Unannounced, Annual Inspection";;;;;;;
43814;"2019-04-25";"Announced, Annual Inspection";;;;;;;
43814;"2018-12-21";"Follow-Up Inspection";;;;;;;
43814;"2018-12-05";"Unannounced, Annual Inspection";;;;;;;
43814;"2018-05-09";"Follow-Up Inspection";;;;;;;
43814;"2018-04-06";"Announced, Annual Inspection";;;;;;;
28109;"2020-10-29";"Announced, Annual Inspection";;;;;;;
28109;"2020-06-08";"Unannounced, Annual Inspection";;;;;;;
28109;"2019-10-03";"Announced, Annual Inspection";;;;;;;
28109;"2019-04-18";"Unannounced, Annual Inspection";;;;;;;
28109;"2018-09-07";"Announced, Annual Inspection";;;;;;;
28109;"2018-03-27";"Unannounced, Annual Inspection";;;;;;;
64114;"2021-02-05";"Unannounced, Annual Inspection";;;;;;;
64114;"2020-06-09";"Announced, Annual Inspection";;;;;;;
64114;"2019-10-17";"Follow-Up Inspection";;;;;;;
64114;"2019-10-07";"Unannounced, Annual Inspection";;;;;;;
64114;"2019-06-12";"Follow-Up Inspection";;;;;;;
64114;"2019-05-30";"Announced, Annual Inspection";;;;;;;
64114;"2018-08-15";"Unannounced, Annual Inspection";;;;;;;
64114;"2018-06-29";"Pre-Inspection";;;;;;;
47114;"2020-12-29";"Announced, Annual Inspection";;;;;;;
47114;"2020-06-15";"Unannounced, Annual Inspection";;;;;;;
47114;"2019-12-26";"Follow-Up Inspection";;;;;;;
47114;"2019-12-03";"Announced, Annual Inspection";;;;;;;
47114;"2019-04-12";"Follow-Up Inspection";;;;;;;
47114;"2019-04-01";"Unannounced, Annual Inspection";;;;;;;
47114;"2018-12-27";"Announced, Annual Inspection";;;;;;;
47114;"2018-05-10";"Unannounced, Annual Inspection";;;;;;;
82541;"2021-02-02";"Pre-Inspection";;;;;;;
43097;"2021-02-22";"Follow-Up Inspection";;;;;;;
43097;"2021-02-11";"Unannounced, Annual Inspection";;;;;;;
43097;"2020-07-21";"Announced, Annual Inspection";;;;;;;
43097;"2020-01-03";"Unannounced, Annual Inspection";;;;;;;
43097;"2019-08-27";"Announced, Annual Inspection";;;;;;;
43097;"2018-12-31";"Follow-Up Inspection";;;;;;;
43097;"2018-12-26";"Unannounced, Annual Inspection";;"100-11(1); Provide and maintain active supervision";"Repeat Citation";"Moderate";"2018-12-26";"Correction Verified";"The provider did not comply with the Child Supervision and Security rules by not ensuring that caregivers provided active supervision.  In the teacher's room, there was a 7 year old child left unsupervised.  This was a repeat rule violation."
43097;"2018-12-26";"Unannounced, Annual Inspection";;"100-23(6); Children not unattended on diapering surface";"Citation";"High";"2018-12-26";"Correction Verified";"The provider did not comply with the Diapering rules by allowing a child to be left unattended on the diapering surface.  In the Head Start 2's classroom, the caregiver stepped away from the changing table and left the child on it."
43097;"2018-08-23";"Follow-Up Inspection";;;;;;;
43097;"2018-08-09";"Announced, Annual Inspection";;"100-11(1); Provide and maintain active supervision";"Citation";"High";"2018-08-23";"Correction Verified";"The provider did not ensure that caregivers were able to accurately account for all of the children in their care.  In the 1/2 year old classroom and in the 2 year old classroom, the caregivers did not know the accurate number of children in their care."
26983;"2021-02-18";"Follow-Up Inspection";;;;;;;
26983;"2021-02-05";"Unannounced, Annual Inspection";;"100-8(2)(a)-(d); New covered individual background check";"Citation";"High";"2021-02-18";"Correction Verified";"The provider did not comply with the Background Checks rule by having a covered individual involved with child care in the program before receiving written notification of passed background check from CCL.  At the time of the inspection, there was a covered individual involved with child care who had not received written notification of a passed background check from CCL."
26983;"2020-07-07";"Follow-Up Inspection";;;;;;;
26983;"2020-06-25";"Announced, Annual Inspection";;;;;;;
26983;"2019-11-21";"Unannounced, Annual Inspection";;;;;;;
26983;"2019-08-06";"Follow-Up Inspection";;;;;;;
26983;"2019-07-26";"Announced, Annual Inspection";;;;;;;
26983;"2018-12-10";"Follow-Up Inspection";;;;;;;
26983;"2018-12-04";"Unannounced, Annual Inspection";;"100-11(1); Provide and maintain active supervision";"Citation";"High";"2018-12-04";"Correction Verified";"The provider did not comply with the Child Supervision and Security requirements.  In the infant/toddler classroom, the caregiver was unable to accurately account for all of the children in their care."
26983;"2018-07-05";"Follow-Up Inspection";;;;;;;
26983;"2018-06-29";"Announced, Annual Inspection";;;;;;;
47734;"2021-03-15";"Announced, Annual Inspection";;"100-13(7); Plastic bags, latex gloves, and balloons inaccessible to under 5";"Citation";"Moderate";"2021-03-15";"Follow-up required to verify compliance/maintenance";"The provider did not comply with the Child Safety and Injury Prevention rule by having accessible safety hazards.  In the Pre K-4 room in a drawer, there was an empty plastic grocery bag that was large enough for a child's head to fit inside. This was a repeat rule violation."
47734;"2021-02-22";"Unannounced, Annual Inspection";;;;;;;
47734;"2020-07-14";"Announced, Annual Inspection";;;;;;;
47734;"2019-10-17";"Follow-Up Inspection";;;;;;;
47734;"2019-10-08";"Unannounced, Annual Inspection";;;;;;;
47734;"2019-04-30";"Follow-Up Inspection";;;;;;;
47734;"2019-03-20";"Announced, Annual Inspection";;;;;;;
47734;"2018-10-19";"Follow-Up Inspection";;;;;;;
47734;"2018-09-10";"Unannounced, Annual Inspection";;;;;;;
80313;"2021-02-25";"Announced, Annual Inspection";;;;;;;
80313;"2020-09-23";"Pre-Inspection";;;;;;;
26793;"2020-08-28";"Follow-Up Inspection";;;;;;;
26793;"2020-08-25";"Announced, Annual Inspection";;;;;;;
26793;"2019-12-16";"Unannounced, Annual Inspection";;;;;;;
26793;"2019-06-26";"Non On-Site Inspection";;;;;;;
26793;"2019-06-24";"Announced, Annual Inspection";;;;;;;
26793;"2019-03-14";"Unannounced, Annual Inspection";;;;;;;
26793;"2018-07-10";"Announced, Annual Inspection";;;;;;;
50275;"2021-02-04";"Announced, Annual Inspection";;;;;;;
50275;"2020-09-21";"Unannounced, Annual Inspection";;;;;;;
50275;"2020-03-10";"Announced, Annual Inspection";;;;;;;
50275;"2019-10-29";"Non On-Site Inspection";;;;;;;
50275;"2019-10-24";"Non On-Site Inspection";;;;;;;
50275;"2019-10-11";"Unannounced, Annual Inspection";;;;;;;
50275;"2019-03-21";"Non On-Site Inspection";;;;;;;
50275;"2019-03-04";"Announced, Annual Inspection";;;;;;;
50275;"2018-10-03";"Non On-Site Inspection";;;;;;;
50275;"2018-10-01";"Unannounced, Annual Inspection";;;;;;;
50275;"2018-03-21";"Non On-Site Inspection";;;;;;;
14623;"2021-03-04";"Announced, Annual Inspection";;"ledws-7(8)(a)-(k); preservice training";"Repeat Citation";"Low";;"Follow-up required to verify compliance/maintenance";"The provider was not in compliance with the Personnel and Training requirement by having staff that had not completed required training.  In the facility, there were caregivers who had not completed preservice training."
14623;"2021-01-27";"Non On-Site Inspection";;;;;;;
14623;"2021-01-26";"Non On-Site Inspection";;;;;;;
14623;"2020-12-08";"Unannounced, Annual Inspection";;"ledws-8(1); New covered individual background check";"Citation";"High";"2021-01-26";"Correction Verified";"The provider did not show compliance with the Background Checks requirement by having Covered Individuals who had not passed the background check.  In the facility, there were caregivers who had not passed the background check."
14623;"2020-03-27";"Non On-Site Inspection";;;;;;;
14623;"2020-03-02";"Announced, Annual Inspection";;"40 - 2) b); background checks";"Repeat Citation";"High";"2020-03-02";"Correction Verified";"The provider did not show compliance with the Background Checks requirement by having Covered Individuals who had not passed the background check.  In the facility, there were caregivers who had not passed the background check."
14623;"2020-03-02";"Announced, Annual Inspection";;"40 - 2) b); background checks";"Repeat Citation";"High";"2020-03-27";"Correction Verified";"The provider did not show compliance with the Background Checks requirement by having Covered Individuals who had not passed the background check.  In the facility, there were caregivers who had not passed the background check."
14623;"2020-03-02";"Announced, Annual Inspection";;"40 - 1) i); documentation of preservice training";"Citation";"Low";"2020-03-27";"Correction Verified";"The provider was not in compliance with the Administration and Personnel requirement by not having required documentation available for review.  In the facility, there was no documentation of preservice training."
14623;"2019-10-10";"Non On-Site Inspection";;;;;;;
14623;"2019-09-20";"Unannounced, Annual Inspection";;"40 - 2) b); background checks";"Repeat Citation";"High";"2019-10-10";"Correction Verified";"The provider did not show compliance with the Background Checks regulation by having Covered Individuals who had not passed the background check.  In the facility, there were caregivers who had not passed the background check."
14623;"2019-04-25";"Non On-Site Inspection";;;;;;;
14623;"2019-03-27";"Announced, Annual Inspection";;"40 - 2) b); background checks";"Citation";"High";"2019-04-25";"Correction Verified";"The provider did not show compliance with the Background Checks regulation by having Covered Individuals who had not passed the background check.  In the facility, there were caregivers who had not passed the background check."
14623;"2018-11-13";"Non On-Site Inspection";;;;;;;
14623;"2018-11-06";"Unannounced, Annual Inspection";;"40 - 2) b); background checks";"Citation";"High";"2018-11-13";"Correction Verified";"The provider did not comply with the Background Checks requirements. In the facility, there were covered individuals who had not passed CCL background checks."
14623;"2018-04-04";"Non On-Site Inspection";;;;;;;
59455;"2020-12-31";"Non On-Site Inspection";;;;;;;
59455;"2020-12-17";"Announced, Annual Inspection";;"dwsffn-6(5); Current child immunizations";"Citation";"Moderate";"2020-12-31";"Correction Verified";"The provider did not comply with the Administration and Childrens Records requirement by not having a required record available for review.  In the home where care is provided, there were no current immunization records."
59455;"2020-08-04";"Unannounced, Annual Inspection";;;;;;;
59455;"2019-11-27";"Non On-Site Inspection";;;;;;;
59455;"2019-11-20";"Announced, Annual Inspection";;;;;;;
59455;"2019-07-10";"Unannounced, Annual Inspection";;;;;;;
59455;"2018-12-21";"Non On-Site Inspection";;;;;;;
59455;"2018-12-19";"Non On-Site Inspection";;;;;;;
59455;"2018-11-27";"Non On-Site Inspection";;;;;;;
59455;"2018-10-26";"Announced, Annual Inspection";;"30 - 2) b); background check - new household member";"Citation";"High";"2018-12-21";"Correction Verified";"The provider did not comply with Background Checks requirements. In the home where care is provided, a covered individual did not have a current background check."
59455;"2018-04-06";"Unannounced, Annual Inspection";;;;;;;
8887;"2021-01-26";"Announced, Annual Inspection";;;;;;;
8887;"2020-11-13";"Follow-Up Inspection";;;;;;;
8887;"2020-10-09";"Unannounced, Annual Inspection";;"50-13(4); choking hazards";"Repeat Citation";"Moderate";"2020-10-09";"Correction Verified";"The provider did not comply with the Child Safety and Injury Prevention rule by having choking hazards accessible to children younger than 3 years of age. In the playroom, there were small toys and broken crayons. This was a repeat citation."
8887;"2020-05-12";"Announced, Annual Inspection";;;;;;;
8887;"2019-09-18";"Non On-Site Inspection";;;;;;;
8887;"2019-09-03";"Non On-Site Inspection";;"50-8(1)(a)-(d); background check - new covered individual";"Repeat Citation";"Moderate";"2019-09-18";"Correction Verified";"The provider did not comply with the Background Checks rule by not submitting required fingerprints for a covered individual who turned 18 years old. At the time of the inspection, one covered individual had turned 18 and had not submitted the required fingerprints. This was a repeat rule violation."
8887;"2019-08-26";"Non On-Site Inspection";;"50-8(1)(a)-(d); background check - new covered individual";"Citation";"Moderate";"2019-09-18";"Correction Verified";"The provider did not comply with the Background Checks rule by not submitting required fingerprints for a covered individual who turned 18 years old. At the time of the inspection, one covered individual had turned 18 and had not submitted the required fingerprints. This was a repeat rule violation."
8887;"2019-08-14";"Unannounced, Annual Inspection";;;;;;;
8887;"2019-06-25";"Non On-Site Inspection";;;;;;;
8887;"2019-03-22";"Follow-Up, Additional Follow-Up Inspection";;;;;;;
8887;"2019-03-04";"Follow-Up Inspection";;"50-13(4); choking hazards";"Repeat Citation";"Moderate";"2019-03-04";"Correction Verified";"The provider did not comply with the Child Safety and Injury Prevention rule by having choking hazards accessible to children younger than 3 years of age. In the outdoor play area, there were pieces of broken plastic, broken crayons, a paper clip and a game piece on the ground. This was a repeat rule violation."
8887;"2019-02-19";"Announced, Annual Inspection";;"50-13(4); choking hazards";"Citation";"Moderate";"2019-02-19";"Correction Verified";"The provider did not comply with the Child Safety and Injury Prevention rule by having choking hazards accessible to children younger than 3 years of age.  In the outdoor play area, there was a small piece of chalk on the ground. This was a repeat rule violation."
8887;"2018-09-19";"Follow-Up Inspection";;;;;;;
8887;"2018-09-05";"Unannounced, Annual Inspection";;"50-8(1)(a)-(d); background check - new covered individual";"Citation";"High";"2018-09-19";"Correction Verified";"The provider did not ensure that before a new covered individual became involved with a child care in the program, they authorized the individual's background check and received written notice from CCL that the individual passed the background check.  At the time of the inspection, one individual did not have a background check."
8887;"2018-04-17";"Follow-Up, Additional Follow-Up Inspection";;;;;;;
8887;"2018-03-28";"Follow-Up Inspection";;"50-9(22); fence gap";"Citation";"High";"2018-04-17";"Correction Verified";"The provider did not ensure that there were no gaps 5 by 5 inches or greater in or under the fence. In the outdoor area, there was a gap in the back fence.  This was a repeat noncompliant finding."
8887;"2018-03-28";"Follow-Up Inspection";;"50-19(10)(a)-(b); 3 foot use zone, stable and securely anchored";"Citation";"Moderate";"2018-04-17";"Correction Verified";"The provider did not ensure stationary play equipment that was 18 inches or higher had a 3-foot use zone that was free of hard objects that extended from the outermost edge of the equipment. In the outdoor play area, there was hard dirt in the use zone of the play structure.  This was a repeat noncompliant finding."
8887;"2018-03-28";"Follow-Up Inspection";;"50-19(7); ASTM documentaion";"Citation";"Moderate";"2018-04-17";"Correction Verified";"The provider did not ensure the cushioning for stationary play equipment covered the entire surface of each required use zone. In the outdoor play area, there was hard dirt in the use zone of the large play structure.  This was a repeat noncompliant finding."
14530;"2020-11-17";"Announced, Annual Inspection";;;;;;;
14530;"2020-06-05";"Unannounced, Annual Inspection";;;;;;;
14530;"2019-11-22";"Announced, Annual Inspection";;;;;;;
14530;"2019-05-29";"Unannounced, Annual Inspection";;;;;;;
14530;"2018-12-06";"Follow-Up Inspection";;;;;;;
14530;"2018-11-14";"Announced, Annual Inspection";;;;;;;
14530;"2018-08-07";"Follow-Up Inspection";;;;;;;
14530;"2018-07-10";"Unannounced, Annual Inspection";;;;;;;
67080;"2020-10-07";"Announced, Annual Inspection";;;;;;;
67080;"2020-01-15";"Unannounced, Annual Inspection";;;;;;;
67080;"2019-09-26";"Announced, Annual Inspection";;;;;;;
67080;"2019-04-01";"Non On-Site Inspection";;;;;;;
67080;"2019-03-26";"Unannounced, Annual Inspection";;"8 - 5) 3) a) - d); Covered Individual without a background check";"Citation";"High";"2019-04-01";"Correction Verified";"The provider did not comply with the Background Check Requirements rule by having covered individuals involved with child care before passing the background check.  In the facility, there was a caregiver who had not passed the background check."
66783;"2020-08-21";"Unannounced, Annual Inspection";;;;;;;
66783;"2020-03-11";"Announced, Annual Inspection";;;;;;;
66783;"2019-06-14";"Unannounced, Annual Inspection";;;;;;;
2861;"2020-12-28";"Follow-Up Inspection";;;;;;;
2861;"2020-12-09";"Announced, Annual Inspection";;;;;;;
2861;"2020-08-25";"Non On-Site Inspection";;;;;;;
2861;"2020-08-10";"Unannounced, Annual Inspection";;;;;;;
2861;"2019-12-03";"Follow-Up Inspection";;;;;;;
2861;"2019-11-08";"Announced, Annual Inspection";;;;;;;
2861;"2019-04-19";"Follow-Up Inspection";;;;;;;
2861;"2019-03-25";"Unannounced, Annual Inspection";;;;;;;
2861;"2018-10-29";"Announced, Annual Inspection";;;;;;;
2861;"2018-04-25";"Follow-Up Inspection";;;;;;;
2861;"2018-04-19";"Unannounced, Annual Inspection";;;;;;;
69980;"2020-12-07";"Pre-Inspection";;;;;;;
69980;"2020-10-28";"Unannounced, Annual Inspection";;;;;;;
69980;"2020-05-12";"Announced, Annual Inspection";;;;;;;
69980;"2019-09-12";"Unannounced, Annual Inspection";;;;;;;
69980;"2019-05-02";"Pre-Inspection";;;;;;;
30069;"2020-08-10";"Non On-Site Inspection";;;;;;;
30069;"2020-07-30";"Announced, Annual Inspection";;;;;;;
30069;"2020-02-25";"Unannounced, Annual Inspection";;;;;;;
30069;"2019-07-11";"Announced, Annual Inspection";;;;;;;
30069;"2019-03-14";"Unannounced, Annual Inspection";;;;;;;
30069;"2018-08-15";"Follow-Up Inspection";;;;;;;
30069;"2018-06-21";"Announced, Annual Inspection";;;;;;;
27974;"2020-07-08";"Non On-Site Inspection";;;;;;;
27974;"2020-06-29";"Announced, Annual Inspection";;;;;;;
27974;"2019-11-05";"Unannounced, Annual Inspection";;;;;;;
27974;"2019-05-29";"Announced, Annual Inspection";;;;;;;
27974;"2019-01-09";"Unannounced, Annual Inspection";;;;;;;
27974;"2018-05-08";"Announced, Annual Inspection";;;;;;;
67620;"2021-01-21";"Announced, Annual Inspection";;;;;;;
67620;"2020-09-23";"Non On-Site Inspection";;;;;;;
67620;"2020-08-26";"Unannounced, Annual Inspection";;;;;;;
67620;"2020-01-02";"Announced, Annual Inspection";;;;;;;
67620;"2019-07-25";"Follow-Up Inspection";;;;;;;
67620;"2019-07-10";"Unannounced, Annual Inspection";;"90-13(12)(a)-(b); firearms";"Citation";"High";"2019-07-10";"Correction Verified";"The provider did not comply with the Child Safety and Injury Prevention rule by having unlocked firearms. In the upstairs back media room, there were unlocked firearms."
67620;"2019-02-25";"Pre-Inspection";;;;;;;
26882;"2020-07-07";"Announced, Annual Inspection";;;;;;;
26882;"2020-03-09";"Follow-Up Inspection";;;;;;;
26882;"2020-02-21";"Unannounced, Annual Inspection";;"90-13(12)(a)-(b); firearms";"Citation";"Extreme";"2020-02-21";"Correction Verified";"The provider did not comply with the Child Safety and Injury Prevention rule by having firearms that were not locked in a cabinet or area with a key, combination lock, or fingerprint lock. In the garage, there were unlocked firearms."
26882;"2020-02-21";"Unannounced, Annual Inspection";;"90-13(4); choking hazards";"Citation";"Moderate";"2020-02-21";"Correction Verified";"The licensor did not comply with the Child Safety and Injury Prevention rule by having choking hazards accessible to children under 3 years of age. In the living room, there were wood chips. In the outdoor area, there were broken pieces of plastic. This was a repeat rule violation."
26882;"2020-02-21";"Unannounced, Annual Inspection";;"90-9(17); fence gaps";"Citation";"High";"2020-02-21";"Correction Verified";"The provider did not comply with the Facility rule by having a greater than 5 by 5 inch gap in the fence. In the outdoor play area, there was a greater than 5 by 5 inch gap in the fence. This was a repeat rule violation."
26882;"2019-07-18";"Follow-Up Inspection";;;;;;;
26882;"2019-06-27";"Announced, Annual Inspection";;;;;;;
26882;"2019-01-30";"Follow-Up, Additional Follow-Up Inspection";;;;;;;
26882;"2019-01-18";"Follow-Up Inspection";;;;;;;
26882;"2019-01-11";"Unannounced, Annual Inspection";;"90-9(15)(a)-(b); 4 foot high fence";"Citation";"Moderate";"2019-01-18";"Correction Verified";"The provider did not comply with the Facility rule by not enclosing the outdoor area with a 4 foot fence.  At the time of the inspection, the south fence was 38 inches. This was a repeat rule violation."
26882;"2018-06-05";"Follow-Up Inspection";;;;;;;
26882;"2018-05-31";"Announced, Annual Inspection";;;;;;;
26882;"2018-04-11";"Follow-Up Inspection";;;;;;;
28457;"2020-08-18";"Announced, Annual Inspection";;;;;;;
28457;"2020-02-25";"Unannounced, Annual Inspection";;;;;;;
28457;"2019-08-13";"Announced, Annual Inspection";;;;;;;
28457;"2019-04-04";"Unannounced, Annual Inspection";;;;;;;
28457;"2018-08-13";"Announced, Annual Inspection";;;;;;;
28457;"2018-06-25";"Follow-Up Inspection";;;;;;;
28457;"2018-05-17";"Unannounced, Annual Inspection";;;;;;;
72281;"2020-10-28";"Announced, Annual Inspection";;;;;;;
72281;"2020-10-28";"Non On-Site Inspection";;;;;;;
72281;"2020-07-08";"Follow-Up Inspection";;;;;;;
72281;"2020-06-24";"Unannounced, Annual Inspection";;;;;;;
72281;"2019-12-23";"Pre-Inspection";;;;;;;
