"County";"CLR#";"Name";"Location Address";"City";"State";"Zip";"Phone";"Mailing Address";"Mailing City";"Mailing Zip";"Expiration Date";"Capacity";"Age Range Of Service";"Transporation Service";"Non Traditional";"Stars Rating";"Provider Type";"Active CCAP Children";"Address 2";"Serves Children with Special Needs"
"OLDHAM";"L383604";"Cadence Academy Preschool";"8905 West Highway 22";"Crestwood";"KY";40014;"(502) 243-8484";"8905 West Highway 22";" Crestwood";40014;"07/31/2020";220;"Infant To Two_To_School";"N";"No Information Available";1;"Licensed";"N";;"No Information Available"
"TRIGG";"L359451";"Cadiz Baptist Church Christian Academy";"82 Main Street";"Cadiz";"KY";42211;"(270) 522-6004";"82 Main Street";" Cadiz";42211;"08/31/2020";77;"Toddler To Two_To_School";"N";"No Information Available";4;"Licensed";"N";;"No Information Available"
"TRIGG";"L356263";"Cadiz Child Development Center";"117 Lincoln Avenue # 51-b";"Cadiz";"KY";42211;"(270) 522-4035";"117 Lincoln Avenue, # 51-B";" Cadiz";42211;"10/31/2020";40;"Two_To_School";"Y";"N";4;"Licensed";"Y";;"Y"
"TRIGG";"L358587";"Cadiz Let's Go Play Academy";"130 Lone Oak Drive";"Cadiz";"KY";42211;"(270) 522-5437";"130 A Lone Oak Drive";" Cadiz";42211;"09/30/2020";126;"Infant To School Age";"N";"N";3;"Licensed";"Y";;"Y"
"HENDERSON";"L355063";"Cairo Childcare";"10694 Highway 41-a";"Henderson";"KY";42420;"(270) 533-1286";"10694 Highway 41 A";" Henderson";42420;"09/30/2020";90;"School_Age";"N";"N";4;"Licensed";"N";;"No Information Available"
"JEFFERSON";"L357994";"CAL - Jr. Academy";"8307 St. Andrews Church Road";"Louisville";"KY";40258;"(502) 753-4633";"8307 St. Andrews Church Road";" Louisville";40258;"08/31/2020";145;"Toddler To School_Age";"N";"N";1;"Licensed";"N";;"Y"
"HARDIN";"L357325";"Caldwell Child Development Center";"855 South Dixie Boulevard";"Radcliff";"KY";40160;"(270) 351-7382";"855 South Dixie Boulevard";" Radcliff";40160;"12/31/2020";64;"Infant To School Age";"N";"N";1;"Licensed";"Y";;"N"
"CALDWELL";"L354226";"Caldwell County School Age Child Care";"105 Education Drive";"Princeton";"KY";42445;"(270) 365-8044";"105 Education Drive";" Princeton";42445;"05/31/2020";99;"School_Age";"Y";"N";4;"Licensed";"Y";;"No Information Available"
"MCLEAN";"L356945";"Calhoun Elementary Afterschool";"755 Main Street";"Calhoun";"KY";42327;"(270) 273-3264";"755 Main Street";" Calhoun";42327;"04/30/2020";80;"Two_To_School To School_Age";"N";"N";1;"Licensed";"N";;"Y"
"BOYLE";"L354133";"Calvary Child Care Center";"401 Waveland Avenue";"Danville";"KY";40422;"(859) 238-7712";"401 Waveland Avenue";" Danville";40422;"03/31/2020";82;"Infant To School Age";"N";"N";3;"Licensed";"Y";;"Y"
"KENTON";"L357243";"Calvary Christian Preschool";"5957 Taylor Mill Road";"Covington";"KY";41015;"(859) 356-1121";"5955 Taylor Mill Road";" Covington";41015;"08/31/2020";49;"Two_To_School To School_Age";"N";"No Information Available";"Not Participating";"Licensed";"N";;"No Information Available"
"CLARK";"L355502";"Calvary Christian School";"15 Redwing Drive";"Winchester";"KY";40391;"(859) 744-0817";"15 Redwing Drive";" Winchester";40391;"08/31/2020";245;"Infant To School Age";"N";"N";3;"Licensed";"Y";;"Y"
"MONTGOMERY";"L354149";"Camargo After School Child Care Center";"4307 Camargo Road";"Mt. Sterling";"KY";40353;"(859) 497-8724";"640 Woodford Drive";" Mt. Sterling";40353;"05/31/2020";98;"Two_To_School To School_Age";"Y";"N";4;"Licensed";"Y";;"Y"
"MONTGOMERY";"L383721";"Camargo Head Start";"4307 Camargo Road";"Mt. Sterling";"KY";40353;"(859) 743-3133";"P.O. Box 367";" West Liberty";41472;"02/29/2020";20;"Two_To_School";"Y";"No Information Available";1;"Licensed";"N";;"No Information Available"
"OLDHAM";"L355888";"Camden Station Eagles Nest";"6401 West Highway 146";"Crestwood";"KY";40014;"(502) 241-3405";"6401 West Highway 146";" Crestwood";40014;"06/30/2020";200;"Two_To_School To School_Age";"Y";"N";1;"Licensed";"Y";;"No Information Available"
"HOPKINS";"L355883";"Camp Pride Child Care";"861 Pride Avenue";"Madisonville";"KY";42431;"(270) 871-5338";"861 Pride Avenue";" Madisonville";42431;"05/31/2020";99;"School_Age";"N";"N";3;"Licensed";"N";;"Y"
"CAMPBELL";"L384024";"Campbell County YMCA: After School Program";"1437 S Ft. Thomas Avenue";"Ft. Thomas";"KY";41075;"(859) 781-1814";"1437 S Ft. Thomas Avenue";" Ft. Thomas";41075;"05/31/2020";80;"School_Age";"Y";"No Information Available";1;"Licensed";"N";;"No Information Available"
"BULLITT";"L353399";"Campbell's Child Care";"1263 Bells Mill Road";"Shepherdsville";"KY";40165;"(502) 955-9191";"1263 Bells Mill Road";" Shepherdsville";40165;"06/30/2020";31;"Infant To School Age";"N";"N";1;"Licensed";"N";;"No Information Available"
"TAYLOR";"L355952";"Campbellsville Child Development Center";"420 North Central Avenue";"Campbellsville";"KY";42718;"(270) 465-0812";"P.O. Box 339";" Campbellsville";42719;"08/31/2020";125;"Infant To School Age";"N";"N";3;"Licensed";"Y";;"Y"
"TAYLOR";"L354511";"Campbellsville Christian Church Center For Education";"302 Lebanon Avenue";"Campbellsville";"KY";42718;"(270) 465-5571";"302 Lebanon Avenue";" Campbellsville";42718;"08/31/2020";93;"Two_To_School To School_Age";"N";"No Information Available";3;"Licensed";"N";;"No Information Available"
"TAYLOR";"L350860";"Campbellsville/Taylor County Head Start";"1951 Old Columbia Road";"Campbellsville";"KY";42718;"(270) 789-3978";"P.O. Box 830, 23 Industry Rd.";" Jamestown";42629;"03/31/2020";120;"Two_To_School";"Y";"No Information Available";5;"Licensed";"N";;"No Information Available"
"HENRY";"L383476";"Campfire Eminence Elementary";"254 West Broadway Street";"Eminence";"KY";40019;"(502) 845-5428";"291 West Broadway St.";" Eminence";40019;"06/30/2020";256;"Two_To_School To School_Age";"Y";"No Information Available";2;"Licensed";"Y";;"Y"
"FAYETTE";"L359235";"Campus Kids Early Learning Center";"1165 Centre Parkway #225";"Lexington";"KY";40517;"(859) 271-7670";"1165 Centre Parkway #225";" Lexington";40517;"07/31/2020";70;"Infant To School Age";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"ADAIR";"C3838";"Candy Land Child Care";"290 Royal Oaks Road";"Columbia";"KY";42728;"(270) 384-7884";"290 Royal Oaks Road";" Columbia";42728;"09/30/2020";6;"No Information Available";"N";"Y";5;"Certified";"Y";;"No Information Available"
"JEFFERSON";"L383180";"Candyland Daycare";"1945 Lower Hunters Trace";"Louisville";"KY";40216;"(502) 883-4383";"1945 Lower Hunters Trace";" Louisville";40216;"07/31/2020";18;"Infant To School Age";"N";"Y";1;"Licensed";"Y";;"Y"
"JEFFERSON";"L354774";"Cane Run Elementary Childcare Enrichment Program";"3951 Cane Run Road";"Louisville";"KY";40211;"(502) 637-1575";"2411 Bowman Avenue, YMCA";" Louisville";40217;"12/31/2020";104;"Two_To_School To School_Age";"Y";"N";4;"Licensed";"Y";;"Y"
"KNOX";"L356222";"Cannon Head Start Center";"56 Malibu Drive";"Cannon";"KY";40923;"(606) 546-7511";"P.O. Box 490";" Barbourville";40906;"08/31/2020";80;"Two_To_School";"Y";"No Information Available";4;"Licensed";"N";;"No Information Available"
"BOYD";"L354759";"Cannonsburg Elementary School Age Child Care";"12219 Midland Trail Road";"Ashland";"KY";41102;"(606) 928-7134";"12219 Midland Trail Road";" Ashland";41102;"09/30/2020";60;"Two_To_School To School_Age";"N";"N";1;"Licensed";"Y";;"Y"
"CALLOWAY";"C71006";"Canterbury Day School";"1501 Chaucer Drive";"Murray";"KY";42071;"(270) 767-0788";"1501 Chaucer Drive";" Murray";42071;"09/30/2021";6;"No Information Available";"N";"No Information Available";1;"Certified";"N";;"No Information Available"
"FRANKLIN";"L354697";"Capital Day School";"120 Deepwood Road";"Frankfort";"KY";40601;"(502) 227-7121";"120 Deepwood Road";" Frankfort";40601;"05/31/2020";128;"Two_To_School To School_Age";"N";"N";"Not Participating";"Licensed";"N";;"Y"
"WAYNE";"L383720";"Cardinal Kids Campus";"1080 South Main Street";"Monticello";"KY";42633;"(606) 348-1591";"1080 South Main Street";" Monticello";42633;"02/29/2020";61;"Two_To_School To School_Age";"N";"No Information Available";3;"Licensed";"Y";;"Y"
"JEFFERSON";"L383587";"Care 4 Me (Ms. Ella's) Childcare Center";"2933 W. Muhammad Ali Blvd";"Louisville";"KY";40212;"(502) 778-0405";"2933 W. Muhammad Ali Blvd";" Louisville";40212;"06/30/2020";21;"Infant To School Age";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"CAMPBELL";"L353190";"Care Bear Day Care Center";"400 Vine Street";"Dayton";"KY";41074;"(859) 291-1091";"400 Vine St";" Dayton";41074;"08/31/2020";163;"Infant To School Age";"Y";"N";4;"Licensed";"Y";;"No Information Available"
"MCCRACKEN";"L354966";"Care Bear's Day Care";"1315 Park Avenue";"Paducah";"KY";42001;"(270) 441-7354";"1315 Park Avenue";" Paducah";42001;"05/31/2020";21;"Infant To School Age";"N";"Y";1;"Licensed";"Y";;"No Information Available"
"JEFFERSON";"L354543";"Care-A-Lot Day Care";"4701 Fegenbush Lane";"Louisville";"KY";40228;"(502) 499-8394";"4701 Fegenbush Lane";" Louisville";40228;"10/31/2020";32;"Infant To School Age";"N";"N";3;"Licensed";"Y";;"N"
"RUSSELL";"C71017";"Carol's Child Care";"2507 Blair Road";"Russell Springs";"KY";42642;"(270) 566-0093";"2507 Blair Road";" Russell Springs";42642;"03/31/2020";6;"No Information Available";"N";"No Information Available";1;"Certified";"Y";;"Y"
"KNOTT";"L353000";"Carr Creek Head Start";"8596 Highways 160";"Litt Carr";"KY";41838;"(606) 642-3690";"398 Roy Campbell Drive";" Hazard";41701;"12/31/2020";58;"Infant To Two_To_School";"Y";"No Information Available";4;"Licensed";"N";;"No Information Available"
"JEFFERSON";"L356674";"Carriage House Preschool";"13101 Eastpoint Park Blvd";"Louisville";"KY";40223;"(502) 253-1293";"13101 Eastpoint Park Blvd";" Louisville";40223;"08/31/2020";90;"Toddler To School_Age";"N";"N";5;"Licensed";"N";;"Y"
"FAYETTE";"L358634";"Carrie's Place";"400 Breckenridge St.";"Lexington";"KY";40508;"(859) 225-0066";"400 Breckenridge St";" Lexington";40508;"02/29/2020";12;"Infant To Two_To_School";"N";"N";3;"Licensed";"Y";;"No Information Available"
"CARROLL";"L358456";"Carroll County Child Development Center";"619 Ninth Street";"Carrollton";"KY";41008;"(502) 732-7016";"619 Ninth Street";" Carrollton";41008;"10/31/2020";120;"Infant To Two_To_School";"Y";"N";5;"Licensed";"N";;"No Information Available"
"CARROLL";"L383553";"Carroll County Child Development Center";"1706 Highland Avenue";"Carrollton";"KY";41008;"(502) 732-7016";"619 Ninth Street";" Carrollton";41008;"02/29/2020";20;"Infant To Two_To_School";"N";"No Information Available";5;"Licensed";"N";;"No Information Available"
"JEFFERSON";"L358489";"Carter Elementary Childcare Enrichment Program";"3600 Bohne Ave.";"Louisville";"KY";40211;"(502) 618-7678";"2411 Bowman Avenue, YMCA";" Louisville";40217;"07/31/2020";138;"Two_To_School To School_Age";"Y";"N";1;"Licensed";"Y";;"Y"
"CASEY";"L383487";"Casey County Early Head Start";"1673 E. Hwy 70,  Bldg 306";"Liberty";"KY";42539;"(606) 787-1879";"1673 E. Hwy 70, Bldg 306";" Liberty";42539;"04/30/2020";29;"Infant To School Age";"N";"No Information Available";4;"Licensed";"N";;"No Information Available"
"FAYETTE";"L358941";"Cassidy Elementary";"1125 Tates Creek Road";"Lexington";"KY";40502;"(859) 381-3018";"1125 Tates Creek Road";" Lexington";40502;"06/30/2020";152;"School_Age";"N";"N";1;"Licensed";"N";;"No Information Available"
"BUTLER";"L383896";"Caterpillar Lane Childcare";"205 E Ohio";"Morgantown";"KY";42261;"(270) 288-5016";"560 Barren River Road";" Morgantown";42261;"04/30/2020";38;"Infant To Two_To_School";"N";"No Information Available";1;"Licensed";"Y";;"No Information Available"
"DAVIESS";"L353975";"Cathedral Preschool";"600 Locust Street";"Owensboro";"KY";42301;"(270) 926-1652";"600 Locust Street";" Owensboro";42301;"01/31/2020";80;"Two_To_School";"N";"No Information Available";5;"Licensed";"N";;"No Information Available"
"BARREN";"L354368";"Cave City Head Start";"Apt G-1 E.P. Terry Estates";"Cave City";"KY";42127;"(270) 773-4311";"921 Beauty Ave.";" Bowling Green";42102;"02/29/2020";20;"Two_To_School";"Y";"No Information Available";5;"Licensed";"N";;"No Information Available"
"HARDIN";"L357411";"Cecilia Valley School Age Child Care Program";"931 E Main St.";"Cecilia";"KY";42724;"(270) 769-7926";"65 W A Jenkins Road, SACC";" Elizabethtown";42701;"08/31/2020";137;"Two_To_School To School_Age";"N";"N";2;"Licensed";"N";;"Y"
"BULLITT";"L353477";"Cedar Grove Elementary YMCA Day Care Center";"1900 Cedar Grove Road";"Shepherdsville";"KY";40165;"(502) 543-3985";"409 Joe B. Hall Avenue";" Shepherdsville";40165;"12/31/2019";125;"School_Age";"Y";"N";4;"Licensed";"Y";;"Y"
"BULLITT";"L357734";"Cedar Grove Head Start";"1900 Cedar Grove Road";"Shepherdsville";"KY";40165;"(502) 543-4047";"100 Alpine Drive, OVEC";" Shelbyville";40065;"08/31/2020";39;"Two_To_School";"Y";"No Information Available";5;"Licensed";"N";;"No Information Available"
"FAYETTE";"L383967";"Center For Children";"500 Park Place";"Lexington";"KY";40511;"(859) 232-6400";"500 Park Place";" Lexington";40511;"01/31/2021";230;"Infant To School Age";"N";"No Information Available";1;"Licensed";"N";;"No Information Available"
"WARREN";"L358591";"Center Street Head Start";"171 Center Street";"Bowling Green";"KY";42101;"(270) 782-4437";"921 Beauty Avenue";" Bowling Green";42102;"10/31/2020";100;"Two_To_School";"Y";"N";4;"Licensed";"Y";;"Y"
"OLDHAM";"L355492";"Centerfield Wildcats Cub Club for Children";"4512 Centerfield Drive";"Crestwood";"KY";40014;"(502) 241-3448";"4512 Centerfield Drive";" Crestwood";40014;"08/31/2020";200;"Two_To_School To School_Age";"Y";"N";3;"Licensed";"Y";;"Y"
"FAYETTE";"L350159";"Central Baptist Church Child Care Center";"110 Wilson Downing Road";"Lexington";"KY";40517;"(859) 278-5913";"110 Wilson Downing Road";" Lexington";40517;"09/30/2020";104;"Infant To School Age";"N";"N";4;"Licensed";"Y";;"N"
"FAYETTE";"L353960";"Central Christian Child Care Center";"105 Spruce Street, Suite 125";"Lexington";"KY";40507;"(859) 253-2273";"105 Spruce Street, Suite 125";" Lexington";40507;"08/31/2020";122;"Infant To Two_To_School";"N";"N";3;"Licensed";"Y";;"Y"
"MUHLENBERG";"L355938";"Central City Elementary Daycare Center";"1501 North Second Street";"Central City";"KY";42330;"(270) 754-4474";"1501 North Second Street";" Central City";42330;"08/31/2020";78;"Two_To_School To School_Age";"Y";"N";3;"Licensed";"Y";;"Y"
"JOHNSON";"L355174";"Central Elementary Afterschool Program";"1715 Euclid Avenue";"Paintsville";"KY";41240;"(606) 789-2541";"1715 Euclid Avenue";" Paintsville";41240;"03/31/2020";24;"School_Age";"N";"N";2;"Licensed";"N";;"No Information Available"
"GRAVES";"L358174";"Central Y's Guys";"2262 State Route 121 North";"Mayfield";"KY";42066;"(270) 247-0049";"P O Box 402, 1542 Cuba Rd";" Mayfield";42066;"03/31/2020";100;"School_Age";"N";"No Information Available";1;"Licensed";"N";;"Y"
"JEFFERSON";"L357069";"Chancey Elementary Childcare Enrichment Program";"4301 Murphy Lane";"Louisville";"KY";40241;"(502) 637-1575";"2411 Bowman Avenue";" Louisville";40217;"08/31/2020";150;"Two_To_School To School_Age";"Y";"N";4;"Licensed";"Y";;"Y"
"JEFFERSON";"L354770";"Chapel Hill Preschool";"2307 Embassy Lane";"Louisville";"KY";40216;"(502) 449-2134";"2307 Embassy Lane";" Louisville";40216;"01/31/2020";70;"Two_To_School";"Y";"N";3;"Licensed";"N";;"No Information Available"
"KENTON";"L353806";"Chapman Child Development Center";"2500 Madison Avenue";"Covington";"KY";41014;"(859) 655-9545";"2500 Madison Ave";" Covington";41014;"04/30/2020";83;"Infant To School Age";"N";"N";4;"Licensed";"Y";;"Y"
"MEADE";"C2351";"Charlotte's Child Care";"412 Happy Ridge Road";"Brandenburg";"KY";40108;"(270) 422-3588";"412 Happy Ridge Road";" Brandenburg";40108;"03/31/2021";6;"No Information Available";"N";"N";1;"Certified";"N";;"Y"
"DAVIESS";"L383382";"Charlotte's Web Pre-School & Nursery";"4129 Vincent Station Drive";"Owensboro";"KY";42303;"(270) 500-4037";"4129 Vincent Station Drive";" Owensboro";42303;"09/30/2020";137;"Infant To Two_To_School";"N";"No Information Available";3;"Licensed";"N";;"No Information Available"
"PERRY";"L354641";"Chavies Head Start";"3380 Kentucky Hwy 28";"Chavies";"KY";41727;"(606) 436-4393";"398 Roy Campbell Drive";" Hazard";41701;"02/29/2020";40;"Two_To_School";"Y";"No Information Available";5;"Licensed";"N";;"No Information Available"
"MADISON";"C70999";"Chell's Little Rascals";"320 Ravenwood Place";"Richmond";"KY";40475;"(859) 624-3093";"320 Ravenwood Place";" Richmond";40475;"07/31/2021";6;"No Information Available";"N";"No Information Available";2;"Certified";"N";;"No Information Available"
"JEFFERSON";"L353495";"Chenoweth Elementary Childcare Enrichment Program";"3622 Brownsboro Road";"Louisville";"KY";40207;"(502) 637-1575";"2411 Bowman Avenue, YMCA";" Louisville";40217;"01/31/2020";90;"Two_To_School To School_Age";"Y";"N";4;"Licensed";"Y";;"Y"
"JEFFERSON";"L359112";"Cherish Forever Child Development Center";"2330 Algonquin Parkway";"Louisville";"KY";40210;"(502) 772-2620";"2330 Algonquin Parkway";" Louisville";40210;"12/31/2020";61;"Infant To School Age";"Y";"N";3;"Licensed";"Y";;"No Information Available"
"FAYETTE";"L356525";"Cherish the Child Care Center";"102 Dennis Drive";"Lexington";"KY";40503;"(859) 276-0027";"102 Dennis Drive";" Lexington";40503;"12/31/2020";66;"Infant To School Age";"N";"N";5;"Licensed";"Y";;"Y"
"JEFFERSON";"L358213";"Cherished Children Christian Childcare and Preschool";"12710 Old Henry Road";"Louisville";"KY";40223;"(502) 245-7046";"12710 Old Henry Road";" Louisville";40223;"06/30/2020";47;"Infant To School Age";"N";"N";1;"Licensed";"N";;"Y"
"BRECKINRIDGE";"C70998";"Cheryl's Christian Child Care";"2781 S. Highway 259";"Harned";"KY";40144;"(270) 756-6368";"2781 S. Highway 259";" Harned";40144;"06/30/2021";6;"No Information Available";"N";"No Information Available";1;"Certified";"N";;"No Information Available"
"JEFFERSON";"L350335";"Chestnut Street YMCA Child Care";"930 West Chestnut Street";"Louisville";"KY";40203;"(502) 587-7405";"930 West Chestnut Street";" Louisville";40203;"09/30/2020";364;"Infant To School Age";"Y";"N";3;"Licensed";"Y";;"Y"
"JEFFERSON";"C71039";"Cheyanne Lee";"4422 Lynnview Dr.";"Louisville";"KY";40216;"(502) 299-1156";"4422 Lynnview Dr.";" Louisville";40216;"09/30/2020";6;"No Information Available";"N";"No Information Available";1;"Certified";"Y";;"Y"
"BOYD";"L356658";"Child Development Center Corporation";"2419 Lexington Avenue";"Ashland";"KY";41101;"(606) 324-9869";"2419 Lexington Ave";" Ashlalnd";41101;"08/31/2020";160;"Infant To School Age";"N";"N";4;"Licensed";"N";;"Y"
"FAYETTE";"L350160";"Child Development Center of the Bluegrass";"290 Alumni Drive";"Lexington";"KY";40503;"(859) 218-2322";"290 Alumni Drive";" Lexington";40503;"04/30/2020";206;"Infant To School Age";"N";"N";5;"Licensed";"Y";;"Y"
"CAMPBELL";"L355104";"Child Development Play-Care";"23 East Villa Place";"Ft. Thomas";"KY";41075;"(859) 781-5498";"23 East Villa Place";" Ft Thomas";41075;"11/30/2020";125;"Infant To School Age";"Y";"N";2;"Licensed";"Y";;"Y"
"SHELBY";"L352108";"Child Town";"1940 Midland Trail";"Shelbyville";"KY";40065;"(502) 633-2050";"1940 Midland Trail";" Shelbyville";40065;"12/31/2020";232;"Infant To School Age";"Y";"N";3;"Licensed";"Y";;"Y"
"SCOTT";"L383402";"Childcare Network #255";"130 Technology Ct";"Georgetown";"KY";40324;"(502) 603-6930";"130 Technology Ct";" Georgetown";40324;"01/31/2020";191;"Infant To School Age";"Y";"No Information Available";2;"Licensed";"Y";;"Y"
"JESSAMINE";"L383403";"Childcare Network #257";"1101 Lauderdale Dr";"Nicholasville";"KY";40356;"(859) 475-1781";"1101 Lauderdale Dr";" Nicholasville";40356;"01/31/2020";188;"Infant To School Age";"Y";"No Information Available";1;"Licensed";"Y";;"N"
"FAYETTE";"L383404";"Childcare Network #258";"1748 Alysheba Way";"Lexington";"KY";40509;"(859) 402-2087";"1748 Alysheba Way";" Lexington";40509;"01/31/2020";200;"Infant To School Age";"Y";"No Information Available";1;"Licensed";"Y";;"No Information Available"
"MEADE";"L356343";"Children - R - Us";"815 Broadway Street";"Brandenburg";"KY";40108;"(270) 422-1797";"815 Broadway Street";" Brandenburg";40108;"03/31/2020";70;"Infant To School Age";"N";"N";1;"Licensed";"Y";;"N"
"JEFFERSON";"C5796";"Children ""R"" First";"1610 Bicknell Avenue";"Louisville";"KY";40215;"(502) 375-2251";"1610 Bicknell Avenue";" Louisville";40215;"03/31/2020";6;"No Information Available";"N";"Y";3;"Certified";"Y";;"Y"
"HARDIN";"L357787";"Children at Play Learning Center";"913 North Wilson Road";"Radcliff";"KY";40160;"(270) 352-0384";"913 North Wilson Road";" Radcliff";40160;"08/31/2020";80;"Infant To School Age";"Y";"Y";2;"Licensed";"Y";;"Y"
"BOONE";"L383611";"Children Inc. Boone County Early Learning Center";"7627 Ewing Blvd.";"Florence";"KY";41042;"(859) 568-3390";"333 Madison Ave";" Covington";41011;"08/31/2020";128;"Infant To School Age";"N";"No Information Available";5;"Licensed";"Y";;"Y"
"JEFFERSON";"C71014";"Children on Board Childcare";"4306 Retreat Rd.";"Louisville";"KY";40219;"(859) 583-1980";"4306 Retreat Rd.";" Louisville";40219;"01/31/2020";6;"No Information Available";"N";"Y";1;"Certified";"Y";;"Y"
"BOONE";"L359414";"Children, Inc. Early Learning Center at Erpenbeck";"9001 Wetherington Blvd";"Florence";"KY";41042;"(859) 384-7200";"333 Madison Ave";" Covington";41011;"08/31/2020";23;"Two_To_School";"N";"No Information Available";5;"Licensed";"N";;"Y"
"KENTON";"L383729";"Children, Inc. Early Learning Center at Life Learning Center";"20 W 18th";"Covington";"KY";41011;"(859) 655-6833";"333 Madison Avenue";" Covington";41011;"03/31/2020";36;"Infant To Two_To_School";"N";"No Information Available";4;"Licensed";"Y";;"No Information Available"
"KENTON";"L383677";"Children, Inc. Early Learning Center at Mary Goetz Elementary";"512 Oak Street";"Ludlow";"KY";41016;"(859) 431-2075";"333 Madison Ave";" Covington";41011;"02/29/2020";22;"Two_To_School";"N";"No Information Available";5;"Licensed";"Y";;"Y"
"KENTON";"L383824";"Children, Inc. Early Learning Center at Summit View Academy";"5006 Madison Pike";"Independence";"KY";41051;"(859) 431-2075";"333 Madison Avenue";" Covington";41011;"02/29/2020";25;"Two_To_School";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"KENTON";"L358753";"Children, Inc. ELC at River Ridge Elem";"2772 Amsterdam Rd";"Villa Hills";"KY";41017;"(859) 431-2075";"333 Madison Ave";" Covington";41011;"08/31/2020";25;"Two_To_School";"N";"N";5;"Licensed";"Y";;"Y"
"BOONE";"L358752";"Children, Inc. ELC at Walton-Verona Elem";"15066 Porter Rd";"Verona";"KY";41092;"(859) 431-2075";"333 Madison Ave";" Covington";41011;"08/31/2020";40;"Two_To_School To School_Age";"N";"N";5;"Licensed";"Y";;"Y"
"BOONE";"L383537";"Children, Inc. Extended Education at Kelly Elementary";"6775 Mcvillle Rd.";"Burlington";"KY";41005;"(859) 431-2075";"333 Madison Ave";" Covington";41011;"02/29/2020";36;"School_Age";"N";"No Information Available";4;"Licensed";"Y";;"Y"
"BOONE";"L383692";"Children, Inc. Extended Education at Stephens Elementary";"5687 North Bend Road";"Burlington";"KY";41005;"(859) 431-2075";"333 Madison Ave";" Covington";41011;"02/29/2020";22;"School_Age";"N";"No Information Available";5;"Licensed";"N";;"Y"
"JEFFERSON";"L383491";"Children's Academy Childcare & Preschool";"8021 Dixie Highway, Suite 108";"Louisville";"KY";40258;"(502) 409-5820";"8021 Dixie Highway, Suite 108";" Louisville";40258;"05/31/2020";147;"Infant To School Age";"Y";"No Information Available";2;"Licensed";"Y";;"Y"
"BARREN";"L383300";"Children's Choice Academy";"1295 North Race Street";"Glasgow";"KY";42141;"(270) 629-5068";"1295 North Race Street";" Glasgow";42141;"03/31/2020";75;"Infant To School Age";"N";"No Information Available";3;"Licensed";"Y";;"Y"
"JESSAMINE";"L357626";"Children's Choice Learning Center";"717 S. Main St";"Nicholasville";"KY";40356;"(859) 885-5776";"717 S. Main St";" Nicholasville";40356;"03/31/2020";64;"Infant To School Age";"Y";"N";1;"Licensed";"Y";;"Y"
"JEFFERSON";"L358668";"Children's Choice Learning Centers";"600 Martin Luther King  #122";"Louisville";"KY";40202;"(502) 625-7207";"600 Martin Luther King, #122";" Louisville";40202;"04/30/2020";162;"Infant To School Age";"N";"N";1;"Licensed";"N";;"Y"
"CAMPBELL";"L359026";"Children's Collaborative at Campbell Co. High School Teen Center";"909 Camel Crossing";"Alexandria";"KY";41001;"(859) 653-2520";"6699 Alexandria Pike";" Alexandria";41001;"08/31/2020";25;"Infant To Two_To_School";"N";"N";4;"Licensed";"Y";;"Y"
"CAMPBELL";"L359027";"Children's Collaborative at Campbell Ridge Elem";"2500 Grand View Rd";"Alexandria";"KY";41001;"(859) 653-2520";"6699 Alexandria Pike";" Alexandria";41001;"08/31/2020";60;"School_Age";"Y";"N";4;"Licensed";"Y";;"Y"
"CAMPBELL";"L359023";"Children's Collaborative at Cline Elementary";"5586 East Alexandria Pike";"Cold Spring";"KY";41076;"(859) 653-2520";"6699 Alexandria Pike";" Alexandria";41001;"08/31/2020";99;"School_Age";"Y";"N";4;"Licensed";"Y";;"Y"
"CAMPBELL";"L359024";"Children's Collaborative at Crossroads Elementary";"475 Crossroads Blvd";"Cold Spring";"KY";41076;"(859) 653-2520";"6699 Alexandria Pike";" Alexandria";41001;"08/31/2020";99;"School_Age";"Y";"N";4;"Licensed";"Y";;"Y"
"CAMPBELL";"L383899";"Children's Collaborative at Grant's Lick Elementary";"944 Clay Ridge Road";"Alexandria";"KY";41001;"(859) 653-2520";"6699 Alexandria Pike";" Alexandria";41001;"05/31/2020";76;"School_Age";"N";"No Information Available";1;"Licensed";"N";;"Y"
"CAMPBELL";"L359025";"Children's Collaborative at Reiley Elementary";"10631 Alexandria Pike";"Alexandria";"KY";41001;"(859) 653-2520";"6699 Alexandria Pike";" Alexandria";41001;"08/31/2020";99;"School_Age";"Y";"N";4;"Licensed";"N";;"Y"
"PERRY";"L375166";"Children's House Montessori School";"1824 North Main Street";"Hazard";"KY";41701;"(606) 436-0567";"1824 North Main Street";" Hazard";41701;"04/30/2020";85;"Infant To School Age";"N";"No Information Available";3;"Licensed";"Y";;"Y"
"PULASKI";"L356444";"Children's Learning Tree (The)";"44 Venture Way";"Somerset";"KY";42503;"(606) 679-0084";"44 Venture Way";" Somerset";42503;"08/31/2020";192;"Infant To School Age";"N";"N";4;"Licensed";"Y";;"No Information Available"
"SCOTT";"L356133";"Children's Montessori School of Georgetown";"120 Pocahontas Trail";"Georgetown";"KY";40324;"(502) 863-4600";"120 Pocahontas Trail";" Georgetown";40324;"05/31/2020";59;"Toddler To School_Age";"N";"N";4;"Licensed";"Y";;"Y"
