"ID";"Name";"Address";"State";"City";"Zip";"Phone";"Services";"License Expires";"Capacity";"Facility Type";"DetailsRef";"Contact Name";"Financial Assistance";"Additional Classroom Types";"Night and Weekend Hours";"Meals Served";"Languages Spoken";"Bright Stars Rating";"RIDE CECE Approval";"Foundational Regulations";"Accepts CCAP";"Last date updated";"Website";"About Us";"Operation Hours Monday";"Operation Hours Tuesday";"Operation Hours Wednesday";"Operation Hours Thursday";"Operation Hours Friday";"Operation Hours Saturday";"Operation Hours Sunday";"Age Group"
429;"Alexandra Flores";"62 Aldine St";"RI";"Providence";2909;"(401) 351-1606";;;8;"Home";"https://exceed.ri.gov/program-search-details/429";"Alexandra Flores";"CCAP";"Not Applicable";"None";"Breakfast,Morning,Snack,Lunch,Afternoon,Snack";"Spanish";3;"N/A";"DHS";"Yes";6/1/2020;;"I am a parent of three children and a grandmother of three as well.  I have been serving my community since 2000 as a Certified Childcare provider with DCYF.  I have achieve a Certificate in Early Childhood Education at CCRI. Our mission is to provide working families good quality service in childcare.  While in my care, I will be teaching kids the basic concepts in education, as well as provide nutritional foods. We serve a diversity of race and cultures. Happy Kids Welcomes you to our home.";"6:30am - 5:00pm";"6:30am - 5:00pm";"6:30am - 5:00pm";"6:30am - 5:00pm";"6:30am - 5:00pm";;;"All age groups"
463;"Brenda Carnevale";"39 Woodbine Ln";"RI";"Exeter";2822;"(401) 295-7408";;;8;"Home";"https://exceed.ri.gov/program-search-details/463";"Brenda Carnevale";"CCAP";"Not Applicable";"None";;;3;"N/A";"DHS";"Yes";6/1/2020;;"This program has not yet provided this information.";;;;;;;;"All age groups"
659;"The Children's Workshop/Providence";"15 Clarkson Street";"RI";"Providence";2903;"(401) 383-9958";;;123;"Center";"https://exceed.ri.gov/program-search-details/659";"Maryellen O'Mahony";"CCAP";"Head Start/Early Head Start";"None";"Breakfast,Lunch,Afternoon,Snack";"Spanish";3;"No";"DHS";"Yes";6/1/2020;"http://www.childrensworkshop.com";"This program has not yet provided this information.";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";;;"2 months - 4 years, 3 - 5 years, 5+ years"
665;"Boys &amp; Girls Clubs of Providence";"One Louisa Street";"RI";"Providence";2905;"(401) 444-0766";;;80;"Center";"https://exceed.ri.gov/program-search-details/665";"kyle dennis";"CCAP";"Not Applicable";"None";"Breakfast,Lunch,Dinner";"Spanish";3;"N/A";"DHS";"Yes";6/8/2020;"http://www.bgcprov.org";"To enable and inspire children and youth, especially those from diverse or difficult circumstances, to reach their full potential as productive, responsible, and healthy members of their community, the State of Rhode Island, and the nation.";"2:00pm - 6:00pm";"2:00pm - 6:00pm";"2:00pm - 6:00pm";"2:00pm - 6:00pm";"2:00pm - 6:00pm";;;"5+ years"
180;"Children's Friend @ Dexter";"621 DEXTER STREET";"RI";"Central Falls";2863;"(401) 721-9200";;;56;"Center";"https://exceed.ri.gov/program-search-details/180";"Kristen Caine";"Information  by program";"Head Start/Early Head Start";"None";"Breakfast,Morning,Snack,Lunch,Afternoon,Snack";"Creole,Spanish";3;"No";"DHS";"No";6/4/2020;"http://www.childrensfriend.org";"High quality infant/toddler childcare is offered at this site.  Space is limited to two classrooms for this multi-age grouping.      Head Start is a comprehensive child and family development program that promotes school readiness in low-income preschool children. Services include education, health, nutrition, social services, and other child and family supports. Parents are involved in their childrenвЂ™s learning, and the program helps families in meeting their educational, literacy, and employment goals.   The ChildrenвЂ™s Friend Head Start program has a number of options in order to meet the needs of families and children. Most children participate in a traditional center-based preschool classroom. Some children, whose parents are working, or in school or vocational training, participate in an extended day program at a ChildrenвЂ™s Friend location or with our Child Care/ Head Start partners.";"6:30am - 5:30pm";"6:30am - 5:30pm";"6:30am - 5:30pm";"6:30am - 5:30pm";"6:30am - 5:30pm";;;"2 months - 4 years, 3 - 5 years"
184;"Children's Friend @ Manton";"31 Salmon Street";"RI";"Providence";2909;"(401) 752-7900";;;18;"Center";"https://exceed.ri.gov/program-search-details/184";"Sharon  Tariq";"Information  by program";"Head Start/Early Head Start";"None";"Breakfast,Lunch,Afternoon,Snack";"Spanish";3;"No";"DHS";"No";6/3/2020;"http://www.childrensfriendri.org";"Child Care: The ChildrenвЂ™s Friend Child Care Program is designed to provide quality care and education to children ages three, four, and five. (Child care at Dexter Street is available for children six weeks to five years of age.)    Our goals are to foster a positive self-concept, develop social skills, promote language and physical development, encourage creative expression, and foster an awareness and respect of diverse cultures and values.    Head Start:  is a comprehensive child and family development program that promotes school readiness in low-income preschool children. Services include education, health, nutrition, social services, and other child and family supports. Parents are involved in their childrenвЂ™s learning, and the program helps families in meeting their educational, literacy, and employment goals.     Pre-K: The State Pre-K program serves children in certain communities who are age 4 by September 1.  The program is free and is open to families of all incomes.  Children are selected by lottery during the summer before the program start.  This site does not have a Pre-K classroom .";"8:00am - 5:00pm";"8:00am - 5:00pm";"8:00am - 5:00pm";"8:00am - 5:00pm";"8:00am - 5:00pm";;;"3 - 5 years"
186;"Children's Friend @ St. Paul";"12 Carter Street";"RI";"Providence";2907;"(401) 721-6450";;;72;"Center";"https://exceed.ri.gov/program-search-details/186";"Sharon  Tariq";"Financial Aid,CCAP";"Head Start/Early Head Start";"None";"Breakfast,Lunch,Afternoon,Snack";"Spanish";3;"No";"DHS";"Yes";6/1/2020;"http://www.childrensfriendri.org";"Head Start is a comprehensive child and family development program that promotes school readiness in low-income preschool children. Services include education, health, nutrition, social services, and other child and family supports. Parents are involved in their childrenвЂ™s learning, and the program helps families in meeting their educational, literacy, and employment goals.   The ChildrenвЂ™s Friend Head Start program has a number of options in order to meet the needs of families and children. Most children participate in a traditional center-based preschool classroom. Some children, whose parents are working, or in school or vocational training, participate in an extended day program at a ChildrenвЂ™s Friend location or with our Child Care/ Head Start partners.  ";"6:30am - 5:30pm";"6:30am - 5:30pm";"6:30am - 5:30pm";"6:30am - 5:30pm";"6:30am - 5:30pm";;;"3 - 5 years"
191;"Newport County Y-Twice As Nice";"792 Valley Road";"RI";"Middletown";2842;"(401) 841-5357";;;50;"Center";"https://exceed.ri.gov/program-search-details/191";"Andrea Florendo";"Financial Aid";"Not Applicable";"None";"Breakfast,Afternoon,Snack";;3;"No";"DHS";"No";6/3/2020;"http://www.newportymca.org";"Twice As Nice Preschool is a state licensed program dedicated to enriching the lives of the children.  Our nurturing and trained staff provide a stimulating environment that promotes developmentally appropriate practices.    Our socialization approach to Early Childhood Education allows children to explore their surroundings and become more independent.  We align our curriculum with the Rhode Island Early Learning Standards.  Activities include a wide variety of hands-on experiences including art, literature, mathematics, music, science, dramatic play, gym and swim lessons.";"7:00am - 5:30pm";"7:00am - 5:30pm";"7:00am - 5:30pm";"7:00am - 5:30pm";"7:00am - 5:30pm";;;"3 - 5 years, 1 - 4 years"
192;"Newport County Y-Aquidneck";"70 RESERVOIR ROAD";"RI";"Middletown";2842;"(401) 847-9200";;;51;"Center";"https://exceed.ri.gov/program-search-details/192";"Anne Schultz";"Financial Aid,CCAP";"Not Applicable";"None";"Afternoon,Snack";;3;"N/A";"DHS";"Yes";6/3/2020;"http://www.newportymca.org";"This program has not yet provided this information.";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";;;"5+ years"
193;"Newport County Y-Forest Avenue";"315 Forest Avenue";"RI";"Middletown";2842;"(401) 847-9200";;;50;"Center";"https://exceed.ri.gov/program-search-details/193";"Anne Schultz";"Financial Aid,CCAP";"Not Applicable";"None";"Afternoon,Snack";;3;"N/A";"DHS";"Yes";6/3/2020;"http://www.newportymca.org";"This program has not yet provided this information.";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";;;"5+ years"
194;"Newport Co Y @ Jamestown";"76 Melrose Avenue";"RI";"Jamestown";2835;"(401) 847-9200";;;50;"Center";"https://exceed.ri.gov/program-search-details/194";"Anne Schultz";"Financial Aid,CCAP";"Not Applicable";"None";"Afternoon,Snack";;3;"N/A";"DHS";"Yes";6/3/2020;"http://www.newportymca.org";"This program has not yet provided this information.";"2:00pm - 6:00pm";"2:00pm - 6:00pm";"2:00pm - 6:00pm";"2:00pm - 6:00pm";"2:00pm - 6:00pm";;;"5+ years"
1062;"The Art Center c/o NeighborWorks";"146 Sayles Street";"RI";"Woonsocket";2895;"(401) 692-0863";;;26;"Center";"https://exceed.ri.gov/program-search-details/1062";"Zachary Morin";"CCAP";"Not Applicable";"None";"Breakfast,Lunch,Afternoon,Snack";"Spanish";3;"No";"DHS";"Yes";6/1/2020;;"&quot; The Art Center&quot; is a youth program that offers before and after school activities during the academic year and a full- day schedule for school vacations.  We target kindergarten thru 5th grade students living in the City of Woonsocket.  &quot;The Art Center&quot; provides healthy meals, transportation, and academic-based enrichment and learning centers to our participants.  The types of enrichment programs offered include: tutoring, health and exercise classes, entrepreneurship activities, STEAM, gardening and neighborhood beautification, fine and gross motor skills, leadership activities, service-learning activities, and environmental citizenship.  In addition, we provide community engagement activities and celebrations that connect youth to their neighborhoods.";"6:30am - 6:00pm";"6:30am - 6:00pm";"6:30am - 6:00pm";"6:30am - 6:00pm";"6:30am - 6:00pm";;;"5+ years"
1075;"The Children's Workshop Foundation";"175 Beverage Hill Avenue";"RI";"Pawtucket";2860;"(401) 475-3668";;;38;"Center";"https://exceed.ri.gov/program-search-details/1075";"Roxanne Lacey Jadama";"CCAP";"Head Start/Early Head Start";"None";"Breakfast,Lunch,Afternoon,Snack";"Spanish";3;"N/A";"DHS";"Yes";6/1/2020;;"The ChildrenвЂ™s Workshop Foundation is dedicated to improving the lives of children and under served families in the communities served by The ChildrenвЂ™s Workshop, Inc by helping them access needed resources and quality education. We will accomplish this by supporting other organizations whose goals align with ours and through mentoring and community outreach. We were founded by employees of The Children's Workshop, Inc who wanted to find a way to give MORE back to their communities.";"6:30am - 5:30pm";"6:30am - 5:30pm";"6:30am - 5:30pm";"6:30am - 5:30pm";"6:30am - 5:30pm";;;"2 months - 4 years, 3 - 5 years"
1084;"Garden City School                                ";"70 Plantation Drive";"RI";"Cranston";2920;(401) 456-9100;;;;"School";"https://exceed.ri.gov/program-search-details/1084";"Kimberly O'Connell";"Information  by program";"Not Applicable";"None";;;3;"No";"Basic Education Program";"No";6/2/2020;"http://www.gardencityelementaryschool.com/index.html";"This program has not yet provided this information.";"12:25pm - 3:10pm";"12:25pm - 3:10pm";"12:25pm - 3:10pm";"12:25pm - 3:10pm";"12:25pm - 3:10pm";;;"3 - 5 years"
1085;"Stone Hill School                                 ";"21 Village Avenue";"RI";"Cranston";2920;(401) 456-9100;;;6;"School";"https://exceed.ri.gov/program-search-details/1085";"Kimberly O'Connell";"Information  by program";"Not Applicable";"None";;;3;"No";"Basic Education Program";"No";6/2/2020;;"This program has not yet provided this information.";"8:55am - 3:10pm";"8:55am - 3:10pm";"8:55am - 3:10pm";"8:55am - 3:10pm";"8:55am - 3:10pm";;;"3 - 5 years"
1087;"Orchard Farms Elementary School";"1555 Scituate Avenue";"RI";"Cranston";2921;(401) 456-9100;;;;"School";"https://exceed.ri.gov/program-search-details/1087";"Kimberly O'Connell";"Information  by program";"Not Applicable";"None";;;3;"No";"Basic Education Program";"No";6/2/2020;;"This program has not yet provided this information.";"8:55am - 3:10pm";"8:55am - 3:10pm";"8:55am - 3:10pm";"8:55am - 3:10pm";"8:55am - 3:10pm";;;"3 - 5 years"
1089;"Meadowbrook Farms School";"2 CHESTNUT DRIVE";"RI";"East Greenwich";2818;(401) 398-1200;;;;"School";"https://exceed.ri.gov/program-search-details/1089";"Jackie DiLorenzo";"Information  by program";"Not Applicable";"None";"Morning,Snack,Afternoon,Snack";;3;"No";"Basic Education Program";"No";6/21/2020;"http://www.egsd.net/Meadowbrook.cfm?subpage=620393";"This program has not yet provided this information.";;"9:00am - 3:00pm";"9:00am - 3:00pm";"9:00am - 3:00pm";"9:00am - 3:00pm";;;"3 - 5 years"
1107;"Asa Messer Elementary School";"1655 Westminster Street";"RI";"Providence";2909;"(401) 270-8057";;;;"School";"https://exceed.ri.gov/program-search-details/1107";"Mindy Mertz";"Information  by program";"Not Applicable";"None";"Breakfast,Lunch";;3;"No";"Basic Education Program";"No";6/9/2020;"https://www.providenceschools.org/messer";"The pre-kindergarten program at Asa Messers has 4 pre-kindergarten classes.  Two of these classrooms are inclusion classrooms and 2 of the classrooms are designed for children with exceptional needs.";"9:00am - 3:15pm";"9:00am - 3:15pm";"9:00am - 3:15pm";"9:00am - 3:15pm";"9:00am - 3:15pm";;;"3 - 5 years"
1108;"Charles N. Fortes Elementary School";"234 Daboll Street";"RI";"Providence";2907;(401) 456-9100;;;;"School";"https://exceed.ri.gov/program-search-details/1108";"Kimberly OConnell";"Information  by program";"Not Applicable";"None";"Breakfast,Lunch";"Spanish";3;"No";"Basic Education Program";"No";6/9/2020;"https://www.providenceschools.org/fortes";"The Charles Fortes pre-kindergarten program has 8 pre-kindergarten classes.  Seven are inclusion programs and one class specializes for children with significant behavioral needs.";"8:00am - 2:15pm";"8:00am - 2:15pm";"8:00am - 2:15pm";"8:00am - 2:15pm";"8:00am - 2:15pm";;;"3 - 5 years"
1134;"The Pell Annex @ John F. Kennedy School";"740 West Main Road";"RI";"Middletown";2842;"(401) 847-2100";;;;"School";"https://exceed.ri.gov/program-search-details/1134";"Nichole Bussiere";"Information  by program";"State Pre-K";"None";;;3;"No";"Basic Education Program";"No";6/3/2020;"http://www.npsri.net/Page/2986";"This program has not yet provided this information.";;;;;;;;"3 - 5 years"
2734;"Dr. Martin Luther King, Jr. Elementary School";"35 Camp Street";"RI";"Providence";2906;"(401) 456-9398";;;18;"School";"https://exceed.ri.gov/program-search-details/2734";"Kristen Lussier";"Information  by program";"State Pre-K";"None";"Breakfast,Lunch";;3;"No";"Basic Education Program";"No";6/16/2020;"https://www.providenceschools.org/king";"Providence Public School District Division of Early Childhood (PPSD/DEC) is a community of professionals and families who recognize that providing high-quality early care and education in a diverse environment is of the utmost importance to a childвЂ™s well-being and development. PPSD/DEC provides meaningful, developmentally appropriate learning in an environment that is safe, nurturing and creative. Mutual respect is the guiding principle of the District's early childhood community. PPSD/DEC is committed to maintaining an emergent, anti-bias curriculum supporting the professional development of its staff.";"9:00am - 3:31pm";"9:00am - 3:31pm";"9:00am - 3:31pm";"9:00am - 3:31pm";"9:00am - 2:11pm";;;"3 - 5 years"
3736;"YMCA at Harry Kizirian";"60 Camden Avenue";"RI";"Providence";2906;"(401) 456-0604";;;160;"Center";"https://exceed.ri.gov/program-search-details/3736";"Indira Martinez";"Financial Aid,CCAP";"Not Applicable";"None";"Afternoon,Snack,Dinner";"Spanish";3;"N/A";"DHS";"Yes";6/8/2020;"https://ymcagreaterprovidence.org/locations/providence-youth-services";"This program has not yet provided this information.";"3:15pm - 6:00pm";"3:15pm - 6:00pm";"3:15pm - 6:00pm";"3:15pm - 6:00pm";"3:15pm - 6:00pm";;;"5+ years"
3925;"Stadium School";"100 Crescent Ave";"RI";"Cranston";2910;(401) 456-9100;;;;"School";"https://exceed.ri.gov/program-search-details/3925";"Kimberly OConnell";"Information  by program";"Not Applicable";"None";;;3;"N/A";"Basic Education Program";"No";6/2/2020;;"This program has not yet provided this information.";;;;;;;;"3 - 5 years"
701;"Pawtucket Y/Heritage Park ELC";"333 ROOSEVELT AVE";"RI";"Pawtucket";2860;"(401) 725-0773";;;343;"Center";"https://exceed.ri.gov/program-search-details/701";"Andrea  Engle";"Financial Aid,CCAP";"State Pre-K,Head Start/Early Head Start";"None";"Breakfast,Lunch,Afternoon,Snack";"Spanish";3;"Yes";"DHS";"Yes";6/1/2020;;"This program has not yet provided this information.";"06:30 AM - 05:45 PM";"06:30 AM - 05:45 PM";"06:30 AM - 05:45 PM";"06:30 AM - 05:45 PM";"06:30 AM - 05:45 PM";;;"2 months - 4 years, 3 - 5 years, 5+ years"
695;"Westwood Y at Metcalf";"30 Nooseneck Hill Road";"RI";"Exeter";2822;"(401) 397-7779";;;100;"Center";"https://exceed.ri.gov/program-search-details/695";"Susan Gail";"Financial Aid,CCAP";"Not Applicable";"None";"Morning,Snack,Afternoon,Snack";;3;"N/A";"DHS";"Yes";6/8/2020;"http://ymcapawtucket.org/westwood/index.php";"Before and After school programming.";"6:30am - 6:00pm";"6:30am - 6:00pm";"6:30am - 6:00pm";"6:30am - 6:00pm";"6:30am - 6:00pm";;;"5+ years"
697;"Westwood Y at Washington Oak";"801 Read Schoolhouse Road";"RI";"Coventry";2816;"(401) 397-7779";;;50;"Center";"https://exceed.ri.gov/program-search-details/697";"Susan Gail";"Financial Aid,CCAP";"Not Applicable";"None";"Morning,Snack,Afternoon,Snack";;3;"N/A";"DHS";"Yes";6/8/2020;;"Before and After School Care";"3:00pm - 6:00pm";"3:00pm - 6:00pm";"3:00pm - 6:00pm";"3:00pm - 6:00pm";"3:00pm - 6:00pm";;;"5+ years"
698;"Westwood Y at Western Coventry";"4588 FLAT RIVER RD.";"RI";"Coventry";2816;"(401) 397-7779";;;50;"Center";"https://exceed.ri.gov/program-search-details/698";"Susan Gail";"Financial Aid,CCAP";"Not Applicable";"None";"Morning,Snack,Afternoon,Snack";;3;"N/A";"DHS";"Yes";6/8/2020;;"Before and After  School care";"3:30pm - 6:00pm";"3:30pm - 6:00pm";"3:30pm - 6:00pm";"3:30pm - 6:00pm";"3:30pm - 6:00pm";;;"5+ years"
811;"Diana Restrepo-Garcia";"63 1/2 Appleton Ave Appartment 2";"RI";"Pawtucket";2860;"(401) 723-3609";;;8;"Home";"https://exceed.ri.gov/program-search-details/811";"Diana Restrepo-Garcia";"CCAP";"Not Applicable";"Night";"Breakfast,Morning,Snack,Lunch,Afternoon,Snack,Dinner";"Spanish";3;"N/A";"DHS";"Yes";6/1/2020;"http://happyworldhomechildcare@Hogar.educacion";"Un programa con calidad en educaciГіn y disciplina.  Trabajamos construyendo niГ±os con principios y respeto para un mejor futuro.  Tenemos un currГ­culo educativo ,Mother Goose Time alineado con los estГЎndares educativos  de Rhode Island.";"6:30am - 10:00pm";"6:30am - 10:00pm";"6:30am - 10:00pm";"6:30am - 10:00pm";"6:30am - 10:00pm";;;"All age groups"
990;"Dr. Day Care's Child Dev.Center";"174 Hartford Pike";"RI";"Foster";2825;"(401) 647-7241";;;63;"Center";"https://exceed.ri.gov/program-search-details/990";"Kristina Clarke";"Financial Aid,CCAP";"Not Applicable";"None";"Breakfast,Lunch,Afternoon,Snack";"American,Sign,Language,English";3;"No";"DHS";"Yes";6/1/2020;"http://www.drdaycare.com";"We provide education and child care for children 6 week - 12 years old.  Our mission is to: To provide family, youth and child services in a safe, structured, and nurturing environment through a team of dedicated professionals.";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";;;"2 months - 4 years, 3 - 5 years, 5+ years"
1033;"Community AlphaBEST";"15 Arnold Mills Rd.";"RI";"Cumberland";2864;"(401) 255-8692";;;127;"Center";"https://exceed.ri.gov/program-search-details/1033";"mike  kenyon";"CCAP";"Not Applicable";"None";"Afternoon,Snack";;3;"N/A";"DHS";"Yes";6/3/2020;;"This program has not yet provided this information.";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";;;"5+ years"
1034;"Ashton AlphaBEST";"130 Scott Rd.";"RI";"Cumberland";2864;"(401) 255-8692";;;52;"Center";"https://exceed.ri.gov/program-search-details/1034";"mike  kenyon";"CCAP";"Not Applicable";"None";"Afternoon,Snack";"Spanish";3;"N/A";"DHS";"Yes";6/3/2020;"http://alphabest.org";"before and after school care";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";;;"5+ years"
1035;"Cumberland Hill AlphaBEST";"205 Manville Hill Rd.";"RI";"Cumberland";2864;"(401) 255-8692";;;103;"Center";"https://exceed.ri.gov/program-search-details/1035";"mike  kenyon";"CCAP";"Not Applicable";"None";"Afternoon,Snack";;3;"N/A";"DHS";"Yes";6/3/2020;;"This program has not yet provided this information.";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";;;"5+ years"
1036;"BF Norton AlphaBEST";"364 Broad St.";"RI";"Cumberland";2864;"(401) 255-8692";;;45;"Center";"https://exceed.ri.gov/program-search-details/1036";"mike  kenyon";"CCAP";"Not Applicable";"None";"Afternoon,Snack";"Spanish";3;"N/A";"DHS";"Yes";6/3/2020;;"This program has not yet provided this information.";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";;;"5+ years"
1037;"Garvin AlphaBEST";"1364 Diamond Hill Rd.";"RI";"Cumberland";2864;"(401) 255-8692";;;65;"Center";"https://exceed.ri.gov/program-search-details/1037";"mike  kenyon";"CCAP";"Not Applicable";"None";"Afternoon,Snack";"Spanish";3;"N/A";"DHS";"Yes";6/3/2020;;"This program has not yet provided this information.";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";;;"5+ years"
1040;"Busy B's Academy";"185 Nausauket Road";"RI";"Warwick";2886;"(401) 739-7800";;;26;"Center";"https://exceed.ri.gov/program-search-details/1040";"Jennifer Mairinelli";"CCAP";"Not Applicable";"None";"Breakfast,Morning,Snack,Afternoon,Snack";;3;"No";"DHS";"Yes";6/1/2020;;"This program has not yet provided this information.";"7:00am - 5:30pm";"7:00am - 5:30pm";"7:00am - 5:30pm";"7:00am - 5:30pm";"7:00am - 5:30pm";;;"3 - 5 years, 1 - 4 years"
93;"WonderKids Early Learning Center";"73 Alhambra Rd.";"RI";"Warwick";2886;"(401) 714-4945";;;88;"Center";"https://exceed.ri.gov/program-search-details/93";"Mary Lou  Reynolds";"Financial Aid,CCAP";"Not Applicable";"None";"Breakfast,Lunch,Afternoon,Snack";"American,Sign,Language,French,Spanish";3;"No";"DHS";"Yes";6/1/2020;"http://myfavoritechildcare.com";"WonderKids Early Learning Center has a main focus.  We promote and implement the education and development of the WHOLE child.  Our well-rounded philosophy develops 9 areas of welfare for your child.  They are: 1. Physical Health and Motor Development,  2. Social and Emotional Development,  3.  Language Development,  4.  Literacy,  5.  Cognitive Development,  6.  Mathematics,  7.  Science,  8.  Social Studies,  9.  Creative Arts.  WonderKids also adds another aspect to the 9 domains;  we incorporate a 10th domain of Spirituality.  Spirituality simply meaning kindness, manners, caring, empathy and helping our classmates and teachers in our school.    We are a center but have a home-like environment.  We offer excellent Family Engagement opportunities.  We believe that the families of children are the first and best teacher and therefore we work hand in hand with our families to ensure the best possible outcome of all our children.  WonderKids was founded 30 years ago by the current owner and director Mrs. Mary Lou Pariseault Reynolds.  She has dedicated her life to high quality child care and education of young children and the extreme importance of family values.  ";"7:00am - 5:30pm";"7:00am - 5:30pm";"7:00am - 5:30pm";"7:00am - 5:30pm";"7:00am - 5:30pm";;;"2 months - 4 years, 3 - 5 years"
108;"Precious Years Nursery";"205 Hallene Road";"RI";"Warwick";2886;"(401) 738-0550";;;139;"Center";"https://exceed.ri.gov/program-search-details/108";"Precious  Years";"CCAP";"Not Applicable";"None";"Breakfast,Morning,Snack,Lunch,Afternoon,Snack";;3;"No";"DHS";"Yes";6/1/2020;;"This program has not yet provided this information.";"6:30am - 6:00pm";"6:30am - 6:00pm";"6:30am - 6:00pm";"6:30am - 6:00pm";"6:30am - 6:00pm";;;"2 months - 4 years, 3 - 5 years, 5+ years"
111;"Jewish Alliance of Greater RI S/A";"401 ELMGROVE AVENUE";"RI";"Providence";2906;"(401) 421-4111";;;56;"Center";"https://exceed.ri.gov/program-search-details/111";"Shannon Kochanek";"Financial Aid,CCAP";"Not Applicable";"None";"Afternoon,Snack";;3;"N/A";"DHS";"Yes";6/8/2020;"http://jewishallianceri.org";"Our S/A program, J-Space, is an after school program for children in Kindergarten through 5th grade.";"02:30 PM - 06:00 PM";"02:30 PM - 06:00 PM";"02:30 PM - 06:00 PM";"02:30 PM - 06:00 PM";"02:00 PM - 06:00 PM";;;"5+ years"
117;"Sweet Peas Village";"836 Middle Road";"RI";"East Greenwich";2818;"(401) 886-5592";;;74;"Center";"https://exceed.ri.gov/program-search-details/117";"Sarah Leach";"CCAP";"Not Applicable";"None";"Breakfast,Morning,Snack,Afternoon,Snack";;3;"No";"DHS";"Yes";6/1/2020;"http://www.sweetpeasvillage.com";"Sweet Peas Village Early Childhood School is made up of children from 6 weeks to 6 years with a full day program as well as up to a before and after school program from ages first grade to sixth grade.";"7:00am - 5:30pm";"7:00am - 5:30pm";"7:00am - 5:30pm";"7:00am - 5:30pm";"7:00am - 5:30pm";;;"2 months - 4 years, 3 - 5 years"
141;"Jamestown Early Learning Center";"87 NORTH MAIN ROAD";"RI";"Jamestown";2835;"(401) 423-9954";;;64;"Center";"https://exceed.ri.gov/program-search-details/141";"Terri North";"CCAP";"Not Applicable";"None";"Morning,Snack,Afternoon,Snack";;3;"No";"DHS";"Yes";6/1/2020;"http://jamestownearlylearningcenter.org";"This program has not yet provided this information.";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";;;"2 months - 4 years, 3 - 5 years"
148;"Federal Hill House Day Care Center";"9 Courtland Street";"RI";"Providence";2909;"(401) 421-4722";;;111;"Center";"https://exceed.ri.gov/program-search-details/148";"April  Ricci";"CCAP";"Not Applicable";"None";"Breakfast,Lunch,Afternoon,Snack";"Other,Portuguese,Spanish";3;"No";"DHS";"Yes";6/1/2020;"http://www.federalhillhouse.org/";"Federal Hill House's mission is to improve the quality of life of our clients by providing the best possible human services that promote education, empowerment, and self-sufficiency. The staff at the Federal Hill House is dedicated to preparing the young children of the Federal Hill neighborhood to be ready, excited, and healthy for school. Teachers have backgrounds in Early Education and are continuing their own educations by attending Professional Development trainings.   The Early Learning world is shifting, expanding and  growing as more research is funded about early learning and development. We have received a high quality rating from Bright Stars for our early learning program and have a quality before/after school and summer camp services.  A new free program called, &quot;Parents as Teachers&quot; has been created to provide prenatal support and services for infants and toddlers, personalized attention for mothers/fathers and their babies, advice on how to have a healthy, happy, and properly developing baby, and assistance in obtaining services such as Early Intervention. Federal Hill House Association also provides services not limited to supplying bags of food to food insecure individuals and families, providing access to emergency/basic needs services. Thousands of individuals received hot meals through our Meals on Wheels program and our Community Soup Kitchen. Services have been provided for hundreds of victims of crime and are supported in creating safe living environments, accessing health services and receiving counseling services.  If you have any questions please feel free to call us! We would be delighted to answer any questions.";"6:30am - 6:00pm";"6:30am - 6:00pm";"6:30am - 6:00pm";"6:30am - 6:00pm";"6:30am - 6:00pm";;;"3 - 5 years, 5+ years, 1 - 4 years"
153;"Buttonwoods School For Young Ch.";"311 BUTTONWOODS AVENUE";"RI";"Warwick";2886;"(401) 732-2009";;;27;"Center";"https://exceed.ri.gov/program-search-details/153";"Gina Murray";"Information  by program";"Not Applicable";"None";"Morning,Snack,Afternoon,Snack";;3;"No";"DHS";"No";6/1/2020;"http://buttonwoodsschool.com";"       Buttonwoods School is committed to the education of the &quot;whole child&quot;.  Our curriculum has been developed to give children opportunities to build skills in all learning dimensions including language, literacy, math, science, creative arts and expression, physical competency, social interaction, emotional understand and control, and moral and spiritual development.  Children will participate in a variety of activities each day which support learning at their individual levels of development.  Remembering the important role of play and discovery in learning, our students learn and build personal skills in a comfortable and enjoyable way.";"8:00am - 3:00pm";"8:00am - 3:00pm";"8:00am - 3:00pm";"8:00am - 3:00pm";"8:00am - 3:00pm";;;"3 - 5 years"
