"ShortName";"ProviderName";"ProviderNumber";"Address";"City";"State";"Zip";"County";"LocationNumber";"FacilityNumber";"Regulations";"ContactName";"ContactPhone";"LicenseeName";"AgesServed";"Stars";"DayCapacity";"NightCapacity";"MonthsOpen";"Accreditation";"Mon";"Tue";"Wed";"Thu";"Fri";"Sat";"Sun";"FacilityID";"GroupSize";"ChildrenUnder7"
"Mscr Afterschool At Henderson";"Mscr Afterschool At Henderson";5000561125;"1201 Tompkins Dr";;;;"Madison WI 53716-3299";1;2100625;"Public School";"Megan Woodward";"(608) 204-2507";"Ali Muldrow";"5 Year(s) - 12 Year(s)";"2 Stars";60;0;"Sep - Jun";;"2:00PM - 5:45PM";"2:00PM - 5:45PM";"2:00PM - 5:45PM";"2:00PM - 5:45PM";"2:00PM - 5:45PM";"Closed";"Closed";"5000561125_1";;
"Mscr Afterschool At Lakeview";"Mscr Afterschool At Lakeview";5000561125;"1802 Tennyson Ln";"Madison";"WI";"53704-2323";"Dane County";8;2100618;"Public School";"Chase West";"(608) 204-4055";"Ali Muldrow";"5 Year(s) - 12 Year(s)";"2 Stars";60;0;"Sep - Jun";;"2:00PM - 5:45PM";"2:00PM - 5:45PM";"2:00PM - 5:45PM";"2:00PM - 5:45PM";"2:00PM - 5:45PM";"Closed";"Closed";"5000561125_8";;
"Mscr Afterschool At Lincoln";"Mscr Afterschool At Lincoln";5000561125;"909 Sequoia Trl";"Madison";"WI";"53713-2520";"Dane County";4;2100622;"Public School";"Matt Reines";"(608) 204-4963";"Ali Muldrow";"5 Year(s) - 12 Year(s)";"2 Stars";60;0;"Sep - Jun";;"2:00PM - 5:45PM";"2:00PM - 5:45PM";"2:00PM - 5:45PM";"2:00PM - 5:45PM";"2:00PM - 5:45PM";"Closed";"Closed";"5000561125_4";;
"Mscr Afterschool At Lindbergh";"Mscr Afterschool At Lindbergh";5000561125;"4500 Kennedy Rd";"Madison";"WI";"53704-1208";"Dane County";16;2100610;"Public School";"Narvella Davis Willis";"(608) 516-2776";"Ali Muldrow";"5 Year(s) - 12 Year(s)";"2 Stars";50;0;"Sep - Jun";;"2:00PM - 5:45PM";"2:00PM - 5:45PM";"2:00PM - 5:45PM";"2:00PM - 5:45PM";"2:00PM - 5:45PM";"Closed";"Closed";"5000561125_16";;
"Mscr Afterschool At Lowell";"Mscr Afterschool At Lowell";5000561125;"401 Maple Ave";"Madison";"WI";"53704-5840";"Dane County";17;2100609;"Public School";"Sarah Lind";"(608) 204-6616";"Ali Muldrow";"5 Year(s) - 12 Year(s)";"2 Stars";60;0;"Sep - Jun";;"2:00PM - 5:45PM";"2:00PM - 5:45PM";"2:00PM - 5:45PM";"2:00PM - 5:45PM";"2:00PM - 5:45PM";"Closed";"Closed";"5000561125_17";;
"Mscr Afterschool At Mendota";"Mscr Afterschool At Mendota";5000561125;"4002 School Rd";;;;"Madison WI 53704-1999";2;2100624;"Public School";"Antoio Cruz Rodriguez";"(608) 204-7851";"Ali Muldrow";"5 Year(s) - 12 Year(s)";"2 Stars";60;0;"Sep - Jun";;"2:00PM - 5:45PM";"2:00PM - 5:45PM";"2:00PM - 5:45PM";"2:00PM - 5:45PM";"2:00PM - 5:45PM";"Closed";"Closed";"5000561125_2";;
"Mscr Afterschool At Midvale";"Mscr Afterschool At Midvale";5000561125;"502 Caromar Dr";"Madison";"WI";"53711-1525";"Dane County";11;2100615;"Public School";"Brock Wesenberg";"(608) 204-6733";"Ali Muldrow";"5 Year(s) - 12 Year(s)";"2 Stars";60;0;"Sep - Jun";;"2:00PM - 5:45PM";"2:00PM - 5:45PM";"2:00PM - 5:45PM";"2:00PM - 5:45PM";"2:00PM - 5:45PM";"Closed";"Closed";"5000561125_11";;
"Mscr Afterschool At Nuestro Mundo";"Mscr Afterschool At Nuestro Mundo";5000561125;"902 Nichols Rd";"Monona";"WI";"53716-2565";"Dane County";24;2100602;"Public School";"Guadalupe Banda";"(608) 442-2533";"Ali Muldrow";"5 Year(s) - 12 Year(s)";"2 Stars";60;0;"Sep - Jun";;"2:00PM - 5:45PM";"2:00PM - 5:45PM";"2:00PM - 5:45PM";"2:00PM - 5:45PM";"2:00PM - 5:45PM";"Closed";"Closed";"5000561125_24";;
"Mscr Afterschool At Sandberg";"Mscr Afterschool At Sandberg";5000561125;"4114 Donald Dr";"Madison";"WI";"53704-2822";"Dane County";25;2100601;"Public School";"Jeremiah Covington";"(608) 204-7952";"Ali Muldrow";"5 Year(s) - 12 Year(s)";"2 Stars";60;0;"Sep - Jun";;"2:00PM - 5:45PM";"2:00PM - 5:45PM";"2:00PM - 5:45PM";"2:00PM - 5:45PM";"2:00PM - 5:45PM";"Closed";"Closed";"5000561125_25";;
"Mscr Camp Compass At Schenk";"Mscr Camp Compass At Schenk";5000561125;"230 Schenk St";"Madison";"WI";"53714-2331";"Dane County";29;2005072;"Public School";"Laronda Mclin";"(608) 204-1485";"Ali Muldrow";"5 Year(s) - 13 Year(s)";"2 Stars";60;0;"Jun - Aug";;"7:30AM - 5:30PM";"7:30AM - 5:30PM";"7:30AM - 5:30PM";"7:30AM - 5:30PM";"7:30AM - 5:30PM";"Closed";"Closed";"5000561125_29";;
"Mscr Camp Compass At Thoreau";"Mscr Camp Compass At Thoreau";5000561125;"3870 Nakoma Rd";"Madison";"WI";"53711-3016";"Dane County";31;2005105;"Public School";"Leslie Smith";"(608) 204-6940";"Ali Muldrow";"5 Year(s) - 13 Year(s)";"2 Stars";60;0;"Jun - Aug";;"7:45AM - 5:30PM";"7:45AM - 5:30PM";"7:45AM - 5:30PM";"7:45AM - 5:30PM";"7:45AM - 5:30PM";"Closed";"Closed";"5000561125_31";;
"Mscr Child Care - Stephens Elementary";"Mscr Child Care - Stephens Elementary";5000561125;"120 S Rosa Rd";"Madison";"WI";"53705-4441";"Dane County";30;2005104;"Public School";"Leslie Smith";"(608) 556-8177";"Ali Muldrow";"5 Year(s) - 13 Year(s)";"2 Stars";40;0;"Jan - Dec";;"7:45AM - 5:00PM";"7:45AM - 5:00PM";"7:45AM - 5:00PM";"7:45AM - 5:00PM";"7:45AM - 5:00PM";"Closed";"Closed";"5000561125_30";;
"Mscr Child Care At Allied";"Mscr Child Care At Allied";5000561125;"2237 Allied Dr";"Madison";"WI";"53711-4505";"Dane County";6;2100620;"Public School";"Laura Harrington";"(608) 204-6578";"Ali Muldrow";"5 Year(s) - 13 Year(s)";"2 Stars";60;0;"Jan - Dec";;"7:30AM - 5:00PM";"7:30AM - 5:00PM";"7:30AM - 5:00PM";"7:30AM - 5:00PM";"7:30AM - 5:00PM";"Closed";"Closed";"5000561125_6";;
"Mscr Child Care At Orchard Ridge";"Mscr Child Care At Orchard Ridge";5000561125;"5602 Russett Rd";"Madison";"WI";"53711-3568";"Dane County";33;2005169;"Public School";"Molly Horton";"(608) 204-3000";"Ali Muldrow";"5 Year(s) - 13 Year(s)";"2 Stars";60;0;"Jan - Dec";;"7:45AM - 5:00PM";"7:45AM - 5:00PM";"7:45AM - 5:00PM";"7:45AM - 5:00PM";"7:45AM - 5:00PM";"Closed";"Closed";"5000561125_33";;
"Natalie Williams";"Natalie Williams";6000588016;"9 Kurt Dr";"Madison";"WI";"53714-2151";"Dane County";1;"N/A";"Regular Certified";"Natalie Williams";"(608) 217-5455";"Natalie Williams";"6 Week(s) - 13 Year(s)";"2 Stars";;;"Jan - Dec";;"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6000588016_1";6;3
"Natures Garden Preschool Llc";"Natures Garden Preschool Llc";8000589168;"120 Chalet Dr";"Stoughton";"WI";"53589-2267";"Dane County";1;2003374;"Licensed Group";"Dee Heitz";"(608) 205-6699";"Dee Heitz";"12 Week(s) - 7 Year(s)";"2 Stars";24;0;"Jan - Dec";;"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"Closed";"Closed";"8000589168_1";;
"Nickitia Cooper";"Nickitia Cooper";2000561662;"1317 Prairie Rd";"Madison";"WI";"53711-3216";"Dane County";1;"N/A";"Regular Certified";"Nickitia Cooper";"(608) 906-2275";"Nickitia Cooper";"0 Week(s) - 13 Year(s)";"2 Stars";;;"Jan - Dec";;"12:00AM - 9:00AM5:00PM - 11:59PM";"12:00AM - 9:00AM5:00PM - 11:59PM";"12:00AM - 9:00AM5:00PM - 11:59PM";"12:00AM - 9:00AM5:00PM - 11:59PM";"12:00AM - 9:00AM5:00PM - 11:59PM";"12:00AM - 9:00AM5:00PM - 11:59PM";"12:00AM - 9:00AM5:00PM - 11:59PM";"2000561662_1";6;3
"Nina Okwali";"Nina Okwali";7000575927;"503 Bayview Dr";"Madison";"WI";53715;"Dane County";2;"N/A";"Regular Certified";"Nina Okwali";"(608) 332-4017";"Nina Okwali";"0 Week(s) - 10 Year(s)";"2 Stars";;;"Jan - Dec";;"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"Closed";"Closed";"7000575927_2";6;3
"Nisa Carter";"Nisa Carter";3000564203;"1122 Hackberry Ln";"Madison";"WI";"53713-2510";"Dane County";1;"N/A";"Regular Certified";"Nisa Carter";"(608) 335-7516";"Nisa Carter";"0 Week(s) - 13 Year(s)";"2 Stars";;;"Jan - Dec";;"7:00AM - 11:00PM";"7:00AM - 11:00PM";"7:00AM - 11:00PM";"7:00AM - 11:00PM";"7:00AM - 11:00PM";"7:00AM - 11:00PM";"7:00AM - 11:00PM";"3000564203_1";6;3
"Paraiso Infantil Child Care Center";"Paraiso Infantil Child Care Center";1000590051;"1160 Gammon Ln";"Madison";"WI";"53719-2211";"Dane County";1;"N/A";"Regular Certified";"Nancy Rosales Franco";"(608) 770-6645";"Nancy Rosales Franco";"3 Month(s) - 13 Year(s)";"2 Stars";;;"Jan - Dec";;"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";;"1000590051_1";6;3
"Pooh Bear Childcare";"Pooh Bear Childcare";5000577825;"1340 Deming Way";"Middleton";"WI";53562;"Dane County";1;1005892;"Licensed Group";"Theresa Shaeffer";"(608) 831-2327";"Rhiannon Belanger";"6 Week(s) - 9 Year(s)";"2 Stars";145;0;"Jan - Dec";;"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"Closed";"Closed";"5000577825_1";;
"Primrose School Of Middleton";"Primrose School Of Middleton";3000588923;"3000 Deming Way";"Middleton";"WI";"53562-1432";"Dane County";1;2002916;"Licensed Group";"Amanda Kienbaum";"(608) 841-1684";"Amanda Kienbaum";"6 Week(s) - 13 Year(s)";"2 Stars";182;0;"Jan - Dec";"Cognia";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"Closed";"Closed";"3000588923_1";;
"Rayito De Luz";"Rayito De Luz";6000589176;"6919 Old Sauk Ct";"Madison";"WI";"53717-1126";"Dane County";1;2004619;"Licensed Family";"Luz Robledo";"(608) 516-6142";"Luz Robledo";"2 Month(s) - 13 Year(s)";"2 Stars";8;0;"Jan - Dec";;"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"Closed";"Closed";"6000589176_1";;
"Rise High Learning Academy";"Rise High Learning Academy";7000589727;"6200 Nesbitt Rd A";"Fitchburg";"WI";"53719-1949";"Dane County";1;2004397;"Licensed Group";"Sirosh Masood";"(608) 395-4826";"Sirosh Masood";"6 Week(s) - 13 Year(s)";"2 Stars";32;0;"Jan - Dec";;"7:00AM - 5:30PM";"7:00AM - 5:30PM";"7:00AM - 5:30PM";"7:00AM - 5:30PM";"7:00AM - 5:30PM";"Closed";"Closed";"7000589727_1";;
"Robbie Darden";"Robbie Darden";4000569674;"2011 Westbrook Ln";"Madison";"WI";"53711-4058";"Dane County";2;"N/A";"Regular Certified";"Robbie Darden";"(608) 239-5050";"Robbie Darden";"6 Week(s) - 13 Year(s)";"2 Stars";;;"Jan - Dec";;"6:30AM - 10:30PM";"6:30AM - 10:30PM";"6:30AM - 10:30PM";"6:30AM - 10:30PM";"6:30AM - 10:30PM";"6:30AM - 10:30PM";"6:30AM - 10:30PM";"4000569674_2";6;3
"Rock-A-Bye Baby Nursery School";"Rock-A-Bye Baby Nursery School";4000577304;"801 Lois Dr";"Sun Prairie";"WI";53590;"Dane County";2;1009677;"Licensed Group";"Julie Gretzinger";"(608) 834-5867";"Mandy Kraus Kuenster";"6 Week(s) - 4 Year(s)";"2 Stars";43;0;"Jan - Dec";;"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"Closed";"Closed";"4000577304_2";;
"Rock-A-Bye Child Care Learning Ctr";"Rock-A-Bye Child Care Learning Ctr";4000577304;"811 Lois Dr";"Sun Prairie";"WI";53590;"Dane County";3;1011328;"Licensed Group";"Julie Gretzinger";"(608) 834-5867";"Mandy Kraus Kuenster";"1 Year(s) - 5 Year(s)";"2 Stars";52;0;"Jan - Dec";;"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"Closed";"Closed";"4000577304_3";;
"Rock-A-Bye Education Connection";"Rock-A-Bye Education Connection";4000577304;"751 Lois Dr";"Sun Prairie";"WI";53590;"Dane County";1;1008240;"Licensed Group";"Julie Gretzinger";"(608) 834-5867";"Mandy Kraus Kuenster";"6 Week(s) - 13 Year(s)";"2 Stars";100;0;"Jan - Dec";;"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"Closed";"Closed";"4000577304_1";;
"Roshelle Rucker";"Roshelle Rucker";5000571175;"2233 Rosenberry Rd 7";"Fitchburg";"WI";"53711-4620";"Dane County";2;"N/A";"Regular Certified";"Roshelle Rucker";"(608) 270-0852";"Roshelle Rucker";"0 Week(s) - 13 Year(s)";"2 Stars";;;"Jan - Dec";;"7:00AM - 11:00PM";"7:00AM - 11:00PM";"7:00AM - 11:00PM";"7:00AM - 11:00PM";"7:00AM - 11:00PM";"7:00AM - 11:00PM";"7:00AM - 11:00PM";"5000571175_2";6;3
"Sandcastle Daycare";"Sandcastle Daycare";2000558162;"2215 Main St";"Cross Plains";"WI";53528;"Dane County";1;120632;"Licensed Group";"Ann Pytel";"(608) 798-2213";"Marilyn Helleckson";"6 Week(s) - 11 Year(s)";"2 Stars";15;0;"Jan - Dec";;"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"Closed";"Closed";"2000558162_1";;
"Schools Out";"Schools Out";7000586237;"369 Williams St";"Marshall";"WI";53559;"Dane County";1;1016071;"Licensed Group";"Tracy Bowers";"(608) 655-1588";"Tracy Bowers";"4 Year(s) - 13 Year(s)";"2 Stars";23;0;"Jan - Dec";;"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"Closed";"Closed";"7000586237_1";;
"Sheila Turner";"Sheila Turner";7000579237;"2 Mount Vernon Ct";"Madison";"WI";"53719-2206";"Dane County";2;"N/A";"Regular Certified";"Sheila Turner";"(608) 467-2441";"Sheila Turner";"0 Week(s) - 13 Year(s)";"2 Stars";;;"Jan - Dec";;"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"7000579237_2";6;3
"Sheneka Pollard";"Sheneka Pollard";7000564897;"1048 Providence";"Sun Prairie";"WI";"53590-4586";"Dane County";1;"N/A";"Regular Certified";"Sheneka Pollard";"(608) 235-1711";"Sheneka Pollard";"0 Week(s) - 13 Year(s)";"2 Stars";;;"Jan - Dec";;"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"7000564897_1";6;3
"Shonda's Bugs Llc";"Shonda's Bugs Llc";590110;"1 Waunona Woods Ct 1";"Madison";"WI";"53713-1764";"Dane County";1;"N/A";"Regular Certified";"Lashonda Hutchins";"(608) 960-1699";"Lashonda Hutchins";"0 Week(s) - 13 Year(s)";"2 Stars";;;"Jan - Dec";;"5:00AM - 9:00PM";"5:00AM - 9:00PM";"5:00AM - 9:00PM";"5:00AM - 9:00PM";"5:00AM - 9:00PM";"Closed";"Closed";"590110_1";6;3
"Small Footprints";"Small Footprints";3000577393;"1100 Centennial Pkwy";"Waunakee";"WI";"53597-1905";"Dane County";2;2002720;"Licensed Family";"Cynthia Warren";"(608) 852-2787";"Cynthia Warren";"6 Week(s) - 9 Year(s)";"2 Stars";8;0;"Jan - Dec";;"7:00AM - 5:30PM";"7:00AM - 5:30PM";"7:00AM - 5:30PM";"7:00AM - 5:30PM";"7:00AM - 5:30PM";"Closed";"Closed";"3000577393_2";;
"Spartan Day Camp";"Spartan Day Camp";3000588213;"4814 Freedom Ring Rd";"Madison";"WI";53718;"Dane County";1;2001828;"Licensed Camp";"Shelly Seay";"(608) 438-3003";"Shelly Seay";"4 Year(s) - 13 Year(s)";"2 Stars";150;0;"Jan - Dec";;"6:45AM - 6:00PM";"6:45AM - 6:00PM";"6:45AM - 6:00PM";"6:45AM - 6:00PM";"6:45AM - 6:00PM";"Closed";"Closed";"3000588213_1";;
"Squeals Of Joy";"Squeals Of Joy";7000572247;"4808 Mckenna Rd";"Monona";"WI";53716;"Dane County";1;1002345;"Licensed Family";"Amy Peterson";"(608) 320-1628";"Amy Peterson";"6 Week(s) - 12 Year(s)";"2 Stars";8;0;"Jan - Dec";;"7:00AM - 5:30PM";"7:00AM - 5:30PM";"7:00AM - 5:30PM";"7:00AM - 5:30PM";"7:00AM - 5:30PM";"Closed";"Closed";"7000572247_1";;
"Stay N Play";"Stay N Play";9000577249;"5 Charleen Ln";"Madison";"WI";53714;"Dane County";1;1008666;"Licensed Family";"Donna Schaefer";"(608) 241-1779";"Donna Schaefer";"6 Week(s) - 12 Year(s)";"2 Stars";8;0;"Jan - Dec";;"6:30AM - 5:00PM";"6:30AM - 5:00PM";"6:30AM - 5:00PM";"6:30AM - 5:00PM";"6:30AM - 5:00PM";"Closed";"Closed";"9000577249_1";;
"Success Garuba";"Success Garuba";2000589712;"503 Orion Trl";"Madison";"WI";"53718-5118";"Dane County";1;"N/A";"Regular Certified";"Success Garuba";"(608) 417-9129";"Success Garuba";"1 Year(s) - 12 Year(s)";"2 Stars";;;"Jan - Dec";;"12:00AM - 12:00PM9:00PM - 11:59PM";"12:00AM - 12:00PM9:00PM - 11:59PM";"12:00AM - 12:00PM9:00PM - 11:59PM";"12:00AM - 12:00PM9:00PM - 11:59PM";"12:00AM - 12:00PM9:00PM - 11:59PM";"12:00AM - 12:00PM9:00PM - 11:59PM";"9:00PM - 11:59PM";"2000589712_1";6;3
"Sue's Shining Stars";"Sue's Shining Stars";7000563667;"4901 Mckenna Rd";"Monona";"WI";53716;"Dane County";1;131267;"Licensed Family";"Susan Whitish";"(608) 221-9805";"Susan Whitish";"3 Week(s) - 12 Year(s)";"2 Stars";8;0;"Jan - Dec";;"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"Closed";"Closed";"7000563667_1";;
"Sunbrook Child Care Center";"Sunbrook Child Care Center";7000582397;"311 Madison St";"Marshall";"WI";53559;"Dane County";1;1011799;"Licensed Group";"Amy Jacobson";"(608) 655-1324";"Amy Jacobson";"2 Week(s) - 13 Year(s)";"2 Stars";50;0;"Jan - Dec";;"5:30AM - 6:00PM";"5:30AM - 6:00PM";"5:30AM - 6:00PM";"5:30AM - 6:00PM";"5:30AM - 6:00PM";"Closed";"Closed";"7000582397_1";;
"Sunny Ridge Kids Baby House";"Sunny Ridge Kids Baby House";9000557919;"820 Powers Ave";"Madison";"WI";"53714-1137";"Dane County";3;1015985;"Licensed Family";"Debbie Peterson";"(608) 244-8223";"Bryan Peterson";"4 Week(s) - 2 Year(s)";"2 Stars";8;0;"Jan - Dec";;"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"Closed";"Closed";"9000557919_3";;
"Swim And Gym All Sports Camp Llc";"Swim And Gym All Sports Camp Llc";576800;"1001 Deming Way";"Madison";"WI";53717;"Dane County";1;1006536;"Licensed Camp";"Karen Clay";"(608) 831-6829";"Karen Clay";"5 Year(s) - 12 Year(s)";"2 Stars";125;0;"Jun - Dec";;"7:30AM - 5:30PM";"7:30AM - 5:30PM";"7:30AM - 5:30PM";"7:30AM - 5:30PM";"7:30AM - 5:30PM";"Closed";"Closed";"576800_1";;
"T.T.'S Daycare";"T.T.'S Daycare";8000577198;"421 W Wingra Dr";"Madison";"WI";"53713-1332";"Dane County";1;"N/A";"Regular Certified";"Venessa Alexander";"(608) 257-2491";"Venessa Alexander";"0 Week(s) - 13 Year(s)";"2 Stars";;;"Jan - Dec";;"6:30AM - 3:30PM";"6:30AM - 3:30PM";"6:30AM - 3:30PM";"6:30AM - 3:30PM";"6:30AM - 3:30PM";"7:00AM - 3:00PM";"7:00AM - 3:00PM";"8000577198_1";6;3
"Teri's Day Care";"Teri's Day Care";4000562114;"4780 Schneider Dr";"Oregon";"WI";53575;"Dane County";1;131070;"Licensed Family";"Teri Johnson";"(608) 835-7263";"Teri Johnson";"6 Week(s) - 5 Year(s)";"2 Stars";8;0;"Jan - Dec";;"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 4:00PM";"Closed";"Closed";"4000562114_1";;
"The Playing Field East Inc";"The Playing Field East Inc";8000588638;"2253 Independence Ln";"Madison";"WI";"53704-3500";"Dane County";2;2005157;"Licensed Group";"Julie Knade";"(608) 770-9621";"Thomas Popp";"6 Week(s) - 7 Year(s)";"2 Stars";20;0;"Jan - Dec";;"7:30AM - 5:30PM";"7:30AM - 5:30PM";"7:30AM - 5:30PM";"7:30AM - 5:30PM";"7:30AM - 5:30PM";"Closed";"Closed";"8000588638_2";;
"Tlc Daycare Llc";"Tlc Daycare Llc";9000587079;"201 Glen View Rd";"Mount Horeb";"WI";"53572-3397";"Dane County";1;2000445;"Licensed Family";"Sandra Hook";"(608) 437-4380";"Sandra Hook";"8 Week(s) - 13 Year(s)";"2 Stars";8;0;"Jan - Dec";;"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"Closed";"Closed";"9000587079_1";;
"Two Grandmas And A Bunch Of Kids";"Two Grandmas And A Bunch Of Kids";6000583406;"600 Plaza St";"Deerfield";"WI";53531;"Dane County";1;1012845;"Licensed Group";"Debbie Collins";"(608) 764-8272";"Deborah Collins";"6 Week(s) - 13 Year(s)";"2 Stars";45;0;"Jan - Dec";;"5:30AM - 5:45PM";"5:30AM - 5:45PM";"5:30AM - 5:45PM";"5:30AM - 5:45PM";"5:30AM - 5:45PM";"Closed";"Closed";"6000583406_1";;
"United Family Childcare";"United Family Childcare";9000571039;"3902 School Rd A";"Madison";"WI";"53704-1958";"Dane County";1;1007530;"Licensed Family";"Xiongmee Lee";"(608) 249-8192";"Xiongmee Lee";"1 Month(s) - 13 Year(s)";"2 Stars";8;0;"Jan - Dec";;"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";;"9000571039_1";;
"Viking Day Camp";"Viking Day Camp";7000590147;"2125 Mccomb Rd 102";"Stoughton";"WI";"53589-3776";"Dane County";1;2005069;"Licensed Camp";"Megan Bisbee";"(608) 886-0140";"Megan Bisbee";"5 Year(s) - 13 Year(s)";"2 Stars";75;0;"Jan - Dec";;"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"Closed";"Closed";"7000590147_1";;
"Waddle - In Family Childcare";"Waddle - In Family Childcare";9000571219;"1218 Painted Post Dr";"Madison";"WI";"53716-1550";"Dane County";3;2003183;"Licensed Family";"Brandee Crabb";"(608) 335-7416";"Brandee Crabb";"10 Week(s) - 12 Year(s)";"2 Stars";8;0;"Jan - Dec";;"7:00AM - 4:45PM";"7:00AM - 4:45PM";"7:00AM - 4:45PM";"7:00AM - 4:45PM";"7:00AM - 4:45PM";"Closed";"Closed";"9000571219_3";;
"Wil Mar Neighborhood Center";"Wil Mar Neighborhood Center";557920;"953 Jenifer St";"Madison";"WI";53703;"Dane County";1;120679;"Licensed Group";"Rachel Halstead";"(608) 257-4576";"Bob Hemauer";"5 Year(s) - 13 Year(s)";"2 Stars";30;0;"Jan - Dec";;"7:30AM - 5:00PM";"7:30AM - 5:00PM";"7:30AM - 5:00PM";"7:30AM - 5:00PM";"7:30AM - 5:00PM";"Closed";"Closed";"557920_1";;
"Wonderland Family Daycare";"Wonderland Family Daycare";5000589765;"3107 Maple Grove Dr";"Madison";"WI";"53719-5011";"Dane County";1;"N/A";"Regular Certified";"Chrisbelly Antimo Perez";"(608) 609-1555";"Chrisbelly Antimo Perez";"6 Month(s) - 12 Year(s)";"2 Stars";;;"Jan - Dec";;"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"5000589765_1";6;3
"Ymca Country View";"Ymca Country View";6000559066;"710 Lone Pine Way";"Verona";"WI";53593;"Dane County";21;1003198;"Licensed Group";"Lisa Rheineck";"(608) 225-8180";"Mark Westover";"5 Year(s) - 13 Year(s)";"2 Stars";34;0;"Sep - Jun";;"7:00AM - 6:00PM";"2:30PM - 6:00PM";"2:30PM - 6:00PM";"2:30PM - 6:00PM";"2:30PM - 6:00PM";"Closed";"Closed";"6000559066_21";;
"Ymca Creekside";"Ymca Creekside";6000559066;"1251 Okeeffe Ave";"Sun Prairie";"WI";"53590-4188";"Dane County";71;1013566;"Licensed Group";"Seth Brody";"(608) 513-7856";"Mark Westover";"5 Year(s) - 14 Year(s)";"2 Stars";50;0;"Aug - Jun";;"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"Closed";"Closed";"6000559066_71";;
"Ymca Discovery Day Camp - Northeast";"Ymca Discovery Day Camp - Northeast";6000559066;"7080 Elder Ln";"Sun Prairie";"WI";"53590-9542";"Dane County";80;2002375;"Licensed Camp";"Seth Brody";"(608) 837-8221";"Mark Westover";"5 Year(s) - 14 Year(s)";"2 Stars";105;0;"Jun - Aug";;"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"Closed";"Closed";"6000559066_80";;
