"Application Type";"County";"Facility Name";"Facility Number";"Line Address 1";"City";"ZIP Code";"Contact Name";"Contact Phone";"License Date";"Capacity";"From Age";"To Age";"Hours";"Months";"Full Time"
"LICENSED GROUP";"15. DOOR";"NOAH'S ARK CHILD CARE CENTER";"2000257";"1715 Michigan St";"Sturgeon Bay";"54235-1411";"Krueger, Kaysie  ";"920-743-6065";11/17/2011;40;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"15. DOOR";"NORTHERN DOOR CHILDREN'S CENTER";"1002104";"10520 Judith Blazer Dr";"Sister Bay";"54234";"Trinkner-Peot, Cindy  ";"920-854-4244";7/22/1997;112;"0 Year(s), 0 Month(s), 6 Week(s)";"11 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";" "
"LICENSED GROUP";"15. DOOR";"PENINSULA PRESCHOOL INC";"420323 ";"10005 Norway St";"Ephraim";"54211";"Leline, Leslie  ";"920-854-2112";3/1/1998;16;"3 Year(s), 0 Month(s), 0 Week(s)";"5 Year(s), 11 Month(s), 0 Week(s)";"09:00 AM-11:30 AM";"Sep-Jun";" "
"LICENSED GROUP";"15. DOOR";"SNEAKERS AND BOOTS INC";"1000170";"876 S Lansing Ave";"Sturgeon Bay";"54235";"Hayes, Jayne  ";"920-746-0213";8/7/1998;117;"0 Year(s), 0 Month(s), 6 Week(s)";"10 Year(s), 11 Month(s), 0 Week(s)";"05:30 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"15. DOOR";"STURGEON BAY HEAD START";"1006985";"827 N 8th Ave";"Sturgeon Bay";"54235";"Grimmer, Ann  ";"920-743-3699";9/1/2003;39;"3 Year(s), 0 Month(s), 0 Week(s)";"5 Year(s), 11 Month(s), 0 Week(s)";"07:30 AM-03:00 PM";"Sep-Jun";"N"
"LICENSED GROUP";"15. DOOR";"WASHINGTON ISLAND PRESCHOOL";"1001631";"1246 Main Rd";"Washington Isla";"54246";"Boshka, Betsy  ";"920-847-3305";11/10/1999;12;"3 Year(s), 0 Month(s), 0 Week(s)";"5 Year(s), 11 Month(s), 0 Week(s)";"09:00 AM-11:30 AM";"Sep-Jun";" "
"LICENSED GROUP";"15. DOOR";"YMCA CHILD DEVELOPMENT CENTER";"2000537";"1743 Egg Harbor Rd";"Sturgeon Bay";"54235-3519";"Bosman, Angela  ";"920-818-0691";3/29/2012;92;"0 Year(s), 0 Month(s), 6 Week(s)";"9 Year(s), 11 Month(s), 0 Week(s)";"05:30 AM-05:45 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"15. DOOR";"YMCA KIDS CLUB SOUTHERN DOOR";"2000864";"2073 County Road Dk";"Brussels";"54204-9559";"Felhofer, Tonya  ";"920-818-0691";9/4/2012;18;"4 Year(s), 0 Month(s), 0 Week(s)";"10 Year(s), 11 Month(s), 0 Week(s)";"11:00 AM-05:45 PM";"Sep-Jun";"Y"
"LICENSED CAMP";"16. DOUGLAS";"SUPERIOR-DOUGLAS COUNTY YMCA  CAMP";"540006 ";"7751 Cty Rd S";"Lake Nebagamon";"54849";"Minor, Jacqueline  ";"715-374-3020";7/7/1996;55;"5 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"08:30 AM-04:00 PM";"Jun-Aug";"Y"
"LICENSED FAMILY";"16. DOUGLAS";"CARRIE'S CHILD CARE";"1016006";"3519 E 1st St";"Superior";"54880";"Conley, Carrie  ";"715-398-0377";5/9/2011;8;"0 Year(s), 3 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-07:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"16. DOUGLAS";"CINDY CAMPBELL'S DAY CARE";"1003833";"3103 Lamborn Ave";"Superior";"54880";"Campbell, Cindy  ";"715-394-6365";4/29/2001;8;"0 Year(s), 2 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-07:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"16. DOUGLAS";"CINDY'S PETITE PLAYMATES";"1004080";"2440 Oakes Ave";"Superior";"54880";"Robertson, Cindy  ";"715-392-3916";7/15/2001;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"08:00 AM-05:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"16. DOUGLAS";"DEB'S CHILDREN CENTER";"1000976";"1204 Harrison St";"Superior";"54880";"Rich, Debra  ";"715-394-7067";11/17/1999;8;"0 Year(s), 0 Month(s), 4 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"16. DOUGLAS";"FAMILY CHILD CARE";"2000020";"1722 Washington Ave";"Superior";"54880";"Williams, Terrilyn A ";"715-718-0165";9/1/2010;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-07:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"16. DOUGLAS";"FOTOULA'S FAMILY DAY CARE";"531256 ";"1707 Hughitt Ave";"Superior";"54880";"Johannesson, Fotini Fotoula  ";"715-392-8650";6/4/1998;8;"1 Year(s), 4 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-06:30 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"16. DOUGLAS";"KID-MIT-MENT";"530995 ";"1117 Hughitt Ave";"Superior";"54880";"Washnieski, Patty  ";"715-394-7878";7/22/1997;8;"0 Year(s), 0 Month(s), 2 Week(s)";"17 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-06:30 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"16. DOUGLAS";"KINDER QUEST FAMILY CHILD CARE CTR";"1007311";"2440 Maryland Ave";"Superior";"54880";"Kontny, Lori  ";"715-394-5437";10/4/1998;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Sep-Jun";"Y"
"LICENSED FAMILY";"16. DOUGLAS";"LITTLE ANGELS DAYCARE";"1003977";"5319 S Maple Dr";"Poplar";"54864";"Jardine, Cheryle  ";"715-364-2668";6/18/2001;8;"0 Year(s), 0 Month(s), 6 Week(s)";"13 Year(s), 11 Month(s), 0 Week(s)";"05:00 AM-05:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"16. DOUGLAS";"LITTLE FOOTSTEPS";"1007221";"5344 Balsam Dr";"Poplar";"54864";"Hill, Gina M ";"715-364-2580";9/16/2002;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"16. DOUGLAS";"LYNN'S HOME SWEET HOME";"1002517";"10917 E Us Highway 2";"Maple";"54854";"Alexson, Lynn M ";"715-363-2476";6/25/2000;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"16. DOUGLAS";"MAPLE FAMILY DAY CARE";"531192 ";"11419 E Estness Rd";"Maple";"54854";"Moniot, Carroll  ";"715-363-2546";8/24/1997;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"16. DOUGLAS";"MARY'S CARE BEAR CENTER";"1003792";"9052 E Baldwin Ave";"Solon Springs";"54873";"Garvey, Katherine K ";"715-378-2693";9/1/2001;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"16. DOUGLAS";"MICKEY MOUSE PLAYHOUSE";"531246 ";"516 Baxter Ave";"Superior";"54880";"Johnson, Jillene L ";"715-392-2604";2/17/1998;8;"0 Year(s), 0 Month(s), 6 Week(s)";"13 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-06:30 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"16. DOUGLAS";"MILLER AND DAUGHTER'S DAYCARE";"1014588";"4330 S County Road E";"South Range";"54874";"Miller, Cindy  ";"715-398-5651";8/27/2009;8;"0 Year(s), 0 Month(s), 6 Week(s)";"13 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-06:30 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"16. DOUGLAS";"NURSERY RHYMES";"1013675";"3009 Hughitt Ave";"Superior";"54880";"Filteau, Geraldine  ";"715-394-2074";10/17/2008;8;"0 Year(s), 0 Month(s), 2 Week(s)";"5 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"16. DOUGLAS";"OASIS KARE LEARNING CENTER";"531148 ";"3927 E Fourth St";"Superior";"54880";"Deeth, Diana  ";"715-398-8786";10/29/1997;8;"0 Year(s), 1 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"16. DOUGLAS";"PRECIOUS ANGELS DAY CARE";"531173 ";"2910 N 21st St";"Superior";"54880";"Burke, Deborah  ";"715-394-3392";7/23/1997;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-05:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"16. DOUGLAS";"TENDER LOVING CARE";"1001681";"2006 Hammond Ave";"Superior";"54880";"Dawson, Pamela  ";"715-394-3269";5/30/1997;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"16. DOUGLAS";"THE KIDDIE GARDEN";"2000885";"5409 Baxter Ave";"Superior";"54880-5509";"Olson, Melissa K ";"715-392-4092";9/10/2010;8;"0 Year(s), 0 Month(s), 4 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-05:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"16. DOUGLAS";"TIK TOK TOT SPOT";"1016105";"1616 E 7th St";"Superior";"54880";"Pawlovich, Lynn M ";"218-349-5370";7/27/2010;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"16. DOUGLAS";"TINY TOES DAYCARE";"1015773";"2715 E 8th St";"Superior";"54880";"Harstad, Ashley  ";"218-428-4146";12/10/2010;8;"0 Year(s), 0 Month(s), 6 Week(s)";"7 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"16. DOUGLAS";"A SUPERIOR CHILDREN'S CTR";"1015743";"1209 N 7th St";"Superior";"54880";"Luoma, Lori  ";"715-392-3334";11/8/2010;34;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-09:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"16. DOUGLAS";"CAROLYN'S CORNER";"520468 ";"4233 S Cty Rd P";"Poplar";"54864";"Anderson, Carolyn  ";"715-364-2636";5/30/1997;32;"0 Year(s), 0 Month(s), 2 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"16. DOUGLAS";"FAMILY FORUM HEAD START CENTER 1";"1004451";"1500 N 34th St";"Superior";"54880";"Johnson, Debra  ";"715-392-6286";9/4/2001;76;"2 Year(s), 0 Month(s), 0 Week(s)";"6 Year(s), 11 Month(s), 0 Week(s)";"07:45 AM-04:45 PM";"Sep-May";" "
"LICENSED GROUP";"16. DOUGLAS";"FAMILY FORUM HEAD START CTR #2";"520471 ";"518 Grand Ave";"Superior";"54880";"Fabini, Sue  ";"715-392-9848";11/15/1996;105;"3 Year(s), 0 Month(s), 0 Week(s)";"6 Year(s), 11 Month(s), 0 Week(s)";"07:30 AM-04:30 PM";"Sep-May";"N"
"LICENSED GROUP";"16. DOUGLAS";"FAMILY FORUM HEAD START CTR 4";"520473 ";"5613 S Hill Dr";"Brule";"54820";"Standen, Kirsten  ";"715-372-8060";10/1/1997;40;"3 Year(s), 0 Month(s), 0 Week(s)";"6 Year(s), 11 Month(s), 0 Week(s)";"07:45 AM-04:30 PM";"Sep-May";" "
"LICENSED GROUP";"16. DOUGLAS";"HAPPY HEARTS DAY CARE INC";"520474 ";"3605 E 2nd St";"Superior";"54880";"Jennings, Beth  ";"715-398-6174";5/30/1997;45;"0 Year(s), 0 Month(s), 4 Week(s)";"10 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"16. DOUGLAS";"LITTLE LAMBS PRESCHOOL";"1006963";"5161 S Cty Rd P";"Poplar";"54864";"Paulus, Michelle  ";"218-348-3926";9/1/2003;13;"2 Year(s), 6 Month(s), 0 Week(s)";"6 Year(s), 11 Month(s), 0 Week(s)";"08:00 AM-04:00 PM";"Sep-Jun";" "
"LICENSED GROUP";"16. DOUGLAS";"NEW HORIZONS CHILDREN'S CTR OF SUP";"2000246";"69 N 28th St";"Superior";"54880-6525";"Benson, Amy  ";"715-392-4211";10/4/2011;114;"0 Year(s), 0 Month(s), 2 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"16. DOUGLAS";"NOAH'S ARK DAY CARE CTR";"520516 ";"1625 N 59th St";"Superior";"54880";"Schweikert, Catherine  ";"715-392-1555";5/30/1997;71;"0 Year(s), 0 Month(s), 4 Week(s)";"11 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"16. DOUGLAS";"SHELL'S DAYCARE INC";"1009097";"1500 N 34th St # 100";"Superior";"54880";"Rivord, Michelle  ";"715-392-4669";4/18/2005;50;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"16. DOUGLAS";"SUPERIOR CHILDREN'S CENTER";"1014318";"2416 Hill Ave";"Superior";"54880";"Geisler, Brenda  ";"715-395-1933";5/9/2009;69;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-09:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"16. DOUGLAS";"TLLC SCHOOL AGE PROGRAM";"2000207";"5161 S County Road P";"Poplar";"54864-9152";"Crail, Bethany  ";"715-364-2717";9/1/2011;34;"5 Year(s), 0 Month(s), 0 Week(s)";"13 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"16. DOUGLAS";"TWIN LAKES LEARNING CENTER";"1014139";"9503 E Us Highway 2";"Poplar";"54864";"Souza, Christina  ";"715-364-2717";3/27/2009;39;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"16. DOUGLAS";"UNIVERSITY CHILDREN'S CENTER";"1014534";"2911 Tower Ave Ste 6";"Superior";"54880";"Kalbrener, Kathryn  ";"715-392-2499";8/28/2009;65;"0 Year(s), 0 Month(s), 6 Week(s)";"11 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"16. DOUGLAS";"YMCA CHILDCARE PROGRAMS";"1011988";"9 N 21st St";"Superior";"54880";"Martin, Kim  ";"715-392-5611";9/6/2007;55;"2 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"16. DOUGLAS";"YMCA LATCHKEY - BRYANT ELEM";"1012152";"1423 Central Ave";"Superior";"54880";"Martin, Kim  ";"715-392-5611";9/4/2007;17;"5 Year(s), 0 Month(s), 0 Week(s)";"11 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-05:30 PM";"Sep-Jun";" "
"LICENSED GROUP";"16. DOUGLAS";"YMCA LATCHKEY-COOPER ELEM SCH";"520485 ";"1807 Missouri Ave";"Superior";"54880";"Minor, Jacqueline  ";"715-392-5611";5/30/1997;32;"5 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-05:30 PM";"Aug-Jun";" "
"LICENSED GROUP";"16. DOUGLAS";"YMCA LATCHKEY-FOUR CORNERS SCH";"520483 ";"4465 E County Road B";"Superior";"54880";"Martin, Kimberly  ";"715-392-5611";5/30/1997;17;"5 Year(s), 0 Month(s), 0 Week(s)";"11 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-06:00 PM";"Sep-Jun";" "
"LICENSED GROUP";"16. DOUGLAS";"YMCA LATCHKEY-GREAT LAKES ELEM SCH";"520482 ";"129 N 28th St E";"Superior";"54880";"Minor, Jacqueline  ";"715-395-8500";5/30/1997;53;"5 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-05:30 PM";"Aug-Jun";"N"
"LICENSED GROUP";"16. DOUGLAS";"YMCA LATCHKEY-NORTHERN LIGHTS ELEM";"1005966";"1201 N 28th St";"Superior";"54880";"Martin, Kimberly  ";"715-392-5611";5/30/1997;17;"5 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-05:30 PM";"Sep-Jun";" "
"LICENSED FAMILY";"17. DUNN";"A PLACE TO GROW";"1011593";"2231 Mathews St";"Menomonie";"54751";"Larrabee, Peggy  ";"715-235-3792";2/26/2007;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:30 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"17. DUNN";"BEAR CUBS DAY CARE";"1001005";"3003 Wilson St Lot 92";"Menomonie";"54751";"Brown, Joelle  ";"715-235-0910";5/3/1999;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-07:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"17. DUNN";"CARE-A-LOT DAY CARE";"530785 ";"2208 Wilson St";"Menomonie";"54751";"Lee, Cynthia  ";"715-235-0357";4/25/1997;8;"0 Year(s), 0 Month(s), 3 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:30 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"17. DUNN";"CARE INN DAY CARE";"531084 ";"E2249 930th Ave";"Boyceville";"54725";"Lagerstrom, Karen  ";"715-643-2177";5/30/1999;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:30 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"17. DUNN";"DEBBIE'S FAMILY DAY CARE";"531239 ";"110 Juniper Ave";"Elk Mound";"54739";"Tietz, Debra  ";"715-556-0309";8/27/2000;8;"0 Year(s), 0 Month(s), 2 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"17. DUNN";"ELK CREEK CHILD CARE";"1014959";"N3889 570th St";"Menomonie";"54751";"Rivard, Bonnie  ";"715-231-7057";2/10/2010;8;"0 Year(s), 0 Month(s), 3 Week(s)";"10 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"17. DUNN";"LITTLE HANDS AND BUSY FEET DAYCARE";"1015483";"N5500 870th St";"Elk Mound";"54739";"Ploeckelman, Cara  ";"715-879-4758";8/16/2010;8;"0 Year(s), 3 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"17. DUNN";"PAT'S CHILD DAY CARE";"530908 ";"1120 8th St E";"Menomonie";"54751";"Giertz, Patricia  ";"715-505-8375";7/1/2002;8;"0 Year(s), 0 Month(s), 1 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-06:30 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"17. DUNN";"PRECIOUS MOMENTS FAMILY DAYCARE";"1008150";"E511 County Road P";"Menomonie";"54751";"Hanson, Staci  ";"715-772-4291";6/1/2007;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:00 AM-05:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"17. DUNN";"SCRIBBLE DIBBLE DAY CARE";"1014414";"E9098 945th Ave";"Colfax";"54730";"Sanders, Kari L ";"715-933-0662";10/24/2008;8;"0 Year(s), 0 Month(s), 1 Week(s)";"10 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"17. DUNN";"TODDLE IN DAY CARE";"530089 ";"N4451 410th St";"Menomonie";"54751";"Plett, Nancy  ";"715-235-7921";4/18/1997;8;"0 Year(s), 0 Month(s), 4 Week(s)";"10 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"17. DUNN";"WEE PEOPLE CHILD CARE";"1013906";"1309 16th Ave E";"Menomonie";"54751";"Baune, Tricia  ";"715-235-0091";1/12/2009;8;"0 Year(s), 0 Month(s), 6 Week(s)";"10 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"17. DUNN";"ABC'S DAYCARE AND PRESCHOOL";"1012450";"1820 Talen St";"Menomonie";"54751";"Bundy, Kelly R ";"715-235-4650";10/2/2007;38;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:30 AM-11:59 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"17. DUNN";"BOUNCIN' BABIES AND KOOL KIDS";"1012251";"3020 Schneider Ave Se";"Menomonie";"54751";"Larson, Karla  ";"715-235-9720";9/18/2007;110;"0 Year(s), 0 Month(s), 1 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"17. DUNN";"CHILD AND FAMILY STUDY CENTER-ANNEX";"520246 ";"415 E 10th Ave Rm 165";"Menomonie";"54751";"Gifford, Judy  ";"715-232-2428";9/1/1996;30;"0 Year(s), 0 Month(s), 6 Week(s)";"3 Year(s), 11 Month(s), 0 Week(s)";"07:30 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"17. DUNN";"CHILD & FAMILY STUDY CTR";"520007 ";"811 E 6th St";"Menomonie";"54751";"Gifford, Judy  ";"715-232-1478";8/1/1997;38;"2 Year(s), 6 Month(s), 0 Week(s)";"6 Year(s), 11 Month(s), 0 Week(s)";"07:30 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"17. DUNN";"COLFAX CESA #11 HEAD START";"1007613";"704 Sletten St";"Colfax";"54730";"Hodgson, Diane  ";"715-962-3671";7/1/2004;15;"3 Year(s), 0 Month(s), 0 Week(s)";"5 Year(s), 11 Month(s), 0 Week(s)";"-";"Jan-Dec";"N"
"LICENSED GROUP";"17. DUNN";"HAND IN HAND EARLY EDU CTR";"1010494";"3375 Kothlow Ave Ste 5";"Menomonie";"54751";"Vogel, Cheryl  ";"715-231-1003";8/10/2006;60;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:30 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"17. DUNN";"LITTLE SPROUTS ACADEMY MENOMONIE";"2000135";"2407 4th Ave N";"Menomonie";"54751-2363";"Lawrence, Joseph  ";"715-233-2035";8/22/2011;54;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"17. DUNN";"MENOMONIE HEAD START - CESA 11";"1010829";"3375 Kothlow Ave Ste 10";"Menomonie";"54751";"Jacobson, Cheri  ";"715-235-9122";9/1/2006;53;"2 Year(s), 0 Month(s), 0 Week(s)";"6 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-04:30 PM";"Sep-Jun";"Y"
"LICENSED GROUP";"17. DUNN";"MONKEY BUSINESS EARLY ED COMM";"1013004";"2320 Wilson St";"Menomonie";"54751";"Bowe, Josh  ";"715-235-3875";8/25/2008;64;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:30 AM-06:30 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"17. DUNN";"OUR SAVIOR'S PRESCHOOL";"520353 ";"910 9th St E";"Menomonie";"54751";"Borcherding, Tamara  ";"715-235-0693";9/1/2003;24;"2 Year(s), 0 Month(s), 0 Week(s)";"6 Year(s), 11 Month(s), 0 Week(s)";"09:00 AM-";"Sep-May";" "
"LICENSED GROUP";"17. DUNN";"SUNSHINE LEARNING CTR";"1006891";"1921 Wilson St";"Menomonie";"54751";"Pierzina, Jane  ";"715-231-5437";8/6/2003;71;"0 Year(s), 0 Month(s), 6 Week(s)";"9 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED CAMP";"18. EAU CLAIRE";"YMCA - CHRIST CHURCH CATHEDRAL SACC";"1013286";"510 S Farwell St";"Eau Claire";"54701";"Egan, Autumn  ";"715-836-8460";6/5/2008;55;"5 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-06:00 PM";"Jun-Aug";"Y"
"LICENSED CAMP";"18. EAU CLAIRE";"YMCA DAY CAMP";"1009473";"206 Emery St";"Eau Claire";"54701";"Egan, Autumn  ";"715-836-8469";8/23/1998;55;"5 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"18. EAU CLAIRE";"BAMBI LAND";"1011304";"E19990 Sutton Rd";"Augusta";"54722";"Metz, Melissa K ";"715-286-2243";9/7/2006;8;"0 Year(s), 0 Month(s), 4 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:00 AM-05:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"18. EAU CLAIRE";"BOLTON REFUGE FAMILY DAY CARE";"1016156";"Unlisted";"Eau Claire";"54701";"Wilkie, Gerald  ";"715-834-0628";6/27/2011;8;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-11:30 PM";"Jan-Dec";"Y"
