"Provider Id";"Complaint Received";"Requirement";"Description";"Allegation Description";"Plan to Correct";"Allegation Findings"
"K830024400";"4/26/2019";"340:110-3-287(a)";"Supervision. Supervision means the function of observing, overseeing, and guiding a child or group of children, including an awareness of, and responsibility for the ongoing activity of each child, and being near enough to intervene when needed. The program is required to maintain supervision at all times.";"Supervision- Found during the course of the investigation. While reviewing videos at the facility, licensing worker observed video of 8 children in the very front of the building, by the couches unsupervised for approximately 13 minutes. The children's ages ranged from3-9";"This was discussed with the director during the visit initiating the complaint. Children will be supervised at all times.";"Substantiated"
"K830054036";"3/2/2021";"340:110-3-300(k)(2)";"has hot and cold running water under pressure in areas where food is prepared or food-contact items and surfaces are washed.";"1) Facility: no hot running water in facility.";"Director stated the water heater was fixed on that day and in the future the daycare will close if they have no hot running water.";"Substantiated"
"K830054036";"3/2/2021";"340:110-3-304(h)(1)(A)";"containing soiled diapers or disposable training pants or food waste, are leak-proof, non-absorbent, and covered with tight-fitting lids when not in continuous use;";"2)Cleanliness and Sanitation: trash cans did not have lids.";"Director stated they would order trash cans with lids and have them put throughout the daycare.";"Substantiated"
"K830004517";"7/13/2021";"340:110-3-296(d)(1)";"Schedule. Children are not required to have a rest time.";"Additional Non-Compliance Found During Investigation: Children age 5 years and older are required to have a rest time.";"Director will complete a notice to comply with an appropriate plan of correction.";"Substantiated"
"K830053632";"4/22/2021";"340:110-3-297(a)(1)(B)";"changed promptly when wet or soiled.";"Diapering and toileting: child had been left in a dirty diaper and not changed immediately.";"Pending with Program";"Substantiated"
"K830053632";"4/22/2021";"340:110-3-296(c)(2)";"Rest equipment. Children rest on a mat, cot, or bed. However, 1-year-olds may also rest in cribs or play yards that meet requirements per OAC 340:110-3-302(b) with the sides fully raised and secured.";"Additional Non-Compliance observed during investigation: Rest equipment: Child was left asleep in high chair.";"Pending with Program";"Substantiated"
"K830024638";"10/22/2020";"340:110-3-287(a)";"Supervision. Supervision means the function of observing, overseeing, and guiding a child or group of children, including an awareness of, and responsibility for the ongoing activity of each child, and being near enough to intervene when needed. The program is required to maintain supervision at all times.";"Child has received multiple bites and injuries from other children.";"One on one staff meeting with teacher and director. Communicated importance of keeping children safe and provided activities to keep children busy. Formed staff training will be completed by teacher by 12/4/2020 to educate teacher on classroom management and/or behavior and guidance.";"Substantiated"
"K830024638";"10/22/2020";"340:110-3-281.2(c)(8)(A)";"Injury and poison exposure log. Incidents requiring an injury or poison exposure report are documented and maintained in one location for at least 12 months, to determine patterns. The log includes, at least the:";"Additional Allegation found during investigation. Program did not have a complete Injury and Poison Exposure log available.";"All teachers informed on how to complete log. Injury and Poison exposure log posted at front desk. Incidents to be added daily or as needed to keep current.";"Substantiated"
"K830053700";"4/20/2021";"340:110-3-286(a)";"Ratios. Ratios mean the number of teaching personnel required to be physically present with a child or group of children per Oklahoma Administrative Code (OAC) 340 Appendix GG - Ratios and Group Sizes. Only teaching personnel count in ratios, unless the requirements specifically state otherwise. The program is required to maintain ratios at all times.";"Additional Non-compliance: Ratios (serious)- during the course of the investigation, it was found that staff who were needed for ratio would walk out of the classroom multiple times throughout the day ranging from 15 seconds to 4 minutes.";"I talked to all employees and explained that no one is allowed out of the classroom unless someone else is there to take their spot.";"Substantiated"
"K830025240";"10/3/2019";"340:110-3-286(a)";"Ratios. Ratios mean the number of teaching personnel required to be physically present with a child or group of children per Oklahoma Administrative Code (OAC) 340 Appendix GG - Ratios and Group Sizes. Only teaching personnel count in ratios, unless the requirements specifically state otherwise. The program is required to maintain ratios at all times.";"staff/child ratio-Serious";"We have hired an assistant director and we have two teachers in a classroom. The director and assistant director will go into a classroom every 1-=15 minutes to make sure ratios are being maintained.";"Substantiated"
"K830025240";"10/3/2019";"340:110-3-288(c)(1)(F)";"restraining a child by any means other than holding and then for only as long as necessary for the child to regain self-control.";"Inappropriate discipline/restraining-serious";"We had a mandatory staff meeting covering all policies about children in tables and there is a buckle to keep the children from climbing out. The children are not to be restrained down for long periods of time; table time is 15 minutes with an activity in front of them. We are not to use the tables for punishment or timeout and if the child wants out of the table before the 15 minutes the staff are to remove the child immediately.";"Substantiated"
"K830025240";"10/3/2019";"340:110-3-288(b)(11)(A)";"Personnel use this method only with 2-year-olds and older when:";"Inappropriate discipline/time out-age";"We took out time out completely, we redirect their attention to another activity if that does not calm the situation then we use a ""quiet area"" and they are given a book and we had a meeting over the appropriate techniques as to using the ""quiet area"" the staff are to only do a minute per age. We also addressed 1 year olds and younger are not permitted to use the quiet area.";"Substantiated"
"K830025240";"10/3/2019";"340:110-3-289(i)(3)(D)(i)(I)";"thirty minutes or less during the day for each child or group. However, Saturday mornings may include an additional 30 minutes for each child or group; and";"Learning program/electronic media";"We addressed to the staff in the meeting that children under the age of 2 are not permitted to the use of screen time, Children 2 and above are only permitted to 30 minutes of screen time and the lesson must be presented on the lesson plan.";"Substantiated"
"K830025240";"10/3/2019";"340:110-3-287(c)";"Personal activities. Personnel do not participate in personal activities that could interfere with supervision, such as visitors, phone calls, or electronic device use.";"Supervision-serious";"Phones are to go into lock boxes if they bring them in the building, if they choose to not use a lock box, staff are to leave their phones in their vehicle. We also ordered walkie talkies so staff can contact management for emergencies.";"Substantiated"
"K830025240";"10/3/2019";"340:110-3-297(a)(1)(A)";"checked hourly and when a child exhibits behavior that suggests a wet or soiled diaper; and";"Diapering and Toileting/Frequency; found during course of investigation";"We addressed the issue over diapering and toileting. Children are to changed every hour the director and assistant director will check the diaper log when doing the room checks and we will also check the children's diapers as we are doing room checks.";"Substantiated"
"K830025240";"10/3/2019";"340:110-3-281.2(d)(5)(A)";"immediately documented each time each child enters and exits the vehicle; and";"Program records and documentation/Attendance/Transportation; found during the course of investigation.";"We will be sure to do a transition sheet along with our Monthly check log to make sure all children are accounted for.";"Substantiated"
"K830025240";"10/3/2019";"340:110-3-284(c)(2)(C)";"demonstrate good judgment as evidenced by prudent and responsible behavior that reasonably ensures the health and safety of children;";"Serious-Staff/personnel-staff judgment; found during course of investigation.";"We had a mandatory staff meeting and discussed that children are only allowed in the tables for activities such as tabletop toys, art, finger plays for infants and feeding and are allowed 15 minutes of table time.";"Substantiated"
"K830025240";"10/3/2019";"340:110-3-288(b)(11)(C)";"Time-out is limited to one minute or less for each year of age. However, when self-control is regained in less time, the child has the option to rejoin an ongoing activity.";"inappropriate discipline/time out-length of time-serious.";"Staff are to redirect the children to a different activity, we are in the process of scheduling a conscious discipline class to give the staff more training. The director and assistant director will step in and help manage the children if needed. We had a meeting with staff that tables are not to be used for timeout and table time and equipment use is only for 15 mins.";"Substantiated"
"K830053709";"12/20/2019";"340:110-3-281.4(b)(11)(B)(iii)";"a specific pick-up and drop-off plan identified by the program or parent that, at least addresses the times and transfer of supervision.";"Transportation/permission-serious";"This occurrence happened in August 2019 on the 3rd day school, and we noticed we dropped a PM Pre-k child off at the AM Pre-k time. When we realized we had done this, back in August 2019, we changed the way the roll call sheets were done. We printed roll call sheets to separate each bus run which includes the am/pm drop off time separated. In addition, our Pre-k classes changed the childrens cubbies to show each student attends am or pm tags with their backpacks and jacket hooks. We took corrective action in August the day it happened. We have not had any issues with the new changes.";"Substantiated"
"K830053709";"12/20/2019";"340:110-3-295(d)(1)(B)";"to the child whose full name is on the container label.";"Medication Administration-Serious";"This incident happened in September 2018, at this time over a year ago, we allowed parents to bring in medication. There was a situation where 2 children with the same name were in the same class. The manager took the medication to the classroom, and the teacher administered the gas drop medication to the wrong child. The manager realized it happened and called to notify the parent, and a report was written for the parents. We since then have prohibited medications being on site, unless they are life threatening medication for emergency situations. The handbook was updated, we had the directors take a medication administration training, as well as only directors are allowed to administer medication now. We have been following this new policy since the incident occurred in 2018.";"Substantiated"
"K830054783";"9/22/2020";"340:110-3-287(h)(3)";"Drivers do not use any communication device while driving.";"The driver is using her cell phone while driving during transportation of childcare children.";"Cell phone will only be kept in vehicle for emergency, will not be used while driving.";"Substantiated"
"K830024858";"8/12/2019";"340:110-3-288(c)(2)";"Psychological and emotional. Examples of inappropriate psychological and emotional discipline, include:";"Inappropriate discipline (psychological & emotional): personnel intimidates children by walking around with a paddle, smacking it on her hand (Serious Non-Compliance)";"The teacher in this incident was relieved of her duties as a Homespun employee on 8/12/2019. Proper & approved discipline was reviewed with remaining staff and teachers.";"Substantiated"
"K830024858";"8/12/2019";"340:110-3-288(c)(1)";"Physical. Examples of inappropriate physical discipline include:";"Inappropriate discipline (physical): Personnel grabbed child by the ankle & ""flipped"" child. Personnel may have spanked a child with a paddle. (Serious Non-Compliance)";"Personnel in question was terminated from position at Homespun.";"Substantiated"
"K830024858";"8/12/2019";"340:110-3-280(a)(1)";"Next business day. The owner, responsible entity, or director notifies Licensing by the next Oklahoma Department of Human Services (DHS) business day of:";"Additional Non-Compliance Found During the Course of Investigation - Reporting: The Owner/Director did not report an incident that exposed a child to an imminent risk of harm.";"This incident in question happened on Friday, 8/9/2019, DHS Child Care Licensing & C.P.S. came to the center on Monday 8/12/19, the day I was to report the incident, Licensing arrived. Personnel responsible for the non-compliance actions was terminated that same day, 8/12/19.";"Substantiated"
"K830024858";"8/12/2019";"340:110-3-284(c)(2)(C)";"demonstrate good judgment as evidenced by prudent and responsible behavior that reasonably ensures the health and safety of children;";"Additional Non-Compliance Found During the Course of Investigation - Personnel Responsibilities/Judgment: personnel did not demonstrate good judgment to ensure the health and safety of children.";"Personnel was terminated from position at Homespun on 8/12/19, while Licensing was still on the premises.";"Substantiated"
"K830024858";"8/12/2019";"340:110-3-296(e)(3)";"Restraints. Restraining children on rest equipment is prohibited.";"Additional Non-Compliance Found During the Course of Investigation - Rest Time: A child was restrained to their rest equipment at rest time.";"Personnel Responsible for the restraining was terminated from their position at Homespun on 8/12/19";"Substantiated"
"K830023933";"5/21/2020";"340:110-3-287";"Supervision";"Supervision (Serious) : Staff member did not maintain supervision during a diaper change, which led to a child falling off of the changing table.";"Notice to Comply signed by Shannon Long on 7/7/2020: Children will be watched at all times and strapped on changing table.";"Substantiated"
"K830023933";"5/21/2020";"340:110-3-297(a)(2)(B)";"according to Oklahoma Administrative Code (OAC) 340 Appendix KK  Diaper Changing Procedures. The procedures are posted per OAC 340:110-3-281.1(h) and documentation is maintained per OAC 340:110-3-281.4(b).";"Diaper Changing Procedures (Serious): Staff member did not follow the diaper changing procedures.";"Notice to Comply signed by Shannon Long on 7/7/2020: Diaper changing procedures have been moved over changing area.";"Substantiated"
"K830023933";"5/21/2020";"340:110-3-287(a)";"Supervision. Supervision means the function of observing, overseeing, and guiding a child or group of children, including an awareness of, and responsibility for the ongoing activity of each child, and being near enough to intervene when needed. The program is required to maintain supervision at all times.";"Supervision (Serious): Staff members were unaware of the location of a child.";"Notice to Comply signed by Shannon Long on 7/7/2020: Smaller children have their own playground now but a teacher has to be in that area if children are playing.";"Substantiated"
"K830023933";"5/21/2020";"340:110-3-281.1(h)";"Post in diaper changing areas - procedures. The program posts DHS Publication No. 14-04 - Diaper Changing Procedures, where individuals can read the publication while changing diapers. However, the program may modify the publication or develop a document, provided procedures remain the same or are exceeded. Item is paper only.";"Non Compliance Found During the Course of the Investigation - Post in diaper changing areas - procedures: Diaper Changing Procedures posting was not location where staff can view the posting during a diaper change.";"Notice to Comply signed by Shannon Long on 7/7/2020: Diaper procedures were moved over changing table so all staff can see (all changing tables).";"Substantiated"
"K830052784";"10/21/2019";"340:110-3-288(c)(1)(A)";"actions that could cause pain, such as shaking, striking, spanking, swatting, thumping, pinching, popping, shoving, spatting, hair pulling, yanking, and slamming;";"1. Behavior & Guidance/Discipline: Staff pulled child's hair as a method to wake child up. SERIOUS NON-COMPLIANCE";"Staff was terminated and is no longer employed with Big Five Community Service.";"Substantiated"
"K830052784";"10/21/2019";"340:110-3-288(c)(1)(A)";"actions that could cause pain, such as shaking, striking, spanking, swatting, thumping, pinching, popping, shoving, spatting, hair pulling, yanking, and slamming;";"2. Behavior & Guidance/Discipline: Staff grabbed child by the wrist and yanked child down to make child sit during carpet time. SERIOUS NON-COMPLIANCE";"Staff was terminated and is no longer employed with Big Five Community Service.";"Substantiated"
"K830052784";"10/21/2019";"340:110-3-287(c)";"Personal activities. Personnel do not participate in personal activities that could interfere with supervision, such as visitors, phone calls, or electronic device use.";"3. Supervision - Staff uses cell phone during class time and while she is outdoors with children. SERIOUS NON-COMPLIANCE";"Staff was terminated and is no longer employed with Big Five Community Service.";"Substantiated"
"K830024626";"3/24/2020";"340:110-3-288(c)";"Inappropriate discipline. Personnel are prohibited from using or threatening to use inappropriate discipline.";"Noncompliance found during the course of the investigation: Inappropriate Discipline (Serious): Staff members yelling at children.";"Notice to comply signed by Ramona Counts on 4/23/2020: -Had staff meeting to discuss on April22nd. -Removed individual from classroom. -Set up behavior and guidance training for everyone on June 12th. -Sent out copies of page 48 & 49 in licensing requirement to all staff.";"Substantiated"
"K830055169";"7/27/2021";"340:110-3-288(c)";"Inappropriate discipline. Personnel are prohibited from using or threatening to use inappropriate discipline.";"Inappropriate discipline: Personnel grabbed child and left a bruise. (serious)";"Staff in question was terminated. All staff taking behavior management training. Cameras are installed inside and outside. Owner & director taking additional trainings for staff.";"Substantiated"
"K830055169";"7/27/2021";"340:110-3-297(a)(1)(B)";"changed promptly when wet or soiled.";"Diapering & toileting: diapers are not changed on time, causing diaper rashes in children";"New diaper logs were implemented to all classrooms.";"Substantiated"
"K830055169";"7/27/2021";"340:110-3-276(a)(3)";"Cooperation. Personnel cooperate with DHS staff.";"Additional Non-Compliance Found During Investigation: Cooperation: documentation of staff being told to lie to licensing about ages of children.";"Owner and director taking training classes to help with guidance";"Substantiated"
"K830055169";"7/27/2021";"340:110-3-286";"Ratios and group sizes";"Additional Non-Compliance Found During Investigation: Ratio: ratios not being met in classroom due to staff lying about ages of the children.";"Had training with licensing and asked questions to better understand how ratios are met.";"Substantiated"
"K830054139";"1/22/2020";"340:110-3-303(a)";"General. Hazards mean anything that may inflict injury or cause harm.";"Hazard - Allegation of a staff member having pepper spray on their keychain and school age children having access to the pepper spray.";"Notice to Comply Sent to Facility to Complete";"Substantiated"
"K830054697";"6/4/2020";"340:110-3-287(a)";"Supervision. Supervision means the function of observing, overseeing, and guiding a child or group of children, including an awareness of, and responsibility for the ongoing activity of each child, and being near enough to intervene when needed. The program is required to maintain supervision at all times.";"Supervision-Staff left children in classroom unattended.";"CCL will email Plan of Correction to be completed by Director with 5 days to return to CCL.";"Substantiated"
"K830054697";"6/4/2020";"340:110-3-289(j)(2)";"are not permitted in infant car seats, except during emergency drills, transportation, and arrival and departure with parents; and";"Infants-Staff allegedly left infant in carrier upon arrival.";"CCL will email Plan of Correction to be completed by Director with 5 days to return to CCL.";"Substantiated"
"K830054697";"6/4/2020";"340:110-3-286(a)";"Ratios. Ratios mean the number of teaching personnel required to be physically present with a child or group of children per Oklahoma Administrative Code (OAC) 340 Appendix GG - Ratios and Group Sizes. Only teaching personnel count in ratios, unless the requirements specifically state otherwise. The program is required to maintain ratios at all times.";"Staff-Child Ratios-Staff allegedly not in the room with children.";"CCL will email Plan of Correction to be completed by Director with 5 days to return to CCL.";"Substantiated"
"K830053882";"6/4/2021";"340:110-3-288(c)";"Inappropriate discipline. Personnel are prohibited from using or threatening to use inappropriate discipline.";"Discipline. SERIOUS Non-compliance found during the investigation. Teacher flicked a child on their head for talking off their blanket from their face. Teacher was seen dragging child by one arm across the classroom. Seen on video. Teachers also harshly yelled at children while getting on to them.";"Positive discipline training were given with requirement to complete one of the two within 30 days of employment. Care courses: *Learning Outcomes for Discipline in Child Care Course. *Friendly Environments, Safe environments course.";"Substantiated"
"K830053882";"6/4/2021";"340:110-3-286(a)";"Ratios. Ratios mean the number of teaching personnel required to be physically present with a child or group of children per Oklahoma Administrative Code (OAC) 340 Appendix GG - Ratios and Group Sizes. Only teaching personnel count in ratios, unless the requirements specifically state otherwise. The program is required to maintain ratios at all times.";"Child Ratios. SERIOUS Non-compliance found during the investigation. ""Three year old and older room was left out of ratio by Teachers leaving children alone in classroom or in back room during bathroom breaks. There were 10 three year children with 4 four year old children present in the classroom on 06/01/2021 with one teacher multiple times. Seen on video.""";"Supervision Requirements were handed out once again. All were reviewed during a mandatory staff meeting on 7/1/21. All teachers were given a classroom child roster that includes names, Date of Birth, and daily enrollment schedule and also gave another copy of the teacher child ratio licensing requirement form to follow and keep on the teacher clipboard at all times for use to maintain teacher/child ratio at all times. I have asked that out Licensing Specialist-come out to our facility to complete a licensing requirement training with all teachers to review the importance of remaining in ratio at all times.";"Substantiated"
"K830053882";"6/4/2021";"340:110-3-296(e)(2)";"Covered heads and faces. Children's heads and faces are not covered while resting. When a child continues to cover their head or face, the cover is removed once the child falls asleep.";"Rest Time. Non-compliance found during the investigation. ""Personnel were covering children's faces with blankets for nap time, even when the children tired to remove the blankets. Seen on video.""";"Appropriate positive guidance techniques were discussed with teachers. I explained the importance of not covering the children's faces at nap time. I have contacted resource and referral in request of a positive guidance course for our entire staff. I am currently waiting to hear back with a date to complete this in July 2021.";"Substantiated"
"K830053882";"6/4/2021";"340:110-3-289(i)(4)";"Personnel do not use electronic media for personal use in the presence of children, with the exception of an e-reader when used during rest time for reading provided supervision is maintained.";"Supervision. Non-compliance found during the investigation. ""Personnel alone with children and in charge of supervision was on their personnel cellphone during nap time. Seen on video.""";"Employment handbook cell phone policies were reviewed on 7/1/21. Addition to policy of no cell phones use while in the classroom (unless needed for a field trip, emergency need with evacuation or curriculum use is being implemented and used approved by the director during this time.) I have asked teachers to leave cell phones in their Teacher pocket in the office upon arrival. I explained that they are not counted in teacher/ child when using their phones for personal use such as (social media,... therefore they were unable to be counted as the teacher supervising preschool age during nap time.) I also reminded them of teacher duties: during nap time- Teachers are supposed to be cleaning, sanitizing... in the classroom.";"Substantiated"
"K830053882";"6/4/2021";"340:110-3-303(e)";"Toxic materials. Toxic materials, such as health and beauty aids, cleaning materials, and pesticides are inaccessible.";"Hazards. Non-compliance found during the investigation. ""Personnel left spray bottle of cleaning solution accessible to children multiple times during a 27 minute period. Seen on video.""";"On 7/1/21 revision were given on the importance of safety with keeping cleaning products out of reach of children at all times. *Friendly Environments/Safe Environments training course is required to be completed by 8/1/21.";"Substantiated"
"K830053882";"6/4/2021";"340:110-3-288(b)(11)";"Time-out or time-away. Personnel consider this option when other discipline methods are not effective.";"Discipline SERIOUS Non-compliance found during the investigation. ""Teacher placed children in timeout as a first resort multiple times. Teacher left one 3 or 4 year old child in timeout for 14 minutes. Seen on video.""";"The positive guidance training will help teachers in understanding the based approach to prevent and manage challenging behaviors more effectively while understanding the goal of positive guidance in developing children's self control while encouraging children to assume responsibility and to assist children in Making thoughtful decisions. I expressed the importance of not using thinking time as a first time tool but to redirect using positive behavior guidance tools. I bought a few items as recommended by our Licensing Specialist, such as : a ticking timer, an oil based timer. This is to be used to help the child during the cool down process and the teacher with the time management skills needed to avoid overlapping appropriate time limits per age of child.";"Substantiated"
"K830053882";"6/4/2021";"340:110-3-289(b)(1)(C)";"followed with reasonable regularity;";"Learning Program: Non-compliance found during investigation: Teachers did not follow the daily classroom schedule. Children free played from the end of Breakfast to the beginning of lunch. Teachers cleaned for 63 minutes after breakfast, organized toys on shelves, or did tasks outside of the three year old and older classroom. Seen on video";"Daily routines were reviewed and reminded to follow daily schedules daily with teacher led, planned, activities.";"Substantiated"
"K830002894";"10/28/2020";"340:110-3-298(b)";"Nutritional quality and quantity. The nutritional requirements listed in (1) through (8) of this subsection are met.";"Nutrition: quality and quantity-out of date/soured milk is served to the children";"The milk was thrown away immediately and is now being checked prior to service. Training was provided by Sandy Bonham, INCA Area Supervisor who was on-site on October 23rd. INCA CACFP Manager provided training specific to dates of expiration on the milk and how to dispose of it. She also addressed the issue of checking the carton to be sure the in-date milk is good also. This was completed on October 23,2020 by Crystal Cortes. Follow up has been done by Crystal to ensure that the correct process is followed. 12/19/2020";"Substantiated"
"K830024810";"4/1/2021";"340:110-3-276(a)(1)(C)";"provides care only at the location specified on the permit or license.";"Other (Care of Children): Child care was provided at a location not approved by licensing.";"Received by licensing on 6/3/2021. Care will not be given in another place without notice to licensing. If it does, I will make sure that no one clocks in or out at those times.";"Substantiated"
"K830052626";"10/1/2020";"340:110-3-288(c)(1)(A)";"actions that could cause pain, such as shaking, striking, spanking, swatting, thumping, pinching, popping, shoving, spatting, hair pulling, yanking, and slamming;";"During the course of the investigation, an additional non compliance was found: Discipline (Serious)  Another teacher used inappropriate physical discipline with a child";"Received 12/11/2020 - Safety Plan for School Age Classroom : 1. Two (2) teachers, as always, will be present in the room at all times (if more than 20 students). 2. Owner and/or the Director will be making frequent checks to ensure appropriate discipline techniques are being utilized. 3. Parent or Guardian will not be permitted to discipline even their own child/children in the facility as eye-witnesses may not know the relationship between the child and the adult enforcer.";"Substantiated"
"K820047114";"3/13/2020";"340:110-3-86(a)(5)(B)";"The premises are free of illegal drugs and paraphernalia.";"Constructive Influence (Serious) - Illegal drugs were used on the premises during child care hours.";"From owner/primary caregiver - I was not the person who was smoking and it was not illegal drugs it was a person that didn't know I had a home daycare and couldn't do it on my premises and he had a medical marijuana card. Nothing like this has ever happened on my premises and I will do everything in my power to make sure it never happens again. I love my job and will always do my very best to keep my kids safe.";"Substantiated"
"K830022148";"11/30/2018";"340:110-3-287(a)";"Supervision. Supervision means the function of observing, overseeing, and guiding a child or group of children, including an awareness of, and responsibility for the ongoing activity of each child, and being near enough to intervene when needed. The program is required to maintain supervision at all times.";"1. Supervision: Staff left the classroom leaving children alone.";"Notice to Comply 1/2/19,The director will talk with all staff to remind them never leave the classroom unattended and always have a staff replace them before leaving the classroom.";"Substantiated"
"K830022148";"11/30/2018";"340:110-3-286(a)";"Ratios. Ratios mean the number of teaching personnel required to be physically present with a child or group of children per Oklahoma Administrative Code (OAC) 340 Appendix GG - Ratios and Group Sizes. Only teaching personnel count in ratios, unless the requirements specifically state otherwise. The program is required to maintain ratios at all times.";"2. Staff Child Ratio: Staff left the classroom leaving children alone with no staff present in the classroom.";"Notice to Comply 1/2/19,The director will talk with all staff to remind them never leave the classroom unattended and always have a staff replace them before leaving the classroom.";"Substantiated"
"K830022148";"11/30/2018";"340:110-3-280(a)(1)(N)";"a child injury requiring emergency medical attention; and";"3. Reporting: A child was injured requiring emergency medical attention the incident was not reported to licensing.";"Notice to Comply completed 1/2/19, the director will always contact licensing within 24 hours of a child requiring medical attention.";"Substantiated"
"K830022148";"11/30/2018";"340:110-3-280(d)(1)(E)";"an injury that may need evaluation by a physician;";"4. Reporting: A child was injured that may need evaluation by a physician, parent was not notified of injury immediately.";"Notice to Comply completed 1/2/19, The director or staff in charge will always contact the parent at time a child is injured and will follow up with staff to insure an incident report was completed.";"Substantiated"
"K830052464";"10/1/2019";"340:110-3-280(b)(1)";"Abuse and neglect. Any person who has reason to believe a child has been abused or neglected per 10 O.S.  1-1-105 is required to report the matter promptly to the DHS Child Abuse and Neglect Hotline at 1-800-522-3511 per Section 1-2-101 of Title 10A of the Oklahoma Statutes (10A O.S.  1-2-101). Failure to report is a misdemeanor offense and upon conviction is punishable by law. Failure to report with prolonged knowledge, six months or more, of ongoing abuse or neglect is a felony offense.";"1.)Reporting: Failure to report possible abuse and neglect to the hotline.--SERIOUS";"As owner and director of Creative Kids Daycare, I will make sure and observe, report as it is written in my DHS manual of any suspicious bruises or behavior, associated with child abuse and or neglect.";"Substantiated"
"K830024999";"5/20/2019";"340:110-3-297(a)(1)(A)";"checked hourly and when a child exhibits behavior that suggests a wet or soiled diaper; and";"Diapering and Toileting-Children not being changed when wet or soiled";"Director talked to the caregivers about checking diapers before nap (laying down for nap) no matter when they were last changed. Also, diapers should be checked every hour and changed if wet or soiled. 7/10/19";"Substantiated"
"K830024999";"5/20/2019";"340:110-3-297(a)(1)(B)";"changed promptly when wet or soiled.";"Diapering and Toileting-Children not being changed when wet or soiled";"Director talked to the caregivers about checking diapers before nap (laying down for nap) no matter when they were last changed. Also, diapers should be checked every hour and changed if wet or soiled. 7/10/19";"Substantiated"
"K830053721";"2/12/2021";"340:110-3-287(c)";"Personal activities. Personnel do not participate in personal activities that could interfere with supervision, such as visitors, phone calls, or electronic device use.";"Addition Noncompliance - Supervision - Staff are not maintaining proper supervision at the program.";"Staff will not have phones out in the classroom, or any other electronic devices. They will step out of the class if in ratio or wait for someone to step in for them.";"Substantiated"
"K830053721";"2/12/2021";"340:110-3-281.2(c)(5)(A)";"Personnel's attendance. Daily attendance is:";"Additional Noncompliance - Staff Attendance - The program is not maintaining attendance for all personnel.";"We now use a system called ProCare which keeps the date and time for each staff.";"Substantiated"
"K830024715";"3/8/2019";"340:110-3-288(c)(1)(A)";"actions that could cause pain, such as shaking, striking, spanking, swatting, thumping, pinching, popping, shoving, spatting, hair pulling, yanking, and slamming;";"Discipline: personnel are using inappropriate discipline on the children in care serious non compliance";"notice to comply has been mailed to the program";"Substantiated"
"K830024901";"12/19/2019";"340:110-3-288(c)(2)(C)";"yelling at a child out of anger or using harsh or profane language;";"Discipline- Personnel yells at children out of anger or uses harsh or profane language.*Serious Non-Compliance* *Additional non-compliance*";"A Notice to Comply was mailed out on 1/23/2020 and requested to be returned to Licensing by 2/6/2020";"Substantiated"
"K830024957";"1/17/2020";"340:110-3-288(c)(2)(C)";"yelling at a child out of anger or using harsh or profane language;";"** additional non-compliance found during the course of the investigation** Discipline - Staff are disciplining children by yelling.";"Notice to Comply mailed out and requested to be back by 3/13/2020";"Substantiated"
"K830024957";"1/17/2020";"340:110-3-280(d)(3)(C)";"known minor injuries;";"** additional non-compliance found during the course of the investigation ** Parent and Staff Communication - Program is not reporting to parents upon pick up of known minor injuries.";"Notice to Comply mailed out and requested to be back by 3/13/2020";"Substantiated"
"K830052366";"2/22/2021";"340:110-3-300(k)(1)";"is adequate, safe, sanitary, and is from a:";"facility - facility does not have running water";"The program did not have running water in 3 classrooms, the infant room, the one year old room and the school age room (4 years and older). Contact the city to find out status on water. Notify parents of children 2 and under that their classroom's will be closed until water pressure is adequate.";"Substantiated"
"K830052366";"2/22/2021";"340:110-3-300(n)(3)(A)";"operable sinks with running water between 80 and 120 degrees F;";"facility - sinks do not work at all, using germ-X all day";"Contact the city to find out status on water. Notify parents of children 2 and under that their classroom's will be closed until water pressure is adequate.";"Substantiated"
"K830051986";"11/18/2019";"340:110-3-287(a)";"Supervision. Supervision means the function of observing, overseeing, and guiding a child or group of children, including an awareness of, and responsibility for the ongoing activity of each child, and being near enough to intervene when needed. The program is required to maintain supervision at all times.";"1. Supervision - Children left unsupervised in classroom. SERIOUS NON-COMPLIANCE";"Staff returned to classroom upon seeing worker. Director stated staff would be written up for leaving classroom unattended. In the future, staff in charge will make sure teachers stay in the classroom and meet ratios.";"Substantiated"
"K830051986";"11/18/2019";"340:110-3-286(a)";"Ratios. Ratios mean the number of teaching personnel required to be physically present with a child or group of children per Oklahoma Administrative Code (OAC) 340 Appendix GG - Ratios and Group Sizes. Only teaching personnel count in ratios, unless the requirements specifically state otherwise. The program is required to maintain ratios at all times.";"2. Child Staff Ratios - Staff left children unattended in classroom. SERIOUS NON-COMPLIANCE";"Staff returned to classroom upon seeing worker. Director stated staff would be written up for leaving classroom. In the future, staff in charge will make sure teachers stay in their classrooms.";"Substantiated"
"K830051986";"11/18/2019";"340:110-3-281.2(c)(5)(B)";"Children's attendance. Daily attendance is:";"6. Records: Child attendance records include only first name of children. Arrival and departure times are not documented on attendance records. FOUND DURING INVESTIGATION";"Director stated staff are now keeping attendance records in the classroom. New record forms have children's first and last names.";"Substantiated"
