"Name";"City";"County";"Zip";"Address";"Phone";"Email";"Type of Care";"License Effective Date";"License Expiration Date";"Facility Total Capacity";"Facility Age Range";"Hours of operation";"UrlID";"Mailing Address";"Mailing City";"Mailing State";"Mailing ZIP";"Email2";"Director";"Child Care Specialist";"ID"
"WILLOW TREE PLAYSCHOOL";"COLUMBIA";"BOONE";"65203-1104";"1600 W BROADWAY ";"(816) 590-8491";;"FAMILY HOME";"01/31/2023";;10;"36 MONTHS - 6 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002582932";" ";;;;"willowtreeplayschool@gmail.com";"CAMPBELL, MOLLY COLLEEN";"CYNTHIA D MADDOX";2582932
"2 BY 2 PRESCHOOL & DAYCARE";"ST JOSEPH";"BUCHANAN";"64507-1854";"2802 RENICK ST ";"(816) 232-3677";;"CHILD CARE CENTER";"08/28/2021";;99;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000553388";" ";;;;"KELLY@HUFFMAN-UMC.ORG";"LEWIS, KELLY DAWN";"KATIE BRUGGEMAN";553388
"ANNIE'S CHILD CARE";"FAUCETT";"BUCHANAN";"64448-8197";"3218 STATE ROUTE H SE ";"(816) 238-6240";;"GROUP HOME";"08/28/2021";;20;"BIRTH - 10 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002463981";" ";;;;"325ajones@gmail.com";"JONES, LOIS ANNE";"MICHELLE RENEE TRUSSELL";2463981
"ASHLAND MOTHERS DAY OUT";"ST JOSEPH";"BUCHANAN";"64506-1942";"2711 ASHLAND AVE ";"(816) 279-7419";;"LICENSE EXEMPT PROGRAM";"07/01/2023";;74;"6 WEEKS - 6 YEARS";" 9:00 AM- 3:30 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001472482";" ";;;;"KC_LAMBS@HOTMAIL.COM";"CORDERO, KATHY";"KATIE BRUGGEMAN";1472482
"BALL, SARA ";"SAINT JOSEPH ";"BUCHANAN";64505;"1812 SAVANNAH AVE ";"(816) 558-2060";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002357104";;;;;;;;2357104
"BARB'S BIG BACKYARD DAYCARE";"ST JOSEPH";"BUCHANAN";"64503-3011";"2802 S 18TH ST ";"(816) 364-2855";;"FAMILY HOME";"08/28/2021";;10;"BIRTH - 12 YEARS";" 6:00 AM- 5:59 AM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000675729";" ";;;;"kiddiecop@aol.com";"MICHAELS, BARBARA JEAN";"KATIE BRUGGEMAN";675729
"BARTLETT CENTER";"ST JOSEPH";"BUCHANAN";64501;"409 S 18TH ST ";"(816) 233-8201";;"CHILD CARE CENTER";"08/28/2021";;46;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000550069";" ";;;;"latonya.williams@bartlettcenter.com";"WILLIAMS, LATONYA TENNELLE";"KATIE BRUGGEMAN";550069
"BARTLETT CENTER";"ST JOSEPH";"BUCHANAN";"64501-3000";"409 S 18TH ST ";"(816) 233-8201";;"CHILD CARE CENTER";"08/28/2021";;40;"5 YEARS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002688266";" ";;;;"kristie.dean@bartlettcenter.com";"DEAN, KRISTIE MARIE";"KATIE BRUGGEMAN";2688266
"BOSWELL, KARI JO";"ST JOSEPH";"BUCHANAN";64503;"1620 PACIFIC ST ";"(816) 646-6927";;"FAMILY HOME";"08/28/2021";;10;"BIRTH - 12 YEARS";" 6:00 AM- 5:59 AM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002012137";" ";;;;"BOSWELLBUNCH7@AOL.COM";"BOSWELL, KARI JO";"KATIE BRUGGEMAN";2012137
"BRIGHT BEGINNINGS HOME DAYCARE";"FAUCETT";"BUCHANAN";"64448-9138";"14650 STATE ROUTE MM SE ";"(816) 387-1040";;"FAMILY HOME";"08/28/2021";;10;"BIRTH - 10 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002544796";" ";;;;"brightbeginnings14650@gmail.com";"BRADFORD, SANDRA LAVONNE";"MICHELLE RENEE TRUSSELL";2544796
"BURNS, MARY JO";"ST JOSEPH";"BUCHANAN";"64507-8051";"7051 SE STATE ROUTE FF ";"(816) 261-0513";;"FAMILY HOME";"08/28/2021";;10;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001942410";" ";;;;"MOJOBURNS98@YAHOO.COM";"BURNS, MARY JO";"MICHELLE RENEE TRUSSELL";1942410
"FATTIG, MICHELLE ";"SAINT JOSEPH ";"BUCHANAN";64506;"2608 N 32ND ST ";"(816) 279-9016";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002370518";;;;;;;;2370518
"FRIENDS GATHER HERE, LLC";"ST JOSEPH";"BUCHANAN";"64501-3326";"2848 JULES ST ";"(816) 233-7874";;"CHILD CARE CENTER";"08/28/2021";;20;"BIRTH - 9 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002220617";"3129 MIDLAND ST ";"ST JOSEPH";"MO";"64501-3431";"susfriendsgatherhere@yahoo.com";"VANCE, SUSAN JOAN";"MICHELLE RENEE TRUSSELL";2220617
"HOLMES, TEMECA ";"SAINT JOSEPH ";"BUCHANAN";64503;"1621 S 17TH ST ";"(816) 400-6235";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001054951";;;;;;;;1054951
"HOSEA HEAD START, CAPSTJOE";"ST JOSEPH";"BUCHANAN";64504;"6408 GORDON ST ";"(816) 238-3096";;"CHILD CARE CENTER";"04/08/2022";;20;"36 MONTHS - 5 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001616540";"817 MONTEREY ST ";"ST JOSEPH";"MO";64503;"KWABSKI@CAPSTJOE.ORG";"DAVIS, NIKKI RENEE";"JANA BARTON";1616540
"INTERFAITH COMMUNITY SERVICES, INC.";"ST JOSEPH";"BUCHANAN";64507;"5210 MITCHELL AVE ";"(816) 279-6784";;"CHILD CARE CENTER";"10/27/2022";;78;"BIRTH - 16 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000176698";"PO BOX 4038 ";"ST JOSEPH";"MO";"64504-0038";"MW@INTERSERVSTJOE.ORG";"GLENN, JENNIFER EILEEN";"KATIE BRUGGEMAN";176698
"KINDERCARE LEARNING CENTERS LLC";"ST JOSEPH";"BUCHANAN";64506;"3107 COOK RD ";"(816) 364-5685";;"CHILD CARE CENTER";"08/28/2021";;88;"6 WEEKS - 13 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000170041";" ";;;;"JODAVIS@KINDERCARE.COM";"DAVIS, JO";"KATIE BRUGGEMAN";170041
"KREATIVE KIDS PRESCHOOL AND CHILDCARE";"ST JOSEPH";"BUCHANAN";"64507-1309";"2409 DUNCAN ST ";"(816) 261-0493";;"FAMILY HOME";"08/28/2021";;10;"6 WEEKS - 15 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001887221";" ";;;;"stashalynn@yahoo.com";"TODD, STACIE LYNN";"JANA BARTON";1887221
"LA PETITE ACADEMY, INC.";"ST JOSEPH";"BUCHANAN";64506;"719 N 36TH ST ";"(816) 364-0014";;"CHILD CARE CENTER";"08/28/2021";;91;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000398083";" ";;;;"gburns@lapetite.com";"BURNS, GEORGIA SUE";"CRYSTAL HEISER";398083
"LITTLE BUNNIES LLC";"ST JOSEPH";"BUCHANAN";"64503-3321";"3508 S 22ND ST ";"(816) 749-4383";;"CHILD CARE CENTER";"08/28/2021";;22;"BIRTH - 2 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002734643";" ";;;;"prldcchildcare@gmail.com";"HARRIS, JULITA A";"ROBYN EMBREE";2734643
"MEGA FLIP AND LEARN";"ST JOSEPH";"BUCHANAN";"64507-7778";"5802 CORPORATE DR ";"(816) 232-6342";;"LICENSE EXEMPT PROGRAM";"11/01/2022";;20;"36 MONTHS - 5 YEARS";" 8:45 AM- 3:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002545339";" ";;;;"megagymnastics10@gmail.com";"MILLER, LISA DIANNE";"MICHELLE RENEE TRUSSELL";2545339
"MIDTOWN HEAD START";"ST JOSEPH";"BUCHANAN";"64501-3177";"2302 ANGELIQUE ST ";"(816) 233-8281";;"CHILD CARE CENTER";"04/04/2022";;47;"24 MONTHS - 5 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002689087";"817 MONTEREY ST ";"ST JOSEPH";"MO";"64503-3611";"kwabski@capstjoe.org";"SMITH, MADELINE DANIEL";"KATIE BRUGGEMAN";2689087
"NORTH SIDE HEAD START";"ST JOSEPH";"BUCHANAN";"64505-1237";"4803 SAINT JOSEPH AVE ";"(816) 233-8281";;"CHILD CARE CENTER";"09/08/2021";;80;"36 MONTHS - 5 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000604760";"817 MONTEREY ST ";"ST JOSEPH";"MO";"64503-3611";"KWABSKI@CAPSTJOE.ORG";"CURTIS-HURT, TRACY LYNN";"KATIE BRUGGEMAN";604760
"OBERMIER, SHELLEY";"ST JOSEPH";"BUCHANAN";"64506-2229";"2101 N 34TH TER ";"(816) 279-5209";;"FAMILY HOME";"08/28/2021";;10;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000177240";" ";;;;" ";"OBERMIER, SHELLEY";"MICHELLE RENEE TRUSSELL";177240
"ONE STEP AHEAD EARLY LEARNING CENTER, L.L.C.";"ST JOSEPH";"BUCHANAN";"64507-2258";"3712 PACIFIC ST ";"(816) 364-5437";;"CHILD CARE CENTER";"08/10/2022";;79;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001896097";" ";;;;"tbrinton78@gmail.com";"BRINTON, TIFFANY SERINA";"KATIE BRUGGEMAN";1896097
"PAYNE, JUDY ";"SAINT JOSEPH ";"BUCHANAN";64506;"510 PAYNE TER ";"(816) 262-4192";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002786212";;;;;;;;2786212
"PETER RABBIT LEARNING AND DEVELOPMENT CENTER";"ST JOSEPH";"BUCHANAN";"64503-3321";"3512 S 22ND ST ";"(816) 676-8283";;"CHILD CARE CENTER";"03/14/2023";;48;"24 MONTHS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001398447";" ";;;;"prldcchildcare@gmail.com";"HARRIS, ELIZABETH ANN";"CRYSTAL HEISER";1398447
"RICHARDSON, STACEY ";"SAINT JOSEPH ";"BUCHANAN";64503;"2824 S 20TH ST ";"(816) 244-9464";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001067929";;;;;;;;1067929
"SOUTH 9TH HEAD START, CAPSTJOE";"ST JOSEPH";"BUCHANAN";64503;"812 SACRAMENTO ST ";"(816) 233-0206";;"CHILD CARE CENTER";"10/13/2022";;87;"BIRTH - 5 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000423447";"817 MONTEREY ST ";"ST JOSEPH";"MO";"64503-3611";"KWABSKI@CAPSTJOE.ORG";"MAYBRIER, CHERYL";"KATIE BRUGGEMAN";423447
"ST. GIANNA EARLY CHILDHOOD CENTER";"ST JOSEPH";"BUCHANAN";64501;"509 N 9TH ST ";"(816) 233-9794";;"CHILD CARE CENTER";"08/28/2021";;92;"6 WEEKS - 6 YEARS";" 6:00 AM- 6:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002698988";"519 N 10TH ST ";"ST JOSEPH";"MO";"64501-1820";"aherrin@caathedralsj.org";"HERRIN, AMIE";"MARY C MALOID";2698988
"THE LEARNING TREE PRESCHOOL LLC";"ST JOSEPH";"BUCHANAN";"64506-1804";"3501 GENE FIELD RD ";"(816) 689-0118";;"CHILD CARE CENTER";"08/28/2021";;78;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002844631";;;;;;;;2844631
"THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF ST. JOSEPH, MISSOURI";"ST JOSEPH";"BUCHANAN";64506;"2602 GENE FIELD RD ";"(816) 233-9622";;"CHILD CARE CENTER";"08/28/2021";;30;"5 YEARS - 13 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000177017";"315 S SIXTH ST ";"ST JOSEPH";"MO";64501;"rvigliaturo@stjoymca.org";"HASSLER, ALISHA";"MICHELLE RENEE TRUSSELL";177017
"THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF ST. JOSEPH, MISSOURI";"ST JOSEPH";"BUCHANAN";64507;"4525 DOWNS DR ";"(816) 271-4462";;"CHILD CARE CENTER";"08/28/2021";;30;"24 MONTHS - 6 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000338889";"PO BOX 999 ";"ST JOSEPH";"MO";"64502-0999";"rvigliaturo@stjoymca.org";"VIGLIATURO, RONICA";"KATIE BRUGGEMAN";338889
"THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF ST. JOSEPH, MISSOURI";"ST JOSEPH";"BUCHANAN";"64504-1736";"509 THOMPSON AVE ";"(816) 671-4210";;"CHILD CARE CENTER";"08/28/2021";;20;"5 YEARS - 13 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001800028";"315 S 6TH ST ";"ST JOSEPH";"MO";"64501-2221";"rvigliaturo@stjoymca.org";"BLAKE, KATHY LYNN";"MICHELLE RENEE TRUSSELL";1800028
"THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF ST. JOSEPH, MISSOURI";"ST JOSEPH";"BUCHANAN";"64507-1831";"2900 DUNCAN ST ";"(816) 390-5440";;"CHILD CARE CENTER";"08/28/2021";;40;"5 YEARS - 13 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001800073";"315 S 6TH ST ";"ST JOSEPH";"MO";"64501-2221";"rvigliaturo@stjoymca.org";"O'CALLAGHAN, JOHANNA MARIE";"MICHELLE RENEE TRUSSELL";1800073
"THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF ST. JOSEPH, MISSOURI";"ST JOSEPH";"BUCHANAN";"64505-1326";"2610 BLACKWELL RD ";"(816) 671-4320";;"CHILD CARE CENTER";"08/28/2021";;20;"5 YEARS - 13 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001800082";"315 S 6TH ST ";"ST JOSEPH";"MO";"64501-2221";"rvigliaturo@stjoymca.org";"VIGLIATURO, RONICA";"KATIE BRUGGEMAN";1800082
"THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF ST. JOSEPH, MISSOURI";"ST JOSEPH";"BUCHANAN";64503;"3923 PICKETT RD ";"(816) 671-4330";;"CHILD CARE CENTER";"08/28/2021";;40;"5 YEARS - 13 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001993231";"PO BOX 999 ";"ST JOSEPH";"MO";"64502-0999";"rvigliaturo@stjoymca.org";"VIGLIATURO, RONICA";"KATIE BRUGGEMAN";1993231
"THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF ST. JOSEPH, MISSOURI";"ST JOSEPH";"BUCHANAN";64505;"4901 COOK RD ";"(816) 233-9622";;"CHILD CARE CENTER";"08/28/2021";;30;"5 YEARS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002487385";"PO BOX 999 ";"ST JOSEPH";"MO";"64502-0999";"rvigliaturo@STJOYMCA.ORG";"VIGLIATURO, RONICA";"CRYSTAL HEISER";2487385
"TOLSON, AUDREY FAY";"ST JOSEPH";"BUCHANAN";"64504-2001";"6211 S 9TH ST ";"(816) 261-2900";;"FAMILY HOME";"08/28/2021";;10;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000661314";" ";;;;"audreytolson@sbcglobal.net";"TOLSON, AUDREY FAY";"MICHELLE RENEE TRUSSELL";661314
"UNITED CEREBRAL PALSY OF NORTHWEST MISSOURI";"ST JOSEPH";"BUCHANAN";"64506-2985";"3303 FREDERICK AVE ";"(816) 364-3836";;"LICENSE EXEMPT PROGRAM";"12/01/2022";;40;"24 MONTHS - 5 YEARS";" 8:30 AM- 3:30 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002111888";;;;;;;;2111888
"UNITED CEREBRAL PALSY OF NORTHWEST MISSOURI";"ST JOSEPH";"BUCHANAN";"64506-2985";"3303 FREDERICK AVE ";"(816) 364-3836";;"LICENSE EXEMPT PROGRAM";"12/01/2022";;40;"24 MONTHS - 5 YEARS";" 8:30 AM- 3:30 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002111888";;;;;;;;2111888
"WYATT PARK CHRISTIAN CHURCH PDO AND PRESCHOOL";"ST JOSEPH";"BUCHANAN";"64507-1639";"2623 MITCHELL AVE ";"(816) 232-2883";;"LICENSE EXEMPT PROGRAM";"01/01/2023";;49;"12 MONTHS - 6 YEARS";" 9:00 AM- 3:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002127111";" ";;;;"heather@wyattparkcc.org";"KNAPP, HEATHER DIANE";"MICHELLE RENEE TRUSSELL";2127111
"YOUNG WOMEN'S CHRISTIAN ASSOCIATION OF ST. JOSEPH, MISSOURI";"ST JOSEPH";"BUCHANAN";"64501-1927";"304 N 8TH ST ";"(816) 232-4481";;"CHILD CARE CENTER";"08/28/2021";;41;"6 WEEKS - 6 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000225054";" ";;;;"MMURRAY@YWCASJ.ORG";"MURRAY, MEGAN M";"KATIE BRUGGEMAN";225054
"AGAPE DAY CARE CENTER AND PRESCHOOL";"POPLAR BLUFF";"BUTLER";"63901-3060";"3396 KANELL BLVD ";"(573) 785-5466";;"LICENSE EXEMPT PROGRAM";"09/01/2022";;98;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000415296";" ";;;;"agape3396@outlook.com";"SELSOR, SARAH LEE";"SARAH L THACKER";415296
"BRIGHT STARS LEARNING ACADEMY, LLC";"POPLAR BLUFF";"BUTLER";"63901-5154";"331 N MAIN ST ";"(573) 772-5044";;"CHILD CARE CENTER";"06/10/2022";;70;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002664826";"273 HUNTER RD ";"POPLAR BLUFF";"MO";"63901-7486";"bslacademy@outlook.com";"MCCAIN, CELINA";"SARAH L THACKER";2664826
"CHRISTIAN COMMUNITY CARE CENTER, INC.";"POPLAR BLUFF";"BUTLER";"63901-3439";"1601 N MAIN ST ";"(573) 785-7570";;"CHILD CARE CENTER";"08/28/2021";;99;"BIRTH - 14 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000186525";" ";;;;"TINYTOWNCHILDCARE@HOTMAIL.COM";"BARKER, DANA LEA";"SARAH L THACKER";186525
"GOODWILL EXCEL CENTER ";"POPLAR BLUFF ";"BUTLER";63901;"2233 N WESTWOOD BLVD ";"(573) 979-5909";;"Sch";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002739433";;;;;;;;2739433
"KID'S CORRAL CHILDCARE CENTER";"POPLAR BLUFF";"BUTLER";"63901-2621";"2337 N MAIN ST ";"(573) 686-2886";;"CHILD CARE CENTER";"08/28/2021";;137;"BIRTH - 16 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000845714";" ";;;;"kcorral1@att.net";"VANCE, SHERRY LUANN";"SARAH L THACKER";845714
"KIDS IN CAPES, INC.";"WAPPAPELLO";"BUTLER";"63966-8672";"19270 WAYNE ROUTE D STE A ";"(719) 238-2805";;"CHILD CARE CENTER";"07/25/2023";;20;"36 MONTHS - 12 YEARS";" 6:00 AM- 6:00 AM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002987255";;;;;;;;2987255
"KIDSPACE LLC";"POPLAR BLUFF";"BUTLER";"63901-5545";"2097 COUNTY ROAD 607 ";"(573) 772-2796";;"GROUP HOME";"02/21/2023";;20;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002924778";" ";;;;"LLC.KIDSPACE@GMAIL.COM";"BOYER, MEADOW RAIN";"SARAH L THACKER";2924778
"LEIST, TAMMY";"POPLAR BLUFF";"BUTLER";63901;"161 DEER RUN DR ";"(573) 579-3040";;"FAMILY HOME";"08/28/2021";;10;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000929464";" ";;;;"ELLIEMARIESMOMMY@HOTMAIL.COM";"LEIST, TAMMY";"SARAH L THACKER";929464
"LITTLE HEARTS DAYCARE, LLC";"POPLAR BLUFF";"BUTLER";"63901-9052";"2405 TOWNSHIP LINE RD ";"(573) 686-2511";;"CHILD CARE CENTER";"11/23/2022";;98;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002780610";" ";;;;"RAVENKIRKLEY@YAHOO.COM";"KIRKLEY, RAVEN ELLEN";"SARAH L THACKER";2780610
"LITTLE MULES ACADEMY, LLC";"POPLAR BLUFF";"BUTLER";"63901-2527";"2525 N 14TH ST ";"(573) 776-8590";;"CHILD CARE CENTER";"09/13/2022";;20;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002956958";" ";;;;"TIFFANIENICOLINI@GMAIL.COM";"NICOLINI, TIFFANIE KAY";"SARAH L THACKER";2956958
"ROYAL PLAYHOUSE DAYCARE";"BROSELEY";"BUTLER";"63932-8130";"2697 COUNTY ROAD 650 ";"(573) 328-1154";;"CHILD CARE CENTER";"02/09/2022";;20;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002920469";" ";;;;"rpdcare21@gmail.com";"HILLIS, YONNA RENA";"SARAH L THACKER";2920469
"SOUTH CENTRAL MISSOURI COMMUNITY ACTION AGENCY";"POPLAR BLUFF";"BUTLER";"63901-6529";"405 KAREN DR ";"(573) 785-2372";;"CHILD CARE CENTER";"08/28/2021";;44;"BIRTH - 5 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000662948";;;;;;;;662948
"SOUTH CENTRAL MISSOURI COMMUNITY ACTION AGENCY";"BROSELEY";"BUTLER";"63932-7104";"9348 HIGHWAY 51 ";"(573) 328-4141";;"CHILD CARE CENTER";"08/28/2021";;20;"36 MONTHS - 5 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000750325";"PO BOX 45 ";"BROSELEY";"MO";63932;"SCMCAA@HOTMAIL.COM";"CANNON, DANIELL MARIE";"SARAH L THACKER";750325
"SOUTH CENTRAL MISSOURI COMMUNITY ACTION AGENCY";"NEELYVILLE";"BUTLER";63954;"151-1 PARK ST ";"(573) 989-3485";;"CHILD CARE CENTER";"08/28/2021";;19;"36 MONTHS - 5 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000750343";"PO BOX 93 ";"NEELYVILLE";"MO";"63954-0093";"SCMCAA@HOTMAIL.COM";"SANDERS, STEPHANIE L";"SARAH L THACKER";750343
"SOUTH CENTRAL MISSOURI COMMUNITY ACTION AGENCY";"POPLAR BLUFF";"BUTLER";63901;"1140 HERSCHEL BESS BLVD ";"(573) 778-0083";;"CHILD CARE CENTER";"08/28/2021";;84;"BIRTH - 5 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002191319";"PO BOX 6 ";"WINONA";"MO";"65588-0006";"SCMCAA@HOTMAIL.COM";"ELLIS, JAIME GALE";"SARAH L THACKER";2191319
"SOUTH CENTRAL MISSOURI COMMUNITY ACTION AGENCY";"POPLAR BLUFF";"BUTLER";"63901-3075";"1150 HERSCHEL BESS BLVD ";"(573) 778-9411";;"CHILD CARE CENTER";"08/28/2021";;80;"36 MONTHS - 5 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002664817";" ";;;;"SCMCAA@HOTMAIL.COM";"NORMAN, BARBARA";"MELISSA JILL SMITH";2664817
"SOUTHERN CHARM LEARNING CENTER";"POPLAR BLUFF";"BUTLER";63901;"228 COUNTY ROAD 468 ";"(573) 785-6938";;"CHILD CARE CENTER";"08/28/2021";;45;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001518281";" ";;;;"DLAW@SEMO.NET";"LAW, DEBORAH ELLEN";"SARAH L THACKER";1518281
"SPROUTS FAMILY CHILDCARE";"POPLAR BLUFF";"BUTLER";"63901-2251";"3600 WILCOX RD ";"(573) 413-3629";;"FAMILY HOME";"08/28/2021";;10;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002562801";" ";;;;"PHOEBEAUBUCHON@YAHOO.COM";"AUBUCHON, PHOEBE KAY";"SARAH L THACKER";2562801
