"id";"provider_id";"compliance type";"inspection/investigation date";"findings";"violation date";"compliance date";"action taken";"statute/regulation";"section"
13758;10003757;"INSPECTION ANNOUNCED";"07/26/2018";"NON-COMPLIANCE";"07/26/2018";"08/31/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1030 TOILET/SINK/SHOW/BATH FAC"
13757;10003757;"INSPECTION ANNOUNCED";"07/26/2018";"NON-COMPLIANCE";"07/26/2018";"08/31/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.630 - EQUIPMENT AND SUPPLIES"
13756;10003757;"INSPECTION ANNOUNCED";"07/26/2018";"NON-COMPLIANCE";"07/26/2018";"08/31/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.535 - BEHAVIOR GUIDANCE"
13755;10003757;"INSPECTION ANNOUNCED";"07/26/2018";"NON-COMPLIANCE";"07/26/2018";"08/31/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.520 - PROGRAM"
13754;10003757;"INSPECTION ANNOUNCED";"07/26/2018";"NON-COMPLIANCE";"07/26/2018";"08/31/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.510 - MAX GROUP SIZE IN CC CTR"
13753;10003757;"INSPECTION ANNOUNCED";"07/26/2018";"NON-COMPLIANCE";"07/26/2018";"08/31/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.500 - SUPERVISION OF CHILDREN"
13752;10003757;"INSPECTION ANNOUNCED";"07/26/2018";"NON-COMPLIANCE";"07/26/2018";"08/31/2018";"PLAN OF CORRECTION";"MUNICIPALITY OF ANCHORAGE";"16.55.170-CH TO CAREGVER RATIO IN CC FAC"
13895;10003757;"INVESTIGATION/PRIORITY 3";"07/24/2018";"NON-COMPLIANCE";"07/24/2018";"09/12/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1060 ADDITIONAL PROVISIONS"
13894;10003757;"INVESTIGATION/PRIORITY 3";"07/24/2018";"NON-COMPLIANCE";"07/24/2018";"09/12/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1050 CAREGIVER HYGIENE"
13893;10003757;"INVESTIGATION/PRIORITY 3";"07/24/2018";"NON-COMPLIANCE";"07/24/2018";"09/12/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1050 CAREGIVER HYGIENE"
13892;10003757;"INVESTIGATION/PRIORITY 3";"07/24/2018";"NON-COMPLIANCE";"07/24/2018";"09/12/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1040 GEN CLNING/SANITATION"
13891;10003757;"INVESTIGATION/PRIORITY 3";"07/24/2018";"NON-COMPLIANCE";"07/24/2018";"09/12/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.630 - EQUIPMENT AND SUPPLIES"
13890;10003757;"INVESTIGATION/PRIORITY 3";"07/24/2018";"NON-COMPLIANCE";"07/24/2018";"09/12/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.620 - SPACE"
13889;10003757;"INVESTIGATION/PRIORITY 3";"07/24/2018";"NON-COMPLIANCE";"07/26/2018";"09/12/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.535 - BEHAVIOR GUIDANCE"
13380;10003757;"INSPECTION UNANNOUNCED";"06/13/2018";"NON-COMPLIANCE";"06/13/2018";"06/13/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1095 TOXIC SUB POIS. PLANT"
13379;10003757;"INSPECTION UNANNOUNCED";"06/13/2018";"NON-COMPLIANCE";"06/13/2018";"06/13/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1070 MEDICATIONS"
13378;10003757;"INSPECTION UNANNOUNCED";"06/13/2018";"NON-COMPLIANCE";"06/13/2018";"06/13/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1070 MEDICATIONS"
13377;10003757;"INSPECTION UNANNOUNCED";"06/13/2018";"NON-COMPLIANCE";"06/13/2018";"06/13/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1050 CAREGIVER HYGIENE"
13376;10003757;"INSPECTION UNANNOUNCED";"06/13/2018";"NON-COMPLIANCE";"06/13/2018";"06/13/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1035 PREMISES"
13375;10003757;"INSPECTION UNANNOUNCED";"06/13/2018";"NON-COMPLIANCE";"06/13/2018";"06/13/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1035 PREMISES"
13374;10003757;"INSPECTION UNANNOUNCED";"06/13/2018";"NON-COMPLIANCE";"06/13/2018";"06/13/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.620 - SPACE"
17894;10006745;"INSPECTION UNANNOUNCED";"08/19/2020";"NON-COMPLIANCE";"08/19/2020";"10/08/2020";"PLAN OF CORRECTION";"MUNICIPALITY OF ANCHORAGE";"16.55.180-MAX GROUP SIZE IN CC CENTERS"
17893;10006745;"INSPECTION UNANNOUNCED";"08/19/2020";"NON-COMPLIANCE";"08/19/2020";"10/08/2020";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1040 GEN CLNING/SANITATION"
17892;10006745;"INSPECTION UNANNOUNCED";"08/19/2020";"NON-COMPLIANCE";"08/19/2020";"10/08/2020";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1060 ADDITIONAL PROVISIONS"
17891;10006745;"INSPECTION UNANNOUNCED";"08/19/2020";"NON-COMPLIANCE";"08/19/2020";"10/08/2020";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1040 GEN CLNING/SANITATION"
17198;10006745;"INVESTIGATION/PRIORITY 3";"02/10/2020";"IN-COMPLIANCE";;"02/10/2020";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
17090;10006745;"INSPECTION UNANNOUNCED";"12/30/2019";"NON-COMPLIANCE";"12/30/2019";"01/27/2020";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1040 GEN CLNING/SANITATION"
17089;10006745;"INSPECTION UNANNOUNCED";"12/30/2019";"NON-COMPLIANCE";"12/30/2019";"01/27/2020";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1060 ADDITIONAL PROVISIONS"
17088;10006745;"INSPECTION UNANNOUNCED";"12/30/2019";"NON-COMPLIANCE";"12/30/2019";"01/27/2020";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1040 GEN CLNING/SANITATION"
17087;10006745;"INSPECTION UNANNOUNCED";"12/30/2019";"NON-COMPLIANCE";"12/30/2019";"01/27/2020";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1060 ADDITIONAL PROVISIONS"
16141;10006745;"INSPECTION ANNOUNCED";"07/24/2019";"IN-COMPLIANCE";;"07/24/2019";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
16040;10006745;"INSPECTION UNANNOUNCED";"06/19/2019";"NON-COMPLIANCE";"06/19/2019";"07/08/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.310 - QUAL AND RESPNSE OF EMPLY & IND"
16039;10006745;"INSPECTION UNANNOUNCED";"02/07/2019";"NON-COMPLIANCE";"02/07/2019";"05/22/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.520 - PROGRAM"
16038;10006745;"INSPECTION UNANNOUNCED";"02/07/2019";"NON-COMPLIANCE";"02/07/2019";"05/22/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.520 - PROGRAM"
16037;10006745;"INSPECTION UNANNOUNCED";"02/07/2019";"NON-COMPLIANCE";"02/07/2019";"05/22/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.510 - MAX GROUP SIZE IN CC CTR"
16036;10006745;"INSPECTION UNANNOUNCED";"02/07/2019";"NON-COMPLIANCE";"02/07/2019";"05/22/2019";"PLAN OF CORRECTION";"MUNICIPALITY OF ANCHORAGE";"16.55.190-PROGRAM IN CC FACILITIES"
16035;10006745;"INSPECTION UNANNOUNCED";"02/07/2019";"NON-COMPLIANCE";"02/07/2019";"05/22/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1040 GEN CLNING/SANITATION"
16034;10006745;"INSPECTION UNANNOUNCED";"02/07/2019";"NON-COMPLIANCE";"02/07/2019";"05/22/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.510 - MAX GROUP SIZE IN CC CTR"
16033;10006745;"INSPECTION UNANNOUNCED";"02/07/2019";"NON-COMPLIANCE";"02/07/2019";"05/22/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.310 - QUAL AND RESPNSE OF EMPLY & IND"
16032;10006745;"INSPECTION UNANNOUNCED";"02/07/2019";"NON-COMPLIANCE";"02/07/2019";"05/22/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.310 - QUAL AND RESPNSE OF EMPLY & IND"
16031;10006745;"INSPECTION UNANNOUNCED";"02/07/2019";"NON-COMPLIANCE";"02/07/2019";"05/22/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1030 TOILET/SINK/SHOW/BATH FAC"
15626;10006745;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/22/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.520 - PROGRAM"
15625;10006745;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/22/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.520 - PROGRAM"
15624;10006745;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/22/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.510 - MAX GROUP SIZE IN CC CTR"
15623;10006745;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/22/2019";"PLAN OF CORRECTION";"MUNICIPALITY OF ANCHORAGE";"16.55.190-PROGRAM IN CC FACILITIES"
15622;10006745;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/22/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1040 GEN CLNING/SANITATION"
15621;10006745;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/22/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.510 - MAX GROUP SIZE IN CC CTR"
15620;10006745;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/22/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.310 - QUAL AND RESPNSE OF EMPLY & IND"
15619;10006745;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/22/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.310 - QUAL AND RESPNSE OF EMPLY & IND"
15618;10006745;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/22/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1035 PREMISES"
15582;10006745;"INVESTIGATION/PRIORITY 2";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"MUNICIPALITY OF ANCHORAGE";"16.55.210-HEALTH IN CHILD CARE FAC"
15581;10006745;"INVESTIGATION/PRIORITY 2";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.200 - RESP OF GOVERN BODY"
15580;10006745;"INVESTIGATION/PRIORITY 2";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1060 ADDITIONAL PROVISIONS"
15579;10006745;"INVESTIGATION/PRIORITY 2";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.330 - ADDL EMPLOYEE QUAL IN CC CTR"
15578;10006745;"INVESTIGATION/PRIORITY 2";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.220 - OPERATION AND MANAGEMENT"
15577;10006745;"INVESTIGATION/PRIORITY 2";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.510 - MAX GROUP SIZE IN CC CTR"
15576;10006745;"INVESTIGATION/PRIORITY 2";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.510 - MAX GROUP SIZE IN CC CTR"
14543;10006745;"INVESTIGATION/PRIORITY 2";"11/08/2018";"NON-COMPLIANCE";"11/08/2018";"11/29/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.310 - QUAL AND RESPNSE OF EMPLY & IND"
14542;10006745;"INVESTIGATION/PRIORITY 2";"11/08/2018";"NON-COMPLIANCE";"11/08/2018";"11/29/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.200 - RESP OF GOVERN BODY"
14541;10006745;"INSPECTION ANNOUNCED";"10/23/2018";"NON-COMPLIANCE";"10/23/2018";"12/27/2018";"PLAN OF CORRECTION";"MUNICIPALITY OF ANCHORAGE";"16.55.250-ENVIRONMENTAL HEALTH & SAFETY"
14540;10006745;"INSPECTION ANNOUNCED";"10/23/2018";"NON-COMPLIANCE";"10/23/2018";"12/27/2018";"PLAN OF CORRECTION";"MUNICIPALITY OF ANCHORAGE";"16.55.220-NUTRITION"
14539;10006745;"INSPECTION ANNOUNCED";"10/23/2018";"NON-COMPLIANCE";"10/23/2018";"12/27/2018";"PLAN OF CORRECTION";"MUNICIPALITY OF ANCHORAGE";"16.55.210-HEALTH IN CHILD CARE FAC"
14538;10006745;"INSPECTION ANNOUNCED";"10/23/2018";"NON-COMPLIANCE";"10/23/2018";"12/27/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1050 CAREGIVER HYGIENE"
14537;10006745;"INSPECTION ANNOUNCED";"10/23/2018";"NON-COMPLIANCE";"10/23/2018";"12/27/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1040 GEN CLNING/SANITATION"
14536;10006745;"INSPECTION ANNOUNCED";"10/23/2018";"NON-COMPLIANCE";"10/23/2018";"12/27/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1035 PREMISES"
14535;10006745;"INSPECTION ANNOUNCED";"10/23/2018";"NON-COMPLIANCE";"10/23/2018";"12/27/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1035 PREMISES"
14534;10006745;"INSPECTION ANNOUNCED";"10/23/2018";"NON-COMPLIANCE";"10/23/2018";"12/27/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.630 - EQUIPMENT AND SUPPLIES"
14533;10006745;"INSPECTION ANNOUNCED";"10/23/2018";"NON-COMPLIANCE";"10/23/2018";"12/27/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.620 - SPACE"
14530;10006745;"INSPECTION ANNOUNCED";"10/23/2018";"NON-COMPLIANCE";"10/23/2018";"12/27/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.510 - MAX GROUP SIZE IN CC CTR"
14529;10006745;"INSPECTION ANNOUNCED";"10/23/2018";"NON-COMPLIANCE";"10/23/2018";"12/27/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.510 - MAX GROUP SIZE IN CC CTR"
14528;10006745;"INSPECTION ANNOUNCED";"10/23/2018";"NON-COMPLIANCE";"10/23/2018";"12/27/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.340 - SUPERVISION OF EMPLOYEES"
14531;10006745;"INSPECTION ANNOUNCED";"10/13/2018";"NON-COMPLIANCE";"10/23/2018";"12/27/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.520 - PROGRAM"
13132;10006745;"INVESTIGATION/PRIORITY 2";"05/03/2018";"NON-COMPLIANCE";"05/03/2018";"06/07/2018";"PLAN OF CORRECTION";"MUNICIPALITY OF ANCHORAGE";"16.55.230-TRANSPORTATION"
13131;10006745;"INVESTIGATION/PRIORITY 2";"05/03/2018";"NON-COMPLIANCE";"05/03/2018";"06/07/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.565 - TRANSPORTATION"
13130;10006745;"INVESTIGATION/PRIORITY 2";"05/03/2018";"NON-COMPLIANCE";"05/03/2018";"06/07/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.310 - QUAL AND RESPNSE OF EMPLY & IND"
12563;10006745;"INSPECTION UNANNOUNCED";"04/16/2018";"NON-COMPLIANCE";"04/16/2018";"05/07/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1035 PREMISES"
12562;10006745;"INSPECTION UNANNOUNCED";"04/16/2018";"NON-COMPLIANCE";"04/16/2018";"05/07/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1030 TOILET/SINK/SHOW/BATH FAC"
17723;10003557;"INSPECTION UNANNOUNCED";"08/18/2020";"IN-COMPLIANCE";;"08/18/2020";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
16971;10003557;"INVESTIGATION/PRIORITY 2";"12/10/2019";"IN-COMPLIANCE";;"12/23/2019";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
16711;10003557;"INSPECTION UNANNOUNCED";"10/21/2019";"NON-COMPLIANCE";"10/21/2019";"11/18/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1040 GEN CLNING/SANITATION"
16710;10003557;"INSPECTION UNANNOUNCED";"10/21/2019";"NON-COMPLIANCE";"10/21/2019";"11/18/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1040 GEN CLNING/SANITATION"
16709;10003557;"INSPECTION UNANNOUNCED";"10/21/2019";"NON-COMPLIANCE";"10/21/2019";"11/18/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1060 ADDITIONAL PROVISIONS"
16708;10003557;"INSPECTION UNANNOUNCED";"10/21/2019";"NON-COMPLIANCE";"10/21/2019";"11/18/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1040 GEN CLNING/SANITATION"
16707;10003557;"INSPECTION UNANNOUNCED";"10/21/2019";"NON-COMPLIANCE";"10/21/2019";"11/18/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1035 PREMISES"
16706;10003557;"INSPECTION UNANNOUNCED";"10/21/2019";"NON-COMPLIANCE";"10/21/2019";"11/18/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1045 UNIVERSAL PRECAUTIONS"
16705;10003557;"INSPECTION UNANNOUNCED";"10/21/2019";"NON-COMPLIANCE";"10/21/2019";"11/18/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1050 CAREGIVER HYGIENE"
16704;10003557;"INSPECTION UNANNOUNCED";"10/21/2019";"NON-COMPLIANCE";"10/21/2019";"11/18/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1050 CAREGIVER HYGIENE"
15989;10003557;"INSPECTION UNANNOUNCED";"06/27/2019";"IN-COMPLIANCE";;"06/27/2019";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
15826;10003557;"INSPECTION ANNOUNCED";"06/10/2019";"IN-COMPLIANCE";;"06/10/2019";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
15617;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1035 PREMISES"
15616;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.620 - SPACE"
15615;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.310 - QUAL AND RESPNSE OF EMPLY & IND"
15614;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.520 - PROGRAM"
15613;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.520 - PROGRAM"
15612;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1035 PREMISES"
15611;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.630 - EQUIPMENT AND SUPPLIES"
15610;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.630 - EQUIPMENT AND SUPPLIES"
15609;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.630 - EQUIPMENT AND SUPPLIES"
15608;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1035 PREMISES"
15607;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.620 - SPACE"
15606;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.520 - PROGRAM"
15605;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1060 ADDITIONAL PROVISIONS"
15604;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1065 FOOD SVC/PREP"
15603;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1065 FOOD SVC/PREP"
15602;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.630 - EQUIPMENT AND SUPPLIES"
15601;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1030 TOILET/SINK/SHOW/BATH FAC"
15600;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.510 - MAX GROUP SIZE IN CC CTR"
15599;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.510 - MAX GROUP SIZE IN CC CTR"
15598;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.310 - QUAL AND RESPNSE OF EMPLY & IND"
15597;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1070 MEDICATIONS"
15596;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1070 MEDICATIONS"
15595;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1070 MEDICATIONS"
15594;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1070 MEDICATIONS"
15593;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"MUNICIPALITY OF ANCHORAGE";"16.55.170-CH TO CAREGVER RATIO IN CC FAC"
15592;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1035 PREMISES"
15591;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1035 PREMISES"
15590;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1095 TOXIC SUB POIS. PLANT"
15589;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1035 PREMISES"
15588;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1035 PREMISES"
15587;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1035 PREMISES"
15586;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1035 PREMISES"
15585;10003557;"INSPECTION UNANNOUNCED";"01/24/2019";"NON-COMPLIANCE";"01/24/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.500 - SUPERVISION OF CHILDREN"
