"Facility Type";"Facility Name";"Address";"City";"Zip Code";"County";"Phone";"Provides Transportation";"Infants Accepted";"Full Day Service";"Half Day Service";"Drop In Accepted";"Weekend Service";"Night Service"
"Child Care Center";"Aunt Nancies Day Care";"1701 29th Street";"Cody";"82414-";"Park";"307-587-8884";;;"Y";"Y";;;
"Child Care Center";"AUNT NANCIES INFANT CENTER";"1707 29TH ST";"Cody";82414;"Park";"307-587-8884";;"Y";"Y";;;;
"Child Care Center";"Bright Beginnings Childcare &amp";" Preschool";"3219 Sheridan Ave";"Cody";"82414-";"Park";"307-578-8398";"Y";"Y";"Y";"Y";;
"Child Care Center";"BUILDING BLOCKS DAY CARE";"915 PARK AVE.";"Meeteetse";82433;"Park";"307-868-2525";;;"Y";;;;
"Child Care Center";"CHILDRENS RESOURCE CENTER  CODY";"808 NORTH ST.";"Cody";82414;"Park";"307-527-7784";;;;"Y";;;
"Child Care Center";"CHRIST THE KING LUTHERAN PRESCHOOL";"1207 STAMPEDE";"Cody";82414;"Park";"307-587-5774";;;"Y";;;;
"Child Care Center";"Cody Childcare Center";"1301 Sheridan Avenue";"Cody";"82414-";"Park";"307-587-5021";;"Y";"Y";"Y";;"Y";"Y"
"Child Care Center";"Gardiner Snoopy Cooperative Preschool";"556 Lower Mammoth";"Yellowstone";"82190-";"Park";"307-344-7464";;;;"Y";;;
"Child Care Center";"Imagination Station Preschool";"169 N Cheyenne";"Powell";"82435-";"Park";"307-250-2291";;;;"Y";;;
"Child Care Center";"LITTLE EXPLORERS PRESCHOOL";"825 SIMPSON";"Cody";"82414-";"Park";"307-587-4272";;;;"Y";;;
"Child Care Center";"Northwest College Childcare";"231 W 6th Street";"Powell";"82435-";"Park";"307-754-6188";;;"Y";"Y";;;
"Child Care Center";"Powell Childrens Center";"128 N Ferris";"Powell";"82435-";"Park";"307-254-4776";;"Y";"Y";"Y";;;
"Child Care Center";"Powell Christian Preschool";"749 highway 14A";"Powell";"82435-";"Park";"307-254-2353";"Y";;;"Y";;;
"Child Care Center";"Small Wonders";"2635 Sheridan Ave";"Cody";82414;"Park";"307-587-9229";;"Y";"Y";;;;
"Child Care Center";"The Learning Garden";"620 Avenue A";"Powell";"82435-";"Park";"307-754-2825";;"Y";"Y";"Y";;;
"Child Care Center";"The Seedlings Center";"1008 8th Street";"Cody";"82414-";"Park";"307-527-7796";;"Y";"Y";;;;
"Child Care Center";"Winsor Castle Childcare and Preschool Center";"1827 Stampede Ave";"Cody";82414;"Park";"307-578-8090";;"Y";"Y";"Y";"Y";"Y";"Y"
"Child Care Center";"GUERNSEY EARLY CHILDHOOD CENTER";"371 SOUTH KANSAS";"Guernsey";82214;"Platte";"307-836-2838";"Y";"Y";;"Y";;;
"Child Care Center";"PICCADILLY PLAY SCHOOL";"1605 13TH STREET";"Wheatland";82201;"Platte";"307-322-9650";"Y";;"Y";"Y";"Y";;
"Child Care Center";"PLATTE COUNTY DAYCARE/KIDS KASTLE";"567 GILCHRIST";"Wheatland";82201;"Platte";"307-322-4360";;"Y";"Y";"Y";"Y";;
"Child Care Center";"WHEATLAND EARLY CHILDHOOD CENTER";"28 ROMPOON ROAD";"Wheatland";82201;"Platte";"307-322-3385";"Y";"Y";;"Y";;;
"Child Care Center";"ABC Preschool";"100 S Main Street";"Sheridan";"82801-";"Sheridan";"307-672-6222";;;"Y";"Y";;;
"Child Care Center";"ABSAROKA HEAD START SHERIDAN";"404 W. BRUNDAGE LANE";"Sheridan";82801;"Sheridan";"307-674-5330";;;;;;;
"Child Care Center";"Bright Futures Childcare Center";"540 Avoca Ave";"Sheridan";"82801-";"Sheridan";"307-672-2956";;;;;;;
"Child Care Center";"Brite Beginnings";"4042 Coffeen";"Sheridan";"82801-";"Sheridan";"307-673-7285";;;;;"Y";;
"Child Care Center";"Child Development Center R2";"1881 S Sheridan Ave";"Sheridan";"82801-";"Sheridan";"307-673-2700";;;;;;;
"Child Care Center";"CHILDRENS CENTER";"863 HIGHLAND AVE";"Sheridan";82801;"Sheridan";"307-674-9750";"Y";"Y";;;;;
"Child Care Center";"First Light Children's Center";"366 E. Brundage Street";"Sheridan";"82801-";"Sheridan";"307-673-0403";;"Y";;;;;
"Child Care Center";"Fox's Fun House Childcare Center";"1738 Kroe Lane";"Sheridan";"82801-";"Sheridan";"307-675-1870";;;;;;;
"Child Care Center";"Great Foundations Preschool";"556 Broadway";"Sheridan";"82801-";"Sheridan";"307-675-1814";;;;;;;
"Child Care Center";"Harmony Child Care Center";"1856 E Brundage Lane";"Sheridan";"82801-";"Sheridan";"307-673-0998";;;;;;;
"Child Care Center";"Holy Name Pre-Kindergarten - Clark";"121 S Connor";"Sheridan";82801;"Sheridan";"307-672-2021";"Y";;;;;;
"Child Care Center";"Holy Name Pre-Kindergarten - Klebba";"259 E Works";"Sheridan";"82801-";"Sheridan";"307-673-4531";;;;;;;
"Child Care Center";"JULIES LITTLE TOT DAY CARE";"1073 FLORENCE";"Sheridan";82801;"Sheridan";"307-674-9185";;"Y";;;;;
"Child Care Center";"Marion Day Care Center";"710 Marion St";"Sheridan";"82801-";"Sheridan";"307-672-5408";"Y";;;;;;
"Child Care Center";"NOAHS ARK";"135 CRESCENT DRIVE";"Sheridan";82801;"Sheridan";"307-672-3221";;;;;;;
"Child Care Center";"SHERIDAN YMCA DAYCARE";"417 N. JEFFERSON";"Sheridan";82801;"Sheridan";"307-672-5774";"Y";"Y";;;;;
"Child Care Center";"TONGUE RIVER CHILD'S PLACE";"84 DAYTON STREET";"Ranchester";82839;"Sheridan";"307-655-2226";"Y";"Y";;;;;
"Child Care Center";"Children's Learning Center Big Piney";"650 Piney  Drive";"Big Piney";83113;"Sublette";"307-276-5415";;;"Y";;;;"Y"
"Child Care Center";"CHILDRENS DISCOVERY CENTER";"464 EAST HENNICK";"Pinedale";82941;"Sublette";"307-367-6272";"Y";;;"Y";;;
"Child Care Center";"PINEDALE PRESCHOOL";"216 S. MAYBELL";"Pinedale";82941;"Sublette";"307-367-2666";"Y";;;;;;
"Child Care Center";"The Learning Center Pinedale";"191 S. FRANKLIN";"Pinedale";82941;"Sublette";"307-367-6306";"Y";;;;;;
"Child Care Center";"DAYTYME DAY CARE CENTER";"489 EAST 5TH SOUTH";"Green River";82935;"Sweetwater";"307-875-7888";"Y";;"Y";;;;
"Child Care Center";"Enchanted Learning Pre-school";"639 Pilot Butte";"Rock Springs";"82901-0000";"Sweetwater";"307-362-1515";"Y";"Y";"Y";"Y";;;
"Child Care Center";"GREEN RIVER CO-OP PRESCHOOL";"840 HITCHING POST";"Green River";82935;"Sweetwater";"307-875-9410";;;;;;;
"Child Care Center";"KID &amp";" COMPANY DAYCARE &amp";" PRESCHOOL";"595 BRAMWELL";"Green River";82935;"Sweetwater";"307-875-7511";;;;;
"Child Care Center";"Kids Kare";"1977 Dewar Drive Suite F";"Rock Springs";"82901-";"Sweetwater";"307-362-6607";;"Y";"Y";"Y";;;"Y"
"Child Care Center";"SWEETWATER COUNTY CHILD DEVELOPMENT CENTER";"4509 Foothill Blvd., Rock Springs, WY  82901";"Rock Springs";82901;"Sweetwater";"307-352-6871";;;;"Y";;;"Y"
"Child Care Center";"SWEETWATER COUNTY DEVELOPMENTAL CENTER-  MONROE";"280 MONROE";"Green River";82935;"Sweetwater";"307-875-3879";;;;"Y";;;
"Child Care Center";"THE LEARNING TREE";"1275  Adams Ave";"Rock Springs";"82901-";"Sweetwater";"307-350-2829";;;;;;;
"Child Care Center";"TRINITY LUTHERAN LITTLE LAMBS PRESCHOOL";"3101 College Drive";"Rock Springs";82901;"Sweetwater";"307-362-9655";;;;;;;
"Child Care Center";"Walk N Roll";"2100 West  Teton Blvd.";"Green River";"82935-";"Sweetwater";"307-875-4181";;"Y";"Y";"Y";;;"Y"
"Child Care Center";"Young At Heart Early Learning Center";"2400 Reagan Ave.";"Rock Springs";"82901-";"Sweetwater";"307-382-0662";;;"Y";"Y";;;
"Child Care Center";"YWCA EARLY CARE AND LEARNING CENTER";"26 N. 1ST EAST";"Green River";82935;"Sweetwater";"307-872-3252";;"Y";;;;;
"Child Care Center";"YWCA EARLY CARE CENTER";"1037 Jackson Street";"Rock Springs";"82901-";"Sweetwater";"307-362-6742";;"Y";"Y";"Y";;;
"Child Care Center";"YWCA LEARNING CENTER";"1035 JACKSON";"Rock Springs";82901;"Sweetwater";"307-352-6639";;;"Y";"Y";;;
"Child Care Center";"3 Creek Ranch";"2800 Ranch House Circle";"Jackson";"83001-";"Teton";"307-732-8966";"Y";;"Y";"Y";;;
"Child Care Center";"Bright Beginnings Episcopal Preschool";"160 N Glenwood Ave";"Jackson";"83001-";"Teton";"307-690-9082";;;;;;;
"Child Care Center";"Children's Learning Center EHS/HS";"245 E Deloney Avenue";"Jackson";"83001-";"Teton";"307-734-3896";"Y";;;;;;
"Child Care Center";"Children's Learning Center Rafter J";"3105 W. Big Trails Drive";"Jackson";83001;"Teton";"307-733-0333";;;"Y";;;;
"Child Care Center";"CHILDRENS LEARNING CENTER - MERCILL";"145 MERCILL";"Jackson";83001;"Teton";"307-733-2230";"Y";"Y";"Y";"Y";;;
"Child Care Center";"Journeys Pre Kindergarten";"700 Coyote Canyon Road";"Jackson";"83001-";"Teton";"307-733-1327";;;"Y";;;;
"Child Care Center";"KIDS CLUB";"GRAND TARGHEE RESORT";"Alta";"83414-";"Teton";"208-705-7848";;"Y";"Y";"Y";"Y";;
"Child Care Center";"Little Learners Academy";"520 E Broadway";"Jackson";"83001-";"Teton";"307-733-0789";;;"Y";"Y";;;
"Child Care Center";"PB and J Child Care";"1240 Huff Lane";"Jackson";"83001-";"Teton";"307-733-2216";;"Y";"Y";"Y";;;
"Child Care Center";"Presbyterian Church";"1251 South Park Loop Road";"Jackson";"83002-";"Teton";"307-734-0388";;;;;;;
"Child Care Center";"PUMPKIN PATCH PRESCHOOL";"5655 Main Street";"Wilson";"83014-";"Teton";"307-733-1759";;;;;;;
"Child Care Center";"Sweet Peas";"1725 High School Rd Suite 130";"Jackson";"83001-";"Teton";"307-699-7731";"Y";;"Y";"Y";;;
"Child Care Center";"Sweet Peas, Crickets and Fireflies";"1725 High School Road Suite 410, 420 and 425";"Jackson";"83001-";"Teton";"307-733-6580";;"Y";;;;;
"Child Care Center";"The Montessori School of the Tetons";"1240 Huff Ln";"Jackson";83001;"Teton";"208-399-2587";;;"Y";"Y";;;
"Child Care Center";"Bridger Valley Child Development Center";"1001 HWY 414 N";"MT. View";82939;"Uinta";"307-782-6601";"Y";;;"Y";;;
"Child Care Center";"Buttons and Bows";"324 9TH ST";"Evanston";"82930-0481";"Uinta";"307-789-7120";"Y";;;;;;
"Child Care Center";"Children's Learning Foundation";"1021 HWY 414";"Mountain View";"82939-";"Uinta";"307-782-7040";"Y";"Y";"Y";"Y";"Y";;
"Child Care Center";"Evanston Child Development Preschool";"336 Summit";"Evanston";"82930-";"Uinta";"307-789-7040";;"Y";;;;;
"Child Care Center";"LINCOLN UINTA CHILD DEVELOPMENT ASSOCIATION";"350 CITY VIEW DR.";"Evanston";82930;"Uinta";"307-789-7384";"Y";;;;;;
"Child Care Center";"Trinity Lutheran Preschool";"50 Yellow Creek RD";"Evanston";"82930-";"Uinta";"307-789-4041";;;;;;;
"Child Care Center";"Absaroka Head Start Worland";"1200 Culbertson";"Worland";82401;"Washakie";"307-347-3164";;;;;;"Y";
"Child Care Center";"Bright Beginnings Preschool/ Child Care Center";"326 North 11th";"Worland";"82401-";"Washakie";"307-347-2551";;"Y";"Y";"Y";;;
"Child Care Center";"Cassidy's Care";"1219 Howell Ave";"Worland";"82401-";"Washakie";"307-431-0707";;"Y";"Y";"Y";;;
"Child Care Center";"CHILDRENS RESOURCE CENTER";"502 N Road 11";"Worland";82401;"Washakie";"307-347-8677";;;;;;;
"Child Care Center";"WORLAND PRESCHOOL";"RT. 2, 1000 WILSON DR.";"Worland";82401;"Washakie";"307-347-8890";"Y";;;"Y";;;
"Child Care Center";"Little Ones Family Childcare";"330 S. Summit";"New Castle";"82701-";"Weston";"307-746-3112";"Y";"Y";"Y";"Y";"Y";;
"Child Care Center";"Weston County Childrens Center";"104 Stampede";"New Castle";"82701-";"Weston";"307-746-4560";"Y";"Y";"Y";"Y";"Y";;
"Child Care Center";"WESTON COUNTY CHILDRENS CENTER/UPTON";"629 SHERIDAN";"Upton";82730;"Weston";"307-468-2200";;;;"Y";;;
"Child Care Center";"Little Peoples Learning Center";"# 330 Lower Mammoth";"Yellowstone";"82190-";"Yellowstone";"307-344-9011";;"Y";"Y";"Y";;"Y";
"Family Child Care Center";"JOHNSONS CORNER DAYCARE";"1418 Arnold";"Laramie";"82070-";"Albany";"307-755-9249";;"Y";;;;;
"Family Child Care Center";"LARAMIE COOPERATIVE PRESCHOOL";"1215 E. GIBBON";"Laramie";82070;"Albany";"307-742-2745";;;;;;;
"Family Child Care Center";"LITTLE TYKES DAY CARE";"2095 RIVERSIDE DRIVE";"Laramie";82072;"Albany";"307-721-5075";;"Y";;;;;
"Family Child Care Center";"The Cabbage Patch";"1957 1/2 Snowy Range Rd.";"Laramie";"82070-";"Albany";"307-343-0506";"Y";"Y";"Y";"Y";;;
"Family Child Care Center";"THE MONTESSORI CHILDREN'S HOUSE";"610 RUSSELL";"Laramie";"82070-";"Albany";"307-755-6420";;;"Y";;;;
"Family Child Care Center";"Lil Red Wagon Child Care and Learning Center";"200 3rd Avenue South";"Greybull";"82426-";"Big Horn";"307-765-2227";;"Y";"Y";"Y";;;
"Family Child Care Center";"Mimi's";"346 Greybull Ave";"Greybull";"82426-";"Big Horn";"801-388-1533";;"Y";"Y";"Y";;;
"Family Child Care Center";"Todays Child Learning Center";"242 East 6th Street";"Lovell";"82431-";"Big Horn";"307-548-2417";"Y";"Y";"Y";"Y";;;
"Family Child Care Center";"GRANNY'S DAY CARE";"913 EAST 5TH STREET";"Gillette";82716;"Campbell";"307-682-0694";"Y";"Y";;;;;
"Family Child Care Center";"Rosebud Daycare";"33 Lushine Street";"Rozet";"82727-";"Campbell";"307-670-3273";;;;;;;
"Family Child Care Center";"Tender Bugz Daycare";"4500 Alex Way";"Gillette";"82718-";"Campbell";"307-257-2863";;"Y";;;;;
"Family Child Care Center";"Leaps and Bounds";"104 W. Spruce";"Rawlins";"82301-";"Carbon";"307-328-5410";;"Y";"Y";"Y";"Y";;
"Family Child Care Center";"PEGGY COLSON";"1525 ABERDEEN";"Rawlins";82301;"Carbon";"307-324-3320";;;"Y";"Y";;;
"Family Child Care Center";"Tomorrows Promise";"2228 Cutty Sark";"Rawlins";"82301-0000";"Carbon";"307-324-3564";;;"Y";"Y";;;
"Family Child Care Center";"ABC ACADEMY";"#1 SIERRA";"Douglas";"82633-";"Converse";"307-358-2254";;;;;;;
"Family Child Care Center";"CAROL'S DAY CARE";"630 WEST DEER";"Glenrock";82637;"Converse";"307-436-9428";;"Y";;;;;
"Family Child Care Center";"CHRIS' DAYCARE";"950 BROWNFIELD ROAD";"Douglas";82633;"Converse";"307-351-1597";;"Y";;;;;
"Family Child Care Center";"Kim's Little Buds Daycare";"714 S. 1st";"Glenrock";"82637-";"Converse";"307-436-5323";;;;;;;
"Family Child Care Center";"Lil' Peechs' Child Care";"128 N. 5th St.";"Douglas";"82633-";"Converse";"307-359-9367";;;;;;;
"Family Child Care Center";"Little Learners Playcare, LLC.";"212 S.3rd St.";"Glenrock";"82637-";"Converse";"307-436-5711";;;"Y";"Y";"Y";;
"Family Child Care Center";"The Learning Tree";"419 North 4th Street";"Douglas";"82633-";"Converse";"307-358-0938";;"Y";;;;"Y";
"Family Child Care Center";"UNITED METHODIST FAMILY CHILD CARE CENTER";"136 S. 5th St.";"Douglas";82633;"Converse";"307-358-1715";;"Y";;;;;
"Family Child Care Center";"CROOK COUNTY HEAD START";"110  5th St.";"Sundance";82729;"Crook";"307-283-3151";"Y";;;"Y";;;
"Family Child Care Center";"Little Angels Childcare";"108 S. Yellowstone";"Moorcroft";"82721-";"Crook";"307-756-9475";"Y";"Y";;"Y";"Y";;
"Family Child Care Center";"Timber Tots";"112 S. Belle Fourche";"Moorcroft";"82721-";"Crook";"307-756-3976";;"Y";"Y";"Y";"Y";;
"Family Child Care Center";"A Kids Place";"18 Blueridge Ct.";"Lander";"82520-";"Fremont";"307-349-6617";;"Y";"Y";;;;
"Family Child Care Center";"A Sweet Pickle Child Care";"1217 E Washington";"Riverton";82501;"Fremont";"307-851-1825";;"Y";;"Y";"Y";;
"Family Child Care Center";"ABC and 123 Child Care Center";"503 E Adams";"Riverton";"82501-";"Fremont";"307-857-3076";;"Y";;"Y";;"Y";"Y"
"Family Child Care Center";"BRIGHT BEGINNINGS";"331 MORTIMORE LANE";"Lander";82520;"Fremont";"307-332-7872";;;;;;;
"Family Child Care Center";"Casey's Country Child Care";"5 Hutchinson Road";"Riverton";"82501-";"Fremont";"307-851-5585";;;;;;;
"Family Child Care Center";"JUST LIKE HOME DAY CARE";"690 WOOD ST";"Lander";82520;"Fremont";"307-332-9401";"Y";"Y";;"Y";;;
"Family Child Care Center";"Little Children Preschool";"150 Baldwin Creek Road, Room 201";"Lander";"82520-";"Fremont";"307-332-2636";;;;"Y";;;
"Family Child Care Center";"Little Curious Minds/Lander Children's Museum";"465 Lincoln";"Lander";"82520-";"Fremont";"307-332-1341";"Y";;;;;;
"Family Child Care Center";"LITTLE HANDS DAYCARE";"614  W Adams";"Riverton";82501;"Fremont";"307-856-9301";;"Y";;"Y";;"Y";
"Family Child Care Center";"Loving Hearts Preschool/Daycare";"642 Sweetwater";"Lander";"82520-";"Fremont";"307-332-2814";;"Y";;;;;
"Family Child Care Center";"MARILYN'S HOME GROUP DAY CARE";"423 E ADAMS";"Riverton";82501;"Fremont";"307-856-9526";;;"Y";"Y";;;
"Family Child Care Center";"Morning Star Children's Center";"510 Carson Street";"Dubois";"82513-";"Fremont";"307-858-0158";;;;;;;
"Family Child Care Center";"Nennyopolis Child Care";"911 E Roosevelt";"Riverton";"82501-";"Fremont";"307-851-7848";;;"Y";"Y";;;
"Family Child Care Center";"Over the Moon Child Care Center of Dubois Inc";"412 E Ramshorn";"Dubois";"82513-";"Fremont";"307-455-3245";;"Y";"Y";;;;
"Family Child Care Center";"Sophals Daycare";"930 Spriggs Dr";"Lander";"82520-";"Fremont";"307-335-7335";"Y";"Y";;;;;
"Family Child Care Center";"SUGAR N SPICE PRESCHOOL/DAYCARE";"955 DIANE CT";"Lander";82520;"Fremont";"307-332-9426";"Y";"Y";;;;;
"Family Child Care Center";"TRINITY LUTHERAN PRESCHOOL";"419 E. PARK";"Riverton";82501;"Fremont";"307-857-5710";;;;;;;
"Family Child Care Center";"Best At Play";"152 Ridge Rd.";"Torrington";"82240-";"Goshen";"307-575-0737";;"Y";"Y";"Y";"Y";;
"Family Child Care Center";"FIRST STEPS CHRISTIAN PRESCHOOL";"2973 EAST B";"Torrington";82240;"Goshen";"307-532-5801";;;;"Y";;;
"Family Child Care Center";"My Lil'  Munchkins";"144 Leiter";"Lingle";"82223-";"Goshen";"307-837-2028";;"Y";"Y";"Y";"Y";;
"Family Child Care Center";"NOWCAP Wyoming Family Literacy";"2502 West C Street";"Torrington";"82240-";"Goshen";"307-532-4682";;"Y";;"Y";;;
"Family Child Care Center";"The Bird Nest Preschool";"560 2nd Ave.  Suite 120";"LaGrange";"82221-";"Goshen";"307-575-5686";;;;"Y";;;
"Family Child Care Center";"ABC Daycare";"315 North 9th";"Thermopolis";"82443-";"Hot Springs";"307-864-3674";"Y";;"Y";"Y";"Y";;
"Family Child Care Center";"JOYCE'S DAYCARE";"1204 CLARK";"Thermopolis";"82442-";"Hot Springs";"307-864-9448";;;;;;;
"Family Child Care Center";"Leaps and Bounds Child Care Center";"604 Warren Street";"Thermopolis";"82443-";"Hot Springs";"307-864-4211";;"Y";;"Y";"Y";;
"Family Child Care Center";"LITTLE TYKES KID KARE";"1225 CANYON HILLS RD #15";"Thermopolis";82443;"Hot Springs";"307-864-3096";;"Y";"Y";"Y";;;
"Family Child Care Center";"Risen Son Christian School";"342 Amoritti";"Thermopolis";"82443-";"Hot Springs";"307-921-1555";;;;"Y";;;
"Family Child Care Center";"SMALL WORLD";"117 CEDAR RIDGE DRIVE";"Thermopolis";82443;"Hot Springs";"307-864-2748";;"Y";"Y";"Y";"Y";;
"Family Child Care Center";"Bug-a-Boo's Daycare";"29688 Old US Hwy 87";"Buffalo";"82834-";"Johnson";"307-684-7200";;;;;;;
"Family Child Care Center";"JERA MONROE";"603 Circle Drive";"Buffalo";82834;"Johnson";"307-684-2321";"Y";"Y";;;;;
"Family Child Care Center";"Monsters Inc. Child Care";"216 Ceci Ln";"Buffalo";"82834-";"Johnson";"307-217-0012";;;;;;;
"Family Child Care Center";"ABC Center";"6927 Manhattan Lane";"Cheyenne";"82009-0000";"Laramie";"307-632-1111";"Y";"Y";"Y";"Y";"Y";"Y";"Y"
"Family Child Care Center";"Beautiful Dreams Learning Center II";"5829 Kenosha";"Cheyenne";"82001-0000";"Laramie";"307-514-0633";;"Y";"Y";"Y";;;
"Family Child Care Center";"Betty's group Day Care Home";"617 EAST 6TH";"Pine Bluffs";82082;"Laramie";"307-245-3421";;"Y";;;;;
"Family Child Care Center";"BRIGHT BEGINNINGS";"817 Drew Ct.";"Cheyenne";"82007-";"Laramie";"307-635-5503";;"Y";"Y";"Y";;;
"Family Child Care Center";"Bumble Bees and Bears";"3506 Birch Place";"Cheyenne";82001;"Laramie";"307-632-0014";;"Y";"Y";;;;
"Family Child Care Center";"Busy Bees-ABC's";"1408 Hugar";"Cheyenne";"82001-";"Laramie";"307-634-5422";;;;"Y";;;
"Family Child Care Center";"CHILDRENS FUNHOUSE";"830 Morningside Dr.";"Cheyenne";"82001-";"Laramie";"307-637-0356";"Y";"Y";"Y";"Y";;;
"Family Child Care Center";"DISCOVERY WORLD";"5305 Liberty";"Cheyenne";82001;"Laramie";"307-778-9874";;;"Y";;;;
"Family Child Care Center";"Growing Together Daycare &  Preschool";"1311 Arp Ave.";"Cheyenne";"82007-";"Laramie";"307-634-5309";"Y";"Y";"Y";;;;"Y"
"Family Child Care Center";"JJ's Day Care";"1125 W. 28th";"Cheyenne";"82001-";"Laramie";"307-220-1118";;"Y";"Y";"Y";;;
"Family Child Care Center";"Just Like Grandmas";"6905 Manhattan Lane";"Cheyenne";"82009-0000";"Laramie";"307-634-6972";;"Y";"Y";"Y";"Y";;
"Family Child Care Center";"KARLA'S HOME DAY CARE";"4708 GREYBULL";"Cheyenne";82009;"Laramie";"307-635-6496";"Y";"Y";"Y";;;;
"Family Child Care Center";"Kruize Kids Homecare";"1827 Milton Drive";"Cheyenne";"82001-";"Laramie";"307-778-0650";"Y";"Y";;;;;
"Family Child Care Center";"LINDA'S KIDS";"144 HOBBS AVENUE";"Cheyenne";82009;"Laramie";"307-632-0213";;"Y";"Y";"Y";;;
"Family Child Care Center";"LITTLE RASCALS";"314 EAST JEFFERSON ROAD";"Cheyenne";82007;"Laramie";"307-778-3927";;"Y";"Y";"Y";;;
"Family Child Care Center";"Noah's Ark Learning Center";"1110 Morningside Dr.";"Cheyenne";"82001-0000";"Laramie";"307-632-5144";"Y";"Y";;;;;
"Family Child Care Center";"Silly Bear Daycare Center";"2213 Milatzo Ave";"Cheyenne";"82007-";"Laramie";"505-604-6587";;"Y";"Y";;"Y";;
"Family Child Care Center";"Small Fries";"3925 E. 9th St.";"Cheyenne";"82001-";"Laramie";"307-220-3497";;"Y";"Y";"Y";;;
"Family Child Care Center";"Small Miracles";"1683 Blues Drive";"Cheyenne";"82007-";"Laramie";"307-638-4083";"Y";"Y";"Y";"Y";;;
"Family Child Care Center";"Smiley Kids Day Care";"6901 RIDGE ROAD";"Cheyenne";"82009-";"Laramie";"307-637-8432";"Y";"Y";"Y";"Y";"Y";"Y";"Y"
"Family Child Care Center";"The Crayon Box Child Care Center";"1273 Wendy Lane";"Cheyenne";"82009-";"Laramie";"307-778-2700";"Y";"Y";"Y";"Y";;;"Y"
"Family Child Care Center";"The Whole Child";"3210 Snyder Avenue";"Cheyenne";"82001-";"Laramie";"307-220-1437";"Y";"Y";"Y";"Y";;;
"Family Child Care Center";"Tiny Treasures Child Care";"505 East Fox Farm Road";"Cheyenne";"82007-0000";"Laramie";"307-635-6286";;"Y";;;;;
"Family Child Care Center";"Wonderland Learning Center";"913 Cahill Dr.";"Cheyenne";"82001-";"Laramie";"307-433-9202";"Y";"Y";"Y";"Y";;;
"Family Child Care Center";"ABC's and 123's Preschool";"491 Etna Road";"Etna";83118;"Lincoln";"307-883-4645";;;;;;;
"Family Child Care Center";"Black Mountain Daycare";"#20 LEVER SPRING RD";"Alpine";83128;"Lincoln";"307-654-7848";;;;;;;
"Family Child Care Center";"Care A Lot";"595 Madison";"Afton";83110;"Lincoln";"307-885-1363";;"Y";;;;"Y";
"Family Child Care Center";"Glenna and Her Crayon Kids";"2026 Basin Drive";"Kemmerer";83101;"Lincoln";"307-877-4536";;;;;;;
"Family Child Care Center";"Imagination Station";"531 Allred Rd";"Afton";"83110-";"Lincoln";"307-885-9034";;;"Y";;;;
"Family Child Care Center";"Little Dreamers Daycare";"52 Hot Iron Road";"Kemmerer";"83101-";"Lincoln";"307-877-6539";"Y";"Y";;;;;
"Family Child Care Center";"Little Scholars";"89211 US Highway 89";"Grover";"83122-";"Lincoln";"307-248-1336";"Y";"Y";"Y";"Y";"Y";;
"Family Child Care Center";"Loretta Archuleta";"73 Custer Drive";"Thayne";"83127-";"Lincoln";"307-883-0330";;;;;;;
"Family Child Care Center";"Lots of Love Child Care";"145 W Good neighbor Lane";"Etna";"83118-";"Lincoln";"307-883-2292";"Y";"Y";;;;;
"Family Child Care Center";"Tender Heart Day Care";"1221 Sage";"Kemmerer";83101;"Lincoln";"307-877-3243";;;;;;;
"Family Child Care Center";"Tracy's Daycare and Preschool";"2458 Thayne-Bedford County RD 122";"Thayne";"83127-";"Lincoln";"307-883-2627";;"Y";;;;;
"Family Child Care Center";"Busy Bumblebees";"447 Indian Paintbrush";"Casper";"82604-";"Natrona";"307-267-4124";;"Y";"Y";"Y";;;
"Family Child Care Center";"Cardenas Day Care";"1218 SOUTH JEFFERSON";"Casper";82602;"Natrona";"307-265-0303";;"Y";;;;;
"Family Child Care Center";"Casper Mtn Child Care";"4814 Mountain Way";"Casper";"82601-";"Natrona";"307-277-3738";;"Y";"Y";"Y";;;"Y"
"Family Child Care Center";"Cattle Kids Corral";"636 Trigood Dr.";"Casper";"82609-";"Natrona";"307-259-0387";"Y";"Y";"Y";;;;
"Family Child Care Center";"CHIP N DALE DAY CARE";"4903 WEST EISENHOWER";"Mills";"82604-";"Natrona";"307-234-3346";;"Y";;;;;
"Family Child Care Center";"Cradle To Crayon's";"1714 WESTRIDGE WAY";"Casper";"82604-";"Natrona";"307-797-1899";;;;;;;
"Family Child Care Center";"EVANSVILLE CHRISTIAN DAY CARE";"719 1/2 3RD STREET";"Evansville";82636;"Natrona";"307-265-5246";"Y";"Y";;;;;
"Family Child Care Center";"FRIENDS FOREVER";"316 Platte";"Mills";"82644-";"Natrona";"307-234-5180";;"Y";"Y";"Y";;;
"Family Child Care Center";"Home Away From Home Day Care";"5200 Vista Way";"Casper";"82601-";"Natrona";"307-462-4181";;"Y";"Y";"Y";;"Y";
"Family Child Care Center";"Home Sweet Home Child Care";"1971 Glendo";"Casper";"82604-";"Natrona";"307-234-3460";;;;;;;
"Family Child Care Center";"IN TOUCH CHILDCARE";"2302 Thorndike";"Casper";82601;"Natrona";"307-265-6030";"Y";"Y";;;;;
"Family Child Care Center";"Jenns Daycare";"1728 S. Lennox";"Casper";"82601-";"Natrona";"307-258-7064";;"Y";;;;;
