"ID";"Type";"Name";"Address";"City";"State";"Zip";"County";"Phone";"Email";"Website";"Capacity";"Operational Information";"Sunday";"Monday";"Tuesday";"Wednesday";"Thursday";"Friday";"Saturday";"Infants (0-12 months)";"Toddler (12-24 months)";"Toddler (24-36 months)";"Pre-School (3-5 years old)";"School-Age (6-12 years old)";"Full Day Care";"Half Day Care";"Weekend Care";"Drop-In Care";"Night Care";"Provides Transportation";"Child and Adult Food Program";"Accepts Subsidies";"Certified Nature Explore Classroom";"Implementing WY ELG/ELF";"Accepts Special Needs";"Pet Free Environment";"Has Cat(s)";"Has Dog(s)";"Has Other Pet(s)"
17277;"FCCH";"Desi Daycare";"1431 Beaver Dr.";"Gillette";"WY";82718;"Campbell";"307-622-7939";"garibayviridiana@yahoo.com";;10;"Regular/Year Round";"Closed";"06:00 AM - 05:30 PM";"06:00 AM - 05:30 PM";"06:00 AM - 05:30 PM";"06:00 AM - 05:30 PM";"06:00 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;;;;;;;;"Yes";
2444;"CCC";"DEVELOPMENTAL PRESCHOOL AND DAY CARE";"1771 Centennial Dr.";"Laramie";"WY";82070;"Albany";"307-742-6374";"DSanchez@wyokids.org";"https://albany.wyokids.org";213;"Regular/Year Round";"Closed";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";;"Yes";"Yes";;;;"Yes";"Yes";"Yes";;;"Yes";"Yes";;;
2302;"FCCH";"Dilley Daycare";"2709 Baywood Street";"Gillette";"WY";82716;"Campbell";"307-687-1276";"kdilley68@hotmail.com";;10;"Regular/Year Round";"Closed";"05:30 AM - 05:30 PM";"05:30 AM - 05:30 PM";"05:30 AM - 05:30 PM";"05:30 AM - 05:30 PM";"05:30 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;"Yes";"Yes";;;;;;;
1520;"CCC";"Discovery Depot Preschool";"411 S. Walsh Dr.";"Casper";"WY";82609;"Natrona";"307-277-0535";"discovery.depot@yahoo.com";;30;"Closed Summer : August to May";"Closed";"08:30 AM - 11:30 AM";"08:30 AM - 11:30 AM";"08:30 AM - 11:30 AM";"08:30 AM - 11:30 AM";"08:30 AM - 11:30 AM";"Closed";;;;"Yes";;;"Yes";;;;;;;;;;"Yes";;;
1815;"CCC";"DISCOVERY UNLIMITED";"515 EAST 25TH ST.";"Cheyenne";"WY";82001;"Laramie";"307-632-1306";"dunlimited5@qwestoffice.net";"https://www.discoveryunlimitedpreschool.com";20;"Regular/Year Round";"Closed";"09:00 AM - 03:00 PM";"09:00 AM - 11:30 AM";"09:00 AM - 03:00 PM";"09:00 AM - 11:30 AM";"09:00 AM - 03:00 PM";"Closed";;;"Yes";"Yes";;;"Yes";;;;;;;;;;;;;
16926;"FCCH";"Djuana's Home Daycare";"1817 East G St.";"Torrington";"WY";82240;"Goshen";"307-575-4891";"giakaka@yahoo.com";;10;"Regular/Year Round";"Closed";"08:00 AM - 06:00 PM";"08:00 AM - 06:00 PM";"08:00 AM - 06:00 PM";"08:00 AM - 06:00 PM";"08:00 AM - 06:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;;"Yes";;;;;;;
1938;"FCCH";"Donna's Daycare";"1109 Clark Street";"Rock Springs";"WY";82901;"Sweetwater";"307-362-8059";"dwis22567@gmail.com";;10;"Regular/Year Round";"Closed";"05:00 AM - 07:00 PM";"05:00 AM - 07:00 PM";"05:00 AM - 07:00 PM";"05:00 AM - 07:00 PM";"05:00 AM - 07:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;"Yes";"Yes";;;;;;;;
1870;"FCCH";"Dotties Daycare";"128 S Nebraska";"Casper";"WY";82609;"Natrona";"307-277-1170";"dottieione@yahoo.com";"https://dottieione@yahoo.com";8;"Regular/Year Round";"Closed";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;"Yes";"Yes";"Yes";;;;;;"Yes";
2182;"FCCH";"EMILY'S DAYCARE";"1709 EAST I ST.";"Torrington";"WY";82240;"Goshen";"307-532-2058";"Daycareem@gmail.com";;10;"Regular/Year Round";"Closed";"07:15 AM - 05:15 PM";"07:15 AM - 05:15 PM";"07:15 AM - 05:15 PM";"07:15 AM - 05:15 PM";"07:15 AM - 05:15 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;"Yes";"Yes";;;;;;;
2040;"FCCH";"Emily VanVleet";"110 Canyon Hallow";"Evanston";"WY";82930;"Uinta";"307-679-1163";"emmyvan1@hotmail.com";;10;"Regular/Year Round";"Closed";"06:45 AM - 06:15 PM";"06:45 AM - 06:15 PM";"06:45 AM - 06:15 PM";"06:45 AM - 06:15 PM";"06:45 AM - 06:15 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;"Yes";"Yes";;;;;;;
1814;"CCC";"ENCAMPMENT PRESCHOOL";"514 RANKIN";"Encampment";"WY";82325;"Carbon";"307-327-5442";"rswanson@wyokids.org";;20;"Closed Summer : August to May";"Closed";"08:00 AM - 03:15 PM";"08:00 AM - 03:15 PM";"08:00 AM - 03:15 PM";"08:00 AM - 03:15 PM";"08:00 AM - 03:15 PM";"Closed";;;;"Yes";;"Yes";"Yes";;;;;;;;;;;;;
17165;"FCCH";"Erin Geving Family Childcare Home";"2336 Berdahl Ave.";"Cody";"WY";82414;"Park";"307-272-0744";"erinunder@yahoo.com";;3;"Regular/Year Round";"Closed";"07:45 AM - 05:30 PM";"07:45 AM - 05:30 PM";"07:45 AM - 05:30 PM";"07:45 AM - 05:30 PM";"07:45 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;"Yes";;"Yes";;;;;;"Yes";
2271;"FCCH";"Estela's Daycare";"145 Cole St.";"Hulett";"WY";82720;"Crook";"307-467-5411";"estelamadd@gmail.com";;10;"Regular/Year Round";"Closed";"08:00 AM - 05:30 PM";"08:00 AM - 05:30 PM";"08:00 AM - 05:30 PM";"08:00 AM - 05:30 PM";"08:00 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;"Yes";;;;;;;;
2493;"CCC";"Evanston Child Development Center";"422 3rd Street";"Evanston";"WY";82930;"Uinta";"307-789-7010";"jamelmer@ecdcwyo.org";"https://http://www.evanstonchilddevelopmentcenter.org/infant-and-toddler.html";163;"Regular/Year Round";"Closed";"06:00 AM - 07:00 PM";"06:00 AM - 07:00 PM";"06:00 AM - 07:00 PM";"06:00 AM - 07:00 PM";"06:00 AM - 07:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;"Yes";"Yes";"Yes";;;"Yes";"Yes";;;
1730;"FCCH";"Evonnes Child Care";"112 N Bozeman";"Buffalo";"WY";82834;"Johnson";"307-620-1979";"evonneschildcare@gmail.com";;10;"Regular/Year Round";"Closed";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;"Yes";"Yes";;;;;;"Yes";
2260;"CCC";"Excel Academy Private School";"500 S. Jefferson";"Casper";"WY";82601;"Natrona";"307-237-3963";"jawistisen@excelacademywy.com";;65;"Closed Summer : September to May";"Closed";"08:00 AM - 02:30 PM";"08:00 AM - 02:30 PM";"08:00 AM - 02:30 PM";"08:00 AM - 02:30 PM";"08:00 AM - 02:30 PM";"Closed";;;"Yes";"Yes";;"Yes";"Yes";;;;"Yes";;"Yes";;;;;;;
2320;"CCC";"Excel Preschool";"204 W Spring St";"Saratoga";"WY";82331;"Carbon";"307-326-5839";"Twillford@wyokids.org";;36;"Closed Summer : September to May";"Closed";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"Closed";"Closed";;;;"Yes";;;"Yes";;;;;;"Yes";;;;;;;
17205;"FCCH";"Explorers Preschool";"946 S 7th St.";"Lander";"WY";82520;"Fremont";"307-240-0110";"sherigroenke@gmail.com";;10;"Seasonal";"Closed";"07:30 AM - 04:15 PM";"07:30 AM - 04:15 PM";"07:30 AM - 04:15 PM";"07:30 AM - 04:15 PM";"07:30 AM - 04:15 AM";"Closed";;;;"Yes";;"Yes";"Yes";;;;;;"Yes";;;;;;"Yes";
17042;"FCCC";"Family-Tree House";"501 Sioux";"Sheridan";"WY";82801;"Sheridan";"307-763-3500";"bsanders.wy@gmail.com";;15;"Regular/Year Round";"Closed";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;;;;;;;;;
17100;"CCC";"Firehouse Kids LLC";"522 Van Lennen Ave.";"Cheyenne";"WY";82007;"Laramie";"307-514-1128";"firehousekids522@yahoo.com";;23;"Regular/Year Round";"Closed";"06:30 AM - 06:30 PM";"06:30 AM - 06:30 PM";"06:30 AM - 06:30 PM";"06:30 AM - 06:30 PM";"06:30 AM - 06:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;;"Yes";;;;;;;
2204;"CCC";"FIRST CHRISTIAN EARLY CHILDHOOD SCHOOL";"520 CY AVE.";"Casper";"WY";82601;"Natrona";"307-472-0649";"jonesinmama@gmail.com";;66;"Closed Summer : September to May";"Closed";"08:45 AM - 12:00 PM";"08:45 AM - 12:00 PM";"08:45 AM - 12:00 PM";"08:45 AM - 12:00 PM";"08:45 AM - 12:00 PM";"Closed";;;"Yes";"Yes";;;"Yes";;;;;;;;;;"Yes";;;
2385;"CCC";"First Light Early Education Center";"366 E. Brundage Street Ste. #2";"Sheridan";"WY";82801;"Sheridan";"307-673-0403";"business@firstlightsheridan.com";;127;"Regular/Year Round";"Closed";"07:30 AM - 04:30 PM";"07:30 AM - 04:30 PM";"07:30 AM - 04:30 PM";"07:30 AM - 04:30 PM";"07:30 AM - 04:30 PM";"Closed";;;"Yes";"Yes";"Yes";"Yes";"Yes";;;;;;"Yes";;;"Yes";"Yes";;;
17168;"FCCH";"First Step Daycare";"265 Trail Drive";"Green River";"WY";82935;"Sweetwater";"712-635-5712";"firststepdaycare12345@gmail.com";;10;"Regular/Year Round";"Closed";"06:30 AM - 05:30 PM";"06:30 AM - 05:30 PM";"06:30 AM - 05:30 PM";"06:30 AM - 05:30 PM";"06:30 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";;"Yes";"Yes";;;;;;"Yes";;;;;;"Yes";
1541;"CCC";"First Steps Childcare and Preschool";"5801 Osage Avenue Unit A";"Cheyenne";"WY";82009;"Laramie";"307-778-7860";"annemarie223@aol.com";;64;"Regular/Year Round";"Closed";"06:30 AM - 06:30 PM";"06:30 AM - 06:30 PM";"06:30 AM - 06:30 PM";"06:30 AM - 06:30 PM";"06:30 AM - 06:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;"Yes";;"Yes";;;;"Yes";;;
2390;"CCC";"FIRST UNITED METHODIST PRESCHOOL";"800 N23rd Street";"Rawlins";"WY";82301;"Carbon";"307-324-8434";"ellen@Rawlinsfump.com";;38;"Regular/Year Round";"Closed";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"Closed";;;;"Yes";;"Yes";"Yes";;;;;;;;;;"Yes";;;
1758;"FCCC";"For Kids Sake";"73 Custer Drive";"Thayne";"WY";83127;"Lincoln";"307-883-0330";"lmason@silverstar.com";;15;"Regular/Year Round";"Closed";"07:00 - 06:00";"07:00 AM - 06:00 PM";"07:00 AM - 06:00 PM";"07:00 AM - 06:00 PM";"07:00 AM - 06:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;"Yes";"Yes";;;"Yes";"Yes";;;
17018;"FCCH";"Forward Footsteps";"1050 Boulder Drive";"Green River";"WY";82935;"Sweetwater";"307-703-1054";"janaeasay@gmail.com";;10;"Closed Summer : August to May";"Closed";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;"Yes";;"Yes";;;;"Yes";;;
1550;"CCC";"Foundations Early Care & Education";"4200 Legion Ln.";"Casper";"WY";82609;"Natrona";"307-266-9680";"foundationsofcasper@gmail.com";;129;"Regular/Year Round";"Closed";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;"Yes";;"Yes";;;"Yes";;;;
2421;"CCC";"Foundations Learning Academy";"2110 Grasslands Pkwy";"Cheyenne";"WY";82001;"Laramie";"307-426-4058";"admin@FLA-EDU.com";;243;"Regular/Year Round";"Closed";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;"Yes";"Yes";"Yes";;;;;;;
1905;"FCCC";"FRIENDS FOREVER";"316 Platte";"Mills";"WY";82644;"Natrona";"307-234-5180";"friends_r_forever38@yahoo.com";;13;"Regular/Year Round";"Closed";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 PM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";;"Yes";"Yes";;;;;;"Yes";;;;;;;
17160;"CCC";"FUN-damentals Preschool/Free Play";"1507 A Stillwater";"Cheyenne";"WY";82009;"Laramie";"307-630-4098";"jackiemuhlbauer@hotmail.com";"https://www.fundamentalsfreeplaypreschool.org";30;"Regular/Year Round";"Closed";"08:00 AM - 04:00 PM";"08:00 AM - 04:00 PM";"08:00 AM - 04:00 PM";"08:00 AM - 04:00 PM";"08:00 AM - 04:00 PM";"Closed";;"Yes";"Yes";"Yes";"Yes";;"Yes";;"Yes";;;;;;;;;;;
2276;"CCC";"Gardiner Snoopy Cooperative Preschool";"25 Cedar Terrace";"Yellowstone National Park";"WY";82190;"Park";"307-344-7464";"snoopypreschool@gmail.com";;20;"Closed Summer : September to May";"Closed";"08:00 AM - 11:30 AM";"08:00 AM - 11:30 AM";"08:00 AM - 11:30 AM";"Closed";"Closed";"Closed";;;;"Yes";;;"Yes";;;;;;;;;;;;;
1893;"CCC";"Giggles and Wiggles";"4100 S. Poplar";"Casper";"WY";82601;"Natrona";"307-266-1379";"heyjzz@gmail.com";;70;"Regular/Year Round";"Closed";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"Closed";;"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;"Yes";;"Yes";;;;;;;
1543;"FCCH";"Giggles and Wiggles Daycare";"211 Bar-2";"Douglas";"WY";82633;"Converse";"307-262-1562";"rglendo@aol.com";;10;"Regular/Year Round";"Closed";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;;"Yes";;;;;;;
17287;"FCCH";"Giggles and Wiggles Daycare";"101 E. Redwood St.";"Gillette";"WY";82718;"Campbell";"307-299-9712";"gigglesnwiggles22@gmail.com";;10;"Regular/Year Round";"Closed";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;;"Yes";;;"Yes";;"Yes";"Yes";
1566;"FCCH";"Ginger's Day Care";"2114 Cheyenne Pl.";"Cheyenne";"WY";82001;"Laramie";"307-421-5220";"kidcrew1@outlook.com";;10;"Regular/Year Round";"Closed";"07:30 AM - 05:30 AM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";;"Yes";;;;;;;;;;;;;;
2406;"CCC";"Gold's Gym @ Cheyenne Regional Kids Club";"1616 E. Pershing Blvd.";"Cheyenne";"WY";82001;"Laramie";"307-778-5500";"cindy@goldsgymwy.com";;32;"Regular/Year Round";"Closed";"08:00 AM - 08:00 PM";"08:00 AM - 08:00 PM";"08:00 AM - 08:00 PM";"08:00 AM - 08:00 PM";"08:00 AM - 05:00 PM";"08:00 AM - 01:00 PM";"Yes";"Yes";"Yes";"Yes";;;;"Yes";"Yes";"Yes";;;;;;;;;;
17369;"FCCH";"Grandma's Daycare";"2928 West A St.";"Torrington";"WY";82240;"Goshen";"307-532-1959";"k_richards_3@hotmail.com";;9;"Regular/Year Round";"Closed";"08:00 AM - 05:00 PM";"08:00 AM - 05:00 PM";"08:00 AM - 05:00 PM";"08:00 AM - 05:00 PM";"08:00 AM - 05:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;;;;;;;;;
1868;"CCC";"Green River Co-Op Preschool";"840 HITCHING POST";"Green River";"WY";82935;"Sweetwater";"307-875-9410";"gr.coop.wy@gmail.com";;24;"Closed Summer : September to May";"Closed";"09:00 AM - 02:30 PM";"09:00 AM - 02:30 PM";"09:00 AM - 02:30 PM";"09:00 AM - 02:30 PM";"09:00 AM - 02:30 PM";"Closed";;;;"Yes";;;"Yes";;;;;;;;;"Yes";"Yes";;;
14205;"FCCH";"Hanna's House";"1406 Charles Ave";"Worland";"WY";82401;"Washakie";"307-347-8995";"stanek@rtconnect.net";;10;"Regular/Year Round";"Closed";"07:15 AM - 04:30 PM";"07:15 AM - 04:30 PM";"07:15 AM - 04:30 PM";"07:15 AM - 04:30 PM";"07:15 AM - 04:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;"Yes";;;;;;;;
17225;"FCCH";"Hannah's Home Daycare, LLC";"840 King St";"Sheridan";"WY";82801;"Sheridan";"307-287-9197";"gallaghergang17@gmail.com";;10;"Regular/Year Round";"Closed";"Closed";"07:30 AM - 04:30 PM";"07:30 AM - 04:30 PM";"07:30 AM - 04:30 PM";"Closed";"Closed";"Yes";"Yes";"Yes";"Yes";;"Yes";;;;;;;;;;;;;;
16829;"CCC";"Happily Ever After Daycare, LLC";"120 S. Bighorn";"Moorcroft";"WY";82721;"Crook";"307-680-5738";"chardyone@gmail.com";;42;"Regular/Year Round";"Closed";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"Closed";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;"Yes";;"Yes";;;"Yes";"Yes";;;
2273;"FCCH";"Happy Hearts Home Child Care";"315 East Monroe Ave";"Riverton";"WY";82501;"Fremont";"307-851-8306";"bsjrcasper@yahoo.com";;10;"Regular/Year Round";"Closed";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;;"Yes";;;;;"Yes";"Yes";
17156;"CCC";"Happy Heroes";"520 Wilkes Drive #2";"Green River";"WY";82935;"Sweetwater";"307-871-8928";"kimhappyheroes@gmail.com";;39;"Regular/Year Round";"Closed";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"Closed";;;"Yes";"Yes";;"Yes";"Yes";;"Yes";;;;;;;;;;;
16934;"CCC";"Happy Kidz Day Care Center";"1450 South Hwy 89, PO Box 13144";"Jackson";"WY";83002;"Teton";"307-699-0553";"happykidzdaycarecenter@yahoo.com";;23;"Regular/Year Round";"Closed";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";;"Yes";"Yes";;"Yes";;;;"Yes";;;;;;;
17053;"FCCH";"Happy Tot Daycare";"305 Carey Ave";"Gillette";"WY";82716;"Campbell";"307-622-6366";"brandymckee63@yahoo.com";;10;"Regular/Year Round";"Closed";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"Closed";;"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;"Yes";"Yes";;;;"Yes";;;
17073;"FCCH";"Happy Trails Daycare";"1709 Magnolia Court";"Gillette";"WY";82716;"Campbell";"307-299-5607";"happytrailsdaycare3@gmail.com";;10;"Regular/Year Round";"Closed";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;;;"Yes";;;;;;;
17011;"FCCH";"Hardy Daycare";"376 CO RD 151";"Smoot";"WY";83126;"Lincoln";"307-887-9659";"tchardy2005@gmail.com";;10;"Regular/Year Round";"Closed";"07:00 AM - 06:30 PM";"07:00 AM - 06:30 PM";"07:00 AM - 06:30 PM";"07:00 AM - 06:30 PM";"07:00 AM - 06:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;;;;;;;;;
1798;"CCC";"Harmony Child Care Center";"1856 E Brundage Lane";"Sheridan";"WY";82801;"Sheridan";"307-673-0998";"harmonychildcare1856@gmail.com";;42;"Regular/Year Round";"Closed";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;"Yes";"Yes";;;;;;;
2207;"CCC";"Harvest Time Child Care";"4700 Ocean Loop";"Cheyenne";"WY";82001;"Laramie";"307-638-2241";"nikkirish33@yahoo.com";;87;"Regular/Year Round";"Closed";"06:00 AM - 05:45 PM";"06:00 - 05:45 PM";"06:00 - 05:45 PM";"06:00 - 05:45 AM";"06:00 - 05:45 AM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;"Yes";;"Yes";;;;;;;
1577;"FCCH";"Helping Hands";"742 Hirst St";"Cheyenne";"WY";82009;"Laramie";"307-286-8349";"amjensen@bresnan.net";;10;"Regular/Year Round";"Closed";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;"Yes";"Yes";;;;;;;
2126;"CCC";"Heritage Christian School";"510 Wall St. Ct.";"Gillette";"WY";82718;"Campbell";"307-686-1392";"beckerlaura73@yahoo.com";;18;"Regular/Year Round";"Closed";"08:30 AM - 03:00 PM";"08:30 AM - 03:00 PM";"08:30 AM - 03:00 PM";"08:30 AM - 03:00 PM";"08:30 AM - 03:00 PM";"Closed";;;;"Yes";;"Yes";"Yes";;;;;;;;;;;;;
2521;"CCC";"Holy Name Pre-Kindergarten";"121 S Connor";"Sheridan";"WY";82801;"Sheridan";"(307)";"lclark3@hotmail.com";;36;"Regular/Year Round";"Closed";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"Closed";;;;"Yes";;"Yes";;;;;;"Yes";"Yes";;;;"Yes";;;
1482;"FCCC";"Holy Spirit Catholic School";"210 A STREET";"Rock Springs";"WY";82901;"Sweetwater";"307-362-6077";"mark.jenn@live.com, preschool@rshscs.com";;12;"Closed Summer : September to June";"Closed";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"Closed";;;;"Yes";;;"Yes";;;;;;;;;;;;;
1398;"FCCC";"Home Sweet Home Child Care";"1971 Glendo";"Casper";"WY";82604;"Natrona";"307-234-3460";"kimberlyweinrich@gmail.com";;15;"Regular/Year Round";"Closed";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";;"Yes";"Yes";;;;;"Yes";;;;;;;;
2061;"FCCH";"Hoppin Frogs Child Care";"4201 Hayes Ave.";"Cheyenne";"WY";82001;"Laramie";"307-630-3252";"mldemoney@gmail.com";;10;"Regular/Year Round";"Closed";"07:00 AM - 06:00 PM";"07:00 AM - 06:00 PM";"07:00 AM - 06:00 PM";"07:00 AM - 06:00 PM";"07:00 AM - 06:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;"Yes";"Yes";;;;;;;
17123;"CCC";"Hot Springs County School District #1 Bobkitten Den";"415 Springview";"Thermopolis";"WY";82443;"Hot Springs";"307-864-6688";"cbasse@hotsprings1.org";;66;"Seasonal : August to June";"Closed";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 03:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";;"Yes";"Yes";;;;;"Yes";"Yes";;;;"Yes";;;
1582;"FCCH";"Hugs and Cuddles Daycare";"2929 Pheasant";"Casper";"WY";82604;"Natrona";"307-333-5713";"lavitad1@bresnan.net";;8;"Regular/Year Round";"Closed";"05:30 AM - 05:30 PM";"05:30 AM - 05:30 PM";"05:30 AM - 05:30 PM";"05:30 AM - 05:30 PM";"05:30 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;;"Yes";;;;;;;
2065;"CCC";"Hulett Preschool";"429 Sager";"Hulett";"WY";82720;"Crook";"307-467-5727";"llovett@region3.co";;21;"Closed Summer : September to May";"Closed";"08:00 AM - 11:15 AM";"Closed";"08:00 AM - 11:15 AM";"Closed";"Closed";"Closed";;;"Yes";"Yes";;;"Yes";;;;;;;;;"Yes";"Yes";;;
