"id";"name";"street";"city";"state";"zip";"phone";"county";"email";"website";"rating";"ages_served";"schedule";"environment";"special_needs";"languages";"license_id";"care_type";"meals";"financial_assistance";"animals_pets";"transportation";"elementary_schools";"hours_of_operation_monday";"hours_of_operation_tuesday";"hours_of_operation_wednesday";"hours_of_operation_thursday";"hours_of_operation_friday";"hours_of_operation_saturday";"hours_of_operation_sunday";"latitude";"longitude";"alternate_phone"
3770;"NMPreK-P (APS) Christine Duncan Heritage Academy Charter";"1900 Atrisco Drive NW";"Albuquerque";"NM";87120;"505-839-4971 EXT 121";"Bernalillo";;;" ";"4 years old";"Part-Time, School Year";;;;;"(CCC) NM PreK";;"FREE-CALL FOR SESSION START/END TIMES";;;;;;;;;;;35.108623;-106.699481;
3472;"RGEC @ Christine Duncan Heritage Academy * (EMERG OPEN)";"1900 Atrisco Dr NW";"Albuquerque";"NM";87120;"505-873-6035";"Bernalillo";"mlujan@rgec.org";"www.rgec.org";"2-STAR Basic Licensure";"5, 6-12 years old";"Part-Time, School Year";;"Program has strong commitment to inclusion; Experience with Inclusion";"English";160480;"School Age Program";;"Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";;"Walking Distance to School; Transportation Not Provided";"Christine Duncan's Heritage Academy - Albuquerque";"6:45 AM - 06:00 PM";"6:45 AM - 06:00 PM";"6:45 AM - 06:00 PM";"6:45 AM - 06:00 PM";"6:45 AM - 06:00 PM";;;35.108623;-106.699481;
3359;"(FCCH) (SS) Las Tres Ardillas";"Zuni & Trumbull";"Albuquerque";"NM";87108;"505-712-1341";"Bernalillo";"niurka_alvarez@yahoo.com";;"3-STAR";"2, 3, 4, 5, 6-12 years old";"Full & Part Time, Full Year";"No Smoking; No Swimming Pool; No Guns (FCCH Only); Non Faith-based; Outdoor play area fenced";"Specific training on inclusive practices; Experience with Inclusion";"Spanish Speaking Only";155802;"Family Child Care";"Breakfast; Morning Snack; Lunch; Afternoon Snack; Dinner; Evening Snack; Special Diet";"Sibling Discount; Rates Negotiable; Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"No Pets or Animals";"Transportation Provided";"Cien Aquas International Charter - Albuquerque; Emerson Elem. - Albuquerque; La Luz Elem. - Albuquerque";"12:00 AM - 11:59 PM";"12:00 AM - 11:59 PM";"12:00 AM - 11:59 PM";"12:00 AM - 11:59 PM";"12:00 AM - 11:59 PM";"12:00 AM - 11:59 PM";"12:00 AM - 11:59 PM";35.0698722;-106.556957;
3188;"NMCFL @ Reginald Chavez Elementary School * (TEMP CLOSED)";"2700 Mountain Road NW";"Albuquerque";"NM";87104;"505-506-2706";"Bernalillo";"aapodaca@nmcfl.org";"www.nmcfl.org";"2-STAR Basic Licensure";"5, 6-12 years old";"Full & Part Time, School Year";"Wheelchair Accessible; Non Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Experience with Inclusion";"English; Spanish; Bilingual";155264;"School Age Program";"Afternoon Snack";"Sibling Discount; Rates Negotiable; Sliding scale based on family size/income; Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"No Pets or Animals";"Walking Distance to School; Transportation Not Provided";"Reginald Chavez Elem. - Albuquerque";"1:50 PM - 06:00 PM";"1:50 PM - 06:00 PM";"1:50 PM - 06:00 PM";"1:50 PM - 06:00 PM";"1:50 PM - 06:00 PM";;;35.0989747;-106.6794703;"505-242-3353"
4108;"CABQ Trumbull EHS";"419 Pennslyvania St. SE";"Albuquerque";"NM";87108;"505-767-6500";"Bernalillo";"mllamas@cabq.gov";;" ";"Infant, 1, 2 years old";"Full-Time, Full Year";;;"English; Spanish; Bilingual";;"(CCC) Head Start";;"Head Start; FREE-CALL FOR SESSION START/END TIMES";;"Transportation Not Provided";;;;;;;;;35.0699155;-106.5598013;
2030;"Trumbull Child Development (EMERG OPEN)";"419 Pennsylvania St. SE";"Albuquerque";"NM";87108;"505-767-6500";"Bernalillo";"mllamas@cabq.gov-development-programs";"www.cabq.gov/family/childcare";"2-STAR Basic Licensure";"Infant, 1, 2, 3 years old";"Full-Time, Full Year";"No Swimming Pool; Wheelchair Accessible; Non Faith-based; Outdoor play area fenced";"Experience with Inclusion";"English; Spanish; Bilingual";77809;"(CCC) Head Start";"Breakfast; Lunch; Afternoon Snack";"Head Start";"No Pets or Animals";"Transportation Not Provided";;"7:00 AM - 04:00 PM";"7:00 AM - 04:00 PM";"7:00 AM - 04:00 PM";"7:00 AM - 04:00 PM";"7:00 AM - 04:00 PM";;;35.0699155;-106.5598013;"505-256-2045"
2034;"-Reginald Chavez Head Start (TEMP CLOSED)";"2700 Mountain Rd NW";"Albuquerque";"NM";87104;"505-831-6038";"Bernalillo";"dbaca@ydinm.org";"www.ydinm.org";"2-STAR Basic Licensure";"3, 4, 5 years old";"Part-Time, School Year";;;"English; Spanish; Bilingual";94621;"(CCC) Head Start";;"Head Start; FREE-CALL FOR SESSION START/END TIMES";;"Transportation Not Provided";;"7:30 AM - 02:00 PM";"7:30 AM - 02:00 PM";"7:30 AM - 02:00 PM";"7:30 AM - 02:00 PM";"7:30 AM - 02:00 PM";;;35.0986764;-106.6791313;
3885;"NMPreK-C CABQ Plaza Feliz CDC (EMERG OPEN)";"517 San Pablo St SE";"Albuquerque";"NM";87108;"505-767-6500";"Bernalillo";"dmontano@cabq.gov";;" ";"4 years old";"Part-Time, School Year";;;;;"(CCC) NM PreK";;"FREE-CALL FOR SESSION START/END TIMES";;;;;;;;;;;35.070095;-106.563569;
4107;"CABQ - Plaza Feliz Early Head Start";"517 San Pablo St SE Bldg K";"Albuquerque";"NM";87108;"505-255-0201";"Bernalillo";"nrbaca@cabq.gov";;" ";"1, 2, 3 years old";"Full-Time, Full Year";;;"English; Spanish; Bilingual";;"(CCC) Head Start";;"Head Start; FREE-CALL FOR SESSION START/END TIMES";;"Transportation Not Provided";;;;;;;;;35.070095;-106.563569;"505-255-0247"
3383;"CABQ Plaza Feliz Child Development Center (EMERG OPEN)";"517 San Pablo Street Southeast Bldg K";"Albuquerque";"NM";87108;"505-767-6500";"Bernalillo";"nrbaca@cabq.gov-development-programs";"www.cabq.gov/family/childcare";"5-STAR";"4 years old";"Full & Part Time, Full Year";"No Swimming Pool; Wheelchair Accessible; Non Faith-based; Outdoor play area fenced";"Experience with Inclusion";"English; Spanish; Bilingual";158165;"Child Care Center";"Breakfast; Morning Snack; Lunch; Afternoon Snack";"Sliding scale based on family size/income; Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"No Pets or Animals";"Transportation Not Provided";;"8:00 AM - 04:30 PM";"8:00 AM - 04:30 PM";"8:00 AM - 04:30 PM";"8:00 AM - 04:30 PM";"8:00 AM - 04:30 PM";;;35.070095;-106.563569;
3946;"NMPreK-C Little Flower Learning Center (EMERG OPEN)";"5204 Zuni Rd SE";"Albuquerque";"NM";87108;"505-265-6020";"Bernalillo";;;" ";"3, 4 years old";"Part-Time, School Year";;;;;"(CCC) NM PreK";;"FREE-CALL FOR SESSION START/END TIMES";;;;;;;;;;;35.0726263;-106.5874809;
149;"Little Flower Learning Center (EMERG OPEN)";"5204 Zuni Rd SE";"Albuquerque";"NM";87108;"505-265-6020";"Bernalillo";"RobinLuna1@gmail.com";"www.littleflowerlc.org";"5-STAR";"Infant, 1, 2, 3, 4, 5, 6-12 years old";"Full & Part Time, Full Year";"No Swimming Pool; Wheelchair Accessible; Non Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Specific training on inclusive practices; Experience with Inclusion";"English; Spanish; Bilingual";11607;"Child Care Center";"Breakfast; Lunch; Afternoon Snack";"Sibling Discount; Rates Negotiable; Scholarships; Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"Hamsters/Guinea Pigs/Mice; Indoor/Outdoor; Fish or Amphibian; Dog(s); Bird(s); Barnyard/Farm/Ranch Animals";"Transportation Provided";"Bandelier Elem. - Albuquerque; Cien Aquas International Charter - Albuquerque; Emerson Elem. - Albuquerque; La Mesa Elem. - Albuquerque; Lowell Elem. - Albuquerque; Wherry Elem. - Sandia Base; Whittier Elem. - Albuquerque";"6:00 AM - 06:00 PM";"6:00 AM - 06:00 PM";"6:00 AM - 06:00 PM";"6:00 AM - 06:00 PM";"6:00 AM - 06:00 PM";;;35.0726263;-106.5874809;"505-280-5069"
3586;"(FCCH) (LD) (SSB) Dylan Home Child Care LLC (EMERG OPEN)";"Zuni & Wyoming";"Albuquerque";"NM";87123;"505-339-0015";"Bernalillo";"dylanhomecc@gmail.com";;"4-STAR";"Infant, 1, 2, 3, 4, 5, 6-12 years old";"Full & Part Time, Full Year";"No Smoking; No Swimming Pool; No Guns (FCCH Only); Non Faith-based; Outdoor play area fenced";"Specific training on inclusive practices; Experience with Inclusion";"English; Spanish; Bilingual";162020;"Family Child Care";"Breakfast; Morning Snack; Lunch; Afternoon Snack; Dinner; Evening Snack; Special Diet";"Sibling Discount; Rates Negotiable; Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"Dog(s)";"Transportation Provided";"Emerson Elem. - Albuquerque; La Mesa Elem. - Albuquerque; Manzano Mesa Elem. - Albuquerque; Mark Twain Elem. - Albuquerque";"12:00 AM - 11:59 PM";"12:00 AM - 11:59 PM";"12:00 AM - 11:59 PM";"12:00 AM - 11:59 PM";"12:00 AM - 11:59 PM";"12:00 AM - 11:59 PM";;35.0684952;-106.5481358;"505-910-6567"
1679;"(FCCH) (LD) Toni's In-Home Child Care (EMERG OPEN)";"Unser & Bob McCannon";"Albuquerque";"NM";87120;"505-236-8889";"Bernalillo";"tkclark32@aol.com";;"2-STAR Basic Licensure";"Infant, 1, 2, 3, 4, 5 years old";"Full-Time, Full Year";"No Smoking; No Swimming Pool; Wheelchair Accessible; No Guns (FCCH Only); Non Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Experience with Inclusion";"English";63309;"Family Child Care";"Breakfast; Morning Snack; Lunch; Afternoon Snack; Dinner";"Sibling Discount; No Child Care Assistance Accepted";"Indoor/Outdoor; Cat(s)";"Transportation Not Provided";;"6:30 AM - 05:30 PM";"6:30 AM - 05:30 PM";"6:30 AM - 05:30 PM";"6:30 AM - 05:30 PM";"6:30 AM - 05:30 PM";;;35.1198052;-106.7232699;"505-836-3717"
2368;"Crestview SDA Academy (EMERG OPEN)";"6000 Ouray Rd NW";"Albuquerque";"NM";87120;"505-836-0536";"Bernalillo";"office@csdaa.org";;"2-STAR Basic Licensure";"3, 4, 5, 6-12 years old";"Full-Time, School Year";"No Swimming Pool; Wheelchair Accessible; Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Specific training on inclusive practices; Experience with Inclusion";"English; Spanish; Bilingual";20065;"Child Care Center";"Parents must send meals/snacks";"Sibling Discount; Scholarships; Accepts Full Time Child Care Assistance";"No Pets or Animals";"Transportation Not Provided";;"7:30 AM - 05:30 PM";"7:30 AM - 05:30 PM";"7:30 AM - 05:30 PM";"7:30 AM - 05:30 PM";"7:30 AM - 04:30 PM";;;35.110929;-106.707935;
246;"Manzano Day School";"1801 Central Ave NW";"Albuquerque";"NM";87104;"505-243-6659 EXT 207";"Bernalillo";"melissabentley@manzanodayschool.org";"www.manzanodayschool.org";"2-STAR Basic Licensure";"4, 5 years old";"Full-Time, School Year";"No Swimming Pool; Wheelchair Accessible; Non Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Specific training on inclusive practices; Experience with Inclusion";"English";80506;"Child Care Center";"Parents must send meals/snacks";"Scholarships; No Child Care Assistance Accepted";"No Pets or Animals";"Near Public Transportation; Transportation Not Provided";;"8:30 AM - 03:15 PM";"8:30 AM - 03:15 PM";"8:30 AM - 03:15 PM";"8:30 AM - 03:15 PM";"8:30 AM - 03:15 PM";;;35.091708;-106.6663914;
3584;"(FCCH) Vanessa's Home Away From Home (EMERG OPEN)";"Unser & Ouray";"Albuquerque";"NM";87120;"505-730-4214";"Bernalillo";"nessa7727@yahoo.com";;"No Rating - Registered";"1, 2, 3, 4, 5 years old";"Full-Time, Full Year";"No Smoking; No Swimming Pool; Faith-based; No Guns (FCCH Only); Outdoor play area fenced";"No Experience or Training";"English";161754;"(FCC) Registered Family Child Care";"Breakfast; Morning Snack; Lunch; Afternoon Snack";"Sibling Discount; No Child Care Assistance Accepted";"Indoor/Outdoor; Dog(s)";"Walking Distance to School; Transportation Not Provided";"Horizon Academy West Charter - Albuquerque";"7:30 AM - 05:30 PM";"7:30 AM - 05:30 PM";"7:30 AM - 05:30 PM";"7:30 AM - 05:30 PM";"7:30 AM - 05:30 PM";;;35.1209633;-106.7262973;
337;"Shandiin Child Development Center (EMERG OPEN)";"522 Juan Tabo Blvd. SE";"Albuquerque";"NM";87123;"505-299-1354";"Bernalillo";"shandiindirector@yahoo.com";;"5-STAR";"Infant, 1, 2, 3, 4, 5 years old";"Full & Part Time, Full Year";"No Swimming Pool; Non Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Specific training on inclusive practices; Experience with Inclusion";"English; Spanish; Bilingual";90040;"Child Care Center";"Breakfast; Morning Snack; Lunch; Afternoon Snack";"Sibling Discount; Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"No Pets or Animals";"Near Public Transportation; Transportation Not Provided";;"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";;;35.066317;-106.5157317;
3873;"NMPreK-C CABQ Emerson Child Development (EMERG OPEN)";"620 Georgia SE";"Albuquerque";"NM";87108;"505-767-6500";"Bernalillo";"dmontano@cabq.gov";;" ";"4 years old";"Part-Time, School Year";;;;;"(CCC) NM PreK";;"FREE-CALL FOR SESSION START/END TIMES";;;;;;;;;;;35.0678133;-106.5715278;
3700;"NMPreK-P (APS) Emerson Elementary";"620 Georgia St SE";"Albuquerque";"NM";87108;"505-255-9091";"Bernalillo";;;" ";"4 years old";"Part-Time, School Year";;;;;"(CCC) NM PreK";;"FREE-CALL FOR SESSION START/END TIMES";;;;;;;;;;;35.0678133;-106.5715278;
2029;"CABQ Emerson Child Development (EMERG OPEN)";"620 Georgia St. SE";"Albuquerque";"NM";87108;"505-767-6500";"Bernalillo";"ehenley@cabq.gov-development-programs";"www.cabq.gov/family/childcare";"5-STAR";"4 years old";"Full-Time, Full Year";"No Swimming Pool; Wheelchair Accessible; Non Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Experience with Inclusion";"English; Spanish; Bilingual";53301;"Child Care Center";"Breakfast; Lunch; Afternoon Snack";"Sliding scale based on family size/income; Accepts Full Time Child Care Assistance";"Fish or Amphibian";"Walking Distance to School; Transportation Not Provided";"Emerson Elem. - Albuquerque";"7:00 AM - 05:30 PM";"7:00 AM - 05:30 PM";"7:00 AM - 05:30 PM";"7:00 AM - 05:30 PM";"7:00 AM - 05:30 PM";;;35.0678133;-106.5715278;
790;"Immanuel Lutheran Preschool (EMERG OPEN)";"300 Gold Ave SE";"Albuquerque";"NM";87102;"505-243-5665";"Bernalillo";"ils@abq.org";"www.immanuelabq.org";"3-STAR";"2, 3, 4, 5 years old";"Full & Part Time, Full Year";"No Swimming Pool; Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Specific training on inclusive practices; Experience with Inclusion";"English";95348;"Child Care Center";"Morning Snack; Afternoon Snack; Parents must send meals/snacks";"Sibling Discount; Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";;"Walking Distance to School; Transportation Not Provided";;"7:00 AM - 05:30 PM";"7:00 AM - 05:30 PM";"7:00 AM - 05:30 PM";"7:00 AM - 05:30 PM";"7:00 AM - 05:30 PM";;;35.0820741;-106.6426814;
3825;"NMPreK-P Horizon Academy West Charter";"3021 Todos Santos Rd NW";"Albuquerque";"NM";87120;"505-998-0459";"Bernalillo";;;" ";"4 years old";"Part-Time, School Year";;;;;"(CCC) NM PreK";;"FREE-CALL FOR SESSION START/END TIMES";;;;;;;;;;;35.1170571;-106.7230493;
2024;"Presbyterian Ear Institute (EMERG OPEN)";"415 Cedar St SE";"Albuquerque";"NM";87106;"505-224-7020";"Bernalillo";"reception@peiabq.org";"www//";"2-STAR Basic Licensure";"Infant, 1, 2, 3, 4, 5 years old";"Full & Part Time, School Year";"No Swimming Pool; Wheelchair Accessible; Non Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Specific training on inclusive practices; Experience with Inclusion";"English; Spanish; Bilingual";94672;"Child Care Center";"Parents must send meals/snacks";"Rates Negotiable; Scholarships; Sliding scale based on family size/income; Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"No Pets or Animals";"Transportation Not Provided";;"7:30 AM - 04:30 PM";"7:30 AM - 04:30 PM";"7:30 AM - 04:30 PM";"7:30 AM - 04:30 PM";"7:30 AM - 03:00 PM";;;35.0789159;-106.6348868;
1653;"CABQ Singing Arrow Child Dev (EMERG OPEN)";"13001 Singing Arrow Ave SE";"Albuquerque";"NM";87123;"505-767-6500";"Bernalillo";"fernandezanita@cabq.gov-development-programs";"www.cabq.gov/family/childcare";"5-STAR";"4 years old";"Full & Part Time, Full Year";"No Swimming Pool; Wheelchair Accessible; Non Faith-based; Outdoor play area fenced";"Experience with Inclusion";"English; Spanish; Bilingual";90076;"Child Care Center";"Breakfast; Lunch; Afternoon Snack";"Sliding scale based on family size/income; Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"No Pets or Animals";"Transportation Not Provided";;"8:00 AM - 05:30 PM";"8:00 AM - 05:30 PM";"8:00 AM - 05:30 PM";"8:00 AM - 05:30 PM";"8:00 AM - 05:30 PM";;;35.0646541;-106.5012838;
3887;"NMPreK-C CABQ Singing Arrow CDC (EMERG OPEN)";"13001 Singing Arrow SE";"Albuquerque";"NM";87123;"505-767-6500";"Bernalillo";"dmontano@cabq.gov";;" ";"4 years old";"Part-Time, School Year";;;;;"(CCC) NM PreK";;"FREE-CALL FOR SESSION START/END TIMES";;;;;;;;;;;35.0646541;-106.5012838;
393;"Children's Choice at Bandelier (EMERG OPEN)";"3309 Pershing Ave SE";"Albuquerque";"NM";87106;"505-296-2880";"Bernalillo";"ashcraft@childrens-choice.org-choice.org";"www.childrens";"5-STAR";"5, 6-12 years old";"Full & Part Time, Full Year";"No Swimming Pool; Wheelchair Accessible; Non Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Specific training on inclusive practices; Experience with Inclusion";"English";72674;"School Age Program";"Morning Snack; Lunch; Afternoon Snack";"Sibling Discount; Scholarships; Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"No Pets or Animals";"Walking Distance to School; Transportation Not Provided";"Bandelier Elem. - Albuquerque";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";;;35.07092;-106.606931;"505-459-0576"
4252;"(FCCH) (SSB) Citykids Early Learning Center (EMERG OPEN)";"Central & Tramway";"Albuquerque";"NM";87123;"505-304-4461";"Bernalillo";"yanitse01@yahoo.com";;"2-STAR Basic Licensure";"Infant, 1, 2, 3, 4, 5, 6-12 years old";"Full & Part Time, Full Year";"No Smoking; No Swimming Pool; No Guns (FCCH Only); Non Faith-based; Outdoor play area fenced";"No Experience or Training";"English; Spanish; Bilingual";167951;"Family Child Care";"Breakfast; Morning Snack; Lunch; Afternoon Snack; Dinner; Special Diet";"Rates Negotiable; Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"No Pets or Animals";"Transportation Provided";"Manzano Mesa Elem. - Albuquerque";"6:00 AM - 08:00 PM";"6:00 AM - 08:00 PM";"6:00 AM - 08:00 PM";"6:00 AM - 08:00 PM";"6:00 AM - 08:00 PM";;;35.0630901;-106.5042524;
1567;"Wesley Kids Childcare & Preschool (EMERG OPEN)";"315 Coal Ave SW";"Albuquerque";"NM";87102;"505-247-2404";"Bernalillo";"wkad@firstumcabq.org";;"5-STAR";"Infant, 1, 2, 3, 4, 5 years old";"Full & Part Time, Full Year";"No Swimming Pool; Wheelchair Accessible; Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Specific training on inclusive practices; Experience with Inclusion";"English";10361;"Child Care Center";"Breakfast; Lunch; Afternoon Snack";"Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"Fish or Amphibian";"Walking Distance to School; Near Public Transportation; Transportation Not Provided";"Coronado Elem. - Albuquerque";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";;;35.0811418;-106.6517005;
1796;"CABQ Tres Manos Child Development Center (EMERG OPEN)";"823 Buena Vista Dr SE";"Albuquerque";"NM";87106;"505-767-6500";"Bernalillo";"afernandez@cabq.gov-development-programs";"www.cabq.gov/family/childcare";"5-STAR";"3 years old";"Full & Part Time, Full Year";"No Swimming Pool; Wheelchair Accessible; Non Faith-based; Outdoor play area fenced";"Experience with Inclusion";"English; Spanish; Bilingual";53298;"Child Care Center";"Breakfast; Lunch; Afternoon Snack";"Sliding scale based on family size/income; Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"No Pets or Animals";"Transportation Not Provided";;"7:00 AM - 05:30 PM";"7:00 AM - 05:30 PM";"7:00 AM - 05:30 PM";"7:00 AM - 05:30 PM";"7:00 AM - 05:30 PM";;;35.0733763;-106.6246174;
3889;"NMPreK-C CABQ Tres Manos CDC (EMERG OPEN)";"823 Buena Vista SE";"Albuquerque";"NM";87106;"505-767-6500";"Bernalillo";"dmontano@cabq.gov";;" ";"3 years old";"Part-Time, School Year";;;;;"(CCC) NM PreK";;"FREE-CALL FOR SESSION START/END TIMES";;;;;;;;;;;35.0733763;-106.6246174;"505-848-1310"
3866;"NMPreK-C Christina Kent Early Childhood Center (EMERG OPEN)";"423 Third Street SW";"Albuquerque";"NM";87102;"505-242-0557";"Bernalillo";"allison@christinakent.org";;" ";"4 years old";"Part-Time, School Year";;;;;"(CCC) NM PreK";;"FREE-CALL FOR SESSION START/END TIMES";;;;;;;;;;;35.0806589;-106.6513154;
1105;"Christina Kent Early Childhood Center (EMERG OPEN)";"423 Third St. SW";"Albuquerque";"NM";87102;"505-242-0557";"Bernalillo";"clarissa@christinakent.org";"www.christinakent.org";"5-STAR";"2, 3, 4, 5 years old";"Full-Time, Full Year";"No Swimming Pool; Wheelchair Accessible; Non Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Specific training on inclusive practices; Experience with Inclusion";"English; Spanish; Bilingual";11067;"Child Care Center";"Breakfast; Lunch; Afternoon Snack";"Sliding scale based on family size/income; Accepts Full Time Child Care Assistance";"Fish or Amphibian";"Transportation Not Provided";;"8:00 AM - 05:00 PM";"8:00 AM - 05:00 PM";"8:00 AM - 05:00 PM";"8:00 AM - 05:00 PM";"8:00 AM - 05:00 PM";;;35.0806589;-106.6513154;
2038;"CABQ Manzano Mesa Child Development (EMERG OPEN)";"801 Elizabeth St SE";"Albuquerque";"NM";87123;"505-767-6500";"Bernalillo";"mendezroberto@cabq.gov-development-programs";"www.cabq.gov/family/childcare";"5-STAR";"4 years old";"Full & Part Time, Full Year";"No Swimming Pool; Non Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Experience with Inclusion";"English; Spanish; Bilingual; Tewa";120105;"Child Care Center";"Breakfast; Lunch; Afternoon Snack";"Sliding scale based on family size/income; Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"No Pets or Animals";"Walking Distance to School; Transportation Not Provided";"Manzano Mesa Elem. - Albuquerque";;"8:00 AM - 04:00 PM";"8:00 AM - 04:00 PM";"8:00 AM - 04:00 PM";"8:00 AM - 04:00 PM";;;35.0615332;-106.5247409;
1040;"Childrens Choice at Manzano Mesa (EMERG OPEN)";"801 Elizabeth St SE";"Albuquerque";"NM";87123;"505-296-2880";"Bernalillo";"ashcraft@childrens-choice.org-choice.org";"www.childrens";"5-STAR";"5, 6-12 years old";"Full & Part Time, School Year";"No Swimming Pool; Wheelchair Accessible; Outdoor play area fenced";"Program has strong commitment to inclusion; Specific training on inclusive practices; Experience with Inclusion";"English";118325;"School Age Program";"Morning Snack; Afternoon Snack; Parents must send meals/snacks";"Sibling Discount; Scholarships; Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"No Pets or Animals";"Walking Distance to School; Near Public Transportation; Transportation Not Provided";"Manzano Mesa Elem. - Albuquerque";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";;;35.0615332;-106.5247409;"505-974-9321"
3882;"NMPreK-C CABQ Manzano Mesa CDC (EMERG OPEN)";"801 Elizabeth SE";"Albuquerque";"NM";87123;"505-767-6500";"Bernalillo";"dmontano@cabq.gov";;" ";"4 years old";"Part-Time, School Year";;;;;"(CCC) NM PreK";;"FREE-CALL FOR SESSION START/END TIMES";;;;;;;;;;;35.0615332;-106.5247409;
3288;"RGEC @ Sandia Base Elementary School * (TEMP CLOSED)";"21001 Wyoming Blvd SE";"Albuquerque";"NM";87116;"505-873-6035";"Bernalillo";"mlujan@rgec.org";"www.rgec.org";"2-STAR Basic Licensure";"5, 6-12 years old";"Part-Time, School Year";"No Swimming Pool; Wheelchair Accessible; Non Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Experience with Inclusion";"English";156158;"School Age Program";"Breakfast; Afternoon Snack";"Sibling Discount; Accepts Part Time Child Care Assistance";"No Pets or Animals";"Walking Distance to School; Transportation Not Provided";"Sandia Base Elem. - Albuquerque";"6:45 AM - 06:00 PM";"6:45 AM - 06:00 PM";"6:45 AM - 06:00 PM";"6:45 AM - 06:00 PM";"6:45 AM - 06:00 PM";;;35.0617738;-106.5493872;
586;"(FCCH) In Home Care (EMERG OPEN)";"Gibson & San Mateo";"Albuquerque";"NM";87108;"505-319-4889";"Bernalillo";;;"No Rating - Registered";"2, 3, 4, 5, 6-12 years old";"Full & Part Time, Full Year";"No Smoking; No Swimming Pool; Faith-based; No Guns (FCCH Only); Outdoor play area fenced";"Program has strong commitment to inclusion; Experience with Inclusion";"English; Spanish; Bilingual";19294;"(FCC) Registered Family Child Care";"Breakfast; Morning Snack; Lunch; Afternoon Snack; Dinner; Evening Snack";"Sibling Discount; Rates Negotiable; Sliding scale based on family size/income; Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"Outdoor Only; Dog(s)";"Transportation Provided; Near Public Transportation";;"6:00 AM - 09:00 PM";"6:00 AM - 09:00 PM";"6:00 AM - 09:00 PM";"6:00 AM - 09:00 PM";"6:00 AM - 09:00 PM";;;35.0641652;-106.5794996;
3702;"NMPreK-P (APS) Eugene Field Elementary";"700 Edith Blvd SE";"Albuquerque";"NM";87102;"505-764-2014";"Bernalillo";;;" ";"4 years old";"Part-Time, School Year";;;;;"(CCC) NM PreK";;"FREE-CALL FOR SESSION START/END TIMES";;;;;;;;;;;35.0767156;-106.642808;"505-253-0321"
4327;"NMPreK-P (APS) Whittier Elementary";"1110 Quincy St SE";"Albuquerque";"NM";87108;"505-255-2008";"Bernalillo";;;" ";"4 years old";"Part-Time, School Year";;;;;"(CCC) NM PreK";;"FREE-CALL FOR SESSION START/END TIMES";;;;;;;;;;;35.0644695;-106.5888392;
