"Name";"LegalEntityName";"Type";"StarRating";"Street";"City";"State";"Zip";"Latitude";"Longitude";"Phone";"Fax";"Email";"Website";"Program";"OtherProgramOffered";"ReferralStatus";"MaximumCapacity";"ProvisionalLicense";"RevokedLicense";"CountiesServed";"SchoolDistrict";"Curriculum";"LeadOrganization";"HoursSunday";"HoursMonday";"HoursTuesday";"HoursWednesday";"HoursThursday";"HoursFriday";"HoursSaturday";"CallerLanguage";"HeadStart";"Languages";"GeneralSchedule";"ServiceSchedule";"SpecialAccomodations";"SubsidyStatus";"PaymentOption";"AdditionalFee";"MealOptions";"Discounts";"CertificateNumber";"UID"
"Hamilton School";;;4;"1791 N 6th St";"Harrisburg";"PA";17102;40.277042;-76.888527;7177031341;;;;"HDS";"HDS";"INA";;"N";"N";"Dauphin";"Central Dauphin , Harrisburg City , Middletown Area";"High Scope";"Keystone Service Systems Inc";;;;;;;;;;;;;;;;;;;;"0cd30fb7e536d9a5321195debf1ea071"
"Capital Area Head Start-Granite Street";;;4;"1709 N 4th St";"Harrisburg";"PA";17102;40.275228;-76.890846;7172337712;;;;"HDS";"HDS";"INN";;"N";"N";"Dauphin";"Harrisburg City";;"Keystone Service Systems Inc";;;;;;;;;;;;;;;;;;;;"288bf6ac2854ac8028ca4d2c3c33e59e"
"Ben Franklin Elementary";;;0;"1205 N 6th St";"Harrisburg";"PA";17102;40.269871;-76.885561;7177031200;;;;"HDS";"HDS,PKC";"INA";;"N";"N";"Dauphin";"Harrisburg City";;"Keystone Service Systems Inc";;;;;;;;;;;;;;;;;;;;"f24c82c4e42f527f19979cafdce719b5"
"Growing Hope Child Care Center";;"CTR";1;"1419 N 2nd St";"Harrisburg";"PA";17102;40.270065;-76.892475;0;;;;"CCP";"CCP";"INN";;"N";"N";;;;;;;;;;;;;"No";;;;;"Eligible Subsidy Provider";;;;;"CER-00163082";"344c6efa857bf5f2171506338cf4a9f4"
"Bright Futures Licensed Nursery";;;0;"1745 N Cameron St";"Harrisburg";"PA";17103;40.279695;-76.879717;7172362000;;;"www.brightfuturespa.org";"LNS";"PKC,LNS";"INA";;"N";"N";"Cumberland, Dauphin, Perry, York";"Camp Hill , West Shore , Harrisburg City , Steelton-Highspire , Susquehanna Township , Susquenita";;"Bright Futures Early Learning Academy Of Pa Inc";;;;;;;;;;;;;;;;;;;;"49f21c46db57c43250d9b8cc50e31f7a"
"Hansel And Gretel Early Learning Center";"Hansel And Gretel Early Learning Ctr Inc";"CTR";4;"2206 Walnut St";"Harrisburg";"PA";17103;40.274709;-76.85566;7172343309;;;;"CCP";"CCP,PKC";"ACT";144;"N";"N";;"Susquehanna Township - Serviced by school bus";;;;"7:00 AM - 5:30 PM";"7:00 AM - 5:30 PM";"7:00 AM - 5:30 PM";"7:00 AM - 5:30 PM";"7:00 AM - 5:30 PM";;;"No";"American Sign Language, Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Activity, Field Trip, Late Payment, Late Pick-up, Registration";"Breakfast, Lunch, PM Snack, Child and Adult Care Food Program (CACFP) Meals";"Multi-Child (10% - OFF EACH FT CHILD), Employee (50% - off all ages except inf.(FT))";"CER-00167812";"32ab5f20f99e752439718fc8461504f6"
"Bright Futures Learning Centers Inc";;"CTR";4;"1745 N Cameron St";"Harrisburg";"PA";17103;40.279695;-76.879717;0;;;;"CCP";"CCP,PKC";"INN";;"N";"N";;;;;;;;;;;;;"No";;;;;"Eligible Subsidy Provider";;;;;"CER-00157251";"c7fe9db0fe33e793d9cf776aec6fd8ba"
"Ywca Child Development Center";"Ywca Of Greater Harrisburg";"CTR";3;"1101 Market St";"Harrisburg";"PA";17103;40.26447;-76.874499;7172347931;;;"www.ywcahbg.org";"CCP";"CCP";"ACT";162;"N";"N";;"Harrisburg City - Escorted to/from school";;;;"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";;;"No";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Weekdays, Drop-In Care";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Weekdays, Drop-In Care";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation, Scholarships/United Way/Sliding Fee Scales";"Activity, Field Trip, Late Pick-up, Registration, Tuition";"Breakfast, Lunch, PM Snack, Child and Adult Care Food Program (CACFP) Meals, Special Dietary Needs";"Employee (60% - CHILD CARE STAFF), Multi-Child ($5.00 - APPLY TO OLDEST), Employee (50% - YWCA STAFF-NOT CC)";"CER-00161909";"8fcbcc26a1d09782f3a717649c47081d"
"Retikis Open Arms Childcare 2";"Retikis Open Arms Childcare 2 Llc";"CTR";2;"3050 Canby St Ste B";"Harrisburg";"PA";17103;40.277841;-76.842614;7175258755;;;;"CCP";"CCP";"ACT";38;"N";"N";;;;;;"6:30 AM - 6:30 PM";"6:30 AM - 6:30 PM";"6:30 AM - 6:30 PM";"6:30 AM - 6:30 PM";"6:30 AM - 6:30 PM";;;"No";;"School District Holidays, Early Dismissal School Days, Before School";"School District Holidays, Early Dismissal School Days, Before School";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Field Trip, Late Payment, Late Pick-up, Registration, Transportation, Tuition";"Breakfast, Lunch, PM Snack";"Multi-Child ($2.00 - Apply to youngest child), Employee (20% - Apply to all children)";"CER-00162514";"d46760b1ce93e41c1e66760fdce86c13"
"Sandra M Sawyers Group Day Care Home";"Sandra M Sawyers";"GRP";2;"1314 Herr St";"Harrisburg";"PA";17103;40.274106;-76.873479;7172360999;;;;"CCP";"CCP";"ACT";12;"N";"N";;"Harrisburg City - Escorted to/from school";;;"6:30 AM - 4:30 PM";"6:30 AM - 5:30 PM";"6:30 AM - 5:30 PM";"6:30 AM - 5:30 PM";"6:30 AM - 5:30 PM";"6:30 AM - 5:30 PM";;;"No";;"Early Dismissal School Days, School District Snow Days, Before School, After School, Summer Only, Full Year, Weekdays, Drop-In Care, Flexible Schedule";"Early Dismissal School Days, School District Snow Days, Before School, After School, Summer Only, Full Year, Weekdays, Drop-In Care, Flexible Schedule";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Bounced Check, Late Payment, Late Pick-up, Registration, Transportation";"Breakfast, Lunch, PM Snack, Dinner";;"CER-00164896";"9fb547e537eb63be4a40aac33e6fbbd5"
"Tiny Fingers Tiny Toes Early Childcare Academy";"2023 Market Street Daycare Holdings Llc";"CTR";2;"2023 Market St";"Harrisburg";"PA";17103;40.269346;-76.857183;7175258034;;;;"CCP";"CCP";"ACT";122;"N";"N";;"Harrisburg City - Pick-Up service to/from school";;;;"6:00 AM - 5:30 PM";"6:00 AM - 5:30 PM";"6:00 AM - 5:30 PM";"6:00 AM - 5:30 PM";"6:00 AM - 5:30 PM";;;"No";"Spanish";"School District Holidays, Early Dismissal School Days, Before School, After School, Full Year";"School District Holidays, Early Dismissal School Days, Before School, After School, Full Year";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Bounced Check, Late Payment, Late Pick-up, Registration, Transportation, Tuition";"Breakfast, Lunch, PM Snack, Child and Adult Care Food Program (CACFP) Meals";"Multi-Child (10% - OF THE 2ND CHILD), Employee (50% - APPLIES TO ALL CHILDREN)";"CER-00164894";"1de71e15fe2923c9f973c1c6a331f4b8"
"Little Blessings Early Learning Center";"The Learning Zone Llc";"CTR";1;"41 N 13th St";"Harrisburg";"PA";17103;40.267092;-76.870577;7177609117;;;;"CCP";"CCP";"ACT";93;"N";"N";;"Central Dauphin - Escorted to/from school, Harrisburg City - Escorted to/from school, Steelton-Highspire - Escorted to/from school, Susquehanna Township - Escorted to/from school";;;;"6:00 AM - 11:00 PM";"6:00 AM - 11:00 PM";"6:00 AM - 11:00 PM";"6:00 AM - 11:00 PM";"6:00 AM - 11:00 PM";;;"No";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Evening Care, Weekdays";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Evening Care, Weekdays";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Entertainment, Field Trip, Late Payment, Late Pick-up, Registration, Transportation, Tuition";"Breakfast, Lunch, PM Snack";;"CER-00168383";"ef1d665236c5e71e8711edb1d023c518"
"Active Minds Daycare";;"FMY";1;"1813 Whitehall St";"Harrisburg";"PA";17103;40.270449;-76.86432;0;;;;"CCP";"CCP";"INN";;"N";"N";;;;;;;;;;;;;"No";;;;;"Eligible Subsidy Provider";;;;;"CER-00161175";"b6c5d525acc235a678ffe3091442ddc7"
"Jessica Williams";"Jessica Williams";"FMY";2;"2836 Banks St";"Harrisburg";"PA";17103;40.277076;-76.844943;7175576969;;;;"CCP";"CCP";"ACT";6;"N";"N";;;;;"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Overnight Care, Evening Care, Weekdays, Flexible Schedule, 24 Hour Care";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Overnight Care, Evening Care, Weekdays, Flexible Schedule, 24 Hour Care";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Bounced Check, Late Payment, Late Pick-up, Tuition";"Breakfast, AM Snack, Lunch, PM Snack";;"CER-00161631";"1f415b525ec925290ea3403eaeddbb88"
"Downey School";;;4;"1313 Monroe St";"Harrisburg";"PA";17103;40.274659;-76.877047;7177031240;;;;"HDS";"HDS,PKC";"INA";;"N";"N";"Dauphin";"Harrisburg City";;"Keystone Service Systems Inc";;;;;;;;;;;;;;;;;;;;"07806e77a08a3266d73e6e53c607a2f9"
"Capital Area Head Start Martin Luther King";;;4;"1654 Walnut St";"Harrisburg";"PA";17103;40.269979;-76.866385;7172334220;;;;"HDS";"HDS";"INN";;"N";"N";"Dauphin";"Harrisburg City";;"Keystone Service Systems Inc";;;;;;;;;;;;;;;;;;;;"ba7f618a7608774909b106313cd93b6b"
"St Francis";;;4;"1439 Market St";"Harrisburg";"PA";17103;40.266384;-76.867812;0;;;;"HDS";"HDS";"INA";;"N";"N";"Dauphin";"Harrisburg City";"High Scope";"Keystone Service Systems Inc";;;;;;;;;;;;;;;;;;;;"41d1db09d0e78e95bed9248e898b8d66"
"Rock Church";;;0;"1501 Market St";"Harrisburg";"PA";17103;40.266656;-76.86684;7173179173;;;;"HDS";"HDS";"INA";;"N";"N";"Dauphin";"Harrisburg City";;"Keystone Service Systems Inc";;;;;;;;;;;;;;;;;;;;"b9f22bad09bd61a94ae8a27ec185c8fc"
"Capital Area Head Start";;;0;"51 Banks St";"Harrisburg";"PA";17103;40.277586;-76.84901;7172327509;;;;"HDS";"HDS";"INA";;"N";"N";"Dauphin";"Harrisburg City";"High Scope";"Keystone Service Systems Inc";;;;;;;;;;;;;;;;;;;;"0f75c6a43c6c307531cc0eb04d004ed4"
"Bright Futures Learning Centers Inc";;;4;"1745 N Cameron St";"Harrisburg";"PA";17103;40.279695;-76.879717;7176959773;;;;"PKC";"CCP,PKC";"INN";343;"N";"N";"Dauphin";"Harrisburg City";"Creative Curriculum";"Bright Futures Learning Center Inc";;;;;;;;;;;;;;;;;;;"CER-00157251";"32cba0b66e4a75d12951b92f2b548fc8"
"Hansel And Gretel Early Learning Center";"Hansel And Gretel Early Learning Ctr Inc";;4;"2206 Walnut St";"Harrisburg";"PA";17103;40.274709;-76.85566;7172343309;;;;"PKC";"CCP,PKC";"ACT";144;"N";"N";"Dauphin";"Harrisburg City , Susquehanna Township";"Creative Curriculum";"Hansel And Gretel Early Learning Ctr Inc";;;;;;;;;;;;;;;;;;;"CER-00167812";"e279813ca2b37c22199b6112c716d7ee"
"Capital Area Head Start - Foose";;;4;"1301 Sycamore St";"Harrisburg";"PA";17104;40.251531;-76.862572;0;;;;"PKC";"HDS,PKC";"INA";;"N";"N";"Dauphin";"Harrisburg City";"High Scope";"Keystone Service Systems Inc";;;;;;;;;;;;;;;;;;;;"356129aae9975b38fc8731cf97a3a84e"
"Scott Early Childhood Center";;;0;"1900 Derry St";"Harrisburg";"PA";17104;40.261597;-76.857944;0;;;;"PKC";"PKC";"INA";;"N";"N";"Dauphin";"Harrisburg City";"Creative Curriculum";"Harrisburg School District";;;;;;;;;;;;;;;;;;;;"d84d2f17b1ff151b06f47172c712dbc1"
"Mikaylas Place";;"CTR";0;"914 S 13th St";"Harrisburg";"PA";17104;40.253025;-76.864191;0;;;;"CCP";"CCP";"INN";;"N";"Y";;;;;;;;;;;;;"No";;;;;"Eligible Subsidy Provider";;;;;"CER-00149831";"6b0b77fe58245793ca5ca72fef5583c6"
"Ame Bethany";;;0;"921 S 21st St";"Harrisburg";"PA";17104;40.260024;-76.852451;0;;;;"HDS";"HDS";"INA";;"N";"N";"Dauphin";"Harrisburg City";;"Keystone Service Systems Inc";;;;;;;;;;;;;;;;;;;;"8dbcc4f62216bd6a7928f371d95da452"
"Capital Area Head Start/Marshall Elem";;;0;"301 Hale Ave";"Harrisburg";"PA";17104;40.268105;-76.846977;7177031413;;;;"HDS";"HDS";"INN";;"N";"N";"Dauphin";"Harrisburg City";"High Scope";"Keystone Service Systems Inc";;;;;;;;;;;;;;;;;;;;"6243054ca6131303aa358e05b9b36ba2"
"Heaven Sent Academy";"Heaven Sent Academy Llc";;1;"201 N Progress Ave";"Harrisburg";"PA";17109;40.288501;-76.842729;7176515820;;;"www.heavensentcenters.com";"LNS";"CCP,LNS";"ACT";45;"N";"N";"Dauphin";;;"Heaven Sent Academy Llc";;;;;;;;;;;;;;;;;;;"CER-00168756";"112a1abb313e3f7949fd1e0807985f50"
"Kindercare Learn Cnt 073043";"Kuehg Corp";;4;"4075 Londonderry Rd";"Harrisburg";"PA";17109;40.28171;-76.821024;7176572494;;;;"PKC";"CCP,PKC";"ACT";95;"N";"N";"Dauphin";"Central Dauphin";"Other";"Kuehg Corp";;;;;;;;;;;;;;;;;;;"CER-00155321";"284f51c22b0ba6a226e9a87d5ff60616"
"Crosspoint Christian Child Care";"Crosspoint United Methodist Church";"CTR";4;"430 Colonial Rd";"Harrisburg";"PA";17109;40.306041;-76.823242;7175457406;;;;"CCP";"CCP";"ACT";211;"N";"N";;"Central Dauphin - Serviced by school bus";;;;"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";;;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Activity, Bounced Check, Field Trip, Late Payment, Late Pick-up, Registration, Tuition";"Breakfast, Lunch, PM Snack, Child and Adult Care Food Program (CACFP) Meals, Special Dietary Needs";"Employee (50% - Applied to ALL Children of Employee), Multi-Child (10% - APPLIED TO FT ENROLLEES )";"CER-00161248";"cdb7e5be81a56679e265ba73aa4f7793"
"Kids Academy";"Kids Academy Inc";"CTR";4;"4600 Fritchey St";"Harrisburg";"PA";17109;40.300173;-76.814432;7175415437;;;"www.KidsAcademyELC.com";"CCP";"CCP";"ACT";60;"N";"N";;"Central Dauphin - Serviced by school bus";;;;"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";;;"No";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays, Flexible Schedule";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays, Flexible Schedule";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation, Child Welfare Agency/DHS Participation";"Bounced Check, Early School Dismissal, Late Payment, Late Pick-up, Parent Association, Parent Support or Parent Contribution, Registration, Tuition";"AM Snack, Lunch, PM Snack, Child and Adult Care Food Program (CACFP) Meals, Special Dietary Needs";"Employee (50% - ALL CHILDREN), Multi-Child (10% - Three or more children ALL receive 10%), Multi-Child (10% - APPLY TO OLDEST CHILDREN), Affiliation (10% - MILITARY FAMILIES-EVERY CHILD)";"CER-00160206";"68c4d1ab26e9a1175a6a0a2ac91ec000"
"Monica Davis Hutcheson";"Monica Hutcheson";"FMY";1;"321 Redwood St";"Harrisburg";"PA";17109;40.279727;-76.836147;7179197775;;;;"CCP";"CCP";"ACT";6;"N";"N";;"Susquehanna Township - Serviced by school bus, Susquehanna Township - Walking distance to school";;;;"5:30 AM - 11:30 PM";"5:30 AM - 11:30 PM";"5:30 AM - 11:30 PM";"5:30 AM - 11:30 PM";"5:30 AM - 11:30 PM";;;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Evening Care, Weekdays, Sick Care, Drop-In Care, Flexible Schedule";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Evening Care, Weekdays, Sick Care, Drop-In Care, Flexible Schedule";;"Eligible Subsidy Provider";"CAO, CIS, Child Care Works/Subsidy Participation";"Late Payment";;;"CER-00168070";"6ad584744549ba94f57599e50c60cedd"
"Tiny Learners Early Learning Center";"Tiny Learners Llc";"CTR";1;"2328 Locust Ln";"Harrisburg";"PA";17109;40.286397;-76.855167;7172165994;;;;"CCP";"CCP";"ACT";95;"N";"N";;"Central Dauphin - Pick-Up service to/from school, Susquehanna Township - Serviced by school bus";;;;"6:30 AM - 6:30 PM";"6:30 AM - 6:30 PM";"6:30 AM - 6:30 PM";"6:30 AM - 6:30 PM";"6:30 AM - 6:30 PM";;;"No";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Full Year, Weekdays, Drop-In Care, Flexible Schedule";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Full Year, Weekdays, Drop-In Care, Flexible Schedule";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";;"Breakfast, AM Snack, Lunch, PM Snack, Child and Adult Care Food Program (CACFP) Meals";"Multi-Child (10% - Apply to Oldest), Employee (50%)";"CER-00162125";"9388a63d042745f826fcdae2cd3b6540"
"Lorraine J Weidman";"Lorraine Weidman";"FMY";1;"214 S Arlington Ave";"Harrisburg";"PA";17109;40.291793;-76.822092;7176570313;;;;"CCP";"CCP";"ACT";6;"N";"N";;"Central Dauphin - Serviced by school bus";;;;"7:00 AM - 5:00 PM";"7:00 AM - 5:00 PM";"7:00 AM - 5:00 PM";"7:00 AM - 5:00 PM";"7:00 AM - 5:00 PM";;;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays, Sick Care, Drop-In Care, Flexible Schedule";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays, Sick Care, Drop-In Care, Flexible Schedule";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Activity, Late Payment, Late Pick-up, Registration";"Breakfast, Lunch, PM Snack, Child and Adult Care Food Program (CACFP) Meals";"Multi-Child ($5.00 - APPLY TO YOUNGEST FT ONLY)";"CER-00161967";"4b4d981395d00b971a95c58f0df66ea1"
"Little Early Learners Daycare";"Jeneea Dunlap";"FMY";1;"97 Shell St";"Harrisburg";"PA";17109;40.285911;-76.838009;7173432627;;;;"CCP";"CCP";"ACT";6;"N";"N";;"Susquehanna Township - Serviced by school bus, Susquehanna Township - Walking distance to school";;;"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";;"No";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Overnight Care, Evening Care, Weekdays, Weekend Care, Sick Care, Drop-In Care, Flexible Schedule";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Overnight Care, Evening Care, Weekdays, Weekend Care, Sick Care, Drop-In Care, Flexible Schedule";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Field Trip, Late Pick-up";"Breakfast, AM Snack, Lunch, PM Snack, Dinner, Child and Adult Care Food Program (CACFP) Meals";;"CER-00167918";"5907e33720fb0da6bdff87d088555413"
"Irene Grab";"Irene Grab";"FMY";1;"4999 Beverly Dr";"Harrisburg";"PA";17109;40.292706;-76.804865;7176451702;;;;"CCP";"CCP";"ACT";6;"N";"N";;"Central Dauphin - Walking distance to school";;;;"6:45 AM - 5:45 PM";"6:45 AM - 5:45 PM";"6:45 AM - 5:45 PM";"6:45 AM - 5:45 PM";"6:45 AM - 5:45 PM";;;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year";;"Eligible Subsidy Provider";"CIS, Child Care Works/Subsidy Participation";"Field Trip, Late Payment, Late Pick-up, Registration";"Breakfast, AM Snack, PM Snack";;"CER-00166673";"0ce7056f90ded68261861d418d4fb8fe"
"Capital Area Head Start";;;4;"3705 Elmwood Dr";"Harrisburg";"PA";17110;40.320389;-76.850851;7175411795;;;;"EHS";"NFP,EHS";"INA";;"N";"N";"Dauphin";"Susquehanna Township";;"Keystone Service Systems Inc";;;;;;;;;;;;;;;;;;;;"0467623ef8477e5256949e54fc7711e2"
"Kindercare Learning Center 301283";"Kuehg Corp";;4;"3701 Vartan Way";"Harrisburg";"PA";17110;40.321035;-76.854042;7176523421;;;;"PKC";"CCP,PKC";"ACT";152;"N";"N";"Dauphin";"Susquehanna Township";"Other";"Kuehg Corp";;;;;;;;;;;;;;;;;;;"CER-00157018";"86c17cf4c7ef0c3aedb0eccf3fb0e96c"
"Camp Curtin School";;;4;"2900 N 6th St";"Harrisburg";"PA";17110;40.291634;-76.895132;7177034200;;;;"HDS";"HDS";"INA";;"N";"N";"Dauphin";"Harrisburg City";;"Keystone Service Systems Inc";;;;;;;;;;;;;;;;;;;;"89f30cba1ebe1d5308311e2a9df671ae"
"Harrisburg Area Community College";;;4;"1 Hacc Dr";"Harrisburg";"PA";17110;40.294123;-76.884688;7177802300;;;;"HDS";"HDS";"INA";;"N";"N";"Cumberland, Dauphin";"Harrisburg City";;"Keystone Service Systems Inc";;;;;;;;;;;;;;;;;;;;"e3628189abc207da78bf74b2d61da3db"
"Zion Center";;;0;"2101 N 5th St";"Harrisburg";"PA";17110;40.279951;-76.892692;7172381624;;;;"HDS";"HDS";"INA";;"N";"N";"Dauphin";"Harrisburg City";;"Keystone Service Systems Inc";;;;;;;;;;;;;;;;;;;;"73f31584462a96bb4003c3ea7bef4f73"
"Patricia Walker Family Daycare";"Patricia Walker";"FMY";4;"2604 N 5th St";"Harrisburg";"PA";17110;40.28808;-76.896663;7176953164;;;;"CCP";"CCP";"ACT";6;"N";"N";;;;;;"7:30 AM - 5:00 PM";"7:30 AM - 5:00 PM";"7:30 AM - 5:00 PM";"7:30 AM - 5:00 PM";"7:30 AM - 5:00 PM";;;"No";;"Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Overnight Care, Evening Care, Weekdays, Drop-In Care, Flexible Schedule, 24 Hour Care";"Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Overnight Care, Evening Care, Weekdays, Drop-In Care, Flexible Schedule, 24 Hour Care";;"Eligible Subsidy Provider";"CAO, CIS, Child Care Works/Subsidy Participation";"Late Payment, Late Pick-up";"Breakfast, Lunch, PM Snack, Dinner";;"CER-00167555";"5bb7650b618387d61663de10de5a5b32"
"Kindercare Learning Center 301283";"Kuehg Corp";"CTR";4;"3701 Vartan Way";"Harrisburg";"PA";17110;40.321035;-76.854042;7176523421;;;;"CCP";"CCP,PKC";"ACT";152;"N";"N";;"Central Dauphin - Pick-Up service to/from school, Susquehanna Township - Serviced by school bus";;;;"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";;;"No";"American Sign Language, ";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Summer Only, Full Year, Weekdays, Drop-In Care, Flexible Schedule";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Summer Only, Full Year, Weekdays, Drop-In Care, Flexible Schedule";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Field Trip, Late Payment, Registration, Tuition";"Breakfast, AM Snack, Lunch, PM Snack";"Multi-Child (10% - Off both children)";"CER-00157018";"3252c9f96da31c204caf7dad4c89bf12"
"Tamika M Thomas";"Tamika Thomas";"FMY";2;"2009 Chevy Chase Dr";"Harrisburg";"PA";17110;40.327047;-76.867671;7174187227;;;;"CCP";"CCP";"ACT";6;"N";"N";;;;;"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";;"No";"American Sign Language, Spanish";"24 Hour Care";"24 Hour Care";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Late Payment, Late Pick-up, Tuition";"Breakfast, AM Snack, Lunch, PM Snack, Dinner, Child and Adult Care Food Program (CACFP) Meals";;"CER-00164621";"0ac5445fca54ed176299936ef7c856cc"
"Kindness Counts Learning Center Llc";"Kindness Counts Learning Center Llc";"CTR";2;"3235 N 4th St";"Harrisburg";"PA";17110;40.299519;-76.897924;7174098965;;;;"CCP";"CCP";"ACT";75;"N";"N";;;;;;"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";;;"No";"American Sign Language, Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Activity, Bounced Check, Computer Usage, Entertainment, Late Pick-up, Meal, Registration, Tuition";"Breakfast, Lunch, PM Snack";"Employee (50% - All Children), Multi-Child (10% - Apply to Oldest Child)";"CER-00164588";"1e1dabf0064920d95c6121d759d5d29d"
