"id";"name";"address";"city";"state";"zip";"county";"phone";"main url";"email";"details";"location website";"facebook page";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url";"monday hour";"tuesday hour";"wednesday hour";"thursday hour";"friday hours";"saturday hour";"sunday hour";"notes"
1170980;"LITTLE WONDERS LEARNING";"655 WEST WARNER ROAD #101";"TEMPE";"AZ";85284;"MARICOPA";"(480)584-5038";"https://www.littlewonderslearningaz.com/";"Littlewonderslearningaz@gmail.com";"Little Wonders Learning is more than a daycare. It is home. From the moment you walk through our doors, you are family. And, we will strive to make sure that you feel welcomed and for you to know how much we will love and care for your children. We don't want to be just a place to drop your children, we want to be the home that you trust to nuture the growth and education of your most precious treasures.  From our beginnings as an in home childcare to where we have grown to now, one thing has never changed: your child is our only priority! ";"https://www.littlewonderslearningaz.com/";"https://www.facebook.com/Littlewonderslearning/";;"https://www.littlewonderslearningaz.com/Contact";;"x";"x";"x";"x";;;"https://www.littlewonderslearningaz.com/";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"Closed";"Closed";
1170981;"LIVING HOPE CHRISTIAN CHILDCARE CENTER";"7333 EAST 22ND STREET";"TUCSON";"AZ";85710;"PIMA";"(520)296-1362";"https://livinghopechristianchildcarecenter.org/";;"At Living Hope we focus on the whole child: mind, body and spirit in a Christ centered environment. Our focus is to provide a stimulating early childcare and preschool experience which will ensure your child’s school readiness while we encourage the values and character qualities you teach at home, helping your child to love others and experience God’s love.";"https://livinghopechristianchildcarecenter.org/";"https://www.facebook.com/Living-Hope-Christian-Childcare-Center-DES-Certified-1205257906222485/";;"https://livinghopechristianchildcarecenter.org/contact/";;"x";"x";"x";"x";;;"https://livinghopechildcarecenter.files.wordpress.com/2017/02/banner.jpg?w=1180";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"Closed";"Closed";
1170982;"LOVABLE KIDS KARE";"1728 EAST PUEBLO STREET";"PHOENIX";"AZ";85040;"MARICOPA";"(480)486-2456";"https://www.lovablekidskare.com/";"lovablekidskare@gmail.com";"Ever since 2008, Lovable Kids Kare, LLC has been providing students with a rich and a diverse learning environment. Our unparalleled teaching methods help to launch students into the successful future they have always dreamed of. Lovable Kids Kare, LLC is located in Phoenix, Az. We encourage both staff and students alike to grow, learn and create each passing day.";"https://www.lovablekidskare.com/";"https://www.facebook.com/Lovablekidskareaz/";;;;;"x";"x";"x";;;"https://static.wixstatic.com/media/21d480_75da23d8bdfe4209917bf806766a577f~mv2.jpg/v1/fill/w_78,h_80,al_c,q_80,usm_0.66_1.00_0.01/21d480_75da23d8bdfe4209917bf806766a577f~mv2.webp";;;;;;;;
1170983;"M.P.A. -  CHANDLER L.L.C.";"4970 WEST RAY ROAD";"CHANDLER";"AZ";85226;"MARICOPA";"(480)777-3898";"http://maxwellpreschoolacademy.com/";;"Maxwell Preschool Academy is committed to providing a developmentally age appropriate learning experience for each child.
Our staff is highly qualified and brings years of experience to the classroom.
Each day is filled with fun and exciting opportunities to help your child develop social skills, emotional skills, cognitive skills, and physical skills.
We would love having the honor to provide our services to you and your children. We have openings and are accepting new applications so to get started please contact a director at a location near you.
We believe in the potential of every child because their accomplishments are our greatest reward.
At Maxwell Preschool Academy we recognize the importance of a well-balanced education foundation. We know that parental peace of mind is priceless and that inspired teachers can inspire children to make the world their classroom.  
With the experience and background of the founders of Maxwell Preschool Academy we wish to assist parents in understanding the developmental stages of their child so they may contribute to their growth enrichment.";"http://maxwellpreschoolacademy.com/chandler-2/";;;"http://maxwellpreschoolacademy.com/contact/";;;;"x";;;;"http://maxwellpreschoolacademy.com/wp-content/uploads/2017/02/LogoMax.png";"Open 24/7";"Open 24/7";"Open 24/7";"Open 24/7";"Open 24/7";"Open 24/7";"Open 24/7";
1170984;"M.P.A. -  DEVELOPMENTAL CENTER L.L.C.";"1949 EAST BROWN ROAD";"MESA";"AZ";85203;"MARICOPA";"(480)464-0110";;;;;;;;;;;;;;;;;;;;;;;
1170985;"M.P.A. -  DOBSON L.L.C.";"2750 SOUTH DOBSON ROAD";"MESA";"AZ";85202;"MARICOPA";"(480)456-0455";"http://maxwellpreschoolacademy.com/";;"Maxwell Preschool Academy is committed to providing a developmentally age appropriate learning experience for each child.
Our staff is highly qualified and brings years of experience to the classroom.
Each day is filled with fun and exciting opportunities to help your child develop social skills, emotional skills, cognitive skills, and physical skills.
We would love having the honor to provide our services to you and your children. We have openings and are accepting new applications so to get started please contact a director at a location near you.
We believe in the potential of every child because their accomplishments are our greatest reward.
At Maxwell Preschool Academy we recognize the importance of a well-balanced education foundation. We know that parental peace of mind is priceless and that inspired teachers can inspire children to make the world their classroom.  
With the experience and background of the founders of Maxwell Preschool Academy we wish to assist parents in understanding the developmental stages of their child so they may contribute to their growth enrichment.";"http://maxwellpreschoolacademy.com/dobson-2/";;;"http://maxwellpreschoolacademy.com/contact/";;;;"x";;;;"http://maxwellpreschoolacademy.com/wp-content/uploads/2017/02/LogoMax.png";;;;;;;;
1170986;"MAKING MILESTONES CHILDHOOD DEVELOPMENT CENTER";"1550 NORTH STONEHENGE #104";"GILBERT";"AZ";85233;"MARICOPA";"(480)813-1897";"http://www.makemilestones.com/";"kmdpt@yahoo.com";"We offer discerning families a safe and nurturing option for child care in Phoenix. Making Milestones Development Center is a high quality care provider for children. We offer a wide range of options that nurture each individual child's overall growth. Our goal is to improve their quality of life and the lives of their family members.";"http://www.makemilestones.com/";"https://www.facebook.com/MilestoneDevCenter/?fref=ts";;"http://www.makemilestones.com/contact.html";;"x";"x";"x";"x";"x";;"http://www.makemilestones.com/uploads/8/0/1/5/80151322/1462986150.png";"8AM – 6PM";"8AM – 6PM";"8AM – 6PM";"8AM – 6PM";"8AM – 6PM";"Closed";"Closed";
1170987;"MARICOPA COUNTY HUMAN SERVICES - HARRIS HEAD START";"1820 SOUTH HARRIS DRIVE";"MESA";"AZ";85204;"MARICOPA";"(480)545-7060";"http://harris.gilbertschools.net/";"harrisinfo@gilbertschools.net";"Give your child a head start for future success";"http://harris.gilbertschools.net/parent_zone/head_start_zero_to_five_program";;;"http://harris.gilbertschools.net/contact_us";"http://harris.gilbertschools.net/UserFiles/Servers/Server_65844/File/Parent%20Zone/headstart.pdf";"x";"x";"x";"x";;;"http://p11cdn4static.sharpschool.com/UserFiles/Servers/Server_65844/Image/Logo/harriselementarylogo.png";;;;;;;;
1170988;"MIA PRESCHOOL & CHILDCARE, L.L.C.";"2132 WEST GLENDALE AVENUE";"PHOENIX";"AZ";85021;"MARICOPA";"(602)361-3802";;"launchpad2132@gmail.com";"Our small center provides quality attention to each child. ";;"https://www.facebook.com/pg/miapreschool/about/";;;;;;"x";"x";;;"https://scontent.fskp2-1.fna.fbcdn.net/v/t1.0-1/c1.0.200.200/p200x200/15337542_851321818343400_8346935796922867254_n.jpg?_nc_cat=0&oh=c17d26d9d31671649f374b05e5dccaf9&oe=5B531B0E";"6AM - 5:30PM";"6AM - 5:30PM";"6AM - 5:30PM";"6AM - 5:30PM";"6AM - 5:30PM";"Closed";"Closed";
1170989;"MIRAMONTE DAY SCHOOL";"2837 EAST 22ND STREET";"TUCSON";"AZ";85716;"PIMA";"(520)795-2231";"https://www.smallmiraclesaz.com/";"education@smallmiraclesaz.com";"Miramonte uses a contemporary Child Development philosophy of education, programs are designed to encourage physical, intellectual, social and emotional growth in young children. The school uses a combination of the best curriculums in early childhood education; such as, Reggio Emilia, Creative Curriculum, Arizona Standard Cores, Montessori, etc… We believe this philosophy of education teaches independence, responsibility, self-discipline and cognitive development at the child’s own pace, stressing the uniqueness of each child. Parents are involved through observation and daily parent/teacher interaction.";"https://www.smallmiraclesaz.com/central-tucson/miramonte-day-school/";"https://www.facebook.com/Small-Miracles-Daycare-Centers-172034392832261/";"https://www.smallmiraclesaz.com/careers/";"https://www.smallmiraclesaz.com/contact/";"https://www.smallmiraclesaz.com/parents/";"x";"x";"x";"x";;;"https://www.smallmiraclesaz.com/wp-content/themes/epc/images/logo.png";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"Closed";"Closed";
1170990;"MIRO INTERNATIONAL PRESCHOOL";"11211 EAST VIA LINDA";"SCOTTSDALE";"AZ";85259;"MARICOPA";"(480)630-5560";"http://miropreschool.com/";"admissions@miropreschool.com";"Welcome to Miró International Preschool. We are a boutique preschool with family values teaching in Spanish! Our team of qualified and experienced staff, supporting children in gaining independence and fulfilling their potential in a safe, caring and stimulating environment; Miró International Preschool aims to provide a happy, caring and secure environment, through the seven areas of learning: personal, social and emotional development, communication and language, literacy, mathematics, expressive arts and design, understanding of the world and physical development. We absolutely believe that joining our preschool your kid will be experiencing a unique and wonderful learning process in a wonderful place.";"http://miropreschool.com/";"https://www.facebook.com/mirointernationalpreschool/";;"http://miropreschool.com/prices-packages/";"http://miropreschool.com/wp-content/uploads/2017/10/Parent-Handbook-Miro.pdf";;;"x";"x";"x";;"http://miropreschool.com/wp-content/uploads/2016/06/miro_logo-1-e1466009049581.png";"8AM – 3PM";"8AM – 3PM";"8AM – 3PM";"8AM – 3PM";"8AM – 3PM";"Closed";"Closed";
1170991;"MUSLIM COMMUNITY CENTER OF TUCSON";"5100 NORTH KEVY PLACE";"TUCSON";"AZ";85704;"PIMA";"(520)241-9299";"http://www.mcctucson.org/";"http://www.mcctucson.org";"Welcome to MCCT  We support justice, family values, honesty, truthfulness, mercy for the young, care for the old, and charity for the poor, upholding Islamic etiquettes and values; following the steps of our Prophet Muhammad (peace be upon him)";"http://www.mcctucson.org/services";"https://www.facebook.com/pg/MuslimCommunityCenterOfTucson/about/";;"https://mcct.skedda.com/register?key=6809fca";;;;;"x";;;"http://www.mcctucson.org/assets/header-logo-0d5e459b0f33dc65b92b9080ac419e90110bf055326499e57199bbde604cd6e2.png";;;;;;;;
1170992;"N.A.C.O.G. - BEAVER CREEK HEAD START";"4810 EAST BEAVER CREEK ROAD";"RIMROCK";"AZ";86335;"YAVAPAI";"(928)774-9504";"https://headstartprograms.org/arizona_head_start.html";;"Head Start has been a part of northern Arizona for over thirty years. The Northern Arizona Council of Governments (NACOG) administers the Program that has a service area of 27,000 square miles and includes the four counties of Apache, Navajo, Coconino, and Yavapai. The Program serves children zero to five years old who meet the required income guidelines. NACOG uses several program options to provide Preschool and Early Head Start services in 28 Northern Arizona communities on behalf of 1613 children.";"https://headstartprograms.org/center-193471.html";;;"https://headstartprograms.org/contact";;;;"x";"x";;;"https://headstartprograms.org/";;;;;;;;
1170995;"NINA'S FAMILY CHILDCARE AT PARK LEE";"4710 NORTH 15TH DRIVE";"PHOENIX";"AZ";85015;"MARICOPA";"(602)266-1768";;;;;;;;;;;;;;;;;;;;;;;
1170996;"PAIDEIA PRESCHOOL SOUTH MOUNTAIN, LLC";"1535 EAST BASELINE ROAD";"PHOENIX";"AZ";85042;"MARICOPA";"(602)343-3043";"https://paideiapreschool.com/";"info@paideiamail.com";"We combine our whole-child curriculum with ample physical play (body), rigorous exploratory academics (mind), emotional and social interaction (heart) and self-reflection on principles of character (spirit) to promote healthy development and learning. Paideia preschool introduces our scholars to “The Leader In Me – 7 Habits” culture of Paideia Academy";"https://paideiapreschool.com/";"https://www.facebook.com/paideiapreschool/";"https://paideiapreschool.com/contact/careers/";"https://paideiapreschool.com/contact/enroll/";;;;"x";"x";"x";;"https://paideiapreschool.com/wp-content/uploads/2016/10/pp_logo2016.png";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"Closed";"Closed";
1170997;"PRIMROSE SCHOOL OF GILBERT AT SANTAN";"4050 SOUTH VAL VISTA DRIVE";"GILBERT";"AZ";85297;"MARICOPA";"(480)255-4375";"https://www.primroseschools.com/";;"We’re a national family of accredited early education and care schools serving infants through kindergarten, after-schoolers, their families and communities. With our Balanced Learning® approach, we help empower children to reach their full potential by nurturing curiosity, confidence, creativity and compassion.";"https://www.primroseschools.com/schools/gilbert-at-santan/careers/";"https://www.facebook.com/PrimroseGilbertSantan/";"https://www.primroseschools.com/schools/gilbert-at-santan/careers/";;;;;"x";"x";;;"https://www.primroseschools.com/";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"Closed";"Closed";
1170998;"SAN PEDRO VALLEY DAYCARE AND PRESCHOOL";"1275 EAST BARNEY LANE";"BENSON";"AZ";85602;"COCHISE";"(520)586-4314";"http://sanpedrovalleydaycareandpreschool.com/";" spvdp@yahoo.com";"The center offers working San Pedro Valley parents and those who need occasional help with a child care option. We modify what we do based on the needs of the family; some parents need care for their children Monday-Friday, all day, others some days, others after school. Some parents need early drop off, others ride the school bus after their school to attend the homework club.   Some attend Pre School in the morning, afternoon or both and even others complete on line schooling using our computers and while being supervised by our staff.";"http://sanpedrovalleydaycareandpreschool.com/";"https://www.facebook.com/sanpedrovalley.daycare";;"http://sanpedrovalleydaycareandpreschool.com/contact-us/";;;"x";"x";"x";"x";;"http://sanpedrovalleydaycareandpreschool.com/wp-content/uploads/2017/02/Logomakr_22AQfq.png";"6AM - 6PM";"6AM - 6PM";"6AM - 6PM";"6AM - 6PM";"6AM - 6PM";"Closed";"Closed";
1170999;"SARRC COMMUNITY SCHOOL - TEMPE CAMPUS";"975 EAST WARNER ROAD";"TEMPE";"AZ";85284;"MARICOPA";"(602)501-6711";"https://www.autismcenter.org/community-school";"sarrc@autismcenter.org ";"An inclusive preschool program that provides intensive, ABA-based programming for children with ASD and high-quality early childhood education for typically developing children. Children 18 months to 5 years old experience important social and academic fundamentals to ensure kindergarten readiness.";"https://www.autismcenter.org/community-school";"https://www.facebook.com/SARRC.Moderator";"https://www.autismcenter.org/employment-partners";;"http://autismcenter.org/sites/default/files/files/SARRC%20Referral%20Program%20Handout_Tempeonly.pdf";;"x";"x";"x";;;"https://www.autismcenter.org/sites/all/themes/saarc_h20/logo.png";;;;;;;;
1171000;"SHELLIE'S EARLY START LEARNING CENTER #2";"1923 EAST BROADWAY ROAD";"PHOENIX";"AZ";85040;"MARICOPA";"(602)268-3774";"http://www.shelliesearlystart.com/index.html";"shelliestart@aol.com";"To strive to be a positive and intergrating influence in each child's process of self identification. We will create and environment within eachchild's process of self worth and mental attitude that fosters educational excellence. to help promote the skills of making choice and rational decisions as they relate to themselves and others.";"http://www.shelliesearlystart.com/contact.html";"https://www.facebook.com/myshelliestart234/";;;;"x";"x";"x";"x";;;"http://www.shelliesearlystart.com/assets/Fotolia-35120214-X-c-r.jpg";"Open 24/7";"Open 24/7";"Open 24/7";"Open 24/7";"Open 24/7";"Open 24/7";"Closed";
1171001;"ST. FRANCIS OF ASSISI SCHOOL";"700 WEST 18TH STREET";"YUMA";"AZ";85364;"YUMA";"(928)782-1539";"http://www.stfrancisschoolyuma.org/";;"Saint Francis of Assisi Catholic School is committed to educational excellence within the traditions of the Roman Catholic faith. We, along with parental support, educate our students to grow in the image and likeness of God, so they may become confident leaders in service to others as well as beacons of hope for all.";"http://www.stfrancisschoolyuma.org/";"https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Fgroups%2F261375500686003%2F";"http://www.stfrancisschoolyuma.org/employment-opportunities/";"http://www.stfrancisschoolyuma.org/application/";"http://www.stfrancisschoolyuma.org/wp-content/uploads/2013/11/Parent-and-Student-Handbook-2017-2018.pdf";;;;"x";;;"http://www.stfrancisschoolyuma.org/wp-content/uploads/2013/12/header_970x135.jpg";"8AM – 3PM";"8AM – 3PM";"8AM – 3PM";"8AM – 3PM";"8AM – 12PM";"Closed";"Closed";
1171002;"ST. MARK LITTLE TOTS CHILDREN CENTER";"2727 WEST TANGERINE ROAD";"TUCSON";"AZ";85742;"PIMA";"(520)469-7835";"https://stmarkov.com/little-tots-children-center";"office@stmarkov.com";"St. Mark Little Tots Children's Center is to foster a safe learning environment for the  whole child, centered in Christ. We strive to create an environment where one will grow by discovering his or her own world through fun and organized play, creative lessons, and surroundings filled with faith, family, and friends. Through the guidance of the Holy Spirit we strive to build the Kingdom of God through the eyes of the children.";"https://stmarkov.com/little-tots-children-center";"https://www.facebook.com/stmarkorovalley";;"https://stmarkov.com/contact-us";;;"x";"x";"x";;;;"9AM – 12PM";"9AM – 12PM";"9AM – 12PM";"9AM – 12PM";"9AM – 12PM";"Closed";"Closed";
1171003;"SUNRISE PRESCHOOLS #129";"13201 WEST THOMAS ROAD";"GOODYEAR";"AZ";85395;"MARICOPA";"(623)536-1020";"http://www.sunrisepreschools.com/";"sun129@sunrisepreschools.com";"This preschool is a Quality First Participant. We use the nationally recognized Creative Curriculum in all classrooms. Each classroom is age specific to encourage, nurture and stimulate children’s development through learning centers and activities. We provide written Daily Reports and twice a year Report Cards.";"http://www.sunrisepreschools.com/locations/goodyear_dysart_goodyear.php";"https://www.facebook.com/SunrisePreschoolsAZ/";"http://www.sunrisepreschools.com/employment.html";;"http://www.sunrisepreschools.com/questions.html";"x";"x";"x";"x";"x";;"http://www.sunrisepreschools.com/images/spacer.gif";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"Closed";"Closed";
1171004;"SUNRISE PRESCHOOLS #130";"11090 NORTH FRANK LLOYD WRIGHT BLVD";"SCOTTSDALE";"AZ";85259;"MARICOPA";"(480)314-1071";"http://www.sunrisepreschools.com/";"sun130@sunrisepreschools.com";"This preschool is a Quality First Participant. We use the nationally recognized Creative Curriculum in all classrooms. Each classroom is age specific to encourage, nurture and stimulate children’s development through learning centers and activities. We provide written Daily Reports and twice a year Report Cards.";"http://www.sunrisepreschools.com/locations/scottsdale_frank_lloyd_wright.php";"https://www.facebook.com/SunrisePreschoolsAZ/";"http://www.sunrisepreschools.com/employment.html";;"http://www.sunrisepreschools.com/questions.html";"x";"x";"x";"x";"x";;"http://www.sunrisepreschools.com/images/spacer.gif";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"Closed";"Closed";
1171005;"SUNRISE PRESCHOOLS #132";"1628 EAST BROADWAY ROAD";"TEMPE";"AZ";85282;"MARICOPA";"(480)820-1861";"http://www.sunrisepreschools.com/";"sun132@sunrisepreschools.com";"This preschool is a Quality First Participant. We use the nationally recognized Creative Curriculum in all classrooms. Each classroom is age specific to encourage, nurture and stimulate children’s development through learning centers and activities. We provide written Daily Reports and twice a year Report Cards.";"http://www.sunrisepreschools.com/locations/tempe_mcClintock.php";"https://www.facebook.com/SunrisePreschoolsAZ/";"http://www.sunrisepreschools.com/employment.html";;"http://www.sunrisepreschools.com/questions.html";"x";"x";"x";"x";"x";;"http://www.sunrisepreschools.com/images/spacer.gif";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"Closed";"Closed";
1171006;"SUNRISE PRESCHOOLS #134";"102 NORTH LINDSAY ROAD";"MESA";"AZ";85213;"MARICOPA";"(480)830-5500";"http://www.sunrisepreschools.com/";"sun134@sunrisepreschools.com";"This preschool is a Quality First Participant. We use the nationally recognized Creative Curriculum in all classrooms. Each classroom is age specific to encourage, nurture and stimulate children’s development through learning centers and activities. We provide written Daily Reports and twice a year Report Cards.";"http://www.sunrisepreschools.com/locations/mesa_lindsay_main.php";"https://www.facebook.com/SunrisePreschoolsAZ/";"http://www.sunrisepreschools.com/employment.html";;"http://www.sunrisepreschools.com/questions.html";"x";"x";"x";"x";"x";;"http://www.sunrisepreschools.com/images/spacer.gif";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"Closed";"Closed";
1171007;"SUNRISE PRESCHOOLS #137";"1415 EAST BELL ROAD";"PHOENIX";"AZ";85022;"MARICOPA";"(623)780-2007";"http://www.sunrisepreschools.com/";"sun137@sunrisepreschools.com";"This preschool is a Quality First Participant. We use the nationally recognized Creative Curriculum in all classrooms. Each classroom is age specific to encourage, nurture and stimulate children’s development through learning centers and activities. We provide written Daily Reports and twice a year Report Cards.";"http://www.sunrisepreschools.com/locations/phoenix_north_bell.php";"https://www.facebook.com/SunrisePreschoolsAZ/";"http://www.sunrisepreschools.com/employment.html";;"http://www.sunrisepreschools.com/questions.html";"x";"x";"x";"x";"x";;"http://www.sunrisepreschools.com/images/spacer.gif";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"Closed";"Closed";
1171008;"SUNRISE PRESCHOOLS #140";"3270 EAST RAY ROAD";"GILBERT";"AZ";85296;"MARICOPA";"(480)279-0400";"http://www.sunrisepreschools.com/";"sun140@sunrisepreschools.com";"This preschool is a Quality First Participant. We use the nationally recognized Creative Curriculum in all classrooms. Each classroom is age specific to encourage, nurture and stimulate children’s development through learning centers and activities. We provide written Daily Reports and twice a year Report Cards.";"http://www.sunrisepreschools.com/locations/gilbert_higley_ray.php";"https://www.facebook.com/SunrisePreschoolsAZ/";"http://www.sunrisepreschools.com/employment.html";;"http://www.sunrisepreschools.com/questions.html";"x";"x";"x";"x";"x";;"http://www.sunrisepreschools.com/images/spacer.gif";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"Closed";"Closed";
1171009;"SUNRISE PRESCHOOLS #142";"1365 SOUTH GILBERT ROAD";"MESA";"AZ";85204;"MARICOPA";"(480)218-5577";"http://www.sunrisepreschools.com/";"sun142@sunrisepreschools.com";"This preschool is a Quality First Participant. We use the nationally recognized Creative Curriculum in all classrooms. Each classroom is age specific to encourage, nurture and stimulate children’s development through learning centers and activities. We provide written Daily Reports and twice a year Report Cards.";"http://www.sunrisepreschools.com/locations/mesa_gilbert_hampton.php";"https://www.facebook.com/SunrisePreschoolsAZ/";"http://www.sunrisepreschools.com/employment.html";;"http://www.sunrisepreschools.com/questions.html";"x";"x";"x";"x";"x";;"http://www.sunrisepreschools.com/images/spacer.gif";"5:30AM - 7PM";"5:30AM - 7PM";"5:30AM - 7PM";"5:30AM - 7PM";"5:30AM - 7PM";"Closed";"Closed";
1171011;"SUNRISE PRESCHOOLS #216";"10633 EAST APACHE TRAIL #103";"APACHE JUNCTION";"AZ";85120;"PINAL";"(480)357-4990";"http://www.sunrisepreschools.com/";"sun216@sunrisepreschools.com";"This preschool is a Quality First Participant. We use the nationally recognized Creative Curriculum in all classrooms. Each classroom is age specific to encourage, nurture and stimulate children’s development through learning centers and activities. We provide written Daily Reports and twice a year Report Cards.";"http://www.sunrisepreschools.com/locations/apache_junction_butte.php";"https://www.facebook.com/SunrisePreschoolsAZ/";"http://www.sunrisepreschools.com/employment.html";;"http://www.sunrisepreschools.com/questions.html";"x";"x";"x";"x";"x";;"http://www.sunrisepreschools.com/images/spacer.gif";"5:30AM - 7PM";"5:30AM - 7PM";"5:30AM - 7PM";"5:30AM - 7PM";"5:30AM - 7PM";"Closed";"Closed";
1171012;"SUNRISE PRESCHOOLS #282";"641 WEST SOUTHERN AVENUE";"MESA";"AZ";85210;"MARICOPA";"(480)833-0353";"http://www.sunrisepreschools.com/";"sun215@sunrisepreschools.com";"This preschool is a Quality First Participant. We use the nationally recognized Creative Curriculum in all classrooms. Each classroom is age specific to encourage, nurture and stimulate children’s development through learning centers and activities. We provide written Daily Reports and twice a year Report Cards.";"http://www.sunrisepreschools.com/locations/mesa_alma-eighth.php";"https://www.facebook.com/SunrisePreschoolsAZ/";"http://www.sunrisepreschools.com/employment.html";;"http://www.sunrisepreschools.com/questions.html";"x";"x";"x";"x";"x";;"http://www.sunrisepreschools.com/images/spacer.gif";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"Closed";"Closed";
1171013;"SUNRISE PRESCHOOLS #295";"2217 NORTH POWER ROAD #1001";"MESA";"AZ";85215;"MARICOPA";"(480)219-8407";"http://www.sunrisepreschools.com/";"sun295@sunrisepreschools.com";"This preschool is a Quality First Participant. We use the nationally recognized Creative Curriculum in all classrooms. Each classroom is age specific to encourage, nurture and stimulate children’s development through learning centers and activities. We provide written Daily Reports and twice a year Report Cards.";"http://www.sunrisepreschools.com/locations/mesa_power_mckellips.php";"https://www.facebook.com/SunrisePreschoolsAZ/";"http://www.sunrisepreschools.com/employment.html";;"http://www.sunrisepreschools.com/questions.html";;"x";"x";"x";"x";;"http://www.sunrisepreschools.com/images/spacer.gif";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"Closed";"Closed";
1171014;"TOTSPOT PRESCHOOL TOO, LLC";"1075 EAST RIGGS ROAD #4";"CHANDLER";"AZ";85249;"MARICOPA";"(480)895-0206";"http://www.totspotpreschool.com/";;"Our mission at TotSpot Preschool is to provide a safe, affordable, high quality educational program for young children. We strive to create a solid educational foundation to prepare students to enter kindergarten and inspire a lifelong love of learning.";"http://www.totspotpreschool.com/chandler-totspot-preschool/";"https://www.facebook.com/TotSpotPreschoolChandler/";;"http://www.totspotpreschool.com/enrollment-forms/";"http://www.totspotpreschool.com/parent-resources/";;;"x";"x";;;"http://www.totspotpreschool.com/wordpress/wp-content/uploads/2017/12/header.png";"8AM – 3PM";"8AM – 3PM";"8AM – 3PM";"8AM – 3PM";"8AM – 3PM";"Closed";"Closed";
1171015;"TREE OF LIFE PRESCHOOL ACADEMY, L.L.C.";"6900 SOUTH 24TH STREET";"PHOENIX";"AZ";85042;"MARICOPA";"(602)309-4698";"http://tolpreschoolacademy.com/";"contact@tolpreschoolacademy.com";"At Tree of Life Preschool Academy we will ensure the academic, emotional, social and developmental success of each child in a loving, creative and safe environment. We will empower each child to use their unique gifts, learning styles, and strengths for a successful future as students, citizens and community members.";"http://tolpreschoolacademy.com/";"https://www.facebook.com/tolpreschoolacademy/";"http://tolpreschoolacademy.com/index.php/employment-application/";"http://tolpreschoolacademy.com/index.php/enrollment-form/";"http://tolpreschoolacademy.com/index.php/parent-handbook/";"x";"x";"x";"x";;;"http://tolpreschoolacademy.com/wp-content/uploads/2016/05/logo-for-schooln0bg.png";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"Closed";"Closed";
1171016;"TWINKLE LITTLE ANGELS CHILD CARE";"6203 EAST BEVERLY STREET";"TUCSON";"AZ";85711;"PIMA";"(520)207-9388";;;;;;;;;;;;;;;;;;;;;;;
1171017;"U3 ACADEMY CHILDCARE CENTER L.L.C.";"128 NORTH 7TH STREET";"SIERRA VISTA";"AZ";85635;"COCHISE";"(520)686-7877";;;"U3 Academy Child Care is located in Sierra Vista, Arizona. Come tour at our brand new facility!";;"https://www.facebook.com/u3academy/";;;;"x";"x";"x";"x";;;"https://scontent.fskp2-1.fna.fbcdn.net/v/t1.0-1/p200x200/13151940_709601675849408_3159270513611673235_n.jpg?_nc_cat=0&oh=48f893326329064ab4eb36a61db57484&oe=5B6B315A";"5AM - 11PM";"5AM - 11PM";"5AM - 11PM";"5AM - 11PM";"5AM - 11PM";"Closed";"Closed";
