"Facility Name";"License Number";"Owner";"Program Type";"Address";"County";"City";"Zip";"License Effective Date";"License Expiration Date";"Facility Status";"Telephone Number";"Maximum Capacity";"recUrl";"ID"
"A Step Ahead";"0064132-008";"Lacey Shoeneman";"Group Day Care Home";"Sunset Ave, over the yellow brick bridge (5,735.84 mi)";"Sedgwick";"Haysville";67060;"03/01/2018";"02/28/2019";"Open";"(316) 293-6615";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=124087";124087
"The Montesorri House Inc";"0072483-006";"The Montessori House Inc";"Group Day Care Home";"W. 130th Terrace";"Johnson";"Leawood";66209;"04/01/2018";"03/31/2019";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=140789";140789
"Heaven On Earth Child Care";"0056424-010";"Kerri Zorn";"Group Day Care Home";"West 8th Avenue";"Lyon";"Emporia";66801;"01/01/2018";"12/31/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=108671";108671
"Uhlrich Daycare";"0011244-013";"Glenda Uhlrich";"Group Day Care Home";"West Coledge st.";"Washington";"Washington";66968;"09/01/2017";"08/31/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=21851";21851
"Taylors Tots";"0501364-003";"Taylor Douglas";"Group Day Care Home";;"Sedgwick";"Maize";67101;"07/01/2018";"06/30/2019";"Open";"(316) 719-6765";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000002731";5E+018
"Kracker Jack Palace Child Care";"0024249-012";"Mary Misak";"Group Day Care Home";;"Harper";"Harper";67058;"05/01/2018";"04/30/2019";"Open";"(620) 896-7123";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=47065";47065
"Little Wonders Daycare";"0501501-002";"Kyla Grover";"Licensed Day Care Home";;"Butler";"Augusta";67010;"10/11/2017";"10/31/2018";"Open";"(785) 221-6238";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000003005";5E+018
"Kid Co Daycare";"0054139-002";"Rebecca Carver";"Group Day Care Home";;"Nemaha";"Centralia";66415;"05/01/2018";"07/30/2018";"Open";"(785) 285-1050";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=104171";104171
"Second Mama Daycare";"0069393-008";"Hollie Van Dyke";"Group Day Care Home";;"Jefferson";"Oskaloosa";66066;"12/01/2017";"11/30/2018";"Open";"(785) 393-3856";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=134609";134609
"Jynas Play School";"0500679-004";"Aerica Warren";"Group Day Care Home";;"Shawnee";"Topeka";66604;"11/01/2017";"10/31/2018";"Open";"(785) 408-9385";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000001361";5E+018
"Bumble Bee Academy";"0075262-004";"Tia Benyshek";"Group Day Care Home";;"Jefferson";"Oskaloosa";66066;"11/28/2017";"11/30/2018";"Open";"(785) 431-6205";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=146347";146347
"Kids Castle Daycare";"0056131-012";"Sherry Hamman";"Group Day Care Home";;"Pottawatomie";"Wamego";66547;"05/01/2018";"04/30/2019";"Open";"(785) 456-1883";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=108085";108085
"Country Beginnings";"0067922-009";"Afton Snider";"Licensed Day Care Home";;"Dickinson";"Abilene";67410;"11/01/2017";"10/31/2018";"Open";"(785) 479-7310";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=131667";131667
"Miss Karens Tot Time Day Care Home";"0057922-011";"Karen McCrory";"Group Day Care Home";;"Shawnee";"Rossville";66533;"12/01/2017";"11/30/2018";"Open";"(785) 584-6552";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=111667";111667
"Pamela Hecht Day Care Home";"0004709-009";"Pamela Hecht";"Group Day Care Home";;"Osage";"Burlingame";66413;"08/01/2017";"07/31/2018";"Open";"(785) 654-3696";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=8903";8903
"Little Steps Day Care";"0045275-009";"Candace Baxa";"Group Day Care Home";;"Republic";"Cuba";66940;"10/01/2017";"09/30/2018";"Open";"(785) 729-3303";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=87539";87539
"Mitchell County Early Learning Center II";"0073981-008";"USD 273 Beloit";"Child Care Center";;"Mitchell";"Beloit";67420;"06/01/2018";"03/31/2019";"Open";"(785) 738-3055";24;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=143785";143785
"Little Lambs Christian Care";"0024550-015";"Sarah Farmer";"Group Day Care Home";;"Leavenworth";"Leavenworth";66048;"10/01/2017";"09/30/2018";"Open";"(913) 651-3694";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=47637";47637
"Baby of Mine Daycare";"0073557-006";"Lorelee Patterson";"Group Day Care Home";;"Barton";"Hoisington";67544;"02/01/2018";"01/31/2019";"Open";"(940) 312-2892";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=142937";142937
