"Facility Name";"License Number";"Owner";"Program Type";"Address";"County";"City";"Zip";"License Effective Date";"License Expiration Date";"Facility Status";"Telephone Number";"Maximum Capacity";"recUrl";"ID"
"Full Of Smiles";"0050702-016";"Kelley Murphy";"Licensed Day Care Home";;"Franklin";"Ottawa";66067;"06/01/2018";"05/31/2019";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=97685";97685
"Giggling Guppies Child Care";"0063831-011";"Ivy Michel";"Licensed Day Care Home";;"Franklin";"Ottawa";66067;"12/01/2017";"11/30/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=123485";123485
"Growing In Grace Childcare";"0069494-008";"Cheryl Jamison";"Group Day Care Home";"720 N Spruce St";"Franklin";"Ottawa";66067;"05/25/2018";"08/23/2018";"Open";"785-418-6426";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=134811";134811
"Katherine Denise Watkins Day Care Home";"0065017-010";"Katherine Watkins";"Licensed Day Care Home";;"Franklin";"Ottawa";66067;"07/01/2018";"06/30/2019";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=125857";125857
"Lil Cowpokes";"0500177-006";"Dea Visitacion";"Licensed Day Care Home";;"Franklin";"Ottawa";66067;"01/01/2018";"12/31/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000000357";5E+018
"Little Blessings Christian Daycare";"0501529-002";"Jesse King";"Group Day Care Home";"827 S Sycamore St";"Franklin";"Ottawa";66067;"12/21/2017";"12/31/2018";"Open";"785-214-8887";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000003061";5E+018
"Loving Hands Child Care";"0501291-003";"Melissa Espinoza";"Group Day Care Home";"514 N Birch St";"Franklin";"Ottawa";66067;"06/01/2018";"05/31/2019";"Open";"785-418-5631";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000002585";5E+018
"Marcella Rose Feuerborn Day Care Home";"0026542-014";"Marcella Feuerborn";"Licensed Day Care Home";"1134 W 7th St";"Franklin";"Ottawa";66067;"09/01/2017";"08/31/2018";"Open";"785-229-2979";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=51543";51543
"McCune Day Care Home";"0009867-015";"Linda McCune";"Licensed Day Care Home";"1428 S Olive St";"Franklin";"Ottawa";66067;"04/01/2018";"03/31/2019";"Open";"785-242-5385";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=19115";19115
"Michelle A Fennell Day Care Home";"0014593-010";"Michelle Fennell";"Licensed Day Care Home";;"Franklin";"Ottawa";66067;"01/01/2018";"12/31/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=28245";28245
"Miss Ariels In Home Daycare";"0501607-002";"Ariel McAuley";"Group Day Care Home";;"Franklin";"Ottawa";66067;"04/23/2018";"04/30/2019";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000003217";5E+018
"Ottawa Head Start";"0000450-010";"East Central Kansas Economic Opportunity Corp";"Head Start Child Care Center";"225 E 2nd St";"Franklin";"Ottawa";66067;"11/01/2017";"10/31/2018";"Open";"785-242-4405";40;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=637";637
"Playful Expressions Daycare";"0060706-006";"Leslie Powell";"Group Day Care Home";"1015 S Main St";"Franklin";"Ottawa";66067;"03/02/2018";"03/31/2019";"Open";"785-893-4233";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=117235";117235
"Powell Care Day Care Home";"0062796-013";"Ashley Powell";"Licensed Day Care Home";"815 S Poplar";"Franklin";"Ottawa";66067;"10/01/2017";"09/30/2018";"Open";"785-418-4122";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=121415";121415
"Precious Generations";"0021258-013";"Sherry Engelbert";"Licensed Day Care Home";"1127 S Maple St";"Franklin";"Ottawa";66067;"02/01/2018";"01/31/2019";"Open";"785-418-5960";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=41255";41255
"Prince And Princess";"0055691-007";"Holly Oleson";"Licensed Day Care Home";"1327 Redbud";"Franklin";"Ottawa";66067;"05/01/2018";"04/30/2019";"Open";"785-242-1731";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=107205";107205
"Sandra Brister Day Care Home";"0042596-013";"Sandra Brister";"Licensed Day Care Home";;"Franklin";"Ottawa";66067;"03/01/2018";"02/28/2019";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=82643";82643
"Sharon Ann Schultze Day Care Home";"0010737-010";"Sharon Schultze";"Licensed Day Care Home";;"Franklin";"Ottawa";66067;"07/01/2018";"06/30/2019";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=20843";20843
"Shooting Stars Daycare";"0501333-002";"Tiffany O Brien";"Group Day Care Home";;"Franklin";"Ottawa";66067;"06/23/2017";"06/30/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000002669";5E+018
"Small Steps LLC";"0500412-006";"Small Steps LLC";"Child Care Center";"113 W 4th Street";"Franklin";"Ottawa";66067;"01/01/2018";"12/31/2018";"Open";"785-248-4453";34;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000000827";5E+018
"Small Steps LLC Westminster";"0501677-002";"Small Steps LLC";"Child Care Center";;"Franklin";"Ottawa";66067;"06/04/2018";"09/02/2018";"Open";;46;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000003357";5E+018
"Sweet Pea Day Care";"0058332-012";"Haley Callaghan";"Licensed Day Care Home";;"Franklin";"Ottawa";66067;"03/01/2018";"02/28/2019";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=112487";112487
"Vickie Lynn Green Day Care Home";"0036035-015";"Vickie Green";"Licensed Day Care Home";;"Franklin";"Ottawa";66067;"08/01/2017";"07/31/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=70229";70229
"Brendas Daycare Home";"0022315-010";"Brenda Reed";"Licensed Day Care Home";;"Jefferson";"Ozawkie";66070;"11/01/2017";"10/31/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=43311";43311
"Carlees Daycare";"0074880-002";"Carlee Crawford";"Licensed Day Care Home";;"Jefferson";"Ozawkie";66070;"03/29/2018";"03/31/2019";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=145583";145583
"Barbara L Fisher Day Care Home";"0049433-014";"Barbara Fisher";"Licensed Day Care Home";;"Miami";"Paola";66071;"07/01/2017";"06/30/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=95279";95279
"Coree J Harris Daycare Home";"0031616-016";"Coree Harris";"Licensed Day Care Home";;"Miami";"Paola";66071;"05/01/2018";"04/30/2019";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=61551";61551
"Dandelions and Dump Trucks Daycare";"0501710-001";"Darrell Fink";"Group Day Care Home";;"Miami";"Paola";66071;"05/25/2018";"08/23/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000003423";5E+018
"First Baptist Christian Preschool";"0014897-008";"First Baptist Church Of Paola KS";"Preschool";"207 E Wea";"Miami";"Paola";66071;"01/01/2018";"12/31/2018";"Open";"913-294-3723";15;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=28833";28833
"From Above Day Care";"0042397-014";"Angela Frizzell";"Group Day Care Home";;"Miami";"Paola";66071;"02/01/2018";"01/31/2019";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=82259";82259
"Julie A Kieffaber Day Care Home";"0021930-017";"Julie Kieffaber";"Licensed Day Care Home";;"Miami";"Paola";66071;"05/01/2018";"04/30/2019";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=42571";42571
"Kiddie Cove Daycare";"0051601-005";"Staci Blann";"Group Day Care Home";;"Miami";"Paola";66071;"11/01/2017";"10/31/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=99313";99313
"Kindras Care Day Care Home";"0032212-015";"Kindra Boehm";"Group Day Care Home";;"Miami";"Paola";66071;"02/01/2018";"01/31/2019";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=62723";62723
"Kreative Korner";"0016442-010";"Leslie Windler";"Child Care Center";;"Miami";"Paola";66071;"06/01/2018";"05/31/2019";"Open";;61;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=31823";31823
"Little Ducklings And Tadpoles Childcare";"0071138-010";"Diane Bain";"Licensed Day Care Home";;"Miami";"Paola";66071;"06/20/2017";"06/30/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=138099";138099
"Little Panthers Day Care";"0501167-003";"Little Panthers Day Care LLC";"Group Day Care Home";"5 E Piankishaw St";"Miami";"Paola";66071;"03/01/2018";"02/28/2019";"Open";"913-259-8207";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000002337";5E+018
"Little Rascals Inc";"0068902-011";"Little Rascals Inc";"Licensed Day Care Home";"1112 Main St";"Miami";"Paola";66071;"06/01/2018";"05/31/2019";"Open";"913-731-0805";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=133627";133627
"Melissas Day Care Home";"0036418-012";"Melissa Schartz";"Group Day Care Home";;"Miami";"Paola";66071;"12/01/2017";"11/30/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=70983";70983
"Monicas Daycare";"0030443-016";"Monica Brenneman";"Licensed Day Care Home";;"Miami";"Paola";66071;"11/01/2017";"10/31/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=59243";59243
"Paola Head Start";"0024037-010";"East Central Kansas Economic Opportunity Corp";"Head Start Child Care Center";"110 E Peoria St";"Miami";"Paola";66071;"12/01/2017";"11/30/2018";"Open";"913-294-4880";20;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=46657";46657
"Paola Preschool";"0007332-009";"First United Presbyterian Church of Paola KS";"Preschool";"110 E Peoria";"Miami";"Paola";66071;"01/01/2018";"12/31/2018";"Open";"913-294-5011";15;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=14103";14103
"Rachels Place";"0071698-009";"Rachel Brinkman";"Licensed Day Care Home";;"Miami";"Paola";66071;"05/01/2018";"04/30/2019";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=139219";139219
"Rues Zoo Daycare";"0501066-003";"Leslie Hickman";"Group Day Care Home";;"Miami";"Paola";66071;"12/01/2017";"11/30/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000002135";5E+018
"Sonshine Preschool";"0037623-011";"First Lutheran Church of Paola Kansas";"Preschool";;"Miami";"Paola";66071;"11/01/2017";"10/31/2018";"Open";;38;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=73341";73341
"Storytime Daycare";"0063493-010";"Michelle Chapman";"Group Day Care Home";;"Miami";"Paola";66071;"08/01/2017";"08/31/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=122809";122809
"Sues Daycare";"0008452-019";"Susan Dykes";"Group Day Care Home";"6 Brookside Drive";"Miami";"Paola";66071;"09/01/2017";"08/31/2018";"Open";"913-594-8220";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=16313";16313
"Tanyas Daycare";"0069574-013";"Tanya Davis";"Group Day Care Home";"901 E Osage St";"Miami";"Paola";66071;"06/01/2018";"05/31/2019";"Open";"913-731-6202";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=134971";134971
"Farmhouse Friends";"0501222-003";"Kayleigh Ford";"Group Day Care Home";"22230 County Road 1077";"Linn";"Parker";66072;"04/01/2018";"03/31/2019";"Open";"913-731-0209";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000002447";5E+018
"Nana Daycare";"0501000-004";"Tamara Riggs";"Group Day Care Home";;"Linn";"Parker";66072;"11/01/2017";"10/31/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000002003";5E+018
"Inez Marie Horton Day Care Home";"0028601-020";"Inez Horton";"Group Day Care Home";;"Jefferson";"Perry";66073;"01/01/2018";"12/31/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=55617";55617
"Stephanie L Foglesong Day Care Home";"0031331-018";"Stephanie Foglesong";"Licensed Day Care Home";"11354 39th St";"Jefferson";"Perry";66073;"05/01/2018";"04/30/2019";"Open";"785-597-2299";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=61001";61001
"Browns Home Stead Day Care";"0501715-001";"Ryan Brown";"Group Day Care Home";"25468 E 950 Rd";"Linn";"Pleasanton";66075;"05/25/2018";"08/23/2018";"Open";"913-352-6353";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000003433";5E+018
"DeAnns Child Care Home";"0006606-015";"DeAnn Sicard";"Group Day Care Home";;"Linn";"Pleasanton";66075;"12/29/2017";"12/31/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=12671";12671
"Home Away From Home";"0072485-005";"Stephanie Reach";"Licensed Day Care Home";"202 W 2nd St";"Linn";"Pleasanton";66075;"07/01/2017";"06/30/2018";"Open";"913-256-8195";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=140793";140793
"Jennifer Lynn Johnson Daycare Home";"0070749-008";"Jennifer Johnson";"Licensed Day Care Home";;"Linn";"Pleasanton";66075;"01/01/2018";"12/31/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=137321";137321
"Melody Ann Crooks Licensed Home Day Care";"0070033-008";"Melody Crooks";"Licensed Day Care Home";"307 E 14th St";"Linn";"Pleasanton";66075;"09/01/2017";"08/31/2018";"Open";"913-352-6167";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=135889";135889
"Over The Creek Day Care";"0067694-009";"Jaisha Murillo";"Group Day Care Home";;"Linn";"Pleasanton";66075;"07/01/2017";"06/30/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=131211";131211
"Sally V Payne Day Care Home";"0067693-010";"Sally Payne";"Licensed Day Care Home";;"Linn";"Pleasanton";66075;"05/01/2018";"04/30/2019";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=131209";131209
"Tiny Tots Country Daycare";"0074986-002";"April Castle";"Group Day Care Home";"5670 Scott Road";"Linn";"Pleasanton";66075;"05/11/2018";"08/09/2018";"Open";"817-637-1197";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=145795";145795
"Brooks Child Care";"0501615-002";"Ashley Milton";"Licensed Day Care Home";;"Franklin";"Pomona";66076;"04/11/2018";"04/30/2019";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000003233";5E+018
"Country Road Child Care";"0501073-003";"Jaclyn Nitcher";"Group Day Care Home";;"Franklin";"Pomona";66076;"11/01/2017";"10/31/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000002149";5E+018
"Kathys Day Care Home";"0058109-016";"Kathryn Case";"Licensed Day Care Home";"418 Monroe";"Franklin";"Pomona";66076;"10/01/2017";"09/30/2018";"Open";"785-214-8400";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=112041";112041
"Prairie Totz";"0073239-005";"Jessica Wikle";"Group Day Care Home";;"Franklin";"Pomona";66076;"07/01/2017";"06/30/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=142301";142301
"Country Time Kids";"0029372-019";"Laura Deters";"Licensed Day Care Home";"2110 John Brown Rd";"Franklin";"Princeton";66078;"03/29/2018";"03/31/2019";"Open";"785-937-2753";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=57129";57129
"Little Tykes Daycare";"0076696-001";"Glenda Sak";"Licensed Day Care Home";"401 Prince St";"Franklin";"Princeton";66078;"03/16/2018";"06/14/2018";"Open";"785-418-4667";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=149215";149215
"Angel Academy";"0071219-007";"Jennifer Ferguson";"Licensed Day Care Home";;"Franklin";"Richmond";66080;"10/01/2017";"09/30/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=138261";138261
"Little Rascals Daycare";"0501074-007";"Autumn Barone";"Group Day Care Home";;"Franklin";"Richmond";66080;"07/28/2017";"07/31/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000002151";5E+018
"Little Loveys Daycare";"0501555-002";"Erica Bushard";"Licensed Day Care Home";;"Johnson";"Spring Hill";66083;"01/19/2018";"01/31/2019";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000003113";5E+018
"Bright Bear Daycare";"0066213-009";"Megan Whipkey";"Licensed Day Care Home";;"Johnson";"Spring Hill";66083;"01/01/2018";"12/31/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=128249";128249
"Bright Beginnings";"0501545-002";"Bright Beginnings LLC";"Licensed Day Care Home";"21682 S Main St";"Johnson";"Spring Hill";66083;"01/12/2018";"01/31/2019";"Open";"913-263-2461";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000003093";5E+018
"Cheryls Kiddi Korral";"0003329-011";"Cheryl Amlin";"Group Day Care Home";;"Johnson";"Spring Hill";66083;;"01/31/2018";"License Suspended";;;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=6155";6155
"Cindys Cottage Kids Day Care Home";"0008697-014";"Cynthia Geyer";"Group Day Care Home";;"Johnson";"Spring Hill";66083;"08/01/2017";"07/31/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=16793";16793
"Day Brook Learning Center LLC";"0055571-012";"Day Brook Learning Center LLC";"Child Care Center";"22498 S Harrison St";"Johnson";"Spring Hill";66083;"12/01/2017";"11/30/2018";"Open";"913-592-3252";99;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=106965";106965
"Grandmas Play House Day Care Home";"0041498-011";"Alexandra Buchholz";"Group Day Care Home";;"Johnson";"Spring Hill";66083;"10/01/2017";"09/30/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=80623";80623
"Holly Shupert Place";"0062721-009";"Holly Shupert";"Licensed Day Care Home";;"Johnson";"Spring Hill";66083;;"04/30/2018";"License Expired";;;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=121265";121265
"Janiece Moore Home Daycare";"0060100-014";"Janiece Moore";"Licensed Day Care Home";;"Johnson";"Spring Hill";66083;"05/25/2018";"08/23/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=116023";116023
"Kim Sprague Day Care Home";"0067976-009";"Kimberly Sprague";"Licensed Day Care Home";"20615 W 219th Ter";"Johnson";"Spring Hill";66083;"02/01/2018";"01/31/2019";"Open";"913-481-0173";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=131775";131775
"Laura Eva Rowland Day Care Home";"0068399-011";"Laura Rowland";"Group Day Care Home";"21815 S Roosevelt St";"Johnson";"Spring Hill";66083;"04/01/2018";"03/31/2019";"Open";"913-219-8825";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=132621";132621
"Natashas Daycare";"0036607-016";"Natasha Hatfield";"Licensed Day Care Home";;"Johnson";"Spring Hill";66083;"04/01/2018";"03/31/2019";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=71351";71351
"Peace Love and Happiness Childcare";"0075937-004";"Carrie Thompson";"Licensed Day Care Home";;"Johnson";"Spring Hill";66083;"06/01/2018";"05/31/2019";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=147697";147697
"Speers Home";"0500894-003";"Jessica Speers";"Licensed Day Care Home";"21637 S Main St";"Johnson";"Spring Hill";66083;"10/01/2017";"09/30/2018";"Open";"913-638-8220";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000001791";5E+018
"Spring Hill United Methodist Community Preschool";"0007167-010";"Spring Hill United Methodist Cmnty Preschool Inc";"Preschool";;"Johnson";"Spring Hill";66083;"03/01/2018";"02/28/2019";"Open";;24;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=13783";13783
"The Childrens Studio";"0501185-006";"Natasha O Brien";"Group Day Care Home";"413 E Nichols St";"Johnson";"Spring Hill";66083;"03/16/2018";"03/31/2019";"Open";"913-592-9447";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000002373";5E+018
"The Village Day Care";"0036594-014";"Pamela Pacheco";"Group Day Care Home";"21842 Columbia Rd";"Johnson";"Spring Hill";66083;"07/01/2018";"06/30/2019";"Open";"913-706-9389";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=71325";71325
"The Wholesome Child";"0500988-006";"The Wholesome Child LLC";"Group Day Care Home";;"Johnson";"Spring Hill";66083;"01/01/2018";"12/31/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000001979";5E+018
"Trishs Tikes";"0070138-009";"Patricia Krueger";"Licensed Day Care Home";"20115 S Crestone St";"Johnson";"Spring Hill";66083;"06/01/2018";"05/31/2019";"Open";"913-713-9120";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=136099";136099
"Ys Kids Club At Prairie Creek Elementary";"0065722-010";"YMCA of Greater Kansas City";"School Age Program";"17077 W 165th St";"Johnson";"Spring Hill";66083;"10/01/2017";"09/30/2018";"Open";"913-592-7389";99;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=127267";127267
"Ys Kids Club At Spring Hill Elementary";"0500074-006";"YMCA of Greater Kansas City";"School Age Program";"300 South Webster St";"Johnson";"Spring Hill";66083;"10/01/2017";"09/30/2018";"Open";"913-345-9622";60;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000000151";5E+018
"Ys Kids Club At Wolf Creek Elementary";"0500075-006";"YMCA of Greater Kansas City";"School Age Program";"19250 S Ridgeview Rd";"Johnson";"Spring Hill";66083;"10/01/2017";"09/30/2018";"Open";"913-345-9622";60;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000000153";5E+018
"Half Pints Day Care Home";"0059628-009";"Patricia Kuchem";"Licensed Day Care Home";;"Johnson";"Stilwell";66085;"10/01/2017";"09/30/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=115079";115079
"Kids Come First Day Care Home";"0048221-009";"Shawnna Lawson";"Licensed Day Care Home";;"Johnson";"Stilwell";66085;"09/01/2017";"08/31/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=93061";93061
"Miss Marilyns";"0018591-011";"Marilyn Ryun";"Preschool";"19201 Hardy St";"Johnson";"Stilwell";66085;"04/01/2018";"03/31/2019";"Open";"913-897-3039";17;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=36037";36037
"Primrose of Blue Valley";"0076667-003";"Kalvi Inc";"Child Care Center";;"Johnson";"Stilwell";66085;"03/21/2018";"03/31/2019";"Open";;206;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=149157";149157
"Wee Workshop";"0000666-011";"The Wee Workshop Inc";"Child Care Center";;"Johnson";"Stilwell";66085;"12/01/2017";"11/30/2018";"Open";;130;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=905";905
"Wildwoods Early Learning Center and Parents Day Out";"0065685-009";"Southwoods Christian Church Inc";"Child Care Center";;"Johnson";"Stilwell";66085;"12/01/2017";"11/30/2018";"Open";;49;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=127193";127193
"Ys Kids Club At Blue River Elementary";"0033364-008";"YMCA of Greater Kansas City";"School Age Program";"4701 W 163rd Terr";"Johnson";"Stilwell";66085;"01/01/2018";"12/31/2018";"Open";"913-851-4988";53;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=65007";65007
"Ys Kids Club At Cedar Hills Elementary";"0055110-010";"YMCA of Greater Kansas City";"School Age Program";"9100 W 165th Street";"Johnson";"Stilwell";66085;"11/01/2017";"10/31/2018";"Open";"816-360-3334";120;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=106045";106045
"Care Quest Child Care";"0056325-010";"Tonganoxie United Methodist Church";"Group Day Care Home";"328 E 4th St";"Leavenworth";"Tonganoxie";66086;"03/01/2018";"02/28/2019";"Open";"913-845-2480";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=108473";108473
"Cornelia Kissinger Day Care Home";"0005138-011";"Cornelia Kissinger";"Licensed Day Care Home";;"Leavenworth";"Tonganoxie";66086;"02/01/2018";"01/31/2019";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=9747";9747
"Courtneys Child Care";"0501411-002";"Courtney Gordon";"Licensed Day Care Home";;"Leavenworth";"Tonganoxie";66086;"07/21/2017";"07/31/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000002825";5E+018
"Early Bird Home Day Care";"0048060-017";"Nacol Vestal";"Licensed Day Care Home";"108 E 8th St";"Leavenworth";"Tonganoxie";66086;"01/01/2018";"12/31/2018";"Open";"913-333-8975";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=92753";92753
"Genesis Christian Preschool And Extended Care";"0037792-011";"Genesis Schools Inc";"Child Care Center";;"Leavenworth";"Tonganoxie";66086;"11/01/2017";"10/31/2018";"Open";;60;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=73677";73677
"Jens Playschool Daycare";"0066451-011";"Jennifer Barnes";"Group Day Care Home";"212 S Melrose Ln";"Leavenworth";"Tonganoxie";66086;"11/01/2017";"10/31/2018";"Open";"913-219-1920";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=128725";128725
