"Program Type";"Number";"Program Name";"Address";"City";"State";"Zip";"Program Status";"Administrator(s)";"County";"License Begin Date";"License Expiration Date";"SUTQ Rating";"Phone";"Type";"Accreditations";"Meals";"Before School Care";"Evening Care";"Special Needs";"Transportation";"After School Care";"Overnight Care";"Field Trips";"Early Childhood Education Grant";"Head Start";"Private Kindergarten";"Publicly Funded Child Care";"Liability Insurance";"Monday";"Tuesday";"Wednesday";"Thursday";"Friday";"Saturday";"Sunday"
"Licensed Type B Family Child Care Home";921765161;"STEWART, KIMBERLY";"16108 SCOTTSDALE (UP)";"SHAKER HEIGHTS";"OH";44120;"CONTINUOUS LICENSE";;"CUYAHOGA";"January 1, 2014";"Continuous";;"216-295-0764";"B";;"+";"+";"+";;"+";"+";;;;;;"+";;"06:00 AM to 11:00 PM";"06:00 AM to 11:00 PM";"06:00 AM to 11:00 PM";"06:00 AM to 11:00 PM";"06:00 AM to 11:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";300043;"STRONGSVILLE COOPERATIVE PRESCHOOL";"15245 TRACY LANE";"STRONGSVILLE";"OH";44136;"CONTINUOUS LICENSE";"ALLISON SMTH, JOAN ANDRESKI";"CUYAHOGA";"September 13, 2010";"Continuous";;"440-238-5570";"C";;;;;;;;;;;;;;;"09:15 AM to 03:00 PM";"09:30 AM to 02:15 PM";"09:15 AM to 03:00 PM";"09:30 AM to 02:15 PM";"09:15 AM to 03:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2180017422;"STRONGSVILLE MONTESSORI SCHOOL & CHILD CARE";"16000 FOLTZ INDUSTRIAL PKWY";"STRONGSVILLE";"OH";44149;"CONTINUOUS LICENSE";"Heather Burrington";"CUYAHOGA";"July 16, 2018";"Continuous";2;"440-572-9365";"C";;;;;;;;;;;;;"+";;"06:00 AM to 06:30 PM";"06:00 AM to 06:30 PM";"06:00 AM to 06:30 PM";"06:00 AM to 06:30 PM";"06:00 AM to 06:30 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1000018464;"STS JOSEPH & JOHN INTERPAROCHI";"12580 PEARL RD";"STRONGSVILLE";"OH";44136;"CONTINUOUS LICENSE";;"CUYAHOGA";"September 24, 2011";"Continuous";;"440-238-4877";"P";;;;;;;;;;;;;;;"08:00 AM to 01:45 PM";"08:00 AM to 01:45 PM";"08:00 AM to 01:45 PM";"08:00 AM to 01:45 PM";"08:00 AM to 01:45 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";300787;"SUBURBAN COOPERATIVE NURSERY SCHOOL";"20300 HILLIARD BLVD.";"ROCKY RIVER";"OH";44116;"CONTINUOUS LICENSE";"JANET LORKO";"CUYAHOGA";"September 8, 2008";"Continuous";;"440-331-9929";"C";;;;;;;;;;;;;;;"09:00 AM to 11:15 AM";"09:00 AM to 11:15 AM";"09:00 AM to 11:15 AM";"09:00 AM to 11:00 AM";"09:00 AM to 11:00 AM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1000019085;"SUNBEAM";"11731 MOUNT OVERLOOK AVE";"CLEVELAND";"OH";44120;"CONTINUOUS LICENSE";;"CUYAHOGA";"September 24, 2011";"Continuous";4;"216-231-0961";"P";;"+";;;;"+";;;;;;;;;"08:15 AM to 03:00 PM";"08:15 AM to 03:00 PM";"08:15 AM to 03:00 PM";"08:15 AM to 03:00 PM";"08:15 AM to 03:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";306428;"SUPERIOR ACADEMY";"7020 SUPERIOR AVENUE";"CLEVELAND";"OH";44103;"CONTINUOUS LICENSE";"Endia Terry";"CUYAHOGA";"October 1, 2002";"Continuous";4;"216-881-6924";"C";;;;;;;;;;;;;"+";;"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2190019324;"SUPERIOR PROVIDERS CHILDCARE CENTER";"8023 SUPERIOR AVE";"CLEVELAND";"OH";44103;"CONTINUOUS LICENSE";"Lateesha Reed";"CUYAHOGA";"June 24, 2019";"Continuous";2;"216-675-1911";"C";;"+";"+";"+";;"+";"+";;"+";;;;"+";;"06:00 AM to MIDNIGHT";"06:00 AM to MIDNIGHT";"06:00 AM to MIDNIGHT";"06:00 AM to MIDNIGHT";"06:00 AM to MIDNIGHT";"CLOSED";"CLOSED"
"Licensed Type B Family Child Care Home";966039013;"SWANEY, MONIQUE";"10916 BRUNSWICK";"GARFIELD HTS";"OH";44125;"CONTINUOUS LICENSE";;"CUYAHOGA";"January 1, 2014";"Continuous";2;"216-510-0450";"B";;"+";"+";"+";;;"+";;;;;;"+";;"06:30 AM to 11:45 PM";"06:30 AM to 11:45 PM";"06:30 AM to 11:45 PM";"06:30 AM to 11:45 PM";"06:30 AM to 11:45 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2190020225;"SWEET KIDDLES FLEXIBLE CHILDCARE CENTER";"1999 CIRCLE DRIVE";"CLEVELAND";"OH";44106;"CONTINUOUS LICENSE";"Whitney Gemuenden";"CUYAHOGA";"January 8, 2020";"Continuous";2;"216-417-5010";"C";;;;;;;;;;;;;"+";;"06:15 AM to 07:30 PM";"06:15 AM to 07:30 PM";"06:15 AM to 07:30 PM";"06:15 AM to 07:30 PM";"06:15 AM to 07:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";300307;"SWEET KIDDLES FLEXIBLE CHILDCARE CENTER";"16512 PEARL ROAD";"STRONGSVILLE";"OH";44136;"CONTINUOUS LICENSE";"Jacqueline Tracz";"CUYAHOGA";"May 14, 2012";"Continuous";3;"440-238-1119";"C";;;;;;;;;;;;;"+";;"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1200022047;"TAFT CENTER FOR INNOVATION";"13701 LAKE AVE";"LAKEWOOD";"OH";44107;"CONTINUOUS LICENSE";;"CUYAHOGA";"August 24, 2020";"Continuous";;;"P";;"+";"+";;;;"+";;;"+";;;;;"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Type B Family Child Care Home";2210025407;"TANAISHA'S KIDDIEVILLE";"2980 SOUTH MORELAND BLVD APT4";"CLEVELAND";"OH";44120;"PROVISIONAL LICENSE";;"CUYAHOGA";"May 20, 2022";"May 19, 2023";;"216-358-7443";"B";;"+";"+";"+";;;"+";;;;;;"+";;"07:00 AM to 07:00 PM";"07:00 AM to 07:00 PM";"07:00 AM to 07:00 PM";"07:00 AM to 07:00 PM";"07:00 AM to 07:00 PM";"07:00 AM to 07:00 PM";"07:00 AM to 07:00 PM"
"Licensed Type B Family Child Care Home";945844560;"TAVAREZ, KIRSIS B";"8121 DETROIT AVE";"CLEVELAND";"OH";44102;"CONTINUOUS LICENSE";;"CUYAHOGA";"January 1, 2014";"Continuous";3;"216-854-3094";"B";;;;;;;;;;;;;"+";;"06:00 AM to MIDNIGHT";"06:00 AM to MIDNIGHT";"06:00 AM to MIDNIGHT";"06:00 AM to MIDNIGHT";"06:00 AM to MIDNIGHT";"06:00 AM to MIDNIGHT";"06:00 AM to MIDNIGHT"
"Licensed Child Care Center";301318;"TAYLOR ROAD NURSERY HEBREW ACADEMY";"1800 WARRENSVILLE CENTER RD";"CLEVELAND HEIGHTS";"OH";44121;"CONTINUOUS LICENSE";"Rivky Wolf";"CUYAHOGA";"June 18, 1977";"Continuous";2;"216-382-3300";"C";;"+";;;;;;;;;;;"+";;"08:30 AM to 03:15 PM";"08:30 AM to 03:15 PM";"08:30 AM to 03:15 PM";"08:30 AM to 03:15 PM";"08:30 AM to 01:30 PM";"CLOSED";"CLOSED"
"Licensed Type B Family Child Care Home";920165568;"TAYLOR, BRANDY";"24605 DONOVER ROAD";"WARRENSVILLE HEIGHTS";"OH";44128;"CONTINUOUS LICENSE";;"CUYAHOGA";"January 1, 2014";"Continuous";;"216-202-5539";"B";;"+";"+";;;;"+";;;;;;"+";"+";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT"
"Licensed Type B Family Child Care Home";984780326;"TAYLOR, JOANN";"13401 CHAPELSIDE AVENUE";"CLEVELAND";"OH";44120;"CONTINUOUS LICENSE";"JOANN TAYLOR";"CUYAHOGA";"January 1, 2014";"Continuous";;"216-752-0966";"B";;"+";"+";"+";;;"+";;;;;;"+";;"06:00 AM to MIDNIGHT";"06:00 AM to MIDNIGHT";"06:00 AM to MIDNIGHT";"06:00 AM to MIDNIGHT";"06:00 AM to MIDNIGHT";"CLOSED";"CLOSED"
"Licensed Type B Family Child Care Home";971086473;"TAYLOR, TIFFANY";"2106 HELMSDALE AVE";"EUCLID";"OH";44143;"CONTINUOUS LICENSE";;"CUYAHOGA";"January 1, 2014";"Continuous";;"216-459-7250";"B";;"+";"+";"+";;"+";"+";;"+";;;;"+";;"05:30 AM to 11:30 PM";"05:30 AM to 11:30 PM";"05:30 AM to 11:30 PM";"05:30 AM to 11:30 PM";"05:30 AM to 11:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2190019915;"TEAM COUTURE YOUTH CENTER";"4145 MAYFIELD RD";"SOUTH EUCLID";"OH";44121;"CONTINUOUS LICENSE";"Donna Pollard";"CUYAHOGA";"June 10, 2019";"Continuous";;"216-785-9244";"C";;;"+";"+";;;;;;;;;"+";;"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";307981;"TEMPLE EMANU EL PRESCHOOL";"4545 BRAINARD RD";"ORANGE VILLAGE";"OH";44022;"CONTINUOUS LICENSE";"Eleanor Gulling";"CUYAHOGA";"August 21, 2008";"Continuous";3;"216-454-1308";"C";;"+";;;;;;;"+";;;;"+";;"08:00 AM to 05:00 PM";"08:00 AM to 05:00 PM";"08:00 AM to 05:00 PM";"08:00 AM to 05:00 PM";"08:00 AM to 05:00 PM";"CLOSED";"CLOSED"
"Licensed Type A Family Child Care Home";2170014368;"THE BENNETT FAMILY CHILD CARE";"486 RICHMOND ROAD";"RICHMOND HEIGHTS";"OH";44143;"CONTINUOUS LICENSE";;"CUYAHOGA";"September 7, 2017";"Continuous";4;"216-751-8358";"A";;"+";"+";"+";;;"+";"+";"+";;;;"+";"+";"MIDNIGHT to 06:00 AM";"MIDNIGHT to 06:00 AM";"MIDNIGHT to 06:00 AM";"MIDNIGHT to 06:00 AM";"MIDNIGHT to 06:00 AM";"MIDNIGHT to 06:00 AM";"MIDNIGHT to 06:00 AM"
"Licensed Child Care Center";300580;"THE CLEVELAND MUSIC SCHOOL SETTLEMENT PRESCHOOL";"11125 MAGNOLIA DRIVE";"CLEVELAND";"OH";44106;"CONTINUOUS LICENSE";"DEBORAH VOLKER, KAREN HEITLINGER";"CUYAHOGA";"January 23, 1971";"Continuous";4;"216-421-5806";"C";;;"+";;;;;;"+";"+";;"+";"+";;"07:00 AM to 05:45 PM";"07:00 AM to 05:45 PM";"07:00 AM to 05:45 PM";"07:00 AM to 05:45 PM";"07:00 AM to 05:45 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2180017886;"THE CLEVELAND MUSIC SCHOOL SETTLEMENT/ THE MUSIC SETTLEMENT OHIO CITY";"2610 DETROIT AVE";"CLEVELAND";"OH";44113;"CONTINUOUS LICENSE";"Jessica Johnson, Karen Heitlinger";"CUYAHOGA";"August 14, 2018";"Continuous";4;"216-388-1410";"C";;;"+";;;;;;"+";"+";;"+";"+";;"07:00 AM to 05:45 PM";"07:00 AM to 05:45 PM";"07:00 AM to 05:45 PM";"07:00 AM to 05:45 PM";"07:00 AM to 05:45 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";300328;"THE CLUB NEXT DOOR";"14496 RIDGE ROAD";"NORTH ROYALTON";"OH";44133;"CONTINUOUS LICENSE";"JOHANNE WIGTON, MICHELLE DEATHERAGE";"CUYAHOGA";"July 12, 2012";"Continuous";;"440-237-5000";"C";;"+";"+";;;;"+";;"+";;;;;;"08:30 AM to 05:30 PM";"08:30 AM to 05:30 PM";"08:30 AM to 05:30 PM";"08:30 AM to 05:30 PM";"08:30 AM to 05:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";302758;"THE COOPERATIVE PRE-SCHOOL OF BAY VILLAGE";"29931 LAKE RD";"BAY VILLAGE";"OH";44140;"CONTINUOUS LICENSE";"Kari Patrick, Kristen Dipert, PATTI BLAKE";"CUYAHOGA";"September 8, 1986";"Continuous";;"440-941-4698";"C";;;;;;;;;;;;;;;"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED"
"Licensed Child Care Center";308735;"THE CUB HOUSE CHILD CARE";"6500 PEARL RD";"PARMA HTS";"OH";44130;"CONTINUOUS LICENSE";"CATHY KAVALEC";"CUYAHOGA";"June 14, 2010";"Continuous";;"440-884-2827";"C";;"+";;;;;;;;;;;"+";;"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";305154;"THE ENRICHMENT CENTER OF WISHING WELL";"14574 RIDGE RD";"NORTH ROYALTON";"OH";44133;"CONTINUOUS LICENSE";"JOHANNE G WIGTON, Darlene Capretta";"CUYAHOGA";"December 29, 1998";"Continuous";;"440-237-5000";"C";;"+";"+";;;;"+";;"+";;;;;;"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2180018249;"THE GODDARD SCHOOL";"7655 TOWN CENTRE DRIVE";"BROADVIEW HEIGHTS";"OH";44147;"CONTINUOUS LICENSE";"Ame Iwan, Megan Drye";"CUYAHOGA";"September 1, 2018";"Continuous";;"440-740-1234";"C";;;;;;;;;;;;;;;"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";300427;"THE GODDARD SCHOOL";"675 MINER RD";"HIGHLAND HGHTS";"OH";44143;"CONTINUOUS LICENSE";"Gina Brown";"CUYAHOGA";"June 27, 2013";"Continuous";;"440-684-2774";"C";;"+";;;;;"+";;;;;;;;"07:00 AM to 05:30 PM";"07:00 AM to 05:30 PM";"07:00 AM to 05:30 PM";"07:00 AM to 05:30 PM";"07:00 AM to 05:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";300158;"THE GODDARD SCHOOL";"5701 LOMBARDO BLVD";"INDEPENDENCE";"OH";44131;"CONTINUOUS LICENSE";"JANETTE WELLS";"CUYAHOGA";"May 2, 2011";"Continuous";3;"216-525-2000";"C";;;;;;;;;;;;;;;"07:30 AM to 05:30 PM";"07:30 AM to 05:30 PM";"07:30 AM to 05:30 PM";"07:30 AM to 05:30 PM";"07:30 AM to 05:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2190019299;"THE GODDARD SCHOOL";"13590 FALLING WATER ROAD";"STRONGSVILLE";"OH";44136;"CONTINUOUS LICENSE";"Christina Van Sant";"CUYAHOGA";"March 13, 2019";"Continuous";3;"440-238-4600";"C";;;"+";;;"+";"+";;;;;;"+";;"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";300348;"THE GODDARD SCHOOL";"30502 CENTER RIDGE RD.";"WESTLAKE";"OH";44145;"CONTINUOUS LICENSE";"SERENA JUERGENS";"CUYAHOGA";"October 2, 2012";"Continuous";;"440-892-2689";"C";;;;;;;;;;;;;;;"07:00 AM to 05:30 PM";"07:00 AM to 05:30 PM";"07:00 AM to 05:30 PM";"07:00 AM to 05:30 PM";"07:00 AM to 05:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2200023249;"THE GODDARD SCHOOL - BEACHWOOD";"3875 S. GREEN ROAD";"BEACHWOOD";"OH";44122;"CONTINUOUS LICENSE";"Kristina Turk, Melissa Ledwith";"CUYAHOGA";"January 20, 2021";"Continuous";;"216-545-7888";"C";;;;;;;;;;;;;"+";;"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";300057;"THE HEIGHTS LEARNING CENTER";"499 TREBISKY RD";"RICHMOND HTS";"OH";44143;"CONTINUOUS LICENSE";"Carolyn Joseph, LINDA BARTLETT";"CUYAHOGA";"October 27, 1971";"Continuous";;"216-486-6674";"C";;"+";"+";;;;"+";;;;;;"+";;"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2210024827;"THE JEAN TAYLOR SCHOOL";"3216 SILSBY ROAD";"CLEVELAND HEIGHTS";"OH";44118;"CONTINUOUS LICENSE";"Robyn Gibson, Brittni Gibson";"CUYAHOGA";"August 22, 2021";"Continuous";;"216-862-9220";"C";;"+";;;;;"+";;;;;;"+";;"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Type B Family Child Care Home";2210025210;"THE JOURNIE KIDS ACADEMY";"10206 SLADDEN AVENUE";"GARFIELD HEIGHTS";"OH";44125;"PROVISIONAL LICENSE";;"CUYAHOGA";"May 25, 2022";"May 24, 2023";;"216-562-7100";"B";;"+";;"+";;;;;"+";;;;"+";;"07:00 AM to 05:00 PM";"07:00 AM to 05:00 PM";"07:00 AM to 05:00 PM";"07:00 AM to 05:00 PM";"07:00 AM to 05:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2220025668;"THE KIDS CLUBHOUSE ENRICHMENT CENTER LLC";"5196 LEE ROAD";"MAPLE HEIGHTS";"OH";44137;"PROVISIONAL LICENSE";"Vasilika Benjamin";"CUYAHOGA";"May 1, 2022";"April 30, 2023";;"216-865-6262";"C";;;"+";"+";;;"+";;"+";;;;"+";;"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";305158;"THE LEARNING CIRCLE AT JENNINGS CENTER FOR OLDER ADULTS";"10204 GRANGER RD";"GARFIELD HTS";"OH";44125;"CONTINUOUS LICENSE";"RACHIEL AGAY";"CUYAHOGA";"June 18, 1999";"Continuous";;"216-581-2900";"C";;"+";"+";;;"+";"+";;"+";;;;"+";;"05:45 AM to 06:00 PM";"05:45 AM to 06:00 PM";"05:45 AM to 06:00 PM";"05:45 AM to 06:00 PM";"05:45 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2210025114;"THE LEARNING EXPERIENCE";"25211 CENTER RIDGE ROAD";"WESTLAKE";"OH";44145;"CONTINUOUS LICENSE";"Mary Hulderman";"CUYAHOGA";"October 25, 2021";"Continuous";;"440-617-6279";"C";;"+";;;;;;;;;;;;;"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"CLOSED";"CLOSED"
"Licensed Type B Family Child Care Home";996556956;"THE LEARNING LADDER, INC.";"17325 TALFORD AVE";"CLEVELAND";"OH";44128;"CONTINUOUS LICENSE";;"CUYAHOGA";"January 10, 2017";"Continuous";2;"216-816-7286";"B";;"+";"+";"+";;"+";"+";"+";"+";;;;"+";"+";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"CLOSED";"CLOSED"
"Licensed Child Care Center";307260;"THE LILLIAN AND BETTY RATNER SCHOOL";"27575 SHAKER BLVD";"PEPPER PIKE";"OH";44124;"CONTINUOUS LICENSE";"Becca Ucker";"CUYAHOGA";"October 2, 2006";"Continuous";4;"216-464-0033";"C";;;"+";;;;"+";;"+";;;"+";;;"08:00 AM to 06:00 PM";"08:00 AM to 06:00 PM";"08:00 AM to 06:00 PM";"08:00 AM to 06:00 PM";"08:00 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";300364;"THE MAGICAL WORLD CHILDCARE & LEARNING CENTER";"9810 MADISON AVE";"CLEVELAND";"OH";44102;"CONTINUOUS LICENSE";"YADIRA MENDEZ";"CUYAHOGA";"December 3, 2012";"Continuous";;"216-961-6201";"C";;;;;;;;;;;;;"+";;"06:00 AM to 06:30 PM";"06:00 AM to 06:30 PM";"06:00 AM to 06:30 PM";"06:00 AM to 06:30 PM";"06:00 AM to 06:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2200023230;"THE MEETING PLACE PRESCHOOL";"12406 BUCKINGHAM";"CLEVELAND";"OH";44120;"CONTINUOUS LICENSE";"Lauren Durkalski";"CUYAHOGA";"March 17, 2021";"Continuous";3;"216-862-7308";"C";;"+";;;;;"+";;;;;;"+";;"08:00 AM to 05:00 PM";"08:00 AM to 05:00 PM";"08:00 AM to 05:00 PM";"08:00 AM to 05:00 PM";"08:00 AM to 05:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";300327;"THE NEST SCHOOLS BRECKSVILLE";"4949 WEST SNOWVILLE RD.";"BRECKSVILLE";"OH";44141;"CONTINUOUS LICENSE";"Emily Penwell";"CUYAHOGA";"July 6, 2012";"Continuous";;"440-546-4900";"C";;;;;;;;;;;;;;;"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";306559;"THE NEST SCHOOLS INDEPENDENCE";"7000 ROCKSIDE ROAD";"INDEPENDENCE";"OH";44131;"CONTINUOUS LICENSE";"ASHLEIGH KROPP";"CUYAHOGA";"September 27, 2004";"Continuous";;"216-525-0760";"C";;;;;;;;;;;;;"+";;"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";305731;"THE NEST SCHOOLS ROCKY RIVER";"19315 HILLIARD BLVD";"ROCKY RIVER";"OH";44116;"CONTINUOUS LICENSE";"Kaitlyn Wetula, Kaitlin Ford";"CUYAHOGA";"August 27, 2001";"Continuous";;"440-356-7329";"C";;;;;;;;;;;;;"+";;"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2170016482;"THE NEST SCHOOLS SHAKER HEIGHTS";"3350 WARRENSVILLE CENTER ROAD";"SHAKER HEIGHTS";"OH";44122;"CONTINUOUS LICENSE";"Annie Weber";"CUYAHOGA";"January 8, 2018";"Continuous";;"216-751-0320";"C";;;;;;;;;;;;;;;"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";308793;"THE NEST SCHOOLS SOLON";"6010 KRUSE DR";"SOLON";"OH";44139;"CONTINUOUS LICENSE";"Emily Urbassik";"CUYAHOGA";"May 1, 2010";"Continuous";;"440-248-3219";"C";;"+";"+";;;"+";"+";;"+";;;"+";;;"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";303584;"THE NEST SCHOOLS STRONGSVILLE";"14780 PEARL RD";"STRONGSVILLE";"OH";44136;"CONTINUOUS LICENSE";"Christie Stemplinski";"CUYAHOGA";"February 15, 1991";"Continuous";;"440-238-8383";"C";;;;;;;;;;;;;"+";;"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";304063;"THE NEST SCHOOLS WESTLAKE";"27390 CENTER RIDGE RD";"WESTLAKE";"OH";44145;"CONTINUOUS LICENSE";"Falicia Salobeck, Kaci Gross";"CUYAHOGA";"February 4, 1993";"Continuous";;"440-835-2929";"C";;"+";"+";;;"+";"+";;"+";;;"+";"+";;"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";308221;"THE SALVATION ARMY -- OHIO CITY";"4402 CLARK AVE";"CLEVELAND";"OH";44109;"CONTINUOUS LICENSE";"Marissa Alvarado";"CUYAHOGA";"June 5, 2009";"Continuous";;"216-631-1515";"C";;"+";;;;;;;"+";"+";;;;;"08:00 AM to 05:30 PM";"08:00 AM to 05:30 PM";"08:00 AM to 05:30 PM";"08:00 AM to 05:30 PM";"08:00 AM to 05:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";300904;"THE SCHOLAR HOUSE";"18900 LIBBY ROAD";"MAPLE HEIGHTS";"OH";44137;"CONTINUOUS LICENSE";"Alyson Nobles";"CUYAHOGA";"January 3, 2017";"Continuous";2;"216-952-8124";"C";;;;;;;;;;;;;"+";;"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2190019311;"THE SCHOLAR HOUSE-GIRLS CAMPUS";"4901 GALAXY PARKWAY";"WARRENSVILLE HEIGHTS";"OH";44128;"CONTINUOUS LICENSE";"Jamirra Brabson";"CUYAHOGA";"June 7, 2019";"Continuous";;"216-952-8124";"C";;;"+";;;"+";"+";;"+";;;;;;"02:30 AM to 07:00 PM";"02:30 AM to 07:00 PM";"02:30 AM to 07:00 PM";"02:30 AM to 07:00 PM";"06:30 AM to 06:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";308039;"THE SCHOOL OF THE LITTLE ONES INC";"14502 GRANGER";"MAPLE HTS";"OH";44137;"CONTINUOUS LICENSE";"APRIL ROBERSON";"CUYAHOGA";"August 21, 2008";"Continuous";1;"216-518-7735";"C";;;;;;;;;;;;;"+";;"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED"
