"FacilityID";"InspectionID";"Inspection Date";"Violation Summary";"Code Sub Section";"Violation Category";"Violation Status"
"BrooklynDC34761";"6c4a4eb6b2fbde6485cb4becfcf66c93";" 1/14/22";"N permittee shall admit a child without appropriate documentation of immunization or medical exemption";"47.25(a)(2)(A)(ii)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BrooklynDC34761";"6c4a4eb6b2fbde6485cb4becfcf66c93";" 1/14/22";"Training in SIDS, Shaken Baby Syndrome and Safe Sleep practices Not provided to staff";"47.37(b)(4)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BrooklynDC34761";"6c4a4eb6b2fbde6485cb4becfcf66c93";" 1/14/22";"Infant Toddler Teacher qualification documents Not submitted to approved agent for review; documents Not available upon request";47.15;"Minor violations (General Violations)";"OPEN"
"BrooklynDC34761";"6c4a4eb6b2fbde6485cb4becfcf66c93";" 1/14/22";"At time of inspection children's medical files were Not provided, were incomplete or were Not maintained.";"47.25(d)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC34761";"6c4a4eb6b2fbde6485cb4becfcf66c93";" 1/14/22";"At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.";"47.33(b)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC34761";"6c4a4eb6b2fbde6485cb4becfcf66c93";" 1/14/22";"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.";"47.33(c)(1)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC23137";"84a1ff6ff4047984bde484fe2af1cfad";" 12/12/19";"Enrolled children have received aged appropriate immunization unless exempt in accordance with Public Health Law 2163";"43.17(a)(2)(A)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BrooklynDC23137";"84a1ff6ff4047984bde484fe2af1cfad";" 12/12/19";"Walls and ceiling in commercial building Not properly constructed; Not maintained in good repair; unclean";"131.09(f)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC32355";"20651dead873ace726533a7588018e0f";" 7/14/21";"At time of inspection children's medical files were Not provided, were incomplete or were Not maintained.";"47.25(d)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC33715";"b093b15c3992f9a13cbd3bdf33528be7";" 6/2/21";"School-based child care program failed to maintain line of site supervision.";"43.09(a)";"Violations requiring immediate correction (Public Health Hazards)";"OPEN"
"BrooklynDC33715";"b093b15c3992f9a13cbd3bdf33528be7";" 6/2/21";"School-based child care program fails to maintain minimum staff to child ratios.";"43.09(b)";"Violations requiring immediate correction (Public Health Hazards)";"OPEN"
"BrooklynDC37964";"d3b41e970def10d960c4f0d0f8e15483";" 12/15/21";"Child care service teaching staff acting as assistant teachers do Not meet age and educational requirements.";"47.13(f)";"Minor violations (General Violations)";"CORRECTED"
"BrooklynDC37964";"d3b41e970def10d960c4f0d0f8e15483";" 12/15/21";"At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.";"47.33(b)";"Minor violations (General Violations)";"CORRECTED"
"BrooklynDC37964";"d3b41e970def10d960c4f0d0f8e15483";" 12/15/21";"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.";"47.33(c)(1)";"Minor violations (General Violations)";"CORRECTED"
"BrooklynDC24797";"11f5f16a36f4cbc1e37c39ba83435683";" 12/8/21";"School operator arranges for fingerprinting";"43.13(c)(1)";"Violations requiring immediate correction (Public Health Hazards)";"OPEN"
"BrooklynDC24797";"11f5f16a36f4cbc1e37c39ba83435683";" 12/8/21";"School operator arranges for State Central Register for Abuse clearance; repeats clearance inquiry every two years";"43.13(c)(3)";"Violations requiring immediate correction (Public Health Hazards)";"OPEN"
"BrooklynDC24797";"11f5f16a36f4cbc1e37c39ba83435683";" 12/8/21";"Written safety plan describes provisions for health care maintenance and compliance; provisions for emergency medical care first aid and CPR";"43.07(b)(4)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC24797";"11f5f16a36f4cbc1e37c39ba83435683";" 12/8/21";"Person in charge of school prohibits staff from attending in absence of immunization documentation";"43.11(c)(3)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC24797";"11f5f16a36f4cbc1e37c39ba83435683";" 12/8/21";"Training certificates maintained on site and available upon request";43.14;"Minor violations (General Violations)";"OPEN"
"BrooklynDC24797";"11f5f16a36f4cbc1e37c39ba83435683";" 12/8/21";"Child Medical record are DOHMH property when health care provider provided by DOHMH";"43.17(f)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC35290";"208fa5919140d727f7cd39fee5a9c8e2";" 11/19/19";"Written safety plan describes provisions for health care maintenance and compliance; provisions for emergency medical care first aid and CPR";"43.07(b)(4)";"Minor violations (General Violations)";"CORRECTED"
"BrooklynDC35290";"208fa5919140d727f7cd39fee5a9c8e2";" 11/19/19";"All staff who will have unsupervised contact with children has undergone child abuse and criminal justice screening and reference checks";"43.13(a)";"Minor violations (General Violations)";"CORRECTED"
"BrooklynDC35290";"208fa5919140d727f7cd39fee5a9c8e2";" 11/19/19";"Child Medical record are DOHMH property when health care provider provided by DOHMH";"43.17(f)";"Minor violations (General Violations)";"CORRECTED"
"BrooklynDC24786";"b866d58e2dbe97685b1a5d10b94d9ae3";" 1/7/20";"Written safety plan describes provisions for health care maintenance and compliance; provisions for emergency medical care first aid and CPR";"43.07(b)(4)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC24786";"b866d58e2dbe97685b1a5d10b94d9ae3";" 1/7/20";"Child Medical record are DOHMH property when health care provider provided by DOHMH";"43.17(f)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC12112";"94740a8c9c7e8347db2a58b35b2c441d";" 10/13/21";"Water Not tested for lead as required. Elevated lead levels Not remediated. School fails to use approved water source when indicated";"43.24(a)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BrooklynDC1053";"a710aa214d16a33bfb8fabbc127bed8d";" 12/8/21";"Water Not tested for lead as required. Elevated lead levels Not remediated. School fails to use approved water source when indicated";"43.24(a)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BrooklynDC1053";"a710aa214d16a33bfb8fabbc127bed8d";" 12/8/21";"Staff submitted immunization record. File maintained confidential. File including electronic available for inspection on site";"43.11(c)(2)";"Minor violations (General Violations)";"CORRECTED"
"BrooklynDC1053";"a710aa214d16a33bfb8fabbc127bed8d";" 12/8/21";"Training certificates maintained on site and available upon request";43.14;"Minor violations (General Violations)";"CORRECTED"
"BrooklynDC1053";"a710aa214d16a33bfb8fabbc127bed8d";" 12/8/21";"Child Medical record are DOHMH property when health care provider provided by DOHMH";"43.17(f)";"Minor violations (General Violations)";"CORRECTED"
"BrooklynDC22752";"bd60fc786478ccc3cf21033d21345444";" 1/26/22";"Child care service/camp fails to comply with an Order of the Board or Commissioner of Health and Mental Hygiene.";3.05;"Violations requiring immediate correction (Public Health Hazards)";"OPEN"
"BrooklynDC38761";"1373decb6a9e647c52a55f7c40a8acb2";" 12/15/21";"School-based child care program failed to maintain line of site supervision.";"43.09(a)";"Violations requiring immediate correction (Public Health Hazards)";"OPEN"
"BrooklynDC38761";"1373decb6a9e647c52a55f7c40a8acb2";" 12/15/21";"School-based child care program fails to maintain minimum staff to child ratios.";"43.09(b)";"Violations requiring immediate correction (Public Health Hazards)";"OPEN"
"BrooklynDC38761";"1373decb6a9e647c52a55f7c40a8acb2";" 12/15/21";"Adequate natural or artificial ventilation Not provided; Commercial building Not free of harmful heat dust fumes vapors or gases";"131.09(b)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BrooklynDC38761";"1373decb6a9e647c52a55f7c40a8acb2";" 12/15/21";"Walls and ceiling in commercial building Not properly constructed; Not maintained in good repair; unclean";"131.09(f)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC22944";"a4898db58857235caa443db9bbe86ad1";" 10/29/19";"Written safety plan describes provisions for health care maintenance and compliance; provisions for emergency medical care first aid and CPR";"43.07(b)(4)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC22944";"a4898db58857235caa443db9bbe86ad1";" 10/29/19";"Written Safety Plan describes provisions for staff orientation and training.";"43.07(b)(7)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC22944";"a4898db58857235caa443db9bbe86ad1";" 10/29/19";"All staff who will have unsupervised contact with children has undergone child abuse and criminal justice screening and reference checks";"43.13(a)";"Minor violations (General Violations)";"CORRECTED"
"BrooklynDC22944";"a4898db58857235caa443db9bbe86ad1";" 10/29/19";"Child Medical record are DOHMH property when health care provider provided by DOHMH";"43.17(f)";"Minor violations (General Violations)";"CORRECTED"
"BrooklynDC40689";"f0025a275b10751d5f93e0586da93c5a";" 11/23/21";"Written safety plan describes provisions for health care maintenance and compliance; provisions for emergency medical care first aid and CPR";"43.07(b)(4)";"Minor violations (General Violations)";"CORRECTED"
"BrooklynDC40689";"f0025a275b10751d5f93e0586da93c5a";" 11/23/21";"Written safety plan describes provisions for child abuse maltreatment response or response to a lack of supervision resulting in a lost child incident; including generation of Corrective Action Plans";"43.07(b)(5)";"Minor violations (General Violations)";"CORRECTED"
"BrooklynDC24911";"1a7ce5c0d800830fce456f94110c1d35";" 11/30/21";"Written Safety Plan describes provisions for staff orientation and training in child abuse, infection and hazard control and emergency procedures as required by 43.14";"43.07(b)(7)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC24911";"1a7ce5c0d800830fce456f94110c1d35";" 11/30/21";"Person in charge of school prohibits staff from attending in absence of immunization documentation";"43.11(c)(3)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC144";"e725ea09383777dfa8c0e276e273ada4";" 11/9/21";"School operator conducts criminal history review";"43.13(c)(2)";"Violations requiring immediate correction (Public Health Hazards)";"OPEN"
"BrooklynDC144";"e725ea09383777dfa8c0e276e273ada4";" 11/9/21";"Each staff member has documentation showing they received 2 doses measles/mumps vaccine, 1 dose rubella vaccine, 2 doses varicella vaccine and 1 dose Tdap";"43.11(c)(1)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC144";"e725ea09383777dfa8c0e276e273ada4";" 11/9/21";"Child Medical record are DOHMH property when health care provider provided by DOHMH";"43.17(f)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC741";"fe1953e3a58aed1881577f8d05c14eed";" 10/22/21";"School operator conducts criminal history review";"43.13(c)(2)";"Violations requiring immediate correction (Public Health Hazards)";"OPEN"
"BrooklynDC741";"fe1953e3a58aed1881577f8d05c14eed";" 10/22/21";"Children immunized against diphtheria, tetanus, pertussis, polio, MMR, varicella, HepB, pneumococcal disease and Hib. Immunization records and medical exemption records on site and available upon request";"43.17(a)(2)(A)(i)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BrooklynDC741";"fe1953e3a58aed1881577f8d05c14eed";" 10/22/21";"Children immunized against diphtheria, tetanus, pertussis, polio, MMR, varicella, HepB, pneumococcal disease and Hib. Immunization records and medical exemption records on site and available upon request";"43.17(a)(2)(A)(i)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BrooklynDC741";"fe1953e3a58aed1881577f8d05c14eed";" 10/22/21";"Children enrolled in school-based child care program have Not received periodic medical examination.";"43.17(c)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BrooklynDC741";"fe1953e3a58aed1881577f8d05c14eed";" 10/22/21";"Food packages observed Not maintained. Food observed exposed to spoilage/contamination at time of inspection. Food observed being served that is Not suitable for consumption.";"81.07(b)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BrooklynDC423";"c3289cd7ec37eaced25116a475b951b3";" 12/9/21";"Person in charge of school prohibits staff from attending in absence of immunization documentation";"43.11(c)(3)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC423";"c3289cd7ec37eaced25116a475b951b3";" 12/9/21";"Child Medical record are DOHMH property when health care provider provided by DOHMH";"43.17(f)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC12116";"43951898783e738054f9cb20ada7d0eb";" 12/14/21";"School operator arranges for fingerprinting";"43.13(c)(1)";"Violations requiring immediate correction (Public Health Hazards)";"OPEN"
"BrooklynDC12116";"43951898783e738054f9cb20ada7d0eb";" 12/14/21";"Approved fire extinguishers provided in good working order and inspected";"43.22(b)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BrooklynDC12116";"43951898783e738054f9cb20ada7d0eb";" 12/14/21";"Written Safety Plan describes provisions for staff orientation and training in child abuse, infection and hazard control and emergency procedures as required by 43.14";"43.07(b)(7)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC36628";"5df5fd17f15a1c71b2cc50c7e4f39eac";" 7/7/21";"Qualified Group Teacher Not designated to cover for Education Director. Permittee failed to Notify Department of separation from service of Education Director";"47.13(c)(1)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BrooklynDC36628";"5df5fd17f15a1c71b2cc50c7e4f39eac";" 7/7/21";"All staff with potential for unsupervised contact with children including volunteers have Not been cleared";"47.19(a)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC36280";"f674bbe2ed2f75727695537f699da8c0";" 12/15/21";"At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.";"47.37(b)(1)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BrooklynDC36280";"f674bbe2ed2f75727695537f699da8c0";" 12/15/21";"At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.";"47.33(b)";"Minor violations (General Violations)";"CORRECTED"
"BrooklynDC36280";"f674bbe2ed2f75727695537f699da8c0";" 12/15/21";"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.";"47.33(c)(1)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC14775";"1c888c88c27dc29d818397178fd0b200";" 8/12/21";"All teachers have Not received training in infectious disease control and reporting.";"47.37(b)(2)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BrooklynDC14775";"1c888c88c27dc29d818397178fd0b200";" 8/12/21";"At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.";"47.33(b)";"Minor violations (General Violations)";"CORRECTED"
"BrooklynDC36652";"3a80f6774c6a9f7942e4ee27d4b4e633";" 6/3/21";"Children enrolled in school-based child care program have Not received periodic medical examination.";"43.17(c)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BrooklynDC25731";"4b51e5ebcf599746fa338f10214fb75e";" 7/8/21";"Child care service staff acting as assistant teachers in night care program do Not meet staff qualification requirements.";"47.17(c)";"Minor violations (General Violations)";"CORRECTED"
"BrooklynDC25731";"4b51e5ebcf599746fa338f10214fb75e";" 7/8/21";"Child care service failed to conduct business and employment reference checks of staff/volunteers.";"47.19(i)";"Minor violations (General Violations)";"CORRECTED"
"BrooklynDC25731";"4b51e5ebcf599746fa338f10214fb75e";" 7/8/21";"At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.";"47.33(b)";"Minor violations (General Violations)";"CORRECTED"
"BrooklynDC25731";"4b51e5ebcf599746fa338f10214fb75e";" 7/8/21";"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.";"47.33(c)(1)";"Minor violations (General Violations)";"CORRECTED"
"BrooklynDC1966";"df6e179bafd8c93931cdc8db41057c7f";" 12/1/21";"Approved fire extinguishers provided in good working order and inspected";"43.22(b)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BrooklynDC21836";"408636ad2b2e8883bcd9e29222b01ebc";" 12/9/21";"School operator arranges for fingerprinting";"43.13(c)(1)";"Violations requiring immediate correction (Public Health Hazards)";"OPEN"
"BrooklynDC21836";"408636ad2b2e8883bcd9e29222b01ebc";" 12/9/21";"School-based child care program failed to submit Notice of Filing.";43.05;"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BrooklynDC21836";"408636ad2b2e8883bcd9e29222b01ebc";" 12/9/21";"Written safety plan describes provisions for health care maintenance and compliance; provisions for emergency medical care first aid and CPR";"43.07(b)(4)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC21836";"408636ad2b2e8883bcd9e29222b01ebc";" 12/9/21";"School-based child care staff observed caring for children while unhealthy. Staff medical certificate of fitness Not provided.";"43.11(b)";"Minor violations (General Violations)";"CORRECTED"
"BrooklynDC21836";"408636ad2b2e8883bcd9e29222b01ebc";" 12/9/21";"School-based child care staff observed caring for children while unhealthy. Staff medical certificate of fitness Not provided.";"43.11(b)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC21836";"408636ad2b2e8883bcd9e29222b01ebc";" 12/9/21";"Each staff member has documentation showing they received 2 doses measles/mumps vaccine, 1 dose rubella vaccine, 2 doses varicella vaccine and 1 dose Tdap";"43.11(c)(1)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC21836";"408636ad2b2e8883bcd9e29222b01ebc";" 12/9/21";"Training certificates maintained on site and available upon request";43.14;"Minor violations (General Violations)";"OPEN"
"BrooklynDC10875";"e7ea8112f736b4c871f6515422fabf46";" 7/27/21";"Epi auto injector Not provided, Not maintained or expired.";"47.29(c)(1)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BrooklynDC10875";"e7ea8112f736b4c871f6515422fabf46";" 7/27/21";"Training in the prevention and control of allergic reactions Not provided";"47.37(b)(5)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BrooklynDC10875";"e7ea8112f736b4c871f6515422fabf46";" 7/27/21";"At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.";"47.33(b)";"Minor violations (General Violations)";"CORRECTED"
"BrooklynDC23062";"e6da26dc2529622624b72560da84959f";" 11/26/19";"School-based child care program fails to provide complete written safety plan at time of inspection.";"43.21(a)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BrooklynDC23062";"e6da26dc2529622624b72560da84959f";" 11/26/19";"Person in charge of school/institution keeps copy of code on premises; available to personnel";45.05;"Minor violations (General Violations)";"OPEN"
"BrooklynDC39239";"e715749e1a2e5f7f383e5dfc4c9f1ac8";" 10/27/21";"At time of inspection it was determined that individual associated with child care service/camp involved in an act detrimental to health and safety.";3.07;"Violations requiring immediate correction (Public Health Hazards)";"OPEN"
"BrooklynDC39239";"e715749e1a2e5f7f383e5dfc4c9f1ac8";" 10/27/21";"School operator arranges for fingerprinting";"43.13(c)(1)";"Violations requiring immediate correction (Public Health Hazards)";"OPEN"
"BrooklynDC39239";"e715749e1a2e5f7f383e5dfc4c9f1ac8";" 10/27/21";"Children enrolled in school-based child care program have Not received appropriate medical examination.";"43.17(a)(1)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BrooklynDC39239";"e715749e1a2e5f7f383e5dfc4c9f1ac8";" 10/27/21";"Written safety plan describes provisions for health care maintenance and compliance; provisions for emergency medical care first aid and CPR";"43.07(b)(4)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC39239";"e715749e1a2e5f7f383e5dfc4c9f1ac8";" 10/27/21";"School-based child care staff observed caring for children while unhealthy. Staff medical certificate of fitness Not provided.";"43.11(b)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC37522";"9da39ae5ddccece4b39f9f5b1487fb35";" 12/15/21";"School-based child care program failed to maintain line of site supervision.";"43.09(a)";"Violations requiring immediate correction (Public Health Hazards)";"OPEN"
"BrooklynDC37522";"9da39ae5ddccece4b39f9f5b1487fb35";" 12/15/21";"Floors walls and ceilings designed for clean ability; Premises maintained clean; N dry sweeping or dusting when occupied by children; staff quarters clean";"45.11(g)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BrooklynDC37522";"9da39ae5ddccece4b39f9f5b1487fb35";" 12/15/21";"Floors in commercial building properly Not constructed; Not maintained in good repair; unclean";"131.09(e)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC37522";"9da39ae5ddccece4b39f9f5b1487fb35";" 12/15/21";"Walls and ceiling in commercial building Not properly constructed; Not maintained in good repair; unclean";"131.09(f)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC37522";"9da39ae5ddccece4b39f9f5b1487fb35";" 12/15/21";"Adequate area for isolation of sick children provided";"43.19(c)(1)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC37522";"9da39ae5ddccece4b39f9f5b1487fb35";" 12/15/21";"Equipment and furnishing readily washable or cleanable";"45.13(a)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC21229";"a8d4d7cfc1a4f393569c687f2d07ae33";" 11/10/21";"School operator arranges for fingerprinting";"43.13(c)(1)";"Violations requiring immediate correction (Public Health Hazards)";"OPEN"
"BrooklynDC12124";"ac2815d24c0ff50b53dfbefdf177c598";" 12/7/21";"School operator arranges for State Central Register for Abuse clearance; repeats clearance inquiry every two years";"43.13(c)(3)";"Violations requiring immediate correction (Public Health Hazards)";"OPEN"
"BrooklynDC12124";"ac2815d24c0ff50b53dfbefdf177c598";" 12/7/21";"Written safety plan describes provisions for health care maintenance and compliance; provisions for emergency medical care first aid and CPR";"43.07(b)(4)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC12124";"ac2815d24c0ff50b53dfbefdf177c598";" 12/7/21";"Person in charge of school prohibits staff from attending in absence of immunization documentation";"43.11(c)(3)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC12124";"ac2815d24c0ff50b53dfbefdf177c598";" 12/7/21";"All staff who will have unsupervised contact with children has undergone child abuse and criminal justice screening and reference checks";"43.13(a)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC12124";"ac2815d24c0ff50b53dfbefdf177c598";" 12/7/21";"Child Medical record are DOHMH property when health care provider provided by DOHMH";"43.17(f)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC12013";"871b0dde6e4903d0513eb0aa1ca0bcc0";" 9/16/20";"School-based child care program failed to provide/maintain child medical records at time of inspection.";"43.17(d)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC12013";"871b0dde6e4903d0513eb0aa1ca0bcc0";" 9/16/20";"Screening and other pest obstruction methods Not provided or maintained at time of inspection.";"81.23(b)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC23160";"29cf067fa1ab9ff0906aedd5b6f8b568";" 10/23/19";"Written safety plan describes provisions for health care maintenance and compliance; provisions for emergency medical care first aid and CPR";"43.07(b)(4)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC37038";"c2bae28fc73ccd6a935d02f6eb11fc13";" 10/19/21";"School operator arranges for State Central Register for Abuse clearance; repeats clearance inquiry every two years";"43.13(c)(3)";"Violations requiring immediate correction (Public Health Hazards)";"OPEN"
"BrooklynDC14472";"a7bb43dc1ccdc242a4cad091a37a53db";" 11/18/21";"Children enrolled in school-based child care program have Not received appropriate medical examination.";"43.17(a)(1)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BrooklynDC14472";"a7bb43dc1ccdc242a4cad091a37a53db";" 11/18/21";"Children immunized against diphtheria, tetanus, pertussis, polio, MMR, varicella, HepB, pneumococcal disease and Hib. Immunization records and medical exemption records on site and available upon request";"43.17(a)(2)(A)(i)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BrooklynDC14472";"a7bb43dc1ccdc242a4cad091a37a53db";" 11/18/21";"SBCC made written inquiry to last 3 employers of applicants for jobs";"43.13(g)(3)(i)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC14472";"a7bb43dc1ccdc242a4cad091a37a53db";" 11/18/21";"Child Medical record are DOHMH property when health care provider provided by DOHMH";"43.17(f)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC23046";"51d1506c9519ede37680bbca1e11f5d5";" 12/7/21";"Each staff member has documentation showing they received 2 doses measles/mumps vaccine, 1 dose rubella vaccine, 2 doses varicella vaccine and 1 dose Tdap";"43.11(c)(1)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC23046";"51d1506c9519ede37680bbca1e11f5d5";" 12/7/21";"Staff submitted immunization record. File maintained confidential. File including electronic available for inspection on site";"43.11(c)(2)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC32827";"606b445b2728a30d61db516fbb7448c2";" 1/19/22";"Exits and other egress Not provided with required signage at time of inspection.";"47.59(a)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BrooklynDC32515";"a2011f71c438a31494f0141ce0f06f09";" 10/6/21";"At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.";"47.41(j)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC32794";"54661fdabfd9ace442662451643cf303";" 1/19/22";"Exits and other egress Not provided with required signage at time of inspection.";"47.59(a)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BrooklynDC14467";"14cdf75462255e6bd0617bd88dc15fba";" 1/13/22";"Food service establishments and Non-retail food processing establishments have adequate lighting for all areas of the premises 540 LUX in food prep areas 215 LUX in self serve areas;";"81.19(a)";"Minor violations (General Violations)";"OPEN"
"BrooklynDC33597";"99ca9b8be7d8db049efe9d893372fa55";" 10/20/21";"Child care service failed to conduct business and employment reference checks of staff/volunteers.";"47.19(i)";"Minor violations (General Violations)";"CORRECTED"
"BrooklynDC33597";"99ca9b8be7d8db049efe9d893372fa55";" 10/20/21";"At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.";"47.33(b)";"Minor violations (General Violations)";"CORRECTED"
"BrooklynDC33597";"99ca9b8be7d8db049efe9d893372fa55";" 10/20/21";"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.";"47.33(c)(1)";"Minor violations (General Violations)";"CORRECTED"
"BrooklynDC10599";"e73f48710374e15175716100246a475e";" 12/16/21";"Infant toddler staff allows infants to sleep in other than safe sleep environment; fail to move infant to safe sleep environment when required; more than one infant observed sleeping in a single crib or bassinet.";"47.67(f)(3)";"Violations requiring immediate correction (Public Health Hazards)";"OPEN"
"BrooklynDC10599";"e73f48710374e15175716100246a475e";" 12/16/21";"At time of inspection staff observed changing diapers were observed Not wearing disposable gloves or other hand barrier gloves.";"47.43(h)(4)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BrooklynDC10599";"e73f48710374e15175716100246a475e";" 12/16/21";"Required food protection procedures were Not implemented at time of inspection. Holder of food protection certificate was Not on site during hours of food preparation activity.";"47.61(a)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BrooklynDC25996";"839a6fdcb9e3e707c05e1b335ef10eb9";" 8/9/21";"At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.";"47.37(b)(1)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BrooklynDC25996";"839a6fdcb9e3e707c05e1b335ef10eb9";" 8/9/21";"Fire extinguishers observed Not to be inspected or maintained at time of inspection.";"47.59(b)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
