"ID";"Program Name";"Permit Holder";"Address";"Borough";"Zip Code";"Phone";"Permit Number";"Permit Expiration Date";"Permit Status";"Age Range";"Maximum Capacity";"Certified to Administer Medication";"Site Type";"Program Type";"Years in Operation";"Last Inspection Date";"Last Inspection Result";"% of Annual Inspections w/Violations";"Number of Educational Staff";"Educational Staff Turnove"
"BrooklynDC24701";"GRAND STREET SETT STANHOPE";"GRAND STREET SETTLEMENT, INC.";"319 STANHOPE STREET";"Brooklyn";11237;"718-381-8900";26567;"10/25/2022";"Permitted";"2 - 5";74;"No";"DOE CBO";"Child Care - Pre School";10;" 1/26/22";" Initial Annual Inspection - Passed inspection with no violations";"50 %";11;
"BrooklynDC40286";"Grand Street Settlement, Inc.";"Grand Street Settlement, Inc.";"1825 Atlantic Ave";"Brooklyn";11233;"929-297-6637";105492;"08/31/2023";"Permitted";"2 - 5";79;"No";"Private";"Child Care - Pre School";1;;;"N/A";3;
"BrooklynDC38821";"GRAND STREET SETTLEMENT,INC.";"GRAND STREET SETTLEMENT,INC.";"928 55TH ST";"Brooklyn";11219;"917-710-3935";105194;"07/28/2022";"Permitted";"2 - 5";103;"No";"Corporate";"Child Care - Pre School";2;" 1/19/22";" Initial Annual Inspection - Passed inspection with no violations";"0 %";18;
"BrooklynDC37653";"GUIDEPOST FIC B LLC.";"GUIDEPOST FIC B LLC.";"190 S 1ST ST";"Brooklyn";11211;"347-464-0490";104749;"03/25/2023";"Permitted";"0 - 2";34;"No";"Private";"Child Care - Infants/Toddlers";3;" 5/20/21";" Initial Annual Inspection - Passed inspection with no violations";"40 %";10;
"BrooklynDC37654";"GUIDEPOST MONTESSORI";"GUIDEPOST FIC B, LLC.";"190 S 1ST ST";"Brooklyn";11211;"347-464-0490";104748;"03/25/2023";"Permitted";"2 - 5";97;"No";"Private";"Child Care - Pre School";3;" 7/1/21";" Monitoring Inspection Non-Routine - Passed inspection with no violations";"60 %";21;
"BrooklynDC2006";"HANSON PLACE CHILD DEVELOPMENT CENTER, INC";"HANSON PLACE CHILD DEVELOPMENT CENTER, INC.";"55 HANSON PLACE";"Brooklyn";11217;"718-237-4303";5769;"12/07/2021";"In-Renewal";"0 - 2";18;"No";"Private";"Child Care - Infants/Toddlers";"18 or more";" 1/25/22";" Initial Annual Inspection - Passed inspection with no violations";"16 %";9;
"BrooklynDC14645";"HANSON PLACE CHILD DEVELOPMENT CENTER, INC";"HANSON PLACE CHILD DEVELOPMENT CENTER,INC.";"55 HANSON PLACE";"Brooklyn";11217;"718-237-4303";5770;"03/31/2023";"Permitted";"2 - 5";62;"No";"Private";"Child Care - Pre School";"17 or more";" 1/25/22";" Initial Annual Inspection - Passed inspection with no violations";"0 %";7;
"BrooklynDC576";"HANSON PLACE SDA DAY CARE";"HANSON PLACE SEVENTH DAY ADVENTIST ELEMENTARY SCHOOL";"38 LAFAYETTE AVENUE";"Brooklyn";11217;"718-625-3030";"N/A";"01/23/2115";"Active";"2 - 5";;"No";"Private";"School Based Child Care";;" 12/1/21";" Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection";"33 %";1;
"BrooklynDC20623";"HAPPY DRAGON OF NEW YORK, INC.";"HAPPY DRAGON OF NEW YORK, INC.";"5805 7TH AVENUE";"Brooklyn";11220;"718-439-8816";8138;"03/22/2022";"Permitted";"2 - 5";135;"No";"Private";"Child Care - Pre School";12;" 11/23/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";21;
"BrooklynDC24981";"HAPPY SCHOLARS";"HAPPY SCHOLARS, INC.";"7806-08 NEW UTRECHT AVENUE";"Brooklyn";11214;"718-256-0050";67778;"06/24/2022";"Permitted";"2 - 5";54;"No";"Private";"Child Care - Pre School";8;" 11/19/21";" Initial Annual Inspection - Passed inspection with no violations";"20 %";8;
"BrooklynDC329";"HAWTHORNE CORNERS DAY CARE CENTER INC.";"HAWTHORNE CORNERS DAY CARE CENTER INC.";"1950 BEDFORD AVENUE";"Brooklyn";11225;"718-282-7200";4235;"04/03/2022";"Permitted";"2 - 5";55;"No";"ACS Dual";"Child Care - Pre School";"18 or more";" 12/22/21";" Compliance Inspection of Open Violations - Reinspection Required";"33 %";9;
"BrooklynDC16968";"HEARTSHARE HUMAN SERVICES OF NEW YORK";"HEARTSHARE HUMAN SERVICES OF NEW YORK";"1825 BATH AVENUE";"Brooklyn";11214;"718-238-4637";7860;"03/24/2022";"Permitted";"2 - 5";212;"No";"Private";"Child Care - Pre School";14;" 11/12/21";" Initial Annual Inspection - Reinspection Required";"25 %";38;
"BrooklynDC14155";"HEBREW ACADEMY FOR SPECIAL CHILDREN";"HEBREW ACADEMY FOR SPECIAL CHILDREN";"1311 55 STREET";"Brooklyn";11219;"718-851-6100";5584;"02/16/2023";"Permitted";;66;"No";"Private";"Child Care - Pre School";"18 or more";" 9/14/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";22;
"BrooklynDC14456";"Hebrew Educational Society of Brooklyn";"Hebrew Educational Society of Brooklyn";"9502 SEAVIEW AVENUE";"Brooklyn";11236;"718-241-3000";2253;"10/31/2022";"Permitted";"2 - 5";111;"No";"DOE CBO";"Child Care - Pre School";33;" 1/19/22";" Initial Annual Inspection - Passed inspection with no violations";"14 %";14;
"BrooklynDC112";"HEBREW INSTITUTE FOR THE DEAF AND EXCEPTIONAL CHILDREN";"HEBREW INSTITUTE FOR THE DEAF AND EXCEPTIONAL CHILDREN";"1401 AVENUE I";"Brooklyn";11230;"718-377-7507";2245;"06/23/2023";"Permitted";"2 - 5";148;"No";"Private";"Child Care - Pre School";"19 or more";" 1/13/22";" Initial Annual Inspection - Passed inspection with no violations";"16 %";31;
"BrooklynDC14347";"Hebrew Institute for the Deaf and Exceptional Children";"Hebrew Institute for the Deaf and Exceptional Children";"1401 AVENUE I";"Brooklyn";11230;"718-377-7507";5418;"01/27/2024";"Permitted";"2 - 5";52;"No";"Private";"Child Care - Pre School";"18 or more";" 1/13/22";" Initial Annual Inspection - Passed inspection with no violations";"0 %";8;
"BrooklynDC37177";"HELEN KELLER SERVICES FOR THE BLIND";"HELEN KELLER SERVICES FOR THE BLIND, INC.";"180 Livingston Street";"Brooklyn";11201;"718-522-2122";104671;"12/13/2020";"In-Renewal";"2 - 5";75;"No";"Private";"Child Care - Pre School";4;" 1/26/22";" Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection";"0 %";17;
"BrooklynDC37766";"HIGH DEFINITION KIDS DAY CARE CENTER LLC";"HIGH DEFINITION KIDS DAY CARE CENTER LLC";"1967 Bedford Avenue";"Brooklyn";11225;"718-240-9300";104843;"05/31/2021";"In-Renewal";"2 - 5";60;"No";"DOE CBO";"Child Care - Pre School";3;" 1/21/22";" Initial Annual Inspection - Reinspection Required; Fines pending";"40 %";7;
"BrooklynDC149";"HIGHLIGHTS ACADEMY, INC.";"HIGHLIGHTS ACADEMY, INC.";"1688 PRESIDENT STREET";"Brooklyn";11213;"718-953-5555";6703;"12/31/2023";"Permitted";"2 - 5";82;"No";"Private";"Child Care - Pre School";"19 or more";" 10/8/21";" Initial Annual Inspection - Passed inspection with no violations";"50 %";10;
"BrooklynDC36826";"HONEYDEW DROP PLAYHOUSE";"Honeydew Drop Playhouse, LLC";"204 15TH ST";"Brooklyn";11215;"877-614-6639";104370;"04/05/2022";"Permitted";"2 - 5";15;"No";"Corporate";"Child Care - Pre School";4;" 11/17/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";3;
"BrooklynDC14783";"HONEYDEW DROP PLAYHOUSE";"HONEYDEW DROP PLAYHOUSE, LLC";"1113 CHURCH AVENUE";"Brooklyn";11218;"718-941-2177";7763;"05/17/2023";"Permitted";"2 - 5";28;"No";"Private";"Child Care - Pre School";15;" 9/13/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";7;
"BrooklynDC34820";"HONEYDEW NOOK";"HONEYDEW DROP CHILDCARE, INC.";"204 15TH ST";"Brooklyn";11215;"877-614-6639";103888;"11/30/2022";"Permitted";"0 - 2";26;"No";"Corporate";"Child Care - Infants/Toddlers";6;" 9/16/21";" Initial Annual Inspection - Passed inspection with no violations";"50 %";6;
"BrooklynDC40467";"Horizon Early Learning Program, 2";"KIDS ALTERNATIVE LEARNING & INTERVENTION SERVICES, LLC";"1531 Nostrand Avenue";"Brooklyn";11226;"917-518-2873";105512;"09/24/2023";"Permitted";"2 - 5";33;"No";"Private";"Child Care - Pre School";1;;;"N/A";2;
"BrooklynDC747";"HOSPITAL CLINIC HOME CENTER INSTRUCTIONAL CORPORATION";"HOSPITAL CLINIC HOME CENTER INSTRUCTIONAL CORPORATION";"1419-23 BROADWAY";"Brooklyn";11221;"718-443-3917";6971;"05/12/2022";"Permitted";"2 - 5";130;"No";"ACS Head Start";"Child Care - Pre School";"18 or more";" 11/9/21";" Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection";"0 %";9;
"BrooklynDC22755";"HUDSON'S OFF HENRY";"PARKLAND BERRY,LLC";"67 WOODHULL STREET";"Brooklyn";11231;"718-852-3890";55837;"01/07/2020";"In-Renewal";"2 - 5";25;"No";"Private";"Child Care - Pre School";8;" 11/4/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";6;
"BrooklynDC22603";"I P KIDS";"JLEE MONTESSORI INC.";"2631 86TH STREET";"Brooklyn";11223;"718-621-7818";13397;"03/12/2022";"Permitted";;60;"No";"Private";"Child Care - Pre School";10;" 9/17/21";" Initial Annual Inspection - Passed inspection with no violations";"33 %";12;
"BrooklynDC10732";"IMAGINE EARLY LEARNING CENTER, LLC";"IMAGINE EARLY LEARNING CENTER, LLC";"50 MONROE PLACE";"Brooklyn";11201;"718-624-7520";7056;"10/23/2022";"Permitted";"2 - 5";66;"No";"Private";"Child Care - Pre School";"18 or more";" 1/13/22";" Initial Annual Inspection - Passed inspection with no violations";"28 %";16;
"BrooklynDC2093";"IMAGINE EARLY LEARNING CENTER-INFANT";"IMAGINE EARLY LEARNING CENTERS, LLC";"50 MONROE PLACE";"Brooklyn";11201;"718-624-7520";7055;"02/10/2023";"Permitted";"0 - 2";18;"No";"Private";"Child Care - Infants/Toddlers";"17 or more";" 7/23/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";7;
"BrooklynDC40134";"IMAGINE EARLY LEARNING CENTERS LLC";"Imagine Early Learning Centers LLC";"365 Bridge Street";"Brooklyn";11201;"877-624-4532";105428;"07/08/2023";"Permitted";;30;"Yes";"Private";"Child Care - Infants/Toddlers";1;;;"N/A";2;
"BrooklynDC40135";"IMAGINE EARLY LEARNING CENTERS LLC";"Imagine Early Learning Centers LLC";"365 Bridge Street";"Brooklyn";11201;"917-922-1292";105429;"07/08/2023";"Permitted";"2 - 5";89;"Yes";"Private";"Child Care - Pre School";1;" 7/8/21";" Monitoring Inspection Non-Routine - Passed inspection with no violations";"N/A";1;
"BrooklynDC19944";"IMAGINE EARLY LEARNING CENTERS, LLC.";"IMAGINE EARLY LEARNING CENTERS,LLC.";"85 Adams Street";"Brooklyn";11201;"718-522-2263";8065;"08/26/2023";"Permitted";"0 - 2";19;"No";"Private";"Child Care - Infants/Toddlers";13;" 12/29/21";" Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection";"0 %";6;
"BrooklynDC17795";"IMAGINE EARLY LEARNING CENTERS, LLC.";"IMAGINE EARLY LEARNING CENTERS, LLC";"85 Adams Street";"Brooklyn";11201;"718-522-2263";8064;"08/26/2023";"Permitted";"2 - 5";34;"No";"Private";"Child Care - Pre School";13;" 9/23/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";6;
"BrooklynDC39406";"IMAGINE ME LEADERSHIP CHARTER SCHOOL";"IMAGINE ME LEADERSHIP CHARTER SCHOOL PRE-K";"818 SCHENCK AVENUE";"Brooklyn";11207;"347-985-2140";"N/A";"01/01/1900";"Active";;;"No";"Department of Education";"School Based Child Care";;" 11/30/21";" Initial Annual Inspection - Reinspection Required";"N/A";0;
"BrooklynDC21845";"INFINITY EDUCATIONAL PROGRAMS INC.";"INFINITY EDUCATIONAL PROGRAMS INC.";"1972 EAST 34TH STREET";"Brooklyn";11234;"718-336-1981";8396;"09/16/2023";"Permitted";"2 - 5";89;"No";"Private";"Child Care - Pre School";11;" 10/8/21";;"0 %";11;
"BrooklynDC22544";"INITIAL STEPS CHILD DEVELOPMENT CENTER, INC.";"INITIAL STEPS CHILD DEVELOPMENT CENTER, INC.";"3005 GLENWOOD ROAD";"Brooklyn";11210;"718-434-2805";82619;"03/11/2023";"Permitted";"2 - 5";40;"No";"Private";"Child Care - Pre School";7;" 9/15/21";" Initial Annual Inspection - Passed inspection with no violations";"20 %";1;
"BrooklynDC757";"INITIAL STEPS CHILD DEVELOPMENT,INC.";"INITIAL STEPS CHILD DEVELOPMENT,INC.";"3003 GLENWOOD ROAD";"Brooklyn";11210;"718-434-2805";6484;"10/18/2022";"Permitted";"2 - 5";48;"No";"DOE CBO";"Child Care - Pre School";25;" 9/15/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";8;
"BrooklynDC26096";"INNER FORCE KIDS CORP.";"INNER FORCE KIDS CORP.";"4105 CHURCH AVENUE";"Brooklyn";11203;"718-856-1100";72782;"08/29/2022";"Permitted";"2 - 5";129;"No";"Private";"Child Care - Pre School";8;" 10/6/21";" Initial Annual Inspection - Passed inspection with no violations";"20 %";10;
"BrooklynDC26097";"INNER FORCE KIDS CORP. (I/T)";"INNER FORCE KIDS CORP.";"4105 CHURCH AVENUE";"Brooklyn";11203;"718-856-1100";85517;"04/16/2023";"Permitted";"0 - 2";18;"No";"Private";"Child Care - Infants/Toddlers";7;" 10/6/21";" Initial Annual Inspection - Passed inspection with no violations";"33 %";10;
"BrooklynDC19732";"INNER FORCE TOTS, INC.";"INNER FORCE TOTS, INC.";"1181 EAST NEW YORK AVENUE";"Brooklyn";11212;"718-221-1246";8140;"03/22/2022";"Permitted";"0 - 2";97;"No";"DOE CBO";"Child Care - Infants/Toddlers";12;" 10/6/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";25;
"BrooklynDC19733";"INNER FORCE TOTS,INC.";"INNER FORCE TOTS, INC";"1181 EAST NEW YORK AVENUE";"Brooklyn";11212;"718-221-1246";8139;"03/22/2022";"Permitted";"2 - 5";371;"No";"ACS Dual";"Child Care - Pre School";12;" 11/19/21";" Initial Annual Inspection - Passed inspection with no violations";"40 %";40;
"BrooklynDC38197";"INSPIRE KIDS EARLY CHILDHOOD DEVELOPMENT";"INSPIRE KIDS EARLY LEARNING CENTER, LLC";"118 St. Nicholas Avenue";"Brooklyn";11237;"718-552-2990";105014;"08/23/2023";"Permitted";"2 - 5";30;"No";"Private";"Child Care - Pre School";3;" 1/26/22";" Initial Annual Inspection - Passed inspection with no violations";"20 %";9;
"BrooklynDC22704";"IP KIDS";"JLEE MONTESSORI, INC.";"2619 86TH STREET";"Brooklyn";11223;"718-621-7818";23219;"09/26/2022";"Permitted";"2 - 5";44;"No";"Private";"Child Care - Pre School";10;" 1/6/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";8;
"BrooklynDC22705";"IP KIDS";"JLEE MONTESSORI, INC.";"2625 86TH STREET";"Brooklyn";11223;"718-621-7818";23220;"09/26/2020";"In-Renewal";"2 - 5";56;"No";"Private";"Child Care - Pre School";10;" 9/17/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";5;
"BrooklynDC33872";"ITTY BITTY ADVENTURES LLC";"ITTY BITTY ADVENTURES LLC";"3401 AVENUE S";"Brooklyn";11234;"718-355-8960";103878;"11/23/2020";"In-Renewal";"2 - 5";19;"No";"Private";"Child Care - Pre School";6;" 9/27/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";5;
"BrooklynDC22669";"ITTY BITTY ADVENTURES LLC";"ITTY BITTY ADVENTURES LLC";"3416 AVENUE S";"Brooklyn";11234;"718-355-8960";22097;"09/05/2022";"Permitted";"2 - 5";40;"No";"Private";"Child Care - Pre School";10;" 9/20/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";5;
"BrooklynDC14165";"J.P. MORGAN CHASE BACK UP CHILD CARE CENTER";"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC.";"3 METROTECH CENTER";"Brooklyn";11201;"718-242-1816";6039;"04/24/2023";"Permitted";"2 - 5";40;"No";"Private";"Child Care - Pre School";"17 or more";" 5/28/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";6;
"BrooklynDC2015";"J.P. MORGAN CHASE BACK-UP CHILD CARE CENTER (I/T)";"BRIGHT HORIZONS CHILDREN'S CENTER, LLC";"3 METROTECH";"Brooklyn";11201;"718-242-1816";6037;"04/24/2023";"Permitted";"0 - 2";18;"No";"Private";"Child Care - Infants/Toddlers";"17 or more";" 5/28/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";8;
"BrooklynDC24039";"JCC BROOKLYN WINDSOR TERRACE";"KINGS BAY YM-YMHA, INC.";"1224 PROSPECT AVENUE";"Brooklyn";11218;"718-407-6377";33885;"09/15/2021";"In-Renewal";"4 - 16";140;"No";"Summer Day Camp";"Camp";"9 or more";" 6/30/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";0;
"BrooklynDC36764";"JEWISH CONTINUITY ASSOCIATION, INC.";"JEWISH CONTINUITY ASSOCIATION, INC.";"4315 16TH AVE";"Brooklyn";11204;"718-530-4130";104672;"12/14/2022";"Permitted";"2 - 5";24;"No";"Corporate";"Child Care - Pre School";4;" 3/3/21";" Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection";"0 %";5;
"BrooklynDC24695";"JOHN COKER DAY CARE CENTER";"LABOR AND INDUSTRY FOR EDUCATION, INC.";"1375 BUSHWICK AVENUE";"Brooklyn";11207;"718-452-1414";23678;"10/01/2022";"Permitted";"2 - 5";75;"No";"DOE CBO";"Child Care - Pre School";10;" 9/15/21";" Initial Annual Inspection - Passed inspection with no violations";"20 %";11;
"BrooklynDC36102";"JOLLY BABY CENTER INC";"JOLLY BABY CENTER INC";"167 taylor street";"Brooklyn";11211;"718-840-3335";104333;"02/08/2022";"Permitted";"0 - 2";20;"No";"Private";"Child Care - Infants/Toddlers";4;" 10/23/19";" Initial Annual Inspection - Passed inspection with no violations";"50 %";5;
"BrooklynDC38916";"JOLLY BABY CENTER INC.";"JOLLY BABY CENTER INC.";"178 Division Avenue";"Brooklyn";11211;"718-840-3335";105102;"12/05/2023";"Permitted";"0 - 2";71;"No";"Private";"Child Care - Infants/Toddlers";3;" 10/27/21";" Initial Annual Inspection - Passed inspection with no violations";"33 %";23;
"BrooklynDC37981";"JOLLY BABY CENTER INC.";"JOLLY BABY CENTER INC.";"167 Taylor STreet";"Brooklyn";11211;"718-840-3335";104784;"04/08/2021";"In-Renewal";"2 - 5";10;"No";"Corporate";"Child Care - Pre School";3;" 8/17/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";2;
"BrooklynDC38917";"JOLLY BABY CENTER INC.";"JOLLY BABY CENTER INC.";"178 Division Avenue";"Brooklyn";11211;"718-840-3335";105103;"12/05/2023";"Permitted";"2 - 5";83;"No";"Private";"Child Care - Pre School";3;" 12/9/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";22;
"BrooklynDC24620";"JONATHAN WILLIAMS DAY CARE CENTER";"LABOR AND INDUSTRY FOR EDUCATION, INC.";"321 ROEBLING STREET";"Brooklyn";11211;"718-387-5011";24338;"10/09/2022";"Permitted";"2 - 5";100;"No";"ACS Dual";"Child Care - Pre School";10;" 12/28/21";" Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection";"40 %";12;
"BrooklynDC25977";"JOYFUL TOTS DAYCARE CENTER INC.";"JOYFUL TOTS DAYCARE CENTER INC.";"265 LOTT AVENUE";"Brooklyn";11212;"718-342-4225";55857;"01/09/2024";"Permitted";"0 - 2";16;"No";"DOE CBO";"Child Care - Infants/Toddlers";8;" 1/11/22";" Initial Annual Inspection - Passed inspection with no violations";"20 %";4;
"BrooklynDC25976";"JOYFUL TOTS DAYCARE CENTER INC.";"JOYFUL TOTS DAYCARE CENTER INC";"265 LOTT AVENUE";"Brooklyn";11212;"718-342-4225";55858;"01/09/2024";"Permitted";"2 - 5";48;"Yes";"Private";"Child Care - Pre School";8;" 1/11/22";" Initial Annual Inspection - Passed inspection with no violations";"20 %";6;
"BrooklynDC40325";"Joyful Tots Daycare Center Inc.";"Joyful Tots Daycare Center Inc.";"917 E 82TH ST";"Brooklyn";11236;"347-351-2196";105570;"12/27/2023";"Permitted";;23;"No";"Private";"Child Care - Pre School";1;;;"N/A";1;
"BrooklynDC34891";"JUGUEMOS A CANTAR LLC";"JUGUEMOS A CANTAR LLC";"323 5 Avenue";"Brooklyn";11215;"646-416-2947";104141;"07/06/2021";"In-Renewal";"2 - 5";25;"No";"Private";"Child Care - Pre School";5;" 11/30/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";4;
"BrooklynDC32710";"JUMPSTART EARLY INTERVENTION";"WOMEN'S LEAGUE COMMUNITY RESIDENCES, INC.";"2294 NOSTRAND AVENUE";"Brooklyn";11210;"718-853-9700";84837;"04/08/2023";"Permitted";"2 - 5";32;"No";"Corporate";"Child Care - Pre School";7;" 1/13/22";" Initial Annual Inspection - Passed inspection with no violations";"0 %";7;
"BrooklynDC14266";"KANE STREET KIDS";"CONGREGATION BAITH ISRAEL ANSHEI EMES";"236 KANE STREET";"Brooklyn";11231;"718-875-1550";7598;"02/03/2024";"Permitted";"2 - 5";70;"No";"Private";"Child Care - Pre School";16;" 1/14/22";" Initial Annual Inspection - Passed inspection with no violations";"20 %";10;
"BrooklynDC15609";"KESHET LEARNING CENTER";"CONGREGATION KESHET BEANAN";"1612 QUENTIN ROAD";"Brooklyn";11229;"718-376-6958";7665;"11/20/2022";"Permitted";;18;"No";"Private";"Child Care - Infants/Toddlers";16;" 7/7/21";" Initial Annual Inspection - Reinspection Required; Fines pending";"20 %";6;
"BrooklynDC14481";"KESHET LEARNING CENTER";"CONGREGATION KESHET BEANAN";"1612 QUENTIN ROAD";"Brooklyn";11229;"718-376-6958";7664;"11/20/2022";"Permitted";;51;"No";"Private";"Child Care - Pre School";16;" 7/7/21";" Initial Annual Inspection - Reinspection Required; Fines pending";"20 %";8;
"BrooklynDC37523";"KHYLE/BRENAJ EARLY CHILDHOOD EDUCATION CENTER";"KHYLE/BRENAJ EARLY CHILDHOOD EDUCATION CENTER";"9718 FLATLANDS AVENUE";"Brooklyn";11236;"718-346-3636";"N/A";"09/17/2117";"Active";;;"No";"DOE CBO";"School Based Child Care";;" 10/21/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";0;
"BrooklynDC31701";"KID'S CANVAS";"KID'S CANVAS INC.";"1433 DEKALB AVENUE";"Brooklyn";11237;"718-406-4100";85677;"04/17/2023";"Permitted";"2 - 5";31;"No";"Private";"Child Care - Pre School";7;" 1/26/22";" Initial Annual Inspection - Passed inspection with no violations";"33 %";4;
"BrooklynDC34857";"KIDDIE ACADEMY OF WILLIAMSBURG";"NORTHSTAR CHILDCARE LLC";"288 SOUTH 5 STREET";"Brooklyn";11211;"718-599-5437";104311;"12/08/2023";"Permitted";"0 - 2";40;"No";"Private";"Child Care - Infants/Toddlers";5;" 12/9/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";12;
"BrooklynDC33010";"KIDDIE ACADEMY OF WILLIAMSBURG";"NORTHSTAR CHILDCARE LLC";"288 SOUTH 5 STREET";"Brooklyn";11211;"718-599-5437";104393;"05/15/2022";"Permitted";"2 - 5";60;"No";"Private";"Child Care - Pre School";4;" 12/9/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";12;
"BrooklynDC39354";"Kiddie Zone 44 Inc.";"Kiddie Zone 44 Inc.";"4404 New Utrecht Avenue";"Brooklyn";11219;"718-871-4404";105514;"09/27/2023";"Permitted";;45;"No";"Corporate";"Child Care - Infants/Toddlers";1;" 1/25/22";" Initial Annual Inspection - Passed inspection with no violations";"0 %";2;
"BrooklynDC40127";"Kiddie Zone 44 Inc.";"Kiddie Zone 44 Inc.";"4404 NEW UTRECHT AVENUE";"Brooklyn";11219;"718-871-4404";105524;"10/07/2023";"Permitted";;23;"No";"Private";"Child Care - Pre School";1;;;"N/A";1;
"BrooklynDC308";"KIDZ KORNER DAY CARE";"KIDZ KORNER INC.";"2422 RALPH AVENUE";"Brooklyn";11234;"718-676-5200";7311;"09/30/2022";"Permitted";"2 - 5";25;"No";"Private";"Child Care - Pre School";19;" 10/13/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";5;
"BrooklynDC229";"KIND START PRE-SCHOOL";"LISA ASSENNATA";"7702 NEW UTRECHT AVENUE";"Brooklyn";11214;"718-621-5382";6802;"07/20/2022";"Permitted";"2 - 5";30;"No";"Private";"Child Care - Pre School";22;" 12/9/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";3;
"BrooklynDC39998";"Kinder Prep Childcare 2 Inc.";"Kinder Prep Childcare 2, Inc.";"15 BRIDGE PARK DR";"Brooklyn";11201;"917-753-6577";105555;"12/03/2023";"Permitted";;27;"No";"Private";"Child Care - Infants/Toddlers";1;;;"N/A";5;
"BrooklynDC39997";"Kinder Prep Childcare 2 Inc.";"Kinder Prep Childcare 2, Inc.";"15 BRIDGE PARK DR";"Brooklyn";11201;"718-522-0777";105554;"12/03/2023";"Permitted";"2 - 5";25;"No";"Private";"Child Care - Pre School";1;;;"N/A";5;
"BrooklynDC36734";"KINDER PREP CHILDCARE INC";"KINDER PREP CHILDCARE INC";"49 BROADWAY";"Brooklyn";11249;"347-916-0535";104794;"04/12/2023";"Permitted";"0 - 2";35;"No";"Corporate";"Child Care - Infants/Toddlers";3;" 6/15/21";" Initial Annual Inspection - Passed inspection with no violations";"40 %";16;
"BrooklynDC36731";"KINDER PREP CHILDCARE INC";"KINDER PREP CHILDCARE INC";"49 BROADWAY";"Brooklyn";11249;"347-916-0535";104793;"04/12/2023";"Permitted";"2 - 5";64;"No";"Corporate";"Child Care - Pre School";3;" 12/7/21";" Compliance Inspection of Open Violations - Reinspection Required";"0 %";15;
"BrooklynDC39604";"KINDERCARE EDUCATION LLC";"KINDERCARE EDUCATION LLC";"34 NORTH 7 STREET";"Brooklyn";11249;"718-963-0545";105282;"01/12/2023";"Permitted";"0 - 2";55;"No";"Private";"Child Care - Infants/Toddlers";1;" 10/13/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";10;
"BrooklynDC39144";"KINDERCARE EDUCATION LLC";"KINDERCARE EDUCATION LLC";"802 UNION ST";"Brooklyn";11215;"718-398-1813";105397;"06/22/2023";"Permitted";;82;"No";"Private";"Child Care - Infants/Toddlers";1;" 12/21/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";3;
"BrooklynDC39606";"KINDERCARE EDUCATION LLC";"KINDERCARE EDUCATION LLC";"34 NORTH 7 STREET";"Brooklyn";11249;"718-963-0545";105283;"01/12/2023";"Permitted";"2 - 5";60;"No";"Private";"Child Care - Pre School";1;" 9/29/21";" Initial Annual Inspection - Passed inspection with no violations";"50 %";8;
"BrooklynDC39143";"KINDERCARE EDUCATION LLC";"KINDERCARE EDUCATION LLC";"802 UNION ST";"Brooklyn";11215;"718-398-1813";105398;"06/22/2023";"Permitted";;50;"No";"Private";"Child Care - Pre School";1;;;"N/A";3;
"BrooklynDC22952";"KINDERLAND DA CARE, INC.";"KINDERLAND DAYCARE, INC.";"1637 45TH STREET";"Brooklyn";11204;"718-871-7432";53177;"10/17/2023";"Permitted";"0 - 2";29;"No";"Private";"Child Care - Infants/Toddlers";9;" 10/14/21";" Initial Annual Inspection - Reinspection Required";"25 %";4;
