"Facility Name";"Site Address";"Zip";"City";"County";"State";"Phone";"Facility Type";"License Type";"Expiration Date";"Administrator";"Business Hours";"Business Days";"Capacity";"Ages";"Inspector";"Provider ID";"Subsidy";"Address 2";"Quality Level";"Qualification";"License/Facility ID#";"Registration Duration"
"The Improvement Association Dinwiddie Head Start";"10305 Boydton Plank Road";23841;"Dinwiddie";"Dinwiddie";"VA";"(804) 469-4495";"Child Day Center";"Two Year";"Oct. 31, 2020";"Loretta Miller";"8:30 am - 4:00 pm";"Monday - Friday";72;"3 years - 5 years 11 months";"Jennifer Moore: (804) 662-9716";37670;"No";;4;;1106840;
"Ms. JoAnne Harrell";"5913 Lewis Road";23803;"N. dinwiddie";"Dinwiddie";"VA";"(804) 957-5757";"Voluntary Registration";;"Dec. 21, 2020";;"all shifts";"Monday - Sunday";4;;"Cynthia Carneal: (804) 726-7140";33122;"No";;;;2579;"Two Year"
"Ocran United Methodist Church";"20221 Cox Road";23885;"Sutherland";"Dinwiddie";"VA";"(804) 733-2995";"Religious Exempt Child Day Center";"Exempt";"Nov. 9, 2021";"Ms. Ann House";"9:00 a.m. - 12:00 p.m.";"Monday - Friday";30;"2 years 6 months - 5 years 11 months";"Kandra Brown: (804) 662-9038";39392;"No";;;;1105607;
"Emporia YMCA Child Care Center";"212 Weaver Avenue";23847;"Emporia";"Emporia";"VA";"(757) 348-9622";"Child Day Center";"Two Year";"Nov. 15, 2021";"Mr. Lance Futrell";"6:45 AM - 6:00 PM";"Monday - Friday";100;"3 years - 12 years 11 months";"Rene Old: (757) 404-1784";36674;"Yes";;;;1106614;
"Foot Prints Daycare and Preschool";"244 Purdy Road";23847;"Emporia";"Emporia";"VA";"(434) 634-2390";"Child Day Center";"Two Year";"Dec. 15, 2021";"Lisa Coleman";"6:30 am - 6:00 pm";"Monday - Friday";92;"2 years - 12 years";"Trisha Brown: (757) 404-2601";27218;"Yes";;;;1105048;
"Mrs. Joan Green";"710 Halifax Street";23847;"Emporia";"Emporia";"VA";"(434) 348-0799";"Family Day Home";"Two Year";"April 13, 2021";;"5:00 am - 5:00 pm";"Monday - Friday";12;"Birth - 12 years 11 months";"Rene Old: (757) 404-1784";35882;"Yes";;;;1107678;
"Ms. Diana Mayfield";"203 Suiter Street";23847;"Emporia";"Emporia";"VA";"(434) 348-3669";"Family Day Home";"Two Year";"Sept. 11, 2022";;"5:00 AM - 12:00 AM";"Monday - Friday";12;"2 years - 12 years 11 months";"Rene Old: (757) 404-1784";15026;"Yes";;;;783566;
"The Improvement Association Child Development Center";"490 Liberty Street";23847;"Emporia";"Emporia";"VA";"(434) 634-2490";"Child Day Center";"Two Year";"April 27, 2021";"Ms. Leslie Moody-Yates";"8:00 am - 3:00pm";"Monday - Friday";20;"3 years - 5 years 11 months";"Trisha Brown: (757) 404-2601";22659;"No";;3;;1046334;
"Community Development Institute Head Start-Essex Center";"151 Elementary School Circle";22560;"Tappahannock";"Essex";"VA";"(804) 443-0213";"Child Day Center";"Two Year";"July 4, 2021";"Ms. Janice Moore";"7:40 a.m. - 3:40 p.m.";"Monday - Friday";40;"3 years - 5 years 11 months";"Sharon Curlee: (804) 662-9758";42559;"No";;;;1108152;
"Gayle Dunn";"1331 Hoskins Drive";22560;"Tappahannock";"Essex";"VA";"(804) 443-4993";"Family Day Home";"Three Year";"Aug. 22, 2023";;"6:00 AM - 6:00PM";"Monday - Friday";12;"1 month - 12 years 11 months";"Sharon Curlee: (804) 662-9758";14389;"Yes";;;;750862;
"Mount Landing Children's Center";"1413 Teakwood Drive";22560;"Tappahannock";"Essex";"VA";"(804) 443-1060";"Child Day Center";"Two Year";"April 17, 2021";"Ms. Libby Greenwood";"6:30am - 6:30pm";"Monday - Friday";100;"Birth - 12 years 11 months";"Heather Dapper: (804) 662-7014";18914;"Yes";" Suite F";;;941100;
"Ms. Helen Shaver";"128 Cherokee Road";22560;"Tappahannock";"Essex";"VA";"(804) 445-4853";"Family Day Home";"Two Year";"Jan. 18, 2021";;"7:00 am - 6:00 pm";"Monday - Friday";12;"1 month - 12 years 11 months";"Tara Barton: (804) 662-9766";20082;"No";;;;970037;
"Tender Care Children's Center";"1222 Sycamore Drive";22560;"Tappahannock";"Essex";"VA";"(804) 443-3852";"Child Day Center";"Two Year";"Jan. 8, 2021";"Ms. Jaynell Brooks";"6:00 AM - 6:00 PM";"Monday - Friday";82;"Birth - 12 years 11 months";"Tara Barton: (804) 662-9766";38517;"Yes";;;;1107047;
"Ephesus Baptist Church";"287 Ephesus Church Road";22454;"Dunnsville";"Essex";"VA";"(804) 443-5792";"Religious Exempt Child Day Center";"Exempt";"June 21, 2021";"Michelle Robinson";"7:30 a.m. - 5:00 p.m.";"Monday - Friday";20;"3 years - 5 years 11 months";"Lynn Powers: (804) 662-9790";33988;"No";;;;1105125;
"Colleen Bilowus";"10319 Wood Road";22030;"Fairfax";"Fairfax City";"VA";"(703) 273-7853";"Family Day Home";"Two Year";"Jan. 14, 2021";;"7:00 am - 6:00 pm";"Monday - Friday";12;"5 years - 12 years 11 months";"Whitney McGrath: (571) 835-4717";16462;"No";;;;857008;
"Johanna Vazquez";"3930 Oak Street";22030;"Fairfax";"Fairfax City";"VA";"(703) 953-8606";"Family Day Home";"One Year";"Sept. 4, 2021";;"7:00am - 6:00 pm";"Monday - Friday";5;"3 months - 5 years 11 months";"Jessica Willis: (571) 352-1453";39835;"No";;;;1108664;
"KinderCare Learning Center #1094";"9749 Main Street";22031;"Fairfax";"Fairfax City";"VA";"(703) 273-3155";"Child Day Center";"Two Year";"Jan. 18, 2021";"Ms. Brooke Dessinges";"6:30 a.m. - 6:30 p.m.";"Monday - Friday";132;"1 month - 12 years 11 months";"Karen Dickens: (571) 423-6978";10174;"Yes";;;;437870;
"Montessori School of Oakton";"10830 Main St";22030;"Fairfax";"Fairfax City";"VA";"(703) 715-0611";"Child Day Center";"Two Year";"Jan. 24, 2022";"Ms. Carolyn Linke";"8:30 am - 5:30 pm";"Monday - Friday";89;"2 years 6 months - 6 years 11 months";"Maria Robles-Lopez: (703) 397-3827";16020;"No";;;;840431;
"Nuria Ibrahim";"10625 West Drive";22030;"Fairfax";"Fairfax City";"VA";"(703) 927-6170";"Family Day Home";"Two Year";"Feb. 17, 2021";;"7:00 AM - 6:30 PM";"Monday - Friday";12;"4 months - 12 years 11 months";"Margaret Allworth: (703) 209-3521";41179;"Yes";;;;1108901;
"Sunshine Kidz Day Camp at Providence";"3616 Jermantown Road";22030;"Fairfax";"Fairfax City";"VA";"(703) 385-7978";"Short Term Child Day Center";"Two Year";"Aug. 2, 2021";"Karen Lussier";"8:45 AM - 3:30pm";"Monday - Friday";45;"3 years - 5 years 11 months";"Margaret Allworth: (703) 209-3521";16885;"No";;;;868654;
"Congregation Olam Tikvah";"3800 Glenbrook Road";22031;"Fairfax";"Fairfax City";"VA";"(703) 425-1886";"Religious Exempt Child Day Center";"Exempt";"Dec. 29, 2020";"Ms. Cindi /Drake";"9:00 am - 3:00 pm";"Monday - Friday";37;"2 years - 5 years 11 months";"Stephanie Salvatori: (571) 389-0980";17559;"No";;;;891010;
"St. Mark Coptic Orthodox Church";"11911 Braddock Road";22030;"Fairfax";"Fairfax City";"VA";"(703) 591-1216";"Religious Exempt Child Day Center";"Exempt";"Sept. 8, 2020";". Jennifer Park";"7:00am - 6:00pm";"Monday - Friday";146;"2 years - 10 years 11 months";"Stephanie Salvatori: (571) 389-0980";32124;"No";" Little Flock Christian School";;;1105009;
"A Child's Place at Hollin Hall";"1500 Shenandoah Road";22308;"Alexandria";"Fairfax County";"VA";"(703) 765-8811";"Child Day Center";"Two Year";"March 29, 2021";"Ms. Jill Levy";"7:00 am - 6:00 pm";"Monday - Friday";172;"2 years - 12 years 11 months";"Tanya Johnson: (571) 423-6392";8679;"No";;;;30911;
"A Rising Star Child Care LLC";"7617 Little River Turnpike";22003;"Annandale";"Fairfax County";"VA";"(571) 282-4204";"Child Day Center";"Two Year";"May 28, 2021";"Rohina Nasher";"7:00AM - 6:00PM";"Monday - Friday";88;"2 months - 6 years 11 months";"Nancy Radcliffe";44873;"No";;;;1108482;
"ACCA Child Development Center";"7200 Columbia Pike";22003;"Annandale";"Fairfax County";"VA";"(703) 256-0100";"Child Day Center";"Two Year";"Nov. 1, 2022";"Dr. Maria Isabel Ballivian";"6:30am - 7:00pm";"Monday - Friday";290;"Birth - 12 years 11 months";"Maria Robles-Lopez: (703) 397-3827";8276;"Yes";" and 4175 Daniels Avenue";3;;12165;
"AUMC Child Development Center";"6935 Columbia Pike";22003;"Annandale";"Fairfax County";"VA";"(703) 256-5244";"Child Day Center";"Two Year";"Aug. 4, 2021";"Angela Wilmore";"7:00 a.m. - 6:00 p.m.";"Monday - Friday";73;"3 months - 5 years 11 months";"Karen Dickens: (571) 423-6978";20535;"No";;;;987908;
"Abida Mufti";"2201 Hunter Mill Road";22181;"Vienna";"Fairfax County";"VA";"(703) 281-7860";"Family Day Home";"One Year";"April 5, 2021";;"7:00 a.m. - 6:00 p.m.";"Monday - Friday";12;"Birth - 12 years 11 months";"Sarah Marbert: (703) 479-4678";22501;"No";;;;1042428;
"Abida Munir";"1902 Sherwood Hall Lane";22306;"Alexandria";"Fairfax County";"VA";"(703) 360-6783";"Family Day Home";"Two Year";"June 18, 2021";;"7:00 am - 6:00 pm";"Monday - Friday";12;"1 month - 5 years 11 months";"Tanya Johnson: (571) 423-6392";25469;"No";;;;1090449;
"Academy of Christian Education";"10800 Parkridge Boulevard";20190;"Reston";"Fairfax County";"VA";"(703) 471-2132";"Child Day Center";"Two Year";"Sept. 27, 2021";"Ms. Donna Strater";"7:00am - 6:00pm";"Monday - Friday";147;"2 years 6 months - 12 years 11 months";"Sandra W D'Imperio: (703) 479-4675";23893;"No";" Suite 150";;;1070057;
"Accotink Academy Preschool";"6215 Rolling Road";22152;"Springfield";"Fairfax County";"VA";"(703) 451-5797";"Child Day Center";"Two Year";"Nov. 10, 2020";"Mrs. Susan J. Arens";"8:45-11:45 and 12:30-3:30";"Monday - Friday";150;"2 years 9 months - 6 years 11 months";"Eureka Nance: (703) 638-5968";34519;"No";;;;1106185;
"Ada Lazo";"1110 Burwick Drive";20170;"Herndon";"Fairfax County";"VA";"(703) 435-4591";"Family Day Home";"Three Year";"Sept. 17, 2021";;"6:45 am - 6:00 pm";"Monday - Friday";12;"1 month - 8 years 11 months";"Kara Wright: (703) 537-6241";35953;"Yes";;;;1107705;
"Adeela Saleem";"2707 Woodwalk Court";22306;"Alexandria";"Fairfax County";"VA";"(703) 678-6278";"Family Day Home";"One Year";"Nov. 22, 2020";;"6:30 am - 5:30 pm";"Monday - Friday";5;"2 months - 12 years 11 months";"Ann Dramstad: (703) 314-0860";39009;"No";;;;1108523;
"Adela Luning";"6010 Munson Hill Road";22041;"Falls church";"Fairfax County";"VA";"(703) 578-0780";"Family Day Home";"Two Year";"April 16, 2021";;"7am - 6 pm";"Monday - Friday";12;"2 months - 3 years 11 months";"Shahana Green: (571) 423-6735";17054;"No";;;;873313;
"Afghani Abawi";"4112 Plaza Lane";22033;"Fairfax";"Fairfax County";"VA";"(703) 378-7006";"Family Day Home";"One Year";"June 14, 2021";;"7:30 AM - 530";"Monday - Friday";7;"1 month - 5 years 11 months";"Jessica Willis: (571) 352-1453";31766;"No";;;;1106322;
"Afsaneh Shahbazi";"608 Thelma Circle SW";22180;"Vienna";"Fairfax County";"VA";"(202) 297-2513";"Family Day Home";"Two Year";"April 29, 2021";;"7:00am - 5:30pm";"Monday - Friday";12;"3 years - 5 years 11 months";"Leah Pagala: (703) 537-6757";43995;"No";;;;1109496;
"Agatha Agyei";"6824 Ontario Street";22152;"Springfield";"Fairfax County";"VA";"(703) 866-2598";"Family Day Home";"One Year";"May 1, 2021";;"7:00 AM - 6:00 PM";"Monday - Sunday";12;"2 months - 12 years 11 months";"Jessica Willis: (571) 352-1453";20848;"Yes";;;;998101;
"Aida Chavera";"6616 Green Ash Court";22152;"Springfield";"Fairfax County";"VA";"(703) 913-6359";"Family Day Home";"Two Year";"Dec. 5, 2021";;"7am - 5pm";"Monday - Friday";12;"2 months - 5 years 11 months";"Stephanie Salvatori: (571) 389-0980";25790;"No";;;;1094827;
"Aimee McGrath";"7413 Clifton Quarry Drive";20124;"Clifton";"Fairfax County";"VA";"(703) 250-7320";"Family Day Home";"Conditional";"Nov. 14, 2020";;"7am - 6pm";"Monday - Friday";7;"Birth - 12 years 11 months";"Lisa L Hudson: (571) 389-2459";46221;"No";;;;1110026;
"Aisha Bhatty";"7613 Long Pine Drive";22151;"Springfield";"Fairfax County";"VA";"(703) 569-3707";"Family Day Home";"Three Year";"March 5, 2023";;"6:00 a.m. - 6:00 p.m.";"Monday - Friday";7;"Birth - 12 years 11 months";"Shahana Green: (571) 423-6735";18017;"No";;;;909605;
"Al Fatih Academy";"12300 Pinecrest Road";20191;"Reston";"Fairfax County";"VA";"(703) 437-9382";"Child Day Center";"Two Year";"Oct. 30, 2021";"Pervin Divleli";"8:30am - 6:00 pm";"Monday - Friday";40;"2 years 6 months - 12 years 11 months";"Maria Soto: (571) 835-5058";40997;"No";;;;1107699;
"Aldersgate Day School";"1301 Collingswood Road";22308;"Alexandria";"Fairfax County";"VA";"(703) 768-8351";"Child Day Center";"Two Year";"May 9, 2021";"Ms. Patricia Spitnale";"9:00 a.m. - 2:00 p.m.";"Monday - Friday";150;"1 year - 5 years 11 months";"Shahana Green: (571) 423-6735";9260;"No";;;;281937;
"Alex Garcia";"4220 Corcoran Street";22309;"Alexandria";"Fairfax County";"VA";"(571) 839-5659";"Family Day Home";"One Year";"April 10, 2021";;"6:00 am - 10:00pm";"Monday - Friday";12;"1 month - 12 years 11 months";"Sarah Marbert: (703) 479-4678";44030;"Yes";;;;1109504;
"Alganesh Weldgargis";"5824 Apsley House Court";22310;"Alexandria";"Fairfax County";"VA";"(703) 967-4000";"Family Day Home";"One Year";"Jan. 10, 2022";;"6:00 AM - 6:00 PM";"Monday - Friday";8;"1 month - 9 years 11 months";"Sharlene Sawyer: (571) 835-5505";42630;"No";;;;1109345;
"Alice Matthews";"3933 Fairfax Farms Road";22033;"Fairfax";"Fairfax County";"VA";"(703) 218-1608";"Family Day Home";"Three Year";"April 22, 2021";;"7:00 AM - 5:30PM";"Monday - Friday";12;"1 month - 10 years 11 months";"Mahrukh Aziz: (571) 835-4718";35547;"No";;;;1107560;
"Alicia Villagra";"4102 Dakota Court";22312;"Alexandria";"Fairfax County";"VA";"(703) 914-4923";"Family Day Home";"One Year";"Sept. 2, 2021";;"7:00 AM - 6:00 PM";"Monday - Friday";12;"Birth - 5 years 11 months";"Maria Robles-Lopez: (703) 397-3827";32054;"Yes";;;;1106434;
"Alina Podgornaia";"6936 Regent Lane";22042;"Falls church";"Fairfax County";"VA";"(202) 492-2282";"Family Day Home";"Two Year";"May 27, 2021";;"8:00am - 6:00pm";"Monday - Friday";12;"2 years - 6 years 11 months";"Stephanie Salvatori: (571) 389-0980";44103;"No";;;;1109520;
"Alma Lorena Cordova";"6111 Paulonia Road";22310;"Alexandria";"Fairfax County";"VA";"(703) 317-0133";"Family Day Home";"Two Year";"Dec. 15, 2021";;"7:00 AM - 5:00 PM";"Monday - Friday";12;"2 months - 12 years 11 months";"Mahrukh Aziz: (571) 835-4718";35068;"No";;;;1107450;
"Amber Iftikhar";"7669 Grayson's Mill Lane";22079;"Lorton";"Fairfax County";"VA";"(703) 339-6017";"Family Day Home";"Two Year";"Aug. 18, 2022";;"6:00 AM - 6:30 PM";"Monday - Friday";7;"Birth - 12 years 11 months";"Nancy Radcliffe";40934;"Yes";;2;;1108857;
"Amelia Boisvert";"5910 Westchester Street";22310;"Alexandria";"Fairfax County";"VA";"(703) 868-5379";"Family Day Home";"Two Year";"Feb. 16, 2022";;"6:00am - 6:00pm";"Monday - Friday";7;"3 years - 12 years 11 months";"Mahrukh Aziz: (571) 835-4718";44688;"No";;;;1109678;
"Amena Sultana";"5213 Juliet Street";22151;"Springfield";"Fairfax County";"VA";"(703) 354-2286";"Family Day Home";"Two Year";"Aug. 27, 2022";;"7:00am - 5:30pm";"Monday - Friday";7;"3 months - 5 years 11 months";"Mary J. Wizbicki: (703) 479-4707";44904;"No";;;;1109741;
"Amparo Nima";"5888 S 6th Street";22041;"Fall church";"Fairfax County";"VA";"(703) 671-1909";"Family Day Home";"One Year";"Dec. 25, 2020";;"8:00 AM - 6:00 PM";"Monday - Friday";12;"3 months - 5 years 11 months";"Nancy Radcliffe";34834;"No";;;;1107365;
"Amsale Bizuneh";"7494 Digby Green";22315;"Alexandria";"Fairfax County";"VA";"(703) 822-0465";"Family Day Home";"Two Year";"March 2, 2022";;"6:00am - 6:00pm";"Monday - Friday";12;"1 month - 12 years 11 months";"Mahrukh Aziz: (571) 835-4718";38367;"No";;;;1108371;
"Ana Bonilla";"1240 Summerfield Drive";20170;"Herndon";"Fairfax County";"VA";"(703) 437-5351";"Family Day Home";"Two Year";"Aug. 8, 2022";;"6:00 AM - 10:00 PM";"Monday - Friday";12;"1 month - 12 years 11 months";"Mary J. Wizbicki: (703) 479-4707";41678;"Yes";;2;;1109006;
"Ana De Bulhoes Duarte";"14485 Lake Vista Dr";20151;"Chantilly";"Fairfax County";"VA";"(703) 470-2842";"Family Day Home";"Conditional";"Nov. 25, 2020";;"7:30 am - 6:00 pm";"Monday - Friday";5;"6 months - 10 years 11 months";"Shahana Green: (571) 423-6735";46134;"Yes";;;;1110009;
"Ana Schlossberg";"6340 Oak Ridge Drive";22312;"Alexandria";"Fairfax County";"VA";"(703) 750-1407";"Family Day Home";"One Year";"July 15, 2021";;"7:00 am - 6:00 pm";"Monday - Friday";12;"3 months - 12 years 11 months";"Pernille Brandt: (703) 203-8659";39817;"No";;;;1108662;
"Ana Vargas";"7803 Harwood Place";22152;"Springfield";"Fairfax County";"VA";"(703) 644-1593";"Family Day Home";"Two Year";"Dec. 11, 2021";;"7:00 am - 8:00 pm";"Monday - Saturday";12;"Birth - 12 years 11 months";"Jessica Willis: (571) 352-1453";34991;"Yes";;;;1107427;
"Ana Villatoro";"8020 Ashboro Dr";22309;"Alexandria";"Fairfax County";"VA";"(571) 241-4658";"Family Day Home";"One Year";"July 19, 2021";;"6:00 AM - 11:00 PM";"Monday - Friday";12;"Birth - 12 years 11 months";"Sarah Marbert: (703) 479-4678";40871;"Yes";;1;;1108844;
"Anahi Vidaurre";"7424 McWhorter Place";22003;"Annandale";"Fairfax County";"VA";"(703) 309-8849";"Family Day Home";"One Year";"Jan. 5, 2021";;"7:00 AM - 6:00PM";"Monday - Friday";7;"3 months - 10 years 11 months";"Brenda Kuhlman: (703) 304-9609";41693;"No";;;;1109013;
"Andrea Retamoso";"204 Whispering Wind Court SE";22180;"Vienna";"Fairfax County";"VA";"(703) 319-7019";"Family Day Home";"Two Year";"Nov. 14, 2021";;"7:00 AM - 5:30 PM";"Monday - Friday";12;"3 months - 5 years 11 months";"Kara Wright: (703) 537-6241";44521;"No";;;;1109638;
"Angel Whisenant";"6616 Cimarron Street";22150;"Springfield";"Fairfax County";"VA";"(571) 212-2322";"Family Day Home";"Two Year";"Feb. 2, 2022";;"5:30 AM - 5:00 PM";"Monday - Friday";12;"Birth - 12 years 11 months";"Anansa Archer-Hicks: (703) 268-3295";14585;"Yes";;;;763115;
"Anjani Devi Armirneni";"2618 Iron Forge";20171;"Herndon";"Fairfax County";"VA";"(703) 793-1161";"Family Day Home";"One Year";"Oct. 28, 2021";;"7am - 6pm";"Monday - Friday";7;"6 months - 5 years 11 months";"Kimberly Sawyer: (571) 835-0599";45189;"No";;;;1109829;
"Anju Upreti";"3043 Braxton Wood Court";22031;"Fairfax";"Fairfax County";"VA";"(703) 577-5287";"Family Day Home";"One Year";"Feb. 11, 2021";;"7:30 AM - 6:00 PM";"Monday - Friday";12;"2 months - 12 years 11 months";"Jessica Willis: (571) 352-1453";34681;"No";;;;1107305;
"Ann Marie Ries";"5406 Flint Tavern Place";22015;"Burke";"Fairfax County";"VA";"(703) 503-7105";"Family Day Home";"Three Year";"Dec. 23, 2022";;"7:30 AM - 5:30 PM";"Monday - Friday";7;"1 month - 10 years 11 months";"Shahana Green: (571) 423-6735";41934;"No";;2;;1109122;
"Annandale Children's Learning Center";"7100 Columbia Pike";22003;"Annandale";"Fairfax County";"VA";"(703) 256-4770";"Child Day Center";"Two Year";"Dec. 30, 2021";"Sheila Ohi";"6:30 a.m. - 6:30 p.m.";"Monday - Friday";80;"2 months - 12 years 11 months";"Shahana Green: (571) 423-6735";29376;"Yes";;;;1105335;
"Annandale Play-Care";"5100-A Ravensworth Road";22003;"Annandale";"Fairfax County";"VA";"(703) 642-9207";"Child Day Center";"Two Year";"Nov. 1, 2022";"Ms. Vera Vaughn";"7:00 AM - 6:00 PM";"Monday - Friday";90;"2 years - 12 years 11 months";"Maria Robles-Lopez: (703) 397-3827";18934;"Yes";;;;941568;
"Annandale Preschool Association";"8410 Little River Turnpike";22003;"Annandale";"Fairfax County";"VA";"(703) 978-6127";"Child Day Center";"Two Year";"April 10, 2022";"Ms. Marie Swane";"9:00AM - 12:15PM";"Monday - Friday";50;"23 months - 5 years 11 months";"Kara Wright: (703) 537-6241";14485;"No";;;;756607;
"Annandale United Methodist Weekday Preschool & Early Learning";"6935 Columbia Pike";22003;"Annandale";"Fairfax County";"VA";"(703) 256-1100";"Child Day Center";"Two Year";"Nov. 29, 2021";"Cherrie S Welch";"9:00am - 5:50pm";"Monday - Friday";178;"1 year - 5 years 11 months";"Anansa Archer-Hicks: (703) 268-3295";42682;"No";;;;1108169;
"Annette Carter-McMillan";"7317 Jon Paul Drive";22306;"Alexandria";"Fairfax County";"VA";"(703) 373-3544";"Family Day Home";"Three Year";"Sept. 2, 2023";;"6:45AM - 5:45PM";"Monday - Friday";5;"1 month - 12 years 11 months";"Karen Dickens: (571) 423-6978";42591;"Yes";;1;;1109332;
"Anupama Prasai";"2526 Banshire Drive";20171;"Herndon";"Fairfax County";"VA";"(703) 901-3342";"Family Day Home";"One Year";"Aug. 23, 2020";;"7:30am - 6:00pm";"Monday - Friday";8;"5 months - 12 years 11 months";"Derek Acosta: (703) 554-4995";43923;"No";;;;1109483;
"Anushka Arachige";"9009 Orange Hunt Lane";22003;"Annandale";"Fairfax County";"VA";"(571) 296-6024";"Family Day Home";"Conditional";"July 31, 2020";;"8am - 6pm";"Monday - Friday";7;"3 months - 5 years 11 months";"Derek Acosta: (703) 554-4995";44727;"No";;;;1109689;
"Any Svay";"1627 Hiddenbrook Drive";20170;"Herndon";"Fairfax County";"VA";"(703) 434-1951";"Family Day Home";"Two Year";"July 14, 2021";;"7:00 AM - 6:00 PM";"Monday - Friday";12;"4 months - 10 years 11 months";"Eureka Nance: (703) 638-5968";24298;"No";;;;1075083;
"Appletree II";"712 Tapawingo Road SW";22180;"Vienna";"Fairfax County";"VA";"(703) 281-2626";"Child Day Center";"Two Year";"March 3, 2021";"Mrs. Annely Carver";"7:00 a.m. - 6:00 p.m.";"Monday - Friday";115;"3 years - 8 years 11 months";"Kara Wright: (703) 537-6241";9204;"No";;;;270021;
"Appletree School";"9655 Blake Lane";22031;"Fairfax";"Fairfax County";"VA";"(703) 281-7747";"Child Day Center";"Two Year";"April 17, 2021";"Ms. Katie Momm";"7:00 am - 6:00 pm";"Monday - Friday";105;"6 months - 11 years 11 months";"Kara Wright: (703) 537-6241";19310;"No";;1;;950401;
"Aquinas Montessori School";"8334 Mt. Vernon Highway";22309;"Alexandria";"Fairfax County";"VA";"(703) 780-8484";"Child Day Center";"Two Year";"Nov. 3, 2020";"Mr. David Futrell";"7:30 am - 6:00 pm";"Monday - Friday";70;"2 years 6 months - 12 years 11 months";"Shahana Green: (571) 423-6735";16019;"No";;1;;840423;
"Araceli Alvarado";"7661 Long Pine Street";22151;"Springfield";"Fairfax County";"VA";"(703) 786-2398";"Family Day Home";"One Year";"Jan. 28, 2021";;"12:01am - 12:00am";"Monday - Saturday";7;"1 month - 12 years 11 months";"Maria Soto: (571) 835-5058";45440;"Yes";;;;1109899;
"Arnivayana Perez-Malespin";"4900 Van Masdag Court";22003;"Annandale";"Fairfax County";"VA";"(571) 505-6575";"Family Day Home";"Two Year";"July 18, 2022";;"8:00am - 6:00pm";"Monday - Friday";5;"1 month - 12 years 11 months";"Eureka Nance: (703) 638-5968";42522;"Yes";;;;1109315;
"Artemesa Banzon";"8303 Brookvale Court";22153;"Springfield";"Fairfax County";"VA";"(703) 981-5704";"Family Day Home";"Two Year";"Sept. 12, 2022";;"7:30 am - 6:00 pm";"Monday - Friday";5;"3 months - 12 years 11 months";"Margaret Allworth: (703) 209-3521";45198;"No";;;;1109831;
"Arvinder Kaur";"5908 Dinwiddie Street";22150;"Springfield";"Fairfax County";"VA";"(703) 451-9983";"Family Day Home";"Two Year";"Sept. 2, 2022";;"7:00 am - 7:00pm";"Sunday - Saturday";12;"2 months - 12 years 11 months";"Jessica Willis: (571) 352-1453";35879;"Yes";;;;1107676;
"Aseeka Lamichhane";"715 Marshall Road SW";22180;"Vienna";"Fairfax County";"VA";"(301) 502-0702";"Family Day Home";"Two Year";"Feb. 16, 2021";;"8:00am - 6:00pm";"Monday - Friday";12;"6 months - 12 years 11 months";"Pernille Brandt: (703) 203-8659";43803;"No";;;;1109441;
"Asha Arora";"8029 Winstead Manor Lane";22079;"Lorton";"Fairfax County";"VA";"(571) 645-0198";"Family Day Home";"One Year";"Dec. 21, 2020";;"7:00 AM - 5:30 PM";"Monday - Friday";12;"Birth - 12 years 11 months";"Eureka Nance: (703) 638-5968";41847;"Yes";;;;1109080;
"Asia Ashraf";"6719 Poplar Street";22042;"Falls church";"Fairfax County";"VA";"(703) 216-4591";"Family Day Home";"One Year";"Dec. 3, 2020";;"6 am - 6 pm";"Monday - Friday";7;"Birth - 12 years 11 months";"Charles Perkins: (703) 309-3963";45136;"No";;;;1109810;
"Asma Abdulrazak";"6877 Brian Michael Court";22153;"Springfield";"Fairfax County";"VA";"(703) 870-5773";"Family Day Home";"Three Year";"Oct. 27, 2022";;"6:00 AM - 5:00 PM";"Monday - Friday";10;"1 month - 3 years 11 months";"Karen Dickens: (571) 423-6978";41809;"No";;;;1109066;
"Audrey Bender";"8323 Carrleigh Parkway";22152;"Springfield";"Fairfax County";"VA";"(703) 866-3057";"Family Day Home";"Two Year";"Dec. 23, 2020";;"7:00 AM - 6:59AM";"Monday - Friday";7;"3 months - 12 years 11 months";"Nancy Radcliffe";41974;"No";;;;1109142;
"Ayesha Sheikh";"9610 Braddock Road";22032;"Fairfax";"Fairfax County";"VA";"(703) 425-2948";"Family Day Home";"Two Year";"Sept. 11, 2022";;"6:30am - 6:00pm";"Monday - Friday";12;"Birth - 12 years 11 months";"Mahrukh Aziz: (571) 835-4718";45097;"No";;;;1109799;
"Ayoma Malawana";"2840 Pine Spring Road";22042;"Falls church";"Fairfax County";"VA";"(571) 309-9994";"Family Day Home";"One Year";"Dec. 17, 2020";;"8:00 am - 5:00 pm";"Monday - Friday";5;"Birth - 3 years 11 months";"Tanya Johnson: (571) 423-6392";44414;"No";;;;1109612;
"Azeb Idris";"6132 Summer Park Lane";22315;"Alexandria";"Fairfax County";"VA";"(703) 850-5422";"Family Day Home";"Two Year";"April 26, 2022";;"7:00am - 6:00pm";"Monday - Friday";12;"3 months - 5 years 11 months";"Mahrukh Aziz: (571) 835-4718";32452;"No";;;;1106583;
"Azeb Seife";"5019 Portsmouth Road";22032;"Fairfax";"Fairfax County";"VA";"(703) 591-0649";"Family Day Home";"Two Year";"July 25, 2022";;"7:00 AM - 6:00 PM";"Monday - Friday";12;"1 month - 12 years 11 months";"Jessica Willis: (571) 352-1453";35761;"No";;;;1107629;
