"Facility Name";"Site Address";"Zip";"City";"County";"State";"Phone";"Facility Type";"License Type";"Expiration Date";"Administrator";"Business Hours";"Business Days";"Capacity";"Ages";"Inspector";"Provider ID";"Subsidy";"Address 2";"Quality Level";"Qualification";"License/Facility ID#";"Registration Duration"
"Malikan Forde";"11833 Rimswell Turn";23112;"Midlothian";"Chesterfield";"VA";"(804) 405-1611";"Family Day Home";"Three Year";"April 22, 2024";;"8:00 AM - 6:00 PM";"Monday - Friday";5;"1 month - 12 years 11 months";"Susan Ellington-Sconiers: (804) 588-2368";44087;"Yes";;;;1109517;
"Mary Carter";"3631 Luckylee Crest";23234;"Chesterfield";"Chesterfield";"VA";"(804) 837-2845";"Family Day Home";"One Year";"Feb. 5, 2024";;"6:30 a.m. - 6:00 p.m.";"Monday - Friday";8;"1 year - 12 years 11 months";"Heather Dapper: (804) 625-2304";34071;"No";;;;1107122;
"Midlothian Kids Academy";"6761 Temie Lee Parkway";23112;"Midlothian";"Chesterfield";"VA";"(804) 293-4133";"Child Day Center";"Two Year";"Aug. 19, 2025";"Ms. Muriel Yeboah";"7:00am - 6:00pm";"Monday - Friday";285;"1 month - 12 years 11 months";"NeShara Gaston: (540) 280-0742";42583;"Yes";;;;1108160;
"Midlothian Montessori";"122 N. Courthouse Road";23236;"North chesterfield";"Chesterfield";"VA";"(804) 794-8661";"Child Day Center";"Two Year";"Sept. 6, 2025";"Sarah Mcdowell";"7:30 AM - 5:00 PM";"Monday - Friday";27;"2 years - 12 years 11 months";"Molly Muscat: (804) 588-2367";29906;"No";;;;1105433;
"Millwood School";"15100 Millwood School Lane";23112;"Midlothian";"Chesterfield";"VA";"(804) 639-3200";"Child Day Center";"Two Year";"Dec. 18, 2024";"Ms. Robin Woods";"7:00 a.m. - 6:00 p.m.";"Monday - Friday";59;"4 years - 12 years 11 months";"Molly Muscat: (804) 588-2367";22491;"No";;;;1042151;
"Mrs. Tonya Hudson";"6303 Amasis Court";23234;"N. chesterfield";"Chesterfield";"VA";"(804) 986-7160";"Family Day Home";"One Year";"Aug. 19, 2023";;"6:00 am - 6:00 pm";"Monday - Friday";12;"1 month - 12 years 11 months";"NeShara Gaston: (540) 280-0742";36526;"Yes";;;;1107900;
"Ms. Babita Rani";"6731 Arbor Meadows Drive";23831;"Chester";"Chesterfield";"VA";"(804) 768-9344";"Family Day Home";"One Year";"March 15, 2024";;"12:00 AM - 11:59 PM";"Monday - Sunday";12;"2 months - 6 years 11 months";"Tara Barton: (804) 381-8487";31625;"Yes";;;;1106269;
"Ms. Donna Poling";"7801 Valencia Road";23832;"Chesterfield";"Chesterfield";"VA";"(804) 276-3198";"Family Day Home";"Three Year";"Oct. 1, 2025";;"7:00 a.m. - 5:30 p.m.";"Monday - Friday";12;"Birth - 5 years 11 months";"LaTasha Smith: (804) 588-2362";18161;"No";;;;914161;
"Ms. Gina Gusti";"2954 Brentwood Circle";23237;"N. chesterfield";"Chesterfield";"VA";"(804) 271-2722";"Family Day Home";"Three Year";"Oct. 7, 2024";;"7:00 AM - 5:30 PM";"Monday - Friday";12;"4 months - 12 years 11 months";"Jennifer Moore: (540) 430-0384";30600;"No";;;;1105864;
"Ms. Joni Roberts";"13304 Farm Crest Court";23112;"Midlothian";"Chesterfield";"VA";"(804) 744-9559";"Family Day Home";"Two Year";"Sept. 25, 2024";;"7:00am - 6:00pm";"Monday - Friday";12;"1 month - 12 years 11 months";"Susan Ellington-Sconiers: (804) 588-2368";19775;"No";;;;960147;
"Ms. Rachel Massey";"10907 Arbor Ridge Terrace";23831;"Chester";"Chesterfield";"VA";"(804) 496-9068";"Family Day Home";"Conditional";"Oct. 28, 2023";;"6:00 a.m. - 6:00 p.m.";"Monday - Friday";12;"2 months - 12 years 11 months";"Tara Barton: (804) 381-8487";41748;"Yes";;;;1109033;
"Ms. Stephanie Griffith";"4221 Kingsland Road";23237;"N. chesterfield";"Chesterfield";"VA";"(804) 677-3198";"Family Day Home";"Two Year";"Oct. 22, 2023";;"6:00 AM - 6:00 PM";"Monday - Friday";12;"1 month - 12 years 11 months";"Susan Ellington-Sconiers: (804) 588-2368";44395;"No";;;;1109606;
"Precious Time Child Development Centers LLC";"13711 Village Mill Road";23114;"Midlothian";"Chesterfield";"VA";"(804) 272-1062";"Child Day Center";"Two Year";"Sept. 1, 2024";"Lucille Rainey";"6:30 AM - 6:30 PM";"Monday - Friday";130;"1 month - 12 years 11 months";"Susan Ellington-Sconiers: (804) 588-2368";46054;"Yes";;;;1108764;
"Precious Time, LLC";"1600 Early Settlers Road";23235;"N. chesterfield";"Chesterfield";"VA";"(804) 272-1062 (2)";"Child Day Center";"Two Year";"Oct. 27, 2023";"Chivon Newton";"6:00 AM - 8:00 PM";"Monday - Sunday";177;"Birth - 12 years 11 months";"Florence Martus: (804) 389-0157";28866;"Yes";;;;1105268;
"Primrose School at Ironbridge Corner";"11351 Iron Creek Road";23831;"Chester";"Chesterfield";"VA";"(804) 751-0233";"Child Day Center";"Two Year";"May 3, 2025";"Ms. Georgia Wiley";"6:30am - 6:00pm";"Monday - Friday";185;"1 month - 12 years 11 months";"Tara Barton: (804) 381-8487";35489;"No";;;;1106391;
"Primrose School at Swift Creek";"4750 Brad McNeer Parkway";23112;"Midlothian";"Chesterfield";"VA";"(804) 744-0787";"Child Day Center";"Two Year";"Feb. 27, 2024";"Elizabeth Weddle";"6:30 am - 6:15 pm";"Monday - Friday";220;"1 month - 12 years 11 months";"Tara Barton: (804) 381-8487";31163;"No";;;;1105582;
"Primrose School of Midlothian Village";"13801 Village Place Drive";23114;"Midlothian";"Chesterfield";"VA";"(804) 378-8773";"Child Day Center";"Two Year";"April 22, 2024";"Ms. Veronica Nuckols";"6:30 a. m. - 6:30 p. m.";"Monday - Friday";220;"1 month - 12 years 11 months";"Susan Ellington-Sconiers: (804) 588-2368";44112;"No";;;;1108320;
"Primrose School of Midlothian at Waterford";"13300 Tredegar Lake Parkway";23112;"Midlothian";"Chesterfield";"VA";"(804) 639-1011";"Child Day Center";"Two Year";"March 6, 2025";"Mrs. Elizabeth Weddle";"6:30am - 6:15pm";"Monday - Friday";195;"1 month - 12 years 11 months";"Tara Barton: (804) 381-8487";37338;"No";;;;1106745;
"River's Bend Children's Center";"12201 Kingston Avenue";23836;"Chester";"Chesterfield";"VA";"(804) 530-5600";"Child Day Center";"Two Year";"June 7, 2024";"Mr. Clark Andrs";"6:30 am - 6:00 pm";"Monday - Friday";250;"2 months - 12 years 11 months";"Jennifer Moore: (540) 430-0384";23300;"No";;;;1059819;
"River's Bend Children's Center";"120 West Hundred Road";23836;"Chester";"Chesterfield";"VA";"(804) 530-1256";"Child Day Center";"Two Year";"Sept. 28, 2025";"Mr. Clark Andrs";"6:30 a.m. - 6:00 p.m.";"Monday - Friday";159;"2 years 6 months - 12 years 11 months";"Jennifer Moore: (540) 430-0384";22560;"Yes";;;;1043980;
"Shemik Sellars";"601 Marblethorpe Road";23236;"North chesterfield";"Chesterfield";"VA";"(804) 874-8913";"Family Day Home";"One Year";"Jan. 19, 2024";;"7:00 am - 6:00 pm";"Monday - Friday";12;"1 month - 12 years 11 months";"NeShara Gaston: (540) 280-0742";46883;"Yes";;;;1110116;
"Skipwith Academy @ Huguenot (#51)";"11211 West Huguenot Road";23235;"Richmond";"Chesterfield";"VA";"(804) 323-6804";"Child Day Center";"Two Year";"July 8, 2024";"Ms. Asheli Black";"6:30 AM - 6:30 PM";"Monday - Friday";180;"Birth - 12 years 11 months";"Molly Muscat: (804) 588-2367";17529;"Yes";;;;889678;
"Skipwith Academy @ Woodlake (#41)";"7051 Woodlake Commons Loop";23112;"Midlothian";"Chesterfield";"VA";"(804) 639-2401";"Child Day Center";"Two Year";"Sept. 15, 2023";"Ms. Lori Marano";"6:30 am - 6:00 pm";"Monday - Friday";240;"Birth - 12 years 11 months";"Heather Dapper: (804) 625-2304";36000;"Yes";;;;1106469;
"Skipwith Academy at Westchester (#65)";"300 Schofield Drive";23113;"Midlothian";"Chesterfield";"VA";"(804) 794-0531";"Child Day Center";"Two Year";"March 1, 2025";"Ms. Kinyessah Cole";"6:30 AM - 6:30 PM";"Monday - Friday";172;"1 month - 12 years 11 months";"Molly Muscat: (804) 588-2367";40619;"Yes";;;;1107598;
"Sophronia Twyman";"3700 Gleaming Drive";23237;"Richmond";"Chesterfield";"VA";"(804) 888-1558";"Family Day Home";"One Year";"Sept. 30, 2024";;"7:00AM - 5:30PM";"Monday - Friday";5;"5 months - 7 years 11 months";"LaTasha Smith: (804) 588-2362";49294;"No";;;;1110499;
"Tamera Biby";"4356 Ketcham Drive";23832;"Chesterfield";"Chesterfield";"VA";"(804) 467-1547";"Family Day Home";"One Year";"Feb. 14, 2024";;"6:30 AM - 6:00 PM";"Monday - Friday";12;"2 years - 12 years 11 months";"Susan Ellington-Sconiers: (804) 588-2368";38188;"No";;;;1108339;
"The A.R.T.S. LLC";"10179 Hull Street Road";23112;"Midlothian";"Chesterfield";"VA";"(804) 658-2614";"Child Day Center";"Two Year";"Feb. 1, 2023";"Ms Cindy Richardson-Keys";"7:00 am - 6:00 pm";"Monday - Friday";70;"2 years - 12 years 11 months";"Sharon Curlee: (804) 840-8312";44371;"Yes";;;;1108359;
"The Cedarhouse School";"2301 Colony Crossing Place";23112;"Midlothian";"Chesterfield";"VA";"(804) 639-8078";"Child Day Center";"Two Year";"March 5, 2024";"Melody Morton";"7:00 AM - 6:15 PM";"Monday - Friday";228;"1 month - 12 years 11 months";"Heather Dapper: (804) 625-2304";31341;"No";;;;1105603;
"The Covenant Creche";"3615 East River Road";23803;"South chesterfield";"Chesterfield";"VA";"(804) 526-9080";"Child Day Center";"Two Year";"Sept. 23, 2024";"Dimitria Roberts";"7:00 AM - 6:00 PM";"Monday - Friday";32;"3 months - 12 years 11 months";"Heather Dapper: (804) 625-2304";47792;"Yes";;;;1109224;
"The Goddard School";"10211 Krause Road";23832;"Chesterfield";"Chesterfield";"VA";"(804) 717-8400";"Child Day Center";"Two Year";"Dec. 12, 2024";"Ms. Debbie Womack";"7:00 A.M. - 6:00 P.M.";"Monday - Friday";313;"1 month - 12 years 11 months";"Molly Muscat: (804) 588-2367";25852;"Yes";;;;1095611;
"The Goddard School - River's Bend";"13036 Rivers Bend Boulevard";23836;"Chester";"Chesterfield";"VA";"(804) 530-0096";"Child Day Center";"Two Year";"July 1, 2025";"Mr. Stephen Graham";"7:00 a.m. - 6:00 p.m.";"Monday - Friday";286;"1 month - 12 years 11 months";"Jennifer Moore: (540) 430-0384";33374;"Yes";;;;1105958;
"The Goddard School - Woodlake";"6543 Woodlake Village Circle";23112;"Midlothian";"Chesterfield";"VA";"(804) 739-8081";"Child Day Center";"Two Year";"Feb. 28, 2025";"Christina Nolte";"6:30 am - 6:00 pm";"Monday-Friday (no weekends)";172;"1 month - 12 years 11 months";"Jennifer Moore: (540) 430-0384";48229;"Yes";;;;1109278;
"The Goddard School - Woodlake";"6516 Woodlake Village Circle";23112;"Midlothian";"Chesterfield";"VA";"(804) 739-8081";"Child Day Center";"Conditional";"April 10, 2024";"Emily Lapastora";"6:30 am - 6:00 pm";"Monday - Friday";93;"3 years - 12 years 11 months";"Jennifer Moore: (540) 430-0384";49924;"No";;;;1109562;
"The Goddard School at Robious Station";"2361 Robious Station Circle";23113;"Midlothian";"Chesterfield";"VA";"(804) 891-1917";"Child Day Center";"Two Year";"May 31, 2025";"Tiffany Benkert";"7:00 a.m. - 6:00 p.m.";"Monday - Friday";215;"1 month - 12 years 11 months";"Susan Ellington-Sconiers: (804) 588-2368";48903;"No";;;;1109384;
"The Goddard School at Walton Park";"130 Walton Park Lane";23114;"Midlothian";"Chesterfield";"VA";"(804) 594-3525";"Child Day Center";"Two Year";"Oct. 30, 2024";"Theodore Robertson";"7:00 a.m. - 6:00 p.m.";"Monday - Friday";191;"1 month - 12 years 11 months";"NeShara Gaston: (540) 280-0742";31885;"No";;;;1105697;
"The Learning Experience";"1901 Chartermark Drive";23114;"Midlothian";"Chesterfield";"VA";"(804) 566-1461";"Child Day Center";"Two Year";"June 4, 2025";"Grace Huxtable-Mount";"6:30 a.m. - 6:30 p.m.";"Monday - Friday";189;"1 month - 12 years 11 months";"Tara Barton: (804) 381-8487";48931;"No";;;;1109391;
"The Learning Playhouse";"208 North Providence Road";23235;"N. chesterfield";"Chesterfield";"VA";"(804) 560-7808";"Child Day Center";"Two Year";"April 26, 2024";"Ms. Mary Cheatham";"7:00am - 6:00pm";"Monday - Friday";272;"2 years - 12 years 11 months";"Jennifer Moore: (540) 430-0384";43920;"Yes";;;;1108269;
"The Noble Academy, Inc.";"5000 Ridgedale Parkway";23234;"N. chesterfield";"Chesterfield";"VA";"(804) 275-5683";"Child Day Center";"Two Year";"March 4, 2024";"Sandra Noble";"6:30am - 6:00pm";"Monday - Friday";75;"1 month - 12 years 11 months";"Susan Ellington-Sconiers: (804) 588-2368";32811;"Yes";;;;1105838;
"The Village at LeafSpring School at Charter Colony";"831 Charter Colony Parkway";23114;"Midlothian";"Chesterfield";"VA";"(804) 594-0561";"Child Day Center";"Two Year";"Sept. 5, 2025";"Ms. Lauren Maggi";"7:00am - 6:00pm";"Monday - Friday";193;"2 years 6 months - 12 years 11 months";"Molly Muscat: (804) 588-2367";42761;"No";;;;1108175;
"Troy Montessori";"3100 East River Road";23803;"Petersburg";"Chesterfield";"VA";"(804) 721-8817";"Child Day Center";"Two Year";"Oct. 19, 2025";"Shandra Cain";"7:00AM - 6:00PM";"Monday - Friday";60;"2 years - 12 years 11 months";"LaTasha Smith: (804) 588-2362";49353;"Yes";;;;1109473;
"Village Montessori Academy";"923 Buford Road";23235;"N. chesterfield";"Chesterfield";"VA";"(804) 396-3611";"Child Day Center";"Two Year";"March 6, 2024";"Amanda P Bolton";"8:30 AM - 5:30 PM";"Monday - Friday";40;"2 years - 10 years 11 months";"Heather Dapper: (804) 625-2304";47327;"No";;;;1109091;
"Wannetta Trotter";"21016 Orange Hill Avenue";23803;"South chesterfield";"Chesterfield";"VA";"(804) 477-0758";"Family Day Home";"One Year";"Feb. 3, 2024";;"24 hours";"Monday - Sunday";12;"Birth - 10 years 11 months";"Jennifer Moore: (540) 430-0384";43825;"Yes";;;;1109452;
"Wilk-N-Kids Learning Center";"7807 Courthouse Three Lane";23237;"Richmond";"Chesterfield";"VA";"(804) 279-9401";"Child Day Center";"Two Year";"Sept. 29, 2024";"Patricia Booker";"6:00 a.m. - 6:00 p.m.";"Monday - Friday";37;"Birth - 5 years 11 months";"Susan Ellington-Sconiers: (804) 588-2368";47823;"Yes";;;;1109229;
"Woodlake Child Development Center";"14750 Meyer Cove Drive";23112;"Midlothian";"Chesterfield";"VA";"(804) 739-3709";"Child Day Center";"Provisional";"Feb. 28, 2024";"Ms. Kaitlyn Turner";"7:00 am - 6:00pm";"Monday - Friday";395;"1 month - 12 years 11 months";"Jennifer Moore: (540) 430-0384";45096;"Yes";;;;1108542;
"Woolridge Montessori Academy";"14000 Charter Park Drive";23114;"Midlothian";"Chesterfield";"VA";"(804) 601-6856";"Child Day Center";"Two Year";"June 29, 2024";"Ruchi Sharma";"6:30 AM - 6:00 PM";"Monday - Friday";193;"1 month - 12 years 11 months";"Heather Dapper: (804) 625-2304";47446;"Yes";;;;1109140;
"Wynel Harris";"13806 Thornhill Court";23836;"Chester";"Chesterfield";"VA";"(757) 288-2459";"Family Day Home";"Two Year";"June 30, 2025";;"6:00am - 6:00pm";"Monday - Friday";12;"3 months - 12 years 11 months";"Susan Ellington-Sconiers: (804) 588-2368";46796;"Yes";;;;1110104;
"YMCA - Falling Creek Elementary School";"4800 Hopkins Road";23234;"Richmond";"Chesterfield";"VA";"(804) 629-5443";"Child Day Center";"Two Year";"Jan. 21, 2024";"Josh Green";"3:30PM - 6:00PM";"Monday - Friday";50;"4 years 9 months - 12 years 11 months";"NeShara Gaston: (540) 280-0742";45282;"No";;;"Program Located in a Public School";1108581;
"YMCA - Midlothian";"737 Coalfield Road";23114;"Midlothian";"Chesterfield";"VA";"(804) 419-8565";"Child Day Center";"Two Year";"Jan. 15, 2024";"Josh Green";"700 am - 6:00 pm";"Monday - Friday";262;"4 years 9 months - 12 years 11 months";"NeShara Gaston: (540) 280-0742";17843;"Yes";;;;902546;
"Young Men's Christian Association - Camp Thunderbird";"9300 Shawonodasee Road";23832;"Chesterfield";"Chesterfield";"VA";"(804) 748-6714";"Child Day Center";"Two Year";"Aug. 23, 2024";"Josh Green";"7:00 a.m. - 6:00 p.m.";"Monday - Friday";390;"4 years 9 months - 12 years 11 months";"Heather Dapper: (804) 625-2304";13438;"Yes";;;;676642;
"Young Men's Christian Association of Greater Richmond - Bellwood";"9536 Dawnshire Road";23237;"N. chesterfield";"Chesterfield";"VA";"(804) 743-3600";"Child Day Center";"Two Year";"Sept. 30, 2025";"Josh Green";"7:00 a.m. - 6:00 p.m.";"Monday - Friday";150;"4 years 9 months - 12 years 11 months";"Molly Muscat: (804) 588-2367";25133;"No";;;"Program Located in a Public School";1085895;
"Young Men's Christian Association of Greater Richmond - Bon Air";"8701 Polk Street";23235;"Bon air";"Chesterfield";"VA";"(804) 560-2700";"Child Day Center";"Two Year";"Feb. 28, 2025";"Josh Green";"2:15 pm - 6:00 pm";"Monday - Friday";75;"4 years 9 months - 12 years 11 months";"NeShara Gaston: (540) 280-0742";44657;"Yes";;;"Program Located in a Public School";1108417;
"Young Men's Christian Association of Greater Richmond - CECLA";"15501 Harrowgate Road";23831;"Chester";"Chesterfield";"VA";"(804) 729-4867";"Child Day Center";"Two Year";"Feb. 22, 2024";"Josh Green";"7:00am - 6:00pm";"Monday - Friday";200;"3 years - 5 years 11 months";"Molly Muscat: (804) 588-2367";47354;"Yes";;;"Program Located in a Public School";1109097;
"Young Men's Christian Association of Greater Richmond - Curtis";"3600 W. Hundred Road";23831;"Chester";"Chesterfield";"VA";"(804) 316-5766";"Child Day Center";"Two Year";"March 5, 2025";"Josh Green";"2:45 p.m. - 6:00 p.m.";"Monday - Friday";100;"4 years 9 months - 12 years 11 months";"Molly Muscat: (804) 588-2367";42194;"Yes";;;"Program Located in a Public School";1108053;
"Young Men's Christian Association of Greater Richmond - Ecoff";"5200 Ecoff Avenue";23831;"Chester";"Chesterfield";"VA";"(804) 474-4405";"Child Day Center";"Conditional";"Feb. 21, 2024";"Josh Green";"7:00 AM - 6:00 PM";"Mon-Fri (Aug-Jun)";100;"4 years 9 months - 12 years 11 months";"Heather Dapper: (804) 625-2304";49642;"Yes";;;"Program Located in a Public School";1109515;
"Young Men's Christian Association of Greater Richmond JB Fisher";"3701 Garden Road";23235;"Richmond";"Chesterfield";"VA";"(804) 327-5612";"Child Day Center";"Two Year";"April 2, 2025";"Josh Green";"2:45 p.m. - 6:00 p.m.";"Monday - Friday";75;"4 years 9 months - 12 years 11 months";"Susan Ellington-Sconiers: (804) 588-2368";48703;"Yes";;;;1109317;
"Young Men's Christian Association of Greater Richmond-Evergreen";"1701 Evergreen Parkway";23114;"Midlothian";"Chesterfield";"VA";"(804) 418-9159";"Child Day Center";"Two Year";"March 4, 2024";"Josh Green";"7:00am - 6:00pm";"Monday - Friday";100;"4 years 11 months - 12 years 11 months";"Jennifer Moore: (540) 430-0384";43898;"Yes";;;"Program Located in a Public School";1108262;
"Young Men's Christian Association of Greater Richmond-JB Watkins";"501 Coalfield Road";23114;"Midlothian";"Chesterfield";"VA";"(804) 474-4405";"Child Day Center";"Two Year";"Sept. 3, 2025";"Josh Green";"7:00am - 6:00pm";"Monday - Friday";150;"4 years 9 months - 12 years 11 months";"Jennifer Moore: (540) 430-0384";44656;"Yes";;;"Program Located in a Public School";1108416;
"Young Men's Christian Association of Greater Richmond-Manchester";"7540 Hull Street Road";23235;"North chesterfield";"Chesterfield";"VA";"(804) 441-3512";"Child Day Center";"Two Year";"Aug. 25, 2025";"Josh Green";"7:00 AM - 6:00 PM";"Monday - Friday";195;"4 years 9 months - 12 years 11 months";"Sharon Curlee: (804) 840-8312";9254;"Yes";;;;280451;
"Young Men's Christian Association of Greater Richmond-Spring Run";"13901 N. Spring Run Road";23112;"Midlothian";"Chesterfield";"VA";"(804) 549-6578";"Child Day Center";"Two Year";"June 30, 2024";"Josh Green";"7:00am - 6:00pm";"Monday - Friday";75;"4 years 9 months - 12 years 11 months";"Molly Muscat: (804) 588-2367";47358;"Yes";;;;1109101;
"Young Mens Christian Association of Greater Richmond- Winterpock";"9000 Elementary Way Loop";23832;"Chesterfield";"Chesterfield";"VA";"(804) 389-2804";"Child Day Center";"Two Year";"March 3, 2025";"Josh Green";"7:00 AM - 6:00 PM";"Monday - Friday";150;"4 years 9 months - 12 years 11 months";"NeShara Gaston: (540) 280-0742";44709;"Yes";;;"Program Located in a Public School";1108443;
"Young Mens Christian Association of Greater Richmond-Clover Hill";"5700 Woodlake Village Parkway";23112;"Midlothian";"Chesterfield";"VA";"(804) 441-1808";"Child Day Center";"Two Year";"March 3, 2025";"Josh Green";"2:15pm - 6:00 PM";"Monday - Friday";175;"4 years 9 months - 12 years 11 months";"Molly Muscat: (804) 588-2367";44660;"Yes";;;"Program Located in a Public School";1108420;
"Young Mens Christian Association of Greater Richmond-Swift Creek";"15800 Hampton Park Drive";23832;"Chesterfield";"Chesterfield";"VA";"(804) 474-4405";"Child Day Center";"Two Year";"June 2, 2025";"Josh Green";"7:00 AM - 6:00 PM";"Monday - Friday";240;"4 years 9 months - 12 years 11 months";"NeShara Gaston: (540) 280-0742";44952;"No";;;;1108504;
"Yvette Williams-Patterson";"2109 Ives Lane";23235;"N. chesterfield";"Chesterfield";"VA";"(804) 615-9204";"Family Day Home";"One Year";"Sept. 6, 2024";;"6:00 A.M. - 6:00 P.M.";"Monday - Friday";12;"2 months - 3 years 11 months";"Heather Dapper: (804) 625-2304";37884;"No";;;;1108275;
"Banner Christian School";"5831 Courthouse Road";23832;"Chesterfield";"Chesterfield";"VA";"(804) 276-5200";"Certified Pre-School";;"Sept. 14, 2023";"Kathy Ivill";"8:00am - 6:00pm";"Monday - Friday";10;"3 years 11 months - 5 years 11 months";"Carla Alexander: (804) 840-3662";48824;"No";;;"Subsection B";50;
"Bethel Baptist Church";"1100 Huguenot Springs Road";23112;"Midlothian";"Chesterfield";"VA";"(804) 794-8590";"Religious Exempt Child Day Center";"Exempt";"Aug. 20, 2024";"Ms. Heather Kerns";"9:00am - 2:00pm";"Monday - Thursday";40;"1 year 6 months - 5 years 11 months";"Lynn Powers: (804) 840-8260";32827;"No";;;;1105049;
"Bon Air Baptist Church";"2531 Buford Road";23235;"N. chesterfield";"Chesterfield";"VA";"(804) 272-5977";"Religious Exempt Child Day Center";"Exempt";"Oct. 25, 2023";"Ms. Peggy Moore";"9:30 am - 12:30 pm";"Monday - Friday";84;"1 year - 5 years 11 months";"Lynn Powers: (804) 840-8260";9321;"No";;;;293854;
"Bon Air Presbyterian Church";"9201 W. Huguenot Road";23235;"N. chesterfield";"Chesterfield";"VA";"(804) 799-0425";"Religious Exempt Child Day Center";"Exempt";"Sept. 11, 2024";"Ms. Barbara Gregory";"9:30am - 2:30pm";"Monday - Friday";64;"2 years - 5 years 11 months";"Lynn Powers: (804) 840-8260";15955;"No";;;;838046;
"Bon Air United Methodist Church";"1645 Buford Road";23235;"N. chesterfield";"Chesterfield";"VA";"(804) 320-7043";"Religious Exempt Child Day Center";"Exempt";"Oct. 29, 2023";". Corey Posey";"9:45 am - 1:15pm";"Monday - Friday";277;"2 years - 6 years 11 months";"Lynn Powers: (804) 840-8260";15953;"No";;;;837961;
"Bread of Life Temple COGIC";"2208 Summer Hill Avenue";23234;"Richmond";"Chesterfield";"VA";"(757) 235-0817";"Religious Exempt Child Day Center";"Exempt";"Oct. 5, 2024";"Linda Anderson";"6:00am - 6:00pm";"Monday - Friday";47;"4 years - 12 years 11 months";"Lynn Powers: (804) 840-8260";49647;"No";;;;1106198;
"Central Baptist Church";"1500 Courthouse Road";23236;"Richmond";"Chesterfield";"VA";"(804) 794-4652";"Religious Exempt Child Day Center";"Exempt";"April 6, 2024";"Ms. Melissa West";"7:00am - 5:00pm";"Monday - Friday";126;"1 month - 5 years 11 months";"Lynn Powers: (804) 840-8260";17806;"No";;;;901442;
"Chester Baptist Church";"4317 School Street";23831;"Chester";"Chesterfield";"VA";"(804) 748-3257";"Religious Exempt Child Day Center";"Exempt";"June 17, 2024";"Ms. Michelle Mccabe";"9:30 am - 1:00 pm";"Monday - Thursday";56;"2 years 6 months - 5 years 11 months";"Lynn Powers: (804) 840-8260";20185;"No";;;;974351;
"Chester Presbyterian Church";"3424 W. Hundred Road";23831;"Chester";"Chesterfield";"VA";"(804) 748-9465";"Religious Exempt Child Day Center";"Exempt";"Nov. 16, 2023";"Ms. Kim Hopkins";"9:15am - 2:00pm";"Monday - Friday";100;"2 years 6 months - 5 years 11 months";"Lynn Powers: (804) 840-8260";16587;"No";;;;860980;
"Chester United Methodist Church";"12132 Percival Street";23831;"Chester";"Chesterfield";"VA";"(804) 748-2275";"Religious Exempt Child Day Center";"Exempt";"Dec. 4, 2023";"Ms. Jennifer Barnes";"9:05 am - 1:30 pm";"Monday - Thursday";92;"2 years 6 months - 6 years 11 months";"Lynn Powers: (804) 840-8260";15849;"No";;;;833702;
"Cloverhill Church";"12310 Bailey Bridge Road";23112;"Midlothian";"Chesterfield";"VA";"(804) 739-3115";"Religious Exempt Child Day Center";"Exempt";"Sept. 26, 2023";"Ms. Kendall Blackwell";"7:00am - 5:00pm";"Monday - Friday";489;"1 year - 12 years 11 months";"Lynn Powers: (804) 840-8260";30045;"No";;;;1104900;
"Cloverhill Church";"6200 Hopkins Road";23234;"Richmond";"Chesterfield";"VA";"(804) 275-2253";"Religious Exempt Child Day Center";"Exempt";"May 6, 2024";"Shelly Hartwill";"6:00am - 5:30pm";"Monday - Friday";118;"2 years - 12 years 11 months";"Lynn Powers: (804) 840-8260";47932;"Yes";;;;1106129;
"Cornerstone Baptist Church";"6100 Cornerstone Boulevard";23234;"N. chesterfield";"Chesterfield";"VA";"(804) 271-6100 (2)";"Religious Exempt Child Day Center";"Exempt";"Sept. 12, 2024";"Ms. Joy T Carter";"6:30am - 6:00pm";"Monday - Friday";198;"6 months - 12 years 11 months";"Lynn Powers: (804) 840-8260";22515;"No";;;;1042827;
"Cynthia Price";"605 Sunrise Five Way";23236;"North chesterfield";"Chesterfield";"VA";"(804) 909-2186";"Voluntary Registration";;"Sept. 19, 2024";;"6:30 a.m. - 5:30 p.m.";"Monday - Friday";4;;"Nicole Jeffress: (804) 773-1847";46661;"No";" Apt E";;;5594;"Two Year"
"Deborah Delaware";"8312 Foxberry Drive";23235;"Richmond";"Chesterfield";"VA";"(804) 675-7858";"Voluntary Registration";;"Dec. 6, 2023";;"7:00 a.m. - 6:00 p.m.";"Monday - Saturday";4;;"Lynn Powers: (804) 840-8260";47551;"Yes";;;;5661;"Two Year"
"Episcopal Church of the Redeemer";"2341 Winterfield Road";23113;"Midlothian";"Chesterfield";"VA";"(804) 378-8909";"Religious Exempt Child Day Center";"Exempt";"Feb. 7, 2024";"Julia Dorsey";"9:30 a.m. - 1:00 p.m.";"Monday - Friday";75;"2 years - 5 years 11 months";"Lynn Powers: (804) 840-8260";9339;"No";;;;297388;
"Faith Harvest International Church";"8015 Buford Court";23235;"North chesterfield";"Chesterfield";"VA";"(804) 939-0422";"Religious Exempt Child Day Center";"Exempt";"Oct. 18, 2023";"Martha J. Evans";"7:30am - 6:00pm";"Monday - Friday";40;"3 years - 12 years 11 months";"Lynn Powers: (804) 840-8260";46694;"Yes";;;;1106035;
