"Provider Name";"Address 1";"Address 2";"City";"State";"ZIP";"Mail Address 1";"Mail Address 2";"Mail City";"Mail State";"Mail ZIP";"Phone";"Fax Number";"Director/Owner";"Status";"License/Registration Issue Date";"Provider Type";"Approved to Accept Child Care Assistance?";"QRS Level";"Current Vacancies";"Capacity";"Monday hours";"Tuesday hours";"Wednesday hours";"Thursday hours";"Friday hours";"Saturday hours";"Sunday hours";"Rates";"County";"URL";"License Expiration Date";"Visit Report"
"Kid Zone";"1701 W Agency RD";;"West Burlington";"IA";52655;"1221 S Gear";;"West Burlington";"IA";52655;"(319) 768-1234";;", ";"Active";"5/19/2020";"Licensed Center";"Yes";5;;86;" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";;;"Infant (up to 24 months)  Half-Day/26.00| Infant (up to 24 months)  Half-Day/26.00| Infant (up to 36 months)  Half-Day/26.00| Infant (up to 36 months)  Half-Day/26.00| Preschool (24 to Kindergarten)  Half-Day/26.00| Preschool (24 to Kindergarten)  Half-Day/26.00| Preschool (36 to Kindergarten)  Half-Day/26.00| Preschool (36 to Kindergarten)  Half-Day/26.00| School Age (K and up)  Half-Day/26.00| School Age (K and up)  Half-Day/26.00";"Des Moines";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=19978";"5/31/2022";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/19978"
"Kinneers Kiddie Kastle";"2344 Mason RD";;"Burlington";"IA";52601;"2344 Mason RD";;"Burlington";"IA";52601;"(319) 572-1634";;"Kinneer, Stephanie";"Active";"6/1/2019";"Registered Child Development Home B";"Yes";4;;12;" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";;;"Infant (up to 24 months)  Half-Day/14.00| Infant (up to 24 months)  Half-Day/14.00| Infant (up to 36 months)  Half-Day/14.00| Infant (up to 36 months)  Half-Day/14.00| Preschool (24 to Kindergarten)  Half-Day/14.00| Preschool (24 to Kindergarten)  Half-Day/14.00| Preschool (36 to Kindergarten)  Half-Day/14.00| Preschool (36 to Kindergarten)  Half-Day/14.00| School Age (K and up)  Half-Day/14.00| School Age (K and up)  Half-Day/14.00";"Des Moines";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=19987";"5/31/2021";
"Kira Bryant";"534 Broadway ST";;"West Burlington ";"IA";52655;"534 Broadway ST";;"West Burlington ";"IA";52655;"(319) 572-6485";;"Bryant, Kira";"Active";"2/21/2020";"Registered Child Development Home B";"Yes";;;12;" 6:30AM -  4:45PM";" 6:30AM -  4:45PM";" 6:30AM -  4:45PM";" 6:30AM -  4:45PM";" 6:30AM -  4:45PM";;;"Infant (up to 24 months)  Hourly/3.50| Infant (up to 24 months)  Hourly/3.50| Infant (up to 24 months)  Hourly/3.50| Infant (up to 24 months)  Hourly/3.50| Infant (up to 36 months)  Hourly/3.50| Infant (up to 36 months)  Hourly/3.50| Infant (up to 36 months)  Hourly/3.50| Infant (up to 36 months)  Hourly/3.50| Preschool (24 to Kindergarten)  Hourly/3.50| Preschool (24 to Kindergarten)  Hourly/3.50| Preschool (24 to Kindergarten)  Hourly/3.50| Preschool (24 to Kindergarten)  Hourly/3.50| Preschool (36 to Kindergarten)  Hourly/3.50| Preschool (36 to Kindergarten)  Hourly/3.50| Preschool (36 to Kindergarten)  Hourly/3.50| Preschool (36 to Kindergarten)  Hourly/3.50| School Age (K and up)  Hourly/3.50| School Age (K and up)  Hourly/3.50| School Age (K and up)  Hourly/3.50| School Age (K and up)  Hourly/3.50";"Des Moines";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=48693";"5/31/2021";
"Kishauna Denny";"1310 S 13th ST";;"Burlington";"IA";52601;"1310 S 13th ST";;"Burlington";"IA";52601;"(319) 209-0412";;"Denny, Kishauna";"Active";"5/1/2020";"Registered Child Development Home B";"Yes";4;;12;"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"Infant (up to 24 months)  Hourly/3.50| Infant (up to 24 months)  Hourly/3.50| Infant (up to 24 months)  Hourly/3.50| Infant (up to 24 months)  Hourly/3.50| Infant (up to 36 months)  Hourly/3.50| Infant (up to 36 months)  Hourly/3.50| Infant (up to 36 months)  Hourly/3.50| Infant (up to 36 months)  Hourly/3.50| Preschool (24 to Kindergarten)  Hourly/3.50| Preschool (24 to Kindergarten)  Hourly/3.50| Preschool (24 to Kindergarten)  Hourly/3.50| Preschool (24 to Kindergarten)  Hourly/3.50| Preschool (36 to Kindergarten)  Hourly/3.50| Preschool (36 to Kindergarten)  Hourly/3.50| Preschool (36 to Kindergarten)  Hourly/3.50| Preschool (36 to Kindergarten)  Hourly/3.50| School Age (K and up)  Hourly/3.50| School Age (K and up)  Hourly/3.50| School Age (K and up)  Hourly/3.50| School Age (K and up)  Hourly/3.50";"Des Moines";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=20004";"4/30/2022";
"Lakisha Moore";"2316 Washington ST";;"Burlington";"IA";52601;"2316 Washington ST";;"Burlington";"IA";52601;"(319) 671-8929";;"Moore, Lakisha";"Active";"6/1/2020";"Registered Child Development Home A";"Yes";;;8;"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"Infant (up to 24 months)  Half-Day/36.25| Infant (up to 24 months)  Half-Day/36.25| Infant (up to 36 months)  Half-Day/36.25| Infant (up to 36 months)  Half-Day/36.25| Preschool (24 to Kindergarten)  Half-Day/36.25| Preschool (24 to Kindergarten)  Half-Day/36.25| Preschool (36 to Kindergarten)  Half-Day/36.25| Preschool (36 to Kindergarten)  Half-Day/36.25| School Age (K and up)  Half-Day/36.25| School Age (K and up)  Half-Day/36.25";"Des Moines";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=49725";"5/31/2022";
"Lauretta Lewis";"208 S 9th ";;"Burlington";"IA";52601;"208 S 9th ";;"Burlington ";"IA";52601;"(319) 768-6884";;"Lewis, Lauretta";"Active";"9/1/2019";"Registered Child Development Home B";"Yes";;;12;"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"Infant (up to 24 months)  Hourly/3.50| Infant (up to 24 months)  Hourly/3.50| Infant (up to 24 months)  Hourly/3.50| Infant (up to 24 months)  Hourly/3.50| Infant (up to 36 months)  Hourly/3.50| Infant (up to 36 months)  Hourly/3.50| Infant (up to 36 months)  Hourly/3.50| Infant (up to 36 months)  Hourly/3.50| Preschool (24 to Kindergarten)  Hourly/3.50| Preschool (24 to Kindergarten)  Hourly/3.50| Preschool (24 to Kindergarten)  Hourly/3.50| Preschool (24 to Kindergarten)  Hourly/3.50| Preschool (36 to Kindergarten)  Hourly/3.50| Preschool (36 to Kindergarten)  Hourly/3.50| Preschool (36 to Kindergarten)  Hourly/3.50| Preschool (36 to Kindergarten)  Hourly/3.50| School Age (K and up)  Hourly/3.50| School Age (K and up)  Hourly/3.50| School Age (K and up)  Hourly/3.50| School Age (K and up)  Hourly/3.50";"Des Moines";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=19880";"8/31/2021";
"LaVaysha Magee";"253 S Central AVE";;"Burlington";"IA";52601;"253 S Central AVE";;"Burlington";"IA";52601;"(319) 208-4446";;"Magee, LaVaysha";"Active";"12/1/2019";"Registered Child Development Home A";"Yes";2;;8;" 5:00AM - 11:59PM";" 5:00AM - 11:59PM";" 5:00AM - 11:59PM";" 5:00AM - 11:59PM";" 5:00AM - 11:59PM";" 5:00AM - 11:00PM";" 5:00AM - 11:00PM";"Infant (up to 24 months)  Half-Day/13.50| Infant (up to 36 months)  Half-Day/13.50| Preschool (24 to Kindergarten)  Half-Day/13.50| Preschool (36 to Kindergarten)  Half-Day/13.50| School Age (K and up)  Half-Day/13.50";"Des Moines";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=46424";"11/30/2021";
"Leanna Harris";"1012 N 8th ST";;"Burlington";"IA";52601;"1012 N 8th ST";;"Burlington";"IA";52601;"(319) 601-9405";;"Harris, Leanna";"Active";"2/1/2020";"Registered Child Development Home B";"Yes";1;;12;"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"Infant (up to 24 months)  Hourly/13.50| Infant (up to 24 months)  Hourly/13.50| Infant (up to 24 months)  Hourly/13.50| Infant (up to 36 months)  Hourly/13.50| Infant (up to 36 months)  Hourly/13.50| Infant (up to 36 months)  Hourly/13.50| Preschool (24 to Kindergarten)  Hourly/13.50| Preschool (24 to Kindergarten)  Hourly/13.50| Preschool (24 to Kindergarten)  Hourly/13.50| Preschool (36 to Kindergarten)  Hourly/13.50| Preschool (36 to Kindergarten)  Hourly/13.50| Preschool (36 to Kindergarten)  Hourly/13.50| School Age (K and up)  Hourly/13.50| School Age (K and up)  Hourly/13.50| School Age (K and up)  Hourly/13.50";"Des Moines";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=45266";"1/31/2022";
"Leanne Rana";"2509 Amelia ST";;"Burlington";"IA";52601;"2509 Amelia ST";;"Burlington";"IA";52601;"(319) 759-2888";;"Rana, Leanne";"Active";"1/28/2019";"Registered Child Development Home C1";"Yes";;;8;" 6:00AM -  5:00PM";" 6:00AM -  5:00PM";" 6:00AM -  5:00PM";" 6:00AM -  5:00PM";" 6:00AM -  5:00PM";;;"Infant (up to 24 months)  Half-Day/17.50| Infant (up to 24 months)  Half-Day/17.50| Infant (up to 24 months)  Half-Day/17.50| Infant (up to 36 months)  Half-Day/17.50| Infant (up to 36 months)  Half-Day/17.50| Infant (up to 36 months)  Half-Day/17.50| Preschool (24 to Kindergarten)  Half-Day/17.50| Preschool (24 to Kindergarten)  Half-Day/17.50| Preschool (24 to Kindergarten)  Half-Day/17.50| Preschool (36 to Kindergarten)  Half-Day/17.50| Preschool (36 to Kindergarten)  Half-Day/17.50| Preschool (36 to Kindergarten)  Half-Day/17.50| School Age (K and up)  Half-Day/17.50| School Age (K and up)  Half-Day/17.50| School Age (K and up)  Half-Day/17.50";"Des Moines";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=50351";"12/31/2020";
"Little Angels Childcare";"2610 Vineyard ST";;"Burlington";"IA";52601;"2610 Vineyard ST";;"Burlington";"IA";52601;"(319) 752-2002";;", ";"Active";"4/1/2019";"Licensed Center";"Yes";4;;79;" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";;;"Infant (up to 24 months)  Half-Day/18.00| Infant (up to 24 months)  Half-Day/18.00| Infant (up to 36 months)  Half-Day/18.00| Infant (up to 36 months)  Half-Day/18.00| Preschool (24 to Kindergarten)  Half-Day/18.00| Preschool (24 to Kindergarten)  Half-Day/18.00| Preschool (36 to Kindergarten)  Half-Day/18.00| Preschool (36 to Kindergarten)  Half-Day/18.00| School Age (K and up)  Half-Day/18.00| School Age (K and up)  Half-Day/18.00";"Des Moines";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=19864";"3/31/2021";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/19864"
"Little Nike Preschool and Daycare";"700 S Roosevelt AVE";;"Burlington";"IA";52601;"700 S Roosevelt AVE";;"Burlington";"IA";52601;"(319) 752-3776";;", ";"Active";"9/22/2020";"Licensed Center";"Yes";;;100;" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";;;"Preschool (24 to Kindergarten)  Hourly/5.00| Preschool (24 to Kindergarten)  Hourly/5.00| Preschool (36 to Kindergarten)  Hourly/5.00| Preschool (36 to Kindergarten)  Hourly/5.00| School Age (K and up)  Hourly/5.00| School Age (K and up)  Hourly/5.00";"Des Moines";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=20025";"10/31/2022";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/20025"
"Lori Brockett";"1422 Agency ST";;"Burlington";"IA";52601;"1422 Agency ST";;"Burlington";"IA";52601;"(319) 753-1751";;"Brockett, Lori";"Active";"3/1/2019";"Registered Child Development Home B";"Yes";3;;12;" 5:30AM - 10:00PM";" 5:30AM - 10:00PM";" 5:30AM - 10:00PM";" 5:30AM - 10:00PM";" 5:30AM - 10:00PM";" 5:30AM -  5:00PM";;"Infant (up to 24 months)  Half-Day/13.75| Infant (up to 24 months)  Half-Day/13.75| Infant (up to 36 months)  Half-Day/13.75| Infant (up to 36 months)  Half-Day/13.75| Preschool (24 to Kindergarten)  Half-Day/13.75| Preschool (24 to Kindergarten)  Half-Day/13.75| Preschool (36 to Kindergarten)  Half-Day/13.75| Preschool (36 to Kindergarten)  Half-Day/13.75| School Age (K and up)  Half-Day/13.75| School Age (K and up)  Half-Day/13.75";"Des Moines";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=19859";"2/28/2021";
"Machell Chapin";"521 S 6th ST";;"Burlington";"IA";52601;"521 S 6th ST";;"Burlington";"IA";52601;"(319) 752-6498";;"Chapin, Machell";"Active";"1/1/2020";"Registered Child Development Home B";"Yes";4;"Infant/Toddler: 1+Preschool: 1+School Age: 4";12;" 5:00AM -  5:00PM";" 5:00AM -  5:00PM";" 5:00AM -  5:00PM";" 5:00AM -  5:00PM";" 5:00AM -  5:00PM";;;"Infant (up to 24 months)  Hourly/3.00| Infant (up to 24 months)  Hourly/3.00| Infant (up to 24 months)  Hourly/3.00| Infant (up to 24 months)  Hourly/3.00| Infant (up to 36 months)  Hourly/3.00| Infant (up to 36 months)  Hourly/3.00| Infant (up to 36 months)  Hourly/3.00| Infant (up to 36 months)  Hourly/3.00| Preschool (24 to Kindergarten)  Hourly/3.00| Preschool (24 to Kindergarten)  Hourly/3.00| Preschool (24 to Kindergarten)  Hourly/3.00| Preschool (24 to Kindergarten)  Hourly/3.00| Preschool (36 to Kindergarten)  Hourly/3.00| Preschool (36 to Kindergarten)  Hourly/3.00| Preschool (36 to Kindergarten)  Hourly/3.00| Preschool (36 to Kindergarten)  Hourly/3.00| School Age (K and up)  Hourly/3.00| School Age (K and up)  Hourly/3.00| School Age (K and up)  Hourly/3.00| School Age (K and up)  Hourly/3.00";"Des Moines";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=19896";"12/31/2021";
"Margaret Selmon";"226 S 10th ST";;"Burlington";"IA";52601;"226 S 10th ST";;"Burlington";"IA";52601;"(319) 752-4187";;"Selmon, Margaret";"Active";"9/30/2019";"Registered Child Development Home C1";"Yes";;"Infant/Toddler: 2+Preschool: 2+School Age: 2";8;" 6:00AM - 12:00PM";" 6:00AM - 12:00PM";" 6:00AM - 12:00PM";" 6:00AM - 12:00PM";" 6:00AM - 12:00PM";" 6:00AM - 12:00PM";;"Infant (up to 24 months)  Hourly/2.95| Infant (up to 24 months)  Hourly/2.95| Infant (up to 24 months)  Hourly/2.95| Infant (up to 24 months)  Hourly/2.95| Infant (up to 36 months)  Hourly/2.95| Infant (up to 36 months)  Hourly/2.95| Infant (up to 36 months)  Hourly/2.95| Infant (up to 36 months)  Hourly/2.95| Preschool (24 to Kindergarten)  Hourly/2.95| Preschool (24 to Kindergarten)  Hourly/2.95| Preschool (24 to Kindergarten)  Hourly/2.95| Preschool (24 to Kindergarten)  Hourly/2.95| Preschool (36 to Kindergarten)  Hourly/2.95| Preschool (36 to Kindergarten)  Hourly/2.95| Preschool (36 to Kindergarten)  Hourly/2.95| Preschool (36 to Kindergarten)  Hourly/2.95| School Age (K and up)  Hourly/2.95| School Age (K and up)  Hourly/2.95| School Age (K and up)  Hourly/2.95| School Age (K and up)  Hourly/2.95";"Des Moines";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=20034";"8/31/2021";
"Mary Conn";"202 Leffler ST";;"West Burlington";"IA";52655;"202 Leffler ST";;"West Burlington";"IA";52655;"(319) 750-0815";;"Conn, Mary";"Active";"5/1/2019";"Registered Child Development Home C";"Yes";;;16;" 5:00AM -  5:30PM";" 5:00AM -  5:30PM";" 5:00AM -  5:30PM";" 5:00AM -  5:30PM";" 5:00AM -  5:30PM";" 5:00AM -  5:30PM";;"Infant (up to 24 months)  Half-Day/13.00| Infant (up to 24 months)  Half-Day/13.00| Infant (up to 36 months)  Half-Day/13.00| Infant (up to 36 months)  Half-Day/13.00| Preschool (24 to Kindergarten)  Half-Day/13.00| Preschool (24 to Kindergarten)  Half-Day/13.00| Preschool (36 to Kindergarten)  Half-Day/13.00| Preschool (36 to Kindergarten)  Half-Day/13.00| School Age (K and up)  Half-Day/13.00| School Age (K and up)  Half-Day/13.00";"Des Moines";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=19876";"4/30/2021";
"Mary McCane";"1016 South Starr AVE";;"Burlington";"IA";52601;"1016 South Starr AVE";;"Burlington";"IA";52601;"(319) 457-1179";;"McCane, Mary";"Active";"12/1/2019";"Registered Child Development Home A";"Yes";;;8;" 6:30AM - 11:00PM";" 6:30AM - 11:00PM";" 6:30AM - 11:00PM";" 6:30AM - 11:00PM";" 6:30AM - 11:00PM";;;"Infant (up to 24 months)  Half-Day/12.00| Infant (up to 24 months)  Half-Day/12.00| Infant (up to 36 months)  Half-Day/12.00| Infant (up to 36 months)  Half-Day/12.00| Preschool (24 to Kindergarten)  Half-Day/12.00| Preschool (24 to Kindergarten)  Half-Day/12.00| Preschool (36 to Kindergarten)  Half-Day/12.00| Preschool (36 to Kindergarten)  Half-Day/12.00| School Age (K and up)  Half-Day/12.00| School Age (K and up)  Half-Day/12.00";"Des Moines";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=20051";"11/30/2021";
"Mediapolis Childcare  Preschool";"814 N Northfield ST";;"Mediapolis";"IA";52637;"PO Box 197";;"Mediapolis";"IA";52637;"(319) 394-3060";;", ";"Active";"6/24/2020";"Licensed Center";"Yes";4;;106;" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";;;"Infant (up to 24 months)  Half-Day/17.75| Infant (up to 24 months)  Half-Day/17.75| Infant (up to 24 months)  Half-Day/17.75| Infant (up to 36 months)  Half-Day/17.75| Infant (up to 36 months)  Half-Day/17.75| Infant (up to 36 months)  Half-Day/17.75| Preschool (24 to Kindergarten)  Half-Day/17.75| Preschool (24 to Kindergarten)  Half-Day/17.75| Preschool (24 to Kindergarten)  Half-Day/17.75| Preschool (36 to Kindergarten)  Half-Day/17.75| Preschool (36 to Kindergarten)  Half-Day/17.75| Preschool (36 to Kindergarten)  Half-Day/17.75| School Age (K and up)  Half-Day/17.75| School Age (K and up)  Half-Day/17.75| School Age (K and up)  Half-Day/17.75";"Des Moines";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=33053";"7/31/2022";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/33053"
"Megan Walters";"1006 S Central AVE";;"Burlington";"IA";52601;"1006 S Central AVE";;"Burlington";"IA";52601;"(319) 759-6646";;"Walters, Megan";"Active";"2/1/2020";"Registered Child Development Home B";"Yes";2;;12;" 6:30AM -  5:00PM";" 6:30AM -  5:00PM";" 6:30AM -  5:00PM";" 6:30AM -  5:00PM";" 6:30AM -  5:00PM";;;"Infant (up to 24 months)  Hourly/4.00| Infant (up to 24 months)  Hourly/4.00| Infant (up to 24 months)  Hourly/4.00| Infant (up to 24 months)  Hourly/4.00| Infant (up to 36 months)  Hourly/4.00| Infant (up to 36 months)  Hourly/4.00| Infant (up to 36 months)  Hourly/4.00| Infant (up to 36 months)  Hourly/4.00| Preschool (24 to Kindergarten)  Hourly/4.00| Preschool (24 to Kindergarten)  Hourly/4.00| Preschool (24 to Kindergarten)  Hourly/4.00| Preschool (24 to Kindergarten)  Hourly/4.00| Preschool (36 to Kindergarten)  Hourly/4.00| Preschool (36 to Kindergarten)  Hourly/4.00| Preschool (36 to Kindergarten)  Hourly/4.00| Preschool (36 to Kindergarten)  Hourly/4.00| School Age (K and up)  Hourly/4.00| School Age (K and up)  Hourly/4.00| School Age (K and up)  Hourly/4.00| School Age (K and up)  Hourly/4.00";"Des Moines";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=49522";"1/31/2022";
"Melanie Reynolds";"2401 Sunnyside AVE";;"Burlington";"IA";52601;"835 AVE F";;"Fort Madison";"IA";52627;"(319) 850-1942";;"Reynolds, Melanie";"Active";"7/15/2020";"Registered Child Development Home B";"Yes";1;;12;"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"Infant (up to 24 months)  Half-Day/30.00| Infant (up to 24 months)  Half-Day/30.00| Infant (up to 36 months)  Half-Day/30.00| Infant (up to 36 months)  Half-Day/30.00| Preschool (24 to Kindergarten)  Half-Day/30.00| Preschool (24 to Kindergarten)  Half-Day/30.00| Preschool (36 to Kindergarten)  Half-Day/30.00| Preschool (36 to Kindergarten)  Half-Day/30.00| School Age (K and up)  Half-Day/30.00| School Age (K and up)  Half-Day/30.00";"Des Moines";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=48040";"4/30/2022";
"Messiah Lutheran Preschool";"2411 West Ave";;"Burlington";"IA";52601;"2411 West Ave";;"Burlington";"IA";52601;"(319) 754-7591";;", ";"Active";"11/18/2020";"Licensed Center";"No";4;;39;" 8:30AM -  3:30PM";" 8:30AM -  3:30PM";" 8:30AM -  3:30PM";" 8:30AM -  3:30PM";" 8:30AM -  3:30PM";;;;"Des Moines";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=21202";"12/31/2022";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/21202"
"Michele Beard";"912 S 5th ST";;"Burlington";"IA";52601;"914 S 5TH ST";;"Burlington";"IA";52601;"(319) 850-5799";;"Beard, Michele";"Active";"12/31/2019";"Registered Child Development Home A";"Yes";;;8;" 6:00AM - 11:59PM";" 6:00AM - 11:59PM";" 6:00AM - 11:59PM";" 6:00AM - 11:59PM";" 6:00AM - 11:59PM";" 6:00AM - 11:59PM";;"Infant (up to 24 months)  Hourly/13.50| Infant (up to 24 months)  Hourly/13.50| Infant (up to 24 months)  Hourly/13.50| Infant (up to 36 months)  Hourly/13.50| Infant (up to 36 months)  Hourly/13.50| Infant (up to 36 months)  Hourly/13.50| Preschool (24 to Kindergarten)  Hourly/13.50| Preschool (24 to Kindergarten)  Hourly/13.50| Preschool (36 to Kindergarten)  Hourly/13.50| Preschool (36 to Kindergarten)  Hourly/13.50| School Age (K and up)  Hourly/13.50| School Age (K and up)  Hourly/13.50";"Des Moines";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=50852";"11/30/2021";
"Munchkin City";"317 S Gunnison ST";;"Burlington";"IA";52601;"317 S Gunnison ST";;"Burlington";"IA";52601;"(319) 457-0652";;"Patton, Amber";"Active";"7/1/2019";"Registered Child Development Home B";"Yes";4;;12;" 5:00AM -  5:30PM";" 5:30AM -  5:30PM";" 5:30AM -  5:30PM";" 5:30AM -  5:30PM";" 5:30AM -  5:30PM";" 5:30AM -  5:30PM";" 5:30AM -  5:30PM";"Infant (up to 24 months)  Half-Day/13.75| Infant (up to 36 months)  Half-Day/13.75| Preschool (24 to Kindergarten)  Half-Day/13.75| Preschool (36 to Kindergarten)  Half-Day/13.75| School Age (K and up)  Half-Day/13.75";"Des Moines";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=19878";"6/30/2021";
"Ornette Cratton";"705 S Central AVE";;"Burlington";"IA";52601;"705 S Central AVE";;"Burlington";"IA";52601;"(319) 457-3528";;"Cratton, Ornette";"Active";"6/1/2020";"Registered Child Development Home A";"Yes";1;;8;"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"Infant (up to 24 months)  Half-Day/13.50| Infant (up to 24 months)  Half-Day/13.50| Infant (up to 36 months)  Half-Day/13.50| Infant (up to 36 months)  Half-Day/13.50| Preschool (24 to Kindergarten)  Half-Day/13.50| Preschool (24 to Kindergarten)  Half-Day/13.50| Preschool (36 to Kindergarten)  Half-Day/13.50| Preschool (36 to Kindergarten)  Half-Day/13.50| School Age (K and up)  Half-Day/13.50| School Age (K and up)  Half-Day/13.50";"Des Moines";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=49832";"5/31/2022";
"Pamela Turner";"1120 Chalfant ST";;"Burlington";"IA";52601;"1120 Chalfant ST";;"Burlington";"IA";52601;"(319) 759-3484";;"Turner, Pamela";"Active";"10/3/2019";"Registered Child Development Home B";"Yes";;"Infant/Toddler: 0+Preschool: 0+School Age: 0";12;"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"Infant (up to 24 months)  Half-Day/12.50| Infant (up to 24 months)  Half-Day/12.50| Infant (up to 36 months)  Half-Day/12.50| Infant (up to 36 months)  Half-Day/12.50| Preschool (24 to Kindergarten)  Half-Day/12.50| Preschool (24 to Kindergarten)  Half-Day/12.50| Preschool (36 to Kindergarten)  Half-Day/12.50| Preschool (36 to Kindergarten)  Half-Day/12.50| School Age (K and up)  Half-Day/12.50| School Age (K and up)  Half-Day/12.50";"Des Moines";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=42316";"9/30/2021";
