"provider_number";"inspectionDate";"inspectionType";"inspectionTime";"inspectionTimeout";"inspectionInspector";"deficientFindings";"totalFindings";"satisfactoryResponses";"unsatisfactoryResponses";"notInspectedResponses";"naResponses";"totalResponses";"accountName";"accountStreet";"accountCity";"accountState";"accountZip";"accountPhone";"accountFax";"reportFile"
"PV78116";"02/20/2019";"Renewal Inspection";"10:50 PM";"12:00 PM";"Ryane Holzwarth";4;4;32;4;0;0;36;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"PV78116 - Teresa Seward - Survey Tool Public_02_20_2019.pdf"
"PV105846";"02/20/2020";"KIS";"11:30 PM";"12:15 PM";"Jodi Linne";0;0;9;0;0;0;9;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"PV105846 - The Growing Tree - Survey Tool Public_02_20_2020.pdf"
"PV104942";"03/11/2020";"Renewal Inspection";"11:42 AM";"12:40 PM";"Fern Sutherland";0;0;36;0;0;0;36;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"PV104942 - Amy Kimler _ Just Because We Care - Survey Tool Public_03_11_2020.pdf"
"PV91279";"11/04/2014";"Routine Inspection";"06:00 AM";;"Pam West";0;0;0;0;0;0;0;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"Tiffany Kimberling - Public Report_11_04_2014.pdf"
"PV91279";"05/09/2014";"Follow-up Inspection";"06:00 AM";;"Pam West";0;0;0;0;0;0;0;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"Tiffany Kimberling - Public Report_05_09_2014.pdf"
"PV91279";"03/27/2014";"20% Inspection";"06:00 AM";;"Pam West";0;0;0;0;0;0;0;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"Tiffany Kimberling - Public Report_03_27_2014.pdf"
"PV91279";"12/09/2009";"20% Inspection";"06:00 AM";;"Pam West";0;0;0;0;0;0;0;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"Tiffany Kimberling - Public Report_12_09_2009.pdf"
"PV91279";"11/16/2007";"Routine Inspection";"06:00 AM";;"Pam West";0;0;0;0;0;0;0;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"Tiffany Kimberling - Public Report_11_16_2007.pdf"
"PV107102";"09/12/2017";"Initial-New Inspection";"06:00 AM";;"Gloria Tatchell";0;0;0;0;0;0;0;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"Timber Crooker _ Silly Goose Playhouse - Public Report_09_12_2017.pdf"
"PV107102";"05/17/2017";"Pre-Inspection";"06:00 AM";;"Penny Job";0;0;0;0;0;0;0;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"Timber Crooker _ Silly Goose Playhouse - Public Report_05_17_2017.pdf"
"PV106982";"09/24/2020";"Complaint Investigation";"9:01 AM";"10:30 AM";"Ryane Holzwarth";7;7;27;6;0;0;33;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"PV106982 - Victoria Johnson _ Little Pumkin Patch - Survey Tool Public_09_24_2020.pdf"
"PV107732";"12/11/2019";"Renewal Inspection";"2:00 PM";"3:30 PM";"Lenny Brown";2;2;31;2;0;0;33;"Montana Department of Public Health and Human Services";"2401 COLONIAL DR, PO Box 202953";"HELENA";"MT";59601;"406-444-3074";"406-444-1742";"PV107732 - Yellow Umbrella Early Learning Center - Survey Tool Public_12_11_2019.pdf"
